Web Search interest: ua
Worldwide 2004 - present

Interest over time
Week,ua
2005-11-13 - 2005-11-19,42
2005-11-20 - 2005-11-26,41
2005-11-27 - 2005-12-03,39
2005-12-04 - 2005-12-10,37
2005-12-11 - 2005-12-17,46
2005-12-18 - 2005-12-24,46
2005-12-25 - 2005-12-31,49
2006-01-01 - 2006-01-07,41
2006-01-08 - 2006-01-14,42
2006-01-15 - 2006-01-21,40
2006-01-22 - 2006-01-28,41
2006-01-29 - 2006-02-04,45
2006-02-05 - 2006-02-11,42
2006-02-12 - 2006-02-18,42
2006-02-19 - 2006-02-25,40
2006-02-26 - 2006-03-04,40
2006-03-05 - 2006-03-11,38
2006-03-12 - 2006-03-18,39
2006-03-19 - 2006-03-25,38
2006-03-26 - 2006-04-01,41
2006-04-02 - 2006-04-08,37
2006-04-09 - 2006-04-15,41
2006-04-16 - 2006-04-22,40
2006-04-23 - 2006-04-29,36
2006-04-30 - 2006-05-06,42
2006-05-07 - 2006-05-13,40
2006-05-14 - 2006-05-20,44
2006-05-21 - 2006-05-27,43
2006-05-28 - 2006-06-03,44
2006-06-04 - 2006-06-10,44
2006-06-11 - 2006-06-17,43
2006-06-18 - 2006-06-24,44
2006-06-25 - 2006-07-01,46
2006-07-02 - 2006-07-08,46
2006-07-09 - 2006-07-15,47
2006-07-16 - 2006-07-22,46
2006-07-23 - 2006-07-29,43
2006-07-30 - 2006-08-05,42
2006-08-06 - 2006-08-12,43
2006-08-13 - 2006-08-19,42
2006-08-20 - 2006-08-26,43
2006-08-27 - 2006-09-02,43
2006-09-03 - 2006-09-09,44
2006-09-10 - 2006-09-16,47
2006-09-17 - 2006-09-23,50
2006-09-24 - 2006-09-30,48
2006-10-01 - 2006-10-07,51
2006-10-08 - 2006-10-14,45
2006-10-15 - 2006-10-21,45
2006-10-22 - 2006-10-28,46
2006-10-29 - 2006-11-04,44
2006-11-05 - 2006-11-11,44
2006-11-12 - 2006-11-18,46
2006-11-19 - 2006-11-25,46
2006-11-26 - 2006-12-02,48
2006-12-03 - 2006-12-09,44
2006-12-10 - 2006-12-16,48
2006-12-17 - 2006-12-23,50
2006-12-24 - 2006-12-30,49
2006-12-31 - 2007-01-06,44
2007-01-07 - 2007-01-13,48
2007-01-14 - 2007-01-20,49
2007-01-21 - 2007-01-27,47
2007-01-28 - 2007-02-03,46
2007-02-04 - 2007-02-10,50
2007-02-11 - 2007-02-17,56
2007-02-18 - 2007-02-24,54
2007-02-25 - 2007-03-03,49
2007-03-04 - 2007-03-10,50
2007-03-11 - 2007-03-17,47
2007-03-18 - 2007-03-24,45
2007-03-25 - 2007-03-31,48
2007-04-01 - 2007-04-07,48
2007-04-08 - 2007-04-14,46
2007-04-15 - 2007-04-21,48
2007-04-22 - 2007-04-28,46
2007-04-29 - 2007-05-05,50
2007-05-06 - 2007-05-12,51
2007-05-13 - 2007-05-19,50
2007-05-20 - 2007-05-26,53
2007-05-27 - 2007-06-02,50
2007-06-03 - 2007-06-09,54
2007-06-10 - 2007-06-16,55
2007-06-17 - 2007-06-23,57
2007-06-24 - 2007-06-30,55
2007-07-01 - 2007-07-07,58
2007-07-08 - 2007-07-14,58
2007-07-15 - 2007-07-21,55
2007-07-22 - 2007-07-28,53
2007-07-29 - 2007-08-04,55
2007-08-05 - 2007-08-11,53
2007-08-12 - 2007-08-18,51
2007-08-19 - 2007-08-25,50
2007-08-26 - 2007-09-01,51
2007-09-02 - 2007-09-08,52
2007-09-09 - 2007-09-15,56
2007-09-16 - 2007-09-22,55
2007-09-23 - 2007-09-29,60
2007-09-30 - 2007-10-06,58
2007-10-07 - 2007-10-13,54
2007-10-14 - 2007-10-20,55
2007-10-21 - 2007-10-27,53
2007-10-28 - 2007-11-03,54
2007-11-04 - 2007-11-10,53
2007-11-11 - 2007-11-17,54
2007-11-18 - 2007-11-24,54
2007-11-25 - 2007-12-01,55
2007-12-02 - 2007-12-08,55
2007-12-09 - 2007-12-15,59
2007-12-16 - 2007-12-22,60
2007-12-23 - 2007-12-29,62
2007-12-30 - 2008-01-05,53
2008-01-06 - 2008-01-12,58
2008-01-13 - 2008-01-19,63
2008-01-20 - 2008-01-26,59
2008-01-27 - 2008-02-02,61
2008-02-03 - 2008-02-09,66
2008-02-10 - 2008-02-16,65
2008-02-17 - 2008-02-23,61
2008-02-24 - 2008-03-01,58
2008-03-02 - 2008-03-08,54
2008-03-09 - 2008-03-15,56
2008-03-16 - 2008-03-22,55
2008-03-23 - 2008-03-29,53
2008-03-30 - 2008-04-05,54
2008-04-06 - 2008-04-12,57
2008-04-13 - 2008-04-19,57
2008-04-20 - 2008-04-26,57
2008-04-27 - 2008-05-03,56
2008-05-04 - 2008-05-10,62
2008-05-11 - 2008-05-17,62
2008-05-18 - 2008-05-24,61
2008-05-25 - 2008-05-31,63
2008-06-01 - 2008-06-07,63
2008-06-08 - 2008-06-14,64
2008-06-15 - 2008-06-21,62
2008-06-22 - 2008-06-28,61
2008-06-29 - 2008-07-05,66
2008-07-06 - 2008-07-12,63
2008-07-13 - 2008-07-19,65
2008-07-20 - 2008-07-26,66
2008-07-27 - 2008-08-02,65
2008-08-03 - 2008-08-09,62
2008-08-10 - 2008-08-16,56
2008-08-17 - 2008-08-23,62
2008-08-24 - 2008-08-30,60
2008-08-31 - 2008-09-06,63
2008-09-07 - 2008-09-13,68
2008-09-14 - 2008-09-20,70
2008-09-21 - 2008-09-27,71
2008-09-28 - 2008-10-04,70
2008-10-05 - 2008-10-11,65
2008-10-12 - 2008-10-18,64
2008-10-19 - 2008-10-25,66
2008-10-26 - 2008-11-01,66
2008-11-02 - 2008-11-08,64
2008-11-09 - 2008-11-15,69
2008-11-16 - 2008-11-22,63
2008-11-23 - 2008-11-29,64
2008-11-30 - 2008-12-06,66
2008-12-07 - 2008-12-13,68
2008-12-14 - 2008-12-20,72
2008-12-21 - 2008-12-27,79
2008-12-28 - 2009-01-03,68
2009-01-04 - 2009-01-10,70
2009-01-11 - 2009-01-17,78
2009-01-18 - 2009-01-24,77
2009-01-25 - 2009-01-31,82
2009-02-01 - 2009-02-07,74
2009-02-08 - 2009-02-14,77
2009-02-15 - 2009-02-21,75
2009-02-22 - 2009-02-28,77
2009-03-01 - 2009-03-07,78
2009-03-08 - 2009-03-14,77
2009-03-15 - 2009-03-21,78
2009-03-22 - 2009-03-28,77
2009-03-29 - 2009-04-04,73
2009-04-05 - 2009-04-11,74
2009-04-12 - 2009-04-18,71
2009-04-19 - 2009-04-25,70
2009-04-26 - 2009-05-02,71
2009-05-03 - 2009-05-09,72
2009-05-10 - 2009-05-16,72
2009-05-17 - 2009-05-23,76
2009-05-24 - 2009-05-30,79
2009-05-31 - 2009-06-06,79
2009-06-07 - 2009-06-13,76
2009-06-14 - 2009-06-20,82
2009-06-21 - 2009-06-27,78
2009-06-28 - 2009-07-04,76
2009-07-05 - 2009-07-11,74
2009-07-12 - 2009-07-18,80
2009-07-19 - 2009-07-25,76
2009-07-26 - 2009-08-01,79
2009-08-02 - 2009-08-08,76
2009-08-09 - 2009-08-15,74
2009-08-16 - 2009-08-22,73
2009-08-23 - 2009-08-29,73
2009-08-30 - 2009-09-05,77
2009-09-06 - 2009-09-12,82
2009-09-13 - 2009-09-19,86
2009-09-20 - 2009-09-26,84
2009-09-27 - 2009-10-03,82
2009-10-04 - 2009-10-10,76
2009-10-11 - 2009-10-17,83
2009-10-18 - 2009-10-24,82
2009-10-25 - 2009-10-31,83
2009-11-01 - 2009-11-07,80
2009-11-08 - 2009-11-14,79
2009-11-15 - 2009-11-21,82
2009-11-22 - 2009-11-28,81
2009-11-29 - 2009-12-05,80
2009-12-06 - 2009-12-12,80
2009-12-13 - 2009-12-19,84
2009-12-20 - 2009-12-26,99
2009-12-27 - 2010-01-02,88
2010-01-03 - 2010-01-09,80
2010-01-10 - 2010-01-16,84
2010-01-17 - 2010-01-23,85
2010-01-24 - 2010-01-30,87
2010-01-31 - 2010-02-06,85
2010-02-07 - 2010-02-13,94
2010-02-14 - 2010-02-20,88
2010-02-21 - 2010-02-27,83
2010-02-28 - 2010-03-06,82
2010-03-07 - 2010-03-13,84
2010-03-14 - 2010-03-20,83
2010-03-21 - 2010-03-27,81
2010-03-28 - 2010-04-03,82
2010-04-04 - 2010-04-10,77
2010-04-11 - 2010-04-17,77
2010-04-18 - 2010-04-24,77
2010-04-25 - 2010-05-01,81
2010-05-02 - 2010-05-08,75
2010-05-09 - 2010-05-15,77
2010-05-16 - 2010-05-22,81
2010-05-23 - 2010-05-29,81
2010-05-30 - 2010-06-05,80
2010-06-06 - 2010-06-12,77
2010-06-13 - 2010-06-19,82
2010-06-20 - 2010-06-26,82
2010-06-27 - 2010-07-03,79
2010-07-04 - 2010-07-10,80
2010-07-11 - 2010-07-17,77
2010-07-18 - 2010-07-24,78
2010-07-25 - 2010-07-31,79
2010-08-01 - 2010-08-07,75
2010-08-08 - 2010-08-14,73
2010-08-15 - 2010-08-21,74
2010-08-22 - 2010-08-28,72
2010-08-29 - 2010-09-04,75
2010-09-05 - 2010-09-11,78
2010-09-12 - 2010-09-18,80
2010-09-19 - 2010-09-25,88
2010-09-26 - 2010-10-02,88
2010-10-03 - 2010-10-09,78
2010-10-10 - 2010-10-16,81
2010-10-17 - 2010-10-23,76
2010-10-24 - 2010-10-30,74
2010-10-31 - 2010-11-06,76
2010-11-07 - 2010-11-13,76
2010-11-14 - 2010-11-20,77
2010-11-21 - 2010-11-27,78
2010-11-28 - 2010-12-04,78
2010-12-05 - 2010-12-11,77
2010-12-12 - 2010-12-18,83
2010-12-19 - 2010-12-25,82
2010-12-26 - 2011-01-01,78
2011-01-02 - 2011-01-08,71
2011-01-09 - 2011-01-15,78
2011-01-16 - 2011-01-22,76
2011-01-23 - 2011-01-29,78
2011-01-30 - 2011-02-05,82
2011-02-06 - 2011-02-12,78
2011-02-13 - 2011-02-19,82
2011-02-20 - 2011-02-26,80
2011-02-27 - 2011-03-05,79
2011-03-06 - 2011-03-12,81
2011-03-13 - 2011-03-19,81
2011-03-20 - 2011-03-26,81
2011-03-27 - 2011-04-02,76
2011-04-03 - 2011-04-09,79
2011-04-10 - 2011-04-16,78
2011-04-17 - 2011-04-23,77
2011-04-24 - 2011-04-30,73
2011-05-01 - 2011-05-07,72
2011-05-08 - 2011-05-14,72
2011-05-15 - 2011-05-21,73
2011-05-22 - 2011-05-28,71
2011-05-29 - 2011-06-04,76
2011-06-05 - 2011-06-11,78
2011-06-12 - 2011-06-18,74
2011-06-19 - 2011-06-25,77
2011-06-26 - 2011-07-02,79
2011-07-03 - 2011-07-09,79
2011-07-10 - 2011-07-16,80
2011-07-17 - 2011-07-23,80
2011-07-24 - 2011-07-30,78
2011-07-31 - 2011-08-06,76
2011-08-07 - 2011-08-13,76
2011-08-14 - 2011-08-20,80
2011-08-21 - 2011-08-27,78
2011-08-28 - 2011-09-03,79
2011-09-04 - 2011-09-10,80
2011-09-11 - 2011-09-17,84
2011-09-18 - 2011-09-24,84
2011-09-25 - 2011-10-01,86
2011-10-02 - 2011-10-08,85
2011-10-09 - 2011-10-15,84
2011-10-16 - 2011-10-22,92
2011-10-23 - 2011-10-29,91
2011-10-30 - 2011-11-05,92
2011-11-06 - 2011-11-12,89
2011-11-13 - 2011-11-19,90
2011-11-20 - 2011-11-26,93
2011-11-27 - 2011-12-03,91
2011-12-04 - 2011-12-10,85
2011-12-11 - 2011-12-17,85
2011-12-18 - 2011-12-24,85
2011-12-25 - 2011-12-31,79
2012-01-01 - 2012-01-07,75
2012-01-08 - 2012-01-14,79
2012-01-15 - 2012-01-21,84
2012-01-22 - 2012-01-28,91
2012-01-29 - 2012-02-04,100
2012-02-05 - 2012-02-11,87
2012-02-12 - 2012-02-18,84
2012-02-19 - 2012-02-25,84
2012-02-26 - 2012-03-03,86
2012-03-04 - 2012-03-10,84
2012-03-11 - 2012-03-17,87
2012-03-18 - 2012-03-24,84
2012-03-25 - 2012-03-31,87
2012-04-01 - 2012-04-07,86
2012-04-08 - 2012-04-14,84
2012-04-15 - 2012-04-21,84
2012-04-22 - 2012-04-28,85
2012-04-29 - 2012-05-05,82
2012-05-06 - 2012-05-12,86
2012-05-13 - 2012-05-19,86
2012-05-20 - 2012-05-26,81
2012-05-27 - 2012-06-02,82
2012-06-03 - 2012-06-09,80
2012-06-10 - 2012-06-16,80
2012-06-17 - 2012-06-23,77
2012-06-24 - 2012-06-30,80
2012-07-01 - 2012-07-07,83
2012-07-08 - 2012-07-14,81
2012-07-15 - 2012-07-21,83
2012-07-22 - 2012-07-28,81
2012-07-29 - 2012-08-04,79
2012-08-05 - 2012-08-11,79
2012-08-12 - 2012-08-18,82
2012-08-19 - 2012-08-25,80
2012-08-26 - 2012-09-01,81
2012-09-02 - 2012-09-08,80
2012-09-09 - 2012-09-15,81
2012-09-16 - 2012-09-22,83
2012-09-23 - 2012-09-29,81
2012-09-30 - 2012-10-06,82
2012-10-07 - 2012-10-13,76
2012-10-14 - 2012-10-20,76
2012-10-21 - 2012-10-27,79
2012-10-28 - 2012-11-03,79
2012-11-04 - 2012-11-10,78
2012-11-11 - 2012-11-17,75
2012-11-18 - 2012-11-24,79
2012-11-25 - 2012-12-01,79
2012-12-02 - 2012-12-08,78
2012-12-09 - 2012-12-15,76
2012-12-16 - 2012-12-22,79
2012-12-23 - 2012-12-29,80
2012-12-30 - 2013-01-05,76
2013-01-06 - 2013-01-12,76
2013-01-13 - 2013-01-19,79
2013-01-20 - 2013-01-26,77
2013-01-27 - 2013-02-02,77
2013-02-03 - 2013-02-09,78
2013-02-10 - 2013-02-16,84
2013-02-17 - 2013-02-23,82
2013-02-24 - 2013-03-02,79
2013-03-03 - 2013-03-09,76
2013-03-10 - 2013-03-16,78
2013-03-17 - 2013-03-23,79
2013-03-24 - 2013-03-30,78
2013-03-31 - 2013-04-06,79
2013-04-07 - 2013-04-13,74
2013-04-14 - 2013-04-20,73
2013-04-21 - 2013-04-27,76
2013-04-28 - 2013-05-04,71
2013-05-05 - 2013-05-11,68
2013-05-12 - 2013-05-18,71
2013-05-19 - 2013-05-25,71
2013-05-26 - 2013-06-01,72
2013-06-02 - 2013-06-08,75
2013-06-09 - 2013-06-15,72
2013-06-16 - 2013-06-22,73
2013-06-23 - 2013-06-29,78
2013-06-30 - 2013-07-06,80
2013-07-07 - 2013-07-13,80
2013-07-14 - 2013-07-20,72
2013-07-21 - 2013-07-27,73
2013-07-28 - 2013-08-03,69
2013-08-04 - 2013-08-10,70
2013-08-11 - 2013-08-17,69
2013-08-18 - 2013-08-24,72
2013-08-25 - 2013-08-31,74
2013-09-01 - 2013-09-07,75
2013-09-08 - 2013-09-14,75
2013-09-15 - 2013-09-21,74
2013-09-22 - 2013-09-28,75
2013-09-29 - 2013-10-05,75
2013-10-06 - 2013-10-12,72
2013-10-13 - 2013-10-19,73
2013-10-20 - 2013-10-26,74
2013-10-27 - 2013-11-02,77
2013-11-03 - 2013-11-09,78
2013-11-10 - 2013-11-16,78
2013-11-17 - 2013-11-23,78
2013-11-24 - 2013-11-30,82
2013-12-01 - 2013-12-07,82
2013-12-08 - 2013-12-14,83
2013-12-15 - 2013-12-21,80
2013-12-22 - 2013-12-28,82
2013-12-29 - 2014-01-04,74
2014-01-05 - 2014-01-11,78
2014-01-12 - 2014-01-18,77
2014-01-19 - 2014-01-25,81
2014-01-26 - 2014-02-01,83
2014-02-02 - 2014-02-08,82
2014-02-09 - 2014-02-15,82
2014-02-16 - 2014-02-22,86
2014-02-23 - 2014-03-01,84
2014-03-02 - 2014-03-08,84
2014-03-09 - 2014-03-15,78
2014-03-16 - 2014-03-22,81
2014-03-23 - 2014-03-29,77
2014-03-30 - 2014-04-05,81
2014-04-06 - 2014-04-12,81
2014-04-13 - 2014-04-19,83
2014-04-20 - 2014-04-26,75
2014-04-27 - 2014-05-03,75
2014-05-04 - 2014-05-10,77
2014-05-11 - 2014-05-17,79
2014-05-18 - 2014-05-24,77
2014-05-25 - 2014-05-31,80
2014-06-01 - 2014-06-07,78
2014-06-08 - 2014-06-14,75
2014-06-15 - 2014-06-21,79
2014-06-22 - 2014-06-28,79
2014-06-29 - 2014-07-05,77
2014-07-06 - 2014-07-12,77
2014-07-13 - 2014-07-19,80
2014-07-20 - 2014-07-26,79
2014-07-27 - 2014-08-02,78
2014-08-03 - 2014-08-09,79
2014-08-10 - 2014-08-16,77
2014-08-17 - 2014-08-23,81
2014-08-24 - 2014-08-30,81
2014-08-31 - 2014-09-06,79
2014-09-07 - 2014-09-13,79
2014-09-14 - 2014-09-20,80
2014-09-21 - 2014-09-27,81
2014-09-28 - 2014-10-04,83
2014-10-05 - 2014-10-11,79
2014-10-12 - 2014-10-18,78
2014-10-19 - 2014-10-25,77
2014-10-26 - 2014-11-01,75
2014-11-02 - 2014-11-08,78
2014-11-09 - 2014-11-15,80
2014-11-16 - 2014-11-22,81
2014-11-23 - 2014-11-29,80
2014-11-30 - 2014-12-06,79
2014-12-07 - 2014-12-13,77
2014-12-14 - 2014-12-20,77
2014-12-21 - 2014-12-27,81
2014-12-28 - 2015-01-03,74
2015-01-04 - 2015-01-10,74
2015-01-11 - 2015-01-17,75
2015-01-18 - 2015-01-24,75
2015-01-25 - 2015-01-31,76
2015-02-01 - 2015-02-07,76
2015-02-08 - 2015-02-14,80
2015-02-15 - 2015-02-21,87
2015-02-22 - 2015-02-28,83
2015-03-01 - 2015-03-07,79
2015-03-08 - 2015-03-14,75
2015-03-15 - 2015-03-21,73
2015-03-22 - 2015-03-28,76
2015-03-29 - 2015-04-04,78
2015-04-05 - 2015-04-11,75
2015-04-12 - 2015-04-18,73
2015-04-19 - 2015-04-25,77
2015-04-26 - 2015-05-02,75
2015-05-03 - 2015-05-09,71
2015-05-10 - 2015-05-16,72
2015-05-17 - 2015-05-23,73
2015-05-24 - 2015-05-30,71
2015-05-31 - 2015-06-06,71
2015-06-07 - 2015-06-13,71
2015-06-14 - 2015-06-20,75
2015-06-21 - 2015-06-27,75
2015-06-28 - 2015-07-04,74
2015-07-05 - 2015-07-11,75
2015-07-12 - 2015-07-18,76
2015-07-19 - 2015-07-25,75
2015-07-26 - 2015-08-01,75
2015-08-02 - 2015-08-08,74
2015-08-09 - 2015-08-15,73
2015-08-16 - 2015-08-22,77
2015-08-23 - 2015-08-29,75
2015-08-30 - 2015-09-05,77
2015-09-06 - 2015-09-12,81
2015-09-13 - 2015-09-19,79
2015-09-20 - 2015-09-26,81
2015-09-27 - 2015-10-03,81
2015-10-04 - 2015-10-10,76
2015-10-11 - 2015-10-17,76
2015-10-18 - 2015-10-24,79
2015-10-25 - 2015-10-31,76
2015-11-01 - 2015-11-07,76
2015-11-08 - 2015-11-14,77
2015-11-15 - 2015-11-21,79
2015-11-22 - 2015-11-28,78
2015-11-29 - 2015-12-05,79
2015-12-06 - 2015-12-12,76
2015-12-13 - 2015-12-19,80
2015-12-20 - 2015-12-26,84
2015-12-27 - 2016-01-02,79
2016-01-03 - 2016-01-09,76
2016-01-10 - 2016-01-16,78
2016-01-17 - 2016-01-23,77
2016-01-24 - 2016-01-30,79
2016-01-31 - 2016-02-06,77
2016-02-07 - 2016-02-13,82
2016-02-14 - 2016-02-20,80
2016-02-21 - 2016-02-27,76
2016-02-28 - 2016-03-05,78
2016-03-06 - 2016-03-12,76
2016-03-13 - 2016-03-19,73
2016-03-20 - 2016-03-26,82
2016-03-27 - 2016-04-02,76
2016-04-03 - 2016-04-09,76
2016-04-10 - 2016-04-16,78
2016-04-17 - 2016-04-23,77
2016-04-24 - 2016-04-30,89


Top regions for ua
Region,ua
Ukraine,100
Macau,68
Hong Kong,58
Moldova,11
Portugal,10
Belgium,7
Spain,6
Vietnam,5
Latvia,4
Belarus,3
United States,3
Russia,3
Lithuania,2
Czech Republic,2
Greece,2
Kazakhstan,2
United Arab Emirates,2
Taiwan,2
Japan,2
Chile,2
Finland,2
Singapore,1
Ecuador,1
Slovakia,1
Italy,1
Mexico,1
Colombia,1
Canada,1
Peru,1
Israel,1
Poland,1
Turkey,1
Austria,1
Germany,1
China,1
Argentina,1
Brazil,1
Philippines,1
Switzerland,1
Netherlands,1
Venezuela,1
Romania,1
Hungary,1
Denmark,1
South Korea,1
India,1
Australia,1
United Kingdom,1
France,1
Sweden,1


Top cities for ua
City,ua
San Vicente del Raspeig (Spain),100
Tuscaloosa (United States),71
Aveiro (Portugal),44
Alicante (Spain),26
Lviv (Ukraine),22
Ivano-Frankivsk (Ukraine),21
Kiev (Ukraine),20
Ternopil (Ukraine),19
Dnipropetrovs'k (Ukraine),18
Odesa (Ukraine),16
Kharkiv (Ukraine),16
Vinnytsia (Ukraine),16
Zaporizhzhya (Ukraine),15
Donetsk (Ukraine),14
Macau (Macau),13



Top searches for ua
ua cinema,100
ex ua,75
google ua,50
ua online,45
i ua,40
football ua,40
chu chu ua,30
youtube ua,30
under armour,25
ua mail,25
co ua,25
ua theater,20
my ua,20
ua blackboard,20
work ua,15
ua flight status,15
футбол ua,15
mcl,15
ua airline,10
ua campus,10
mts ua,10
ua alicante,10
одноклассники ua,10
price ua,10
fs ua,10
ua cinema hk,10
ua theaters,10
rozetka,10
gismeteo ua,10
broadway cinema,10
rozetka ua,10
sport ua,10
ua cinemas,10
ua galaxy,10
auto ria,10
auto ria ua,10
slando,10
slando ua,10
odnoklassniki ua,10
life ua,10
ebay ua,10
百老匯,10
pravda ua,10
ua stock,10
moodle ua,10
olx ua,10
mob ua,10
finance ua,10
ua scrubs,5



Rising searches for ua
ex ua,Breakout
youtube ua,Breakout
chu chu ua,+2,550%
under armour,+1,400%
co ua,+750%
google ua,+650%
football ua,+300%
ua mail,+300%
i ua,+200%
ua online,+90%



