Web Search interest: hig
Worldwide 2004 - present

Interest over time
Week,hig
2005-05-22 - 2005-05-28,27
2005-05-29 - 2005-06-04,26
2005-06-05 - 2005-06-11,28
2005-06-12 - 2005-06-18,31
2005-06-19 - 2005-06-25,26
2005-06-26 - 2005-07-02,27
2005-07-03 - 2005-07-09,29
2005-07-10 - 2005-07-16,31
2005-07-17 - 2005-07-23,29
2005-07-24 - 2005-07-30,25
2005-07-31 - 2005-08-06,27
2005-08-07 - 2005-08-13,28
2005-08-14 - 2005-08-20,28
2005-08-21 - 2005-08-27,32
2005-08-28 - 2005-09-03,27
2005-09-04 - 2005-09-10,29
2005-09-11 - 2005-09-17,32
2005-09-18 - 2005-09-24,33
2005-09-25 - 2005-10-01,28
2005-10-02 - 2005-10-08,33
2005-10-09 - 2005-10-15,35
2005-10-16 - 2005-10-22,32
2005-10-23 - 2005-10-29,32
2005-10-30 - 2005-11-05,32
2005-11-06 - 2005-11-12,29
2005-11-13 - 2005-11-19,29
2005-11-20 - 2005-11-26,29
2005-11-27 - 2005-12-03,28
2005-12-04 - 2005-12-10,30
2005-12-11 - 2005-12-17,26
2005-12-18 - 2005-12-24,26
2005-12-25 - 2005-12-31,22
2006-01-01 - 2006-01-07,30
2006-01-08 - 2006-01-14,29
2006-01-15 - 2006-01-21,30
2006-01-22 - 2006-01-28,31
2006-01-29 - 2006-02-04,33
2006-02-05 - 2006-02-11,30
2006-02-12 - 2006-02-18,28
2006-02-19 - 2006-02-25,29
2006-02-26 - 2006-03-04,34
2006-03-05 - 2006-03-11,29
2006-03-12 - 2006-03-18,27
2006-03-19 - 2006-03-25,30
2006-03-26 - 2006-04-01,26
2006-04-02 - 2006-04-08,28
2006-04-09 - 2006-04-15,28
2006-04-16 - 2006-04-22,32
2006-04-23 - 2006-04-29,27
2006-04-30 - 2006-05-06,30
2006-05-07 - 2006-05-13,31
2006-05-14 - 2006-05-20,30
2006-05-21 - 2006-05-27,28
2006-05-28 - 2006-06-03,25
2006-06-04 - 2006-06-10,32
2006-06-11 - 2006-06-17,29
2006-06-18 - 2006-06-24,28
2006-06-25 - 2006-07-01,24
2006-07-02 - 2006-07-08,28
2006-07-09 - 2006-07-15,27
2006-07-16 - 2006-07-22,31
2006-07-23 - 2006-07-29,31
2006-07-30 - 2006-08-05,35
2006-08-06 - 2006-08-12,37
2006-08-13 - 2006-08-19,52
2006-08-20 - 2006-08-26,45
2006-08-27 - 2006-09-02,43
2006-09-03 - 2006-09-09,43
2006-09-10 - 2006-09-16,49
2006-09-17 - 2006-09-23,50
2006-09-24 - 2006-09-30,55
2006-10-01 - 2006-10-07,56
2006-10-08 - 2006-10-14,54
2006-10-15 - 2006-10-21,54
2006-10-22 - 2006-10-28,55
2006-10-29 - 2006-11-04,51
2006-11-05 - 2006-11-11,51
2006-11-12 - 2006-11-18,57
2006-11-19 - 2006-11-25,52
2006-11-26 - 2006-12-02,48
2006-12-03 - 2006-12-09,53
2006-12-10 - 2006-12-16,47
2006-12-17 - 2006-12-23,48
2006-12-24 - 2006-12-30,45
2006-12-31 - 2007-01-06,45
2007-01-07 - 2007-01-13,50
2007-01-14 - 2007-01-20,45
2007-01-21 - 2007-01-27,48
2007-01-28 - 2007-02-03,52
2007-02-04 - 2007-02-10,49
2007-02-11 - 2007-02-17,48
2007-02-18 - 2007-02-24,49
2007-02-25 - 2007-03-03,45
2007-03-04 - 2007-03-10,45
2007-03-11 - 2007-03-17,47
2007-03-18 - 2007-03-24,46
2007-03-25 - 2007-03-31,46
2007-04-01 - 2007-04-07,40
2007-04-08 - 2007-04-14,39
2007-04-15 - 2007-04-21,43
2007-04-22 - 2007-04-28,46
2007-04-29 - 2007-05-05,47
2007-05-06 - 2007-05-12,49
2007-05-13 - 2007-05-19,53
2007-05-20 - 2007-05-26,52
2007-05-27 - 2007-06-02,50
2007-06-03 - 2007-06-09,50
2007-06-10 - 2007-06-16,52
2007-06-17 - 2007-06-23,51
2007-06-24 - 2007-06-30,54
2007-07-01 - 2007-07-07,52
2007-07-08 - 2007-07-14,53
2007-07-15 - 2007-07-21,61
2007-07-22 - 2007-07-28,57
2007-07-29 - 2007-08-04,54
2007-08-05 - 2007-08-11,54
2007-08-12 - 2007-08-18,61
2007-08-19 - 2007-08-25,61
2007-08-26 - 2007-09-01,64
2007-09-02 - 2007-09-08,74
2007-09-09 - 2007-09-15,81
2007-09-16 - 2007-09-22,85
2007-09-23 - 2007-09-29,100
2007-09-30 - 2007-10-06,89
2007-10-07 - 2007-10-13,86
2007-10-14 - 2007-10-20,86
2007-10-21 - 2007-10-27,75
2007-10-28 - 2007-11-03,77
2007-11-04 - 2007-11-10,72
2007-11-11 - 2007-11-17,75
2007-11-18 - 2007-11-24,84
2007-11-25 - 2007-12-01,79
2007-12-02 - 2007-12-08,82
2007-12-09 - 2007-12-15,71
2007-12-16 - 2007-12-22,70
2007-12-23 - 2007-12-29,71
2007-12-30 - 2008-01-05,71
2008-01-06 - 2008-01-12,68
2008-01-13 - 2008-01-19,66
2008-01-20 - 2008-01-26,70
2008-01-27 - 2008-02-02,67
2008-02-03 - 2008-02-09,69
2008-02-10 - 2008-02-16,59
2008-02-17 - 2008-02-23,60
2008-02-24 - 2008-03-01,61
2008-03-02 - 2008-03-08,62
2008-03-09 - 2008-03-15,57
2008-03-16 - 2008-03-22,58
2008-03-23 - 2008-03-29,59
2008-03-30 - 2008-04-05,60
2008-04-06 - 2008-04-12,55
2008-04-13 - 2008-04-19,59
2008-04-20 - 2008-04-26,57
2008-04-27 - 2008-05-03,59
2008-05-04 - 2008-05-10,57
2008-05-11 - 2008-05-17,56
2008-05-18 - 2008-05-24,53
2008-05-25 - 2008-05-31,50
2008-06-01 - 2008-06-07,52
2008-06-08 - 2008-06-14,53
2008-06-15 - 2008-06-21,52
2008-06-22 - 2008-06-28,53
2008-06-29 - 2008-07-05,50
2008-07-06 - 2008-07-12,55
2008-07-13 - 2008-07-19,55
2008-07-20 - 2008-07-26,54
2008-07-27 - 2008-08-02,55
2008-08-03 - 2008-08-09,58
2008-08-10 - 2008-08-16,57
2008-08-17 - 2008-08-23,61
2008-08-24 - 2008-08-30,62
2008-08-31 - 2008-09-06,61
2008-09-07 - 2008-09-13,61
2008-09-14 - 2008-09-20,62
2008-09-21 - 2008-09-27,61
2008-09-28 - 2008-10-04,70
2008-10-05 - 2008-10-11,70
2008-10-12 - 2008-10-18,65
2008-10-19 - 2008-10-25,77
2008-10-26 - 2008-11-01,93
2008-11-02 - 2008-11-08,85
2008-11-09 - 2008-11-15,89
2008-11-16 - 2008-11-22,86
2008-11-23 - 2008-11-29,74
2008-11-30 - 2008-12-06,79
2008-12-07 - 2008-12-13,79
2008-12-14 - 2008-12-20,69
2008-12-21 - 2008-12-27,59
2008-12-28 - 2009-01-03,59
2009-01-04 - 2009-01-10,57
2009-01-11 - 2009-01-17,61
2009-01-18 - 2009-01-24,59
2009-01-25 - 2009-01-31,56
2009-02-01 - 2009-02-07,61
2009-02-08 - 2009-02-14,55
2009-02-15 - 2009-02-21,57
2009-02-22 - 2009-02-28,62
2009-03-01 - 2009-03-07,64
2009-03-08 - 2009-03-14,63
2009-03-15 - 2009-03-21,59
2009-03-22 - 2009-03-28,58
2009-03-29 - 2009-04-04,53
2009-04-05 - 2009-04-11,50
2009-04-12 - 2009-04-18,48
2009-04-19 - 2009-04-25,50
2009-04-26 - 2009-05-02,52
2009-05-03 - 2009-05-09,49
2009-05-10 - 2009-05-16,48
2009-05-17 - 2009-05-23,48
2009-05-24 - 2009-05-30,44
2009-05-31 - 2009-06-06,44
2009-06-07 - 2009-06-13,45
2009-06-14 - 2009-06-20,41
2009-06-21 - 2009-06-27,40
2009-06-28 - 2009-07-04,37
2009-07-05 - 2009-07-11,38
2009-07-12 - 2009-07-18,36
2009-07-19 - 2009-07-25,40
2009-07-26 - 2009-08-01,41
2009-08-02 - 2009-08-08,40
2009-08-09 - 2009-08-15,42
2009-08-16 - 2009-08-22,40
2009-08-23 - 2009-08-29,41
2009-08-30 - 2009-09-05,40
2009-09-06 - 2009-09-12,40
2009-09-13 - 2009-09-19,40
2009-09-20 - 2009-09-26,41
2009-09-27 - 2009-10-03,38
2009-10-04 - 2009-10-10,37
2009-10-11 - 2009-10-17,39
2009-10-18 - 2009-10-24,35
2009-10-25 - 2009-10-31,35
2009-11-01 - 2009-11-07,38
2009-11-08 - 2009-11-14,34
2009-11-15 - 2009-11-21,32
2009-11-22 - 2009-11-28,32
2009-11-29 - 2009-12-05,29
2009-12-06 - 2009-12-12,30
2009-12-13 - 2009-12-19,30
2009-12-20 - 2009-12-26,27
2009-12-27 - 2010-01-02,27
2010-01-03 - 2010-01-09,31
2010-01-10 - 2010-01-16,32
2010-01-17 - 2010-01-23,31
2010-01-24 - 2010-01-30,32
2010-01-31 - 2010-02-06,32
2010-02-07 - 2010-02-13,34
2010-02-14 - 2010-02-20,30
2010-02-21 - 2010-02-27,31
2010-02-28 - 2010-03-06,30
2010-03-07 - 2010-03-13,31
2010-03-14 - 2010-03-20,31
2010-03-21 - 2010-03-27,30
2010-03-28 - 2010-04-03,30
2010-04-04 - 2010-04-10,29
2010-04-11 - 2010-04-17,29
2010-04-18 - 2010-04-24,28
2010-04-25 - 2010-05-01,31
2010-05-02 - 2010-05-08,30
2010-05-09 - 2010-05-15,30
2010-05-16 - 2010-05-22,29
2010-05-23 - 2010-05-29,29
2010-05-30 - 2010-06-05,28
2010-06-06 - 2010-06-12,27
2010-06-13 - 2010-06-19,27
2010-06-20 - 2010-06-26,28
2010-06-27 - 2010-07-03,26
2010-07-04 - 2010-07-10,26
2010-07-11 - 2010-07-17,26
2010-07-18 - 2010-07-24,28
2010-07-25 - 2010-07-31,25
2010-08-01 - 2010-08-07,29
2010-08-08 - 2010-08-14,30
2010-08-15 - 2010-08-21,31
2010-08-22 - 2010-08-28,32
2010-08-29 - 2010-09-04,32
2010-09-05 - 2010-09-11,34
2010-09-12 - 2010-09-18,34
2010-09-19 - 2010-09-25,33
2010-09-26 - 2010-10-02,36
2010-10-03 - 2010-10-09,34
2010-10-10 - 2010-10-16,34
2010-10-17 - 2010-10-23,33
2010-10-24 - 2010-10-30,33
2010-10-31 - 2010-11-06,35
2010-11-07 - 2010-11-13,34
2010-11-14 - 2010-11-20,34
2010-11-21 - 2010-11-27,32
2010-11-28 - 2010-12-04,34
2010-12-05 - 2010-12-11,35
2010-12-12 - 2010-12-18,35
2010-12-19 - 2010-12-25,32
2010-12-26 - 2011-01-01,31
2011-01-02 - 2011-01-08,39
2011-01-09 - 2011-01-15,36
2011-01-16 - 2011-01-22,36
2011-01-23 - 2011-01-29,36
2011-01-30 - 2011-02-05,35
2011-02-06 - 2011-02-12,34
2011-02-13 - 2011-02-19,35
2011-02-20 - 2011-02-26,33
2011-02-27 - 2011-03-05,32
2011-03-06 - 2011-03-12,31
2011-03-13 - 2011-03-19,33
2011-03-20 - 2011-03-26,33
2011-03-27 - 2011-04-02,31
2011-04-03 - 2011-04-09,31
2011-04-10 - 2011-04-16,31
2011-04-17 - 2011-04-23,30
2011-04-24 - 2011-04-30,30
2011-05-01 - 2011-05-07,30
2011-05-08 - 2011-05-14,32
2011-05-15 - 2011-05-21,32
2011-05-22 - 2011-05-28,31
2011-05-29 - 2011-06-04,30
2011-06-05 - 2011-06-11,31
2011-06-12 - 2011-06-18,29
2011-06-19 - 2011-06-25,28
2011-06-26 - 2011-07-02,28
2011-07-03 - 2011-07-09,29
2011-07-10 - 2011-07-16,29
2011-07-17 - 2011-07-23,29
2011-07-24 - 2011-07-30,28
2011-07-31 - 2011-08-06,30
2011-08-07 - 2011-08-13,31
2011-08-14 - 2011-08-20,33
2011-08-21 - 2011-08-27,34
2011-08-28 - 2011-09-03,34
2011-09-04 - 2011-09-10,35
2011-09-11 - 2011-09-17,35
2011-09-18 - 2011-09-24,34
2011-09-25 - 2011-10-01,33
2011-10-02 - 2011-10-08,35
2011-10-09 - 2011-10-15,34
2011-10-16 - 2011-10-22,32
2011-10-23 - 2011-10-29,35
2011-10-30 - 2011-11-05,37
2011-11-06 - 2011-11-12,37
2011-11-13 - 2011-11-19,39
2011-11-20 - 2011-11-26,35
2011-11-27 - 2011-12-03,36
2011-12-04 - 2011-12-10,38
2011-12-11 - 2011-12-17,37
2011-12-18 - 2011-12-24,35
2011-12-25 - 2011-12-31,34
2012-01-01 - 2012-01-07,34
2012-01-08 - 2012-01-14,36
2012-01-15 - 2012-01-21,35
2012-01-22 - 2012-01-28,37
2012-01-29 - 2012-02-04,37
2012-02-05 - 2012-02-11,37
2012-02-12 - 2012-02-18,36
2012-02-19 - 2012-02-25,35
2012-02-26 - 2012-03-03,36
2012-03-04 - 2012-03-10,35
2012-03-11 - 2012-03-17,35
2012-03-18 - 2012-03-24,35
2012-03-25 - 2012-03-31,33
2012-04-01 - 2012-04-07,34
2012-04-08 - 2012-04-14,32
2012-04-15 - 2012-04-21,34
2012-04-22 - 2012-04-28,34
2012-04-29 - 2012-05-05,34
2012-05-06 - 2012-05-12,34
2012-05-13 - 2012-05-19,34
2012-05-20 - 2012-05-26,33
2012-05-27 - 2012-06-02,30
2012-06-03 - 2012-06-09,31
2012-06-10 - 2012-06-16,30
2012-06-17 - 2012-06-23,30
2012-06-24 - 2012-06-30,30
2012-07-01 - 2012-07-07,31
2012-07-08 - 2012-07-14,30
2012-07-15 - 2012-07-21,30
2012-07-22 - 2012-07-28,30
2012-07-29 - 2012-08-04,30
2012-08-05 - 2012-08-11,31
2012-08-12 - 2012-08-18,31
2012-08-19 - 2012-08-25,33
2012-08-26 - 2012-09-01,34
2012-09-02 - 2012-09-08,33
2012-09-09 - 2012-09-15,34
2012-09-16 - 2012-09-22,34
2012-09-23 - 2012-09-29,33
2012-09-30 - 2012-10-06,35
2012-10-07 - 2012-10-13,33
2012-10-14 - 2012-10-20,34
2012-10-21 - 2012-10-27,35
2012-10-28 - 2012-11-03,36
2012-11-04 - 2012-11-10,33
2012-11-11 - 2012-11-17,34
2012-11-18 - 2012-11-24,31
2012-11-25 - 2012-12-01,33
2012-12-02 - 2012-12-08,34
2012-12-09 - 2012-12-15,33
2012-12-16 - 2012-12-22,33
2012-12-23 - 2012-12-29,30
2012-12-30 - 2013-01-05,32
2013-01-06 - 2013-01-12,33
2013-01-13 - 2013-01-19,33
2013-01-20 - 2013-01-26,33
2013-01-27 - 2013-02-02,34
2013-02-03 - 2013-02-09,34
2013-02-10 - 2013-02-16,33
2013-02-17 - 2013-02-23,33
2013-02-24 - 2013-03-02,33
2013-03-03 - 2013-03-09,33
2013-03-10 - 2013-03-16,33
2013-03-17 - 2013-03-23,30
2013-03-24 - 2013-03-30,32
2013-03-31 - 2013-04-06,34
2013-04-07 - 2013-04-13,32
2013-04-14 - 2013-04-20,33
2013-04-21 - 2013-04-27,32
2013-04-28 - 2013-05-04,33
2013-05-05 - 2013-05-11,32
2013-05-12 - 2013-05-18,30
2013-05-19 - 2013-05-25,31
2013-05-26 - 2013-06-01,30
2013-06-02 - 2013-06-08,30
2013-06-09 - 2013-06-15,31
2013-06-16 - 2013-06-22,29
2013-06-23 - 2013-06-29,30
2013-06-30 - 2013-07-06,30
2013-07-07 - 2013-07-13,30
2013-07-14 - 2013-07-20,30
2013-07-21 - 2013-07-27,30
2013-07-28 - 2013-08-03,30
2013-08-04 - 2013-08-10,29
2013-08-11 - 2013-08-17,29
2013-08-18 - 2013-08-24,31
2013-08-25 - 2013-08-31,31
2013-09-01 - 2013-09-07,30
2013-09-08 - 2013-09-14,30
2013-09-15 - 2013-09-21,30
2013-09-22 - 2013-09-28,31
2013-09-29 - 2013-10-05,33
2013-10-06 - 2013-10-12,32
2013-10-13 - 2013-10-19,32
2013-10-20 - 2013-10-26,34
2013-10-27 - 2013-11-02,34
2013-11-03 - 2013-11-09,32
2013-11-10 - 2013-11-16,34
2013-11-17 - 2013-11-23,34
2013-11-24 - 2013-11-30,32
2013-12-01 - 2013-12-07,31
2013-12-08 - 2013-12-14,32
2013-12-15 - 2013-12-21,32
2013-12-22 - 2013-12-28,29
2013-12-29 - 2014-01-04,31
2014-01-05 - 2014-01-11,33
2014-01-12 - 2014-01-18,32
2014-01-19 - 2014-01-25,31
2014-01-26 - 2014-02-01,33
2014-02-02 - 2014-02-08,32
2014-02-09 - 2014-02-15,32
2014-02-16 - 2014-02-22,29
2014-02-23 - 2014-03-01,30
2014-03-02 - 2014-03-08,32
2014-03-09 - 2014-03-15,30
2014-03-16 - 2014-03-22,29
2014-03-23 - 2014-03-29,29
2014-03-30 - 2014-04-05,31
2014-04-06 - 2014-04-12,30
2014-04-13 - 2014-04-19,29
2014-04-20 - 2014-04-26,29
2014-04-27 - 2014-05-03,30
2014-05-04 - 2014-05-10,29
2014-05-11 - 2014-05-17,29
2014-05-18 - 2014-05-24,29
2014-05-25 - 2014-05-31,29
2014-06-01 - 2014-06-07,29
2014-06-08 - 2014-06-14,29
2014-06-15 - 2014-06-21,29
2014-06-22 - 2014-06-28,28
2014-06-29 - 2014-07-05,28
2014-07-06 - 2014-07-12,30
2014-07-13 - 2014-07-19,28
2014-07-20 - 2014-07-26,29
2014-07-27 - 2014-08-02,30
2014-08-03 - 2014-08-09,31
2014-08-10 - 2014-08-16,31
2014-08-17 - 2014-08-23,32
2014-08-24 - 2014-08-30,32
2014-08-31 - 2014-09-06,32
2014-09-07 - 2014-09-13,31
2014-09-14 - 2014-09-20,31
2014-09-21 - 2014-09-27,31
2014-09-28 - 2014-10-04,32
2014-10-05 - 2014-10-11,32
2014-10-12 - 2014-10-18,33
2014-10-19 - 2014-10-25,32
2014-10-26 - 2014-11-01,35
2014-11-02 - 2014-11-08,32
2014-11-09 - 2014-11-15,31
2014-11-16 - 2014-11-22,32
2014-11-23 - 2014-11-29,31
2014-11-30 - 2014-12-06,31
2014-12-07 - 2014-12-13,32
2014-12-14 - 2014-12-20,29
2014-12-21 - 2014-12-27,27
2014-12-28 - 2015-01-03,27
2015-01-04 - 2015-01-10,29
2015-01-11 - 2015-01-17,30
2015-01-18 - 2015-01-24,30
2015-01-25 - 2015-01-31,31
2015-02-01 - 2015-02-07,29
2015-02-08 - 2015-02-14,29
2015-02-15 - 2015-02-21,29
2015-02-22 - 2015-02-28,29
2015-03-01 - 2015-03-07,29
2015-03-08 - 2015-03-14,29
2015-03-15 - 2015-03-21,28
2015-03-22 - 2015-03-28,29
2015-03-29 - 2015-04-04,28
2015-04-05 - 2015-04-11,28
2015-04-12 - 2015-04-18,29
2015-04-19 - 2015-04-25,29
2015-04-26 - 2015-05-02,30
2015-05-03 - 2015-05-09,28
2015-05-10 - 2015-05-16,28
2015-05-17 - 2015-05-23,28
2015-05-24 - 2015-05-30,28
2015-05-31 - 2015-06-06,29
2015-06-07 - 2015-06-13,27
2015-06-14 - 2015-06-20,25
2015-06-21 - 2015-06-27,26
2015-06-28 - 2015-07-04,25
2015-07-05 - 2015-07-11,25
2015-07-12 - 2015-07-18,27
2015-07-19 - 2015-07-25,28
2015-07-26 - 2015-08-01,26
2015-08-02 - 2015-08-08,27
2015-08-09 - 2015-08-15,28
2015-08-16 - 2015-08-22,30
2015-08-23 - 2015-08-29,29
2015-08-30 - 2015-09-05,31
2015-09-06 - 2015-09-12,29
2015-09-13 - 2015-09-19,29
2015-09-20 - 2015-09-26,30
2015-09-27 - 2015-10-03,29
2015-10-04 - 2015-10-10,29
2015-10-11 - 2015-10-17,29
2015-10-18 - 2015-10-24,30
2015-10-25 - 2015-10-31,31
2015-11-01 - 2015-11-07,29
2015-11-08 - 2015-11-14,28
2015-11-15 - 2015-11-21,29
2015-11-22 - 2015-11-28,28
2015-11-29 - 2015-12-05,30
2015-12-06 - 2015-12-12,30
2015-12-13 - 2015-12-19,30
2015-12-20 - 2015-12-26,26
2015-12-27 - 2016-01-02,27
2016-01-03 - 2016-01-09,28
2016-01-10 - 2016-01-16,30
2016-01-17 - 2016-01-23,30
2016-01-24 - 2016-01-30,30
2016-01-31 - 2016-02-06,29
2016-02-07 - 2016-02-13,28
2016-02-14 - 2016-02-20,27
2016-02-21 - 2016-02-27,29
2016-02-28 - 2016-03-05,28
2016-03-06 - 2016-03-12,28
2016-03-13 - 2016-03-19,28
2016-03-20 - 2016-03-26,27
2016-03-27 - 2016-04-02,27
2016-04-03 - 2016-04-09,27
2016-04-10 - 2016-04-16,28
2016-04-17 - 2016-04-23,27
2016-04-24 - 2016-04-30,30


Top regions for hig
Region,hig
Norway,100
Sweden,100
Mexico,68
El Salvador,64
Chile,60
Peru,59
Costa Rica,56
Ecuador,55
Venezuela,51
Bolivia,50
Uruguay,50
Guatemala,42
Dominican Republic,39
Argentina,39
Spain,35
United States,34
Colombia,34
India,27
Malaysia,27
Brazil,27
Philippines,26
Switzerland,25
Italy,25
Belgium,25
United Kingdom,25
Australia,25
Poland,24
Hungary,24
Pakistan,23
Slovakia,23
New Zealand,23
South Africa,22
United Arab Emirates,21
Canada,21
Indonesia,20
Netherlands,20
Germany,20
Singapore,20
Portugal,18
Romania,18
Ireland,18
Austria,18
Finland,17
Denmark,15
Saudi Arabia,15
Czech Republic,14
Egypt,12
France,10
Vietnam,6
Turkey,6
Thailand,6
China,4
Russia,4
Japan,3


Top cities for hig
City,hig
Gävle (Sweden),100
Hartford (United States),15
Oslo (Norway),2
Stockholm (Sweden),2
Mexico City (Mexico),2
Guadalajara (Mexico),2
Santiago (Chile),2
Caracas (Venezuela),2
New York (United States),1
Madrid (Spain),1
San Francisco (United States),1
Buenos Aires (Argentina),1
Bogotá (Colombia),1
Los Angeles (United States),1
Atlanta (United States),1



Top searches for hig
hig school,100
monster hig,55
hig school musical,30
hig capital,20
how hig,15
moster hig,15
hig scool,10
hig heels,5
hig definition,5
hig scool musical,5
hig tech,5
hig hotel,5
apple hig,5
hig school music,5
hig blackboard,5
hig 5,5
ever after hig,5
monter hig,5
hig stock,5
dream hig,5
hig scholl,5
hig school dxd,0
hig energy,0
hig five,0
hig shool musical,0
hig studentportalen,0
studentportalen,0
sky hig,0
ios hig,0
hig langkawi,0
hig private equity,0
gry monster hig,0
iphone hig,0
hig gävle,0



Rising searches for hig
hig school musical,Breakout
monster hig,Breakout
moster hig,Breakout
hig scool,+900%
how hig,+140%
hig school,+40%



