Web Search interest: dow
Worldwide 2004 - present

Interest over time
Week,dow
2009-03-01 - 2009-03-07,48
2009-03-08 - 2009-03-14,40
2009-03-15 - 2009-03-21,34
2009-03-22 - 2009-03-28,36
2009-03-29 - 2009-04-04,33
2009-04-05 - 2009-04-11,30
2009-04-12 - 2009-04-18,28
2009-04-19 - 2009-04-25,27
2009-04-26 - 2009-05-02,25
2009-05-03 - 2009-05-09,26
2009-05-10 - 2009-05-16,25
2009-05-17 - 2009-05-23,24
2009-05-24 - 2009-05-30,22
2009-05-31 - 2009-06-06,26
2009-06-07 - 2009-06-13,22
2009-06-14 - 2009-06-20,22
2009-06-21 - 2009-06-27,21
2009-06-28 - 2009-07-04,20
2009-07-05 - 2009-07-11,21
2009-07-12 - 2009-07-18,23
2009-07-19 - 2009-07-25,24
2009-07-26 - 2009-08-01,23
2009-08-02 - 2009-08-08,24
2009-08-09 - 2009-08-15,23
2009-08-16 - 2009-08-22,23
2009-08-23 - 2009-08-29,22
2009-08-30 - 2009-09-05,21
2009-09-06 - 2009-09-12,20
2009-09-13 - 2009-09-19,22
2009-09-20 - 2009-09-26,20
2009-09-27 - 2009-10-03,19
2009-10-04 - 2009-10-10,20
2009-10-11 - 2009-10-17,24
2009-10-18 - 2009-10-24,21
2009-10-25 - 2009-10-31,21
2009-11-01 - 2009-11-07,21
2009-11-08 - 2009-11-14,20
2009-11-15 - 2009-11-21,19
2009-11-22 - 2009-11-28,17
2009-11-29 - 2009-12-05,18
2009-12-06 - 2009-12-12,17
2009-12-13 - 2009-12-19,16
2009-12-20 - 2009-12-26,15
2009-12-27 - 2010-01-02,15
2010-01-03 - 2010-01-09,17
2010-01-10 - 2010-01-16,16
2010-01-17 - 2010-01-23,18
2010-01-24 - 2010-01-30,19
2010-01-31 - 2010-02-06,19
2010-02-07 - 2010-02-13,19
2010-02-14 - 2010-02-20,17
2010-02-21 - 2010-02-27,16
2010-02-28 - 2010-03-06,17
2010-03-07 - 2010-03-13,17
2010-03-14 - 2010-03-20,17
2010-03-21 - 2010-03-27,18
2010-03-28 - 2010-04-03,17
2010-04-04 - 2010-04-10,18
2010-04-11 - 2010-04-17,18
2010-04-18 - 2010-04-24,17
2010-04-25 - 2010-05-01,18
2010-05-02 - 2010-05-08,31
2010-05-09 - 2010-05-15,23
2010-05-16 - 2010-05-22,24
2010-05-23 - 2010-05-29,24
2010-05-30 - 2010-06-05,20
2010-06-06 - 2010-06-12,22
2010-06-13 - 2010-06-19,18
2010-06-20 - 2010-06-26,18
2010-06-27 - 2010-07-03,20
2010-07-04 - 2010-07-10,19
2010-07-11 - 2010-07-17,19
2010-07-18 - 2010-07-24,19
2010-07-25 - 2010-07-31,18
2010-08-01 - 2010-08-07,19
2010-08-08 - 2010-08-14,19
2010-08-15 - 2010-08-21,18
2010-08-22 - 2010-08-28,23
2010-08-29 - 2010-09-04,18
2010-09-05 - 2010-09-11,18
2010-09-12 - 2010-09-18,18
2010-09-19 - 2010-09-25,18
2010-09-26 - 2010-10-02,20
2010-10-03 - 2010-10-09,19
2010-10-10 - 2010-10-16,18
2010-10-17 - 2010-10-23,19
2010-10-24 - 2010-10-30,17
2010-10-31 - 2010-11-06,18
2010-11-07 - 2010-11-13,17
2010-11-14 - 2010-11-20,18
2010-11-21 - 2010-11-27,16
2010-11-28 - 2010-12-04,17
2010-12-05 - 2010-12-11,17
2010-12-12 - 2010-12-18,16
2010-12-19 - 2010-12-25,15
2010-12-26 - 2011-01-01,15
2011-01-02 - 2011-01-08,17
2011-01-09 - 2011-01-15,15
2011-01-16 - 2011-01-22,15
2011-01-23 - 2011-01-29,17
2011-01-30 - 2011-02-05,16
2011-02-06 - 2011-02-12,16
2011-02-13 - 2011-02-19,16
2011-02-20 - 2011-02-26,17
2011-02-27 - 2011-03-05,16
2011-03-06 - 2011-03-12,17
2011-03-13 - 2011-03-19,19
2011-03-20 - 2011-03-26,16
2011-03-27 - 2011-04-02,15
2011-04-03 - 2011-04-09,15
2011-04-10 - 2011-04-16,15
2011-04-17 - 2011-04-23,16
2011-04-24 - 2011-04-30,15
2011-05-01 - 2011-05-07,15
2011-05-08 - 2011-05-14,15
2011-05-15 - 2011-05-21,14
2011-05-22 - 2011-05-28,14
2011-05-29 - 2011-06-04,15
2011-06-05 - 2011-06-11,15
2011-06-12 - 2011-06-18,16
2011-06-19 - 2011-06-25,15
2011-06-26 - 2011-07-02,15
2011-07-03 - 2011-07-09,14
2011-07-10 - 2011-07-16,16
2011-07-17 - 2011-07-23,16
2011-07-24 - 2011-07-30,18
2011-07-31 - 2011-08-06,35
2011-08-07 - 2011-08-13,64
2011-08-14 - 2011-08-20,31
2011-08-21 - 2011-08-27,24
2011-08-28 - 2011-09-03,20
2011-09-04 - 2011-09-10,20
2011-09-11 - 2011-09-17,21
2011-09-18 - 2011-09-24,24
2011-09-25 - 2011-10-01,22
2011-10-02 - 2011-10-08,22
2011-10-09 - 2011-10-15,19
2011-10-16 - 2011-10-22,19
2011-10-23 - 2011-10-29,20
2011-10-30 - 2011-11-05,20
2011-11-06 - 2011-11-12,19
2011-11-13 - 2011-11-19,18
2011-11-20 - 2011-11-26,17
2011-11-27 - 2011-12-03,19
2011-12-04 - 2011-12-10,17
2011-12-11 - 2011-12-17,16
2011-12-18 - 2011-12-24,16
2011-12-25 - 2011-12-31,15
2012-01-01 - 2012-01-07,16
2012-01-08 - 2012-01-14,15
2012-01-15 - 2012-01-21,15
2012-01-22 - 2012-01-28,15
2012-01-29 - 2012-02-04,15
2012-02-05 - 2012-02-11,15
2012-02-12 - 2012-02-18,15
2012-02-19 - 2012-02-25,16
2012-02-26 - 2012-03-03,15
2012-03-04 - 2012-03-10,15
2012-03-11 - 2012-03-17,15
2012-03-18 - 2012-03-24,14
2012-03-25 - 2012-03-31,14
2012-04-01 - 2012-04-07,14
2012-04-08 - 2012-04-14,15
2012-04-15 - 2012-04-21,14
2012-04-22 - 2012-04-28,14
2012-04-29 - 2012-05-05,13
2012-05-06 - 2012-05-12,14
2012-05-13 - 2012-05-19,15
2012-05-20 - 2012-05-26,14
2012-05-27 - 2012-06-02,14
2012-06-03 - 2012-06-09,15
2012-06-10 - 2012-06-16,14
2012-06-17 - 2012-06-23,14
2012-06-24 - 2012-06-30,14
2012-07-01 - 2012-07-07,13
2012-07-08 - 2012-07-14,13
2012-07-15 - 2012-07-21,13
2012-07-22 - 2012-07-28,14
2012-07-29 - 2012-08-04,13
2012-08-05 - 2012-08-11,13
2012-08-12 - 2012-08-18,13
2012-08-19 - 2012-08-25,13
2012-08-26 - 2012-09-01,12
2012-09-02 - 2012-09-08,13
2012-09-09 - 2012-09-15,14
2012-09-16 - 2012-09-22,13
2012-09-23 - 2012-09-29,13
2012-09-30 - 2012-10-06,13
2012-10-07 - 2012-10-13,12
2012-10-14 - 2012-10-20,12
2012-10-21 - 2012-10-27,14
2012-10-28 - 2012-11-03,12
2012-11-04 - 2012-11-10,19
2012-11-11 - 2012-11-17,14
2012-11-18 - 2012-11-24,12
2012-11-25 - 2012-12-01,12
2012-12-02 - 2012-12-08,12
2012-12-09 - 2012-12-15,11
2012-12-16 - 2012-12-22,12
2012-12-23 - 2012-12-29,11
2012-12-30 - 2013-01-05,14
2013-01-06 - 2013-01-12,12
2013-01-13 - 2013-01-19,12
2013-01-20 - 2013-01-26,13
2013-01-27 - 2013-02-02,14
2013-02-03 - 2013-02-09,13
2013-02-10 - 2013-02-16,12
2013-02-17 - 2013-02-23,12
2013-02-24 - 2013-03-02,14
2013-03-03 - 2013-03-09,16
2013-03-10 - 2013-03-16,14
2013-03-17 - 2013-03-23,14
2013-03-24 - 2013-03-30,13
2013-03-31 - 2013-04-06,13
2013-04-07 - 2013-04-13,13
2013-04-14 - 2013-04-20,14
2013-04-21 - 2013-04-27,13
2013-04-28 - 2013-05-04,13
2013-05-05 - 2013-05-11,13
2013-05-12 - 2013-05-18,13
2013-05-19 - 2013-05-25,13
2013-05-26 - 2013-06-01,12
2013-06-02 - 2013-06-08,13
2013-06-09 - 2013-06-15,12
2013-06-16 - 2013-06-22,15
2013-06-23 - 2013-06-29,14
2013-06-30 - 2013-07-06,12
2013-07-07 - 2013-07-13,13
2013-07-14 - 2013-07-20,13
2013-07-21 - 2013-07-27,12
2013-07-28 - 2013-08-03,12
2013-08-04 - 2013-08-10,12
2013-08-11 - 2013-08-17,12
2013-08-18 - 2013-08-24,13
2013-08-25 - 2013-08-31,12
2013-09-01 - 2013-09-07,12
2013-09-08 - 2013-09-14,14
2013-09-15 - 2013-09-21,14
2013-09-22 - 2013-09-28,12
2013-09-29 - 2013-10-05,15
2013-10-06 - 2013-10-12,15
2013-10-13 - 2013-10-19,15
2013-10-20 - 2013-10-26,12
2013-10-27 - 2013-11-02,12
2013-11-03 - 2013-11-09,12
2013-11-10 - 2013-11-16,12
2013-11-17 - 2013-11-23,13
2013-11-24 - 2013-11-30,11
2013-12-01 - 2013-12-07,12
2013-12-08 - 2013-12-14,12
2013-12-15 - 2013-12-21,12
2013-12-22 - 2013-12-28,11
2013-12-29 - 2014-01-04,12
2014-01-05 - 2014-01-11,12
2014-01-12 - 2014-01-18,12
2014-01-19 - 2014-01-25,13
2014-01-26 - 2014-02-01,15
2014-02-02 - 2014-02-08,16
2014-02-09 - 2014-02-15,13
2014-02-16 - 2014-02-22,13
2014-02-23 - 2014-03-01,13
2014-03-02 - 2014-03-08,13
2014-03-09 - 2014-03-15,12
2014-03-16 - 2014-03-22,12
2014-03-23 - 2014-03-29,12
2014-03-30 - 2014-04-05,12
2014-04-06 - 2014-04-12,13
2014-04-13 - 2014-04-19,12
2014-04-20 - 2014-04-26,12
2014-04-27 - 2014-05-03,12
2014-05-04 - 2014-05-10,11
2014-05-11 - 2014-05-17,12
2014-05-18 - 2014-05-24,12
2014-05-25 - 2014-05-31,11
2014-06-01 - 2014-06-07,11
2014-06-08 - 2014-06-14,11
2014-06-15 - 2014-06-21,11
2014-06-22 - 2014-06-28,11
2014-06-29 - 2014-07-05,12
2014-07-06 - 2014-07-12,12
2014-07-13 - 2014-07-19,12
2014-07-20 - 2014-07-26,12
2014-07-27 - 2014-08-02,14
2014-08-03 - 2014-08-09,14
2014-08-10 - 2014-08-16,12
2014-08-17 - 2014-08-23,12
2014-08-24 - 2014-08-30,12
2014-08-31 - 2014-09-06,11
2014-09-07 - 2014-09-13,11
2014-09-14 - 2014-09-20,12
2014-09-21 - 2014-09-27,13
2014-09-28 - 2014-10-04,14
2014-10-05 - 2014-10-11,16
2014-10-12 - 2014-10-18,22
2014-10-19 - 2014-10-25,16
2014-10-26 - 2014-11-01,15
2014-11-02 - 2014-11-08,15
2014-11-09 - 2014-11-15,13
2014-11-16 - 2014-11-22,13
2014-11-23 - 2014-11-29,12
2014-11-30 - 2014-12-06,13
2014-12-07 - 2014-12-13,14
2014-12-14 - 2014-12-20,16
2014-12-21 - 2014-12-27,14
2014-12-28 - 2015-01-03,13
2015-01-04 - 2015-01-10,16
2015-01-11 - 2015-01-17,15
2015-01-18 - 2015-01-24,15
2015-01-25 - 2015-01-31,15
2015-02-01 - 2015-02-07,15
2015-02-08 - 2015-02-14,14
2015-02-15 - 2015-02-21,13
2015-02-22 - 2015-02-28,13
2015-03-01 - 2015-03-07,14
2015-03-08 - 2015-03-14,15
2015-03-15 - 2015-03-21,15
2015-03-22 - 2015-03-28,14
2015-03-29 - 2015-04-04,14
2015-04-05 - 2015-04-11,14
2015-04-12 - 2015-04-18,14
2015-04-19 - 2015-04-25,14
2015-04-26 - 2015-05-02,13
2015-05-03 - 2015-05-09,15
2015-05-10 - 2015-05-16,14
2015-05-17 - 2015-05-23,13
2015-05-24 - 2015-05-30,12
2015-05-31 - 2015-06-06,13
2015-06-07 - 2015-06-13,13
2015-06-14 - 2015-06-20,13
2015-06-21 - 2015-06-27,13
2015-06-28 - 2015-07-04,17
2015-07-05 - 2015-07-11,18
2015-07-12 - 2015-07-18,15
2015-07-19 - 2015-07-25,14
2015-07-26 - 2015-08-01,15
2015-08-02 - 2015-08-08,15
2015-08-09 - 2015-08-15,16
2015-08-16 - 2015-08-22,21
2015-08-23 - 2015-08-29,59
2015-08-30 - 2015-09-05,31
2015-09-06 - 2015-09-12,23
2015-09-13 - 2015-09-19,22
2015-09-20 - 2015-09-26,21
2015-09-27 - 2015-10-03,21
2015-10-04 - 2015-10-10,18
2015-10-11 - 2015-10-17,16
2015-10-18 - 2015-10-24,16
2015-10-25 - 2015-10-31,16
2015-11-01 - 2015-11-07,15
2015-11-08 - 2015-11-14,15
2015-11-15 - 2015-11-21,15
2015-11-22 - 2015-11-28,13
2015-11-29 - 2015-12-05,14
2015-12-06 - 2015-12-12,18
2015-12-13 - 2015-12-19,18
2015-12-20 - 2015-12-26,14
2015-12-27 - 2016-01-02,14
2016-01-03 - 2016-01-09,26
2016-01-10 - 2016-01-16,27
2016-01-17 - 2016-01-23,29
2016-01-24 - 2016-01-30,22
2016-01-31 - 2016-02-06,20
2016-02-07 - 2016-02-13,23
2016-02-14 - 2016-02-20,20
2016-02-21 - 2016-02-27,18
2016-02-28 - 2016-03-05,18
2016-03-06 - 2016-03-12,17
2016-03-13 - 2016-03-19,16
2016-03-20 - 2016-03-26,15
2016-03-27 - 2016-04-02,16
2016-04-03 - 2016-04-09,15
2016-04-10 - 2016-04-16,15
2016-04-17 - 2016-04-23,15
2016-04-24 - 2016-04-30,15


Top regions for dow
Region,dow
Vietnam,100
United States,63
Pakistan,50
Singapore,49
India,44
Australia,32
Canada,26
Bolivia,26
Hong Kong,26
Malaysia,20
United Arab Emirates,19
Romania,17
New Zealand,16
Brazil,14
South Africa,14
Netherlands,14
United Kingdom,14
Switzerland,13
Germany,12
Ireland,12
Belgium,11
Philippines,11
Bulgaria,11
Thailand,11
Portugal,10
Greece,10
Austria,10
Indonesia,10
Peru,9
South Korea,9
Hungary,8
Czech Republic,8
Norway,8
Argentina,8
Spain,8
Mexico,7
Israel,7
Chile,7
Italy,7
Colombia,7
Sweden,7
Taiwan,7
Poland,7
Denmark,6
Finland,6
Saudi Arabia,6
Turkey,6
France,6
China,6
Venezuela,5
Russia,3
Japan,2


Top cities for dow
City,dow
Midland (United States),100
Hanoi (Vietnam),5
Ho Chi Minh City (Vietnam),4
Denver (United States),3
Minneapolis (United States),2
New York (United States),2
Houston (United States),2
Boston (United States),2
Washington (United States),2
Singapore (Singapore),2
New Delhi (India),2
Pune (India),2
Chicago (United States),2
Philadelphia (United States),2
Mumbai (India),2



Top searches for dow
dow jones,100
dow industrial,20
dow average,20
dow jones average,20
dow jones industrial,15
dow industrial average,15
the dow,10
dow stock,10
dow futures,10
dow index,10
dow chemical,10
dow jones index,5
dow jones stock,5
dow corning,5
dow today,5
free dow,5
dow jones today,5
dow yahoo,5
nasdaq,5
dow chart,5
dow jones market,5
dow 2,5
dow stock market,5
stock market,5
dow stocks,0
dow jones chart,0
youtube dow,0
dow jones news,0
futures dow jones,0
dow stock price,0
dow jones live,0
dow 30,0
dow jones yahoo,0
dow agrosciences,0
s&p 500,0
dow jones stocks,0
dow chemicals,0
dow future,0
dow close,0
dow university,0
co dow,0
dow jones history,0
dow idm,0
colorado dow,0
tony dow,0
nyse,0
dow etf,0
dow chemical company,0
dow jones companies,0
dow jones cnn,0



Rising searches for dow
dow jones today,+1,100%
dow today,+1,000%
dow futures,+500%
dow yahoo,+150%
dow industrial average,+120%
free dow,+110%
dow jones average,+90%
dow average,+80%
dow jones industrial,+80%
dow industrial,+70%



