Web Search interest: unp
Worldwide 2004 - present

Interest over time
Week,unp
2007-11-25 - 2007-12-01,23
2007-12-02 - 2007-12-08,22
2007-12-09 - 2007-12-15,29
2007-12-16 - 2007-12-22,20
2007-12-23 - 2007-12-29,18
2007-12-30 - 2008-01-05,25
2008-01-06 - 2008-01-12,26
2008-01-13 - 2008-01-19,23
2008-01-20 - 2008-01-26,22
2008-01-27 - 2008-02-02,19
2008-02-03 - 2008-02-09,17
2008-02-10 - 2008-02-16,29
2008-02-17 - 2008-02-23,27
2008-02-24 - 2008-03-01,27
2008-03-02 - 2008-03-08,23
2008-03-09 - 2008-03-15,33
2008-03-16 - 2008-03-22,22
2008-03-23 - 2008-03-29,23
2008-03-30 - 2008-04-05,23
2008-04-06 - 2008-04-12,24
2008-04-13 - 2008-04-19,30
2008-04-20 - 2008-04-26,27
2008-04-27 - 2008-05-03,22
2008-05-04 - 2008-05-10,38
2008-05-11 - 2008-05-17,32
2008-05-18 - 2008-05-24,28
2008-05-25 - 2008-05-31,29
2008-06-01 - 2008-06-07,29
2008-06-08 - 2008-06-14,28
2008-06-15 - 2008-06-21,34
2008-06-22 - 2008-06-28,34
2008-06-29 - 2008-07-05,29
2008-07-06 - 2008-07-12,22
2008-07-13 - 2008-07-19,21
2008-07-20 - 2008-07-26,25
2008-07-27 - 2008-08-02,25
2008-08-03 - 2008-08-09,27
2008-08-10 - 2008-08-16,28
2008-08-17 - 2008-08-23,31
2008-08-24 - 2008-08-30,26
2008-08-31 - 2008-09-06,28
2008-09-07 - 2008-09-13,35
2008-09-14 - 2008-09-20,28
2008-09-21 - 2008-09-27,23
2008-09-28 - 2008-10-04,27
2008-10-05 - 2008-10-11,34
2008-10-12 - 2008-10-18,30
2008-10-19 - 2008-10-25,33
2008-10-26 - 2008-11-01,30
2008-11-02 - 2008-11-08,29
2008-11-09 - 2008-11-15,33
2008-11-16 - 2008-11-22,27
2008-11-23 - 2008-11-29,37
2008-11-30 - 2008-12-06,31
2008-12-07 - 2008-12-13,35
2008-12-14 - 2008-12-20,33
2008-12-21 - 2008-12-27,23
2008-12-28 - 2009-01-03,24
2009-01-04 - 2009-01-10,29
2009-01-11 - 2009-01-17,27
2009-01-18 - 2009-01-24,32
2009-01-25 - 2009-01-31,34
2009-02-01 - 2009-02-07,38
2009-02-08 - 2009-02-14,44
2009-02-15 - 2009-02-21,35
2009-02-22 - 2009-02-28,29
2009-03-01 - 2009-03-07,39
2009-03-08 - 2009-03-14,38
2009-03-15 - 2009-03-21,31
2009-03-22 - 2009-03-28,33
2009-03-29 - 2009-04-04,29
2009-04-05 - 2009-04-11,30
2009-04-12 - 2009-04-18,37
2009-04-19 - 2009-04-25,33
2009-04-26 - 2009-05-02,29
2009-05-03 - 2009-05-09,41
2009-05-10 - 2009-05-16,35
2009-05-17 - 2009-05-23,34
2009-05-24 - 2009-05-30,35
2009-05-31 - 2009-06-06,37
2009-06-07 - 2009-06-13,33
2009-06-14 - 2009-06-20,38
2009-06-21 - 2009-06-27,40
2009-06-28 - 2009-07-04,30
2009-07-05 - 2009-07-11,30
2009-07-12 - 2009-07-18,29
2009-07-19 - 2009-07-25,46
2009-07-26 - 2009-08-01,40
2009-08-02 - 2009-08-08,40
2009-08-09 - 2009-08-15,41
2009-08-16 - 2009-08-22,46
2009-08-23 - 2009-08-29,34
2009-08-30 - 2009-09-05,36
2009-09-06 - 2009-09-12,36
2009-09-13 - 2009-09-19,56
2009-09-20 - 2009-09-26,31
2009-09-27 - 2009-10-03,34
2009-10-04 - 2009-10-10,41
2009-10-11 - 2009-10-17,38
2009-10-18 - 2009-10-24,41
2009-10-25 - 2009-10-31,32
2009-11-01 - 2009-11-07,32
2009-11-08 - 2009-11-14,32
2009-11-15 - 2009-11-21,35
2009-11-22 - 2009-11-28,37
2009-11-29 - 2009-12-05,36
2009-12-06 - 2009-12-12,44
2009-12-13 - 2009-12-19,40
2009-12-20 - 2009-12-26,33
2009-12-27 - 2010-01-02,28
2010-01-03 - 2010-01-09,35
2010-01-10 - 2010-01-16,33
2010-01-17 - 2010-01-23,41
2010-01-24 - 2010-01-30,39
2010-01-31 - 2010-02-06,35
2010-02-07 - 2010-02-13,81
2010-02-14 - 2010-02-20,50
2010-02-21 - 2010-02-27,47
2010-02-28 - 2010-03-06,48
2010-03-07 - 2010-03-13,38
2010-03-14 - 2010-03-20,34
2010-03-21 - 2010-03-27,35
2010-03-28 - 2010-04-03,32
2010-04-04 - 2010-04-10,35
2010-04-11 - 2010-04-17,38
2010-04-18 - 2010-04-24,37
2010-04-25 - 2010-05-01,45
2010-05-02 - 2010-05-08,47
2010-05-09 - 2010-05-15,40
2010-05-16 - 2010-05-22,40
2010-05-23 - 2010-05-29,41
2010-05-30 - 2010-06-05,38
2010-06-06 - 2010-06-12,47
2010-06-13 - 2010-06-19,49
2010-06-20 - 2010-06-26,43
2010-06-27 - 2010-07-03,41
2010-07-04 - 2010-07-10,49
2010-07-11 - 2010-07-17,73
2010-07-18 - 2010-07-24,67
2010-07-25 - 2010-07-31,42
2010-08-01 - 2010-08-07,54
2010-08-08 - 2010-08-14,40
2010-08-15 - 2010-08-21,41
2010-08-22 - 2010-08-28,39
2010-08-29 - 2010-09-04,37
2010-09-05 - 2010-09-11,41
2010-09-12 - 2010-09-18,42
2010-09-19 - 2010-09-25,53
2010-09-26 - 2010-10-02,35
2010-10-03 - 2010-10-09,35
2010-10-10 - 2010-10-16,36
2010-10-17 - 2010-10-23,36
2010-10-24 - 2010-10-30,33
2010-10-31 - 2010-11-06,34
2010-11-07 - 2010-11-13,40
2010-11-14 - 2010-11-20,51
2010-11-21 - 2010-11-27,49
2010-11-28 - 2010-12-04,41
2010-12-05 - 2010-12-11,41
2010-12-12 - 2010-12-18,52
2010-12-19 - 2010-12-25,39
2010-12-26 - 2011-01-01,25
2011-01-02 - 2011-01-08,34
2011-01-09 - 2011-01-15,36
2011-01-16 - 2011-01-22,38
2011-01-23 - 2011-01-29,48
2011-01-30 - 2011-02-05,78
2011-02-06 - 2011-02-12,59
2011-02-13 - 2011-02-19,43
2011-02-20 - 2011-02-26,65
2011-02-27 - 2011-03-05,43
2011-03-06 - 2011-03-12,33
2011-03-13 - 2011-03-19,41
2011-03-20 - 2011-03-26,43
2011-03-27 - 2011-04-02,41
2011-04-03 - 2011-04-09,44
2011-04-10 - 2011-04-16,54
2011-04-17 - 2011-04-23,47
2011-04-24 - 2011-04-30,46
2011-05-01 - 2011-05-07,39
2011-05-08 - 2011-05-14,37
2011-05-15 - 2011-05-21,44
2011-05-22 - 2011-05-28,42
2011-05-29 - 2011-06-04,43
2011-06-05 - 2011-06-11,46
2011-06-12 - 2011-06-18,55
2011-06-19 - 2011-06-25,61
2011-06-26 - 2011-07-02,72
2011-07-03 - 2011-07-09,86
2011-07-10 - 2011-07-16,53
2011-07-17 - 2011-07-23,86
2011-07-24 - 2011-07-30,43
2011-07-31 - 2011-08-06,55
2011-08-07 - 2011-08-13,52
2011-08-14 - 2011-08-20,52
2011-08-21 - 2011-08-27,63
2011-08-28 - 2011-09-03,47
2011-09-04 - 2011-09-10,58
2011-09-11 - 2011-09-17,49
2011-09-18 - 2011-09-24,40
2011-09-25 - 2011-10-01,42
2011-10-02 - 2011-10-08,42
2011-10-09 - 2011-10-15,44
2011-10-16 - 2011-10-22,52
2011-10-23 - 2011-10-29,45
2011-10-30 - 2011-11-05,47
2011-11-06 - 2011-11-12,41
2011-11-13 - 2011-11-19,42
2011-11-20 - 2011-11-26,46
2011-11-27 - 2011-12-03,41
2011-12-04 - 2011-12-10,46
2011-12-11 - 2011-12-17,59
2011-12-18 - 2011-12-24,51
2011-12-25 - 2011-12-31,36
2012-01-01 - 2012-01-07,53
2012-01-08 - 2012-01-14,60
2012-01-15 - 2012-01-21,54
2012-01-22 - 2012-01-28,43
2012-01-29 - 2012-02-04,54
2012-02-05 - 2012-02-11,49
2012-02-12 - 2012-02-18,47
2012-02-19 - 2012-02-25,37
2012-02-26 - 2012-03-03,52
2012-03-04 - 2012-03-10,60
2012-03-11 - 2012-03-17,46
2012-03-18 - 2012-03-24,52
2012-03-25 - 2012-03-31,54
2012-04-01 - 2012-04-07,44
2012-04-08 - 2012-04-14,57
2012-04-15 - 2012-04-21,52
2012-04-22 - 2012-04-28,50
2012-04-29 - 2012-05-05,44
2012-05-06 - 2012-05-12,45
2012-05-13 - 2012-05-19,50
2012-05-20 - 2012-05-26,49
2012-05-27 - 2012-06-02,57
2012-06-03 - 2012-06-09,51
2012-06-10 - 2012-06-16,57
2012-06-17 - 2012-06-23,77
2012-06-24 - 2012-06-30,80
2012-07-01 - 2012-07-07,67
2012-07-08 - 2012-07-14,55
2012-07-15 - 2012-07-21,40
2012-07-22 - 2012-07-28,51
2012-07-29 - 2012-08-04,46
2012-08-05 - 2012-08-11,44
2012-08-12 - 2012-08-18,55
2012-08-19 - 2012-08-25,61
2012-08-26 - 2012-09-01,70
2012-09-02 - 2012-09-08,66
2012-09-09 - 2012-09-15,49
2012-09-16 - 2012-09-22,48
2012-09-23 - 2012-09-29,45
2012-09-30 - 2012-10-06,45
2012-10-07 - 2012-10-13,41
2012-10-14 - 2012-10-20,53
2012-10-21 - 2012-10-27,47
2012-10-28 - 2012-11-03,42
2012-11-04 - 2012-11-10,60
2012-11-11 - 2012-11-17,43
2012-11-18 - 2012-11-24,46
2012-11-25 - 2012-12-01,46
2012-12-02 - 2012-12-08,55
2012-12-09 - 2012-12-15,54
2012-12-16 - 2012-12-22,44
2012-12-23 - 2012-12-29,33
2012-12-30 - 2013-01-05,41
2013-01-06 - 2013-01-12,48
2013-01-13 - 2013-01-19,53
2013-01-20 - 2013-01-26,70
2013-01-27 - 2013-02-02,56
2013-02-03 - 2013-02-09,49
2013-02-10 - 2013-02-16,52
2013-02-17 - 2013-02-23,54
2013-02-24 - 2013-03-02,46
2013-03-03 - 2013-03-09,50
2013-03-10 - 2013-03-16,46
2013-03-17 - 2013-03-23,44
2013-03-24 - 2013-03-30,42
2013-03-31 - 2013-04-06,47
2013-04-07 - 2013-04-13,55
2013-04-14 - 2013-04-20,54
2013-04-21 - 2013-04-27,50
2013-04-28 - 2013-05-04,52
2013-05-05 - 2013-05-11,53
2013-05-12 - 2013-05-18,44
2013-05-19 - 2013-05-25,44
2013-05-26 - 2013-06-01,51
2013-06-02 - 2013-06-08,51
2013-06-09 - 2013-06-15,55
2013-06-16 - 2013-06-22,65
2013-06-23 - 2013-06-29,83
2013-06-30 - 2013-07-06,69
2013-07-07 - 2013-07-13,60
2013-07-14 - 2013-07-20,51
2013-07-21 - 2013-07-27,50
2013-07-28 - 2013-08-03,49
2013-08-04 - 2013-08-10,53
2013-08-11 - 2013-08-17,60
2013-08-18 - 2013-08-24,59
2013-08-25 - 2013-08-31,69
2013-09-01 - 2013-09-07,74
2013-09-08 - 2013-09-14,51
2013-09-15 - 2013-09-21,50
2013-09-22 - 2013-09-28,47
2013-09-29 - 2013-10-05,46
2013-10-06 - 2013-10-12,50
2013-10-13 - 2013-10-19,51
2013-10-20 - 2013-10-26,49
2013-10-27 - 2013-11-02,54
2013-11-03 - 2013-11-09,47
2013-11-10 - 2013-11-16,46
2013-11-17 - 2013-11-23,43
2013-11-24 - 2013-11-30,50
2013-12-01 - 2013-12-07,62
2013-12-08 - 2013-12-14,60
2013-12-15 - 2013-12-21,45
2013-12-22 - 2013-12-28,38
2013-12-29 - 2014-01-04,43
2014-01-05 - 2014-01-11,53
2014-01-12 - 2014-01-18,54
2014-01-19 - 2014-01-25,70
2014-01-26 - 2014-02-01,59
2014-02-02 - 2014-02-08,54
2014-02-09 - 2014-02-15,73
2014-02-16 - 2014-02-22,54
2014-02-23 - 2014-03-01,48
2014-03-02 - 2014-03-08,43
2014-03-09 - 2014-03-15,49
2014-03-16 - 2014-03-22,51
2014-03-23 - 2014-03-29,56
2014-03-30 - 2014-04-05,55
2014-04-06 - 2014-04-12,60
2014-04-13 - 2014-04-19,54
2014-04-20 - 2014-04-26,53
2014-04-27 - 2014-05-03,51
2014-05-04 - 2014-05-10,58
2014-05-11 - 2014-05-17,50
2014-05-18 - 2014-05-24,54
2014-05-25 - 2014-05-31,65
2014-06-01 - 2014-06-07,65
2014-06-08 - 2014-06-14,54
2014-06-15 - 2014-06-21,53
2014-06-22 - 2014-06-28,67
2014-06-29 - 2014-07-05,100
2014-07-06 - 2014-07-12,75
2014-07-13 - 2014-07-19,71
2014-07-20 - 2014-07-26,60
2014-07-27 - 2014-08-02,45
2014-08-03 - 2014-08-09,73
2014-08-10 - 2014-08-16,73
2014-08-17 - 2014-08-23,78
2014-08-24 - 2014-08-30,73
2014-08-31 - 2014-09-06,86
2014-09-07 - 2014-09-13,63
2014-09-14 - 2014-09-20,61
2014-09-21 - 2014-09-27,60
2014-09-28 - 2014-10-04,57
2014-10-05 - 2014-10-11,55
2014-10-12 - 2014-10-18,67
2014-10-19 - 2014-10-25,55
2014-10-26 - 2014-11-01,51
2014-11-02 - 2014-11-08,52
2014-11-09 - 2014-11-15,52
2014-11-16 - 2014-11-22,55
2014-11-23 - 2014-11-29,64
2014-11-30 - 2014-12-06,76
2014-12-07 - 2014-12-13,68
2014-12-14 - 2014-12-20,46
2014-12-21 - 2014-12-27,37
2014-12-28 - 2015-01-03,38
2015-01-04 - 2015-01-10,47
2015-01-11 - 2015-01-17,52
2015-01-18 - 2015-01-24,84
2015-01-25 - 2015-01-31,63
2015-02-01 - 2015-02-07,61
2015-02-08 - 2015-02-14,65
2015-02-15 - 2015-02-21,45
2015-02-22 - 2015-02-28,67
2015-03-01 - 2015-03-07,62
2015-03-08 - 2015-03-14,59
2015-03-15 - 2015-03-21,59
2015-03-22 - 2015-03-28,57
2015-03-29 - 2015-04-04,51
2015-04-05 - 2015-04-11,65
2015-04-12 - 2015-04-18,58
2015-04-19 - 2015-04-25,52
2015-04-26 - 2015-05-02,64
2015-05-03 - 2015-05-09,64
2015-05-10 - 2015-05-16,68
2015-05-17 - 2015-05-23,61
2015-05-24 - 2015-05-30,61
2015-05-31 - 2015-06-06,60
2015-06-07 - 2015-06-13,58
2015-06-14 - 2015-06-20,78
2015-06-21 - 2015-06-27,75
2015-06-28 - 2015-07-04,75
2015-07-05 - 2015-07-11,71
2015-07-12 - 2015-07-18,52
2015-07-19 - 2015-07-25,51
2015-07-26 - 2015-08-01,65
2015-08-02 - 2015-08-08,71
2015-08-09 - 2015-08-15,80
2015-08-16 - 2015-08-22,90
2015-08-23 - 2015-08-29,69
2015-08-30 - 2015-09-05,64
2015-09-06 - 2015-09-12,52
2015-09-13 - 2015-09-19,51
2015-09-20 - 2015-09-26,45
2015-09-27 - 2015-10-03,51
2015-10-04 - 2015-10-10,55
2015-10-11 - 2015-10-17,56
2015-10-18 - 2015-10-24,52
2015-10-25 - 2015-10-31,45
2015-11-01 - 2015-11-07,46
2015-11-08 - 2015-11-14,50
2015-11-15 - 2015-11-21,50
2015-11-22 - 2015-11-28,56
2015-11-29 - 2015-12-05,56
2015-12-06 - 2015-12-12,43
2015-12-13 - 2015-12-19,38
2015-12-20 - 2015-12-26,33
2015-12-27 - 2016-01-02,35
2016-01-03 - 2016-01-09,48
2016-01-10 - 2016-01-16,46
2016-01-17 - 2016-01-23,54
2016-01-24 - 2016-01-30,61
2016-01-31 - 2016-02-06,50
2016-02-07 - 2016-02-13,50
2016-02-14 - 2016-02-20,49
2016-02-21 - 2016-02-27,53
2016-02-28 - 2016-03-05,52
2016-03-06 - 2016-03-12,48
2016-03-13 - 2016-03-19,53
2016-03-20 - 2016-03-26,45
2016-03-27 - 2016-04-02,57
2016-04-03 - 2016-04-09,51
2016-04-10 - 2016-04-16,51
2016-04-17 - 2016-04-23,46
2016-04-24 - 2016-04-30,55


Top regions for unp
Region,unp
Peru,100
Sri Lanka,99
Indonesia,97
Brazil,71
Croatia,9
Slovenia,9
Colombia,7
South Korea,6
Netherlands,4
Iran,4
Russia,4
Philippines,4
Argentina,3
Romania,3
Denmark,2
Japan,2
Finland,2
Austria,2
Ukraine,2
Switzerland,2
United States,2
Germany,2
Taiwan,2
Sweden,2
United Kingdom,2
India,2
Italy,2
Canada,2
Mexico,2
Spain,1
France,1
Australia,1
Poland,1
China,1


Top cities for unp
City,unp
Padang (Indonesia),100
Mossoró (Brazil),93
Natal (Brazil),92
Piura (Peru),59
Jaboatão dos Guararapes (Brazil),55
Dumai (Indonesia),40
Pekanbaru (Indonesia),40
Medan (Indonesia),4
Homagama (Sri Lanka),3
Fortaleza (Brazil),3
Recife (Brazil),2
Breña (Peru),1
Jakarta (Indonesia),1
Rio de Janeiro (Brazil),1
Surabaya (Indonesia),1



Top searches for unp
portal unp,100
skyrim unp,65
unp virtual,55
unp natal,50
unp rn,45
unp body,25
unp padang,25
cbbe,20
unp natal rn,20
unp cursos,20
unp piura,15
unp kediri,15
skyrim unp body,15
unp mossoro,15
portal unp 2,15
unp vestibular,15
unp auto,15
unp login,10
unp auto atendimento,10
faculdade unp,10
sertifikasi unp,10
medicina unp,10
unpb,10
fies unp,10
facex,10
unp stock,10
logo unp,10
portal akademik unp,10
portal akademik,10
unp body mod,10
autoatendimento unp,10
sertifikasi guru unp,5
dimonized unp,5
portal2 unp,5
site unp,5
spmb unp,5



Rising searches for unp
cbbe,Breakout
portal unp,Breakout
skyrim unp,Breakout
unp body,Breakout
unp virtual,Breakout
unp padang,+450%
unp natal rn,+200%
unp rn,+130%
unp natal,+80%



