Web Search interest: bac
Worldwide 2004 - present

Interest over time
Week,bac
2005-08-14 - 2005-08-20,4
2005-08-21 - 2005-08-27,4
2005-08-28 - 2005-09-03,5
2005-09-04 - 2005-09-10,7
2005-09-11 - 2005-09-17,6
2005-09-18 - 2005-09-24,6
2005-09-25 - 2005-10-01,6
2005-10-02 - 2005-10-08,6
2005-10-09 - 2005-10-15,6
2005-10-16 - 2005-10-22,6
2005-10-23 - 2005-10-29,5
2005-10-30 - 2005-11-05,6
2005-11-06 - 2005-11-12,6
2005-11-13 - 2005-11-19,7
2005-11-20 - 2005-11-26,6
2005-11-27 - 2005-12-03,6
2005-12-04 - 2005-12-10,6
2005-12-11 - 2005-12-17,6
2005-12-18 - 2005-12-24,5
2005-12-25 - 2005-12-31,5
2006-01-01 - 2006-01-07,7
2006-01-08 - 2006-01-14,7
2006-01-15 - 2006-01-21,7
2006-01-22 - 2006-01-28,8
2006-01-29 - 2006-02-04,8
2006-02-05 - 2006-02-11,7
2006-02-12 - 2006-02-18,6
2006-02-19 - 2006-02-25,6
2006-02-26 - 2006-03-04,7
2006-03-05 - 2006-03-11,9
2006-03-12 - 2006-03-18,9
2006-03-19 - 2006-03-25,8
2006-03-26 - 2006-04-01,8
2006-04-02 - 2006-04-08,8
2006-04-09 - 2006-04-15,8
2006-04-16 - 2006-04-22,7
2006-04-23 - 2006-04-29,8
2006-04-30 - 2006-05-06,9
2006-05-07 - 2006-05-13,10
2006-05-14 - 2006-05-20,11
2006-05-21 - 2006-05-27,11
2006-05-28 - 2006-06-03,14
2006-06-04 - 2006-06-10,21
2006-06-11 - 2006-06-17,41
2006-06-18 - 2006-06-24,22
2006-06-25 - 2006-07-01,19
2006-07-02 - 2006-07-08,78
2006-07-09 - 2006-07-15,16
2006-07-16 - 2006-07-22,7
2006-07-23 - 2006-07-29,5
2006-07-30 - 2006-08-05,4
2006-08-06 - 2006-08-12,4
2006-08-13 - 2006-08-19,4
2006-08-20 - 2006-08-26,5
2006-08-27 - 2006-09-02,6
2006-09-03 - 2006-09-09,7
2006-09-10 - 2006-09-16,7
2006-09-17 - 2006-09-23,6
2006-09-24 - 2006-09-30,6
2006-10-01 - 2006-10-07,6
2006-10-08 - 2006-10-14,6
2006-10-15 - 2006-10-21,6
2006-10-22 - 2006-10-28,5
2006-10-29 - 2006-11-04,5
2006-11-05 - 2006-11-11,6
2006-11-12 - 2006-11-18,6
2006-11-19 - 2006-11-25,6
2006-11-26 - 2006-12-02,6
2006-12-03 - 2006-12-09,6
2006-12-10 - 2006-12-16,6
2006-12-17 - 2006-12-23,6
2006-12-24 - 2006-12-30,4
2006-12-31 - 2007-01-06,5
2007-01-07 - 2007-01-13,7
2007-01-14 - 2007-01-20,8
2007-01-21 - 2007-01-27,8
2007-01-28 - 2007-02-03,8
2007-02-04 - 2007-02-10,8
2007-02-11 - 2007-02-17,8
2007-02-18 - 2007-02-24,8
2007-02-25 - 2007-03-03,7
2007-03-04 - 2007-03-10,8
2007-03-11 - 2007-03-17,9
2007-03-18 - 2007-03-24,9
2007-03-25 - 2007-03-31,9
2007-04-01 - 2007-04-07,8
2007-04-08 - 2007-04-14,8
2007-04-15 - 2007-04-21,8
2007-04-22 - 2007-04-28,9
2007-04-29 - 2007-05-05,10
2007-05-06 - 2007-05-12,10
2007-05-13 - 2007-05-19,11
2007-05-20 - 2007-05-26,13
2007-05-27 - 2007-06-02,15
2007-06-03 - 2007-06-09,25
2007-06-10 - 2007-06-16,39
2007-06-17 - 2007-06-23,23
2007-06-24 - 2007-06-30,19
2007-07-01 - 2007-07-07,87
2007-07-08 - 2007-07-14,16
2007-07-15 - 2007-07-21,7
2007-07-22 - 2007-07-28,6
2007-07-29 - 2007-08-04,5
2007-08-05 - 2007-08-11,5
2007-08-12 - 2007-08-18,5
2007-08-19 - 2007-08-25,6
2007-08-26 - 2007-09-01,6
2007-09-02 - 2007-09-08,7
2007-09-09 - 2007-09-15,7
2007-09-16 - 2007-09-22,7
2007-09-23 - 2007-09-29,7
2007-09-30 - 2007-10-06,7
2007-10-07 - 2007-10-13,7
2007-10-14 - 2007-10-20,7
2007-10-21 - 2007-10-27,7
2007-10-28 - 2007-11-03,6
2007-11-04 - 2007-11-10,7
2007-11-11 - 2007-11-17,7
2007-11-18 - 2007-11-24,7
2007-11-25 - 2007-12-01,7
2007-12-02 - 2007-12-08,7
2007-12-09 - 2007-12-15,7
2007-12-16 - 2007-12-22,7
2007-12-23 - 2007-12-29,5
2007-12-30 - 2008-01-05,6
2008-01-06 - 2008-01-12,8
2008-01-13 - 2008-01-19,9
2008-01-20 - 2008-01-26,9
2008-01-27 - 2008-02-02,9
2008-02-03 - 2008-02-09,9
2008-02-10 - 2008-02-16,9
2008-02-17 - 2008-02-23,8
2008-02-24 - 2008-03-01,10
2008-03-02 - 2008-03-08,12
2008-03-09 - 2008-03-15,12
2008-03-16 - 2008-03-22,13
2008-03-23 - 2008-03-29,13
2008-03-30 - 2008-04-05,11
2008-04-06 - 2008-04-12,10
2008-04-13 - 2008-04-19,10
2008-04-20 - 2008-04-26,10
2008-04-27 - 2008-05-03,10
2008-05-04 - 2008-05-10,11
2008-05-11 - 2008-05-17,12
2008-05-18 - 2008-05-24,13
2008-05-25 - 2008-05-31,15
2008-06-01 - 2008-06-07,21
2008-06-08 - 2008-06-14,23
2008-06-15 - 2008-06-21,46
2008-06-22 - 2008-06-28,21
2008-06-29 - 2008-07-05,61
2008-07-06 - 2008-07-12,40
2008-07-13 - 2008-07-19,12
2008-07-20 - 2008-07-26,8
2008-07-27 - 2008-08-02,7
2008-08-03 - 2008-08-09,6
2008-08-10 - 2008-08-16,7
2008-08-17 - 2008-08-23,8
2008-08-24 - 2008-08-30,9
2008-08-31 - 2008-09-06,9
2008-09-07 - 2008-09-13,8
2008-09-14 - 2008-09-20,9
2008-09-21 - 2008-09-27,8
2008-09-28 - 2008-10-04,8
2008-10-05 - 2008-10-11,8
2008-10-12 - 2008-10-18,8
2008-10-19 - 2008-10-25,8
2008-10-26 - 2008-11-01,7
2008-11-02 - 2008-11-08,8
2008-11-09 - 2008-11-15,8
2008-11-16 - 2008-11-22,8
2008-11-23 - 2008-11-29,8
2008-11-30 - 2008-12-06,8
2008-12-07 - 2008-12-13,8
2008-12-14 - 2008-12-20,8
2008-12-21 - 2008-12-27,6
2008-12-28 - 2009-01-03,7
2009-01-04 - 2009-01-10,8
2009-01-11 - 2009-01-17,10
2009-01-18 - 2009-01-24,12
2009-01-25 - 2009-01-31,11
2009-02-01 - 2009-02-07,13
2009-02-08 - 2009-02-14,12
2009-02-15 - 2009-02-21,12
2009-02-22 - 2009-02-28,13
2009-03-01 - 2009-03-07,15
2009-03-08 - 2009-03-14,18
2009-03-15 - 2009-03-21,23
2009-03-22 - 2009-03-28,16
2009-03-29 - 2009-04-04,16
2009-04-05 - 2009-04-11,14
2009-04-12 - 2009-04-18,14
2009-04-19 - 2009-04-25,15
2009-04-26 - 2009-05-02,14
2009-05-03 - 2009-05-09,16
2009-05-10 - 2009-05-16,16
2009-05-17 - 2009-05-23,15
2009-05-24 - 2009-05-30,16
2009-05-31 - 2009-06-06,19
2009-06-07 - 2009-06-13,29
2009-06-14 - 2009-06-20,44
2009-06-21 - 2009-06-27,38
2009-06-28 - 2009-07-04,25
2009-07-05 - 2009-07-11,71
2009-07-12 - 2009-07-18,20
2009-07-19 - 2009-07-25,12
2009-07-26 - 2009-08-01,10
2009-08-02 - 2009-08-08,10
2009-08-09 - 2009-08-15,10
2009-08-16 - 2009-08-22,10
2009-08-23 - 2009-08-29,12
2009-08-30 - 2009-09-05,12
2009-09-06 - 2009-09-12,11
2009-09-13 - 2009-09-19,11
2009-09-20 - 2009-09-26,11
2009-09-27 - 2009-10-03,11
2009-10-04 - 2009-10-10,10
2009-10-11 - 2009-10-17,11
2009-10-18 - 2009-10-24,10
2009-10-25 - 2009-10-31,10
2009-11-01 - 2009-11-07,11
2009-11-08 - 2009-11-14,11
2009-11-15 - 2009-11-21,11
2009-11-22 - 2009-11-28,11
2009-11-29 - 2009-12-05,11
2009-12-06 - 2009-12-12,11
2009-12-13 - 2009-12-19,10
2009-12-20 - 2009-12-26,9
2009-12-27 - 2010-01-02,10
2010-01-03 - 2010-01-09,12
2010-01-10 - 2010-01-16,12
2010-01-17 - 2010-01-23,14
2010-01-24 - 2010-01-30,15
2010-01-31 - 2010-02-06,14
2010-02-07 - 2010-02-13,12
2010-02-14 - 2010-02-20,11
2010-02-21 - 2010-02-27,13
2010-02-28 - 2010-03-06,15
2010-03-07 - 2010-03-13,18
2010-03-14 - 2010-03-20,23
2010-03-21 - 2010-03-27,17
2010-03-28 - 2010-04-03,18
2010-04-04 - 2010-04-10,15
2010-04-11 - 2010-04-17,15
2010-04-18 - 2010-04-24,15
2010-04-25 - 2010-05-01,15
2010-05-02 - 2010-05-08,16
2010-05-09 - 2010-05-15,17
2010-05-16 - 2010-05-22,17
2010-05-23 - 2010-05-29,16
2010-05-30 - 2010-06-05,19
2010-06-06 - 2010-06-12,27
2010-06-13 - 2010-06-19,33
2010-06-20 - 2010-06-26,40
2010-06-27 - 2010-07-03,24
2010-07-04 - 2010-07-10,63
2010-07-11 - 2010-07-17,21
2010-07-18 - 2010-07-24,13
2010-07-25 - 2010-07-31,14
2010-08-01 - 2010-08-07,12
2010-08-08 - 2010-08-14,11
2010-08-15 - 2010-08-21,11
2010-08-22 - 2010-08-28,12
2010-08-29 - 2010-09-04,13
2010-09-05 - 2010-09-11,14
2010-09-12 - 2010-09-18,12
2010-09-19 - 2010-09-25,12
2010-09-26 - 2010-10-02,12
2010-10-03 - 2010-10-09,12
2010-10-10 - 2010-10-16,13
2010-10-17 - 2010-10-23,13
2010-10-24 - 2010-10-30,12
2010-10-31 - 2010-11-06,13
2010-11-07 - 2010-11-13,13
2010-11-14 - 2010-11-20,13
2010-11-21 - 2010-11-27,12
2010-11-28 - 2010-12-04,12
2010-12-05 - 2010-12-11,13
2010-12-12 - 2010-12-18,13
2010-12-19 - 2010-12-25,11
2010-12-26 - 2011-01-01,11
2011-01-02 - 2011-01-08,13
2011-01-09 - 2011-01-15,14
2011-01-16 - 2011-01-22,15
2011-01-23 - 2011-01-29,15
2011-01-30 - 2011-02-05,12
2011-02-06 - 2011-02-12,14
2011-02-13 - 2011-02-19,15
2011-02-20 - 2011-02-26,14
2011-02-27 - 2011-03-05,16
2011-03-06 - 2011-03-12,17
2011-03-13 - 2011-03-19,21
2011-03-20 - 2011-03-26,19
2011-03-27 - 2011-04-02,19
2011-04-03 - 2011-04-09,17
2011-04-10 - 2011-04-16,17
2011-04-17 - 2011-04-23,16
2011-04-24 - 2011-04-30,15
2011-05-01 - 2011-05-07,16
2011-05-08 - 2011-05-14,18
2011-05-15 - 2011-05-21,18
2011-05-22 - 2011-05-28,17
2011-05-29 - 2011-06-04,19
2011-06-05 - 2011-06-11,27
2011-06-12 - 2011-06-18,36
2011-06-19 - 2011-06-25,42
2011-06-26 - 2011-07-02,27
2011-07-03 - 2011-07-09,83
2011-07-10 - 2011-07-16,23
2011-07-17 - 2011-07-23,15
2011-07-24 - 2011-07-30,14
2011-07-31 - 2011-08-06,13
2011-08-07 - 2011-08-13,14
2011-08-14 - 2011-08-20,14
2011-08-21 - 2011-08-27,17
2011-08-28 - 2011-09-03,22
2011-09-04 - 2011-09-10,22
2011-09-11 - 2011-09-17,16
2011-09-18 - 2011-09-24,15
2011-09-25 - 2011-10-01,15
2011-10-02 - 2011-10-08,16
2011-10-09 - 2011-10-15,15
2011-10-16 - 2011-10-22,14
2011-10-23 - 2011-10-29,14
2011-10-30 - 2011-11-05,14
2011-11-06 - 2011-11-12,14
2011-11-13 - 2011-11-19,14
2011-11-20 - 2011-11-26,14
2011-11-27 - 2011-12-03,14
2011-12-04 - 2011-12-10,14
2011-12-11 - 2011-12-17,13
2011-12-18 - 2011-12-24,13
2011-12-25 - 2011-12-31,13
2012-01-01 - 2012-01-07,15
2012-01-08 - 2012-01-14,14
2012-01-15 - 2012-01-21,13
2012-01-22 - 2012-01-28,12
2012-01-29 - 2012-02-04,15
2012-02-05 - 2012-02-11,15
2012-02-12 - 2012-02-18,15
2012-02-19 - 2012-02-25,15
2012-02-26 - 2012-03-03,15
2012-03-04 - 2012-03-10,16
2012-03-11 - 2012-03-17,19
2012-03-18 - 2012-03-24,21
2012-03-25 - 2012-03-31,19
2012-04-01 - 2012-04-07,17
2012-04-08 - 2012-04-14,16
2012-04-15 - 2012-04-21,16
2012-04-22 - 2012-04-28,17
2012-04-29 - 2012-05-05,16
2012-05-06 - 2012-05-12,17
2012-05-13 - 2012-05-19,18
2012-05-20 - 2012-05-26,19
2012-05-27 - 2012-06-02,19
2012-06-03 - 2012-06-09,26
2012-06-10 - 2012-06-16,28
2012-06-17 - 2012-06-23,42
2012-06-24 - 2012-06-30,29
2012-07-01 - 2012-07-07,49
2012-07-08 - 2012-07-14,39
2012-07-15 - 2012-07-21,16
2012-07-22 - 2012-07-28,14
2012-07-29 - 2012-08-04,14
2012-08-05 - 2012-08-11,13
2012-08-12 - 2012-08-18,13
2012-08-19 - 2012-08-25,13
2012-08-26 - 2012-09-01,14
2012-09-02 - 2012-09-08,16
2012-09-09 - 2012-09-15,14
2012-09-16 - 2012-09-22,13
2012-09-23 - 2012-09-29,13
2012-09-30 - 2012-10-06,13
2012-10-07 - 2012-10-13,14
2012-10-14 - 2012-10-20,14
2012-10-21 - 2012-10-27,14
2012-10-28 - 2012-11-03,12
2012-11-04 - 2012-11-10,13
2012-11-11 - 2012-11-17,13
2012-11-18 - 2012-11-24,13
2012-11-25 - 2012-12-01,13
2012-12-02 - 2012-12-08,14
2012-12-09 - 2012-12-15,13
2012-12-16 - 2012-12-22,13
2012-12-23 - 2012-12-29,12
2012-12-30 - 2013-01-05,13
2013-01-06 - 2013-01-12,14
2013-01-13 - 2013-01-19,14
2013-01-20 - 2013-01-26,16
2013-01-27 - 2013-02-02,15
2013-02-03 - 2013-02-09,13
2013-02-10 - 2013-02-16,12
2013-02-17 - 2013-02-23,15
2013-02-24 - 2013-03-02,15
2013-03-03 - 2013-03-09,15
2013-03-10 - 2013-03-16,17
2013-03-17 - 2013-03-23,19
2013-03-24 - 2013-03-30,17
2013-03-31 - 2013-04-06,16
2013-04-07 - 2013-04-13,16
2013-04-14 - 2013-04-20,15
2013-04-21 - 2013-04-27,15
2013-04-28 - 2013-05-04,15
2013-05-05 - 2013-05-11,16
2013-05-12 - 2013-05-18,17
2013-05-19 - 2013-05-25,17
2013-05-26 - 2013-06-01,18
2013-06-02 - 2013-06-08,20
2013-06-09 - 2013-06-15,29
2013-06-16 - 2013-06-22,40
2013-06-23 - 2013-06-29,25
2013-06-30 - 2013-07-06,52
2013-07-07 - 2013-07-13,38
2013-07-14 - 2013-07-20,18
2013-07-21 - 2013-07-27,13
2013-07-28 - 2013-08-03,13
2013-08-04 - 2013-08-10,12
2013-08-11 - 2013-08-17,13
2013-08-18 - 2013-08-24,13
2013-08-25 - 2013-08-31,13
2013-09-01 - 2013-09-07,16
2013-09-08 - 2013-09-14,13
2013-09-15 - 2013-09-21,13
2013-09-22 - 2013-09-28,13
2013-09-29 - 2013-10-05,13
2013-10-06 - 2013-10-12,14
2013-10-13 - 2013-10-19,14
2013-10-20 - 2013-10-26,14
2013-10-27 - 2013-11-02,15
2013-11-03 - 2013-11-09,15
2013-11-10 - 2013-11-16,14
2013-11-17 - 2013-11-23,14
2013-11-24 - 2013-11-30,14
2013-12-01 - 2013-12-07,13
2013-12-08 - 2013-12-14,13
2013-12-15 - 2013-12-21,13
2013-12-22 - 2013-12-28,12
2013-12-29 - 2014-01-04,13
2014-01-05 - 2014-01-11,14
2014-01-12 - 2014-01-18,15
2014-01-19 - 2014-01-25,14
2014-01-26 - 2014-02-01,12
2014-02-02 - 2014-02-08,13
2014-02-09 - 2014-02-15,14
2014-02-16 - 2014-02-22,15
2014-02-23 - 2014-03-01,15
2014-03-02 - 2014-03-08,16
2014-03-09 - 2014-03-15,17
2014-03-16 - 2014-03-22,19
2014-03-23 - 2014-03-29,17
2014-03-30 - 2014-04-05,17
2014-04-06 - 2014-04-12,16
2014-04-13 - 2014-04-19,17
2014-04-20 - 2014-04-26,16
2014-04-27 - 2014-05-03,15
2014-05-04 - 2014-05-10,17
2014-05-11 - 2014-05-17,17
2014-05-18 - 2014-05-24,19
2014-05-25 - 2014-05-31,18
2014-06-01 - 2014-06-07,20
2014-06-08 - 2014-06-14,24
2014-06-15 - 2014-06-21,38
2014-06-22 - 2014-06-28,29
2014-06-29 - 2014-07-05,51
2014-07-06 - 2014-07-12,35
2014-07-13 - 2014-07-19,19
2014-07-20 - 2014-07-26,15
2014-07-27 - 2014-08-02,15
2014-08-03 - 2014-08-09,15
2014-08-10 - 2014-08-16,14
2014-08-17 - 2014-08-23,14
2014-08-24 - 2014-08-30,14
2014-08-31 - 2014-09-06,15
2014-09-07 - 2014-09-13,14
2014-09-14 - 2014-09-20,14
2014-09-21 - 2014-09-27,14
2014-09-28 - 2014-10-04,14
2014-10-05 - 2014-10-11,14
2014-10-12 - 2014-10-18,14
2014-10-19 - 2014-10-25,13
2014-10-26 - 2014-11-01,13
2014-11-02 - 2014-11-08,14
2014-11-09 - 2014-11-15,14
2014-11-16 - 2014-11-22,14
2014-11-23 - 2014-11-29,15
2014-11-30 - 2014-12-06,15
2014-12-07 - 2014-12-13,15
2014-12-14 - 2014-12-20,15
2014-12-21 - 2014-12-27,14
2014-12-28 - 2015-01-03,14
2015-01-04 - 2015-01-10,15
2015-01-11 - 2015-01-17,15
2015-01-18 - 2015-01-24,16
2015-01-25 - 2015-01-31,16
2015-02-01 - 2015-02-07,16
2015-02-08 - 2015-02-14,15
2015-02-15 - 2015-02-21,12
2015-02-22 - 2015-02-28,15
2015-03-01 - 2015-03-07,18
2015-03-08 - 2015-03-14,18
2015-03-15 - 2015-03-21,18
2015-03-22 - 2015-03-28,18
2015-03-29 - 2015-04-04,18
2015-04-05 - 2015-04-11,16
2015-04-12 - 2015-04-18,16
2015-04-19 - 2015-04-25,16
2015-04-26 - 2015-05-02,15
2015-05-03 - 2015-05-09,17
2015-05-10 - 2015-05-16,18
2015-05-17 - 2015-05-23,19
2015-05-24 - 2015-05-30,18
2015-05-31 - 2015-06-06,20
2015-06-07 - 2015-06-13,26
2015-06-14 - 2015-06-20,35
2015-06-21 - 2015-06-27,32
2015-06-28 - 2015-07-04,26
2015-07-05 - 2015-07-11,69
2015-07-12 - 2015-07-18,21
2015-07-19 - 2015-07-25,16
2015-07-26 - 2015-08-01,15
2015-08-02 - 2015-08-08,14
2015-08-09 - 2015-08-15,13
2015-08-16 - 2015-08-22,14
2015-08-23 - 2015-08-29,15
2015-08-30 - 2015-09-05,17
2015-09-06 - 2015-09-12,15
2015-09-13 - 2015-09-19,15
2015-09-20 - 2015-09-26,14
2015-09-27 - 2015-10-03,14
2015-10-04 - 2015-10-10,13
2015-10-11 - 2015-10-17,13
2015-10-18 - 2015-10-24,13
2015-10-25 - 2015-10-31,13
2015-11-01 - 2015-11-07,14
2015-11-08 - 2015-11-14,14
2015-11-15 - 2015-11-21,13
2015-11-22 - 2015-11-28,13
2015-11-29 - 2015-12-05,14
2015-12-06 - 2015-12-12,13
2015-12-13 - 2015-12-19,14
2015-12-20 - 2015-12-26,13
2015-12-27 - 2016-01-02,13
2016-01-03 - 2016-01-09,14
2016-01-10 - 2016-01-16,15
2016-01-17 - 2016-01-23,15
2016-01-24 - 2016-01-30,15
2016-01-31 - 2016-02-06,14
2016-02-07 - 2016-02-13,11
2016-02-14 - 2016-02-20,14
2016-02-21 - 2016-02-27,15
2016-02-28 - 2016-03-05,16
2016-03-06 - 2016-03-12,16
2016-03-13 - 2016-03-19,17
2016-03-20 - 2016-03-26,16
2016-03-27 - 2016-04-02,16
2016-04-03 - 2016-04-09,15
2016-04-10 - 2016-04-16,15
2016-04-17 - 2016-04-23,16
2016-04-24 - 2016-04-30,20


Top regions for bac
Region,bac
Vietnam,100
Costa Rica,39
Guadeloupe,33
Martinique,33
Nicaragua,33
Réunion,33
Honduras,28
Senegal,24
Algeria,23
Morocco,22
France,21
Romania,20
Tunisia,20
Côte d’Ivoire,20
Panama,14
Guatemala,10
Belgium,1
United States,1
Canada,1
Switzerland,1
South Korea,1
Taiwan,1
Spain,1


Top cities for bac
City,bac
tp. Thanh Hoá (Vietnam),100
Hanoi (Vietnam),88
Hai Phong (Vietnam),76
Vinh (Vietnam),59
Can Tho (Vietnam),49
Da Nang (Vietnam),47
Ho Chi Minh City (Vietnam),47
Nha Trang (Vietnam),37
San Jose (Costa Rica),26
Managua (Nicaragua),23
Caen (France),16
Rouen (France),16
Nancy (France),16
Rabat (Morocco),16
Marseille (France),15



Top searches for bac
xo so,100
post bac,35
bac pro,25
en bac,20
bac 2013,20
bac 2015,20
resultat bac,20
bac si,20
bac ho,15
post bac admission,15
bac 2014,15
bac 2012,15
bac 2011,15
bac s,15
bac giang,15
bac 2010,10
bac es,10
résultats bac,10
rezultate bac,10
bac san jose,10
resultats bac,5
bac dau,5
bac 2008,5
résultat bac,5
bac stg,5
resultat du bac,5
hai xuan bac,5
bac de français,5
soi cau,5
bac stock,5
edu.ro,5
résultats du bac,0
bac calculator,0
resultat bac 2015,0
bac pro commerce,0
reussite bac,0
luong son bac,0
onisep,0
resultat bac 2013,0
resultats du bac,0
bac acier,0
resultat bac 2014,0
onec bac,0
onec,0
perles du bac,0
xs mien bac,0
bac tv,0
bac panama,0
resultat bac 2012,0
résultat du bac,0



Rising searches for bac
bac 2010,Breakout
bac 2011,Breakout
bac 2012,Breakout
bac 2013,Breakout
bac 2014,Breakout
bac 2015,Breakout
post bac admission,Breakout
xo so,Breakout
bac giang,+4,650%
bac ho,+1,000%



