Web Search interest: msft
Worldwide 2004 - present

Interest over time
Week,msft
2005-05-15 - 2005-05-21,28
2005-05-22 - 2005-05-28,32
2005-05-29 - 2005-06-04,26
2005-06-05 - 2005-06-11,36
2005-06-12 - 2005-06-18,28
2005-06-19 - 2005-06-25,36
2005-06-26 - 2005-07-02,33
2005-07-03 - 2005-07-09,32
2005-07-10 - 2005-07-16,40
2005-07-17 - 2005-07-23,53
2005-07-24 - 2005-07-30,51
2005-07-31 - 2005-08-06,54
2005-08-07 - 2005-08-13,51
2005-08-14 - 2005-08-20,45
2005-08-21 - 2005-08-27,35
2005-08-28 - 2005-09-03,39
2005-09-04 - 2005-09-10,34
2005-09-11 - 2005-09-17,40
2005-09-18 - 2005-09-24,41
2005-09-25 - 2005-10-01,41
2005-10-02 - 2005-10-08,44
2005-10-09 - 2005-10-15,50
2005-10-16 - 2005-10-22,46
2005-10-23 - 2005-10-29,60
2005-10-30 - 2005-11-05,66
2005-11-06 - 2005-11-12,54
2005-11-13 - 2005-11-19,64
2005-11-20 - 2005-11-26,67
2005-11-27 - 2005-12-03,61
2005-12-04 - 2005-12-10,50
2005-12-11 - 2005-12-17,46
2005-12-18 - 2005-12-24,44
2005-12-25 - 2005-12-31,39
2006-01-01 - 2006-01-07,50
2006-01-08 - 2006-01-14,54
2006-01-15 - 2006-01-21,44
2006-01-22 - 2006-01-28,58
2006-01-29 - 2006-02-04,60
2006-02-05 - 2006-02-11,44
2006-02-12 - 2006-02-18,45
2006-02-19 - 2006-02-25,39
2006-02-26 - 2006-03-04,49
2006-03-05 - 2006-03-11,40
2006-03-12 - 2006-03-18,48
2006-03-19 - 2006-03-25,66
2006-03-26 - 2006-04-01,43
2006-04-02 - 2006-04-08,44
2006-04-09 - 2006-04-15,34
2006-04-16 - 2006-04-22,38
2006-04-23 - 2006-04-29,81
2006-04-30 - 2006-05-06,100
2006-05-07 - 2006-05-13,72
2006-05-14 - 2006-05-20,63
2006-05-21 - 2006-05-27,65
2006-05-28 - 2006-06-03,53
2006-06-04 - 2006-06-10,57
2006-06-11 - 2006-06-17,84
2006-06-18 - 2006-06-24,53
2006-06-25 - 2006-07-01,56
2006-07-02 - 2006-07-08,42
2006-07-09 - 2006-07-15,57
2006-07-16 - 2006-07-22,74
2006-07-23 - 2006-07-29,58
2006-07-30 - 2006-08-05,58
2006-08-06 - 2006-08-12,54
2006-08-13 - 2006-08-19,55
2006-08-20 - 2006-08-26,58
2006-08-27 - 2006-09-02,45
2006-09-03 - 2006-09-09,38
2006-09-10 - 2006-09-16,39
2006-09-17 - 2006-09-23,47
2006-09-24 - 2006-09-30,48
2006-10-01 - 2006-10-07,51
2006-10-08 - 2006-10-14,51
2006-10-15 - 2006-10-21,47
2006-10-22 - 2006-10-28,61
2006-10-29 - 2006-11-04,51
2006-11-05 - 2006-11-11,51
2006-11-12 - 2006-11-18,53
2006-11-19 - 2006-11-25,42
2006-11-26 - 2006-12-02,52
2006-12-03 - 2006-12-09,45
2006-12-10 - 2006-12-16,42
2006-12-17 - 2006-12-23,43
2006-12-24 - 2006-12-30,43
2006-12-31 - 2007-01-06,39
2007-01-07 - 2007-01-13,55
2007-01-14 - 2007-01-20,49
2007-01-21 - 2007-01-27,65
2007-01-28 - 2007-02-03,65
2007-02-04 - 2007-02-10,45
2007-02-11 - 2007-02-17,50
2007-02-18 - 2007-02-24,47
2007-02-25 - 2007-03-03,54
2007-03-04 - 2007-03-10,37
2007-03-11 - 2007-03-17,37
2007-03-18 - 2007-03-24,34
2007-03-25 - 2007-03-31,37
2007-04-01 - 2007-04-07,33
2007-04-08 - 2007-04-14,33
2007-04-15 - 2007-04-21,35
2007-04-22 - 2007-04-28,68
2007-04-29 - 2007-05-05,61
2007-05-06 - 2007-05-12,42
2007-05-13 - 2007-05-19,47
2007-05-20 - 2007-05-26,35
2007-05-27 - 2007-06-02,35
2007-06-03 - 2007-06-09,35
2007-06-10 - 2007-06-16,32
2007-06-17 - 2007-06-23,29
2007-06-24 - 2007-06-30,28
2007-07-01 - 2007-07-07,32
2007-07-08 - 2007-07-14,34
2007-07-15 - 2007-07-21,51
2007-07-22 - 2007-07-28,41
2007-07-29 - 2007-08-04,31
2007-08-05 - 2007-08-11,35
2007-08-12 - 2007-08-18,32
2007-08-19 - 2007-08-25,32
2007-08-26 - 2007-09-01,28
2007-09-02 - 2007-09-08,26
2007-09-09 - 2007-09-15,26
2007-09-16 - 2007-09-22,35
2007-09-23 - 2007-09-29,42
2007-09-30 - 2007-10-06,32
2007-10-07 - 2007-10-13,33
2007-10-14 - 2007-10-20,35
2007-10-21 - 2007-10-27,89
2007-10-28 - 2007-11-03,77
2007-11-04 - 2007-11-10,56
2007-11-11 - 2007-11-17,43
2007-11-18 - 2007-11-24,32
2007-11-25 - 2007-12-01,38
2007-12-02 - 2007-12-08,34
2007-12-09 - 2007-12-15,32
2007-12-16 - 2007-12-22,33
2007-12-23 - 2007-12-29,30
2007-12-30 - 2008-01-05,33
2008-01-06 - 2008-01-12,37
2008-01-13 - 2008-01-19,36
2008-01-20 - 2008-01-26,73
2008-01-27 - 2008-02-02,68
2008-02-03 - 2008-02-09,66
2008-02-10 - 2008-02-16,55
2008-02-17 - 2008-02-23,39
2008-02-24 - 2008-03-01,45
2008-03-02 - 2008-03-08,37
2008-03-09 - 2008-03-15,39
2008-03-16 - 2008-03-22,39
2008-03-23 - 2008-03-29,31
2008-03-30 - 2008-04-05,37
2008-04-06 - 2008-04-12,36
2008-04-13 - 2008-04-19,38
2008-04-20 - 2008-04-26,72
2008-04-27 - 2008-05-03,58
2008-05-04 - 2008-05-10,66
2008-05-11 - 2008-05-17,40
2008-05-18 - 2008-05-24,38
2008-05-25 - 2008-05-31,26
2008-06-01 - 2008-06-07,31
2008-06-08 - 2008-06-14,35
2008-06-15 - 2008-06-21,28
2008-06-22 - 2008-06-28,32
2008-06-29 - 2008-07-05,29
2008-07-06 - 2008-07-12,35
2008-07-13 - 2008-07-19,49
2008-07-20 - 2008-07-26,35
2008-07-27 - 2008-08-02,27
2008-08-03 - 2008-08-09,33
2008-08-10 - 2008-08-16,30
2008-08-17 - 2008-08-23,22
2008-08-24 - 2008-08-30,25
2008-08-31 - 2008-09-06,23
2008-09-07 - 2008-09-13,29
2008-09-14 - 2008-09-20,43
2008-09-21 - 2008-09-27,44
2008-09-28 - 2008-10-04,52
2008-10-05 - 2008-10-11,64
2008-10-12 - 2008-10-18,56
2008-10-19 - 2008-10-25,52
2008-10-26 - 2008-11-01,43
2008-11-02 - 2008-11-08,34
2008-11-09 - 2008-11-15,36
2008-11-16 - 2008-11-22,38
2008-11-23 - 2008-11-29,30
2008-11-30 - 2008-12-06,32
2008-12-07 - 2008-12-13,30
2008-12-14 - 2008-12-20,27
2008-12-21 - 2008-12-27,19
2008-12-28 - 2009-01-03,27
2009-01-04 - 2009-01-10,32
2009-01-11 - 2009-01-17,30
2009-01-18 - 2009-01-24,49
2009-01-25 - 2009-01-31,32
2009-02-01 - 2009-02-07,27
2009-02-08 - 2009-02-14,27
2009-02-15 - 2009-02-21,24
2009-02-22 - 2009-02-28,32
2009-03-01 - 2009-03-07,31
2009-03-08 - 2009-03-14,32
2009-03-15 - 2009-03-21,28
2009-03-22 - 2009-03-28,29
2009-03-29 - 2009-04-04,31
2009-04-05 - 2009-04-11,27
2009-04-12 - 2009-04-18,28
2009-04-19 - 2009-04-25,41
2009-04-26 - 2009-05-02,30
2009-05-03 - 2009-05-09,31
2009-05-10 - 2009-05-16,26
2009-05-17 - 2009-05-23,22
2009-05-24 - 2009-05-30,21
2009-05-31 - 2009-06-06,27
2009-06-07 - 2009-06-13,25
2009-06-14 - 2009-06-20,28
2009-06-21 - 2009-06-27,23
2009-06-28 - 2009-07-04,22
2009-07-05 - 2009-07-11,24
2009-07-12 - 2009-07-18,27
2009-07-19 - 2009-07-25,47
2009-07-26 - 2009-08-01,40
2009-08-02 - 2009-08-08,26
2009-08-09 - 2009-08-15,24
2009-08-16 - 2009-08-22,20
2009-08-23 - 2009-08-29,21
2009-08-30 - 2009-09-05,20
2009-09-06 - 2009-09-12,17
2009-09-13 - 2009-09-19,20
2009-09-20 - 2009-09-26,20
2009-09-27 - 2009-10-03,20
2009-10-04 - 2009-10-10,20
2009-10-11 - 2009-10-17,23
2009-10-18 - 2009-10-24,41
2009-10-25 - 2009-10-31,28
2009-11-01 - 2009-11-07,22
2009-11-08 - 2009-11-14,22
2009-11-15 - 2009-11-21,24
2009-11-22 - 2009-11-28,17
2009-11-29 - 2009-12-05,18
2009-12-06 - 2009-12-12,16
2009-12-13 - 2009-12-19,16
2009-12-20 - 2009-12-26,18
2009-12-27 - 2010-01-02,17
2010-01-03 - 2010-01-09,19
2010-01-10 - 2010-01-16,17
2010-01-17 - 2010-01-23,17
2010-01-24 - 2010-01-30,27
2010-01-31 - 2010-02-06,17
2010-02-07 - 2010-02-13,15
2010-02-14 - 2010-02-20,15
2010-02-21 - 2010-02-27,13
2010-02-28 - 2010-03-06,13
2010-03-07 - 2010-03-13,15
2010-03-14 - 2010-03-20,13
2010-03-21 - 2010-03-27,14
2010-03-28 - 2010-04-03,14
2010-04-04 - 2010-04-10,15
2010-04-11 - 2010-04-17,17
2010-04-18 - 2010-04-24,25
2010-04-25 - 2010-05-01,16
2010-05-02 - 2010-05-08,18
2010-05-09 - 2010-05-15,16
2010-05-16 - 2010-05-22,15
2010-05-23 - 2010-05-29,25
2010-05-30 - 2010-06-05,15
2010-06-06 - 2010-06-12,16
2010-06-13 - 2010-06-19,16
2010-06-20 - 2010-06-26,14
2010-06-27 - 2010-07-03,17
2010-07-04 - 2010-07-10,16
2010-07-11 - 2010-07-17,16
2010-07-18 - 2010-07-24,27
2010-07-25 - 2010-07-31,17
2010-08-01 - 2010-08-07,17
2010-08-08 - 2010-08-14,15
2010-08-15 - 2010-08-21,14
2010-08-22 - 2010-08-28,14
2010-08-29 - 2010-09-04,16
2010-09-05 - 2010-09-11,13
2010-09-12 - 2010-09-18,19
2010-09-19 - 2010-09-25,19
2010-09-26 - 2010-10-02,18
2010-10-03 - 2010-10-09,19
2010-10-10 - 2010-10-16,20
2010-10-17 - 2010-10-23,19
2010-10-24 - 2010-10-30,29
2010-10-31 - 2010-11-06,24
2010-11-07 - 2010-11-13,21
2010-11-14 - 2010-11-20,18
2010-11-21 - 2010-11-27,13
2010-11-28 - 2010-12-04,16
2010-12-05 - 2010-12-11,16
2010-12-12 - 2010-12-18,18
2010-12-19 - 2010-12-25,15
2010-12-26 - 2011-01-01,14
2011-01-02 - 2011-01-08,19
2011-01-09 - 2011-01-15,16
2011-01-16 - 2011-01-22,15
2011-01-23 - 2011-01-29,22
2011-01-30 - 2011-02-05,16
2011-02-06 - 2011-02-12,19
2011-02-13 - 2011-02-19,15
2011-02-20 - 2011-02-26,14
2011-02-27 - 2011-03-05,13
2011-03-06 - 2011-03-12,14
2011-03-13 - 2011-03-19,13
2011-03-20 - 2011-03-26,12
2011-03-27 - 2011-04-02,12
2011-04-03 - 2011-04-09,13
2011-04-10 - 2011-04-16,13
2011-04-17 - 2011-04-23,16
2011-04-24 - 2011-04-30,24
2011-05-01 - 2011-05-07,15
2011-05-08 - 2011-05-14,26
2011-05-15 - 2011-05-21,15
2011-05-22 - 2011-05-28,15
2011-05-29 - 2011-06-04,14
2011-06-05 - 2011-06-11,13
2011-06-12 - 2011-06-18,14
2011-06-19 - 2011-06-25,12
2011-06-26 - 2011-07-02,16
2011-07-03 - 2011-07-09,15
2011-07-10 - 2011-07-16,15
2011-07-17 - 2011-07-23,23
2011-07-24 - 2011-07-30,17
2011-07-31 - 2011-08-06,17
2011-08-07 - 2011-08-13,23
2011-08-14 - 2011-08-20,16
2011-08-21 - 2011-08-27,15
2011-08-28 - 2011-09-03,14
2011-09-04 - 2011-09-10,12
2011-09-11 - 2011-09-17,17
2011-09-18 - 2011-09-24,17
2011-09-25 - 2011-10-01,13
2011-10-02 - 2011-10-08,16
2011-10-09 - 2011-10-15,13
2011-10-16 - 2011-10-22,18
2011-10-23 - 2011-10-29,13
2011-10-30 - 2011-11-05,12
2011-11-06 - 2011-11-12,11
2011-11-13 - 2011-11-19,11
2011-11-20 - 2011-11-26,10
2011-11-27 - 2011-12-03,12
2011-12-04 - 2011-12-10,11
2011-12-11 - 2011-12-17,10
2011-12-18 - 2011-12-24,10
2011-12-25 - 2011-12-31,8
2012-01-01 - 2012-01-07,12
2012-01-08 - 2012-01-14,15
2012-01-15 - 2012-01-21,19
2012-01-22 - 2012-01-28,17
2012-01-29 - 2012-02-04,15
2012-02-05 - 2012-02-11,14
2012-02-12 - 2012-02-18,15
2012-02-19 - 2012-02-25,14
2012-02-26 - 2012-03-03,16
2012-03-04 - 2012-03-10,14
2012-03-11 - 2012-03-17,15
2012-03-18 - 2012-03-24,14
2012-03-25 - 2012-03-31,14
2012-04-01 - 2012-04-07,15
2012-04-08 - 2012-04-14,14
2012-04-15 - 2012-04-21,21
2012-04-22 - 2012-04-28,16
2012-04-29 - 2012-05-05,15
2012-05-06 - 2012-05-12,12
2012-05-13 - 2012-05-19,14
2012-05-20 - 2012-05-26,14
2012-05-27 - 2012-06-02,12
2012-06-03 - 2012-06-09,14
2012-06-10 - 2012-06-16,13
2012-06-17 - 2012-06-23,30
2012-06-24 - 2012-06-30,16
2012-07-01 - 2012-07-07,15
2012-07-08 - 2012-07-14,15
2012-07-15 - 2012-07-21,24
2012-07-22 - 2012-07-28,15
2012-07-29 - 2012-08-04,14
2012-08-05 - 2012-08-11,12
2012-08-12 - 2012-08-18,14
2012-08-19 - 2012-08-25,16
2012-08-26 - 2012-09-01,14
2012-09-02 - 2012-09-08,14
2012-09-09 - 2012-09-15,14
2012-09-16 - 2012-09-22,16
2012-09-23 - 2012-09-29,14
2012-09-30 - 2012-10-06,16
2012-10-07 - 2012-10-13,14
2012-10-14 - 2012-10-20,22
2012-10-21 - 2012-10-27,24
2012-10-28 - 2012-11-03,20
2012-11-04 - 2012-11-10,18
2012-11-11 - 2012-11-17,23
2012-11-18 - 2012-11-24,16
2012-11-25 - 2012-12-01,18
2012-12-02 - 2012-12-08,18
2012-12-09 - 2012-12-15,17
2012-12-16 - 2012-12-22,14
2012-12-23 - 2012-12-29,13
2012-12-30 - 2013-01-05,17
2013-01-06 - 2013-01-12,17
2013-01-13 - 2013-01-19,17
2013-01-20 - 2013-01-26,27
2013-01-27 - 2013-02-02,18
2013-02-03 - 2013-02-09,16
2013-02-10 - 2013-02-16,15
2013-02-17 - 2013-02-23,13
2013-02-24 - 2013-03-02,14
2013-03-03 - 2013-03-09,17
2013-03-10 - 2013-03-16,13
2013-03-17 - 2013-03-23,13
2013-03-24 - 2013-03-30,12
2013-03-31 - 2013-04-06,13
2013-04-07 - 2013-04-13,23
2013-04-14 - 2013-04-20,22
2013-04-21 - 2013-04-27,26
2013-04-28 - 2013-05-04,23
2013-05-05 - 2013-05-11,20
2013-05-12 - 2013-05-18,23
2013-05-19 - 2013-05-25,30
2013-05-26 - 2013-06-01,17
2013-06-02 - 2013-06-08,18
2013-06-09 - 2013-06-15,21
2013-06-16 - 2013-06-22,18
2013-06-23 - 2013-06-29,17
2013-06-30 - 2013-07-06,14
2013-07-07 - 2013-07-13,20
2013-07-14 - 2013-07-20,38
2013-07-21 - 2013-07-27,27
2013-07-28 - 2013-08-03,18
2013-08-04 - 2013-08-10,16
2013-08-11 - 2013-08-17,15
2013-08-18 - 2013-08-24,38
2013-08-25 - 2013-08-31,25
2013-09-01 - 2013-09-07,38
2013-09-08 - 2013-09-14,21
2013-09-15 - 2013-09-21,24
2013-09-22 - 2013-09-28,19
2013-09-29 - 2013-10-05,19
2013-10-06 - 2013-10-12,17
2013-10-13 - 2013-10-19,20
2013-10-20 - 2013-10-26,30
2013-10-27 - 2013-11-02,19
2013-11-03 - 2013-11-09,24
2013-11-10 - 2013-11-16,21
2013-11-17 - 2013-11-23,22
2013-11-24 - 2013-11-30,17
2013-12-01 - 2013-12-07,21
2013-12-08 - 2013-12-14,17
2013-12-15 - 2013-12-21,17
2013-12-22 - 2013-12-28,14
2013-12-29 - 2014-01-04,15
2014-01-05 - 2014-01-11,18
2014-01-12 - 2014-01-18,18
2014-01-19 - 2014-01-25,26
2014-01-26 - 2014-02-01,21
2014-02-02 - 2014-02-08,30
2014-02-09 - 2014-02-15,18
2014-02-16 - 2014-02-22,15
2014-02-23 - 2014-03-01,17
2014-03-02 - 2014-03-08,17
2014-03-09 - 2014-03-15,14
2014-03-16 - 2014-03-22,21
2014-03-23 - 2014-03-29,21
2014-03-30 - 2014-04-05,22
2014-04-06 - 2014-04-12,18
2014-04-13 - 2014-04-19,16
2014-04-20 - 2014-04-26,23
2014-04-27 - 2014-05-03,18
2014-05-04 - 2014-05-10,16
2014-05-11 - 2014-05-17,15
2014-05-18 - 2014-05-24,17
2014-05-25 - 2014-05-31,14
2014-06-01 - 2014-06-07,16
2014-06-08 - 2014-06-14,14
2014-06-15 - 2014-06-21,14
2014-06-22 - 2014-06-28,13
2014-06-29 - 2014-07-05,14
2014-07-06 - 2014-07-12,14
2014-07-13 - 2014-07-19,31
2014-07-20 - 2014-07-26,28
2014-07-27 - 2014-08-02,16
2014-08-03 - 2014-08-09,14
2014-08-10 - 2014-08-16,13
2014-08-17 - 2014-08-23,16
2014-08-24 - 2014-08-30,14
2014-08-31 - 2014-09-06,14
2014-09-07 - 2014-09-13,16
2014-09-14 - 2014-09-20,19
2014-09-21 - 2014-09-27,16
2014-09-28 - 2014-10-04,17
2014-10-05 - 2014-10-11,17
2014-10-12 - 2014-10-18,17
2014-10-19 - 2014-10-25,24
2014-10-26 - 2014-11-01,18
2014-11-02 - 2014-11-08,18
2014-11-09 - 2014-11-15,19
2014-11-16 - 2014-11-22,17
2014-11-23 - 2014-11-29,13
2014-11-30 - 2014-12-06,14
2014-12-07 - 2014-12-13,14
2014-12-14 - 2014-12-20,13
2014-12-21 - 2014-12-27,13
2014-12-28 - 2015-01-03,12
2015-01-04 - 2015-01-10,14
2015-01-11 - 2015-01-17,13
2015-01-18 - 2015-01-24,19
2015-01-25 - 2015-01-31,39
2015-02-01 - 2015-02-07,20
2015-02-08 - 2015-02-14,18
2015-02-15 - 2015-02-21,16
2015-02-22 - 2015-02-28,15
2015-03-01 - 2015-03-07,15
2015-03-08 - 2015-03-14,15
2015-03-15 - 2015-03-21,14
2015-03-22 - 2015-03-28,14
2015-03-29 - 2015-04-04,15
2015-04-05 - 2015-04-11,15
2015-04-12 - 2015-04-18,14
2015-04-19 - 2015-04-25,29
2015-04-26 - 2015-05-02,27
2015-05-03 - 2015-05-09,19
2015-05-10 - 2015-05-16,15
2015-05-17 - 2015-05-23,14
2015-05-24 - 2015-05-30,12
2015-05-31 - 2015-06-06,12
2015-06-07 - 2015-06-13,12
2015-06-14 - 2015-06-20,13
2015-06-21 - 2015-06-27,12
2015-06-28 - 2015-07-04,13
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,15
2015-07-19 - 2015-07-25,27
2015-07-26 - 2015-08-01,18
2015-08-02 - 2015-08-08,15
2015-08-09 - 2015-08-15,14
2015-08-16 - 2015-08-22,14
2015-08-23 - 2015-08-29,22
2015-08-30 - 2015-09-05,16
2015-09-06 - 2015-09-12,13
2015-09-13 - 2015-09-19,13
2015-09-20 - 2015-09-26,12
2015-09-27 - 2015-10-03,13
2015-10-04 - 2015-10-10,19
2015-10-11 - 2015-10-17,13
2015-10-18 - 2015-10-24,30
2015-10-25 - 2015-10-31,23
2015-11-01 - 2015-11-07,17
2015-11-08 - 2015-11-14,14
2015-11-15 - 2015-11-21,13
2015-11-22 - 2015-11-28,10
2015-11-29 - 2015-12-05,14
2015-12-06 - 2015-12-12,13
2015-12-13 - 2015-12-19,13
2015-12-20 - 2015-12-26,10
2015-12-27 - 2016-01-02,10
2016-01-03 - 2016-01-09,17
2016-01-10 - 2016-01-16,15
2016-01-17 - 2016-01-23,15
2016-01-24 - 2016-01-30,25
2016-01-31 - 2016-02-06,16
2016-02-07 - 2016-02-13,15
2016-02-14 - 2016-02-20,12
2016-02-21 - 2016-02-27,13
2016-02-28 - 2016-03-05,13
2016-03-06 - 2016-03-12,12
2016-03-13 - 2016-03-19,11
2016-03-20 - 2016-03-26,12
2016-03-27 - 2016-04-02,14
2016-04-03 - 2016-04-09,12
2016-04-10 - 2016-04-16,12
2016-04-17 - 2016-04-23,25
2016-04-24 - 2016-04-30,20


Top regions for msft
Region,msft
United States,100
Singapore,51
Ireland,46
Canada,43
Israel,38
Hong Kong,29
Denmark,20
United Kingdom,19
India,17
Switzerland,16
Taiwan,14
Australia,14
China,13
Sweden,12
Belgium,11
Netherlands,11
Germany,7
France,6
Spain,5
Italy,5
Russia,5
Japan,5
Mexico,4
Brazil,2


Top cities for msft
City,msft
Redmond (United States),100
Bellevue (United States),36
Kirkland (United States),16
Seattle (United States),8
Sunnyvale (United States),7
San Jose (United States),2
San Francisco (United States),2
New York (United States),1
San Diego (United States),1
Hyderabad (India),1
Boston (United States),1
Washington (United States),1
Charlotte (United States),1
Los Angeles (United States),1
Austin (United States),1



Top searches for msft
msft stock,100
aapl,55
msft price,25
msft stock price,15
intc,15
quote msft,15
msft yahoo,15
amzn,15
aapl stock,10
csco,10
msft office,10
msft dividend,10
goog stock,10
msft online,10
msft stocks,5
msft stock quote,5
msft news,5
what is msft,5
msft share,5
orcl,5
microsoft stock,5
msfts,5
msft billing,5
msft earnings,5
msft yahoo finance,5
nasdaq msft,5
sbux,5
mini msft,5
msft xbox live,5



Rising searches for msft
aapl,+1,450%
aapl stock,+1,450%
amzn,+700%
msft stock price,+450%
msft stock,+250%
msft price,+150%
msft yahoo,+90%
csco,+60%
intc,+60%



