Web Search interest: ni
Worldwide 2004 - present

Interest over time
Week,ni
2006-10-08 - 2006-10-14,43
2006-10-15 - 2006-10-21,42
2006-10-22 - 2006-10-28,41
2006-10-29 - 2006-11-04,40
2006-11-05 - 2006-11-11,42
2006-11-12 - 2006-11-18,42
2006-11-19 - 2006-11-25,42
2006-11-26 - 2006-12-02,40
2006-12-03 - 2006-12-09,41
2006-12-10 - 2006-12-16,37
2006-12-17 - 2006-12-23,35
2006-12-24 - 2006-12-30,34
2006-12-31 - 2007-01-06,38
2007-01-07 - 2007-01-13,40
2007-01-14 - 2007-01-20,40
2007-01-21 - 2007-01-27,41
2007-01-28 - 2007-02-03,40
2007-02-04 - 2007-02-10,40
2007-02-11 - 2007-02-17,39
2007-02-18 - 2007-02-24,40
2007-02-25 - 2007-03-03,40
2007-03-04 - 2007-03-10,41
2007-03-11 - 2007-03-17,39
2007-03-18 - 2007-03-24,37
2007-03-25 - 2007-03-31,37
2007-04-01 - 2007-04-07,37
2007-04-08 - 2007-04-14,35
2007-04-15 - 2007-04-21,37
2007-04-22 - 2007-04-28,38
2007-04-29 - 2007-05-05,37
2007-05-06 - 2007-05-12,38
2007-05-13 - 2007-05-19,39
2007-05-20 - 2007-05-26,38
2007-05-27 - 2007-06-02,38
2007-06-03 - 2007-06-09,39
2007-06-10 - 2007-06-16,41
2007-06-17 - 2007-06-23,41
2007-06-24 - 2007-06-30,39
2007-07-01 - 2007-07-07,42
2007-07-08 - 2007-07-14,40
2007-07-15 - 2007-07-21,42
2007-07-22 - 2007-07-28,42
2007-07-29 - 2007-08-04,42
2007-08-05 - 2007-08-11,42
2007-08-12 - 2007-08-18,42
2007-08-19 - 2007-08-25,40
2007-08-26 - 2007-09-01,42
2007-09-02 - 2007-09-08,42
2007-09-09 - 2007-09-15,42
2007-09-16 - 2007-09-22,41
2007-09-23 - 2007-09-29,42
2007-09-30 - 2007-10-06,44
2007-10-07 - 2007-10-13,43
2007-10-14 - 2007-10-20,42
2007-10-21 - 2007-10-27,41
2007-10-28 - 2007-11-03,40
2007-11-04 - 2007-11-10,42
2007-11-11 - 2007-11-17,42
2007-11-18 - 2007-11-24,43
2007-11-25 - 2007-12-01,42
2007-12-02 - 2007-12-08,41
2007-12-09 - 2007-12-15,39
2007-12-16 - 2007-12-22,39
2007-12-23 - 2007-12-29,37
2007-12-30 - 2008-01-05,42
2008-01-06 - 2008-01-12,45
2008-01-13 - 2008-01-19,43
2008-01-20 - 2008-01-26,45
2008-01-27 - 2008-02-02,44
2008-02-03 - 2008-02-09,45
2008-02-10 - 2008-02-16,44
2008-02-17 - 2008-02-23,45
2008-02-24 - 2008-03-01,45
2008-03-02 - 2008-03-08,45
2008-03-09 - 2008-03-15,45
2008-03-16 - 2008-03-22,42
2008-03-23 - 2008-03-29,42
2008-03-30 - 2008-04-05,43
2008-04-06 - 2008-04-12,42
2008-04-13 - 2008-04-19,44
2008-04-20 - 2008-04-26,44
2008-04-27 - 2008-05-03,43
2008-05-04 - 2008-05-10,42
2008-05-11 - 2008-05-17,45
2008-05-18 - 2008-05-24,44
2008-05-25 - 2008-05-31,43
2008-06-01 - 2008-06-07,44
2008-06-08 - 2008-06-14,46
2008-06-15 - 2008-06-21,48
2008-06-22 - 2008-06-28,47
2008-06-29 - 2008-07-05,48
2008-07-06 - 2008-07-12,45
2008-07-13 - 2008-07-19,46
2008-07-20 - 2008-07-26,48
2008-07-27 - 2008-08-02,50
2008-08-03 - 2008-08-09,49
2008-08-10 - 2008-08-16,49
2008-08-17 - 2008-08-23,50
2008-08-24 - 2008-08-30,46
2008-08-31 - 2008-09-06,48
2008-09-07 - 2008-09-13,47
2008-09-14 - 2008-09-20,48
2008-09-21 - 2008-09-27,48
2008-09-28 - 2008-10-04,50
2008-10-05 - 2008-10-11,51
2008-10-12 - 2008-10-18,49
2008-10-19 - 2008-10-25,48
2008-10-26 - 2008-11-01,47
2008-11-02 - 2008-11-08,47
2008-11-09 - 2008-11-15,49
2008-11-16 - 2008-11-22,47
2008-11-23 - 2008-11-29,49
2008-11-30 - 2008-12-06,47
2008-12-07 - 2008-12-13,48
2008-12-14 - 2008-12-20,45
2008-12-21 - 2008-12-27,43
2008-12-28 - 2009-01-03,46
2009-01-04 - 2009-01-10,50
2009-01-11 - 2009-01-17,50
2009-01-18 - 2009-01-24,50
2009-01-25 - 2009-01-31,51
2009-02-01 - 2009-02-07,51
2009-02-08 - 2009-02-14,49
2009-02-15 - 2009-02-21,50
2009-02-22 - 2009-02-28,51
2009-03-01 - 2009-03-07,50
2009-03-08 - 2009-03-14,52
2009-03-15 - 2009-03-21,48
2009-03-22 - 2009-03-28,50
2009-03-29 - 2009-04-04,48
2009-04-05 - 2009-04-11,47
2009-04-12 - 2009-04-18,47
2009-04-19 - 2009-04-25,51
2009-04-26 - 2009-05-02,48
2009-05-03 - 2009-05-09,49
2009-05-10 - 2009-05-16,49
2009-05-17 - 2009-05-23,51
2009-05-24 - 2009-05-30,49
2009-05-31 - 2009-06-06,51
2009-06-07 - 2009-06-13,53
2009-06-14 - 2009-06-20,54
2009-06-21 - 2009-06-27,53
2009-06-28 - 2009-07-04,55
2009-07-05 - 2009-07-11,55
2009-07-12 - 2009-07-18,54
2009-07-19 - 2009-07-25,56
2009-07-26 - 2009-08-01,59
2009-08-02 - 2009-08-08,60
2009-08-09 - 2009-08-15,59
2009-08-16 - 2009-08-22,57
2009-08-23 - 2009-08-29,56
2009-08-30 - 2009-09-05,58
2009-09-06 - 2009-09-12,58
2009-09-13 - 2009-09-19,57
2009-09-20 - 2009-09-26,57
2009-09-27 - 2009-10-03,55
2009-10-04 - 2009-10-10,58
2009-10-11 - 2009-10-17,61
2009-10-18 - 2009-10-24,60
2009-10-25 - 2009-10-31,57
2009-11-01 - 2009-11-07,59
2009-11-08 - 2009-11-14,59
2009-11-15 - 2009-11-21,60
2009-11-22 - 2009-11-28,61
2009-11-29 - 2009-12-05,60
2009-12-06 - 2009-12-12,60
2009-12-13 - 2009-12-19,59
2009-12-20 - 2009-12-26,58
2009-12-27 - 2010-01-02,59
2010-01-03 - 2010-01-09,64
2010-01-10 - 2010-01-16,64
2010-01-17 - 2010-01-23,64
2010-01-24 - 2010-01-30,66
2010-01-31 - 2010-02-06,65
2010-02-07 - 2010-02-13,65
2010-02-14 - 2010-02-20,63
2010-02-21 - 2010-02-27,64
2010-02-28 - 2010-03-06,64
2010-03-07 - 2010-03-13,64
2010-03-14 - 2010-03-20,66
2010-03-21 - 2010-03-27,66
2010-03-28 - 2010-04-03,64
2010-04-04 - 2010-04-10,63
2010-04-11 - 2010-04-17,61
2010-04-18 - 2010-04-24,62
2010-04-25 - 2010-05-01,62
2010-05-02 - 2010-05-08,62
2010-05-09 - 2010-05-15,63
2010-05-16 - 2010-05-22,60
2010-05-23 - 2010-05-29,60
2010-05-30 - 2010-06-05,60
2010-06-06 - 2010-06-12,59
2010-06-13 - 2010-06-19,64
2010-06-20 - 2010-06-26,68
2010-06-27 - 2010-07-03,67
2010-07-04 - 2010-07-10,65
2010-07-11 - 2010-07-17,62
2010-07-18 - 2010-07-24,64
2010-07-25 - 2010-07-31,69
2010-08-01 - 2010-08-07,68
2010-08-08 - 2010-08-14,66
2010-08-15 - 2010-08-21,66
2010-08-22 - 2010-08-28,65
2010-08-29 - 2010-09-04,65
2010-09-05 - 2010-09-11,66
2010-09-12 - 2010-09-18,64
2010-09-19 - 2010-09-25,65
2010-09-26 - 2010-10-02,67
2010-10-03 - 2010-10-09,69
2010-10-10 - 2010-10-16,67
2010-10-17 - 2010-10-23,64
2010-10-24 - 2010-10-30,62
2010-10-31 - 2010-11-06,64
2010-11-07 - 2010-11-13,64
2010-11-14 - 2010-11-20,64
2010-11-21 - 2010-11-27,65
2010-11-28 - 2010-12-04,65
2010-12-05 - 2010-12-11,67
2010-12-12 - 2010-12-18,65
2010-12-19 - 2010-12-25,63
2010-12-26 - 2011-01-01,67
2011-01-02 - 2011-01-08,71
2011-01-09 - 2011-01-15,72
2011-01-16 - 2011-01-22,70
2011-01-23 - 2011-01-29,71
2011-01-30 - 2011-02-05,71
2011-02-06 - 2011-02-12,69
2011-02-13 - 2011-02-19,70
2011-02-20 - 2011-02-26,71
2011-02-27 - 2011-03-05,73
2011-03-06 - 2011-03-12,73
2011-03-13 - 2011-03-19,70
2011-03-20 - 2011-03-26,74
2011-03-27 - 2011-04-02,73
2011-04-03 - 2011-04-09,72
2011-04-10 - 2011-04-16,70
2011-04-17 - 2011-04-23,70
2011-04-24 - 2011-04-30,65
2011-05-01 - 2011-05-07,69
2011-05-08 - 2011-05-14,69
2011-05-15 - 2011-05-21,70
2011-05-22 - 2011-05-28,68
2011-05-29 - 2011-06-04,69
2011-06-05 - 2011-06-11,71
2011-06-12 - 2011-06-18,76
2011-06-19 - 2011-06-25,77
2011-06-26 - 2011-07-02,75
2011-07-03 - 2011-07-09,77
2011-07-10 - 2011-07-16,78
2011-07-17 - 2011-07-23,74
2011-07-24 - 2011-07-30,77
2011-07-31 - 2011-08-06,76
2011-08-07 - 2011-08-13,77
2011-08-14 - 2011-08-20,77
2011-08-21 - 2011-08-27,78
2011-08-28 - 2011-09-03,75
2011-09-04 - 2011-09-10,74
2011-09-11 - 2011-09-17,76
2011-09-18 - 2011-09-24,73
2011-09-25 - 2011-10-01,73
2011-10-02 - 2011-10-08,75
2011-10-09 - 2011-10-15,74
2011-10-16 - 2011-10-22,74
2011-10-23 - 2011-10-29,71
2011-10-30 - 2011-11-05,71
2011-11-06 - 2011-11-12,73
2011-11-13 - 2011-11-19,74
2011-11-20 - 2011-11-26,75
2011-11-27 - 2011-12-03,73
2011-12-04 - 2011-12-10,73
2011-12-11 - 2011-12-17,72
2011-12-18 - 2011-12-24,67
2011-12-25 - 2011-12-31,69
2012-01-01 - 2012-01-07,74
2012-01-08 - 2012-01-14,75
2012-01-15 - 2012-01-21,72
2012-01-22 - 2012-01-28,73
2012-01-29 - 2012-02-04,72
2012-02-05 - 2012-02-11,71
2012-02-12 - 2012-02-18,72
2012-02-19 - 2012-02-25,77
2012-02-26 - 2012-03-03,76
2012-03-04 - 2012-03-10,74
2012-03-11 - 2012-03-17,71
2012-03-18 - 2012-03-24,70
2012-03-25 - 2012-03-31,68
2012-04-01 - 2012-04-07,68
2012-04-08 - 2012-04-14,68
2012-04-15 - 2012-04-21,68
2012-04-22 - 2012-04-28,67
2012-04-29 - 2012-05-05,67
2012-05-06 - 2012-05-12,69
2012-05-13 - 2012-05-19,70
2012-05-20 - 2012-05-26,70
2012-05-27 - 2012-06-02,71
2012-06-03 - 2012-06-09,75
2012-06-10 - 2012-06-16,74
2012-06-17 - 2012-06-23,75
2012-06-24 - 2012-06-30,77
2012-07-01 - 2012-07-07,76
2012-07-08 - 2012-07-14,75
2012-07-15 - 2012-07-21,77
2012-07-22 - 2012-07-28,80
2012-07-29 - 2012-08-04,76
2012-08-05 - 2012-08-11,73
2012-08-12 - 2012-08-18,76
2012-08-19 - 2012-08-25,76
2012-08-26 - 2012-09-01,76
2012-09-02 - 2012-09-08,76
2012-09-09 - 2012-09-15,74
2012-09-16 - 2012-09-22,74
2012-09-23 - 2012-09-29,76
2012-09-30 - 2012-10-06,72
2012-10-07 - 2012-10-13,70
2012-10-14 - 2012-10-20,70
2012-10-21 - 2012-10-27,68
2012-10-28 - 2012-11-03,64
2012-11-04 - 2012-11-10,69
2012-11-11 - 2012-11-17,69
2012-11-18 - 2012-11-24,69
2012-11-25 - 2012-12-01,66
2012-12-02 - 2012-12-08,72
2012-12-09 - 2012-12-15,69
2012-12-16 - 2012-12-22,67
2012-12-23 - 2012-12-29,63
2012-12-30 - 2013-01-05,67
2013-01-06 - 2013-01-12,71
2013-01-13 - 2013-01-19,76
2013-01-20 - 2013-01-26,87
2013-01-27 - 2013-02-02,89
2013-02-03 - 2013-02-09,91
2013-02-10 - 2013-02-16,85
2013-02-17 - 2013-02-23,83
2013-02-24 - 2013-03-02,79
2013-03-03 - 2013-03-09,77
2013-03-10 - 2013-03-16,74
2013-03-17 - 2013-03-23,75
2013-03-24 - 2013-03-30,73
2013-03-31 - 2013-04-06,70
2013-04-07 - 2013-04-13,72
2013-04-14 - 2013-04-20,71
2013-04-21 - 2013-04-27,71
2013-04-28 - 2013-05-04,72
2013-05-05 - 2013-05-11,71
2013-05-12 - 2013-05-18,70
2013-05-19 - 2013-05-25,70
2013-05-26 - 2013-06-01,69
2013-06-02 - 2013-06-08,73
2013-06-09 - 2013-06-15,72
2013-06-16 - 2013-06-22,74
2013-06-23 - 2013-06-29,74
2013-06-30 - 2013-07-06,75
2013-07-07 - 2013-07-13,74
2013-07-14 - 2013-07-20,75
2013-07-21 - 2013-07-27,80
2013-07-28 - 2013-08-03,79
2013-08-04 - 2013-08-10,79
2013-08-11 - 2013-08-17,79
2013-08-18 - 2013-08-24,75
2013-08-25 - 2013-08-31,75
2013-09-01 - 2013-09-07,76
2013-09-08 - 2013-09-14,73
2013-09-15 - 2013-09-21,73
2013-09-22 - 2013-09-28,74
2013-09-29 - 2013-10-05,76
2013-10-06 - 2013-10-12,76
2013-10-13 - 2013-10-19,76
2013-10-20 - 2013-10-26,74
2013-10-27 - 2013-11-02,71
2013-11-03 - 2013-11-09,71
2013-11-10 - 2013-11-16,76
2013-11-17 - 2013-11-23,73
2013-11-24 - 2013-11-30,74
2013-12-01 - 2013-12-07,74
2013-12-08 - 2013-12-14,72
2013-12-15 - 2013-12-21,72
2013-12-22 - 2013-12-28,74
2013-12-29 - 2014-01-04,76
2014-01-05 - 2014-01-11,78
2014-01-12 - 2014-01-18,78
2014-01-19 - 2014-01-25,77
2014-01-26 - 2014-02-01,78
2014-02-02 - 2014-02-08,77
2014-02-09 - 2014-02-15,77
2014-02-16 - 2014-02-22,75
2014-02-23 - 2014-03-01,77
2014-03-02 - 2014-03-08,75
2014-03-09 - 2014-03-15,73
2014-03-16 - 2014-03-22,73
2014-03-23 - 2014-03-29,74
2014-03-30 - 2014-04-05,72
2014-04-06 - 2014-04-12,73
2014-04-13 - 2014-04-19,71
2014-04-20 - 2014-04-26,71
2014-04-27 - 2014-05-03,74
2014-05-04 - 2014-05-10,75
2014-05-11 - 2014-05-17,73
2014-05-18 - 2014-05-24,78
2014-05-25 - 2014-05-31,75
2014-06-01 - 2014-06-07,78
2014-06-08 - 2014-06-14,76
2014-06-15 - 2014-06-21,77
2014-06-22 - 2014-06-28,80
2014-06-29 - 2014-07-05,80
2014-07-06 - 2014-07-12,79
2014-07-13 - 2014-07-19,76
2014-07-20 - 2014-07-26,81
2014-07-27 - 2014-08-02,84
2014-08-03 - 2014-08-09,82
2014-08-10 - 2014-08-16,79
2014-08-17 - 2014-08-23,79
2014-08-24 - 2014-08-30,78
2014-08-31 - 2014-09-06,76
2014-09-07 - 2014-09-13,76
2014-09-14 - 2014-09-20,77
2014-09-21 - 2014-09-27,78
2014-09-28 - 2014-10-04,79
2014-10-05 - 2014-10-11,80
2014-10-12 - 2014-10-18,77
2014-10-19 - 2014-10-25,77
2014-10-26 - 2014-11-01,75
2014-11-02 - 2014-11-08,78
2014-11-09 - 2014-11-15,78
2014-11-16 - 2014-11-22,76
2014-11-23 - 2014-11-29,78
2014-11-30 - 2014-12-06,76
2014-12-07 - 2014-12-13,74
2014-12-14 - 2014-12-20,74
2014-12-21 - 2014-12-27,74
2014-12-28 - 2015-01-03,78
2015-01-04 - 2015-01-10,81
2015-01-11 - 2015-01-17,83
2015-01-18 - 2015-01-24,81
2015-01-25 - 2015-01-31,81
2015-02-01 - 2015-02-07,77
2015-02-08 - 2015-02-14,76
2015-02-15 - 2015-02-21,80
2015-02-22 - 2015-02-28,78
2015-03-01 - 2015-03-07,77
2015-03-08 - 2015-03-14,78
2015-03-15 - 2015-03-21,75
2015-03-22 - 2015-03-28,77
2015-03-29 - 2015-04-04,77
2015-04-05 - 2015-04-11,78
2015-04-12 - 2015-04-18,81
2015-04-19 - 2015-04-25,79
2015-04-26 - 2015-05-02,80
2015-05-03 - 2015-05-09,80
2015-05-10 - 2015-05-16,79
2015-05-17 - 2015-05-23,81
2015-05-24 - 2015-05-30,86
2015-05-31 - 2015-06-06,100
2015-06-07 - 2015-06-13,81
2015-06-14 - 2015-06-20,79
2015-06-21 - 2015-06-27,81
2015-06-28 - 2015-07-04,81
2015-07-05 - 2015-07-11,80
2015-07-12 - 2015-07-18,79
2015-07-19 - 2015-07-25,89
2015-07-26 - 2015-08-01,85
2015-08-02 - 2015-08-08,80
2015-08-09 - 2015-08-15,83
2015-08-16 - 2015-08-22,81
2015-08-23 - 2015-08-29,82
2015-08-30 - 2015-09-05,80
2015-09-06 - 2015-09-12,80
2015-09-13 - 2015-09-19,79
2015-09-20 - 2015-09-26,83
2015-09-27 - 2015-10-03,80
2015-10-04 - 2015-10-10,83
2015-10-11 - 2015-10-17,82
2015-10-18 - 2015-10-24,79
2015-10-25 - 2015-10-31,76
2015-11-01 - 2015-11-07,78
2015-11-08 - 2015-11-14,81
2015-11-15 - 2015-11-21,79
2015-11-22 - 2015-11-28,80
2015-11-29 - 2015-12-05,78
2015-12-06 - 2015-12-12,78
2015-12-13 - 2015-12-19,77
2015-12-20 - 2015-12-26,76
2015-12-27 - 2016-01-02,78
2016-01-03 - 2016-01-09,81
2016-01-10 - 2016-01-16,83
2016-01-17 - 2016-01-23,84
2016-01-24 - 2016-01-30,83
2016-01-31 - 2016-02-06,81
2016-02-07 - 2016-02-13,80
2016-02-14 - 2016-02-20,81
2016-02-21 - 2016-02-27,79
2016-02-28 - 2016-03-05,79
2016-03-06 - 2016-03-12,80
2016-03-13 - 2016-03-19,77
2016-03-20 - 2016-03-26,79
2016-03-27 - 2016-04-02,76
2016-04-03 - 2016-04-09,76
2016-04-10 - 2016-04-16,77
2016-04-17 - 2016-04-23,76
2016-04-24 - 2016-04-30,92


Top regions for ni
Region,ni
Tanzania,100
Philippines,73
Nicaragua,27
Kenya,17
United Kingdom,16
Pakistan,16
Ireland,14
Bolivia,14
Honduras,14
Guatemala,13
Slovenia,13
Mexico,13
Argentina,13
Singapore,12
El Salvador,12
Paraguay,11
Ecuador,11
Dominican Republic,11
Panama,11
Uruguay,10
Chile,10
Colombia,10
Costa Rica,10
Peru,10
Bosnia & Herzegovina,10
Venezuela,9
Malaysia,9
Serbia,9
Vietnam,9
India,8
Spain,8
Puerto Rico,7
Nigeria,7
Indonesia,7
Denmark,7
Croatia,6
Sweden,6
United Arab Emirates,4
Bulgaria,4
Thailand,4
France,3
Hong Kong,3
Norway,3
Canada,3
Brazil,3
Poland,3
Belgium,3
Australia,2
United States,2
South Korea,2
Czech Republic,2
New Zealand,2
Netherlands,2
Saudi Arabia,2
Switzerland,2
Hungary,2
Taiwan,2
Germany,2
Romania,2
Italy,2
Finland,2
Morocco,2
Japan,2
Austria,2
South Africa,2
Portugal,2
China,2
Turkey,1
Greece,1
Russia,1
Ukraine,1


Top cities for ni
City,ni
Belfast (United Kingdom),100
Dar es Salaam (Tanzania),20
Manila (Philippines),18
Quezon City (Philippines),16
Makati City (Philippines),14
Cebu City (Philippines),12
Edinburgh (United Kingdom),9
Glasgow (United Kingdom),7
Lahore (Pakistan),4
Dublin (Ireland),3
Monterrey (Mexico),3
Singapore (Singapore),3
Buenos Aires (Argentina),2
Guadalajara (Mexico),2
New Delhi (India),2



Top searches for ni
ni ni,100
kimi ni todoke,0
bbc ni,0
ni news,0
ni no kuni,0
ni cars,0
bbc ni news,0
ni hao,0
higurashi,0
jobs ni,0
ni used cars,0
parokya ni edgar,0
iglesia ni cristo,0
wo ai ni,0
ni number,0
autotrader ni,0
ni siquiera,0
gumtree ni,0
dungeon ni deai,0
watashi ni shinasai,0
ni weather,0
power ni,0
job centre ni,0
ni labview,0
talambuhay ni rizal,0
translink ni,0
paulina rubio,0
ulster bank ni,0
ulster bank,0
gumtree belfast,0
ni una menos,0
oki ni,0
ni water,0
bbc ni sport,0
ni massive,0
ni contributions,0
nada ni nadie,0
jobcentre ni,0
student finance ni,0
ni football,0



Rising searches for ni
higurashi,Breakout
kimi ni todoke,Breakout
ni no kuni,Breakout
ni used cars,Breakout
ni cars,+850%
autotrader ni,+700%
bbc ni news,+250%
bbc ni,+150%
ni news,+140%



