Web Search interest: ea
Worldwide 2004 - present

Interest over time
Week,ea
2008-10-19 - 2008-10-25,60
2008-10-26 - 2008-11-01,62
2008-11-02 - 2008-11-08,58
2008-11-09 - 2008-11-15,57
2008-11-16 - 2008-11-22,58
2008-11-23 - 2008-11-29,58
2008-11-30 - 2008-12-06,54
2008-12-07 - 2008-12-13,54
2008-12-14 - 2008-12-20,56
2008-12-21 - 2008-12-27,64
2008-12-28 - 2009-01-03,64
2009-01-04 - 2009-01-10,55
2009-01-11 - 2009-01-17,53
2009-01-18 - 2009-01-24,53
2009-01-25 - 2009-01-31,54
2009-02-01 - 2009-02-07,54
2009-02-08 - 2009-02-14,51
2009-02-15 - 2009-02-21,52
2009-02-22 - 2009-02-28,50
2009-03-01 - 2009-03-07,49
2009-03-08 - 2009-03-14,48
2009-03-15 - 2009-03-21,52
2009-03-22 - 2009-03-28,52
2009-03-29 - 2009-04-04,51
2009-04-05 - 2009-04-11,53
2009-04-12 - 2009-04-18,52
2009-04-19 - 2009-04-25,51
2009-04-26 - 2009-05-02,53
2009-05-03 - 2009-05-09,51
2009-05-10 - 2009-05-16,53
2009-05-17 - 2009-05-23,64
2009-05-24 - 2009-05-30,62
2009-05-31 - 2009-06-06,73
2009-06-07 - 2009-06-13,66
2009-06-14 - 2009-06-20,61
2009-06-21 - 2009-06-27,61
2009-06-28 - 2009-07-04,60
2009-07-05 - 2009-07-11,63
2009-07-12 - 2009-07-18,66
2009-07-19 - 2009-07-25,58
2009-07-26 - 2009-08-01,56
2009-08-02 - 2009-08-08,55
2009-08-09 - 2009-08-15,57
2009-08-16 - 2009-08-22,58
2009-08-23 - 2009-08-29,54
2009-08-30 - 2009-09-05,54
2009-09-06 - 2009-09-12,58
2009-09-13 - 2009-09-19,57
2009-09-20 - 2009-09-26,56
2009-09-27 - 2009-10-03,64
2009-10-04 - 2009-10-10,67
2009-10-11 - 2009-10-17,58
2009-10-18 - 2009-10-24,54
2009-10-25 - 2009-10-31,52
2009-11-01 - 2009-11-07,53
2009-11-08 - 2009-11-14,53
2009-11-15 - 2009-11-21,48
2009-11-22 - 2009-11-28,50
2009-11-29 - 2009-12-05,50
2009-12-06 - 2009-12-12,50
2009-12-13 - 2009-12-19,50
2009-12-20 - 2009-12-26,57
2009-12-27 - 2010-01-02,63
2010-01-03 - 2010-01-09,56
2010-01-10 - 2010-01-16,52
2010-01-17 - 2010-01-23,51
2010-01-24 - 2010-01-30,62
2010-01-31 - 2010-02-06,56
2010-02-07 - 2010-02-13,53
2010-02-14 - 2010-02-20,56
2010-02-21 - 2010-02-27,52
2010-02-28 - 2010-03-06,68
2010-03-07 - 2010-03-13,67
2010-03-14 - 2010-03-20,57
2010-03-21 - 2010-03-27,54
2010-03-28 - 2010-04-03,57
2010-04-04 - 2010-04-10,55
2010-04-11 - 2010-04-17,51
2010-04-18 - 2010-04-24,51
2010-04-25 - 2010-05-01,54
2010-05-02 - 2010-05-08,51
2010-05-09 - 2010-05-15,55
2010-05-16 - 2010-05-22,51
2010-05-23 - 2010-05-29,51
2010-05-30 - 2010-06-05,54
2010-06-06 - 2010-06-12,56
2010-06-13 - 2010-06-19,72
2010-06-20 - 2010-06-26,62
2010-06-27 - 2010-07-03,56
2010-07-04 - 2010-07-10,58
2010-07-11 - 2010-07-17,59
2010-07-18 - 2010-07-24,58
2010-07-25 - 2010-07-31,54
2010-08-01 - 2010-08-07,55
2010-08-08 - 2010-08-14,55
2010-08-15 - 2010-08-21,56
2010-08-22 - 2010-08-28,53
2010-08-29 - 2010-09-04,51
2010-09-05 - 2010-09-11,54
2010-09-12 - 2010-09-18,56
2010-09-19 - 2010-09-25,56
2010-09-26 - 2010-10-02,66
2010-10-03 - 2010-10-09,67
2010-10-10 - 2010-10-16,63
2010-10-17 - 2010-10-23,64
2010-10-24 - 2010-10-30,61
2010-10-31 - 2010-11-06,62
2010-11-07 - 2010-11-13,57
2010-11-14 - 2010-11-20,63
2010-11-21 - 2010-11-27,60
2010-11-28 - 2010-12-04,58
2010-12-05 - 2010-12-11,57
2010-12-12 - 2010-12-18,61
2010-12-19 - 2010-12-25,73
2010-12-26 - 2011-01-01,77
2011-01-02 - 2011-01-08,67
2011-01-09 - 2011-01-15,59
2011-01-16 - 2011-01-22,56
2011-01-23 - 2011-01-29,57
2011-01-30 - 2011-02-05,58
2011-02-06 - 2011-02-12,55
2011-02-13 - 2011-02-19,55
2011-02-20 - 2011-02-26,58
2011-02-27 - 2011-03-05,58
2011-03-06 - 2011-03-12,57
2011-03-13 - 2011-03-19,53
2011-03-20 - 2011-03-26,56
2011-03-27 - 2011-04-02,56
2011-04-03 - 2011-04-09,57
2011-04-10 - 2011-04-16,56
2011-04-17 - 2011-04-23,57
2011-04-24 - 2011-04-30,54
2011-05-01 - 2011-05-07,52
2011-05-08 - 2011-05-14,49
2011-05-15 - 2011-05-21,51
2011-05-22 - 2011-05-28,53
2011-05-29 - 2011-06-04,58
2011-06-05 - 2011-06-11,61
2011-06-12 - 2011-06-18,58
2011-06-19 - 2011-06-25,56
2011-06-26 - 2011-07-02,54
2011-07-03 - 2011-07-09,54
2011-07-10 - 2011-07-16,55
2011-07-17 - 2011-07-23,57
2011-07-24 - 2011-07-30,58
2011-07-31 - 2011-08-06,56
2011-08-07 - 2011-08-13,57
2011-08-14 - 2011-08-20,59
2011-08-21 - 2011-08-27,59
2011-08-28 - 2011-09-03,58
2011-09-04 - 2011-09-10,55
2011-09-11 - 2011-09-17,61
2011-09-18 - 2011-09-24,72
2011-09-25 - 2011-10-01,100
2011-10-02 - 2011-10-08,77
2011-10-09 - 2011-10-15,65
2011-10-16 - 2011-10-22,61
2011-10-23 - 2011-10-29,93
2011-10-30 - 2011-11-05,80
2011-11-06 - 2011-11-12,60
2011-11-13 - 2011-11-19,55
2011-11-20 - 2011-11-26,57
2011-11-27 - 2011-12-03,57
2011-12-04 - 2011-12-10,56
2011-12-11 - 2011-12-17,64
2011-12-18 - 2011-12-24,62
2011-12-25 - 2011-12-31,69
2012-01-01 - 2012-01-07,61
2012-01-08 - 2012-01-14,54
2012-01-15 - 2012-01-21,57
2012-01-22 - 2012-01-28,53
2012-01-29 - 2012-02-04,55
2012-02-05 - 2012-02-11,55
2012-02-12 - 2012-02-18,56
2012-02-19 - 2012-02-25,55
2012-02-26 - 2012-03-03,55
2012-03-04 - 2012-03-10,57
2012-03-11 - 2012-03-17,54
2012-03-18 - 2012-03-24,51
2012-03-25 - 2012-03-31,52
2012-04-01 - 2012-04-07,56
2012-04-08 - 2012-04-14,53
2012-04-15 - 2012-04-21,49
2012-04-22 - 2012-04-28,52
2012-04-29 - 2012-05-05,53
2012-05-06 - 2012-05-12,49
2012-05-13 - 2012-05-19,48
2012-05-20 - 2012-05-26,48
2012-05-27 - 2012-06-02,49
2012-06-03 - 2012-06-09,58
2012-06-10 - 2012-06-16,52
2012-06-17 - 2012-06-23,51
2012-06-24 - 2012-06-30,50
2012-07-01 - 2012-07-07,50
2012-07-08 - 2012-07-14,50
2012-07-15 - 2012-07-21,52
2012-07-22 - 2012-07-28,49
2012-07-29 - 2012-08-04,49
2012-08-05 - 2012-08-11,49
2012-08-12 - 2012-08-18,51
2012-08-19 - 2012-08-25,50
2012-08-26 - 2012-09-01,53
2012-09-02 - 2012-09-08,51
2012-09-09 - 2012-09-15,57
2012-09-16 - 2012-09-22,71
2012-09-23 - 2012-09-29,74
2012-09-30 - 2012-10-06,70
2012-10-07 - 2012-10-13,61
2012-10-14 - 2012-10-20,56
2012-10-21 - 2012-10-27,56
2012-10-28 - 2012-11-03,57
2012-11-04 - 2012-11-10,52
2012-11-11 - 2012-11-17,52
2012-11-18 - 2012-11-24,54
2012-11-25 - 2012-12-01,53
2012-12-02 - 2012-12-08,52
2012-12-09 - 2012-12-15,53
2012-12-16 - 2012-12-22,50
2012-12-23 - 2012-12-29,64
2012-12-30 - 2013-01-05,57
2013-01-06 - 2013-01-12,52
2013-01-13 - 2013-01-19,52
2013-01-20 - 2013-01-26,53
2013-01-27 - 2013-02-02,54
2013-02-03 - 2013-02-09,52
2013-02-10 - 2013-02-16,49
2013-02-17 - 2013-02-23,50
2013-02-24 - 2013-03-02,49
2013-03-03 - 2013-03-09,59
2013-03-10 - 2013-03-16,53
2013-03-17 - 2013-03-23,58
2013-03-24 - 2013-03-30,54
2013-03-31 - 2013-04-06,51
2013-04-07 - 2013-04-13,51
2013-04-14 - 2013-04-20,49
2013-04-21 - 2013-04-27,46
2013-04-28 - 2013-05-04,45
2013-05-05 - 2013-05-11,51
2013-05-12 - 2013-05-18,48
2013-05-19 - 2013-05-25,54
2013-05-26 - 2013-06-01,47
2013-06-02 - 2013-06-08,46
2013-06-09 - 2013-06-15,58
2013-06-16 - 2013-06-22,48
2013-06-23 - 2013-06-29,46
2013-06-30 - 2013-07-06,44
2013-07-07 - 2013-07-13,46
2013-07-14 - 2013-07-20,46
2013-07-21 - 2013-07-27,45
2013-07-28 - 2013-08-03,44
2013-08-04 - 2013-08-10,43
2013-08-11 - 2013-08-17,47
2013-08-18 - 2013-08-24,51
2013-08-25 - 2013-08-31,45
2013-09-01 - 2013-09-07,44
2013-09-08 - 2013-09-14,51
2013-09-15 - 2013-09-21,57
2013-09-22 - 2013-09-28,62
2013-09-29 - 2013-10-05,59
2013-10-06 - 2013-10-12,50
2013-10-13 - 2013-10-19,47
2013-10-20 - 2013-10-26,42
2013-10-27 - 2013-11-02,47
2013-11-03 - 2013-11-09,46
2013-11-10 - 2013-11-16,47
2013-11-17 - 2013-11-23,46
2013-11-24 - 2013-11-30,50
2013-12-01 - 2013-12-07,47
2013-12-08 - 2013-12-14,46
2013-12-15 - 2013-12-21,49
2013-12-22 - 2013-12-28,61
2013-12-29 - 2014-01-04,64
2014-01-05 - 2014-01-11,47
2014-01-12 - 2014-01-18,49
2014-01-19 - 2014-01-25,45
2014-01-26 - 2014-02-01,46
2014-02-02 - 2014-02-08,48
2014-02-09 - 2014-02-15,48
2014-02-16 - 2014-02-22,49
2014-02-23 - 2014-03-01,44
2014-03-02 - 2014-03-08,46
2014-03-09 - 2014-03-15,48
2014-03-16 - 2014-03-22,50
2014-03-23 - 2014-03-29,52
2014-03-30 - 2014-04-05,48
2014-04-06 - 2014-04-12,49
2014-04-13 - 2014-04-19,48
2014-04-20 - 2014-04-26,49
2014-04-27 - 2014-05-03,48
2014-05-04 - 2014-05-10,49
2014-05-11 - 2014-05-17,46
2014-05-18 - 2014-05-24,47
2014-05-25 - 2014-05-31,55
2014-06-01 - 2014-06-07,55
2014-06-08 - 2014-06-14,60
2014-06-15 - 2014-06-21,62
2014-06-22 - 2014-06-28,52
2014-06-29 - 2014-07-05,47
2014-07-06 - 2014-07-12,46
2014-07-13 - 2014-07-19,46
2014-07-20 - 2014-07-26,52
2014-07-27 - 2014-08-02,50
2014-08-03 - 2014-08-09,47
2014-08-10 - 2014-08-16,50
2014-08-17 - 2014-08-23,47
2014-08-24 - 2014-08-30,48
2014-08-31 - 2014-09-06,50
2014-09-07 - 2014-09-13,53
2014-09-14 - 2014-09-20,75
2014-09-21 - 2014-09-27,69
2014-09-28 - 2014-10-04,60
2014-10-05 - 2014-10-11,50
2014-10-12 - 2014-10-18,47
2014-10-19 - 2014-10-25,45
2014-10-26 - 2014-11-01,44
2014-11-02 - 2014-11-08,45
2014-11-09 - 2014-11-15,45
2014-11-16 - 2014-11-22,43
2014-11-23 - 2014-11-29,49
2014-11-30 - 2014-12-06,44
2014-12-07 - 2014-12-13,47
2014-12-14 - 2014-12-20,46
2014-12-21 - 2014-12-27,67
2014-12-28 - 2015-01-03,53
2015-01-04 - 2015-01-10,45
2015-01-11 - 2015-01-17,50
2015-01-18 - 2015-01-24,47
2015-01-25 - 2015-01-31,46
2015-02-01 - 2015-02-07,47
2015-02-08 - 2015-02-14,47
2015-02-15 - 2015-02-21,45
2015-02-22 - 2015-02-28,42
2015-03-01 - 2015-03-07,43
2015-03-08 - 2015-03-14,50
2015-03-15 - 2015-03-21,45
2015-03-22 - 2015-03-28,45
2015-03-29 - 2015-04-04,48
2015-04-05 - 2015-04-11,44
2015-04-12 - 2015-04-18,42
2015-04-19 - 2015-04-25,43
2015-04-26 - 2015-05-02,42
2015-05-03 - 2015-05-09,41
2015-05-10 - 2015-05-16,42
2015-05-17 - 2015-05-23,43
2015-05-24 - 2015-05-30,43
2015-05-31 - 2015-06-06,42
2015-06-07 - 2015-06-13,40
2015-06-14 - 2015-06-20,59
2015-06-21 - 2015-06-27,44
2015-06-28 - 2015-07-04,43
2015-07-05 - 2015-07-11,42
2015-07-12 - 2015-07-18,42
2015-07-19 - 2015-07-25,44
2015-07-26 - 2015-08-01,41
2015-08-02 - 2015-08-08,43
2015-08-09 - 2015-08-15,42
2015-08-16 - 2015-08-22,42
2015-08-23 - 2015-08-29,42
2015-08-30 - 2015-09-05,43
2015-09-06 - 2015-09-12,43
2015-09-13 - 2015-09-19,58
2015-09-20 - 2015-09-26,69
2015-09-27 - 2015-10-03,60
2015-10-04 - 2015-10-10,55
2015-10-11 - 2015-10-17,50
2015-10-18 - 2015-10-24,45
2015-10-25 - 2015-10-31,44
2015-11-01 - 2015-11-07,43
2015-11-08 - 2015-11-14,46
2015-11-15 - 2015-11-21,49
2015-11-22 - 2015-11-28,50
2015-11-29 - 2015-12-05,47
2015-12-06 - 2015-12-12,43
2015-12-13 - 2015-12-19,46
2015-12-20 - 2015-12-26,64
2015-12-27 - 2016-01-02,53
2016-01-03 - 2016-01-09,48
2016-01-10 - 2016-01-16,48
2016-01-17 - 2016-01-23,48
2016-01-24 - 2016-01-30,45
2016-01-31 - 2016-02-06,47
2016-02-07 - 2016-02-13,45
2016-02-14 - 2016-02-20,45
2016-02-21 - 2016-02-27,43
2016-02-28 - 2016-03-05,42
2016-03-06 - 2016-03-12,44
2016-03-13 - 2016-03-19,46
2016-03-20 - 2016-03-26,47
2016-03-27 - 2016-04-02,46
2016-04-03 - 2016-04-09,43
2016-04-10 - 2016-04-16,43
2016-04-17 - 2016-04-23,45
2016-04-24 - 2016-04-30,51


Top regions for ea
Region,ea
Moldova,100
Romania,80
Pakistan,31
United Kingdom,30
Brazil,28
Sri Lanka,26
Denmark,25
Germany,22
Canada,22
Ireland,22
Australia,21
India,21
Norway,21
Kenya,20
Portugal,19
Bangladesh,19
Sweden,19
Netherlands,19
Finland,19
Austria,19
New Zealand,18
South Africa,18
Singapore,18
Malaysia,17
United States,16
Spain,15
Hong Kong,14
Czech Republic,14
Belgium,14
France,14
Poland,14
Bolivia,14
Switzerland,14
Slovenia,13
Italy,13
Hungary,13
Philippines,13
United Arab Emirates,13
Indonesia,12
Argentina,12
Colombia,12
Mexico,12
Slovakia,11
Nigeria,11
Chile,11
Croatia,11
Israel,10
Venezuela,10
Ecuador,10
Saudi Arabia,10
Lithuania,10
Greece,9
Thailand,9
Serbia,9
South Korea,8
Taiwan,8
Peru,8
Bulgaria,8
Russia,7
Turkey,7
Egypt,7
China,6
Morocco,6
Japan,6
Ukraine,5
Vietnam,5
Iran,5


Top cities for ea
City,ea
Bucharest (Romania),100
Chennai (India),36
London (United Kingdom),30
Frankfurt (Germany),28
New Delhi (India),27
São Paulo (Brazil),26
Toronto (Canada),26
Berlin (Germany),25
Bangalore (India),25
Mumbai (India),25
Madrid (Spain),20
Los Angeles (United States),20
Buenos Aires (Argentina),17
Warsaw (Poland),17
New York (United States),16



Top searches for ea
ea sports,100
ea games,60
ea fifa,50
fifa,50
ea download,35
ea game,30
ea sports fifa,20
ea online,15
ea sport,15
ea cricket,15
origin,15
origin ea,15
ea football,10
ea ultimate team,10
ultimate team,10
ea sports cricket,10
ea account,10
ea sports games,10
ea ufc,10
google ea,5
ea servers,5
ea sports football,5
fifa 13,5
fifa 14,5
ea fifa 13,5
ea access,5
ea web app,5
fifa ultimate team,5
ea support,5
ea download manager,5
fifa 15,5
ea store,5
ea server,5
ea forum,5
ea sports ufc,5
ea sport fifa,5
fifa 12,5
ea mobile,5
cricket games,5
ea active,5
ea twitter,5
ea skate,5
ea sports world,5
ea help,5
ea game face,5
ea mma,5
ea login,5
ea sports active,5
battlefield 3,5



Rising searches for ea
ea ultimate team,Breakout
origin,Breakout
origin ea,Breakout
ultimate team,Breakout
ea account,+1,400%
ea sports cricket,+120%
ea cricket,+100%
ea download,+100%
ea fifa,+100%
ea online,+90%



