Web Search interest: do
Worldwide 2004 - present

Interest over time
Week,do
2005-09-25 - 2005-10-01,41
2005-10-02 - 2005-10-08,41
2005-10-09 - 2005-10-15,40
2005-10-16 - 2005-10-22,42
2005-10-23 - 2005-10-29,41
2005-10-30 - 2005-11-05,41
2005-11-06 - 2005-11-12,43
2005-11-13 - 2005-11-19,41
2005-11-20 - 2005-11-26,43
2005-11-27 - 2005-12-03,40
2005-12-04 - 2005-12-10,38
2005-12-11 - 2005-12-17,37
2005-12-18 - 2005-12-24,35
2005-12-25 - 2005-12-31,37
2006-01-01 - 2006-01-07,37
2006-01-08 - 2006-01-14,38
2006-01-15 - 2006-01-21,39
2006-01-22 - 2006-01-28,39
2006-01-29 - 2006-02-04,40
2006-02-05 - 2006-02-11,40
2006-02-12 - 2006-02-18,41
2006-02-19 - 2006-02-25,41
2006-02-26 - 2006-03-04,37
2006-03-05 - 2006-03-11,42
2006-03-12 - 2006-03-18,43
2006-03-19 - 2006-03-25,43
2006-03-26 - 2006-04-01,43
2006-04-02 - 2006-04-08,43
2006-04-09 - 2006-04-15,42
2006-04-16 - 2006-04-22,43
2006-04-23 - 2006-04-29,43
2006-04-30 - 2006-05-06,44
2006-05-07 - 2006-05-13,43
2006-05-14 - 2006-05-20,44
2006-05-21 - 2006-05-27,46
2006-05-28 - 2006-06-03,47
2006-06-04 - 2006-06-10,47
2006-06-11 - 2006-06-17,42
2006-06-18 - 2006-06-24,43
2006-06-25 - 2006-07-01,40
2006-07-02 - 2006-07-08,39
2006-07-09 - 2006-07-15,38
2006-07-16 - 2006-07-22,39
2006-07-23 - 2006-07-29,39
2006-07-30 - 2006-08-05,40
2006-08-06 - 2006-08-12,43
2006-08-13 - 2006-08-19,44
2006-08-20 - 2006-08-26,44
2006-08-27 - 2006-09-02,43
2006-09-03 - 2006-09-09,41
2006-09-10 - 2006-09-16,42
2006-09-17 - 2006-09-23,43
2006-09-24 - 2006-09-30,43
2006-10-01 - 2006-10-07,45
2006-10-08 - 2006-10-14,41
2006-10-15 - 2006-10-21,44
2006-10-22 - 2006-10-28,44
2006-10-29 - 2006-11-04,42
2006-11-05 - 2006-11-11,44
2006-11-12 - 2006-11-18,43
2006-11-19 - 2006-11-25,43
2006-11-26 - 2006-12-02,42
2006-12-03 - 2006-12-09,41
2006-12-10 - 2006-12-16,39
2006-12-17 - 2006-12-23,37
2006-12-24 - 2006-12-30,39
2006-12-31 - 2007-01-06,40
2007-01-07 - 2007-01-13,39
2007-01-14 - 2007-01-20,40
2007-01-21 - 2007-01-27,40
2007-01-28 - 2007-02-03,40
2007-02-04 - 2007-02-10,40
2007-02-11 - 2007-02-17,41
2007-02-18 - 2007-02-24,39
2007-02-25 - 2007-03-03,41
2007-03-04 - 2007-03-10,42
2007-03-11 - 2007-03-17,43
2007-03-18 - 2007-03-24,44
2007-03-25 - 2007-03-31,43
2007-04-01 - 2007-04-07,42
2007-04-08 - 2007-04-14,45
2007-04-15 - 2007-04-21,45
2007-04-22 - 2007-04-28,45
2007-04-29 - 2007-05-05,44
2007-05-06 - 2007-05-12,47
2007-05-13 - 2007-05-19,48
2007-05-20 - 2007-05-26,48
2007-05-27 - 2007-06-02,50
2007-06-03 - 2007-06-09,47
2007-06-10 - 2007-06-16,48
2007-06-17 - 2007-06-23,46
2007-06-24 - 2007-06-30,47
2007-07-01 - 2007-07-07,47
2007-07-08 - 2007-07-14,46
2007-07-15 - 2007-07-21,47
2007-07-22 - 2007-07-28,48
2007-07-29 - 2007-08-04,48
2007-08-05 - 2007-08-11,50
2007-08-12 - 2007-08-18,50
2007-08-19 - 2007-08-25,49
2007-08-26 - 2007-09-01,50
2007-09-02 - 2007-09-08,47
2007-09-09 - 2007-09-15,49
2007-09-16 - 2007-09-22,50
2007-09-23 - 2007-09-29,49
2007-09-30 - 2007-10-06,49
2007-10-07 - 2007-10-13,48
2007-10-14 - 2007-10-20,51
2007-10-21 - 2007-10-27,50
2007-10-28 - 2007-11-03,50
2007-11-04 - 2007-11-10,50
2007-11-11 - 2007-11-17,49
2007-11-18 - 2007-11-24,49
2007-11-25 - 2007-12-01,50
2007-12-02 - 2007-12-08,48
2007-12-09 - 2007-12-15,46
2007-12-16 - 2007-12-22,44
2007-12-23 - 2007-12-29,46
2007-12-30 - 2008-01-05,46
2008-01-06 - 2008-01-12,48
2008-01-13 - 2008-01-19,48
2008-01-20 - 2008-01-26,49
2008-01-27 - 2008-02-02,49
2008-02-03 - 2008-02-09,47
2008-02-10 - 2008-02-16,50
2008-02-17 - 2008-02-23,53
2008-02-24 - 2008-03-01,53
2008-03-02 - 2008-03-08,51
2008-03-09 - 2008-03-15,53
2008-03-16 - 2008-03-22,52
2008-03-23 - 2008-03-29,55
2008-03-30 - 2008-04-05,55
2008-04-06 - 2008-04-12,55
2008-04-13 - 2008-04-19,55
2008-04-20 - 2008-04-26,55
2008-04-27 - 2008-05-03,55
2008-05-04 - 2008-05-10,55
2008-05-11 - 2008-05-17,54
2008-05-18 - 2008-05-24,54
2008-05-25 - 2008-05-31,57
2008-06-01 - 2008-06-07,56
2008-06-08 - 2008-06-14,55
2008-06-15 - 2008-06-21,56
2008-06-22 - 2008-06-28,56
2008-06-29 - 2008-07-05,54
2008-07-06 - 2008-07-12,54
2008-07-13 - 2008-07-19,53
2008-07-20 - 2008-07-26,56
2008-07-27 - 2008-08-02,55
2008-08-03 - 2008-08-09,57
2008-08-10 - 2008-08-16,59
2008-08-17 - 2008-08-23,59
2008-08-24 - 2008-08-30,59
2008-08-31 - 2008-09-06,58
2008-09-07 - 2008-09-13,58
2008-09-14 - 2008-09-20,60
2008-09-21 - 2008-09-27,59
2008-09-28 - 2008-10-04,60
2008-10-05 - 2008-10-11,60
2008-10-12 - 2008-10-18,59
2008-10-19 - 2008-10-25,60
2008-10-26 - 2008-11-01,60
2008-11-02 - 2008-11-08,60
2008-11-09 - 2008-11-15,61
2008-11-16 - 2008-11-22,60
2008-11-23 - 2008-11-29,59
2008-11-30 - 2008-12-06,58
2008-12-07 - 2008-12-13,58
2008-12-14 - 2008-12-20,56
2008-12-21 - 2008-12-27,55
2008-12-28 - 2009-01-03,57
2009-01-04 - 2009-01-10,59
2009-01-11 - 2009-01-17,59
2009-01-18 - 2009-01-24,60
2009-01-25 - 2009-01-31,62
2009-02-01 - 2009-02-07,59
2009-02-08 - 2009-02-14,61
2009-02-15 - 2009-02-21,63
2009-02-22 - 2009-02-28,60
2009-03-01 - 2009-03-07,64
2009-03-08 - 2009-03-14,65
2009-03-15 - 2009-03-21,67
2009-03-22 - 2009-03-28,67
2009-03-29 - 2009-04-04,66
2009-04-05 - 2009-04-11,66
2009-04-12 - 2009-04-18,68
2009-04-19 - 2009-04-25,67
2009-04-26 - 2009-05-02,67
2009-05-03 - 2009-05-09,67
2009-05-10 - 2009-05-16,67
2009-05-17 - 2009-05-23,69
2009-05-24 - 2009-05-30,70
2009-05-31 - 2009-06-06,70
2009-06-07 - 2009-06-13,67
2009-06-14 - 2009-06-20,68
2009-06-21 - 2009-06-27,69
2009-06-28 - 2009-07-04,69
2009-07-05 - 2009-07-11,68
2009-07-12 - 2009-07-18,70
2009-07-19 - 2009-07-25,70
2009-07-26 - 2009-08-01,70
2009-08-02 - 2009-08-08,71
2009-08-09 - 2009-08-15,72
2009-08-16 - 2009-08-22,74
2009-08-23 - 2009-08-29,72
2009-08-30 - 2009-09-05,72
2009-09-06 - 2009-09-12,71
2009-09-13 - 2009-09-19,72
2009-09-20 - 2009-09-26,74
2009-09-27 - 2009-10-03,73
2009-10-04 - 2009-10-10,71
2009-10-11 - 2009-10-17,71
2009-10-18 - 2009-10-24,74
2009-10-25 - 2009-10-31,74
2009-11-01 - 2009-11-07,70
2009-11-08 - 2009-11-14,74
2009-11-15 - 2009-11-21,74
2009-11-22 - 2009-11-28,73
2009-11-29 - 2009-12-05,71
2009-12-06 - 2009-12-12,72
2009-12-13 - 2009-12-19,67
2009-12-20 - 2009-12-26,64
2009-12-27 - 2010-01-02,69
2010-01-03 - 2010-01-09,69
2010-01-10 - 2010-01-16,70
2010-01-17 - 2010-01-23,70
2010-01-24 - 2010-01-30,73
2010-01-31 - 2010-02-06,73
2010-02-07 - 2010-02-13,72
2010-02-14 - 2010-02-20,69
2010-02-21 - 2010-02-27,73
2010-02-28 - 2010-03-06,76
2010-03-07 - 2010-03-13,75
2010-03-14 - 2010-03-20,77
2010-03-21 - 2010-03-27,78
2010-03-28 - 2010-04-03,76
2010-04-04 - 2010-04-10,77
2010-04-11 - 2010-04-17,77
2010-04-18 - 2010-04-24,76
2010-04-25 - 2010-05-01,79
2010-05-02 - 2010-05-08,78
2010-05-09 - 2010-05-15,77
2010-05-16 - 2010-05-22,80
2010-05-23 - 2010-05-29,81
2010-05-30 - 2010-06-05,79
2010-06-06 - 2010-06-12,80
2010-06-13 - 2010-06-19,81
2010-06-20 - 2010-06-26,81
2010-06-27 - 2010-07-03,78
2010-07-04 - 2010-07-10,77
2010-07-11 - 2010-07-17,77
2010-07-18 - 2010-07-24,77
2010-07-25 - 2010-07-31,76
2010-08-01 - 2010-08-07,76
2010-08-08 - 2010-08-14,78
2010-08-15 - 2010-08-21,77
2010-08-22 - 2010-08-28,78
2010-08-29 - 2010-09-04,76
2010-09-05 - 2010-09-11,73
2010-09-12 - 2010-09-18,76
2010-09-19 - 2010-09-25,75
2010-09-26 - 2010-10-02,77
2010-10-03 - 2010-10-09,77
2010-10-10 - 2010-10-16,73
2010-10-17 - 2010-10-23,75
2010-10-24 - 2010-10-30,76
2010-10-31 - 2010-11-06,76
2010-11-07 - 2010-11-13,77
2010-11-14 - 2010-11-20,77
2010-11-21 - 2010-11-27,76
2010-11-28 - 2010-12-04,74
2010-12-05 - 2010-12-11,73
2010-12-12 - 2010-12-18,73
2010-12-19 - 2010-12-25,68
2010-12-26 - 2011-01-01,71
2011-01-02 - 2011-01-08,75
2011-01-09 - 2011-01-15,75
2011-01-16 - 2011-01-22,76
2011-01-23 - 2011-01-29,75
2011-01-30 - 2011-02-05,75
2011-02-06 - 2011-02-12,74
2011-02-13 - 2011-02-19,76
2011-02-20 - 2011-02-26,75
2011-02-27 - 2011-03-05,78
2011-03-06 - 2011-03-12,74
2011-03-13 - 2011-03-19,78
2011-03-20 - 2011-03-26,80
2011-03-27 - 2011-04-02,81
2011-04-03 - 2011-04-09,80
2011-04-10 - 2011-04-16,80
2011-04-17 - 2011-04-23,77
2011-04-24 - 2011-04-30,78
2011-05-01 - 2011-05-07,77
2011-05-08 - 2011-05-14,77
2011-05-15 - 2011-05-21,80
2011-05-22 - 2011-05-28,80
2011-05-29 - 2011-06-04,81
2011-06-05 - 2011-06-11,79
2011-06-12 - 2011-06-18,79
2011-06-19 - 2011-06-25,77
2011-06-26 - 2011-07-02,79
2011-07-03 - 2011-07-09,78
2011-07-10 - 2011-07-16,79
2011-07-17 - 2011-07-23,80
2011-07-24 - 2011-07-30,78
2011-07-31 - 2011-08-06,80
2011-08-07 - 2011-08-13,81
2011-08-14 - 2011-08-20,81
2011-08-21 - 2011-08-27,80
2011-08-28 - 2011-09-03,81
2011-09-04 - 2011-09-10,77
2011-09-11 - 2011-09-17,79
2011-09-18 - 2011-09-24,80
2011-09-25 - 2011-10-01,79
2011-10-02 - 2011-10-08,80
2011-10-09 - 2011-10-15,80
2011-10-16 - 2011-10-22,80
2011-10-23 - 2011-10-29,82
2011-10-30 - 2011-11-05,98
2011-11-06 - 2011-11-12,90
2011-11-13 - 2011-11-19,84
2011-11-20 - 2011-11-26,84
2011-11-27 - 2011-12-03,82
2011-12-04 - 2011-12-10,79
2011-12-11 - 2011-12-17,76
2011-12-18 - 2011-12-24,77
2011-12-25 - 2011-12-31,81
2012-01-01 - 2012-01-07,80
2012-01-08 - 2012-01-14,79
2012-01-15 - 2012-01-21,80
2012-01-22 - 2012-01-28,81
2012-01-29 - 2012-02-04,78
2012-02-05 - 2012-02-11,79
2012-02-12 - 2012-02-18,79
2012-02-19 - 2012-02-25,77
2012-02-26 - 2012-03-03,81
2012-03-04 - 2012-03-10,81
2012-03-11 - 2012-03-17,80
2012-03-18 - 2012-03-24,82
2012-03-25 - 2012-03-31,82
2012-04-01 - 2012-04-07,78
2012-04-08 - 2012-04-14,81
2012-04-15 - 2012-04-21,82
2012-04-22 - 2012-04-28,82
2012-04-29 - 2012-05-05,78
2012-05-06 - 2012-05-12,81
2012-05-13 - 2012-05-19,81
2012-05-20 - 2012-05-26,83
2012-05-27 - 2012-06-02,83
2012-06-03 - 2012-06-09,80
2012-06-10 - 2012-06-16,81
2012-06-17 - 2012-06-23,82
2012-06-24 - 2012-06-30,81
2012-07-01 - 2012-07-07,82
2012-07-08 - 2012-07-14,83
2012-07-15 - 2012-07-21,84
2012-07-22 - 2012-07-28,85
2012-07-29 - 2012-08-04,85
2012-08-05 - 2012-08-11,84
2012-08-12 - 2012-08-18,87
2012-08-19 - 2012-08-25,85
2012-08-26 - 2012-09-01,84
2012-09-02 - 2012-09-08,82
2012-09-09 - 2012-09-15,83
2012-09-16 - 2012-09-22,84
2012-09-23 - 2012-09-29,85
2012-09-30 - 2012-10-06,83
2012-10-07 - 2012-10-13,81
2012-10-14 - 2012-10-20,82
2012-10-21 - 2012-10-27,84
2012-10-28 - 2012-11-03,81
2012-11-04 - 2012-11-10,84
2012-11-11 - 2012-11-17,78
2012-11-18 - 2012-11-24,80
2012-11-25 - 2012-12-01,80
2012-12-02 - 2012-12-08,79
2012-12-09 - 2012-12-15,78
2012-12-16 - 2012-12-22,76
2012-12-23 - 2012-12-29,77
2012-12-30 - 2013-01-05,79
2013-01-06 - 2013-01-12,80
2013-01-13 - 2013-01-19,79
2013-01-20 - 2013-01-26,79
2013-01-27 - 2013-02-02,81
2013-02-03 - 2013-02-09,78
2013-02-10 - 2013-02-16,76
2013-02-17 - 2013-02-23,80
2013-02-24 - 2013-03-02,81
2013-03-03 - 2013-03-09,82
2013-03-10 - 2013-03-16,83
2013-03-17 - 2013-03-23,84
2013-03-24 - 2013-03-30,82
2013-03-31 - 2013-04-06,85
2013-04-07 - 2013-04-13,83
2013-04-14 - 2013-04-20,83
2013-04-21 - 2013-04-27,84
2013-04-28 - 2013-05-04,84
2013-05-05 - 2013-05-11,82
2013-05-12 - 2013-05-18,82
2013-05-19 - 2013-05-25,85
2013-05-26 - 2013-06-01,82
2013-06-02 - 2013-06-08,84
2013-06-09 - 2013-06-15,83
2013-06-16 - 2013-06-22,84
2013-06-23 - 2013-06-29,84
2013-06-30 - 2013-07-06,83
2013-07-07 - 2013-07-13,83
2013-07-14 - 2013-07-20,84
2013-07-21 - 2013-07-27,85
2013-07-28 - 2013-08-03,84
2013-08-04 - 2013-08-10,84
2013-08-11 - 2013-08-17,85
2013-08-18 - 2013-08-24,85
2013-08-25 - 2013-08-31,82
2013-09-01 - 2013-09-07,85
2013-09-08 - 2013-09-14,82
2013-09-15 - 2013-09-21,85
2013-09-22 - 2013-09-28,84
2013-09-29 - 2013-10-05,84
2013-10-06 - 2013-10-12,83
2013-10-13 - 2013-10-19,85
2013-10-20 - 2013-10-26,85
2013-10-27 - 2013-11-02,83
2013-11-03 - 2013-11-09,84
2013-11-10 - 2013-11-16,82
2013-11-17 - 2013-11-23,84
2013-11-24 - 2013-11-30,82
2013-12-01 - 2013-12-07,82
2013-12-08 - 2013-12-14,80
2013-12-15 - 2013-12-21,78
2013-12-22 - 2013-12-28,75
2013-12-29 - 2014-01-04,80
2014-01-05 - 2014-01-11,82
2014-01-12 - 2014-01-18,82
2014-01-19 - 2014-01-25,81
2014-01-26 - 2014-02-01,80
2014-02-02 - 2014-02-08,82
2014-02-09 - 2014-02-15,83
2014-02-16 - 2014-02-22,83
2014-02-23 - 2014-03-01,82
2014-03-02 - 2014-03-08,80
2014-03-09 - 2014-03-15,84
2014-03-16 - 2014-03-22,85
2014-03-23 - 2014-03-29,85
2014-03-30 - 2014-04-05,85
2014-04-06 - 2014-04-12,86
2014-04-13 - 2014-04-19,86
2014-04-20 - 2014-04-26,85
2014-04-27 - 2014-05-03,85
2014-05-04 - 2014-05-10,85
2014-05-11 - 2014-05-17,85
2014-05-18 - 2014-05-24,90
2014-05-25 - 2014-05-31,88
2014-06-01 - 2014-06-07,89
2014-06-08 - 2014-06-14,88
2014-06-15 - 2014-06-21,87
2014-06-22 - 2014-06-28,88
2014-06-29 - 2014-07-05,87
2014-07-06 - 2014-07-12,85
2014-07-13 - 2014-07-19,85
2014-07-20 - 2014-07-26,88
2014-07-27 - 2014-08-02,87
2014-08-03 - 2014-08-09,86
2014-08-10 - 2014-08-16,85
2014-08-17 - 2014-08-23,85
2014-08-24 - 2014-08-30,88
2014-08-31 - 2014-09-06,83
2014-09-07 - 2014-09-13,84
2014-09-14 - 2014-09-20,86
2014-09-21 - 2014-09-27,86
2014-09-28 - 2014-10-04,87
2014-10-05 - 2014-10-11,86
2014-10-12 - 2014-10-18,86
2014-10-19 - 2014-10-25,84
2014-10-26 - 2014-11-01,86
2014-11-02 - 2014-11-08,88
2014-11-09 - 2014-11-15,85
2014-11-16 - 2014-11-22,84
2014-11-23 - 2014-11-29,84
2014-11-30 - 2014-12-06,82
2014-12-07 - 2014-12-13,81
2014-12-14 - 2014-12-20,77
2014-12-21 - 2014-12-27,77
2014-12-28 - 2015-01-03,80
2015-01-04 - 2015-01-10,83
2015-01-11 - 2015-01-17,86
2015-01-18 - 2015-01-24,83
2015-01-25 - 2015-01-31,83
2015-02-01 - 2015-02-07,82
2015-02-08 - 2015-02-14,81
2015-02-15 - 2015-02-21,82
2015-02-22 - 2015-02-28,85
2015-03-01 - 2015-03-07,86
2015-03-08 - 2015-03-14,87
2015-03-15 - 2015-03-21,86
2015-03-22 - 2015-03-28,85
2015-03-29 - 2015-04-04,84
2015-04-05 - 2015-04-11,87
2015-04-12 - 2015-04-18,86
2015-04-19 - 2015-04-25,84
2015-04-26 - 2015-05-02,86
2015-05-03 - 2015-05-09,85
2015-05-10 - 2015-05-16,86
2015-05-17 - 2015-05-23,85
2015-05-24 - 2015-05-30,88
2015-05-31 - 2015-06-06,86
2015-06-07 - 2015-06-13,87
2015-06-14 - 2015-06-20,87
2015-06-21 - 2015-06-27,88
2015-06-28 - 2015-07-04,86
2015-07-05 - 2015-07-11,86
2015-07-12 - 2015-07-18,87
2015-07-19 - 2015-07-25,88
2015-07-26 - 2015-08-01,86
2015-08-02 - 2015-08-08,87
2015-08-09 - 2015-08-15,88
2015-08-16 - 2015-08-22,89
2015-08-23 - 2015-08-29,89
2015-08-30 - 2015-09-05,91
2015-09-06 - 2015-09-12,91
2015-09-13 - 2015-09-19,92
2015-09-20 - 2015-09-26,93
2015-09-27 - 2015-10-03,91
2015-10-04 - 2015-10-10,90
2015-10-11 - 2015-10-17,88
2015-10-18 - 2015-10-24,94
2015-10-25 - 2015-10-31,91
2015-11-01 - 2015-11-07,89
2015-11-08 - 2015-11-14,90
2015-11-15 - 2015-11-21,89
2015-11-22 - 2015-11-28,89
2015-11-29 - 2015-12-05,87
2015-12-06 - 2015-12-12,86
2015-12-13 - 2015-12-19,86
2015-12-20 - 2015-12-26,82
2015-12-27 - 2016-01-02,86
2016-01-03 - 2016-01-09,94
2016-01-10 - 2016-01-16,92
2016-01-17 - 2016-01-23,90
2016-01-24 - 2016-01-30,91
2016-01-31 - 2016-02-06,88
2016-02-07 - 2016-02-13,86
2016-02-14 - 2016-02-20,88
2016-02-21 - 2016-02-27,89
2016-02-28 - 2016-03-05,89
2016-03-06 - 2016-03-12,92
2016-03-13 - 2016-03-19,90
2016-03-20 - 2016-03-26,90
2016-03-27 - 2016-04-02,90
2016-04-03 - 2016-04-09,90
2016-04-10 - 2016-04-16,93
2016-04-17 - 2016-04-23,93
2016-04-24 - 2016-04-30,100


Top regions for do
Region,do
Brazil,100
Angola,88
Portugal,45
Poland,40
United States,14
Vietnam,14
United Kingdom,13
Czech Republic,12
Slovakia,12
Australia,12
South Africa,11
New Zealand,11
Ireland,11
Canada,10
Nigeria,9
Singapore,7
Philippines,6
Serbia,5
United Arab Emirates,5
India,4
Pakistan,4
Malaysia,3
Sweden,2
Spain,2
Netherlands,2
Germany,2
Indonesia,1
Argentina,1
Thailand,1
Mexico,1
Japan,1
France,1
Italy,1


Top cities for do
City,do
Fortaleza (Brazil),100
Recife (Brazil),91
Salvador (Brazil),90
Curitiba (Brazil),87
Rio de Janeiro (Brazil),86
Belo Horizonte (Brazil),85
Brasília (Brazil),84
Porto Alegre (Brazil),84
Goiânia (Brazil),82
Diadema (Brazil),81
São Paulo (Brazil),80
Lisbon (Portugal),39
Poznan (Poland),35
Krakow (Poland),34
Warsaw (Poland),34



Top searches for do
jogos,100
google,85
previsão do tempo,60
banco do brasil,45
jogos do mario,25
jogo do bicho,25
globo,25
orkut,20
face,20
previsao do tempo,15
resultado do bicho,15
mc do,15
enem,15
minecraft,15
caixa,15
msn,10
tradutor,10
copa do mundo,10
terra,10
uol,10
twitter,10
maps,10
portal do servidor,10
4shared,10
you tube,10
wikipedia,10
copa do brasil,10
allegro,5
baixaki,5
friv,5
itau,5
outlook,5
justin bieber,5
google maps,5
horoscopo do dia,5
mercado livre,5
palco mp3,5
gazeta do povo,5
g1,5
jogo do mario,5
globo esporte,5
walmart,5
click jogos,5
avioes do forro,5
olx,5
portal do aluno,5
mapa do brasil,5
ministerio do trabalho,5
receita federal,5
jogos do friv,5



Rising searches for do
jogos do mario,+4,200%
orkut,+1,600%
google,+1,100%
jogo do bicho,+600%
jogos,+450%
previsão do tempo,+350%
face,+300%
globo,+200%
previsao do tempo,+100%
banco do brasil,+50%



