Web Search interest: se
Worldwide 2004 - present

Interest over time
Week,se
2005-08-14 - 2005-08-20,23
2005-08-21 - 2005-08-27,25
2005-08-28 - 2005-09-03,26
2005-09-04 - 2005-09-10,26
2005-09-11 - 2005-09-17,24
2005-09-18 - 2005-09-24,25
2005-09-25 - 2005-10-01,25
2005-10-02 - 2005-10-08,26
2005-10-09 - 2005-10-15,26
2005-10-16 - 2005-10-22,27
2005-10-23 - 2005-10-29,27
2005-10-30 - 2005-11-05,25
2005-11-06 - 2005-11-12,26
2005-11-13 - 2005-11-19,26
2005-11-20 - 2005-11-26,26
2005-11-27 - 2005-12-03,24
2005-12-04 - 2005-12-10,22
2005-12-11 - 2005-12-17,22
2005-12-18 - 2005-12-24,19
2005-12-25 - 2005-12-31,21
2006-01-01 - 2006-01-07,21
2006-01-08 - 2006-01-14,22
2006-01-15 - 2006-01-21,22
2006-01-22 - 2006-01-28,23
2006-01-29 - 2006-02-04,24
2006-02-05 - 2006-02-11,24
2006-02-12 - 2006-02-18,24
2006-02-19 - 2006-02-25,25
2006-02-26 - 2006-03-04,23
2006-03-05 - 2006-03-11,26
2006-03-12 - 2006-03-18,26
2006-03-19 - 2006-03-25,26
2006-03-26 - 2006-04-01,27
2006-04-02 - 2006-04-08,26
2006-04-09 - 2006-04-15,23
2006-04-16 - 2006-04-22,26
2006-04-23 - 2006-04-29,27
2006-04-30 - 2006-05-06,27
2006-05-07 - 2006-05-13,27
2006-05-14 - 2006-05-20,27
2006-05-21 - 2006-05-27,28
2006-05-28 - 2006-06-03,29
2006-06-04 - 2006-06-10,28
2006-06-11 - 2006-06-17,27
2006-06-18 - 2006-06-24,25
2006-06-25 - 2006-07-01,24
2006-07-02 - 2006-07-08,23
2006-07-09 - 2006-07-15,23
2006-07-16 - 2006-07-22,23
2006-07-23 - 2006-07-29,22
2006-07-30 - 2006-08-05,23
2006-08-06 - 2006-08-12,24
2006-08-13 - 2006-08-19,25
2006-08-20 - 2006-08-26,27
2006-08-27 - 2006-09-02,28
2006-09-03 - 2006-09-09,28
2006-09-10 - 2006-09-16,27
2006-09-17 - 2006-09-23,27
2006-09-24 - 2006-09-30,28
2006-10-01 - 2006-10-07,29
2006-10-08 - 2006-10-14,28
2006-10-15 - 2006-10-21,28
2006-10-22 - 2006-10-28,29
2006-10-29 - 2006-11-04,27
2006-11-05 - 2006-11-11,28
2006-11-12 - 2006-11-18,27
2006-11-19 - 2006-11-25,28
2006-11-26 - 2006-12-02,26
2006-12-03 - 2006-12-09,25
2006-12-10 - 2006-12-16,24
2006-12-17 - 2006-12-23,22
2006-12-24 - 2006-12-30,23
2006-12-31 - 2007-01-06,22
2007-01-07 - 2007-01-13,24
2007-01-14 - 2007-01-20,25
2007-01-21 - 2007-01-27,25
2007-01-28 - 2007-02-03,25
2007-02-04 - 2007-02-10,26
2007-02-11 - 2007-02-17,27
2007-02-18 - 2007-02-24,27
2007-02-25 - 2007-03-03,27
2007-03-04 - 2007-03-10,28
2007-03-11 - 2007-03-17,29
2007-03-18 - 2007-03-24,29
2007-03-25 - 2007-03-31,29
2007-04-01 - 2007-04-07,25
2007-04-08 - 2007-04-14,28
2007-04-15 - 2007-04-21,30
2007-04-22 - 2007-04-28,30
2007-04-29 - 2007-05-05,30
2007-05-06 - 2007-05-12,31
2007-05-13 - 2007-05-19,32
2007-05-20 - 2007-05-26,33
2007-05-27 - 2007-06-02,33
2007-06-03 - 2007-06-09,32
2007-06-10 - 2007-06-16,31
2007-06-17 - 2007-06-23,29
2007-06-24 - 2007-06-30,29
2007-07-01 - 2007-07-07,29
2007-07-08 - 2007-07-14,28
2007-07-15 - 2007-07-21,28
2007-07-22 - 2007-07-28,29
2007-07-29 - 2007-08-04,29
2007-08-05 - 2007-08-11,29
2007-08-12 - 2007-08-18,30
2007-08-19 - 2007-08-25,32
2007-08-26 - 2007-09-01,34
2007-09-02 - 2007-09-08,34
2007-09-09 - 2007-09-15,34
2007-09-16 - 2007-09-22,33
2007-09-23 - 2007-09-29,34
2007-09-30 - 2007-10-06,35
2007-10-07 - 2007-10-13,34
2007-10-14 - 2007-10-20,35
2007-10-21 - 2007-10-27,35
2007-10-28 - 2007-11-03,34
2007-11-04 - 2007-11-10,34
2007-11-11 - 2007-11-17,35
2007-11-18 - 2007-11-24,35
2007-11-25 - 2007-12-01,34
2007-12-02 - 2007-12-08,33
2007-12-09 - 2007-12-15,31
2007-12-16 - 2007-12-22,28
2007-12-23 - 2007-12-29,29
2007-12-30 - 2008-01-05,29
2008-01-06 - 2008-01-12,32
2008-01-13 - 2008-01-19,33
2008-01-20 - 2008-01-26,34
2008-01-27 - 2008-02-02,35
2008-02-03 - 2008-02-09,35
2008-02-10 - 2008-02-16,37
2008-02-17 - 2008-02-23,38
2008-02-24 - 2008-03-01,37
2008-03-02 - 2008-03-08,37
2008-03-09 - 2008-03-15,38
2008-03-16 - 2008-03-22,34
2008-03-23 - 2008-03-29,38
2008-03-30 - 2008-04-05,40
2008-04-06 - 2008-04-12,40
2008-04-13 - 2008-04-19,41
2008-04-20 - 2008-04-26,41
2008-04-27 - 2008-05-03,38
2008-05-04 - 2008-05-10,40
2008-05-11 - 2008-05-17,40
2008-05-18 - 2008-05-24,42
2008-05-25 - 2008-05-31,42
2008-06-01 - 2008-06-07,41
2008-06-08 - 2008-06-14,41
2008-06-15 - 2008-06-21,39
2008-06-22 - 2008-06-28,38
2008-06-29 - 2008-07-05,38
2008-07-06 - 2008-07-12,36
2008-07-13 - 2008-07-19,36
2008-07-20 - 2008-07-26,37
2008-07-27 - 2008-08-02,36
2008-08-03 - 2008-08-09,37
2008-08-10 - 2008-08-16,39
2008-08-17 - 2008-08-23,41
2008-08-24 - 2008-08-30,45
2008-08-31 - 2008-09-06,44
2008-09-07 - 2008-09-13,43
2008-09-14 - 2008-09-20,41
2008-09-21 - 2008-09-27,44
2008-09-28 - 2008-10-04,45
2008-10-05 - 2008-10-11,43
2008-10-12 - 2008-10-18,44
2008-10-19 - 2008-10-25,45
2008-10-26 - 2008-11-01,44
2008-11-02 - 2008-11-08,42
2008-11-09 - 2008-11-15,45
2008-11-16 - 2008-11-22,42
2008-11-23 - 2008-11-29,44
2008-11-30 - 2008-12-06,41
2008-12-07 - 2008-12-13,40
2008-12-14 - 2008-12-20,38
2008-12-21 - 2008-12-27,36
2008-12-28 - 2009-01-03,36
2009-01-04 - 2009-01-10,39
2009-01-11 - 2009-01-17,42
2009-01-18 - 2009-01-24,42
2009-01-25 - 2009-01-31,44
2009-02-01 - 2009-02-07,44
2009-02-08 - 2009-02-14,44
2009-02-15 - 2009-02-21,45
2009-02-22 - 2009-02-28,44
2009-03-01 - 2009-03-07,47
2009-03-08 - 2009-03-14,48
2009-03-15 - 2009-03-21,48
2009-03-22 - 2009-03-28,49
2009-03-29 - 2009-04-04,48
2009-04-05 - 2009-04-11,44
2009-04-12 - 2009-04-18,49
2009-04-19 - 2009-04-25,51
2009-04-26 - 2009-05-02,49
2009-05-03 - 2009-05-09,49
2009-05-10 - 2009-05-16,51
2009-05-17 - 2009-05-23,52
2009-05-24 - 2009-05-30,51
2009-05-31 - 2009-06-06,51
2009-06-07 - 2009-06-13,50
2009-06-14 - 2009-06-20,49
2009-06-21 - 2009-06-27,48
2009-06-28 - 2009-07-04,47
2009-07-05 - 2009-07-11,46
2009-07-12 - 2009-07-18,47
2009-07-19 - 2009-07-25,47
2009-07-26 - 2009-08-01,47
2009-08-02 - 2009-08-08,48
2009-08-09 - 2009-08-15,49
2009-08-16 - 2009-08-22,50
2009-08-23 - 2009-08-29,55
2009-08-30 - 2009-09-05,55
2009-09-06 - 2009-09-12,54
2009-09-13 - 2009-09-19,52
2009-09-20 - 2009-09-26,54
2009-09-27 - 2009-10-03,54
2009-10-04 - 2009-10-10,54
2009-10-11 - 2009-10-17,53
2009-10-18 - 2009-10-24,55
2009-10-25 - 2009-10-31,53
2009-11-01 - 2009-11-07,52
2009-11-08 - 2009-11-14,54
2009-11-15 - 2009-11-21,53
2009-11-22 - 2009-11-28,54
2009-11-29 - 2009-12-05,51
2009-12-06 - 2009-12-12,48
2009-12-13 - 2009-12-19,45
2009-12-20 - 2009-12-26,43
2009-12-27 - 2010-01-02,44
2010-01-03 - 2010-01-09,45
2010-01-10 - 2010-01-16,48
2010-01-17 - 2010-01-23,49
2010-01-24 - 2010-01-30,51
2010-01-31 - 2010-02-06,50
2010-02-07 - 2010-02-13,53
2010-02-14 - 2010-02-20,52
2010-02-21 - 2010-02-27,54
2010-02-28 - 2010-03-06,54
2010-03-07 - 2010-03-13,57
2010-03-14 - 2010-03-20,57
2010-03-21 - 2010-03-27,57
2010-03-28 - 2010-04-03,51
2010-04-04 - 2010-04-10,57
2010-04-11 - 2010-04-17,59
2010-04-18 - 2010-04-24,59
2010-04-25 - 2010-05-01,59
2010-05-02 - 2010-05-08,59
2010-05-09 - 2010-05-15,59
2010-05-16 - 2010-05-22,58
2010-05-23 - 2010-05-29,61
2010-05-30 - 2010-06-05,62
2010-06-06 - 2010-06-12,60
2010-06-13 - 2010-06-19,57
2010-06-20 - 2010-06-26,56
2010-06-27 - 2010-07-03,54
2010-07-04 - 2010-07-10,53
2010-07-11 - 2010-07-17,53
2010-07-18 - 2010-07-24,51
2010-07-25 - 2010-07-31,52
2010-08-01 - 2010-08-07,52
2010-08-08 - 2010-08-14,54
2010-08-15 - 2010-08-21,54
2010-08-22 - 2010-08-28,59
2010-08-29 - 2010-09-04,59
2010-09-05 - 2010-09-11,59
2010-09-12 - 2010-09-18,56
2010-09-19 - 2010-09-25,59
2010-09-26 - 2010-10-02,59
2010-10-03 - 2010-10-09,60
2010-10-10 - 2010-10-16,58
2010-10-17 - 2010-10-23,59
2010-10-24 - 2010-10-30,60
2010-10-31 - 2010-11-06,59
2010-11-07 - 2010-11-13,60
2010-11-14 - 2010-11-20,59
2010-11-21 - 2010-11-27,60
2010-11-28 - 2010-12-04,55
2010-12-05 - 2010-12-11,54
2010-12-12 - 2010-12-18,53
2010-12-19 - 2010-12-25,49
2010-12-26 - 2011-01-01,49
2011-01-02 - 2011-01-08,52
2011-01-09 - 2011-01-15,55
2011-01-16 - 2011-01-22,56
2011-01-23 - 2011-01-29,56
2011-01-30 - 2011-02-05,58
2011-02-06 - 2011-02-12,59
2011-02-13 - 2011-02-19,61
2011-02-20 - 2011-02-26,60
2011-02-27 - 2011-03-05,60
2011-03-06 - 2011-03-12,59
2011-03-13 - 2011-03-19,63
2011-03-20 - 2011-03-26,64
2011-03-27 - 2011-04-02,66
2011-04-03 - 2011-04-09,64
2011-04-10 - 2011-04-16,63
2011-04-17 - 2011-04-23,58
2011-04-24 - 2011-04-30,63
2011-05-01 - 2011-05-07,63
2011-05-08 - 2011-05-14,64
2011-05-15 - 2011-05-21,67
2011-05-22 - 2011-05-28,66
2011-05-29 - 2011-06-04,67
2011-06-05 - 2011-06-11,66
2011-06-12 - 2011-06-18,64
2011-06-19 - 2011-06-25,63
2011-06-26 - 2011-07-02,61
2011-07-03 - 2011-07-09,60
2011-07-10 - 2011-07-16,61
2011-07-17 - 2011-07-23,60
2011-07-24 - 2011-07-30,60
2011-07-31 - 2011-08-06,61
2011-08-07 - 2011-08-13,63
2011-08-14 - 2011-08-20,64
2011-08-21 - 2011-08-27,67
2011-08-28 - 2011-09-03,69
2011-09-04 - 2011-09-10,66
2011-09-11 - 2011-09-17,65
2011-09-18 - 2011-09-24,67
2011-09-25 - 2011-10-01,68
2011-10-02 - 2011-10-08,68
2011-10-09 - 2011-10-15,66
2011-10-16 - 2011-10-22,67
2011-10-23 - 2011-10-29,69
2011-10-30 - 2011-11-05,66
2011-11-06 - 2011-11-12,69
2011-11-13 - 2011-11-19,69
2011-11-20 - 2011-11-26,69
2011-11-27 - 2011-12-03,67
2011-12-04 - 2011-12-10,64
2011-12-11 - 2011-12-17,64
2011-12-18 - 2011-12-24,61
2011-12-25 - 2011-12-31,63
2012-01-01 - 2012-01-07,65
2012-01-08 - 2012-01-14,68
2012-01-15 - 2012-01-21,71
2012-01-22 - 2012-01-28,71
2012-01-29 - 2012-02-04,69
2012-02-05 - 2012-02-11,71
2012-02-12 - 2012-02-18,69
2012-02-19 - 2012-02-25,69
2012-02-26 - 2012-03-03,71
2012-03-04 - 2012-03-10,71
2012-03-11 - 2012-03-17,71
2012-03-18 - 2012-03-24,71
2012-03-25 - 2012-03-31,70
2012-04-01 - 2012-04-07,63
2012-04-08 - 2012-04-14,69
2012-04-15 - 2012-04-21,71
2012-04-22 - 2012-04-28,70
2012-04-29 - 2012-05-05,68
2012-05-06 - 2012-05-12,69
2012-05-13 - 2012-05-19,71
2012-05-20 - 2012-05-26,72
2012-05-27 - 2012-06-02,72
2012-06-03 - 2012-06-09,70
2012-06-10 - 2012-06-16,69
2012-06-17 - 2012-06-23,66
2012-06-24 - 2012-06-30,67
2012-07-01 - 2012-07-07,65
2012-07-08 - 2012-07-14,66
2012-07-15 - 2012-07-21,65
2012-07-22 - 2012-07-28,66
2012-07-29 - 2012-08-04,66
2012-08-05 - 2012-08-11,66
2012-08-12 - 2012-08-18,69
2012-08-19 - 2012-08-25,73
2012-08-26 - 2012-09-01,73
2012-09-02 - 2012-09-08,74
2012-09-09 - 2012-09-15,72
2012-09-16 - 2012-09-22,73
2012-09-23 - 2012-09-29,74
2012-09-30 - 2012-10-06,74
2012-10-07 - 2012-10-13,70
2012-10-14 - 2012-10-20,71
2012-10-21 - 2012-10-27,73
2012-10-28 - 2012-11-03,69
2012-11-04 - 2012-11-10,70
2012-11-11 - 2012-11-17,69
2012-11-18 - 2012-11-24,69
2012-11-25 - 2012-12-01,68
2012-12-02 - 2012-12-08,66
2012-12-09 - 2012-12-15,65
2012-12-16 - 2012-12-22,61
2012-12-23 - 2012-12-29,59
2012-12-30 - 2013-01-05,59
2013-01-06 - 2013-01-12,63
2013-01-13 - 2013-01-19,65
2013-01-20 - 2013-01-26,67
2013-01-27 - 2013-02-02,67
2013-02-03 - 2013-02-09,66
2013-02-10 - 2013-02-16,66
2013-02-17 - 2013-02-23,69
2013-02-24 - 2013-03-02,70
2013-03-03 - 2013-03-09,70
2013-03-10 - 2013-03-16,73
2013-03-17 - 2013-03-23,71
2013-03-24 - 2013-03-30,66
2013-03-31 - 2013-04-06,71
2013-04-07 - 2013-04-13,74
2013-04-14 - 2013-04-20,73
2013-04-21 - 2013-04-27,73
2013-04-28 - 2013-05-04,72
2013-05-05 - 2013-05-11,72
2013-05-12 - 2013-05-18,71
2013-05-19 - 2013-05-25,75
2013-05-26 - 2013-06-01,74
2013-06-02 - 2013-06-08,74
2013-06-09 - 2013-06-15,73
2013-06-16 - 2013-06-22,70
2013-06-23 - 2013-06-29,70
2013-06-30 - 2013-07-06,68
2013-07-07 - 2013-07-13,68
2013-07-14 - 2013-07-20,68
2013-07-21 - 2013-07-27,68
2013-07-28 - 2013-08-03,68
2013-08-04 - 2013-08-10,70
2013-08-11 - 2013-08-17,71
2013-08-18 - 2013-08-24,72
2013-08-25 - 2013-08-31,74
2013-09-01 - 2013-09-07,75
2013-09-08 - 2013-09-14,74
2013-09-15 - 2013-09-21,72
2013-09-22 - 2013-09-28,76
2013-09-29 - 2013-10-05,77
2013-10-06 - 2013-10-12,76
2013-10-13 - 2013-10-19,76
2013-10-20 - 2013-10-26,76
2013-10-27 - 2013-11-02,75
2013-11-03 - 2013-11-09,75
2013-11-10 - 2013-11-16,75
2013-11-17 - 2013-11-23,75
2013-11-24 - 2013-11-30,74
2013-12-01 - 2013-12-07,71
2013-12-08 - 2013-12-14,69
2013-12-15 - 2013-12-21,65
2013-12-22 - 2013-12-28,63
2013-12-29 - 2014-01-04,64
2014-01-05 - 2014-01-11,70
2014-01-12 - 2014-01-18,71
2014-01-19 - 2014-01-25,72
2014-01-26 - 2014-02-01,73
2014-02-02 - 2014-02-08,74
2014-02-09 - 2014-02-15,74
2014-02-16 - 2014-02-22,75
2014-02-23 - 2014-03-01,75
2014-03-02 - 2014-03-08,73
2014-03-09 - 2014-03-15,78
2014-03-16 - 2014-03-22,78
2014-03-23 - 2014-03-29,78
2014-03-30 - 2014-04-05,78
2014-04-06 - 2014-04-12,79
2014-04-13 - 2014-04-19,73
2014-04-20 - 2014-04-26,79
2014-04-27 - 2014-05-03,76
2014-05-04 - 2014-05-10,79
2014-05-11 - 2014-05-17,79
2014-05-18 - 2014-05-24,83
2014-05-25 - 2014-05-31,84
2014-06-01 - 2014-06-07,84
2014-06-08 - 2014-06-14,81
2014-06-15 - 2014-06-21,79
2014-06-22 - 2014-06-28,79
2014-06-29 - 2014-07-05,78
2014-07-06 - 2014-07-12,78
2014-07-13 - 2014-07-19,76
2014-07-20 - 2014-07-26,77
2014-07-27 - 2014-08-02,77
2014-08-03 - 2014-08-09,77
2014-08-10 - 2014-08-16,77
2014-08-17 - 2014-08-23,80
2014-08-24 - 2014-08-30,82
2014-08-31 - 2014-09-06,82
2014-09-07 - 2014-09-13,80
2014-09-14 - 2014-09-20,80
2014-09-21 - 2014-09-27,82
2014-09-28 - 2014-10-04,83
2014-10-05 - 2014-10-11,83
2014-10-12 - 2014-10-18,81
2014-10-19 - 2014-10-25,81
2014-10-26 - 2014-11-01,85
2014-11-02 - 2014-11-08,84
2014-11-09 - 2014-11-15,82
2014-11-16 - 2014-11-22,80
2014-11-23 - 2014-11-29,82
2014-11-30 - 2014-12-06,78
2014-12-07 - 2014-12-13,75
2014-12-14 - 2014-12-20,71
2014-12-21 - 2014-12-27,69
2014-12-28 - 2015-01-03,70
2015-01-04 - 2015-01-10,73
2015-01-11 - 2015-01-17,76
2015-01-18 - 2015-01-24,77
2015-01-25 - 2015-01-31,79
2015-02-01 - 2015-02-07,78
2015-02-08 - 2015-02-14,78
2015-02-15 - 2015-02-21,79
2015-02-22 - 2015-02-28,80
2015-03-01 - 2015-03-07,80
2015-03-08 - 2015-03-14,83
2015-03-15 - 2015-03-21,82
2015-03-22 - 2015-03-28,82
2015-03-29 - 2015-04-04,76
2015-04-05 - 2015-04-11,83
2015-04-12 - 2015-04-18,85
2015-04-19 - 2015-04-25,83
2015-04-26 - 2015-05-02,83
2015-05-03 - 2015-05-09,81
2015-05-10 - 2015-05-16,82
2015-05-17 - 2015-05-23,86
2015-05-24 - 2015-05-30,85
2015-05-31 - 2015-06-06,84
2015-06-07 - 2015-06-13,84
2015-06-14 - 2015-06-20,81
2015-06-21 - 2015-06-27,80
2015-06-28 - 2015-07-04,79
2015-07-05 - 2015-07-11,78
2015-07-12 - 2015-07-18,79
2015-07-19 - 2015-07-25,78
2015-07-26 - 2015-08-01,79
2015-08-02 - 2015-08-08,80
2015-08-09 - 2015-08-15,82
2015-08-16 - 2015-08-22,81
2015-08-23 - 2015-08-29,83
2015-08-30 - 2015-09-05,87
2015-09-06 - 2015-09-12,89
2015-09-13 - 2015-09-19,85
2015-09-20 - 2015-09-26,88
2015-09-27 - 2015-10-03,85
2015-10-04 - 2015-10-10,86
2015-10-11 - 2015-10-17,84
2015-10-18 - 2015-10-24,86
2015-10-25 - 2015-10-31,85
2015-11-01 - 2015-11-07,83
2015-11-08 - 2015-11-14,84
2015-11-15 - 2015-11-21,83
2015-11-22 - 2015-11-28,82
2015-11-29 - 2015-12-05,79
2015-12-06 - 2015-12-12,77
2015-12-13 - 2015-12-19,76
2015-12-20 - 2015-12-26,71
2015-12-27 - 2016-01-02,72
2016-01-03 - 2016-01-09,77
2016-01-10 - 2016-01-16,79
2016-01-17 - 2016-01-23,81
2016-01-24 - 2016-01-30,83
2016-01-31 - 2016-02-06,79
2016-02-07 - 2016-02-13,81
2016-02-14 - 2016-02-20,84
2016-02-21 - 2016-02-27,84
2016-02-28 - 2016-03-05,83
2016-03-06 - 2016-03-12,86
2016-03-13 - 2016-03-19,84
2016-03-20 - 2016-03-26,96
2016-03-27 - 2016-04-02,97
2016-04-03 - 2016-04-09,96
2016-04-10 - 2016-04-16,95
2016-04-17 - 2016-04-23,91
2016-04-24 - 2016-04-30,100


Top regions for se
Region,se
Honduras,100
Ecuador,96
Guatemala,94
Mexico,94
Nicaragua,94
Colombia,93
Panama,87
El Salvador,86
Dominican Republic,82
Argentina,82
Paraguay,77
Peru,73
Chile,72
Venezuela,70
Costa Rica,70
Uruguay,68
Bolivia,65
Bosnia & Herzegovina,54
Romania,50
Serbia,49
Spain,49
Puerto Rico,47
Czech Republic,44
Brazil,39
Croatia,32
Moldova,25
Pakistan,18
Slovenia,18
Portugal,18
Bulgaria,18
France,18
Sweden,13
Denmark,12
Italy,12
India,11
Vietnam,9
Norway,8
Greece,7
Morocco,7
Belgium,7
Switzerland,5
Canada,4
United States,4
Finland,3
United Kingdom,3
Poland,3
Germany,3
Indonesia,3
Netherlands,2
China,2
Japan,1
Turkey,1
Australia,1


Top cities for se
City,se
Cali (Colombia),100
Guatemala City (Guatemala),89
Quito Canton (Ecuador),87
Medellín (Colombia),87
Monterrey (Mexico),82
Córdoba (Argentina),81
Guadalajara (Mexico),80
Rosario (Argentina),79
Bogotá (Colombia),79
Mexico City (Mexico),78
Maracaibo (Venezuela),74
Buenos Aires (Argentina),73
San Jose (Costa Rica),67
Montevideo (Uruguay),65
Santiago (Chile),64



Top searches for se
como,100
porque,15
google se,5
se loger,5
tiempo,5
como se escribe,5
iphone se,5
juegos,5
wikipedia,0
traductor,0
per se,0
dil se,0
marca,0
se og hør,0
traductor google,0
diccionario,0
mercadolibre,0
se loger.com,0
frases de amor,0
detran se,0
pap,0
mercado libre,0
letras de canciones,0
se llama copla,0



Rising searches for se
iphone se,Breakout
wikipedia,Breakout
google se,+1,000%
traductor,+350%
como se escribe,+300%
porque,+100%
tiempo,+90%



