Web Search interest: wy
Worldwide 2004 - present

Interest over time
Week,wy
2005-07-03 - 2005-07-09,52
2005-07-10 - 2005-07-16,60
2005-07-17 - 2005-07-23,60
2005-07-24 - 2005-07-30,56
2005-07-31 - 2005-08-06,55
2005-08-07 - 2005-08-13,57
2005-08-14 - 2005-08-20,57
2005-08-21 - 2005-08-27,49
2005-08-28 - 2005-09-03,47
2005-09-04 - 2005-09-10,44
2005-09-11 - 2005-09-17,45
2005-09-18 - 2005-09-24,46
2005-09-25 - 2005-10-01,47
2005-10-02 - 2005-10-08,45
2005-10-09 - 2005-10-15,43
2005-10-16 - 2005-10-22,40
2005-10-23 - 2005-10-29,41
2005-10-30 - 2005-11-05,41
2005-11-06 - 2005-11-12,37
2005-11-13 - 2005-11-19,40
2005-11-20 - 2005-11-26,33
2005-11-27 - 2005-12-03,41
2005-12-04 - 2005-12-10,42
2005-12-11 - 2005-12-17,43
2005-12-18 - 2005-12-24,43
2005-12-25 - 2005-12-31,48
2006-01-01 - 2006-01-07,50
2006-01-08 - 2006-01-14,49
2006-01-15 - 2006-01-21,45
2006-01-22 - 2006-01-28,50
2006-01-29 - 2006-02-04,47
2006-02-05 - 2006-02-11,52
2006-02-12 - 2006-02-18,48
2006-02-19 - 2006-02-25,47
2006-02-26 - 2006-03-04,49
2006-03-05 - 2006-03-11,51
2006-03-12 - 2006-03-18,46
2006-03-19 - 2006-03-25,53
2006-03-26 - 2006-04-01,48
2006-04-02 - 2006-04-08,46
2006-04-09 - 2006-04-15,51
2006-04-16 - 2006-04-22,51
2006-04-23 - 2006-04-29,51
2006-04-30 - 2006-05-06,55
2006-05-07 - 2006-05-13,51
2006-05-14 - 2006-05-20,55
2006-05-21 - 2006-05-27,54
2006-05-28 - 2006-06-03,53
2006-06-04 - 2006-06-10,60
2006-06-11 - 2006-06-17,63
2006-06-18 - 2006-06-24,61
2006-06-25 - 2006-07-01,67
2006-07-02 - 2006-07-08,60
2006-07-09 - 2006-07-15,65
2006-07-16 - 2006-07-22,73
2006-07-23 - 2006-07-29,67
2006-07-30 - 2006-08-05,68
2006-08-06 - 2006-08-12,62
2006-08-13 - 2006-08-19,67
2006-08-20 - 2006-08-26,63
2006-08-27 - 2006-09-02,56
2006-09-03 - 2006-09-09,51
2006-09-10 - 2006-09-16,55
2006-09-17 - 2006-09-23,54
2006-09-24 - 2006-09-30,50
2006-10-01 - 2006-10-07,48
2006-10-08 - 2006-10-14,49
2006-10-15 - 2006-10-21,51
2006-10-22 - 2006-10-28,50
2006-10-29 - 2006-11-04,47
2006-11-05 - 2006-11-11,50
2006-11-12 - 2006-11-18,47
2006-11-19 - 2006-11-25,38
2006-11-26 - 2006-12-02,46
2006-12-03 - 2006-12-09,46
2006-12-10 - 2006-12-16,47
2006-12-17 - 2006-12-23,52
2006-12-24 - 2006-12-30,52
2006-12-31 - 2007-01-06,52
2007-01-07 - 2007-01-13,56
2007-01-14 - 2007-01-20,52
2007-01-21 - 2007-01-27,56
2007-01-28 - 2007-02-03,52
2007-02-04 - 2007-02-10,53
2007-02-11 - 2007-02-17,57
2007-02-18 - 2007-02-24,53
2007-02-25 - 2007-03-03,56
2007-03-04 - 2007-03-10,54
2007-03-11 - 2007-03-17,51
2007-03-18 - 2007-03-24,52
2007-03-25 - 2007-03-31,60
2007-04-01 - 2007-04-07,57
2007-04-08 - 2007-04-14,55
2007-04-15 - 2007-04-21,55
2007-04-22 - 2007-04-28,57
2007-04-29 - 2007-05-05,60
2007-05-06 - 2007-05-12,60
2007-05-13 - 2007-05-19,56
2007-05-20 - 2007-05-26,61
2007-05-27 - 2007-06-02,58
2007-06-03 - 2007-06-09,66
2007-06-10 - 2007-06-16,64
2007-06-17 - 2007-06-23,65
2007-06-24 - 2007-06-30,66
2007-07-01 - 2007-07-07,64
2007-07-08 - 2007-07-14,71
2007-07-15 - 2007-07-21,75
2007-07-22 - 2007-07-28,70
2007-07-29 - 2007-08-04,67
2007-08-05 - 2007-08-11,64
2007-08-12 - 2007-08-18,66
2007-08-19 - 2007-08-25,63
2007-08-26 - 2007-09-01,61
2007-09-02 - 2007-09-08,53
2007-09-09 - 2007-09-15,55
2007-09-16 - 2007-09-22,56
2007-09-23 - 2007-09-29,54
2007-09-30 - 2007-10-06,53
2007-10-07 - 2007-10-13,53
2007-10-14 - 2007-10-20,51
2007-10-21 - 2007-10-27,51
2007-10-28 - 2007-11-03,52
2007-11-04 - 2007-11-10,50
2007-11-11 - 2007-11-17,49
2007-11-18 - 2007-11-24,44
2007-11-25 - 2007-12-01,53
2007-12-02 - 2007-12-08,51
2007-12-09 - 2007-12-15,51
2007-12-16 - 2007-12-22,56
2007-12-23 - 2007-12-29,53
2007-12-30 - 2008-01-05,63
2008-01-06 - 2008-01-12,61
2008-01-13 - 2008-01-19,57
2008-01-20 - 2008-01-26,59
2008-01-27 - 2008-02-02,64
2008-02-03 - 2008-02-09,61
2008-02-10 - 2008-02-16,59
2008-02-17 - 2008-02-23,58
2008-02-24 - 2008-03-01,60
2008-03-02 - 2008-03-08,61
2008-03-09 - 2008-03-15,60
2008-03-16 - 2008-03-22,57
2008-03-23 - 2008-03-29,60
2008-03-30 - 2008-04-05,64
2008-04-06 - 2008-04-12,62
2008-04-13 - 2008-04-19,60
2008-04-20 - 2008-04-26,64
2008-04-27 - 2008-05-03,66
2008-05-04 - 2008-05-10,68
2008-05-11 - 2008-05-17,67
2008-05-18 - 2008-05-24,73
2008-05-25 - 2008-05-31,66
2008-06-01 - 2008-06-07,68
2008-06-08 - 2008-06-14,71
2008-06-15 - 2008-06-21,73
2008-06-22 - 2008-06-28,74
2008-06-29 - 2008-07-05,70
2008-07-06 - 2008-07-12,73
2008-07-13 - 2008-07-19,79
2008-07-20 - 2008-07-26,77
2008-07-27 - 2008-08-02,74
2008-08-03 - 2008-08-09,75
2008-08-10 - 2008-08-16,75
2008-08-17 - 2008-08-23,69
2008-08-24 - 2008-08-30,68
2008-08-31 - 2008-09-06,62
2008-09-07 - 2008-09-13,64
2008-09-14 - 2008-09-20,62
2008-09-21 - 2008-09-27,60
2008-09-28 - 2008-10-04,62
2008-10-05 - 2008-10-11,64
2008-10-12 - 2008-10-18,61
2008-10-19 - 2008-10-25,58
2008-10-26 - 2008-11-01,55
2008-11-02 - 2008-11-08,57
2008-11-09 - 2008-11-15,57
2008-11-16 - 2008-11-22,54
2008-11-23 - 2008-11-29,49
2008-11-30 - 2008-12-06,59
2008-12-07 - 2008-12-13,57
2008-12-14 - 2008-12-20,64
2008-12-21 - 2008-12-27,56
2008-12-28 - 2009-01-03,67
2009-01-04 - 2009-01-10,64
2009-01-11 - 2009-01-17,62
2009-01-18 - 2009-01-24,61
2009-01-25 - 2009-01-31,66
2009-02-01 - 2009-02-07,61
2009-02-08 - 2009-02-14,62
2009-02-15 - 2009-02-21,63
2009-02-22 - 2009-02-28,65
2009-03-01 - 2009-03-07,64
2009-03-08 - 2009-03-14,65
2009-03-15 - 2009-03-21,63
2009-03-22 - 2009-03-28,72
2009-03-29 - 2009-04-04,71
2009-04-05 - 2009-04-11,66
2009-04-12 - 2009-04-18,69
2009-04-19 - 2009-04-25,65
2009-04-26 - 2009-05-02,69
2009-05-03 - 2009-05-09,69
2009-05-10 - 2009-05-16,67
2009-05-17 - 2009-05-23,70
2009-05-24 - 2009-05-30,68
2009-05-31 - 2009-06-06,72
2009-06-07 - 2009-06-13,71
2009-06-14 - 2009-06-20,75
2009-06-21 - 2009-06-27,74
2009-06-28 - 2009-07-04,73
2009-07-05 - 2009-07-11,76
2009-07-12 - 2009-07-18,78
2009-07-19 - 2009-07-25,78
2009-07-26 - 2009-08-01,77
2009-08-02 - 2009-08-08,79
2009-08-09 - 2009-08-15,74
2009-08-16 - 2009-08-22,73
2009-08-23 - 2009-08-29,72
2009-08-30 - 2009-09-05,69
2009-09-06 - 2009-09-12,66
2009-09-13 - 2009-09-19,67
2009-09-20 - 2009-09-26,67
2009-09-27 - 2009-10-03,64
2009-10-04 - 2009-10-10,64
2009-10-11 - 2009-10-17,62
2009-10-18 - 2009-10-24,60
2009-10-25 - 2009-10-31,64
2009-11-01 - 2009-11-07,59
2009-11-08 - 2009-11-14,57
2009-11-15 - 2009-11-21,60
2009-11-22 - 2009-11-28,50
2009-11-29 - 2009-12-05,58
2009-12-06 - 2009-12-12,62
2009-12-13 - 2009-12-19,59
2009-12-20 - 2009-12-26,58
2009-12-27 - 2010-01-02,64
2010-01-03 - 2010-01-09,66
2010-01-10 - 2010-01-16,65
2010-01-17 - 2010-01-23,62
2010-01-24 - 2010-01-30,61
2010-01-31 - 2010-02-06,59
2010-02-07 - 2010-02-13,62
2010-02-14 - 2010-02-20,63
2010-02-21 - 2010-02-27,64
2010-02-28 - 2010-03-06,62
2010-03-07 - 2010-03-13,64
2010-03-14 - 2010-03-20,62
2010-03-21 - 2010-03-27,66
2010-03-28 - 2010-04-03,68
2010-04-04 - 2010-04-10,67
2010-04-11 - 2010-04-17,64
2010-04-18 - 2010-04-24,65
2010-04-25 - 2010-05-01,67
2010-05-02 - 2010-05-08,71
2010-05-09 - 2010-05-15,71
2010-05-16 - 2010-05-22,69
2010-05-23 - 2010-05-29,70
2010-05-30 - 2010-06-05,69
2010-06-06 - 2010-06-12,73
2010-06-13 - 2010-06-19,76
2010-06-20 - 2010-06-26,75
2010-06-27 - 2010-07-03,77
2010-07-04 - 2010-07-10,78
2010-07-11 - 2010-07-17,81
2010-07-18 - 2010-07-24,83
2010-07-25 - 2010-07-31,85
2010-08-01 - 2010-08-07,85
2010-08-08 - 2010-08-14,85
2010-08-15 - 2010-08-21,80
2010-08-22 - 2010-08-28,74
2010-08-29 - 2010-09-04,72
2010-09-05 - 2010-09-11,73
2010-09-12 - 2010-09-18,70
2010-09-19 - 2010-09-25,70
2010-09-26 - 2010-10-02,67
2010-10-03 - 2010-10-09,67
2010-10-10 - 2010-10-16,64
2010-10-17 - 2010-10-23,63
2010-10-24 - 2010-10-30,67
2010-10-31 - 2010-11-06,66
2010-11-07 - 2010-11-13,64
2010-11-14 - 2010-11-20,66
2010-11-21 - 2010-11-27,61
2010-11-28 - 2010-12-04,68
2010-12-05 - 2010-12-11,66
2010-12-12 - 2010-12-18,66
2010-12-19 - 2010-12-25,65
2010-12-26 - 2011-01-01,75
2011-01-02 - 2011-01-08,72
2011-01-09 - 2011-01-15,70
2011-01-16 - 2011-01-22,68
2011-01-23 - 2011-01-29,69
2011-01-30 - 2011-02-05,72
2011-02-06 - 2011-02-12,72
2011-02-13 - 2011-02-19,71
2011-02-20 - 2011-02-26,71
2011-02-27 - 2011-03-05,72
2011-03-06 - 2011-03-12,72
2011-03-13 - 2011-03-19,69
2011-03-20 - 2011-03-26,74
2011-03-27 - 2011-04-02,72
2011-04-03 - 2011-04-09,74
2011-04-10 - 2011-04-16,73
2011-04-17 - 2011-04-23,74
2011-04-24 - 2011-04-30,73
2011-05-01 - 2011-05-07,73
2011-05-08 - 2011-05-14,77
2011-05-15 - 2011-05-21,80
2011-05-22 - 2011-05-28,79
2011-05-29 - 2011-06-04,77
2011-06-05 - 2011-06-11,82
2011-06-12 - 2011-06-18,82
2011-06-19 - 2011-06-25,83
2011-06-26 - 2011-07-02,87
2011-07-03 - 2011-07-09,89
2011-07-10 - 2011-07-16,90
2011-07-17 - 2011-07-23,93
2011-07-24 - 2011-07-30,91
2011-07-31 - 2011-08-06,89
2011-08-07 - 2011-08-13,85
2011-08-14 - 2011-08-20,88
2011-08-21 - 2011-08-27,83
2011-08-28 - 2011-09-03,81
2011-09-04 - 2011-09-10,75
2011-09-11 - 2011-09-17,75
2011-09-18 - 2011-09-24,77
2011-09-25 - 2011-10-01,74
2011-10-02 - 2011-10-08,76
2011-10-09 - 2011-10-15,72
2011-10-16 - 2011-10-22,70
2011-10-23 - 2011-10-29,72
2011-10-30 - 2011-11-05,72
2011-11-06 - 2011-11-12,70
2011-11-13 - 2011-11-19,72
2011-11-20 - 2011-11-26,62
2011-11-27 - 2011-12-03,70
2011-12-04 - 2011-12-10,69
2011-12-11 - 2011-12-17,70
2011-12-18 - 2011-12-24,71
2011-12-25 - 2011-12-31,76
2012-01-01 - 2012-01-07,75
2012-01-08 - 2012-01-14,75
2012-01-15 - 2012-01-21,77
2012-01-22 - 2012-01-28,77
2012-01-29 - 2012-02-04,76
2012-02-05 - 2012-02-11,76
2012-02-12 - 2012-02-18,76
2012-02-19 - 2012-02-25,81
2012-02-26 - 2012-03-03,76
2012-03-04 - 2012-03-10,73
2012-03-11 - 2012-03-17,72
2012-03-18 - 2012-03-24,76
2012-03-25 - 2012-03-31,75
2012-04-01 - 2012-04-07,76
2012-04-08 - 2012-04-14,72
2012-04-15 - 2012-04-21,73
2012-04-22 - 2012-04-28,73
2012-04-29 - 2012-05-05,76
2012-05-06 - 2012-05-12,77
2012-05-13 - 2012-05-19,79
2012-05-20 - 2012-05-26,81
2012-05-27 - 2012-06-02,81
2012-06-03 - 2012-06-09,86
2012-06-10 - 2012-06-16,87
2012-06-17 - 2012-06-23,87
2012-06-24 - 2012-06-30,95
2012-07-01 - 2012-07-07,96
2012-07-08 - 2012-07-14,95
2012-07-15 - 2012-07-21,95
2012-07-22 - 2012-07-28,94
2012-07-29 - 2012-08-04,93
2012-08-05 - 2012-08-11,91
2012-08-12 - 2012-08-18,94
2012-08-19 - 2012-08-25,90
2012-08-26 - 2012-09-01,86
2012-09-02 - 2012-09-08,81
2012-09-09 - 2012-09-15,88
2012-09-16 - 2012-09-22,80
2012-09-23 - 2012-09-29,79
2012-09-30 - 2012-10-06,78
2012-10-07 - 2012-10-13,76
2012-10-14 - 2012-10-20,72
2012-10-21 - 2012-10-27,74
2012-10-28 - 2012-11-03,69
2012-11-04 - 2012-11-10,73
2012-11-11 - 2012-11-17,68
2012-11-18 - 2012-11-24,62
2012-11-25 - 2012-12-01,73
2012-12-02 - 2012-12-08,73
2012-12-09 - 2012-12-15,73
2012-12-16 - 2012-12-22,73
2012-12-23 - 2012-12-29,70
2012-12-30 - 2013-01-05,77
2013-01-06 - 2013-01-12,75
2013-01-13 - 2013-01-19,76
2013-01-20 - 2013-01-26,76
2013-01-27 - 2013-02-02,74
2013-02-03 - 2013-02-09,73
2013-02-10 - 2013-02-16,76
2013-02-17 - 2013-02-23,75
2013-02-24 - 2013-03-02,75
2013-03-03 - 2013-03-09,76
2013-03-10 - 2013-03-16,75
2013-03-17 - 2013-03-23,78
2013-03-24 - 2013-03-30,75
2013-03-31 - 2013-04-06,73
2013-04-07 - 2013-04-13,79
2013-04-14 - 2013-04-20,80
2013-04-21 - 2013-04-27,76
2013-04-28 - 2013-05-04,79
2013-05-05 - 2013-05-11,79
2013-05-12 - 2013-05-18,77
2013-05-19 - 2013-05-25,82
2013-05-26 - 2013-06-01,82
2013-06-02 - 2013-06-08,85
2013-06-09 - 2013-06-15,86
2013-06-16 - 2013-06-22,91
2013-06-23 - 2013-06-29,93
2013-06-30 - 2013-07-06,91
2013-07-07 - 2013-07-13,96
2013-07-14 - 2013-07-20,93
2013-07-21 - 2013-07-27,96
2013-07-28 - 2013-08-03,93
2013-08-04 - 2013-08-10,94
2013-08-11 - 2013-08-17,91
2013-08-18 - 2013-08-24,88
2013-08-25 - 2013-08-31,85
2013-09-01 - 2013-09-07,83
2013-09-08 - 2013-09-14,82
2013-09-15 - 2013-09-21,79
2013-09-22 - 2013-09-28,81
2013-09-29 - 2013-10-05,84
2013-10-06 - 2013-10-12,76
2013-10-13 - 2013-10-19,76
2013-10-20 - 2013-10-26,71
2013-10-27 - 2013-11-02,72
2013-11-03 - 2013-11-09,72
2013-11-10 - 2013-11-16,71
2013-11-17 - 2013-11-23,72
2013-11-24 - 2013-11-30,64
2013-12-01 - 2013-12-07,74
2013-12-08 - 2013-12-14,72
2013-12-15 - 2013-12-21,74
2013-12-22 - 2013-12-28,73
2013-12-29 - 2014-01-04,81
2014-01-05 - 2014-01-11,80
2014-01-12 - 2014-01-18,77
2014-01-19 - 2014-01-25,75
2014-01-26 - 2014-02-01,78
2014-02-02 - 2014-02-08,74
2014-02-09 - 2014-02-15,78
2014-02-16 - 2014-02-22,76
2014-02-23 - 2014-03-01,79
2014-03-02 - 2014-03-08,78
2014-03-09 - 2014-03-15,78
2014-03-16 - 2014-03-22,77
2014-03-23 - 2014-03-29,77
2014-03-30 - 2014-04-05,77
2014-04-06 - 2014-04-12,77
2014-04-13 - 2014-04-19,82
2014-04-20 - 2014-04-26,82
2014-04-27 - 2014-05-03,83
2014-05-04 - 2014-05-10,86
2014-05-11 - 2014-05-17,89
2014-05-18 - 2014-05-24,87
2014-05-25 - 2014-05-31,82
2014-06-01 - 2014-06-07,86
2014-06-08 - 2014-06-14,90
2014-06-15 - 2014-06-21,92
2014-06-22 - 2014-06-28,94
2014-06-29 - 2014-07-05,91
2014-07-06 - 2014-07-12,96
2014-07-13 - 2014-07-19,98
2014-07-20 - 2014-07-26,98
2014-07-27 - 2014-08-02,97
2014-08-03 - 2014-08-09,97
2014-08-10 - 2014-08-16,93
2014-08-17 - 2014-08-23,91
2014-08-24 - 2014-08-30,88
2014-08-31 - 2014-09-06,82
2014-09-07 - 2014-09-13,83
2014-09-14 - 2014-09-20,79
2014-09-21 - 2014-09-27,78
2014-09-28 - 2014-10-04,81
2014-10-05 - 2014-10-11,76
2014-10-12 - 2014-10-18,72
2014-10-19 - 2014-10-25,71
2014-10-26 - 2014-11-01,72
2014-11-02 - 2014-11-08,75
2014-11-09 - 2014-11-15,75
2014-11-16 - 2014-11-22,74
2014-11-23 - 2014-11-29,66
2014-11-30 - 2014-12-06,71
2014-12-07 - 2014-12-13,70
2014-12-14 - 2014-12-20,71
2014-12-21 - 2014-12-27,72
2014-12-28 - 2015-01-03,84
2015-01-04 - 2015-01-10,76
2015-01-11 - 2015-01-17,75
2015-01-18 - 2015-01-24,73
2015-01-25 - 2015-01-31,73
2015-02-01 - 2015-02-07,74
2015-02-08 - 2015-02-14,75
2015-02-15 - 2015-02-21,75
2015-02-22 - 2015-02-28,76
2015-03-01 - 2015-03-07,76
2015-03-08 - 2015-03-14,75
2015-03-15 - 2015-03-21,75
2015-03-22 - 2015-03-28,77
2015-03-29 - 2015-04-04,77
2015-04-05 - 2015-04-11,77
2015-04-12 - 2015-04-18,82
2015-04-19 - 2015-04-25,80
2015-04-26 - 2015-05-02,82
2015-05-03 - 2015-05-09,84
2015-05-10 - 2015-05-16,88
2015-05-17 - 2015-05-23,88
2015-05-24 - 2015-05-30,86
2015-05-31 - 2015-06-06,91
2015-06-07 - 2015-06-13,88
2015-06-14 - 2015-06-20,93
2015-06-21 - 2015-06-27,93
2015-06-28 - 2015-07-04,95
2015-07-05 - 2015-07-11,98
2015-07-12 - 2015-07-18,100
2015-07-19 - 2015-07-25,100
2015-07-26 - 2015-08-01,100
2015-08-02 - 2015-08-08,97
2015-08-09 - 2015-08-15,96
2015-08-16 - 2015-08-22,89
2015-08-23 - 2015-08-29,89
2015-08-30 - 2015-09-05,88
2015-09-06 - 2015-09-12,83
2015-09-13 - 2015-09-19,82
2015-09-20 - 2015-09-26,82
2015-09-27 - 2015-10-03,81
2015-10-04 - 2015-10-10,77
2015-10-11 - 2015-10-17,77
2015-10-18 - 2015-10-24,75
2015-10-25 - 2015-10-31,75
2015-11-01 - 2015-11-07,76
2015-11-08 - 2015-11-14,74
2015-11-15 - 2015-11-21,74
2015-11-22 - 2015-11-28,67
2015-11-29 - 2015-12-05,71
2015-12-06 - 2015-12-12,72
2015-12-13 - 2015-12-19,80
2015-12-20 - 2015-12-26,75
2015-12-27 - 2016-01-02,80
2016-01-03 - 2016-01-09,77
2016-01-10 - 2016-01-16,74
2016-01-17 - 2016-01-23,75
2016-01-24 - 2016-01-30,74
2016-01-31 - 2016-02-06,75
2016-02-07 - 2016-02-13,74
2016-02-14 - 2016-02-20,75
2016-02-21 - 2016-02-27,74
2016-02-28 - 2016-03-05,75
2016-03-06 - 2016-03-12,76
2016-03-13 - 2016-03-19,76
2016-03-20 - 2016-03-26,80
2016-03-27 - 2016-04-02,79
2016-04-03 - 2016-04-09,76
2016-04-10 - 2016-04-16,80
2016-04-17 - 2016-04-23,77
2016-04-24 - 2016-04-30,91


Top regions for wy
Region,wy
United States,100
Poland,48
Pakistan,28
United Kingdom,13
Canada,9
Philippines,7
Australia,6
Thailand,6
Switzerland,5
Austria,5
China,4
India,4
Belgium,4
Mexico,4
Netherlands,4
Sweden,3
Germany,3
Argentina,2
Vietnam,2
Brazil,2
Indonesia,2
Italy,2
France,2
Spain,2
Japan,1


Top cities for wy
City,wy
Johnstown (United States),100
Cody (United States),80
Ranchettes (United States),71
Jackson (United States),67
Rock Springs (United States),61
Gillette (United States),58
Sheridan (United States),57
Casper (United States),55
Powell (United States),50
Laramie (United States),45
Cheyenne (United States),33
Billings (United States),4
Murray (United States),3
Denver (United States),2
Lakewood (United States),2



Top searches for wy
cheyenne wy,100
casper wy,95
wyoming,85
jackson wy,80
gillette wy,45
laramie wy,40
sheridan wy,30
jackson hole wy,25
jackson hole,25
cody wy,25
rock springs wy,25
cheyenne, wy,15
wy metro,15
riverton wy,15
cheyenne wyoming,10
casper, wy,10
casper wyoming,10
evanston wy,10
buffalo wy,10
rawlins wy,10
jackson, wy,10
lander wy,10
wy craigslist,10
douglas wy,10
laramie, wy,5
laramie wyoming,5
green river wy,5
torrington wy,5
gillette, wy,5
pinedale wy,5
thermopolis wy,5
jackson hole, wy,5
cody, wy,5
cody wyoming,5
jackson hole wyoming,5
sheridan, wy,5
weather cheyenne wy,5
worland wy,5
wheatland wy,5
rock springs, wy,5
wy records,5
weather jackson wy,5
yellowstone national park,5
weather casper wy,5
dubois wy,5
newcastle wy,5
sundance wy,5
saratoga wy,5
weather laramie wy,5



Rising searches for wy
casper wy,+250%
gillette wy,+250%
rock springs wy,+200%
wy metro,+190%
rawlins wy,+170%
cheyenne wy,+140%
casper wyoming,+110%
cheyenne wyoming,+110%
riverton wy,+80%
evanston wy,+70%



