Web Search interest: ctas
Worldwide 2004 - present

Interest over time
Week,ctas
2009-04-19 - 2009-04-25,54
2009-04-26 - 2009-05-02,50
2009-05-03 - 2009-05-09,56
2009-05-10 - 2009-05-16,53
2009-05-17 - 2009-05-23,60
2009-05-24 - 2009-05-30,56
2009-05-31 - 2009-06-06,52
2009-06-07 - 2009-06-13,46
2009-06-14 - 2009-06-20,56
2009-06-21 - 2009-06-27,59
2009-06-28 - 2009-07-04,59
2009-07-05 - 2009-07-11,49
2009-07-12 - 2009-07-18,50
2009-07-19 - 2009-07-25,52
2009-07-26 - 2009-08-01,46
2009-08-02 - 2009-08-08,40
2009-08-09 - 2009-08-15,48
2009-08-16 - 2009-08-22,59
2009-08-23 - 2009-08-29,54
2009-08-30 - 2009-09-05,53
2009-09-06 - 2009-09-12,55
2009-09-13 - 2009-09-19,58
2009-09-20 - 2009-09-26,58
2009-09-27 - 2009-10-03,51
2009-10-04 - 2009-10-10,57
2009-10-11 - 2009-10-17,49
2009-10-18 - 2009-10-24,43
2009-10-25 - 2009-10-31,49
2009-11-01 - 2009-11-07,50
2009-11-08 - 2009-11-14,43
2009-11-15 - 2009-11-21,55
2009-11-22 - 2009-11-28,40
2009-11-29 - 2009-12-05,43
2009-12-06 - 2009-12-12,42
2009-12-13 - 2009-12-19,39
2009-12-20 - 2009-12-26,37
2009-12-27 - 2010-01-02,28
2010-01-03 - 2010-01-09,30
2010-01-10 - 2010-01-16,51
2010-01-17 - 2010-01-23,33
2010-01-24 - 2010-01-30,48
2010-01-31 - 2010-02-06,47
2010-02-07 - 2010-02-13,53
2010-02-14 - 2010-02-20,40
2010-02-21 - 2010-02-27,50
2010-02-28 - 2010-03-06,48
2010-03-07 - 2010-03-13,46
2010-03-14 - 2010-03-20,51
2010-03-21 - 2010-03-27,40
2010-03-28 - 2010-04-03,38
2010-04-04 - 2010-04-10,50
2010-04-11 - 2010-04-17,43
2010-04-18 - 2010-04-24,52
2010-04-25 - 2010-05-01,54
2010-05-02 - 2010-05-08,39
2010-05-09 - 2010-05-15,51
2010-05-16 - 2010-05-22,40
2010-05-23 - 2010-05-29,48
2010-05-30 - 2010-06-05,51
2010-06-06 - 2010-06-12,50
2010-06-13 - 2010-06-19,45
2010-06-20 - 2010-06-26,40
2010-06-27 - 2010-07-03,39
2010-07-04 - 2010-07-10,42
2010-07-11 - 2010-07-17,39
2010-07-18 - 2010-07-24,44
2010-07-25 - 2010-07-31,36
2010-08-01 - 2010-08-07,42
2010-08-08 - 2010-08-14,45
2010-08-15 - 2010-08-21,26
2010-08-22 - 2010-08-28,50
2010-08-29 - 2010-09-04,59
2010-09-05 - 2010-09-11,43
2010-09-12 - 2010-09-18,44
2010-09-19 - 2010-09-25,48
2010-09-26 - 2010-10-02,40
2010-10-03 - 2010-10-09,46
2010-10-10 - 2010-10-16,44
2010-10-17 - 2010-10-23,44
2010-10-24 - 2010-10-30,47
2010-10-31 - 2010-11-06,43
2010-11-07 - 2010-11-13,46
2010-11-14 - 2010-11-20,49
2010-11-21 - 2010-11-27,42
2010-11-28 - 2010-12-04,40
2010-12-05 - 2010-12-11,37
2010-12-12 - 2010-12-18,37
2010-12-19 - 2010-12-25,37
2010-12-26 - 2011-01-01,28
2011-01-02 - 2011-01-08,36
2011-01-09 - 2011-01-15,44
2011-01-16 - 2011-01-22,44
2011-01-23 - 2011-01-29,46
2011-01-30 - 2011-02-05,36
2011-02-06 - 2011-02-12,44
2011-02-13 - 2011-02-19,41
2011-02-20 - 2011-02-26,41
2011-02-27 - 2011-03-05,45
2011-03-06 - 2011-03-12,40
2011-03-13 - 2011-03-19,37
2011-03-20 - 2011-03-26,45
2011-03-27 - 2011-04-02,41
2011-04-03 - 2011-04-09,45
2011-04-10 - 2011-04-16,49
2011-04-17 - 2011-04-23,33
2011-04-24 - 2011-04-30,45
2011-05-01 - 2011-05-07,42
2011-05-08 - 2011-05-14,39
2011-05-15 - 2011-05-21,46
2011-05-22 - 2011-05-28,34
2011-05-29 - 2011-06-04,37
2011-06-05 - 2011-06-11,43
2011-06-12 - 2011-06-18,42
2011-06-19 - 2011-06-25,42
2011-06-26 - 2011-07-02,44
2011-07-03 - 2011-07-09,36
2011-07-10 - 2011-07-16,43
2011-07-17 - 2011-07-23,40
2011-07-24 - 2011-07-30,34
2011-07-31 - 2011-08-06,35
2011-08-07 - 2011-08-13,37
2011-08-14 - 2011-08-20,33
2011-08-21 - 2011-08-27,39
2011-08-28 - 2011-09-03,38
2011-09-04 - 2011-09-10,37
2011-09-11 - 2011-09-17,42
2011-09-18 - 2011-09-24,51
2011-09-25 - 2011-10-01,46
2011-10-02 - 2011-10-08,41
2011-10-09 - 2011-10-15,46
2011-10-16 - 2011-10-22,47
2011-10-23 - 2011-10-29,41
2011-10-30 - 2011-11-05,43
2011-11-06 - 2011-11-12,36
2011-11-13 - 2011-11-19,41
2011-11-20 - 2011-11-26,38
2011-11-27 - 2011-12-03,35
2011-12-04 - 2011-12-10,34
2011-12-11 - 2011-12-17,35
2011-12-18 - 2011-12-24,37
2011-12-25 - 2011-12-31,29
2012-01-01 - 2012-01-07,36
2012-01-08 - 2012-01-14,34
2012-01-15 - 2012-01-21,41
2012-01-22 - 2012-01-28,41
2012-01-29 - 2012-02-04,37
2012-02-05 - 2012-02-11,39
2012-02-12 - 2012-02-18,43
2012-02-19 - 2012-02-25,39
2012-02-26 - 2012-03-03,43
2012-03-04 - 2012-03-10,46
2012-03-11 - 2012-03-17,43
2012-03-18 - 2012-03-24,44
2012-03-25 - 2012-03-31,45
2012-04-01 - 2012-04-07,46
2012-04-08 - 2012-04-14,44
2012-04-15 - 2012-04-21,38
2012-04-22 - 2012-04-28,42
2012-04-29 - 2012-05-05,44
2012-05-06 - 2012-05-12,39
2012-05-13 - 2012-05-19,39
2012-05-20 - 2012-05-26,40
2012-05-27 - 2012-06-02,36
2012-06-03 - 2012-06-09,36
2012-06-10 - 2012-06-16,33
2012-06-17 - 2012-06-23,41
2012-06-24 - 2012-06-30,37
2012-07-01 - 2012-07-07,33
2012-07-08 - 2012-07-14,36
2012-07-15 - 2012-07-21,34
2012-07-22 - 2012-07-28,32
2012-07-29 - 2012-08-04,36
2012-08-05 - 2012-08-11,39
2012-08-12 - 2012-08-18,36
2012-08-19 - 2012-08-25,31
2012-08-26 - 2012-09-01,39
2012-09-02 - 2012-09-08,30
2012-09-09 - 2012-09-15,33
2012-09-16 - 2012-09-22,40
2012-09-23 - 2012-09-29,37
2012-09-30 - 2012-10-06,37
2012-10-07 - 2012-10-13,41
2012-10-14 - 2012-10-20,44
2012-10-21 - 2012-10-27,34
2012-10-28 - 2012-11-03,40
2012-11-04 - 2012-11-10,33
2012-11-11 - 2012-11-17,35
2012-11-18 - 2012-11-24,36
2012-11-25 - 2012-12-01,39
2012-12-02 - 2012-12-08,31
2012-12-09 - 2012-12-15,42
2012-12-16 - 2012-12-22,32
2012-12-23 - 2012-12-29,27
2012-12-30 - 2013-01-05,29
2013-01-06 - 2013-01-12,35
2013-01-13 - 2013-01-19,43
2013-01-20 - 2013-01-26,38
2013-01-27 - 2013-02-02,38
2013-02-03 - 2013-02-09,42
2013-02-10 - 2013-02-16,42
2013-02-17 - 2013-02-23,36
2013-02-24 - 2013-03-02,42
2013-03-03 - 2013-03-09,40
2013-03-10 - 2013-03-16,41
2013-03-17 - 2013-03-23,49
2013-03-24 - 2013-03-30,44
2013-03-31 - 2013-04-06,42
2013-04-07 - 2013-04-13,46
2013-04-14 - 2013-04-20,36
2013-04-21 - 2013-04-27,42
2013-04-28 - 2013-05-04,39
2013-05-05 - 2013-05-11,42
2013-05-12 - 2013-05-18,44
2013-05-19 - 2013-05-25,41
2013-05-26 - 2013-06-01,39
2013-06-02 - 2013-06-08,40
2013-06-09 - 2013-06-15,41
2013-06-16 - 2013-06-22,35
2013-06-23 - 2013-06-29,40
2013-06-30 - 2013-07-06,39
2013-07-07 - 2013-07-13,34
2013-07-14 - 2013-07-20,31
2013-07-21 - 2013-07-27,35
2013-07-28 - 2013-08-03,36
2013-08-04 - 2013-08-10,32
2013-08-11 - 2013-08-17,35
2013-08-18 - 2013-08-24,34
2013-08-25 - 2013-08-31,40
2013-09-01 - 2013-09-07,39
2013-09-08 - 2013-09-14,37
2013-09-15 - 2013-09-21,42
2013-09-22 - 2013-09-28,39
2013-09-29 - 2013-10-05,37
2013-10-06 - 2013-10-12,34
2013-10-13 - 2013-10-19,41
2013-10-20 - 2013-10-26,36
2013-10-27 - 2013-11-02,33
2013-11-03 - 2013-11-09,39
2013-11-10 - 2013-11-16,36
2013-11-17 - 2013-11-23,35
2013-11-24 - 2013-11-30,34
2013-12-01 - 2013-12-07,38
2013-12-08 - 2013-12-14,40
2013-12-15 - 2013-12-21,36
2013-12-22 - 2013-12-28,23
2013-12-29 - 2014-01-04,28
2014-01-05 - 2014-01-11,41
2014-01-12 - 2014-01-18,35
2014-01-19 - 2014-01-25,38
2014-01-26 - 2014-02-01,34
2014-02-02 - 2014-02-08,39
2014-02-09 - 2014-02-15,43
2014-02-16 - 2014-02-22,41
2014-02-23 - 2014-03-01,46
2014-03-02 - 2014-03-08,43
2014-03-09 - 2014-03-15,43
2014-03-16 - 2014-03-22,49
2014-03-23 - 2014-03-29,42
2014-03-30 - 2014-04-05,40
2014-04-06 - 2014-04-12,48
2014-04-13 - 2014-04-19,39
2014-04-20 - 2014-04-26,43
2014-04-27 - 2014-05-03,49
2014-05-04 - 2014-05-10,50
2014-05-11 - 2014-05-17,53
2014-05-18 - 2014-05-24,46
2014-05-25 - 2014-05-31,41
2014-06-01 - 2014-06-07,44
2014-06-08 - 2014-06-14,39
2014-06-15 - 2014-06-21,41
2014-06-22 - 2014-06-28,46
2014-06-29 - 2014-07-05,39
2014-07-06 - 2014-07-12,40
2014-07-13 - 2014-07-19,40
2014-07-20 - 2014-07-26,38
2014-07-27 - 2014-08-02,33
2014-08-03 - 2014-08-09,37
2014-08-10 - 2014-08-16,41
2014-08-17 - 2014-08-23,40
2014-08-24 - 2014-08-30,40
2014-08-31 - 2014-09-06,42
2014-09-07 - 2014-09-13,43
2014-09-14 - 2014-09-20,50
2014-09-21 - 2014-09-27,46
2014-09-28 - 2014-10-04,55
2014-10-05 - 2014-10-11,47
2014-10-12 - 2014-10-18,47
2014-10-19 - 2014-10-25,46
2014-10-26 - 2014-11-01,47
2014-11-02 - 2014-11-08,45
2014-11-09 - 2014-11-15,44
2014-11-16 - 2014-11-22,44
2014-11-23 - 2014-11-29,41
2014-11-30 - 2014-12-06,39
2014-12-07 - 2014-12-13,48
2014-12-14 - 2014-12-20,50
2014-12-21 - 2014-12-27,37
2014-12-28 - 2015-01-03,33
2015-01-04 - 2015-01-10,48
2015-01-11 - 2015-01-17,50
2015-01-18 - 2015-01-24,50
2015-01-25 - 2015-01-31,52
2015-02-01 - 2015-02-07,47
2015-02-08 - 2015-02-14,44
2015-02-15 - 2015-02-21,54
2015-02-22 - 2015-02-28,51
2015-03-01 - 2015-03-07,53
2015-03-08 - 2015-03-14,58
2015-03-15 - 2015-03-21,54
2015-03-22 - 2015-03-28,59
2015-03-29 - 2015-04-04,53
2015-04-05 - 2015-04-11,52
2015-04-12 - 2015-04-18,57
2015-04-19 - 2015-04-25,59
2015-04-26 - 2015-05-02,63
2015-05-03 - 2015-05-09,57
2015-05-10 - 2015-05-16,62
2015-05-17 - 2015-05-23,58
2015-05-24 - 2015-05-30,56
2015-05-31 - 2015-06-06,57
2015-06-07 - 2015-06-13,50
2015-06-14 - 2015-06-20,49
2015-06-21 - 2015-06-27,52
2015-06-28 - 2015-07-04,48
2015-07-05 - 2015-07-11,55
2015-07-12 - 2015-07-18,55
2015-07-19 - 2015-07-25,49
2015-07-26 - 2015-08-01,50
2015-08-02 - 2015-08-08,46
2015-08-09 - 2015-08-15,49
2015-08-16 - 2015-08-22,48
2015-08-23 - 2015-08-29,52
2015-08-30 - 2015-09-05,56
2015-09-06 - 2015-09-12,50
2015-09-13 - 2015-09-19,56
2015-09-20 - 2015-09-26,49
2015-09-27 - 2015-10-03,53
2015-10-04 - 2015-10-10,47
2015-10-11 - 2015-10-17,54
2015-10-18 - 2015-10-24,52
2015-10-25 - 2015-10-31,48
2015-11-01 - 2015-11-07,51
2015-11-08 - 2015-11-14,49
2015-11-15 - 2015-11-21,52
2015-11-22 - 2015-11-28,48
2015-11-29 - 2015-12-05,52
2015-12-06 - 2015-12-12,55
2015-12-13 - 2015-12-19,52
2015-12-20 - 2015-12-26,46
2015-12-27 - 2016-01-02,40
2016-01-03 - 2016-01-09,51
2016-01-10 - 2016-01-16,52
2016-01-17 - 2016-01-23,51
2016-01-24 - 2016-01-30,53
2016-01-31 - 2016-02-06,54
2016-02-07 - 2016-02-13,52
2016-02-14 - 2016-02-20,52
2016-02-21 - 2016-02-27,54
2016-02-28 - 2016-03-05,49
2016-03-06 - 2016-03-12,62
2016-03-13 - 2016-03-19,52
2016-03-20 - 2016-03-26,54
2016-03-27 - 2016-04-02,60
2016-04-03 - 2016-04-09,64
2016-04-10 - 2016-04-16,54
2016-04-17 - 2016-04-23,56
2016-04-24 - 2016-04-30,54


Top regions for ctas
Region,ctas
Peru,100
Canada,73
Colombia,54
Argentina,53
Australia,52
United Kingdom,45
Spain,40
Mexico,37
United States,35
France,25
Germany,21
India,12
Brazil,10


Top cities for ctas
City,ctas
Mason (United States),100
Chisinau (Moldova),21
Toronto (Canada),3
Auckland (New Zealand),3
Bogotá (Colombia),3
Caracas (Venezuela),2
Sydney (Australia),2
Santiago (Chile),2
Buenos Aires (Argentina),2
Melbourne (Australia),2
London (United Kingdom),2
Mexico City (Mexico),2
Chicago (United States),2
Vancouver (Canada),0
Nashville (United States),0



Top searches for ctas
ctas oracle,100
ctas pro,90
converse ctas pro,65
ctas triage,35
cons ctas pro,35
lol ctas,25
converse cons,25
funny ctas,25
vg ctas,20
ctas stock,20
converse skate,15
ctas score,15
ctas levels,15
ctas live,15
ctas mihailov,10
cute ctas,10
converse ctas fancy,10
ctas mixailov,10



Rising searches for ctas
cons ctas pro,Breakout
converse ctas pro,Breakout
ctas pro,Breakout
ctas oracle,+100%



