Web Search interest: fast
Worldwide 2004 - present

Interest over time
Week,fast
2007-05-27 - 2007-06-02,16
2007-06-03 - 2007-06-09,17
2007-06-10 - 2007-06-16,16
2007-06-17 - 2007-06-23,16
2007-06-24 - 2007-06-30,17
2007-07-01 - 2007-07-07,16
2007-07-08 - 2007-07-14,16
2007-07-15 - 2007-07-21,17
2007-07-22 - 2007-07-28,17
2007-07-29 - 2007-08-04,17
2007-08-05 - 2007-08-11,17
2007-08-12 - 2007-08-18,16
2007-08-19 - 2007-08-25,16
2007-08-26 - 2007-09-01,16
2007-09-02 - 2007-09-08,16
2007-09-09 - 2007-09-15,16
2007-09-16 - 2007-09-22,16
2007-09-23 - 2007-09-29,16
2007-09-30 - 2007-10-06,16
2007-10-07 - 2007-10-13,16
2007-10-14 - 2007-10-20,16
2007-10-21 - 2007-10-27,16
2007-10-28 - 2007-11-03,16
2007-11-04 - 2007-11-10,16
2007-11-11 - 2007-11-17,16
2007-11-18 - 2007-11-24,15
2007-11-25 - 2007-12-01,16
2007-12-02 - 2007-12-08,16
2007-12-09 - 2007-12-15,15
2007-12-16 - 2007-12-22,15
2007-12-23 - 2007-12-29,15
2007-12-30 - 2008-01-05,17
2008-01-06 - 2008-01-12,18
2008-01-13 - 2008-01-19,17
2008-01-20 - 2008-01-26,16
2008-01-27 - 2008-02-02,17
2008-02-03 - 2008-02-09,17
2008-02-10 - 2008-02-16,16
2008-02-17 - 2008-02-23,17
2008-02-24 - 2008-03-01,17
2008-03-02 - 2008-03-08,16
2008-03-09 - 2008-03-15,17
2008-03-16 - 2008-03-22,16
2008-03-23 - 2008-03-29,17
2008-03-30 - 2008-04-05,17
2008-04-06 - 2008-04-12,17
2008-04-13 - 2008-04-19,17
2008-04-20 - 2008-04-26,17
2008-04-27 - 2008-05-03,17
2008-05-04 - 2008-05-10,17
2008-05-11 - 2008-05-17,17
2008-05-18 - 2008-05-24,17
2008-05-25 - 2008-05-31,17
2008-06-01 - 2008-06-07,17
2008-06-08 - 2008-06-14,16
2008-06-15 - 2008-06-21,16
2008-06-22 - 2008-06-28,17
2008-06-29 - 2008-07-05,17
2008-07-06 - 2008-07-12,17
2008-07-13 - 2008-07-19,17
2008-07-20 - 2008-07-26,18
2008-07-27 - 2008-08-02,17
2008-08-03 - 2008-08-09,17
2008-08-10 - 2008-08-16,17
2008-08-17 - 2008-08-23,17
2008-08-24 - 2008-08-30,19
2008-08-31 - 2008-09-06,18
2008-09-07 - 2008-09-13,18
2008-09-14 - 2008-09-20,18
2008-09-21 - 2008-09-27,17
2008-09-28 - 2008-10-04,18
2008-10-05 - 2008-10-11,18
2008-10-12 - 2008-10-18,18
2008-10-19 - 2008-10-25,17
2008-10-26 - 2008-11-01,17
2008-11-02 - 2008-11-08,17
2008-11-09 - 2008-11-15,18
2008-11-16 - 2008-11-22,17
2008-11-23 - 2008-11-29,17
2008-11-30 - 2008-12-06,17
2008-12-07 - 2008-12-13,17
2008-12-14 - 2008-12-20,17
2008-12-21 - 2008-12-27,17
2008-12-28 - 2009-01-03,19
2009-01-04 - 2009-01-10,20
2009-01-11 - 2009-01-17,19
2009-01-18 - 2009-01-24,19
2009-01-25 - 2009-01-31,19
2009-02-01 - 2009-02-07,20
2009-02-08 - 2009-02-14,18
2009-02-15 - 2009-02-21,19
2009-02-22 - 2009-02-28,19
2009-03-01 - 2009-03-07,19
2009-03-08 - 2009-03-14,21
2009-03-15 - 2009-03-21,22
2009-03-22 - 2009-03-28,24
2009-03-29 - 2009-04-04,36
2009-04-05 - 2009-04-11,44
2009-04-12 - 2009-04-18,33
2009-04-19 - 2009-04-25,27
2009-04-26 - 2009-05-02,25
2009-05-03 - 2009-05-09,23
2009-05-10 - 2009-05-16,22
2009-05-17 - 2009-05-23,21
2009-05-24 - 2009-05-30,20
2009-05-31 - 2009-06-06,20
2009-06-07 - 2009-06-13,19
2009-06-14 - 2009-06-20,19
2009-06-21 - 2009-06-27,19
2009-06-28 - 2009-07-04,19
2009-07-05 - 2009-07-11,19
2009-07-12 - 2009-07-18,20
2009-07-19 - 2009-07-25,20
2009-07-26 - 2009-08-01,22
2009-08-02 - 2009-08-08,21
2009-08-09 - 2009-08-15,20
2009-08-16 - 2009-08-22,19
2009-08-23 - 2009-08-29,19
2009-08-30 - 2009-09-05,19
2009-09-06 - 2009-09-12,19
2009-09-13 - 2009-09-19,21
2009-09-20 - 2009-09-26,20
2009-09-27 - 2009-10-03,19
2009-10-04 - 2009-10-10,19
2009-10-11 - 2009-10-17,19
2009-10-18 - 2009-10-24,18
2009-10-25 - 2009-10-31,18
2009-11-01 - 2009-11-07,18
2009-11-08 - 2009-11-14,18
2009-11-15 - 2009-11-21,18
2009-11-22 - 2009-11-28,18
2009-11-29 - 2009-12-05,19
2009-12-06 - 2009-12-12,18
2009-12-13 - 2009-12-19,17
2009-12-20 - 2009-12-26,17
2009-12-27 - 2010-01-02,19
2010-01-03 - 2010-01-09,19
2010-01-10 - 2010-01-16,19
2010-01-17 - 2010-01-23,18
2010-01-24 - 2010-01-30,18
2010-01-31 - 2010-02-06,19
2010-02-07 - 2010-02-13,19
2010-02-14 - 2010-02-20,19
2010-02-21 - 2010-02-27,19
2010-02-28 - 2010-03-06,19
2010-03-07 - 2010-03-13,19
2010-03-14 - 2010-03-20,19
2010-03-21 - 2010-03-27,19
2010-03-28 - 2010-04-03,19
2010-04-04 - 2010-04-10,19
2010-04-11 - 2010-04-17,19
2010-04-18 - 2010-04-24,19
2010-04-25 - 2010-05-01,19
2010-05-02 - 2010-05-08,19
2010-05-09 - 2010-05-15,19
2010-05-16 - 2010-05-22,19
2010-05-23 - 2010-05-29,19
2010-05-30 - 2010-06-05,19
2010-06-06 - 2010-06-12,18
2010-06-13 - 2010-06-19,18
2010-06-20 - 2010-06-26,18
2010-06-27 - 2010-07-03,19
2010-07-04 - 2010-07-10,19
2010-07-11 - 2010-07-17,20
2010-07-18 - 2010-07-24,20
2010-07-25 - 2010-07-31,20
2010-08-01 - 2010-08-07,20
2010-08-08 - 2010-08-14,21
2010-08-15 - 2010-08-21,20
2010-08-22 - 2010-08-28,20
2010-08-29 - 2010-09-04,19
2010-09-05 - 2010-09-11,19
2010-09-12 - 2010-09-18,19
2010-09-19 - 2010-09-25,19
2010-09-26 - 2010-10-02,19
2010-10-03 - 2010-10-09,18
2010-10-10 - 2010-10-16,18
2010-10-17 - 2010-10-23,18
2010-10-24 - 2010-10-30,19
2010-10-31 - 2010-11-06,19
2010-11-07 - 2010-11-13,18
2010-11-14 - 2010-11-20,19
2010-11-21 - 2010-11-27,18
2010-11-28 - 2010-12-04,19
2010-12-05 - 2010-12-11,19
2010-12-12 - 2010-12-18,23
2010-12-19 - 2010-12-25,20
2010-12-26 - 2011-01-01,21
2011-01-02 - 2011-01-08,23
2011-01-09 - 2011-01-15,21
2011-01-16 - 2011-01-22,21
2011-01-23 - 2011-01-29,21
2011-01-30 - 2011-02-05,21
2011-02-06 - 2011-02-12,21
2011-02-13 - 2011-02-19,20
2011-02-20 - 2011-02-26,20
2011-02-27 - 2011-03-05,20
2011-03-06 - 2011-03-12,21
2011-03-13 - 2011-03-19,20
2011-03-20 - 2011-03-26,21
2011-03-27 - 2011-04-02,21
2011-04-03 - 2011-04-09,23
2011-04-10 - 2011-04-16,25
2011-04-17 - 2011-04-23,30
2011-04-24 - 2011-04-30,43
2011-05-01 - 2011-05-07,51
2011-05-08 - 2011-05-14,44
2011-05-15 - 2011-05-21,37
2011-05-22 - 2011-05-28,31
2011-05-29 - 2011-06-04,30
2011-06-05 - 2011-06-11,28
2011-06-12 - 2011-06-18,27
2011-06-19 - 2011-06-25,26
2011-06-26 - 2011-07-02,26
2011-07-03 - 2011-07-09,25
2011-07-10 - 2011-07-16,26
2011-07-17 - 2011-07-23,26
2011-07-24 - 2011-07-30,26
2011-07-31 - 2011-08-06,26
2011-08-07 - 2011-08-13,25
2011-08-14 - 2011-08-20,27
2011-08-21 - 2011-08-27,27
2011-08-28 - 2011-09-03,25
2011-09-04 - 2011-09-10,25
2011-09-11 - 2011-09-17,24
2011-09-18 - 2011-09-24,23
2011-09-25 - 2011-10-01,24
2011-10-02 - 2011-10-08,26
2011-10-09 - 2011-10-15,24
2011-10-16 - 2011-10-22,22
2011-10-23 - 2011-10-29,22
2011-10-30 - 2011-11-05,22
2011-11-06 - 2011-11-12,22
2011-11-13 - 2011-11-19,22
2011-11-20 - 2011-11-26,21
2011-11-27 - 2011-12-03,21
2011-12-04 - 2011-12-10,21
2011-12-11 - 2011-12-17,21
2011-12-18 - 2011-12-24,20
2011-12-25 - 2011-12-31,23
2012-01-01 - 2012-01-07,24
2012-01-08 - 2012-01-14,23
2012-01-15 - 2012-01-21,22
2012-01-22 - 2012-01-28,22
2012-01-29 - 2012-02-04,22
2012-02-05 - 2012-02-11,21
2012-02-12 - 2012-02-18,21
2012-02-19 - 2012-02-25,23
2012-02-26 - 2012-03-03,22
2012-03-04 - 2012-03-10,23
2012-03-11 - 2012-03-17,23
2012-03-18 - 2012-03-24,23
2012-03-25 - 2012-03-31,23
2012-04-01 - 2012-04-07,24
2012-04-08 - 2012-04-14,25
2012-04-15 - 2012-04-21,24
2012-04-22 - 2012-04-28,22
2012-04-29 - 2012-05-05,23
2012-05-06 - 2012-05-12,22
2012-05-13 - 2012-05-19,23
2012-05-20 - 2012-05-26,25
2012-05-27 - 2012-06-02,25
2012-06-03 - 2012-06-09,25
2012-06-10 - 2012-06-16,26
2012-06-17 - 2012-06-23,26
2012-06-24 - 2012-06-30,26
2012-07-01 - 2012-07-07,25
2012-07-08 - 2012-07-14,26
2012-07-15 - 2012-07-21,27
2012-07-22 - 2012-07-28,28
2012-07-29 - 2012-08-04,27
2012-08-05 - 2012-08-11,27
2012-08-12 - 2012-08-18,28
2012-08-19 - 2012-08-25,27
2012-08-26 - 2012-09-01,25
2012-09-02 - 2012-09-08,25
2012-09-09 - 2012-09-15,25
2012-09-16 - 2012-09-22,25
2012-09-23 - 2012-09-29,25
2012-09-30 - 2012-10-06,24
2012-10-07 - 2012-10-13,23
2012-10-14 - 2012-10-20,24
2012-10-21 - 2012-10-27,23
2012-10-28 - 2012-11-03,23
2012-11-04 - 2012-11-10,22
2012-11-11 - 2012-11-17,22
2012-11-18 - 2012-11-24,23
2012-11-25 - 2012-12-01,24
2012-12-02 - 2012-12-08,23
2012-12-09 - 2012-12-15,22
2012-12-16 - 2012-12-22,23
2012-12-23 - 2012-12-29,24
2012-12-30 - 2013-01-05,26
2013-01-06 - 2013-01-12,25
2013-01-13 - 2013-01-19,24
2013-01-20 - 2013-01-26,24
2013-01-27 - 2013-02-02,24
2013-02-03 - 2013-02-09,32
2013-02-10 - 2013-02-16,27
2013-02-17 - 2013-02-23,26
2013-02-24 - 2013-03-02,25
2013-03-03 - 2013-03-09,26
2013-03-10 - 2013-03-16,24
2013-03-17 - 2013-03-23,25
2013-03-24 - 2013-03-30,26
2013-03-31 - 2013-04-06,26
2013-04-07 - 2013-04-13,27
2013-04-14 - 2013-04-20,26
2013-04-21 - 2013-04-27,26
2013-04-28 - 2013-05-04,30
2013-05-05 - 2013-05-11,30
2013-05-12 - 2013-05-18,34
2013-05-19 - 2013-05-25,58
2013-05-26 - 2013-06-01,62
2013-06-02 - 2013-06-08,45
2013-06-09 - 2013-06-15,40
2013-06-16 - 2013-06-22,35
2013-06-23 - 2013-06-29,33
2013-06-30 - 2013-07-06,33
2013-07-07 - 2013-07-13,34
2013-07-14 - 2013-07-20,32
2013-07-21 - 2013-07-27,30
2013-07-28 - 2013-08-03,28
2013-08-04 - 2013-08-10,27
2013-08-11 - 2013-08-17,28
2013-08-18 - 2013-08-24,26
2013-08-25 - 2013-08-31,25
2013-09-01 - 2013-09-07,26
2013-09-08 - 2013-09-14,26
2013-09-15 - 2013-09-21,25
2013-09-22 - 2013-09-28,24
2013-09-29 - 2013-10-05,25
2013-10-06 - 2013-10-12,24
2013-10-13 - 2013-10-19,24
2013-10-20 - 2013-10-26,23
2013-10-27 - 2013-11-02,22
2013-11-03 - 2013-11-09,23
2013-11-10 - 2013-11-16,23
2013-11-17 - 2013-11-23,22
2013-11-24 - 2013-11-30,24
2013-12-01 - 2013-12-07,62
2013-12-08 - 2013-12-14,32
2013-12-15 - 2013-12-21,29
2013-12-22 - 2013-12-28,29
2013-12-29 - 2014-01-04,28
2014-01-05 - 2014-01-11,27
2014-01-12 - 2014-01-18,26
2014-01-19 - 2014-01-25,24
2014-01-26 - 2014-02-01,24
2014-02-02 - 2014-02-08,23
2014-02-09 - 2014-02-15,23
2014-02-16 - 2014-02-22,23
2014-02-23 - 2014-03-01,24
2014-03-02 - 2014-03-08,24
2014-03-09 - 2014-03-15,24
2014-03-16 - 2014-03-22,24
2014-03-23 - 2014-03-29,24
2014-03-30 - 2014-04-05,23
2014-04-06 - 2014-04-12,24
2014-04-13 - 2014-04-19,24
2014-04-20 - 2014-04-26,24
2014-04-27 - 2014-05-03,24
2014-05-04 - 2014-05-10,23
2014-05-11 - 2014-05-17,23
2014-05-18 - 2014-05-24,24
2014-05-25 - 2014-05-31,23
2014-06-01 - 2014-06-07,24
2014-06-08 - 2014-06-14,23
2014-06-15 - 2014-06-21,22
2014-06-22 - 2014-06-28,23
2014-06-29 - 2014-07-05,25
2014-07-06 - 2014-07-12,24
2014-07-13 - 2014-07-19,25
2014-07-20 - 2014-07-26,26
2014-07-27 - 2014-08-02,25
2014-08-03 - 2014-08-09,24
2014-08-10 - 2014-08-16,23
2014-08-17 - 2014-08-23,23
2014-08-24 - 2014-08-30,23
2014-08-31 - 2014-09-06,22
2014-09-07 - 2014-09-13,22
2014-09-14 - 2014-09-20,22
2014-09-21 - 2014-09-27,22
2014-09-28 - 2014-10-04,23
2014-10-05 - 2014-10-11,21
2014-10-12 - 2014-10-18,21
2014-10-19 - 2014-10-25,21
2014-10-26 - 2014-11-01,25
2014-11-02 - 2014-11-08,29
2014-11-09 - 2014-11-15,24
2014-11-16 - 2014-11-22,22
2014-11-23 - 2014-11-29,23
2014-11-30 - 2014-12-06,23
2014-12-07 - 2014-12-13,22
2014-12-14 - 2014-12-20,22
2014-12-21 - 2014-12-27,23
2014-12-28 - 2015-01-03,25
2015-01-04 - 2015-01-10,24
2015-01-11 - 2015-01-17,24
2015-01-18 - 2015-01-24,24
2015-01-25 - 2015-01-31,24
2015-02-01 - 2015-02-07,25
2015-02-08 - 2015-02-14,23
2015-02-15 - 2015-02-21,25
2015-02-22 - 2015-02-28,25
2015-03-01 - 2015-03-07,25
2015-03-08 - 2015-03-14,26
2015-03-15 - 2015-03-21,27
2015-03-22 - 2015-03-28,33
2015-03-29 - 2015-04-04,73
2015-04-05 - 2015-04-11,100
2015-04-12 - 2015-04-18,63
2015-04-19 - 2015-04-25,48
2015-04-26 - 2015-05-02,42
2015-05-03 - 2015-05-09,34
2015-05-10 - 2015-05-16,35
2015-05-17 - 2015-05-23,33
2015-05-24 - 2015-05-30,32
2015-05-31 - 2015-06-06,31
2015-06-07 - 2015-06-13,30
2015-06-14 - 2015-06-20,31
2015-06-21 - 2015-06-27,30
2015-06-28 - 2015-07-04,29
2015-07-05 - 2015-07-11,29
2015-07-12 - 2015-07-18,29
2015-07-19 - 2015-07-25,29
2015-07-26 - 2015-08-01,28
2015-08-02 - 2015-08-08,28
2015-08-09 - 2015-08-15,27
2015-08-16 - 2015-08-22,26
2015-08-23 - 2015-08-29,26
2015-08-30 - 2015-09-05,25
2015-09-06 - 2015-09-12,25
2015-09-13 - 2015-09-19,26
2015-09-20 - 2015-09-26,25
2015-09-27 - 2015-10-03,24
2015-10-04 - 2015-10-10,24
2015-10-11 - 2015-10-17,24
2015-10-18 - 2015-10-24,23
2015-10-25 - 2015-10-31,23
2015-11-01 - 2015-11-07,23
2015-11-08 - 2015-11-14,23
2015-11-15 - 2015-11-21,23
2015-11-22 - 2015-11-28,23
2015-11-29 - 2015-12-05,23
2015-12-06 - 2015-12-12,22
2015-12-13 - 2015-12-19,23
2015-12-20 - 2015-12-26,24
2015-12-27 - 2016-01-02,26
2016-01-03 - 2016-01-09,27
2016-01-10 - 2016-01-16,25
2016-01-17 - 2016-01-23,25
2016-01-24 - 2016-01-30,26
2016-01-31 - 2016-02-06,26
2016-02-07 - 2016-02-13,25
2016-02-14 - 2016-02-20,26
2016-02-21 - 2016-02-27,25
2016-02-28 - 2016-03-05,24
2016-03-06 - 2016-03-12,25
2016-03-13 - 2016-03-19,25
2016-03-20 - 2016-03-26,25
2016-03-27 - 2016-04-02,25
2016-04-03 - 2016-04-09,25
2016-04-10 - 2016-04-16,25
2016-04-17 - 2016-04-23,25
2016-04-24 - 2016-04-30,29


Top regions for fast
Region,fast
Pakistan,100
Philippines,77
South Africa,77
United States,73
New Zealand,70
Australia,68
India,66
Singapore,65
United Kingdom,62
Sri Lanka,61
Canada,59
Ireland,56
United Arab Emirates,52
Kenya,51
Malaysia,50
Romania,45
Bangladesh,45
Nigeria,45
Norway,42
Sweden,41
Denmark,35
Indonesia,35
Bolivia,32
Thailand,31
Greece,30
Finland,29
Brazil,29
Italy,29
Croatia,29
Hong Kong,26
Serbia,26
Austria,24
Portugal,24
Netherlands,23
Germany,22
Bulgaria,22
Belgium,22
Egypt,22
Morocco,22
Switzerland,22
Czech Republic,22
Algeria,21
France,21
Israel,19
Vietnam,18
Saudi Arabia,17
Poland,15
Iran,14
Hungary,13
South Korea,12
Spain,12
Chile,12
Mexico,11
Argentina,9
Turkey,9
Peru,8
Colombia,8
Russia,8
Taiwan,8
Venezuela,8
Ukraine,7
China,6
Japan,3


Top cities for fast
City,fast
Dallas (United States),100
Los Angeles (United States),98
Chennai (India),98
Houston (United States),96
Sydney (Australia),93
Atlanta (United States),92
Chicago (United States),91
San Francisco (United States),89
Melbourne (Australia),88
Bangalore (India),86
Singapore (Singapore),80
Mumbai (India),80
New York (United States),79
Washington (United States),78
Pune (India),75



Top searches for fast
fast furious,100
fast and furious,90
how to fast,70
fast food,50
food,50
fast 7,35
furious 7,30
fast furious 7,30
fast 6,25
fast furious 6,20
fast 5,15
lose weight fast,15
fast track,15
fast car,10
fast shop,10
fast furious 5,10
fast five,10
fast money,10
fast cars,5
fast diet,5
fast games,5
fast lane,5
fast torrent,5
fast 8,5
restaurants,5
slim fast,5
fast pass,5
fast food restaurants,5
paul walker,5
fast & furious,5
make money fast,5
tokyo drift,5
fast forward,5
fast weight loss,5
fast girls,5
fast results,5
fast cash,0
fast company,0
fast english,0
fast car lyrics,0
fast and furios,0
gain weight fast,0
daniel fast,0
fast web,0
juice fast,0
fast stream,0
fast pass tv,0
vin diesel,0
fast university,0
fast signs,0



Rising searches for fast
fast furious 5,Breakout
fast furious 6,Breakout
fast furious 7,Breakout
furious 7,Breakout
fast 7,+3,550%
fast 6,+2,550%
fast five,+2,450%
fast 5,+900%
fast shop,+400%
how to fast,+300%



