Web Search interest: hd
Worldwide 2004 - present

Interest over time
Week,hd
2005-02-27 - 2005-03-05,6
2005-03-06 - 2005-03-12,6
2005-03-13 - 2005-03-19,6
2005-03-20 - 2005-03-26,6
2005-03-27 - 2005-04-02,6
2005-04-03 - 2005-04-09,6
2005-04-10 - 2005-04-16,6
2005-04-17 - 2005-04-23,6
2005-04-24 - 2005-04-30,6
2005-05-01 - 2005-05-07,6
2005-05-08 - 2005-05-14,6
2005-05-15 - 2005-05-21,6
2005-05-22 - 2005-05-28,6
2005-05-29 - 2005-06-04,6
2005-06-05 - 2005-06-11,6
2005-06-12 - 2005-06-18,6
2005-06-19 - 2005-06-25,6
2005-06-26 - 2005-07-02,6
2005-07-03 - 2005-07-09,6
2005-07-10 - 2005-07-16,6
2005-07-17 - 2005-07-23,6
2005-07-24 - 2005-07-30,6
2005-07-31 - 2005-08-06,6
2005-08-07 - 2005-08-13,7
2005-08-14 - 2005-08-20,7
2005-08-21 - 2005-08-27,7
2005-08-28 - 2005-09-03,7
2005-09-04 - 2005-09-10,7
2005-09-11 - 2005-09-17,7
2005-09-18 - 2005-09-24,7
2005-09-25 - 2005-10-01,7
2005-10-02 - 2005-10-08,7
2005-10-09 - 2005-10-15,7
2005-10-16 - 2005-10-22,7
2005-10-23 - 2005-10-29,7
2005-10-30 - 2005-11-05,7
2005-11-06 - 2005-11-12,7
2005-11-13 - 2005-11-19,8
2005-11-20 - 2005-11-26,8
2005-11-27 - 2005-12-03,8
2005-12-04 - 2005-12-10,8
2005-12-11 - 2005-12-17,8
2005-12-18 - 2005-12-24,9
2005-12-25 - 2005-12-31,10
2006-01-01 - 2006-01-07,10
2006-01-08 - 2006-01-14,9
2006-01-15 - 2006-01-21,8
2006-01-22 - 2006-01-28,8
2006-01-29 - 2006-02-04,8
2006-02-05 - 2006-02-11,8
2006-02-12 - 2006-02-18,8
2006-02-19 - 2006-02-25,8
2006-02-26 - 2006-03-04,8
2006-03-05 - 2006-03-11,8
2006-03-12 - 2006-03-18,8
2006-03-19 - 2006-03-25,8
2006-03-26 - 2006-04-01,8
2006-04-02 - 2006-04-08,8
2006-04-09 - 2006-04-15,8
2006-04-16 - 2006-04-22,8
2006-04-23 - 2006-04-29,8
2006-04-30 - 2006-05-06,8
2006-05-07 - 2006-05-13,9
2006-05-14 - 2006-05-20,9
2006-05-21 - 2006-05-27,9
2006-05-28 - 2006-06-03,9
2006-06-04 - 2006-06-10,9
2006-06-11 - 2006-06-17,9
2006-06-18 - 2006-06-24,9
2006-06-25 - 2006-07-01,8
2006-07-02 - 2006-07-08,9
2006-07-09 - 2006-07-15,8
2006-07-16 - 2006-07-22,8
2006-07-23 - 2006-07-29,8
2006-07-30 - 2006-08-05,8
2006-08-06 - 2006-08-12,9
2006-08-13 - 2006-08-19,9
2006-08-20 - 2006-08-26,9
2006-08-27 - 2006-09-02,9
2006-09-03 - 2006-09-09,10
2006-09-10 - 2006-09-16,10
2006-09-17 - 2006-09-23,10
2006-09-24 - 2006-09-30,10
2006-10-01 - 2006-10-07,10
2006-10-08 - 2006-10-14,10
2006-10-15 - 2006-10-21,10
2006-10-22 - 2006-10-28,10
2006-10-29 - 2006-11-04,10
2006-11-05 - 2006-11-11,11
2006-11-12 - 2006-11-18,12
2006-11-19 - 2006-11-25,13
2006-11-26 - 2006-12-02,13
2006-12-03 - 2006-12-09,13
2006-12-10 - 2006-12-16,13
2006-12-17 - 2006-12-23,13
2006-12-24 - 2006-12-30,16
2006-12-31 - 2007-01-06,15
2007-01-07 - 2007-01-13,13
2007-01-14 - 2007-01-20,12
2007-01-21 - 2007-01-27,12
2007-01-28 - 2007-02-03,12
2007-02-04 - 2007-02-10,12
2007-02-11 - 2007-02-17,12
2007-02-18 - 2007-02-24,11
2007-02-25 - 2007-03-03,11
2007-03-04 - 2007-03-10,11
2007-03-11 - 2007-03-17,11
2007-03-18 - 2007-03-24,12
2007-03-25 - 2007-03-31,12
2007-04-01 - 2007-04-07,12
2007-04-08 - 2007-04-14,12
2007-04-15 - 2007-04-21,11
2007-04-22 - 2007-04-28,11
2007-04-29 - 2007-05-05,12
2007-05-06 - 2007-05-12,11
2007-05-13 - 2007-05-19,12
2007-05-20 - 2007-05-26,12
2007-05-27 - 2007-06-02,12
2007-06-03 - 2007-06-09,11
2007-06-10 - 2007-06-16,11
2007-06-17 - 2007-06-23,12
2007-06-24 - 2007-06-30,12
2007-07-01 - 2007-07-07,12
2007-07-08 - 2007-07-14,12
2007-07-15 - 2007-07-21,12
2007-07-22 - 2007-07-28,13
2007-07-29 - 2007-08-04,13
2007-08-05 - 2007-08-11,13
2007-08-12 - 2007-08-18,13
2007-08-19 - 2007-08-25,14
2007-08-26 - 2007-09-01,14
2007-09-02 - 2007-09-08,14
2007-09-09 - 2007-09-15,13
2007-09-16 - 2007-09-22,13
2007-09-23 - 2007-09-29,14
2007-09-30 - 2007-10-06,14
2007-10-07 - 2007-10-13,14
2007-10-14 - 2007-10-20,14
2007-10-21 - 2007-10-27,15
2007-10-28 - 2007-11-03,16
2007-11-04 - 2007-11-10,16
2007-11-11 - 2007-11-17,16
2007-11-18 - 2007-11-24,18
2007-11-25 - 2007-12-01,19
2007-12-02 - 2007-12-08,19
2007-12-09 - 2007-12-15,19
2007-12-16 - 2007-12-22,19
2007-12-23 - 2007-12-29,24
2007-12-30 - 2008-01-05,22
2008-01-06 - 2008-01-12,21
2008-01-13 - 2008-01-19,18
2008-01-20 - 2008-01-26,18
2008-01-27 - 2008-02-02,17
2008-02-03 - 2008-02-09,16
2008-02-10 - 2008-02-16,17
2008-02-17 - 2008-02-23,20
2008-02-24 - 2008-03-01,16
2008-03-02 - 2008-03-08,16
2008-03-09 - 2008-03-15,15
2008-03-16 - 2008-03-22,16
2008-03-23 - 2008-03-29,16
2008-03-30 - 2008-04-05,16
2008-04-06 - 2008-04-12,15
2008-04-13 - 2008-04-19,14
2008-04-20 - 2008-04-26,14
2008-04-27 - 2008-05-03,15
2008-05-04 - 2008-05-10,15
2008-05-11 - 2008-05-17,15
2008-05-18 - 2008-05-24,15
2008-05-25 - 2008-05-31,15
2008-06-01 - 2008-06-07,16
2008-06-08 - 2008-06-14,16
2008-06-15 - 2008-06-21,15
2008-06-22 - 2008-06-28,16
2008-06-29 - 2008-07-05,16
2008-07-06 - 2008-07-12,16
2008-07-13 - 2008-07-19,16
2008-07-20 - 2008-07-26,16
2008-07-27 - 2008-08-02,16
2008-08-03 - 2008-08-09,17
2008-08-10 - 2008-08-16,17
2008-08-17 - 2008-08-23,16
2008-08-24 - 2008-08-30,17
2008-08-31 - 2008-09-06,17
2008-09-07 - 2008-09-13,17
2008-09-14 - 2008-09-20,18
2008-09-21 - 2008-09-27,18
2008-09-28 - 2008-10-04,18
2008-10-05 - 2008-10-11,18
2008-10-12 - 2008-10-18,18
2008-10-19 - 2008-10-25,18
2008-10-26 - 2008-11-01,20
2008-11-02 - 2008-11-08,19
2008-11-09 - 2008-11-15,20
2008-11-16 - 2008-11-22,21
2008-11-23 - 2008-11-29,23
2008-11-30 - 2008-12-06,23
2008-12-07 - 2008-12-13,23
2008-12-14 - 2008-12-20,24
2008-12-21 - 2008-12-27,28
2008-12-28 - 2009-01-03,28
2009-01-04 - 2009-01-10,24
2009-01-11 - 2009-01-17,23
2009-01-18 - 2009-01-24,22
2009-01-25 - 2009-01-31,22
2009-02-01 - 2009-02-07,21
2009-02-08 - 2009-02-14,20
2009-02-15 - 2009-02-21,21
2009-02-22 - 2009-02-28,21
2009-03-01 - 2009-03-07,20
2009-03-08 - 2009-03-14,20
2009-03-15 - 2009-03-21,20
2009-03-22 - 2009-03-28,20
2009-03-29 - 2009-04-04,20
2009-04-05 - 2009-04-11,20
2009-04-12 - 2009-04-18,21
2009-04-19 - 2009-04-25,20
2009-04-26 - 2009-05-02,20
2009-05-03 - 2009-05-09,20
2009-05-10 - 2009-05-16,19
2009-05-17 - 2009-05-23,20
2009-05-24 - 2009-05-30,21
2009-05-31 - 2009-06-06,21
2009-06-07 - 2009-06-13,21
2009-06-14 - 2009-06-20,21
2009-06-21 - 2009-06-27,21
2009-06-28 - 2009-07-04,21
2009-07-05 - 2009-07-11,22
2009-07-12 - 2009-07-18,21
2009-07-19 - 2009-07-25,22
2009-07-26 - 2009-08-01,21
2009-08-02 - 2009-08-08,22
2009-08-09 - 2009-08-15,24
2009-08-16 - 2009-08-22,23
2009-08-23 - 2009-08-29,23
2009-08-30 - 2009-09-05,23
2009-09-06 - 2009-09-12,23
2009-09-13 - 2009-09-19,25
2009-09-20 - 2009-09-26,24
2009-09-27 - 2009-10-03,23
2009-10-04 - 2009-10-10,23
2009-10-11 - 2009-10-17,23
2009-10-18 - 2009-10-24,23
2009-10-25 - 2009-10-31,24
2009-11-01 - 2009-11-07,25
2009-11-08 - 2009-11-14,26
2009-11-15 - 2009-11-21,27
2009-11-22 - 2009-11-28,29
2009-11-29 - 2009-12-05,28
2009-12-06 - 2009-12-12,28
2009-12-13 - 2009-12-19,28
2009-12-20 - 2009-12-26,32
2009-12-27 - 2010-01-02,34
2010-01-03 - 2010-01-09,29
2010-01-10 - 2010-01-16,27
2010-01-17 - 2010-01-23,26
2010-01-24 - 2010-01-30,26
2010-01-31 - 2010-02-06,26
2010-02-07 - 2010-02-13,27
2010-02-14 - 2010-02-20,27
2010-02-21 - 2010-02-27,26
2010-02-28 - 2010-03-06,26
2010-03-07 - 2010-03-13,26
2010-03-14 - 2010-03-20,25
2010-03-21 - 2010-03-27,25
2010-03-28 - 2010-04-03,27
2010-04-04 - 2010-04-10,27
2010-04-11 - 2010-04-17,25
2010-04-18 - 2010-04-24,25
2010-04-25 - 2010-05-01,26
2010-05-02 - 2010-05-08,27
2010-05-09 - 2010-05-15,28
2010-05-16 - 2010-05-22,27
2010-05-23 - 2010-05-29,27
2010-05-30 - 2010-06-05,29
2010-06-06 - 2010-06-12,30
2010-06-13 - 2010-06-19,30
2010-06-20 - 2010-06-26,29
2010-06-27 - 2010-07-03,27
2010-07-04 - 2010-07-10,26
2010-07-11 - 2010-07-17,27
2010-07-18 - 2010-07-24,28
2010-07-25 - 2010-07-31,28
2010-08-01 - 2010-08-07,29
2010-08-08 - 2010-08-14,29
2010-08-15 - 2010-08-21,29
2010-08-22 - 2010-08-28,29
2010-08-29 - 2010-09-04,29
2010-09-05 - 2010-09-11,29
2010-09-12 - 2010-09-18,30
2010-09-19 - 2010-09-25,30
2010-09-26 - 2010-10-02,30
2010-10-03 - 2010-10-09,31
2010-10-10 - 2010-10-16,31
2010-10-17 - 2010-10-23,31
2010-10-24 - 2010-10-30,32
2010-10-31 - 2010-11-06,33
2010-11-07 - 2010-11-13,33
2010-11-14 - 2010-11-20,34
2010-11-21 - 2010-11-27,35
2010-11-28 - 2010-12-04,35
2010-12-05 - 2010-12-11,35
2010-12-12 - 2010-12-18,36
2010-12-19 - 2010-12-25,39
2010-12-26 - 2011-01-01,42
2011-01-02 - 2011-01-08,38
2011-01-09 - 2011-01-15,36
2011-01-16 - 2011-01-22,34
2011-01-23 - 2011-01-29,34
2011-01-30 - 2011-02-05,35
2011-02-06 - 2011-02-12,35
2011-02-13 - 2011-02-19,34
2011-02-20 - 2011-02-26,35
2011-02-27 - 2011-03-05,34
2011-03-06 - 2011-03-12,35
2011-03-13 - 2011-03-19,32
2011-03-20 - 2011-03-26,33
2011-03-27 - 2011-04-02,33
2011-04-03 - 2011-04-09,33
2011-04-10 - 2011-04-16,33
2011-04-17 - 2011-04-23,35
2011-04-24 - 2011-04-30,33
2011-05-01 - 2011-05-07,34
2011-05-08 - 2011-05-14,34
2011-05-15 - 2011-05-21,35
2011-05-22 - 2011-05-28,34
2011-05-29 - 2011-06-04,36
2011-06-05 - 2011-06-11,36
2011-06-12 - 2011-06-18,35
2011-06-19 - 2011-06-25,35
2011-06-26 - 2011-07-02,35
2011-07-03 - 2011-07-09,36
2011-07-10 - 2011-07-16,36
2011-07-17 - 2011-07-23,36
2011-07-24 - 2011-07-30,36
2011-07-31 - 2011-08-06,38
2011-08-07 - 2011-08-13,37
2011-08-14 - 2011-08-20,38
2011-08-21 - 2011-08-27,37
2011-08-28 - 2011-09-03,38
2011-09-04 - 2011-09-10,37
2011-09-11 - 2011-09-17,37
2011-09-18 - 2011-09-24,36
2011-09-25 - 2011-10-01,36
2011-10-02 - 2011-10-08,37
2011-10-09 - 2011-10-15,38
2011-10-16 - 2011-10-22,37
2011-10-23 - 2011-10-29,40
2011-10-30 - 2011-11-05,40
2011-11-06 - 2011-11-12,41
2011-11-13 - 2011-11-19,41
2011-11-20 - 2011-11-26,45
2011-11-27 - 2011-12-03,43
2011-12-04 - 2011-12-10,42
2011-12-11 - 2011-12-17,43
2011-12-18 - 2011-12-24,46
2011-12-25 - 2011-12-31,50
2012-01-01 - 2012-01-07,46
2012-01-08 - 2012-01-14,42
2012-01-15 - 2012-01-21,42
2012-01-22 - 2012-01-28,42
2012-01-29 - 2012-02-04,42
2012-02-05 - 2012-02-11,40
2012-02-12 - 2012-02-18,40
2012-02-19 - 2012-02-25,41
2012-02-26 - 2012-03-03,41
2012-03-04 - 2012-03-10,42
2012-03-11 - 2012-03-17,41
2012-03-18 - 2012-03-24,41
2012-03-25 - 2012-03-31,41
2012-04-01 - 2012-04-07,42
2012-04-08 - 2012-04-14,42
2012-04-15 - 2012-04-21,40
2012-04-22 - 2012-04-28,40
2012-04-29 - 2012-05-05,44
2012-05-06 - 2012-05-12,42
2012-05-13 - 2012-05-19,43
2012-05-20 - 2012-05-26,42
2012-05-27 - 2012-06-02,44
2012-06-03 - 2012-06-09,45
2012-06-10 - 2012-06-16,45
2012-06-17 - 2012-06-23,44
2012-06-24 - 2012-06-30,46
2012-07-01 - 2012-07-07,45
2012-07-08 - 2012-07-14,45
2012-07-15 - 2012-07-21,46
2012-07-22 - 2012-07-28,47
2012-07-29 - 2012-08-04,47
2012-08-05 - 2012-08-11,47
2012-08-12 - 2012-08-18,48
2012-08-19 - 2012-08-25,49
2012-08-26 - 2012-09-01,49
2012-09-02 - 2012-09-08,49
2012-09-09 - 2012-09-15,49
2012-09-16 - 2012-09-22,50
2012-09-23 - 2012-09-29,49
2012-09-30 - 2012-10-06,49
2012-10-07 - 2012-10-13,47
2012-10-14 - 2012-10-20,48
2012-10-21 - 2012-10-27,51
2012-10-28 - 2012-11-03,51
2012-11-04 - 2012-11-10,49
2012-11-11 - 2012-11-17,50
2012-11-18 - 2012-11-24,54
2012-11-25 - 2012-12-01,53
2012-12-02 - 2012-12-08,53
2012-12-09 - 2012-12-15,54
2012-12-16 - 2012-12-22,56
2012-12-23 - 2012-12-29,66
2012-12-30 - 2013-01-05,60
2013-01-06 - 2013-01-12,54
2013-01-13 - 2013-01-19,54
2013-01-20 - 2013-01-26,56
2013-01-27 - 2013-02-02,55
2013-02-03 - 2013-02-09,55
2013-02-10 - 2013-02-16,54
2013-02-17 - 2013-02-23,56
2013-02-24 - 2013-03-02,55
2013-03-03 - 2013-03-09,55
2013-03-10 - 2013-03-16,54
2013-03-17 - 2013-03-23,55
2013-03-24 - 2013-03-30,56
2013-03-31 - 2013-04-06,55
2013-04-07 - 2013-04-13,54
2013-04-14 - 2013-04-20,54
2013-04-21 - 2013-04-27,54
2013-04-28 - 2013-05-04,56
2013-05-05 - 2013-05-11,56
2013-05-12 - 2013-05-18,54
2013-05-19 - 2013-05-25,56
2013-05-26 - 2013-06-01,57
2013-06-02 - 2013-06-08,57
2013-06-09 - 2013-06-15,58
2013-06-16 - 2013-06-22,59
2013-06-23 - 2013-06-29,60
2013-06-30 - 2013-07-06,60
2013-07-07 - 2013-07-13,61
2013-07-14 - 2013-07-20,61
2013-07-21 - 2013-07-27,63
2013-07-28 - 2013-08-03,61
2013-08-04 - 2013-08-10,63
2013-08-11 - 2013-08-17,64
2013-08-18 - 2013-08-24,64
2013-08-25 - 2013-08-31,62
2013-09-01 - 2013-09-07,64
2013-09-08 - 2013-09-14,62
2013-09-15 - 2013-09-21,61
2013-09-22 - 2013-09-28,61
2013-09-29 - 2013-10-05,64
2013-10-06 - 2013-10-12,63
2013-10-13 - 2013-10-19,66
2013-10-20 - 2013-10-26,64
2013-10-27 - 2013-11-02,66
2013-11-03 - 2013-11-09,65
2013-11-10 - 2013-11-16,66
2013-11-17 - 2013-11-23,67
2013-11-24 - 2013-11-30,70
2013-12-01 - 2013-12-07,68
2013-12-08 - 2013-12-14,70
2013-12-15 - 2013-12-21,71
2013-12-22 - 2013-12-28,84
2013-12-29 - 2014-01-04,79
2014-01-05 - 2014-01-11,73
2014-01-12 - 2014-01-18,72
2014-01-19 - 2014-01-25,70
2014-01-26 - 2014-02-01,71
2014-02-02 - 2014-02-08,70
2014-02-09 - 2014-02-15,66
2014-02-16 - 2014-02-22,68
2014-02-23 - 2014-03-01,67
2014-03-02 - 2014-03-08,68
2014-03-09 - 2014-03-15,67
2014-03-16 - 2014-03-22,67
2014-03-23 - 2014-03-29,68
2014-03-30 - 2014-04-05,70
2014-04-06 - 2014-04-12,70
2014-04-13 - 2014-04-19,71
2014-04-20 - 2014-04-26,69
2014-04-27 - 2014-05-03,71
2014-05-04 - 2014-05-10,69
2014-05-11 - 2014-05-17,68
2014-05-18 - 2014-05-24,70
2014-05-25 - 2014-05-31,73
2014-06-01 - 2014-06-07,75
2014-06-08 - 2014-06-14,77
2014-06-15 - 2014-06-21,77
2014-06-22 - 2014-06-28,76
2014-06-29 - 2014-07-05,74
2014-07-06 - 2014-07-12,75
2014-07-13 - 2014-07-19,75
2014-07-20 - 2014-07-26,76
2014-07-27 - 2014-08-02,77
2014-08-03 - 2014-08-09,80
2014-08-10 - 2014-08-16,78
2014-08-17 - 2014-08-23,77
2014-08-24 - 2014-08-30,77
2014-08-31 - 2014-09-06,75
2014-09-07 - 2014-09-13,74
2014-09-14 - 2014-09-20,75
2014-09-21 - 2014-09-27,75
2014-09-28 - 2014-10-04,76
2014-10-05 - 2014-10-11,75
2014-10-12 - 2014-10-18,75
2014-10-19 - 2014-10-25,76
2014-10-26 - 2014-11-01,77
2014-11-02 - 2014-11-08,77
2014-11-09 - 2014-11-15,78
2014-11-16 - 2014-11-22,77
2014-11-23 - 2014-11-29,81
2014-11-30 - 2014-12-06,80
2014-12-07 - 2014-12-13,81
2014-12-14 - 2014-12-20,80
2014-12-21 - 2014-12-27,94
2014-12-28 - 2015-01-03,94
2015-01-04 - 2015-01-10,82
2015-01-11 - 2015-01-17,81
2015-01-18 - 2015-01-24,82
2015-01-25 - 2015-01-31,82
2015-02-01 - 2015-02-07,78
2015-02-08 - 2015-02-14,79
2015-02-15 - 2015-02-21,81
2015-02-22 - 2015-02-28,78
2015-03-01 - 2015-03-07,78
2015-03-08 - 2015-03-14,77
2015-03-15 - 2015-03-21,79
2015-03-22 - 2015-03-28,79
2015-03-29 - 2015-04-04,81
2015-04-05 - 2015-04-11,82
2015-04-12 - 2015-04-18,80
2015-04-19 - 2015-04-25,80
2015-04-26 - 2015-05-02,81
2015-05-03 - 2015-05-09,81
2015-05-10 - 2015-05-16,80
2015-05-17 - 2015-05-23,79
2015-05-24 - 2015-05-30,82
2015-05-31 - 2015-06-06,82
2015-06-07 - 2015-06-13,79
2015-06-14 - 2015-06-20,81
2015-06-21 - 2015-06-27,80
2015-06-28 - 2015-07-04,81
2015-07-05 - 2015-07-11,83
2015-07-12 - 2015-07-18,86
2015-07-19 - 2015-07-25,90
2015-07-26 - 2015-08-01,89
2015-08-02 - 2015-08-08,87
2015-08-09 - 2015-08-15,90
2015-08-16 - 2015-08-22,88
2015-08-23 - 2015-08-29,86
2015-08-30 - 2015-09-05,86
2015-09-06 - 2015-09-12,88
2015-09-13 - 2015-09-19,86
2015-09-20 - 2015-09-26,84
2015-09-27 - 2015-10-03,85
2015-10-04 - 2015-10-10,84
2015-10-11 - 2015-10-17,85
2015-10-18 - 2015-10-24,83
2015-10-25 - 2015-10-31,86
2015-11-01 - 2015-11-07,85
2015-11-08 - 2015-11-14,83
2015-11-15 - 2015-11-21,87
2015-11-22 - 2015-11-28,91
2015-11-29 - 2015-12-05,86
2015-12-06 - 2015-12-12,89
2015-12-13 - 2015-12-19,87
2015-12-20 - 2015-12-26,99
2015-12-27 - 2016-01-02,100
2016-01-03 - 2016-01-09,91
2016-01-10 - 2016-01-16,87
2016-01-17 - 2016-01-23,89
2016-01-24 - 2016-01-30,89
2016-01-31 - 2016-02-06,86
2016-02-07 - 2016-02-13,89
2016-02-14 - 2016-02-20,85
2016-02-21 - 2016-02-27,84
2016-02-28 - 2016-03-05,82
2016-03-06 - 2016-03-12,85
2016-03-13 - 2016-03-19,85
2016-03-20 - 2016-03-26,87
2016-03-27 - 2016-04-02,86
2016-04-03 - 2016-04-09,85
2016-04-10 - 2016-04-16,84
2016-04-17 - 2016-04-23,83
2016-04-24 - 2016-04-30,99


Top regions for hd
Region,hd
Pakistan,100
India,72
Bangladesh,63
Thailand,44
Turkey,42
Bolivia,40
Algeria,33
Romania,31
Sri Lanka,29
Iraq,27
Vietnam,24
Azerbaijan,23
Ukraine,21
Russia,21
Tunisia,20
Chile,19
Kazakhstan,18
United Arab Emirates,18
Belarus,18
Brazil,17
Morocco,17
Uruguay,15
Argentina,14
Hungary,13
Malaysia,13
Philippines,13
Ecuador,13
Dominican Republic,13
Jordan,13
Czech Republic,13
Germany,12
Serbia,12
Peru,12
Colombia,12
Costa Rica,12
Iran,11
Mexico,11
Portugal,11
Bulgaria,11
Israel,11
Austria,11
Slovakia,11
Indonesia,11
Singapore,11
Saudi Arabia,10
Poland,10
Sweden,10
Egypt,10
Lithuania,10
Italy,10
Norway,10
Netherlands,10
Switzerland,9
Spain,9
United Kingdom,9
South Africa,9
Croatia,9
Venezuela,9
Denmark,9
Greece,9
Finland,8
Ireland,8
Canada,8
France,8
Belgium,7
Hong Kong,7
United States,7
New Zealand,7
Australia,7
Taiwan,6
South Korea,5
Japan,3
China,2


Top cities for hd
City,hd
Howrah (India),100
Unnao (India),91
Lucknow (India),86
Lahore (Pakistan),85
Ahmedabad (India),81
Karachi (Pakistan),77
Pune (India),68
New Delhi (India),68
Mumbai (India),64
Dhaka (Bangladesh),54
Sucre (Bolivia),51
Sheridan (United States),51
Hyderabad (India),51
Chennai (India),49
Bangalore (India),43



Top searches for hd
hd video,100
full hd,100
hd online,55
movie hd,50
hd wallpaper,50
wallpaper,50
hd videos,40
hd wallpapers,40
wallpapers,40
hd tv,40
hd song,30
hd movies,30
hd songs,30
หนัง hd,25
filmes hd,15
hd video songs,15
ดู หนัง,15
ดู หนัง hd,15
samsung,15
ati,15
htc,15
filme hd,15
free movie hd,10
หนัง ออนไลน์ hd,10
หนัง ออนไลน์,10
phim hd,10
desire hd,10
hd dvd,10
ดู หนัง ออนไลน์,10
peliculas hd,10
mega filmes hd,10
htc desire hd,10
kindle fire hd,5



Rising searches for hd
full hd,Breakout
hd song,Breakout
hd songs,Breakout
hd wallpaper,Breakout
hd wallpapers,Breakout
wallpaper,Breakout
wallpapers,Breakout
หนัง hd,Breakout
hd videos,+4,500%
movie hd,+1,600%



