Web Search interest: exc
Worldwide 2004 - present

Interest over time
Week,exc
2005-06-05 - 2005-06-11,49
2005-06-12 - 2005-06-18,57
2005-06-19 - 2005-06-25,53
2005-06-26 - 2005-07-02,55
2005-07-03 - 2005-07-09,54
2005-07-10 - 2005-07-16,56
2005-07-17 - 2005-07-23,50
2005-07-24 - 2005-07-30,42
2005-07-31 - 2005-08-06,46
2005-08-07 - 2005-08-13,58
2005-08-14 - 2005-08-20,47
2005-08-21 - 2005-08-27,49
2005-08-28 - 2005-09-03,51
2005-09-04 - 2005-09-10,58
2005-09-11 - 2005-09-17,53
2005-09-18 - 2005-09-24,57
2005-09-25 - 2005-10-01,52
2005-10-02 - 2005-10-08,50
2005-10-09 - 2005-10-15,50
2005-10-16 - 2005-10-22,55
2005-10-23 - 2005-10-29,50
2005-10-30 - 2005-11-05,50
2005-11-06 - 2005-11-12,48
2005-11-13 - 2005-11-19,50
2005-11-20 - 2005-11-26,44
2005-11-27 - 2005-12-03,49
2005-12-04 - 2005-12-10,44
2005-12-11 - 2005-12-17,47
2005-12-18 - 2005-12-24,48
2005-12-25 - 2005-12-31,51
2006-01-01 - 2006-01-07,50
2006-01-08 - 2006-01-14,45
2006-01-15 - 2006-01-21,51
2006-01-22 - 2006-01-28,53
2006-01-29 - 2006-02-04,54
2006-02-05 - 2006-02-11,47
2006-02-12 - 2006-02-18,46
2006-02-19 - 2006-02-25,45
2006-02-26 - 2006-03-04,50
2006-03-05 - 2006-03-11,48
2006-03-12 - 2006-03-18,40
2006-03-19 - 2006-03-25,53
2006-03-26 - 2006-04-01,53
2006-04-02 - 2006-04-08,53
2006-04-09 - 2006-04-15,64
2006-04-16 - 2006-04-22,58
2006-04-23 - 2006-04-29,62
2006-04-30 - 2006-05-06,56
2006-05-07 - 2006-05-13,49
2006-05-14 - 2006-05-20,58
2006-05-21 - 2006-05-27,54
2006-05-28 - 2006-06-03,53
2006-06-04 - 2006-06-10,53
2006-06-11 - 2006-06-17,47
2006-06-18 - 2006-06-24,56
2006-06-25 - 2006-07-01,53
2006-07-02 - 2006-07-08,59
2006-07-09 - 2006-07-15,50
2006-07-16 - 2006-07-22,52
2006-07-23 - 2006-07-29,43
2006-07-30 - 2006-08-05,55
2006-08-06 - 2006-08-12,53
2006-08-13 - 2006-08-19,52
2006-08-20 - 2006-08-26,54
2006-08-27 - 2006-09-02,60
2006-09-03 - 2006-09-09,55
2006-09-10 - 2006-09-16,54
2006-09-17 - 2006-09-23,58
2006-09-24 - 2006-09-30,61
2006-10-01 - 2006-10-07,65
2006-10-08 - 2006-10-14,54
2006-10-15 - 2006-10-21,58
2006-10-22 - 2006-10-28,61
2006-10-29 - 2006-11-04,59
2006-11-05 - 2006-11-11,50
2006-11-12 - 2006-11-18,57
2006-11-19 - 2006-11-25,55
2006-11-26 - 2006-12-02,50
2006-12-03 - 2006-12-09,54
2006-12-10 - 2006-12-16,55
2006-12-17 - 2006-12-23,49
2006-12-24 - 2006-12-30,53
2006-12-31 - 2007-01-06,54
2007-01-07 - 2007-01-13,60
2007-01-14 - 2007-01-20,52
2007-01-21 - 2007-01-27,57
2007-01-28 - 2007-02-03,49
2007-02-04 - 2007-02-10,57
2007-02-11 - 2007-02-17,55
2007-02-18 - 2007-02-24,59
2007-02-25 - 2007-03-03,55
2007-03-04 - 2007-03-10,56
2007-03-11 - 2007-03-17,64
2007-03-18 - 2007-03-24,63
2007-03-25 - 2007-03-31,59
2007-04-01 - 2007-04-07,57
2007-04-08 - 2007-04-14,63
2007-04-15 - 2007-04-21,67
2007-04-22 - 2007-04-28,63
2007-04-29 - 2007-05-05,70
2007-05-06 - 2007-05-12,65
2007-05-13 - 2007-05-19,60
2007-05-20 - 2007-05-26,67
2007-05-27 - 2007-06-02,57
2007-06-03 - 2007-06-09,55
2007-06-10 - 2007-06-16,64
2007-06-17 - 2007-06-23,58
2007-06-24 - 2007-06-30,60
2007-07-01 - 2007-07-07,59
2007-07-08 - 2007-07-14,60
2007-07-15 - 2007-07-21,63
2007-07-22 - 2007-07-28,57
2007-07-29 - 2007-08-04,57
2007-08-05 - 2007-08-11,54
2007-08-12 - 2007-08-18,54
2007-08-19 - 2007-08-25,62
2007-08-26 - 2007-09-01,62
2007-09-02 - 2007-09-08,57
2007-09-09 - 2007-09-15,59
2007-09-16 - 2007-09-22,55
2007-09-23 - 2007-09-29,57
2007-09-30 - 2007-10-06,64
2007-10-07 - 2007-10-13,60
2007-10-14 - 2007-10-20,57
2007-10-21 - 2007-10-27,61
2007-10-28 - 2007-11-03,61
2007-11-04 - 2007-11-10,59
2007-11-11 - 2007-11-17,54
2007-11-18 - 2007-11-24,54
2007-11-25 - 2007-12-01,56
2007-12-02 - 2007-12-08,53
2007-12-09 - 2007-12-15,52
2007-12-16 - 2007-12-22,50
2007-12-23 - 2007-12-29,56
2007-12-30 - 2008-01-05,61
2008-01-06 - 2008-01-12,53
2008-01-13 - 2008-01-19,54
2008-01-20 - 2008-01-26,52
2008-01-27 - 2008-02-02,60
2008-02-03 - 2008-02-09,59
2008-02-10 - 2008-02-16,62
2008-02-17 - 2008-02-23,62
2008-02-24 - 2008-03-01,57
2008-03-02 - 2008-03-08,58
2008-03-09 - 2008-03-15,57
2008-03-16 - 2008-03-22,60
2008-03-23 - 2008-03-29,54
2008-03-30 - 2008-04-05,59
2008-04-06 - 2008-04-12,61
2008-04-13 - 2008-04-19,64
2008-04-20 - 2008-04-26,67
2008-04-27 - 2008-05-03,61
2008-05-04 - 2008-05-10,61
2008-05-11 - 2008-05-17,63
2008-05-18 - 2008-05-24,64
2008-05-25 - 2008-05-31,62
2008-06-01 - 2008-06-07,60
2008-06-08 - 2008-06-14,60
2008-06-15 - 2008-06-21,64
2008-06-22 - 2008-06-28,62
2008-06-29 - 2008-07-05,63
2008-07-06 - 2008-07-12,62
2008-07-13 - 2008-07-19,60
2008-07-20 - 2008-07-26,61
2008-07-27 - 2008-08-02,61
2008-08-03 - 2008-08-09,65
2008-08-10 - 2008-08-16,62
2008-08-17 - 2008-08-23,58
2008-08-24 - 2008-08-30,61
2008-08-31 - 2008-09-06,68
2008-09-07 - 2008-09-13,59
2008-09-14 - 2008-09-20,64
2008-09-21 - 2008-09-27,65
2008-09-28 - 2008-10-04,69
2008-10-05 - 2008-10-11,65
2008-10-12 - 2008-10-18,57
2008-10-19 - 2008-10-25,69
2008-10-26 - 2008-11-01,66
2008-11-02 - 2008-11-08,53
2008-11-09 - 2008-11-15,62
2008-11-16 - 2008-11-22,57
2008-11-23 - 2008-11-29,52
2008-11-30 - 2008-12-06,51
2008-12-07 - 2008-12-13,48
2008-12-14 - 2008-12-20,51
2008-12-21 - 2008-12-27,53
2008-12-28 - 2009-01-03,57
2009-01-04 - 2009-01-10,56
2009-01-11 - 2009-01-17,54
2009-01-18 - 2009-01-24,67
2009-01-25 - 2009-01-31,63
2009-02-01 - 2009-02-07,56
2009-02-08 - 2009-02-14,57
2009-02-15 - 2009-02-21,59
2009-02-22 - 2009-02-28,62
2009-03-01 - 2009-03-07,60
2009-03-08 - 2009-03-14,66
2009-03-15 - 2009-03-21,63
2009-03-22 - 2009-03-28,67
2009-03-29 - 2009-04-04,66
2009-04-05 - 2009-04-11,67
2009-04-12 - 2009-04-18,66
2009-04-19 - 2009-04-25,69
2009-04-26 - 2009-05-02,62
2009-05-03 - 2009-05-09,60
2009-05-10 - 2009-05-16,62
2009-05-17 - 2009-05-23,65
2009-05-24 - 2009-05-30,66
2009-05-31 - 2009-06-06,63
2009-06-07 - 2009-06-13,68
2009-06-14 - 2009-06-20,62
2009-06-21 - 2009-06-27,60
2009-06-28 - 2009-07-04,61
2009-07-05 - 2009-07-11,62
2009-07-12 - 2009-07-18,63
2009-07-19 - 2009-07-25,67
2009-07-26 - 2009-08-01,59
2009-08-02 - 2009-08-08,63
2009-08-09 - 2009-08-15,65
2009-08-16 - 2009-08-22,61
2009-08-23 - 2009-08-29,64
2009-08-30 - 2009-09-05,66
2009-09-06 - 2009-09-12,64
2009-09-13 - 2009-09-19,63
2009-09-20 - 2009-09-26,64
2009-09-27 - 2009-10-03,65
2009-10-04 - 2009-10-10,64
2009-10-11 - 2009-10-17,66
2009-10-18 - 2009-10-24,61
2009-10-25 - 2009-10-31,64
2009-11-01 - 2009-11-07,59
2009-11-08 - 2009-11-14,59
2009-11-15 - 2009-11-21,59
2009-11-22 - 2009-11-28,61
2009-11-29 - 2009-12-05,59
2009-12-06 - 2009-12-12,56
2009-12-13 - 2009-12-19,49
2009-12-20 - 2009-12-26,52
2009-12-27 - 2010-01-02,55
2010-01-03 - 2010-01-09,55
2010-01-10 - 2010-01-16,56
2010-01-17 - 2010-01-23,57
2010-01-24 - 2010-01-30,58
2010-01-31 - 2010-02-06,61
2010-02-07 - 2010-02-13,58
2010-02-14 - 2010-02-20,58
2010-02-21 - 2010-02-27,59
2010-02-28 - 2010-03-06,62
2010-03-07 - 2010-03-13,60
2010-03-14 - 2010-03-20,61
2010-03-21 - 2010-03-27,60
2010-03-28 - 2010-04-03,61
2010-04-04 - 2010-04-10,69
2010-04-11 - 2010-04-17,68
2010-04-18 - 2010-04-24,64
2010-04-25 - 2010-05-01,63
2010-05-02 - 2010-05-08,66
2010-05-09 - 2010-05-15,71
2010-05-16 - 2010-05-22,67
2010-05-23 - 2010-05-29,62
2010-05-30 - 2010-06-05,68
2010-06-06 - 2010-06-12,64
2010-06-13 - 2010-06-19,62
2010-06-20 - 2010-06-26,62
2010-06-27 - 2010-07-03,59
2010-07-04 - 2010-07-10,58
2010-07-11 - 2010-07-17,59
2010-07-18 - 2010-07-24,58
2010-07-25 - 2010-07-31,58
2010-08-01 - 2010-08-07,56
2010-08-08 - 2010-08-14,56
2010-08-15 - 2010-08-21,59
2010-08-22 - 2010-08-28,59
2010-08-29 - 2010-09-04,60
2010-09-05 - 2010-09-11,63
2010-09-12 - 2010-09-18,67
2010-09-19 - 2010-09-25,64
2010-09-26 - 2010-10-02,65
2010-10-03 - 2010-10-09,66
2010-10-10 - 2010-10-16,64
2010-10-17 - 2010-10-23,63
2010-10-24 - 2010-10-30,62
2010-10-31 - 2010-11-06,66
2010-11-07 - 2010-11-13,63
2010-11-14 - 2010-11-20,61
2010-11-21 - 2010-11-27,60
2010-11-28 - 2010-12-04,57
2010-12-05 - 2010-12-11,55
2010-12-12 - 2010-12-18,58
2010-12-19 - 2010-12-25,53
2010-12-26 - 2011-01-01,57
2011-01-02 - 2011-01-08,59
2011-01-09 - 2011-01-15,62
2011-01-16 - 2011-01-22,65
2011-01-23 - 2011-01-29,66
2011-01-30 - 2011-02-05,62
2011-02-06 - 2011-02-12,68
2011-02-13 - 2011-02-19,67
2011-02-20 - 2011-02-26,64
2011-02-27 - 2011-03-05,64
2011-03-06 - 2011-03-12,63
2011-03-13 - 2011-03-19,63
2011-03-20 - 2011-03-26,67
2011-03-27 - 2011-04-02,69
2011-04-03 - 2011-04-09,66
2011-04-10 - 2011-04-16,65
2011-04-17 - 2011-04-23,69
2011-04-24 - 2011-04-30,68
2011-05-01 - 2011-05-07,69
2011-05-08 - 2011-05-14,72
2011-05-15 - 2011-05-21,66
2011-05-22 - 2011-05-28,68
2011-05-29 - 2011-06-04,66
2011-06-05 - 2011-06-11,69
2011-06-12 - 2011-06-18,66
2011-06-19 - 2011-06-25,64
2011-06-26 - 2011-07-02,62
2011-07-03 - 2011-07-09,62
2011-07-10 - 2011-07-16,64
2011-07-17 - 2011-07-23,64
2011-07-24 - 2011-07-30,62
2011-07-31 - 2011-08-06,66
2011-08-07 - 2011-08-13,62
2011-08-14 - 2011-08-20,61
2011-08-21 - 2011-08-27,67
2011-08-28 - 2011-09-03,69
2011-09-04 - 2011-09-10,65
2011-09-11 - 2011-09-17,67
2011-09-18 - 2011-09-24,69
2011-09-25 - 2011-10-01,74
2011-10-02 - 2011-10-08,69
2011-10-09 - 2011-10-15,68
2011-10-16 - 2011-10-22,71
2011-10-23 - 2011-10-29,65
2011-10-30 - 2011-11-05,71
2011-11-06 - 2011-11-12,65
2011-11-13 - 2011-11-19,69
2011-11-20 - 2011-11-26,62
2011-11-27 - 2011-12-03,63
2011-12-04 - 2011-12-10,64
2011-12-11 - 2011-12-17,61
2011-12-18 - 2011-12-24,60
2011-12-25 - 2011-12-31,62
2012-01-01 - 2012-01-07,65
2012-01-08 - 2012-01-14,64
2012-01-15 - 2012-01-21,64
2012-01-22 - 2012-01-28,67
2012-01-29 - 2012-02-04,62
2012-02-05 - 2012-02-11,66
2012-02-12 - 2012-02-18,62
2012-02-19 - 2012-02-25,66
2012-02-26 - 2012-03-03,70
2012-03-04 - 2012-03-10,69
2012-03-11 - 2012-03-17,70
2012-03-18 - 2012-03-24,70
2012-03-25 - 2012-03-31,69
2012-04-01 - 2012-04-07,71
2012-04-08 - 2012-04-14,74
2012-04-15 - 2012-04-21,69
2012-04-22 - 2012-04-28,67
2012-04-29 - 2012-05-05,71
2012-05-06 - 2012-05-12,69
2012-05-13 - 2012-05-19,73
2012-05-20 - 2012-05-26,72
2012-05-27 - 2012-06-02,71
2012-06-03 - 2012-06-09,67
2012-06-10 - 2012-06-16,67
2012-06-17 - 2012-06-23,67
2012-06-24 - 2012-06-30,61
2012-07-01 - 2012-07-07,64
2012-07-08 - 2012-07-14,64
2012-07-15 - 2012-07-21,65
2012-07-22 - 2012-07-28,64
2012-07-29 - 2012-08-04,65
2012-08-05 - 2012-08-11,62
2012-08-12 - 2012-08-18,65
2012-08-19 - 2012-08-25,66
2012-08-26 - 2012-09-01,71
2012-09-02 - 2012-09-08,70
2012-09-09 - 2012-09-15,69
2012-09-16 - 2012-09-22,69
2012-09-23 - 2012-09-29,71
2012-09-30 - 2012-10-06,66
2012-10-07 - 2012-10-13,66
2012-10-14 - 2012-10-20,65
2012-10-21 - 2012-10-27,68
2012-10-28 - 2012-11-03,63
2012-11-04 - 2012-11-10,65
2012-11-11 - 2012-11-17,63
2012-11-18 - 2012-11-24,65
2012-11-25 - 2012-12-01,61
2012-12-02 - 2012-12-08,57
2012-12-09 - 2012-12-15,57
2012-12-16 - 2012-12-22,55
2012-12-23 - 2012-12-29,61
2012-12-30 - 2013-01-05,61
2013-01-06 - 2013-01-12,62
2013-01-13 - 2013-01-19,62
2013-01-20 - 2013-01-26,63
2013-01-27 - 2013-02-02,63
2013-02-03 - 2013-02-09,64
2013-02-10 - 2013-02-16,67
2013-02-17 - 2013-02-23,68
2013-02-24 - 2013-03-02,68
2013-03-03 - 2013-03-09,67
2013-03-10 - 2013-03-16,69
2013-03-17 - 2013-03-23,69
2013-03-24 - 2013-03-30,69
2013-03-31 - 2013-04-06,67
2013-04-07 - 2013-04-13,70
2013-04-14 - 2013-04-20,73
2013-04-21 - 2013-04-27,73
2013-04-28 - 2013-05-04,72
2013-05-05 - 2013-05-11,73
2013-05-12 - 2013-05-18,71
2013-05-19 - 2013-05-25,71
2013-05-26 - 2013-06-01,69
2013-06-02 - 2013-06-08,67
2013-06-09 - 2013-06-15,69
2013-06-16 - 2013-06-22,66
2013-06-23 - 2013-06-29,67
2013-06-30 - 2013-07-06,64
2013-07-07 - 2013-07-13,62
2013-07-14 - 2013-07-20,64
2013-07-21 - 2013-07-27,62
2013-07-28 - 2013-08-03,65
2013-08-04 - 2013-08-10,66
2013-08-11 - 2013-08-17,62
2013-08-18 - 2013-08-24,64
2013-08-25 - 2013-08-31,63
2013-09-01 - 2013-09-07,67
2013-09-08 - 2013-09-14,66
2013-09-15 - 2013-09-21,63
2013-09-22 - 2013-09-28,66
2013-09-29 - 2013-10-05,66
2013-10-06 - 2013-10-12,64
2013-10-13 - 2013-10-19,68
2013-10-20 - 2013-10-26,67
2013-10-27 - 2013-11-02,67
2013-11-03 - 2013-11-09,65
2013-11-10 - 2013-11-16,67
2013-11-17 - 2013-11-23,60
2013-11-24 - 2013-11-30,59
2013-12-01 - 2013-12-07,57
2013-12-08 - 2013-12-14,54
2013-12-15 - 2013-12-21,58
2013-12-22 - 2013-12-28,59
2013-12-29 - 2014-01-04,62
2014-01-05 - 2014-01-11,67
2014-01-12 - 2014-01-18,69
2014-01-19 - 2014-01-25,66
2014-01-26 - 2014-02-01,65
2014-02-02 - 2014-02-08,64
2014-02-09 - 2014-02-15,65
2014-02-16 - 2014-02-22,67
2014-02-23 - 2014-03-01,68
2014-03-02 - 2014-03-08,68
2014-03-09 - 2014-03-15,73
2014-03-16 - 2014-03-22,74
2014-03-23 - 2014-03-29,74
2014-03-30 - 2014-04-05,75
2014-04-06 - 2014-04-12,77
2014-04-13 - 2014-04-19,75
2014-04-20 - 2014-04-26,74
2014-04-27 - 2014-05-03,75
2014-05-04 - 2014-05-10,74
2014-05-11 - 2014-05-17,75
2014-05-18 - 2014-05-24,75
2014-05-25 - 2014-05-31,69
2014-06-01 - 2014-06-07,74
2014-06-08 - 2014-06-14,70
2014-06-15 - 2014-06-21,69
2014-06-22 - 2014-06-28,68
2014-06-29 - 2014-07-05,66
2014-07-06 - 2014-07-12,66
2014-07-13 - 2014-07-19,66
2014-07-20 - 2014-07-26,69
2014-07-27 - 2014-08-02,70
2014-08-03 - 2014-08-09,70
2014-08-10 - 2014-08-16,69
2014-08-17 - 2014-08-23,68
2014-08-24 - 2014-08-30,73
2014-08-31 - 2014-09-06,72
2014-09-07 - 2014-09-13,70
2014-09-14 - 2014-09-20,71
2014-09-21 - 2014-09-27,72
2014-09-28 - 2014-10-04,78
2014-10-05 - 2014-10-11,74
2014-10-12 - 2014-10-18,75
2014-10-19 - 2014-10-25,75
2014-10-26 - 2014-11-01,72
2014-11-02 - 2014-11-08,72
2014-11-09 - 2014-11-15,72
2014-11-16 - 2014-11-22,71
2014-11-23 - 2014-11-29,71
2014-11-30 - 2014-12-06,67
2014-12-07 - 2014-12-13,70
2014-12-14 - 2014-12-20,69
2014-12-21 - 2014-12-27,69
2014-12-28 - 2015-01-03,65
2015-01-04 - 2015-01-10,70
2015-01-11 - 2015-01-17,72
2015-01-18 - 2015-01-24,72
2015-01-25 - 2015-01-31,73
2015-02-01 - 2015-02-07,68
2015-02-08 - 2015-02-14,69
2015-02-15 - 2015-02-21,71
2015-02-22 - 2015-02-28,72
2015-03-01 - 2015-03-07,78
2015-03-08 - 2015-03-14,78
2015-03-15 - 2015-03-21,78
2015-03-22 - 2015-03-28,78
2015-03-29 - 2015-04-04,77
2015-04-05 - 2015-04-11,78
2015-04-12 - 2015-04-18,82
2015-04-19 - 2015-04-25,78
2015-04-26 - 2015-05-02,82
2015-05-03 - 2015-05-09,78
2015-05-10 - 2015-05-16,80
2015-05-17 - 2015-05-23,85
2015-05-24 - 2015-05-30,81
2015-05-31 - 2015-06-06,76
2015-06-07 - 2015-06-13,78
2015-06-14 - 2015-06-20,78
2015-06-21 - 2015-06-27,77
2015-06-28 - 2015-07-04,73
2015-07-05 - 2015-07-11,70
2015-07-12 - 2015-07-18,75
2015-07-19 - 2015-07-25,76
2015-07-26 - 2015-08-01,73
2015-08-02 - 2015-08-08,71
2015-08-09 - 2015-08-15,75
2015-08-16 - 2015-08-22,75
2015-08-23 - 2015-08-29,79
2015-08-30 - 2015-09-05,75
2015-09-06 - 2015-09-12,78
2015-09-13 - 2015-09-19,80
2015-09-20 - 2015-09-26,78
2015-09-27 - 2015-10-03,78
2015-10-04 - 2015-10-10,80
2015-10-11 - 2015-10-17,78
2015-10-18 - 2015-10-24,77
2015-10-25 - 2015-10-31,78
2015-11-01 - 2015-11-07,78
2015-11-08 - 2015-11-14,77
2015-11-15 - 2015-11-21,74
2015-11-22 - 2015-11-28,70
2015-11-29 - 2015-12-05,72
2015-12-06 - 2015-12-12,74
2015-12-13 - 2015-12-19,72
2015-12-20 - 2015-12-26,78
2015-12-27 - 2016-01-02,75
2016-01-03 - 2016-01-09,74
2016-01-10 - 2016-01-16,75
2016-01-17 - 2016-01-23,74
2016-01-24 - 2016-01-30,77
2016-01-31 - 2016-02-06,78
2016-02-07 - 2016-02-13,78
2016-02-14 - 2016-02-20,76
2016-02-21 - 2016-02-27,77
2016-02-28 - 2016-03-05,78
2016-03-06 - 2016-03-12,78
2016-03-13 - 2016-03-19,79
2016-03-20 - 2016-03-26,79
2016-03-27 - 2016-04-02,84
2016-04-03 - 2016-04-09,86
2016-04-10 - 2016-04-16,85
2016-04-17 - 2016-04-23,85
2016-04-24 - 2016-04-30,100


Top regions for exc
Region,exc
Finland,100
Austria,78
Italy,54
Norway,52
Australia,50
France,48
Slovakia,46
Spain,44
Portugal,43
Hungary,39
Czech Republic,38
Slovenia,38
Germany,37
Belgium,34
Sweden,34
New Zealand,29
Switzerland,29
Greece,27
Poland,26
South Africa,26
Croatia,23
Romania,23
United Kingdom,22
Singapore,21
Israel,19
Canada,18
Netherlands,18
United States,17
Bulgaria,15
Chile,15
United Arab Emirates,14
Ireland,12
Mexico,9
Colombia,9
Argentina,9
Malaysia,9
Denmark,9
Brazil,9
Indonesia,9
Thailand,8
Philippines,7
Peru,7
Vietnam,7
India,7
Japan,5
China,5
Ukraine,5
Russia,5
Turkey,5


Top cities for exc
City,exc
Helsinki (Finland),100
Brisbane (Australia),61
Vienna (Austria),58
Lyon (France),54
Turin (Italy),53
Milan (Italy),48
Melbourne (Australia),46
Sydney (Australia),46
Barcelona (Spain),41
Rome (Italy),34
Madrid (Spain),34
Munich (Germany),34
Paris (France),33
Berlin (Germany),29
Stockholm (Sweden),27



Top searches for exc
ktm exc,100
ktm,100
exc 125,25
125 ktm exc,20
ktm 125,20
exc 450,15
exc 250,15
ktm 450,15
ktm 450 exc,15
ktm 250,15
ktm exc 250,15
300 exc,10
ktm exc 300,10
ktm 300,10
exc 525,5
500 exc,5
ktm 525 exc,5
ktm 525,5
exc 200,5
ktm 500 exc,5
ktm 200,5
ktm exc 200,5
exc 350,5
400 exc,5
ktm 350,5
ktm 350 exc,5
ktm 400 exc,5
ktm exc 530,5
ktm 530,5
ktm exc 2012,5
ktm 2012,5
ktm exc 2008,5
ktm exc 2013,5
ktm exc 2014,5
ktm exc 2015,0
ktm exc 2007,0
supermoto,0
ktm exc supermoto,0
ktm exc 2009,0
ktm exc 2010,0
ktm exc 2011,0



Rising searches for exc
300 exc,+120%
exc 125,+120%
125 ktm exc,+110%
exc 450,+110%
ktm 125,+110%
ktm 450 exc,+110%
ktm 450,+100%
ktm exc 300,+100%
exc 250,+90%
ktm,+90%



