Web Search interest: r
Worldwide 2004 - present

Interest over time
Week,r
2008-11-16 - 2008-11-22,70
2008-11-23 - 2008-11-29,78
2008-11-30 - 2008-12-06,80
2008-12-07 - 2008-12-13,80
2008-12-14 - 2008-12-20,79
2008-12-21 - 2008-12-27,69
2008-12-28 - 2009-01-03,59
2009-01-04 - 2009-01-10,56
2009-01-11 - 2009-01-17,57
2009-01-18 - 2009-01-24,56
2009-01-25 - 2009-01-31,58
2009-02-01 - 2009-02-07,58
2009-02-08 - 2009-02-14,57
2009-02-15 - 2009-02-21,59
2009-02-22 - 2009-02-28,59
2009-03-01 - 2009-03-07,57
2009-03-08 - 2009-03-14,57
2009-03-15 - 2009-03-21,57
2009-03-22 - 2009-03-28,56
2009-03-29 - 2009-04-04,56
2009-04-05 - 2009-04-11,59
2009-04-12 - 2009-04-18,57
2009-04-19 - 2009-04-25,55
2009-04-26 - 2009-05-02,54
2009-05-03 - 2009-05-09,54
2009-05-10 - 2009-05-16,54
2009-05-17 - 2009-05-23,54
2009-05-24 - 2009-05-30,54
2009-05-31 - 2009-06-06,54
2009-06-07 - 2009-06-13,54
2009-06-14 - 2009-06-20,54
2009-06-21 - 2009-06-27,52
2009-06-28 - 2009-07-04,54
2009-07-05 - 2009-07-11,54
2009-07-12 - 2009-07-18,54
2009-07-19 - 2009-07-25,56
2009-07-26 - 2009-08-01,55
2009-08-02 - 2009-08-08,56
2009-08-09 - 2009-08-15,55
2009-08-16 - 2009-08-22,55
2009-08-23 - 2009-08-29,54
2009-08-30 - 2009-09-05,54
2009-09-06 - 2009-09-12,54
2009-09-13 - 2009-09-19,56
2009-09-20 - 2009-09-26,57
2009-09-27 - 2009-10-03,57
2009-10-04 - 2009-10-10,58
2009-10-11 - 2009-10-17,59
2009-10-18 - 2009-10-24,61
2009-10-25 - 2009-10-31,61
2009-11-01 - 2009-11-07,64
2009-11-08 - 2009-11-14,68
2009-11-15 - 2009-11-21,73
2009-11-22 - 2009-11-28,81
2009-11-29 - 2009-12-05,81
2009-12-06 - 2009-12-12,80
2009-12-13 - 2009-12-19,76
2009-12-20 - 2009-12-26,68
2009-12-27 - 2010-01-02,59
2010-01-03 - 2010-01-09,55
2010-01-10 - 2010-01-16,55
2010-01-17 - 2010-01-23,56
2010-01-24 - 2010-01-30,56
2010-01-31 - 2010-02-06,58
2010-02-07 - 2010-02-13,57
2010-02-14 - 2010-02-20,56
2010-02-21 - 2010-02-27,57
2010-02-28 - 2010-03-06,56
2010-03-07 - 2010-03-13,57
2010-03-14 - 2010-03-20,55
2010-03-21 - 2010-03-27,56
2010-03-28 - 2010-04-03,57
2010-04-04 - 2010-04-10,57
2010-04-11 - 2010-04-17,56
2010-04-18 - 2010-04-24,55
2010-04-25 - 2010-05-01,55
2010-05-02 - 2010-05-08,53
2010-05-09 - 2010-05-15,52
2010-05-16 - 2010-05-22,52
2010-05-23 - 2010-05-29,53
2010-05-30 - 2010-06-05,54
2010-06-06 - 2010-06-12,53
2010-06-13 - 2010-06-19,52
2010-06-20 - 2010-06-26,52
2010-06-27 - 2010-07-03,52
2010-07-04 - 2010-07-10,54
2010-07-11 - 2010-07-17,55
2010-07-18 - 2010-07-24,54
2010-07-25 - 2010-07-31,55
2010-08-01 - 2010-08-07,55
2010-08-08 - 2010-08-14,54
2010-08-15 - 2010-08-21,56
2010-08-22 - 2010-08-28,56
2010-08-29 - 2010-09-04,54
2010-09-05 - 2010-09-11,55
2010-09-12 - 2010-09-18,58
2010-09-19 - 2010-09-25,58
2010-09-26 - 2010-10-02,59
2010-10-03 - 2010-10-09,60
2010-10-10 - 2010-10-16,60
2010-10-17 - 2010-10-23,62
2010-10-24 - 2010-10-30,64
2010-10-31 - 2010-11-06,68
2010-11-07 - 2010-11-13,71
2010-11-14 - 2010-11-20,76
2010-11-21 - 2010-11-27,85
2010-11-28 - 2010-12-04,86
2010-12-05 - 2010-12-11,83
2010-12-12 - 2010-12-18,83
2010-12-19 - 2010-12-25,78
2010-12-26 - 2011-01-01,62
2011-01-02 - 2011-01-08,61
2011-01-09 - 2011-01-15,61
2011-01-16 - 2011-01-22,61
2011-01-23 - 2011-01-29,63
2011-01-30 - 2011-02-05,64
2011-02-06 - 2011-02-12,63
2011-02-13 - 2011-02-19,63
2011-02-20 - 2011-02-26,61
2011-02-27 - 2011-03-05,61
2011-03-06 - 2011-03-12,59
2011-03-13 - 2011-03-19,57
2011-03-20 - 2011-03-26,59
2011-03-27 - 2011-04-02,59
2011-04-03 - 2011-04-09,60
2011-04-10 - 2011-04-16,62
2011-04-17 - 2011-04-23,62
2011-04-24 - 2011-04-30,57
2011-05-01 - 2011-05-07,57
2011-05-08 - 2011-05-14,58
2011-05-15 - 2011-05-21,58
2011-05-22 - 2011-05-28,59
2011-05-29 - 2011-06-04,60
2011-06-05 - 2011-06-11,59
2011-06-12 - 2011-06-18,60
2011-06-19 - 2011-06-25,61
2011-06-26 - 2011-07-02,59
2011-07-03 - 2011-07-09,60
2011-07-10 - 2011-07-16,61
2011-07-17 - 2011-07-23,62
2011-07-24 - 2011-07-30,62
2011-07-31 - 2011-08-06,61
2011-08-07 - 2011-08-13,60
2011-08-14 - 2011-08-20,62
2011-08-21 - 2011-08-27,62
2011-08-28 - 2011-09-03,62
2011-09-04 - 2011-09-10,62
2011-09-11 - 2011-09-17,64
2011-09-18 - 2011-09-24,66
2011-09-25 - 2011-10-01,65
2011-10-02 - 2011-10-08,66
2011-10-09 - 2011-10-15,66
2011-10-16 - 2011-10-22,68
2011-10-23 - 2011-10-29,69
2011-10-30 - 2011-11-05,77
2011-11-06 - 2011-11-12,78
2011-11-13 - 2011-11-19,81
2011-11-20 - 2011-11-26,93
2011-11-27 - 2011-12-03,90
2011-12-04 - 2011-12-10,88
2011-12-11 - 2011-12-17,89
2011-12-18 - 2011-12-24,87
2011-12-25 - 2011-12-31,70
2012-01-01 - 2012-01-07,68
2012-01-08 - 2012-01-14,67
2012-01-15 - 2012-01-21,71
2012-01-22 - 2012-01-28,71
2012-01-29 - 2012-02-04,70
2012-02-05 - 2012-02-11,70
2012-02-12 - 2012-02-18,69
2012-02-19 - 2012-02-25,70
2012-02-26 - 2012-03-03,68
2012-03-04 - 2012-03-10,68
2012-03-11 - 2012-03-17,66
2012-03-18 - 2012-03-24,69
2012-03-25 - 2012-03-31,67
2012-04-01 - 2012-04-07,67
2012-04-08 - 2012-04-14,65
2012-04-15 - 2012-04-21,65
2012-04-22 - 2012-04-28,66
2012-04-29 - 2012-05-05,63
2012-05-06 - 2012-05-12,62
2012-05-13 - 2012-05-19,62
2012-05-20 - 2012-05-26,65
2012-05-27 - 2012-06-02,64
2012-06-03 - 2012-06-09,65
2012-06-10 - 2012-06-16,62
2012-06-17 - 2012-06-23,63
2012-06-24 - 2012-06-30,64
2012-07-01 - 2012-07-07,63
2012-07-08 - 2012-07-14,65
2012-07-15 - 2012-07-21,64
2012-07-22 - 2012-07-28,64
2012-07-29 - 2012-08-04,62
2012-08-05 - 2012-08-11,63
2012-08-12 - 2012-08-18,66
2012-08-19 - 2012-08-25,64
2012-08-26 - 2012-09-01,66
2012-09-02 - 2012-09-08,66
2012-09-09 - 2012-09-15,66
2012-09-16 - 2012-09-22,65
2012-09-23 - 2012-09-29,66
2012-09-30 - 2012-10-06,66
2012-10-07 - 2012-10-13,67
2012-10-14 - 2012-10-20,66
2012-10-21 - 2012-10-27,73
2012-10-28 - 2012-11-03,69
2012-11-04 - 2012-11-10,73
2012-11-11 - 2012-11-17,78
2012-11-18 - 2012-11-24,92
2012-11-25 - 2012-12-01,92
2012-12-02 - 2012-12-08,87
2012-12-09 - 2012-12-15,86
2012-12-16 - 2012-12-22,86
2012-12-23 - 2012-12-29,73
2012-12-30 - 2013-01-05,65
2013-01-06 - 2013-01-12,64
2013-01-13 - 2013-01-19,64
2013-01-20 - 2013-01-26,65
2013-01-27 - 2013-02-02,65
2013-02-03 - 2013-02-09,65
2013-02-10 - 2013-02-16,65
2013-02-17 - 2013-02-23,65
2013-02-24 - 2013-03-02,65
2013-03-03 - 2013-03-09,64
2013-03-10 - 2013-03-16,63
2013-03-17 - 2013-03-23,64
2013-03-24 - 2013-03-30,64
2013-03-31 - 2013-04-06,64
2013-04-07 - 2013-04-13,64
2013-04-14 - 2013-04-20,64
2013-04-21 - 2013-04-27,62
2013-04-28 - 2013-05-04,63
2013-05-05 - 2013-05-11,62
2013-05-12 - 2013-05-18,59
2013-05-19 - 2013-05-25,60
2013-05-26 - 2013-06-01,61
2013-06-02 - 2013-06-08,61
2013-06-09 - 2013-06-15,60
2013-06-16 - 2013-06-22,60
2013-06-23 - 2013-06-29,61
2013-06-30 - 2013-07-06,62
2013-07-07 - 2013-07-13,63
2013-07-14 - 2013-07-20,62
2013-07-21 - 2013-07-27,64
2013-07-28 - 2013-08-03,63
2013-08-04 - 2013-08-10,62
2013-08-11 - 2013-08-17,62
2013-08-18 - 2013-08-24,61
2013-08-25 - 2013-08-31,60
2013-09-01 - 2013-09-07,63
2013-09-08 - 2013-09-14,63
2013-09-15 - 2013-09-21,62
2013-09-22 - 2013-09-28,62
2013-09-29 - 2013-10-05,64
2013-10-06 - 2013-10-12,64
2013-10-13 - 2013-10-19,66
2013-10-20 - 2013-10-26,68
2013-10-27 - 2013-11-02,71
2013-11-03 - 2013-11-09,75
2013-11-10 - 2013-11-16,79
2013-11-17 - 2013-11-23,84
2013-11-24 - 2013-11-30,95
2013-12-01 - 2013-12-07,96
2013-12-08 - 2013-12-14,100
2013-12-15 - 2013-12-21,95
2013-12-22 - 2013-12-28,82
2013-12-29 - 2014-01-04,68
2014-01-05 - 2014-01-11,66
2014-01-12 - 2014-01-18,67
2014-01-19 - 2014-01-25,65
2014-01-26 - 2014-02-01,67
2014-02-02 - 2014-02-08,68
2014-02-09 - 2014-02-15,66
2014-02-16 - 2014-02-22,66
2014-02-23 - 2014-03-01,66
2014-03-02 - 2014-03-08,67
2014-03-09 - 2014-03-15,67
2014-03-16 - 2014-03-22,65
2014-03-23 - 2014-03-29,66
2014-03-30 - 2014-04-05,65
2014-04-06 - 2014-04-12,67
2014-04-13 - 2014-04-19,67
2014-04-20 - 2014-04-26,65
2014-04-27 - 2014-05-03,64
2014-05-04 - 2014-05-10,64
2014-05-11 - 2014-05-17,64
2014-05-18 - 2014-05-24,64
2014-05-25 - 2014-05-31,62
2014-06-01 - 2014-06-07,64
2014-06-08 - 2014-06-14,62
2014-06-15 - 2014-06-21,61
2014-06-22 - 2014-06-28,64
2014-06-29 - 2014-07-05,63
2014-07-06 - 2014-07-12,64
2014-07-13 - 2014-07-19,64
2014-07-20 - 2014-07-26,66
2014-07-27 - 2014-08-02,66
2014-08-03 - 2014-08-09,64
2014-08-10 - 2014-08-16,63
2014-08-17 - 2014-08-23,63
2014-08-24 - 2014-08-30,62
2014-08-31 - 2014-09-06,63
2014-09-07 - 2014-09-13,63
2014-09-14 - 2014-09-20,63
2014-09-21 - 2014-09-27,63
2014-09-28 - 2014-10-04,67
2014-10-05 - 2014-10-11,65
2014-10-12 - 2014-10-18,65
2014-10-19 - 2014-10-25,67
2014-10-26 - 2014-11-01,68
2014-11-02 - 2014-11-08,73
2014-11-09 - 2014-11-15,76
2014-11-16 - 2014-11-22,80
2014-11-23 - 2014-11-29,90
2014-11-30 - 2014-12-06,87
2014-12-07 - 2014-12-13,85
2014-12-14 - 2014-12-20,85
2014-12-21 - 2014-12-27,78
2014-12-28 - 2015-01-03,64
2015-01-04 - 2015-01-10,61
2015-01-11 - 2015-01-17,64
2015-01-18 - 2015-01-24,65
2015-01-25 - 2015-01-31,66
2015-02-01 - 2015-02-07,66
2015-02-08 - 2015-02-14,66
2015-02-15 - 2015-02-21,68
2015-02-22 - 2015-02-28,64
2015-03-01 - 2015-03-07,67
2015-03-08 - 2015-03-14,65
2015-03-15 - 2015-03-21,64
2015-03-22 - 2015-03-28,65
2015-03-29 - 2015-04-04,65
2015-04-05 - 2015-04-11,66
2015-04-12 - 2015-04-18,66
2015-04-19 - 2015-04-25,64
2015-04-26 - 2015-05-02,64
2015-05-03 - 2015-05-09,61
2015-05-10 - 2015-05-16,62
2015-05-17 - 2015-05-23,62
2015-05-24 - 2015-05-30,62
2015-05-31 - 2015-06-06,63
2015-06-07 - 2015-06-13,62
2015-06-14 - 2015-06-20,63
2015-06-21 - 2015-06-27,64
2015-06-28 - 2015-07-04,63
2015-07-05 - 2015-07-11,62
2015-07-12 - 2015-07-18,63
2015-07-19 - 2015-07-25,63
2015-07-26 - 2015-08-01,63
2015-08-02 - 2015-08-08,64
2015-08-09 - 2015-08-15,64
2015-08-16 - 2015-08-22,63
2015-08-23 - 2015-08-29,64
2015-08-30 - 2015-09-05,63
2015-09-06 - 2015-09-12,65
2015-09-13 - 2015-09-19,64
2015-09-20 - 2015-09-26,64
2015-09-27 - 2015-10-03,64
2015-10-04 - 2015-10-10,65
2015-10-11 - 2015-10-17,65
2015-10-18 - 2015-10-24,67
2015-10-25 - 2015-10-31,68
2015-11-01 - 2015-11-07,70
2015-11-08 - 2015-11-14,71
2015-11-15 - 2015-11-21,74
2015-11-22 - 2015-11-28,88
2015-11-29 - 2015-12-05,84
2015-12-06 - 2015-12-12,83
2015-12-13 - 2015-12-19,86
2015-12-20 - 2015-12-26,83
2015-12-27 - 2016-01-02,67
2016-01-03 - 2016-01-09,65
2016-01-10 - 2016-01-16,63
2016-01-17 - 2016-01-23,67
2016-01-24 - 2016-01-30,68
2016-01-31 - 2016-02-06,67
2016-02-07 - 2016-02-13,66
2016-02-14 - 2016-02-20,69
2016-02-21 - 2016-02-27,64
2016-02-28 - 2016-03-05,65
2016-03-06 - 2016-03-12,65
2016-03-13 - 2016-03-19,63
2016-03-20 - 2016-03-26,64
2016-03-27 - 2016-04-02,64
2016-04-03 - 2016-04-09,64
2016-04-10 - 2016-04-16,65
2016-04-17 - 2016-04-23,65
2016-04-24 - 2016-04-30,74


Top regions for r
Region,r
Canada,100
United States,97
United Kingdom,87
India,84
South Africa,73
Puerto Rico,72
Bangladesh,71
Australia,69
Japan,59
Thailand,56
New Zealand,53
France,52
Pakistan,52
Germany,51
Singapore,51
Austria,51
Indonesia,51
Philippines,49
Nigeria,49
Denmark,48
Portugal,48
Switzerland,47
Bolivia,46
United Arab Emirates,45
Ireland,44
Spain,43
Netherlands,42
Poland,41
Norway,41
Hong Kong,40
Finland,40
Brazil,39
Sweden,38
Malaysia,36
Czech Republic,36
Slovakia,35
Algeria,35
South Korea,35
Italy,34
Belgium,32
Ecuador,32
Mexico,31
Colombia,30
Romania,30
Chile,30
Argentina,29
Hungary,28
Peru,28
Croatia,27
Morocco,27
Taiwan,26
Serbia,26
Venezuela,24
Ukraine,24
Greece,23
Bulgaria,23
Russia,23
Turkey,23
China,21
Israel,20
Iran,17
Saudi Arabia,17
Vietnam,15
Egypt,15


Top cities for r
City,r
Philadelphia (United States),100
New York (United States),99
Houston (United States),89
Chicago (United States),89
Atlanta (United States),88
Toronto (Canada),87
Dallas (United States),83
Bangalore (India),83
Washington (United States),83
Los Angeles (United States),82
Mumbai (India),80
Pune (India),80
San Francisco (United States),73
New Delhi (India),73
Montreal (Canada),73



Top searches for r
toys r us,100
babies r us,40
d r,10
baby r us,10
r kelly,10
target,10
type r,10
walmart,5
toy r us,5
honda,5
rated r,5
kids r kids,5
golf r,5
หนัง r,5
heavy r,5
r 7,5
argos,5
civic type r,5
big r,5
wagon r,5
r rajkumar,0
dvd r,0
r and b,0
r news,0
babys r us,0
ワゴン r,0
r studio,0
r & b,0
kmart,0
buy buy baby,0
u of r,0
a r rahman,0
agera r,0
smyths,0
j and r,0
toysrus,0
mothercare,0
r squared,0
imagine r,0
asda,0
ดู หนัง r,0
mundo r,0
koenigsegg agera r,0
r rajkumar songs,0
r project,0
integra type r,0



Rising searches for r
heavy r,+3,500%
หนัง r,+1,800%
golf r,+250%
r 7,+200%
wagon r,+190%
rated r,+100%
walmart,+70%
argos,+50%
target,+40%



