Web Search interest: nrg
Worldwide 2004 - present

Interest over time
Week,nrg
2007-08-12 - 2007-08-18,81
2007-08-19 - 2007-08-25,79
2007-08-26 - 2007-09-01,80
2007-09-02 - 2007-09-08,81
2007-09-09 - 2007-09-15,78
2007-09-16 - 2007-09-22,84
2007-09-23 - 2007-09-29,83
2007-09-30 - 2007-10-06,80
2007-10-07 - 2007-10-13,77
2007-10-14 - 2007-10-20,79
2007-10-21 - 2007-10-27,76
2007-10-28 - 2007-11-03,80
2007-11-04 - 2007-11-10,80
2007-11-11 - 2007-11-17,78
2007-11-18 - 2007-11-24,88
2007-11-25 - 2007-12-01,81
2007-12-02 - 2007-12-08,80
2007-12-09 - 2007-12-15,78
2007-12-16 - 2007-12-22,77
2007-12-23 - 2007-12-29,86
2007-12-30 - 2008-01-05,79
2008-01-06 - 2008-01-12,81
2008-01-13 - 2008-01-19,79
2008-01-20 - 2008-01-26,81
2008-01-27 - 2008-02-02,83
2008-02-03 - 2008-02-09,90
2008-02-10 - 2008-02-16,90
2008-02-17 - 2008-02-23,85
2008-02-24 - 2008-03-01,93
2008-03-02 - 2008-03-08,89
2008-03-09 - 2008-03-15,80
2008-03-16 - 2008-03-22,81
2008-03-23 - 2008-03-29,82
2008-03-30 - 2008-04-05,76
2008-04-06 - 2008-04-12,77
2008-04-13 - 2008-04-19,79
2008-04-20 - 2008-04-26,77
2008-04-27 - 2008-05-03,81
2008-05-04 - 2008-05-10,75
2008-05-11 - 2008-05-17,82
2008-05-18 - 2008-05-24,81
2008-05-25 - 2008-05-31,83
2008-06-01 - 2008-06-07,77
2008-06-08 - 2008-06-14,75
2008-06-15 - 2008-06-21,79
2008-06-22 - 2008-06-28,82
2008-06-29 - 2008-07-05,79
2008-07-06 - 2008-07-12,81
2008-07-13 - 2008-07-19,79
2008-07-20 - 2008-07-26,80
2008-07-27 - 2008-08-02,81
2008-08-03 - 2008-08-09,79
2008-08-10 - 2008-08-16,77
2008-08-17 - 2008-08-23,76
2008-08-24 - 2008-08-30,79
2008-08-31 - 2008-09-06,78
2008-09-07 - 2008-09-13,79
2008-09-14 - 2008-09-20,75
2008-09-21 - 2008-09-27,78
2008-09-28 - 2008-10-04,76
2008-10-05 - 2008-10-11,71
2008-10-12 - 2008-10-18,75
2008-10-19 - 2008-10-25,87
2008-10-26 - 2008-11-01,76
2008-11-02 - 2008-11-08,72
2008-11-09 - 2008-11-15,81
2008-11-16 - 2008-11-22,74
2008-11-23 - 2008-11-29,70
2008-11-30 - 2008-12-06,69
2008-12-07 - 2008-12-13,69
2008-12-14 - 2008-12-20,72
2008-12-21 - 2008-12-27,82
2008-12-28 - 2009-01-03,86
2009-01-04 - 2009-01-10,86
2009-01-11 - 2009-01-17,77
2009-01-18 - 2009-01-24,71
2009-01-25 - 2009-01-31,74
2009-02-01 - 2009-02-07,78
2009-02-08 - 2009-02-14,83
2009-02-15 - 2009-02-21,77
2009-02-22 - 2009-02-28,76
2009-03-01 - 2009-03-07,76
2009-03-08 - 2009-03-14,73
2009-03-15 - 2009-03-21,74
2009-03-22 - 2009-03-28,74
2009-03-29 - 2009-04-04,73
2009-04-05 - 2009-04-11,73
2009-04-12 - 2009-04-18,70
2009-04-19 - 2009-04-25,75
2009-04-26 - 2009-05-02,70
2009-05-03 - 2009-05-09,72
2009-05-10 - 2009-05-16,73
2009-05-17 - 2009-05-23,73
2009-05-24 - 2009-05-30,68
2009-05-31 - 2009-06-06,73
2009-06-07 - 2009-06-13,73
2009-06-14 - 2009-06-20,74
2009-06-21 - 2009-06-27,73
2009-06-28 - 2009-07-04,76
2009-07-05 - 2009-07-11,75
2009-07-12 - 2009-07-18,76
2009-07-19 - 2009-07-25,76
2009-07-26 - 2009-08-01,71
2009-08-02 - 2009-08-08,77
2009-08-09 - 2009-08-15,74
2009-08-16 - 2009-08-22,70
2009-08-23 - 2009-08-29,73
2009-08-30 - 2009-09-05,70
2009-09-06 - 2009-09-12,70
2009-09-13 - 2009-09-19,71
2009-09-20 - 2009-09-26,70
2009-09-27 - 2009-10-03,68
2009-10-04 - 2009-10-10,66
2009-10-11 - 2009-10-17,66
2009-10-18 - 2009-10-24,67
2009-10-25 - 2009-10-31,65
2009-11-01 - 2009-11-07,67
2009-11-08 - 2009-11-14,64
2009-11-15 - 2009-11-21,66
2009-11-22 - 2009-11-28,64
2009-11-29 - 2009-12-05,61
2009-12-06 - 2009-12-12,62
2009-12-13 - 2009-12-19,61
2009-12-20 - 2009-12-26,66
2009-12-27 - 2010-01-02,76
2010-01-03 - 2010-01-09,68
2010-01-10 - 2010-01-16,65
2010-01-17 - 2010-01-23,67
2010-01-24 - 2010-01-30,65
2010-01-31 - 2010-02-06,65
2010-02-07 - 2010-02-13,64
2010-02-14 - 2010-02-20,65
2010-02-21 - 2010-02-27,62
2010-02-28 - 2010-03-06,65
2010-03-07 - 2010-03-13,64
2010-03-14 - 2010-03-20,63
2010-03-21 - 2010-03-27,64
2010-03-28 - 2010-04-03,67
2010-04-04 - 2010-04-10,67
2010-04-11 - 2010-04-17,68
2010-04-18 - 2010-04-24,66
2010-04-25 - 2010-05-01,66
2010-05-02 - 2010-05-08,63
2010-05-09 - 2010-05-15,65
2010-05-16 - 2010-05-22,62
2010-05-23 - 2010-05-29,70
2010-05-30 - 2010-06-05,70
2010-06-06 - 2010-06-12,66
2010-06-13 - 2010-06-19,68
2010-06-20 - 2010-06-26,65
2010-06-27 - 2010-07-03,63
2010-07-04 - 2010-07-10,63
2010-07-11 - 2010-07-17,65
2010-07-18 - 2010-07-24,63
2010-07-25 - 2010-07-31,62
2010-08-01 - 2010-08-07,63
2010-08-08 - 2010-08-14,63
2010-08-15 - 2010-08-21,60
2010-08-22 - 2010-08-28,60
2010-08-29 - 2010-09-04,59
2010-09-05 - 2010-09-11,59
2010-09-12 - 2010-09-18,59
2010-09-19 - 2010-09-25,56
2010-09-26 - 2010-10-02,58
2010-10-03 - 2010-10-09,59
2010-10-10 - 2010-10-16,59
2010-10-17 - 2010-10-23,55
2010-10-24 - 2010-10-30,55
2010-10-31 - 2010-11-06,58
2010-11-07 - 2010-11-13,54
2010-11-14 - 2010-11-20,54
2010-11-21 - 2010-11-27,51
2010-11-28 - 2010-12-04,55
2010-12-05 - 2010-12-11,53
2010-12-12 - 2010-12-18,53
2010-12-19 - 2010-12-25,54
2010-12-26 - 2011-01-01,58
2011-01-02 - 2011-01-08,56
2011-01-09 - 2011-01-15,54
2011-01-16 - 2011-01-22,55
2011-01-23 - 2011-01-29,57
2011-01-30 - 2011-02-05,56
2011-02-06 - 2011-02-12,58
2011-02-13 - 2011-02-19,55
2011-02-20 - 2011-02-26,55
2011-02-27 - 2011-03-05,60
2011-03-06 - 2011-03-12,58
2011-03-13 - 2011-03-19,58
2011-03-20 - 2011-03-26,59
2011-03-27 - 2011-04-02,58
2011-04-03 - 2011-04-09,55
2011-04-10 - 2011-04-16,56
2011-04-17 - 2011-04-23,56
2011-04-24 - 2011-04-30,54
2011-05-01 - 2011-05-07,54
2011-05-08 - 2011-05-14,54
2011-05-15 - 2011-05-21,54
2011-05-22 - 2011-05-28,53
2011-05-29 - 2011-06-04,54
2011-06-05 - 2011-06-11,53
2011-06-12 - 2011-06-18,56
2011-06-19 - 2011-06-25,55
2011-06-26 - 2011-07-02,53
2011-07-03 - 2011-07-09,53
2011-07-10 - 2011-07-16,56
2011-07-17 - 2011-07-23,56
2011-07-24 - 2011-07-30,56
2011-07-31 - 2011-08-06,55
2011-08-07 - 2011-08-13,57
2011-08-14 - 2011-08-20,60
2011-08-21 - 2011-08-27,57
2011-08-28 - 2011-09-03,55
2011-09-04 - 2011-09-10,53
2011-09-11 - 2011-09-17,53
2011-09-18 - 2011-09-24,54
2011-09-25 - 2011-10-01,52
2011-10-02 - 2011-10-08,52
2011-10-09 - 2011-10-15,52
2011-10-16 - 2011-10-22,52
2011-10-23 - 2011-10-29,50
2011-10-30 - 2011-11-05,49
2011-11-06 - 2011-11-12,49
2011-11-13 - 2011-11-19,48
2011-11-20 - 2011-11-26,47
2011-11-27 - 2011-12-03,48
2011-12-04 - 2011-12-10,46
2011-12-11 - 2011-12-17,46
2011-12-18 - 2011-12-24,46
2011-12-25 - 2011-12-31,45
2012-01-01 - 2012-01-07,49
2012-01-08 - 2012-01-14,46
2012-01-15 - 2012-01-21,46
2012-01-22 - 2012-01-28,46
2012-01-29 - 2012-02-04,46
2012-02-05 - 2012-02-11,46
2012-02-12 - 2012-02-18,45
2012-02-19 - 2012-02-25,47
2012-02-26 - 2012-03-03,48
2012-03-04 - 2012-03-10,48
2012-03-11 - 2012-03-17,47
2012-03-18 - 2012-03-24,47
2012-03-25 - 2012-03-31,47
2012-04-01 - 2012-04-07,47
2012-04-08 - 2012-04-14,47
2012-04-15 - 2012-04-21,47
2012-04-22 - 2012-04-28,46
2012-04-29 - 2012-05-05,47
2012-05-06 - 2012-05-12,47
2012-05-13 - 2012-05-19,48
2012-05-20 - 2012-05-26,47
2012-05-27 - 2012-06-02,46
2012-06-03 - 2012-06-09,48
2012-06-10 - 2012-06-16,46
2012-06-17 - 2012-06-23,48
2012-06-24 - 2012-06-30,47
2012-07-01 - 2012-07-07,48
2012-07-08 - 2012-07-14,48
2012-07-15 - 2012-07-21,51
2012-07-22 - 2012-07-28,52
2012-07-29 - 2012-08-04,48
2012-08-05 - 2012-08-11,47
2012-08-12 - 2012-08-18,47
2012-08-19 - 2012-08-25,48
2012-08-26 - 2012-09-01,47
2012-09-02 - 2012-09-08,46
2012-09-09 - 2012-09-15,46
2012-09-16 - 2012-09-22,46
2012-09-23 - 2012-09-29,44
2012-09-30 - 2012-10-06,43
2012-10-07 - 2012-10-13,44
2012-10-14 - 2012-10-20,46
2012-10-21 - 2012-10-27,47
2012-10-28 - 2012-11-03,45
2012-11-04 - 2012-11-10,43
2012-11-11 - 2012-11-17,47
2012-11-18 - 2012-11-24,48
2012-11-25 - 2012-12-01,42
2012-12-02 - 2012-12-08,42
2012-12-09 - 2012-12-15,42
2012-12-16 - 2012-12-22,41
2012-12-23 - 2012-12-29,41
2012-12-30 - 2013-01-05,39
2013-01-06 - 2013-01-12,41
2013-01-13 - 2013-01-19,41
2013-01-20 - 2013-01-26,43
2013-01-27 - 2013-02-02,42
2013-02-03 - 2013-02-09,40
2013-02-10 - 2013-02-16,39
2013-02-17 - 2013-02-23,40
2013-02-24 - 2013-03-02,40
2013-03-03 - 2013-03-09,45
2013-03-10 - 2013-03-16,42
2013-03-17 - 2013-03-23,41
2013-03-24 - 2013-03-30,40
2013-03-31 - 2013-04-06,40
2013-04-07 - 2013-04-13,43
2013-04-14 - 2013-04-20,42
2013-04-21 - 2013-04-27,41
2013-04-28 - 2013-05-04,41
2013-05-05 - 2013-05-11,40
2013-05-12 - 2013-05-18,39
2013-05-19 - 2013-05-25,38
2013-05-26 - 2013-06-01,38
2013-06-02 - 2013-06-08,39
2013-06-09 - 2013-06-15,38
2013-06-16 - 2013-06-22,39
2013-06-23 - 2013-06-29,40
2013-06-30 - 2013-07-06,39
2013-07-07 - 2013-07-13,39
2013-07-14 - 2013-07-20,40
2013-07-21 - 2013-07-27,38
2013-07-28 - 2013-08-03,37
2013-08-04 - 2013-08-10,38
2013-08-11 - 2013-08-17,37
2013-08-18 - 2013-08-24,38
2013-08-25 - 2013-08-31,39
2013-09-01 - 2013-09-07,37
2013-09-08 - 2013-09-14,40
2013-09-15 - 2013-09-21,36
2013-09-22 - 2013-09-28,35
2013-09-29 - 2013-10-05,36
2013-10-06 - 2013-10-12,36
2013-10-13 - 2013-10-19,35
2013-10-20 - 2013-10-26,36
2013-10-27 - 2013-11-02,35
2013-11-03 - 2013-11-09,34
2013-11-10 - 2013-11-16,35
2013-11-17 - 2013-11-23,35
2013-11-24 - 2013-11-30,36
2013-12-01 - 2013-12-07,33
2013-12-08 - 2013-12-14,35
2013-12-15 - 2013-12-21,33
2013-12-22 - 2013-12-28,34
2013-12-29 - 2014-01-04,35
2014-01-05 - 2014-01-11,37
2014-01-12 - 2014-01-18,35
2014-01-19 - 2014-01-25,34
2014-01-26 - 2014-02-01,36
2014-02-02 - 2014-02-08,37
2014-02-09 - 2014-02-15,36
2014-02-16 - 2014-02-22,58
2014-02-23 - 2014-03-01,47
2014-03-02 - 2014-03-08,42
2014-03-09 - 2014-03-15,43
2014-03-16 - 2014-03-22,41
2014-03-23 - 2014-03-29,40
2014-03-30 - 2014-04-05,42
2014-04-06 - 2014-04-12,40
2014-04-13 - 2014-04-19,37
2014-04-20 - 2014-04-26,38
2014-04-27 - 2014-05-03,40
2014-05-04 - 2014-05-10,38
2014-05-11 - 2014-05-17,38
2014-05-18 - 2014-05-24,39
2014-05-25 - 2014-05-31,36
2014-06-01 - 2014-06-07,38
2014-06-08 - 2014-06-14,41
2014-06-15 - 2014-06-21,40
2014-06-22 - 2014-06-28,41
2014-06-29 - 2014-07-05,42
2014-07-06 - 2014-07-12,45
2014-07-13 - 2014-07-19,47
2014-07-20 - 2014-07-26,51
2014-07-27 - 2014-08-02,49
2014-08-03 - 2014-08-09,49
2014-08-10 - 2014-08-16,44
2014-08-17 - 2014-08-23,48
2014-08-24 - 2014-08-30,48
2014-08-31 - 2014-09-06,43
2014-09-07 - 2014-09-13,41
2014-09-14 - 2014-09-20,40
2014-09-21 - 2014-09-27,38
2014-09-28 - 2014-10-04,42
2014-10-05 - 2014-10-11,42
2014-10-12 - 2014-10-18,37
2014-10-19 - 2014-10-25,37
2014-10-26 - 2014-11-01,38
2014-11-02 - 2014-11-08,40
2014-11-09 - 2014-11-15,40
2014-11-16 - 2014-11-22,39
2014-11-23 - 2014-11-29,37
2014-11-30 - 2014-12-06,41
2014-12-07 - 2014-12-13,41
2014-12-14 - 2014-12-20,36
2014-12-21 - 2014-12-27,37
2014-12-28 - 2015-01-03,47
2015-01-04 - 2015-01-10,38
2015-01-11 - 2015-01-17,43
2015-01-18 - 2015-01-24,44
2015-01-25 - 2015-01-31,45
2015-02-01 - 2015-02-07,45
2015-02-08 - 2015-02-14,44
2015-02-15 - 2015-02-21,45
2015-02-22 - 2015-02-28,49
2015-03-01 - 2015-03-07,55
2015-03-08 - 2015-03-14,54
2015-03-15 - 2015-03-21,56
2015-03-22 - 2015-03-28,59
2015-03-29 - 2015-04-04,49
2015-04-05 - 2015-04-11,42
2015-04-12 - 2015-04-18,45
2015-04-19 - 2015-04-25,42
2015-04-26 - 2015-05-02,40
2015-05-03 - 2015-05-09,41
2015-05-10 - 2015-05-16,38
2015-05-17 - 2015-05-23,39
2015-05-24 - 2015-05-30,36
2015-05-31 - 2015-06-06,40
2015-06-07 - 2015-06-13,40
2015-06-14 - 2015-06-20,37
2015-06-21 - 2015-06-27,38
2015-06-28 - 2015-07-04,42
2015-07-05 - 2015-07-11,38
2015-07-12 - 2015-07-18,41
2015-07-19 - 2015-07-25,42
2015-07-26 - 2015-08-01,37
2015-08-02 - 2015-08-08,39
2015-08-09 - 2015-08-15,40
2015-08-16 - 2015-08-22,40
2015-08-23 - 2015-08-29,39
2015-08-30 - 2015-09-05,44
2015-09-06 - 2015-09-12,39
2015-09-13 - 2015-09-19,37
2015-09-20 - 2015-09-26,38
2015-09-27 - 2015-10-03,40
2015-10-04 - 2015-10-10,43
2015-10-11 - 2015-10-17,38
2015-10-18 - 2015-10-24,36
2015-10-25 - 2015-10-31,35
2015-11-01 - 2015-11-07,36
2015-11-08 - 2015-11-14,36
2015-11-15 - 2015-11-21,39
2015-11-22 - 2015-11-28,35
2015-11-29 - 2015-12-05,38
2015-12-06 - 2015-12-12,39
2015-12-13 - 2015-12-19,44
2015-12-20 - 2015-12-26,33
2015-12-27 - 2016-01-02,42
2016-01-03 - 2016-01-09,51
2016-01-10 - 2016-01-16,42
2016-01-17 - 2016-01-23,44
2016-01-24 - 2016-01-30,43
2016-01-31 - 2016-02-06,42
2016-02-07 - 2016-02-13,43
2016-02-14 - 2016-02-20,39
2016-02-21 - 2016-02-27,42
2016-02-28 - 2016-03-05,45
2016-03-06 - 2016-03-12,44
2016-03-13 - 2016-03-19,46
2016-03-20 - 2016-03-26,43
2016-03-27 - 2016-04-02,60
2016-04-03 - 2016-04-09,68
2016-04-10 - 2016-04-16,39
2016-04-17 - 2016-04-23,38
2016-04-24 - 2016-04-30,42


Top regions for nrg
Region,nrg
Israel,100
Albania,13
Italy,6
Ireland,6
Hungary,5
Indonesia,5
Estonia,4
Greece,4
Netherlands,4
United Kingdom,3
Bulgaria,3
Australia,3
Germany,3
Croatia,3
Serbia,3
Lithuania,3
Switzerland,3
Slovenia,3
Finland,3
United States,3
Belarus,3
Romania,3
Poland,3
Canada,3
Belgium,3
Austria,2
Spain,2
Ukraine,2
Czech Republic,2
Denmark,2
Algeria,2
Norway,2
Sweden,2
South Africa,2
Chile,2
France,2
China,2
Russia,2
Morocco,2
Portugal,2
New Zealand,2
Slovakia,2
Argentina,2
Egypt,2
Hong Kong,2
Thailand,2
South Korea,2
Singapore,1
Mexico,1
United Arab Emirates,1
Taiwan,1
Brazil,1
Philippines,1
Peru,1
India,1
Malaysia,1
Pakistan,1
Vietnam,1
Turkey,1
Colombia,1
Venezuela,1
Iran,1
Japan,1


Top cities for nrg
City,nrg
Jerusalem (Israel),100
Petah Tikva (Israel),73
Haifa (Israel),71
Tel Aviv (Israel),64
Houston (United States),13
Milan (Italy),4
Rome (Italy),4
Dublin (Ireland),3
Amsterdam (Netherlands),3
Frankfurt (Germany),3
Madrid (Spain),2
Los Angeles (United States),2
Jakarta (Indonesia),2
New York (United States),2
London (United Kingdom),2



Top searches for nrg
piaggio nrg,100
piaggio,100
nrg iso,90
nrg file,65
nrg energy,60
nrg stadium,60
nrg power,55
ynet,55
nrg to iso,45
radio nrg,25
hi nrg,25
piaggio nrg power,20
nrg files,20
nrg mc3,15
frankie hi nrg,15
nrg solar,15
nrg band,15
nrg 500,15
nrg guru,15
nrg stadium houston,15
nrg player,15
archivos nrg,15
piaggio nrg 50,15
ultimate nrg,15
.nrg,10
nrg group,10
nrg steering wheel,10
nrg mc2,10
fichier nrg,10
pro nrg,10
archivo nrg,10
piaggio nrg mc3,10
nrg quick release,10
nrg herbalife,10
ngr,10
nrg tuning,10
nrg dance,10
nrg center,10
open nrg file,10
nrg park,10
nrg 900,10
מעריב nrg,10
extension nrg,10
nrg datei,10
nrg sport,10
pure nrg,5
nrg fitness,5
nrg 文件,5
arquivo nrg,5
nrg stadium seating,5



Rising searches for nrg
nrg guru,Breakout
nrg stadium,Breakout
nrg solar,+900%
ynet,+850%
nrg band,+600%
piaggio nrg power,+600%
nrg 500,+300%
nrg power,+200%
nrg energy,+50%



