Web Search interest: luv
Worldwide 2004 - present

Interest over time
Week,luv
2005-09-11 - 2005-09-17,31
2005-09-18 - 2005-09-24,35
2005-09-25 - 2005-10-01,38
2005-10-02 - 2005-10-08,35
2005-10-09 - 2005-10-15,36
2005-10-16 - 2005-10-22,39
2005-10-23 - 2005-10-29,40
2005-10-30 - 2005-11-05,41
2005-11-06 - 2005-11-12,38
2005-11-13 - 2005-11-19,40
2005-11-20 - 2005-11-26,37
2005-11-27 - 2005-12-03,38
2005-12-04 - 2005-12-10,38
2005-12-11 - 2005-12-17,37
2005-12-18 - 2005-12-24,41
2005-12-25 - 2005-12-31,44
2006-01-01 - 2006-01-07,42
2006-01-08 - 2006-01-14,41
2006-01-15 - 2006-01-21,37
2006-01-22 - 2006-01-28,40
2006-01-29 - 2006-02-04,41
2006-02-05 - 2006-02-11,43
2006-02-12 - 2006-02-18,45
2006-02-19 - 2006-02-25,45
2006-02-26 - 2006-03-04,42
2006-03-05 - 2006-03-11,43
2006-03-12 - 2006-03-18,48
2006-03-19 - 2006-03-25,46
2006-03-26 - 2006-04-01,48
2006-04-02 - 2006-04-08,48
2006-04-09 - 2006-04-15,51
2006-04-16 - 2006-04-22,45
2006-04-23 - 2006-04-29,41
2006-04-30 - 2006-05-06,44
2006-05-07 - 2006-05-13,41
2006-05-14 - 2006-05-20,41
2006-05-21 - 2006-05-27,41
2006-05-28 - 2006-06-03,43
2006-06-04 - 2006-06-10,41
2006-06-11 - 2006-06-17,40
2006-06-18 - 2006-06-24,43
2006-06-25 - 2006-07-01,41
2006-07-02 - 2006-07-08,41
2006-07-09 - 2006-07-15,40
2006-07-16 - 2006-07-22,43
2006-07-23 - 2006-07-29,44
2006-07-30 - 2006-08-05,41
2006-08-06 - 2006-08-12,43
2006-08-13 - 2006-08-19,41
2006-08-20 - 2006-08-26,44
2006-08-27 - 2006-09-02,43
2006-09-03 - 2006-09-09,37
2006-09-10 - 2006-09-16,40
2006-09-17 - 2006-09-23,38
2006-09-24 - 2006-09-30,37
2006-10-01 - 2006-10-07,40
2006-10-08 - 2006-10-14,40
2006-10-15 - 2006-10-21,42
2006-10-22 - 2006-10-28,41
2006-10-29 - 2006-11-04,42
2006-11-05 - 2006-11-11,41
2006-11-12 - 2006-11-18,46
2006-11-19 - 2006-11-25,47
2006-11-26 - 2006-12-02,49
2006-12-03 - 2006-12-09,56
2006-12-10 - 2006-12-16,57
2006-12-17 - 2006-12-23,62
2006-12-24 - 2006-12-30,55
2006-12-31 - 2007-01-06,57
2007-01-07 - 2007-01-13,55
2007-01-14 - 2007-01-20,54
2007-01-21 - 2007-01-27,52
2007-01-28 - 2007-02-03,51
2007-02-04 - 2007-02-10,52
2007-02-11 - 2007-02-17,52
2007-02-18 - 2007-02-24,47
2007-02-25 - 2007-03-03,43
2007-03-04 - 2007-03-10,44
2007-03-11 - 2007-03-17,44
2007-03-18 - 2007-03-24,44
2007-03-25 - 2007-03-31,40
2007-04-01 - 2007-04-07,45
2007-04-08 - 2007-04-14,45
2007-04-15 - 2007-04-21,43
2007-04-22 - 2007-04-28,44
2007-04-29 - 2007-05-05,47
2007-05-06 - 2007-05-12,45
2007-05-13 - 2007-05-19,44
2007-05-20 - 2007-05-26,43
2007-05-27 - 2007-06-02,45
2007-06-03 - 2007-06-09,43
2007-06-10 - 2007-06-16,41
2007-06-17 - 2007-06-23,44
2007-06-24 - 2007-06-30,42
2007-07-01 - 2007-07-07,41
2007-07-08 - 2007-07-14,44
2007-07-15 - 2007-07-21,44
2007-07-22 - 2007-07-28,41
2007-07-29 - 2007-08-04,42
2007-08-05 - 2007-08-11,42
2007-08-12 - 2007-08-18,43
2007-08-19 - 2007-08-25,45
2007-08-26 - 2007-09-01,41
2007-09-02 - 2007-09-08,40
2007-09-09 - 2007-09-15,41
2007-09-16 - 2007-09-22,44
2007-09-23 - 2007-09-29,49
2007-09-30 - 2007-10-06,49
2007-10-07 - 2007-10-13,50
2007-10-14 - 2007-10-20,47
2007-10-21 - 2007-10-27,49
2007-10-28 - 2007-11-03,49
2007-11-04 - 2007-11-10,48
2007-11-11 - 2007-11-17,47
2007-11-18 - 2007-11-24,51
2007-11-25 - 2007-12-01,57
2007-12-02 - 2007-12-08,57
2007-12-09 - 2007-12-15,51
2007-12-16 - 2007-12-22,53
2007-12-23 - 2007-12-29,58
2007-12-30 - 2008-01-05,56
2008-01-06 - 2008-01-12,50
2008-01-13 - 2008-01-19,48
2008-01-20 - 2008-01-26,47
2008-01-27 - 2008-02-02,46
2008-02-03 - 2008-02-09,50
2008-02-10 - 2008-02-16,47
2008-02-17 - 2008-02-23,47
2008-02-24 - 2008-03-01,45
2008-03-02 - 2008-03-08,46
2008-03-09 - 2008-03-15,48
2008-03-16 - 2008-03-22,48
2008-03-23 - 2008-03-29,50
2008-03-30 - 2008-04-05,47
2008-04-06 - 2008-04-12,46
2008-04-13 - 2008-04-19,45
2008-04-20 - 2008-04-26,46
2008-04-27 - 2008-05-03,49
2008-05-04 - 2008-05-10,46
2008-05-11 - 2008-05-17,45
2008-05-18 - 2008-05-24,47
2008-05-25 - 2008-05-31,48
2008-06-01 - 2008-06-07,46
2008-06-08 - 2008-06-14,47
2008-06-15 - 2008-06-21,47
2008-06-22 - 2008-06-28,47
2008-06-29 - 2008-07-05,47
2008-07-06 - 2008-07-12,52
2008-07-13 - 2008-07-19,47
2008-07-20 - 2008-07-26,51
2008-07-27 - 2008-08-02,53
2008-08-03 - 2008-08-09,46
2008-08-10 - 2008-08-16,46
2008-08-17 - 2008-08-23,45
2008-08-24 - 2008-08-30,44
2008-08-31 - 2008-09-06,42
2008-09-07 - 2008-09-13,41
2008-09-14 - 2008-09-20,44
2008-09-21 - 2008-09-27,40
2008-09-28 - 2008-10-04,40
2008-10-05 - 2008-10-11,39
2008-10-12 - 2008-10-18,37
2008-10-19 - 2008-10-25,38
2008-10-26 - 2008-11-01,39
2008-11-02 - 2008-11-08,39
2008-11-09 - 2008-11-15,38
2008-11-16 - 2008-11-22,38
2008-11-23 - 2008-11-29,39
2008-11-30 - 2008-12-06,37
2008-12-07 - 2008-12-13,39
2008-12-14 - 2008-12-20,41
2008-12-21 - 2008-12-27,45
2008-12-28 - 2009-01-03,46
2009-01-04 - 2009-01-10,40
2009-01-11 - 2009-01-17,38
2009-01-18 - 2009-01-24,39
2009-01-25 - 2009-01-31,40
2009-02-01 - 2009-02-07,39
2009-02-08 - 2009-02-14,38
2009-02-15 - 2009-02-21,38
2009-02-22 - 2009-02-28,38
2009-03-01 - 2009-03-07,38
2009-03-08 - 2009-03-14,37
2009-03-15 - 2009-03-21,38
2009-03-22 - 2009-03-28,40
2009-03-29 - 2009-04-04,41
2009-04-05 - 2009-04-11,42
2009-04-12 - 2009-04-18,44
2009-04-19 - 2009-04-25,41
2009-04-26 - 2009-05-02,45
2009-05-03 - 2009-05-09,44
2009-05-10 - 2009-05-16,43
2009-05-17 - 2009-05-23,43
2009-05-24 - 2009-05-30,40
2009-05-31 - 2009-06-06,42
2009-06-07 - 2009-06-13,41
2009-06-14 - 2009-06-20,41
2009-06-21 - 2009-06-27,42
2009-06-28 - 2009-07-04,42
2009-07-05 - 2009-07-11,41
2009-07-12 - 2009-07-18,41
2009-07-19 - 2009-07-25,41
2009-07-26 - 2009-08-01,43
2009-08-02 - 2009-08-08,47
2009-08-09 - 2009-08-15,43
2009-08-16 - 2009-08-22,41
2009-08-23 - 2009-08-29,40
2009-08-30 - 2009-09-05,39
2009-09-06 - 2009-09-12,40
2009-09-13 - 2009-09-19,38
2009-09-20 - 2009-09-26,36
2009-09-27 - 2009-10-03,36
2009-10-04 - 2009-10-10,37
2009-10-11 - 2009-10-17,42
2009-10-18 - 2009-10-24,55
2009-10-25 - 2009-10-31,55
2009-11-01 - 2009-11-07,51
2009-11-08 - 2009-11-14,49
2009-11-15 - 2009-11-21,48
2009-11-22 - 2009-11-28,51
2009-11-29 - 2009-12-05,49
2009-12-06 - 2009-12-12,50
2009-12-13 - 2009-12-19,51
2009-12-20 - 2009-12-26,52
2009-12-27 - 2010-01-02,54
2010-01-03 - 2010-01-09,48
2010-01-10 - 2010-01-16,46
2010-01-17 - 2010-01-23,45
2010-01-24 - 2010-01-30,44
2010-01-31 - 2010-02-06,43
2010-02-07 - 2010-02-13,44
2010-02-14 - 2010-02-20,44
2010-02-21 - 2010-02-27,41
2010-02-28 - 2010-03-06,40
2010-03-07 - 2010-03-13,38
2010-03-14 - 2010-03-20,38
2010-03-21 - 2010-03-27,39
2010-03-28 - 2010-04-03,41
2010-04-04 - 2010-04-10,40
2010-04-11 - 2010-04-17,38
2010-04-18 - 2010-04-24,37
2010-04-25 - 2010-05-01,37
2010-05-02 - 2010-05-08,36
2010-05-09 - 2010-05-15,37
2010-05-16 - 2010-05-22,43
2010-05-23 - 2010-05-29,49
2010-05-30 - 2010-06-05,48
2010-06-06 - 2010-06-12,48
2010-06-13 - 2010-06-19,47
2010-06-20 - 2010-06-26,50
2010-06-27 - 2010-07-03,87
2010-07-04 - 2010-07-10,100
2010-07-11 - 2010-07-17,71
2010-07-18 - 2010-07-24,60
2010-07-25 - 2010-07-31,55
2010-08-01 - 2010-08-07,51
2010-08-08 - 2010-08-14,46
2010-08-15 - 2010-08-21,44
2010-08-22 - 2010-08-28,47
2010-08-29 - 2010-09-04,44
2010-09-05 - 2010-09-11,43
2010-09-12 - 2010-09-18,41
2010-09-19 - 2010-09-25,41
2010-09-26 - 2010-10-02,41
2010-10-03 - 2010-10-09,41
2010-10-10 - 2010-10-16,38
2010-10-17 - 2010-10-23,40
2010-10-24 - 2010-10-30,38
2010-10-31 - 2010-11-06,38
2010-11-07 - 2010-11-13,38
2010-11-14 - 2010-11-20,39
2010-11-21 - 2010-11-27,38
2010-11-28 - 2010-12-04,38
2010-12-05 - 2010-12-11,39
2010-12-12 - 2010-12-18,39
2010-12-19 - 2010-12-25,41
2010-12-26 - 2011-01-01,43
2011-01-02 - 2011-01-08,40
2011-01-09 - 2011-01-15,40
2011-01-16 - 2011-01-22,40
2011-01-23 - 2011-01-29,41
2011-01-30 - 2011-02-05,40
2011-02-06 - 2011-02-12,41
2011-02-13 - 2011-02-19,42
2011-02-20 - 2011-02-26,39
2011-02-27 - 2011-03-05,38
2011-03-06 - 2011-03-12,38
2011-03-13 - 2011-03-19,37
2011-03-20 - 2011-03-26,37
2011-03-27 - 2011-04-02,37
2011-04-03 - 2011-04-09,39
2011-04-10 - 2011-04-16,40
2011-04-17 - 2011-04-23,46
2011-04-24 - 2011-04-30,45
2011-05-01 - 2011-05-07,52
2011-05-08 - 2011-05-14,59
2011-05-15 - 2011-05-21,53
2011-05-22 - 2011-05-28,50
2011-05-29 - 2011-06-04,49
2011-06-05 - 2011-06-11,44
2011-06-12 - 2011-06-18,43
2011-06-19 - 2011-06-25,42
2011-06-26 - 2011-07-02,43
2011-07-03 - 2011-07-09,43
2011-07-10 - 2011-07-16,44
2011-07-17 - 2011-07-23,42
2011-07-24 - 2011-07-30,45
2011-07-31 - 2011-08-06,46
2011-08-07 - 2011-08-13,46
2011-08-14 - 2011-08-20,46
2011-08-21 - 2011-08-27,47
2011-08-28 - 2011-09-03,47
2011-09-04 - 2011-09-10,47
2011-09-11 - 2011-09-17,48
2011-09-18 - 2011-09-24,54
2011-09-25 - 2011-10-01,58
2011-10-02 - 2011-10-08,62
2011-10-09 - 2011-10-15,62
2011-10-16 - 2011-10-22,63
2011-10-23 - 2011-10-29,65
2011-10-30 - 2011-11-05,64
2011-11-06 - 2011-11-12,59
2011-11-13 - 2011-11-19,57
2011-11-20 - 2011-11-26,55
2011-11-27 - 2011-12-03,54
2011-12-04 - 2011-12-10,54
2011-12-11 - 2011-12-17,54
2011-12-18 - 2011-12-24,55
2011-12-25 - 2011-12-31,57
2012-01-01 - 2012-01-07,52
2012-01-08 - 2012-01-14,49
2012-01-15 - 2012-01-21,50
2012-01-22 - 2012-01-28,49
2012-01-29 - 2012-02-04,46
2012-02-05 - 2012-02-11,52
2012-02-12 - 2012-02-18,49
2012-02-19 - 2012-02-25,50
2012-02-26 - 2012-03-03,47
2012-03-04 - 2012-03-10,46
2012-03-11 - 2012-03-17,46
2012-03-18 - 2012-03-24,45
2012-03-25 - 2012-03-31,44
2012-04-01 - 2012-04-07,45
2012-04-08 - 2012-04-14,47
2012-04-15 - 2012-04-21,45
2012-04-22 - 2012-04-28,41
2012-04-29 - 2012-05-05,41
2012-05-06 - 2012-05-12,41
2012-05-13 - 2012-05-19,39
2012-05-20 - 2012-05-26,40
2012-05-27 - 2012-06-02,39
2012-06-03 - 2012-06-09,39
2012-06-10 - 2012-06-16,39
2012-06-17 - 2012-06-23,39
2012-06-24 - 2012-06-30,39
2012-07-01 - 2012-07-07,42
2012-07-08 - 2012-07-14,42
2012-07-15 - 2012-07-21,42
2012-07-22 - 2012-07-28,40
2012-07-29 - 2012-08-04,41
2012-08-05 - 2012-08-11,42
2012-08-12 - 2012-08-18,52
2012-08-19 - 2012-08-25,47
2012-08-26 - 2012-09-01,45
2012-09-02 - 2012-09-08,43
2012-09-09 - 2012-09-15,43
2012-09-16 - 2012-09-22,42
2012-09-23 - 2012-09-29,42
2012-09-30 - 2012-10-06,41
2012-10-07 - 2012-10-13,42
2012-10-14 - 2012-10-20,43
2012-10-21 - 2012-10-27,43
2012-10-28 - 2012-11-03,55
2012-11-04 - 2012-11-10,60
2012-11-11 - 2012-11-17,49
2012-11-18 - 2012-11-24,43
2012-11-25 - 2012-12-01,42
2012-12-02 - 2012-12-08,43
2012-12-09 - 2012-12-15,42
2012-12-16 - 2012-12-22,43
2012-12-23 - 2012-12-29,47
2012-12-30 - 2013-01-05,46
2013-01-06 - 2013-01-12,42
2013-01-13 - 2013-01-19,46
2013-01-20 - 2013-01-26,48
2013-01-27 - 2013-02-02,46
2013-02-03 - 2013-02-09,47
2013-02-10 - 2013-02-16,57
2013-02-17 - 2013-02-23,60
2013-02-24 - 2013-03-02,50
2013-03-03 - 2013-03-09,45
2013-03-10 - 2013-03-16,42
2013-03-17 - 2013-03-23,42
2013-03-24 - 2013-03-30,42
2013-03-31 - 2013-04-06,44
2013-04-07 - 2013-04-13,42
2013-04-14 - 2013-04-20,43
2013-04-21 - 2013-04-27,42
2013-04-28 - 2013-05-04,44
2013-05-05 - 2013-05-11,45
2013-05-12 - 2013-05-18,45
2013-05-19 - 2013-05-25,46
2013-05-26 - 2013-06-01,44
2013-06-02 - 2013-06-08,45
2013-06-09 - 2013-06-15,43
2013-06-16 - 2013-06-22,45
2013-06-23 - 2013-06-29,45
2013-06-30 - 2013-07-06,46
2013-07-07 - 2013-07-13,47
2013-07-14 - 2013-07-20,45
2013-07-21 - 2013-07-27,47
2013-07-28 - 2013-08-03,47
2013-08-04 - 2013-08-10,50
2013-08-11 - 2013-08-17,48
2013-08-18 - 2013-08-24,45
2013-08-25 - 2013-08-31,44
2013-09-01 - 2013-09-07,44
2013-09-08 - 2013-09-14,43
2013-09-15 - 2013-09-21,42
2013-09-22 - 2013-09-28,42
2013-09-29 - 2013-10-05,46
2013-10-06 - 2013-10-12,48
2013-10-13 - 2013-10-19,45
2013-10-20 - 2013-10-26,43
2013-10-27 - 2013-11-02,43
2013-11-03 - 2013-11-09,44
2013-11-10 - 2013-11-16,45
2013-11-17 - 2013-11-23,42
2013-11-24 - 2013-11-30,43
2013-12-01 - 2013-12-07,42
2013-12-08 - 2013-12-14,40
2013-12-15 - 2013-12-21,40
2013-12-22 - 2013-12-28,45
2013-12-29 - 2014-01-04,44
2014-01-05 - 2014-01-11,45
2014-01-12 - 2014-01-18,41
2014-01-19 - 2014-01-25,40
2014-01-26 - 2014-02-01,40
2014-02-02 - 2014-02-08,42
2014-02-09 - 2014-02-15,54
2014-02-16 - 2014-02-22,48
2014-02-23 - 2014-03-01,45
2014-03-02 - 2014-03-08,43
2014-03-09 - 2014-03-15,45
2014-03-16 - 2014-03-22,44
2014-03-23 - 2014-03-29,45
2014-03-30 - 2014-04-05,45
2014-04-06 - 2014-04-12,44
2014-04-13 - 2014-04-19,43
2014-04-20 - 2014-04-26,42
2014-04-27 - 2014-05-03,43
2014-05-04 - 2014-05-10,43
2014-05-11 - 2014-05-17,44
2014-05-18 - 2014-05-24,41
2014-05-25 - 2014-05-31,41
2014-06-01 - 2014-06-07,42
2014-06-08 - 2014-06-14,42
2014-06-15 - 2014-06-21,41
2014-06-22 - 2014-06-28,41
2014-06-29 - 2014-07-05,43
2014-07-06 - 2014-07-12,44
2014-07-13 - 2014-07-19,46
2014-07-20 - 2014-07-26,43
2014-07-27 - 2014-08-02,42
2014-08-03 - 2014-08-09,43
2014-08-10 - 2014-08-16,40
2014-08-17 - 2014-08-23,41
2014-08-24 - 2014-08-30,39
2014-08-31 - 2014-09-06,39
2014-09-07 - 2014-09-13,38
2014-09-14 - 2014-09-20,38
2014-09-21 - 2014-09-27,38
2014-09-28 - 2014-10-04,38
2014-10-05 - 2014-10-11,38
2014-10-12 - 2014-10-18,40
2014-10-19 - 2014-10-25,38
2014-10-26 - 2014-11-01,38
2014-11-02 - 2014-11-08,39
2014-11-09 - 2014-11-15,40
2014-11-16 - 2014-11-22,43
2014-11-23 - 2014-11-29,54
2014-11-30 - 2014-12-06,49
2014-12-07 - 2014-12-13,47
2014-12-14 - 2014-12-20,47
2014-12-21 - 2014-12-27,50
2014-12-28 - 2015-01-03,52
2015-01-04 - 2015-01-10,47
2015-01-11 - 2015-01-17,45
2015-01-18 - 2015-01-24,44
2015-01-25 - 2015-01-31,44
2015-02-01 - 2015-02-07,43
2015-02-08 - 2015-02-14,44
2015-02-15 - 2015-02-21,45
2015-02-22 - 2015-02-28,43
2015-03-01 - 2015-03-07,42
2015-03-08 - 2015-03-14,43
2015-03-15 - 2015-03-21,42
2015-03-22 - 2015-03-28,41
2015-03-29 - 2015-04-04,41
2015-04-05 - 2015-04-11,43
2015-04-12 - 2015-04-18,41
2015-04-19 - 2015-04-25,44
2015-04-26 - 2015-05-02,42
2015-05-03 - 2015-05-09,42
2015-05-10 - 2015-05-16,41
2015-05-17 - 2015-05-23,43
2015-05-24 - 2015-05-30,41
2015-05-31 - 2015-06-06,43
2015-06-07 - 2015-06-13,42
2015-06-14 - 2015-06-20,42
2015-06-21 - 2015-06-27,41
2015-06-28 - 2015-07-04,40
2015-07-05 - 2015-07-11,42
2015-07-12 - 2015-07-18,43
2015-07-19 - 2015-07-25,46
2015-07-26 - 2015-08-01,42
2015-08-02 - 2015-08-08,41
2015-08-09 - 2015-08-15,41
2015-08-16 - 2015-08-22,41
2015-08-23 - 2015-08-29,39
2015-08-30 - 2015-09-05,43
2015-09-06 - 2015-09-12,41
2015-09-13 - 2015-09-19,40
2015-09-20 - 2015-09-26,39
2015-09-27 - 2015-10-03,38
2015-10-04 - 2015-10-10,37
2015-10-11 - 2015-10-17,37
2015-10-18 - 2015-10-24,37
2015-10-25 - 2015-10-31,37
2015-11-01 - 2015-11-07,37
2015-11-08 - 2015-11-14,36
2015-11-15 - 2015-11-21,41
2015-11-22 - 2015-11-28,39
2015-11-29 - 2015-12-05,36
2015-12-06 - 2015-12-12,38
2015-12-13 - 2015-12-19,38
2015-12-20 - 2015-12-26,38
2015-12-27 - 2016-01-02,40
2016-01-03 - 2016-01-09,37
2016-01-10 - 2016-01-16,37
2016-01-17 - 2016-01-23,40
2016-01-24 - 2016-01-30,38
2016-01-31 - 2016-02-06,37
2016-02-07 - 2016-02-13,38
2016-02-14 - 2016-02-20,38
2016-02-21 - 2016-02-27,36
2016-02-28 - 2016-03-05,35
2016-03-06 - 2016-03-12,36
2016-03-13 - 2016-03-19,35
2016-03-20 - 2016-03-26,35
2016-03-27 - 2016-04-02,35
2016-04-03 - 2016-04-09,34
2016-04-10 - 2016-04-16,34
2016-04-17 - 2016-04-23,34
2016-04-24 - 2016-04-30,38


Top regions for luv
Region,luv
Zimbabwe,100
Ghana,54
Nigeria,51
Nepal,38
Kenya,34
India,32
Pakistan,27
Philippines,26
Malaysia,25
Bolivia,23
South Africa,22
Bangladesh,21
Chile,20
Ecuador,19
Sri Lanka,16
United States,14
Colombia,14
Bulgaria,13
Taiwan,13
United Arab Emirates,12
Venezuela,11
Singapore,11
Indonesia,11
Australia,11
Iraq,10
Canada,10
South Korea,9
United Kingdom,8
Romania,8
Hong Kong,8
New Zealand,8
Thailand,8
Germany,7
Netherlands,7
Austria,7
Mexico,6
Vietnam,6
Poland,6
Switzerland,5
Ireland,5
Algeria,5
Norway,5
Greece,5
Belgium,5
Peru,5
Saudi Arabia,5
Sweden,5
Serbia,5
Argentina,5
Japan,5
Hungary,5
Morocco,4
France,4
Finland,4
Denmark,4
Croatia,4
Egypt,4
Brazil,4
Spain,4
Portugal,4
Czech Republic,4
Israel,3
Turkey,3
Italy,3
Russia,2
Ukraine,2
China,2


Top cities for luv
City,luv
Lagos (Nigeria),100
New Delhi (India),77
Sucre (Bolivia),74
Mumbai (India),68
Pune (India),67
Howrah (India),67
Quezon City (Philippines),54
Kuala Lumpur (Malaysia),48
Bangalore (India),42
Santiago (Chile),40
Atlanta (United States),34
Chennai (India),33
Los Angeles (United States),33
Dallas (United States),32
Bogotá (Colombia),31



Top searches for luv
i luv,100
luv u,60
luv 2,35
marie luv,20
movie luv,15
i luv u,15
luv it,15
chevrolet luv,15
muv luv,10
lola luv,10
leah luv,10
boy in luv,10
i luv you,10
baby luv,10
movies luv,10
i luv it,10
sean paul,10
angel lola luv,5
chicken luv,5
luv 3,5
booty luv,5
luv ya,5
pet luv,5
august alsina,5
luv quotes,5
gangsta luv,5
chevy luv,5
luv kush,5
luv pics,5
luv tv,5
muv luv alternative,5
jennifer luv,5
i luv islam,5
apink luv,5
helly luv,5
luv dmax,5
luv my pet,5
sara luv,5
luv images,5
thug luv,5
puppy luv,5
luv sms,5
bunny luv,5
luv sic,5
j luv,5
what is luv,5
girls in luv,5
cd luv,0
luv stock,0
gangsta luv lyrics,0



Rising searches for luv
lola luv,Breakout
boy in luv,+3,000%
muv luv,+1,350%
movie luv,+400%
leah luv,+350%
marie luv,+350%
i luv it,+300%
luv 2,+130%
movies luv,+130%
luv it,+110%



