Web Search interest: mac
Worldwide 2004 - present

Interest over time
Week,mac
2005-04-24 - 2005-04-30,64
2005-05-01 - 2005-05-07,71
2005-05-08 - 2005-05-14,66
2005-05-15 - 2005-05-21,66
2005-05-22 - 2005-05-28,65
2005-05-29 - 2005-06-04,64
2005-06-05 - 2005-06-11,65
2005-06-12 - 2005-06-18,64
2005-06-19 - 2005-06-25,62
2005-06-26 - 2005-07-02,61
2005-07-03 - 2005-07-09,60
2005-07-10 - 2005-07-16,61
2005-07-17 - 2005-07-23,60
2005-07-24 - 2005-07-30,62
2005-07-31 - 2005-08-06,62
2005-08-07 - 2005-08-13,65
2005-08-14 - 2005-08-20,68
2005-08-21 - 2005-08-27,67
2005-08-28 - 2005-09-03,65
2005-09-04 - 2005-09-10,66
2005-09-11 - 2005-09-17,64
2005-09-18 - 2005-09-24,64
2005-09-25 - 2005-10-01,63
2005-10-02 - 2005-10-08,63
2005-10-09 - 2005-10-15,65
2005-10-16 - 2005-10-22,64
2005-10-23 - 2005-10-29,63
2005-10-30 - 2005-11-05,64
2005-11-06 - 2005-11-12,63
2005-11-13 - 2005-11-19,62
2005-11-20 - 2005-11-26,63
2005-11-27 - 2005-12-03,62
2005-12-04 - 2005-12-10,62
2005-12-11 - 2005-12-17,62
2005-12-18 - 2005-12-24,64
2005-12-25 - 2005-12-31,70
2006-01-01 - 2006-01-07,67
2006-01-08 - 2006-01-14,72
2006-01-15 - 2006-01-21,66
2006-01-22 - 2006-01-28,64
2006-01-29 - 2006-02-04,65
2006-02-05 - 2006-02-11,62
2006-02-12 - 2006-02-18,62
2006-02-19 - 2006-02-25,62
2006-02-26 - 2006-03-04,64
2006-03-05 - 2006-03-11,63
2006-03-12 - 2006-03-18,61
2006-03-19 - 2006-03-25,59
2006-03-26 - 2006-04-01,59
2006-04-02 - 2006-04-08,62
2006-04-09 - 2006-04-15,63
2006-04-16 - 2006-04-22,58
2006-04-23 - 2006-04-29,56
2006-04-30 - 2006-05-06,58
2006-05-07 - 2006-05-13,56
2006-05-14 - 2006-05-20,59
2006-05-21 - 2006-05-27,58
2006-05-28 - 2006-06-03,58
2006-06-04 - 2006-06-10,59
2006-06-11 - 2006-06-17,58
2006-06-18 - 2006-06-24,60
2006-06-25 - 2006-07-01,61
2006-07-02 - 2006-07-08,61
2006-07-09 - 2006-07-15,61
2006-07-16 - 2006-07-22,60
2006-07-23 - 2006-07-29,61
2006-07-30 - 2006-08-05,63
2006-08-06 - 2006-08-12,68
2006-08-13 - 2006-08-19,67
2006-08-20 - 2006-08-26,68
2006-08-27 - 2006-09-02,67
2006-09-03 - 2006-09-09,66
2006-09-10 - 2006-09-16,68
2006-09-17 - 2006-09-23,66
2006-09-24 - 2006-09-30,67
2006-10-01 - 2006-10-07,67
2006-10-08 - 2006-10-14,67
2006-10-15 - 2006-10-21,67
2006-10-22 - 2006-10-28,67
2006-10-29 - 2006-11-04,67
2006-11-05 - 2006-11-11,67
2006-11-12 - 2006-11-18,67
2006-11-19 - 2006-11-25,68
2006-11-26 - 2006-12-02,68
2006-12-03 - 2006-12-09,69
2006-12-10 - 2006-12-16,67
2006-12-17 - 2006-12-23,70
2006-12-24 - 2006-12-30,79
2006-12-31 - 2007-01-06,75
2007-01-07 - 2007-01-13,75
2007-01-14 - 2007-01-20,71
2007-01-21 - 2007-01-27,71
2007-01-28 - 2007-02-03,73
2007-02-04 - 2007-02-10,72
2007-02-11 - 2007-02-17,71
2007-02-18 - 2007-02-24,71
2007-02-25 - 2007-03-03,68
2007-03-04 - 2007-03-10,68
2007-03-11 - 2007-03-17,69
2007-03-18 - 2007-03-24,68
2007-03-25 - 2007-03-31,66
2007-04-01 - 2007-04-07,69
2007-04-08 - 2007-04-14,67
2007-04-15 - 2007-04-21,64
2007-04-22 - 2007-04-28,64
2007-04-29 - 2007-05-05,64
2007-05-06 - 2007-05-12,63
2007-05-13 - 2007-05-19,63
2007-05-20 - 2007-05-26,62
2007-05-27 - 2007-06-02,63
2007-06-03 - 2007-06-09,65
2007-06-10 - 2007-06-16,66
2007-06-17 - 2007-06-23,64
2007-06-24 - 2007-06-30,63
2007-07-01 - 2007-07-07,65
2007-07-08 - 2007-07-14,64
2007-07-15 - 2007-07-21,64
2007-07-22 - 2007-07-28,63
2007-07-29 - 2007-08-04,64
2007-08-05 - 2007-08-11,67
2007-08-12 - 2007-08-18,68
2007-08-19 - 2007-08-25,68
2007-08-26 - 2007-09-01,68
2007-09-02 - 2007-09-08,68
2007-09-09 - 2007-09-15,68
2007-09-16 - 2007-09-22,68
2007-09-23 - 2007-09-29,68
2007-09-30 - 2007-10-06,68
2007-10-07 - 2007-10-13,68
2007-10-14 - 2007-10-20,69
2007-10-21 - 2007-10-27,72
2007-10-28 - 2007-11-03,82
2007-11-04 - 2007-11-10,76
2007-11-11 - 2007-11-17,75
2007-11-18 - 2007-11-24,82
2007-11-25 - 2007-12-01,80
2007-12-02 - 2007-12-08,81
2007-12-09 - 2007-12-15,73
2007-12-16 - 2007-12-22,74
2007-12-23 - 2007-12-29,85
2007-12-30 - 2008-01-05,79
2008-01-06 - 2008-01-12,77
2008-01-13 - 2008-01-19,86
2008-01-20 - 2008-01-26,79
2008-01-27 - 2008-02-02,76
2008-02-03 - 2008-02-09,77
2008-02-10 - 2008-02-16,74
2008-02-17 - 2008-02-23,73
2008-02-24 - 2008-03-01,73
2008-03-02 - 2008-03-08,70
2008-03-09 - 2008-03-15,71
2008-03-16 - 2008-03-22,74
2008-03-23 - 2008-03-29,74
2008-03-30 - 2008-04-05,72
2008-04-06 - 2008-04-12,70
2008-04-13 - 2008-04-19,70
2008-04-20 - 2008-04-26,68
2008-04-27 - 2008-05-03,70
2008-05-04 - 2008-05-10,67
2008-05-11 - 2008-05-17,67
2008-05-18 - 2008-05-24,67
2008-05-25 - 2008-05-31,67
2008-06-01 - 2008-06-07,68
2008-06-08 - 2008-06-14,69
2008-06-15 - 2008-06-21,69
2008-06-22 - 2008-06-28,69
2008-06-29 - 2008-07-05,70
2008-07-06 - 2008-07-12,72
2008-07-13 - 2008-07-19,73
2008-07-20 - 2008-07-26,71
2008-07-27 - 2008-08-02,70
2008-08-03 - 2008-08-09,94
2008-08-10 - 2008-08-16,100
2008-08-17 - 2008-08-23,76
2008-08-24 - 2008-08-30,75
2008-08-31 - 2008-09-06,75
2008-09-07 - 2008-09-13,79
2008-09-14 - 2008-09-20,76
2008-09-21 - 2008-09-27,76
2008-09-28 - 2008-10-04,76
2008-10-05 - 2008-10-11,74
2008-10-12 - 2008-10-18,77
2008-10-19 - 2008-10-25,75
2008-10-26 - 2008-11-01,74
2008-11-02 - 2008-11-08,74
2008-11-09 - 2008-11-15,75
2008-11-16 - 2008-11-22,73
2008-11-23 - 2008-11-29,75
2008-11-30 - 2008-12-06,77
2008-12-07 - 2008-12-13,77
2008-12-14 - 2008-12-20,77
2008-12-21 - 2008-12-27,86
2008-12-28 - 2009-01-03,84
2009-01-04 - 2009-01-10,83
2009-01-11 - 2009-01-17,78
2009-01-18 - 2009-01-24,76
2009-01-25 - 2009-01-31,79
2009-02-01 - 2009-02-07,75
2009-02-08 - 2009-02-14,73
2009-02-15 - 2009-02-21,75
2009-02-22 - 2009-02-28,76
2009-03-01 - 2009-03-07,78
2009-03-08 - 2009-03-14,77
2009-03-15 - 2009-03-21,74
2009-03-22 - 2009-03-28,73
2009-03-29 - 2009-04-04,73
2009-04-05 - 2009-04-11,74
2009-04-12 - 2009-04-18,73
2009-04-19 - 2009-04-25,74
2009-04-26 - 2009-05-02,71
2009-05-03 - 2009-05-09,70
2009-05-10 - 2009-05-16,70
2009-05-17 - 2009-05-23,70
2009-05-24 - 2009-05-30,68
2009-05-31 - 2009-06-06,70
2009-06-07 - 2009-06-13,73
2009-06-14 - 2009-06-20,73
2009-06-21 - 2009-06-27,70
2009-06-28 - 2009-07-04,69
2009-07-05 - 2009-07-11,71
2009-07-12 - 2009-07-18,71
2009-07-19 - 2009-07-25,73
2009-07-26 - 2009-08-01,71
2009-08-02 - 2009-08-08,73
2009-08-09 - 2009-08-15,76
2009-08-16 - 2009-08-22,76
2009-08-23 - 2009-08-29,82
2009-08-30 - 2009-09-05,86
2009-09-06 - 2009-09-12,83
2009-09-13 - 2009-09-19,83
2009-09-20 - 2009-09-26,81
2009-09-27 - 2009-10-03,78
2009-10-04 - 2009-10-10,78
2009-10-11 - 2009-10-17,78
2009-10-18 - 2009-10-24,81
2009-10-25 - 2009-10-31,81
2009-11-01 - 2009-11-07,81
2009-11-08 - 2009-11-14,80
2009-11-15 - 2009-11-21,79
2009-11-22 - 2009-11-28,81
2009-11-29 - 2009-12-05,79
2009-12-06 - 2009-12-12,81
2009-12-13 - 2009-12-19,78
2009-12-20 - 2009-12-26,86
2009-12-27 - 2010-01-02,89
2010-01-03 - 2010-01-09,82
2010-01-10 - 2010-01-16,79
2010-01-17 - 2010-01-23,79
2010-01-24 - 2010-01-30,82
2010-01-31 - 2010-02-06,80
2010-02-07 - 2010-02-13,79
2010-02-14 - 2010-02-20,78
2010-02-21 - 2010-02-27,77
2010-02-28 - 2010-03-06,76
2010-03-07 - 2010-03-13,77
2010-03-14 - 2010-03-20,75
2010-03-21 - 2010-03-27,75
2010-03-28 - 2010-04-03,77
2010-04-04 - 2010-04-10,77
2010-04-11 - 2010-04-17,75
2010-04-18 - 2010-04-24,73
2010-04-25 - 2010-05-01,75
2010-05-02 - 2010-05-08,75
2010-05-09 - 2010-05-15,78
2010-05-16 - 2010-05-22,75
2010-05-23 - 2010-05-29,74
2010-05-30 - 2010-06-05,75
2010-06-06 - 2010-06-12,77
2010-06-13 - 2010-06-19,77
2010-06-20 - 2010-06-26,75
2010-06-27 - 2010-07-03,73
2010-07-04 - 2010-07-10,72
2010-07-11 - 2010-07-17,72
2010-07-18 - 2010-07-24,73
2010-07-25 - 2010-07-31,76
2010-08-01 - 2010-08-07,75
2010-08-08 - 2010-08-14,76
2010-08-15 - 2010-08-21,79
2010-08-22 - 2010-08-28,79
2010-08-29 - 2010-09-04,79
2010-09-05 - 2010-09-11,80
2010-09-12 - 2010-09-18,77
2010-09-19 - 2010-09-25,78
2010-09-26 - 2010-10-02,79
2010-10-03 - 2010-10-09,78
2010-10-10 - 2010-10-16,78
2010-10-17 - 2010-10-23,85
2010-10-24 - 2010-10-30,85
2010-10-31 - 2010-11-06,86
2010-11-07 - 2010-11-13,84
2010-11-14 - 2010-11-20,84
2010-11-21 - 2010-11-27,83
2010-11-28 - 2010-12-04,81
2010-12-05 - 2010-12-11,82
2010-12-12 - 2010-12-18,81
2010-12-19 - 2010-12-25,88
2010-12-26 - 2011-01-01,91
2011-01-02 - 2011-01-08,93
2011-01-09 - 2011-01-15,87
2011-01-16 - 2011-01-22,84
2011-01-23 - 2011-01-29,83
2011-01-30 - 2011-02-05,82
2011-02-06 - 2011-02-12,81
2011-02-13 - 2011-02-19,79
2011-02-20 - 2011-02-26,82
2011-02-27 - 2011-03-05,83
2011-03-06 - 2011-03-12,83
2011-03-13 - 2011-03-19,78
2011-03-20 - 2011-03-26,81
2011-03-27 - 2011-04-02,81
2011-04-03 - 2011-04-09,79
2011-04-10 - 2011-04-16,77
2011-04-17 - 2011-04-23,80
2011-04-24 - 2011-04-30,78
2011-05-01 - 2011-05-07,79
2011-05-08 - 2011-05-14,79
2011-05-15 - 2011-05-21,80
2011-05-22 - 2011-05-28,79
2011-05-29 - 2011-06-04,79
2011-06-05 - 2011-06-11,79
2011-06-12 - 2011-06-18,78
2011-06-19 - 2011-06-25,79
2011-06-26 - 2011-07-02,76
2011-07-03 - 2011-07-09,78
2011-07-10 - 2011-07-16,80
2011-07-17 - 2011-07-23,93
2011-07-24 - 2011-07-30,91
2011-07-31 - 2011-08-06,87
2011-08-07 - 2011-08-13,86
2011-08-14 - 2011-08-20,87
2011-08-21 - 2011-08-27,88
2011-08-28 - 2011-09-03,87
2011-09-04 - 2011-09-10,85
2011-09-11 - 2011-09-17,85
2011-09-18 - 2011-09-24,83
2011-09-25 - 2011-10-01,83
2011-10-02 - 2011-10-08,85
2011-10-09 - 2011-10-15,89
2011-10-16 - 2011-10-22,88
2011-10-23 - 2011-10-29,87
2011-10-30 - 2011-11-05,87
2011-11-06 - 2011-11-12,86
2011-11-13 - 2011-11-19,86
2011-11-20 - 2011-11-26,86
2011-11-27 - 2011-12-03,85
2011-12-04 - 2011-12-10,84
2011-12-11 - 2011-12-17,83
2011-12-18 - 2011-12-24,84
2011-12-25 - 2011-12-31,92
2012-01-01 - 2012-01-07,87
2012-01-08 - 2012-01-14,83
2012-01-15 - 2012-01-21,84
2012-01-22 - 2012-01-28,83
2012-01-29 - 2012-02-04,81
2012-02-05 - 2012-02-11,80
2012-02-12 - 2012-02-18,82
2012-02-19 - 2012-02-25,81
2012-02-26 - 2012-03-03,80
2012-03-04 - 2012-03-10,81
2012-03-11 - 2012-03-17,76
2012-03-18 - 2012-03-24,76
2012-03-25 - 2012-03-31,76
2012-04-01 - 2012-04-07,78
2012-04-08 - 2012-04-14,77
2012-04-15 - 2012-04-21,77
2012-04-22 - 2012-04-28,76
2012-04-29 - 2012-05-05,75
2012-05-06 - 2012-05-12,74
2012-05-13 - 2012-05-19,74
2012-05-20 - 2012-05-26,71
2012-05-27 - 2012-06-02,70
2012-06-03 - 2012-06-09,74
2012-06-10 - 2012-06-16,76
2012-06-17 - 2012-06-23,74
2012-06-24 - 2012-06-30,74
2012-07-01 - 2012-07-07,73
2012-07-08 - 2012-07-14,76
2012-07-15 - 2012-07-21,75
2012-07-22 - 2012-07-28,80
2012-07-29 - 2012-08-04,79
2012-08-05 - 2012-08-11,79
2012-08-12 - 2012-08-18,79
2012-08-19 - 2012-08-25,80
2012-08-26 - 2012-09-01,81
2012-09-02 - 2012-09-08,81
2012-09-09 - 2012-09-15,81
2012-09-16 - 2012-09-22,82
2012-09-23 - 2012-09-29,81
2012-09-30 - 2012-10-06,78
2012-10-07 - 2012-10-13,75
2012-10-14 - 2012-10-20,74
2012-10-21 - 2012-10-27,77
2012-10-28 - 2012-11-03,75
2012-11-04 - 2012-11-10,73
2012-11-11 - 2012-11-17,75
2012-11-18 - 2012-11-24,76
2012-11-25 - 2012-12-01,74
2012-12-02 - 2012-12-08,75
2012-12-09 - 2012-12-15,74
2012-12-16 - 2012-12-22,73
2012-12-23 - 2012-12-29,79
2012-12-30 - 2013-01-05,76
2013-01-06 - 2013-01-12,73
2013-01-13 - 2013-01-19,72
2013-01-20 - 2013-01-26,73
2013-01-27 - 2013-02-02,75
2013-02-03 - 2013-02-09,74
2013-02-10 - 2013-02-16,72
2013-02-17 - 2013-02-23,72
2013-02-24 - 2013-03-02,72
2013-03-03 - 2013-03-09,73
2013-03-10 - 2013-03-16,71
2013-03-17 - 2013-03-23,72
2013-03-24 - 2013-03-30,73
2013-03-31 - 2013-04-06,71
2013-04-07 - 2013-04-13,68
2013-04-14 - 2013-04-20,66
2013-04-21 - 2013-04-27,68
2013-04-28 - 2013-05-04,69
2013-05-05 - 2013-05-11,65
2013-05-12 - 2013-05-18,64
2013-05-19 - 2013-05-25,63
2013-05-26 - 2013-06-01,64
2013-06-02 - 2013-06-08,64
2013-06-09 - 2013-06-15,72
2013-06-16 - 2013-06-22,67
2013-06-23 - 2013-06-29,66
2013-06-30 - 2013-07-06,63
2013-07-07 - 2013-07-13,63
2013-07-14 - 2013-07-20,62
2013-07-21 - 2013-07-27,63
2013-07-28 - 2013-08-03,63
2013-08-04 - 2013-08-10,64
2013-08-11 - 2013-08-17,65
2013-08-18 - 2013-08-24,65
2013-08-25 - 2013-08-31,67
2013-09-01 - 2013-09-07,68
2013-09-08 - 2013-09-14,68
2013-09-15 - 2013-09-21,68
2013-09-22 - 2013-09-28,66
2013-09-29 - 2013-10-05,66
2013-10-06 - 2013-10-12,67
2013-10-13 - 2013-10-19,66
2013-10-20 - 2013-10-26,77
2013-10-27 - 2013-11-02,75
2013-11-03 - 2013-11-09,72
2013-11-10 - 2013-11-16,69
2013-11-17 - 2013-11-23,69
2013-11-24 - 2013-11-30,70
2013-12-01 - 2013-12-07,68
2013-12-08 - 2013-12-14,69
2013-12-15 - 2013-12-21,68
2013-12-22 - 2013-12-28,74
2013-12-29 - 2014-01-04,71
2014-01-05 - 2014-01-11,70
2014-01-12 - 2014-01-18,69
2014-01-19 - 2014-01-25,70
2014-01-26 - 2014-02-01,69
2014-02-02 - 2014-02-08,68
2014-02-09 - 2014-02-15,67
2014-02-16 - 2014-02-22,66
2014-02-23 - 2014-03-01,67
2014-03-02 - 2014-03-08,67
2014-03-09 - 2014-03-15,66
2014-03-16 - 2014-03-22,63
2014-03-23 - 2014-03-29,66
2014-03-30 - 2014-04-05,65
2014-04-06 - 2014-04-12,66
2014-04-13 - 2014-04-19,64
2014-04-20 - 2014-04-26,63
2014-04-27 - 2014-05-03,64
2014-05-04 - 2014-05-10,63
2014-05-11 - 2014-05-17,62
2014-05-18 - 2014-05-24,60
2014-05-25 - 2014-05-31,57
2014-06-01 - 2014-06-07,60
2014-06-08 - 2014-06-14,58
2014-06-15 - 2014-06-21,56
2014-06-22 - 2014-06-28,56
2014-06-29 - 2014-07-05,57
2014-07-06 - 2014-07-12,57
2014-07-13 - 2014-07-19,57
2014-07-20 - 2014-07-26,58
2014-07-27 - 2014-08-02,60
2014-08-03 - 2014-08-09,62
2014-08-10 - 2014-08-16,62
2014-08-17 - 2014-08-23,63
2014-08-24 - 2014-08-30,65
2014-08-31 - 2014-09-06,64
2014-09-07 - 2014-09-13,65
2014-09-14 - 2014-09-20,65
2014-09-21 - 2014-09-27,64
2014-09-28 - 2014-10-04,65
2014-10-05 - 2014-10-11,63
2014-10-12 - 2014-10-18,68
2014-10-19 - 2014-10-25,72
2014-10-26 - 2014-11-01,69
2014-11-02 - 2014-11-08,68
2014-11-09 - 2014-11-15,69
2014-11-16 - 2014-11-22,67
2014-11-23 - 2014-11-29,68
2014-11-30 - 2014-12-06,67
2014-12-07 - 2014-12-13,65
2014-12-14 - 2014-12-20,65
2014-12-21 - 2014-12-27,69
2014-12-28 - 2015-01-03,65
2015-01-04 - 2015-01-10,64
2015-01-11 - 2015-01-17,64
2015-01-18 - 2015-01-24,64
2015-01-25 - 2015-01-31,64
2015-02-01 - 2015-02-07,63
2015-02-08 - 2015-02-14,61
2015-02-15 - 2015-02-21,64
2015-02-22 - 2015-02-28,61
2015-03-01 - 2015-03-07,62
2015-03-08 - 2015-03-14,65
2015-03-15 - 2015-03-21,63
2015-03-22 - 2015-03-28,61
2015-03-29 - 2015-04-04,59
2015-04-05 - 2015-04-11,61
2015-04-12 - 2015-04-18,58
2015-04-19 - 2015-04-25,58
2015-04-26 - 2015-05-02,58
2015-05-03 - 2015-05-09,57
2015-05-10 - 2015-05-16,57
2015-05-17 - 2015-05-23,56
2015-05-24 - 2015-05-30,57
2015-05-31 - 2015-06-06,56
2015-06-07 - 2015-06-13,56
2015-06-14 - 2015-06-20,56
2015-06-21 - 2015-06-27,55
2015-06-28 - 2015-07-04,53
2015-07-05 - 2015-07-11,56
2015-07-12 - 2015-07-18,58
2015-07-19 - 2015-07-25,57
2015-07-26 - 2015-08-01,57
2015-08-02 - 2015-08-08,57
2015-08-09 - 2015-08-15,58
2015-08-16 - 2015-08-22,60
2015-08-23 - 2015-08-29,61
2015-08-30 - 2015-09-05,60
2015-09-06 - 2015-09-12,60
2015-09-13 - 2015-09-19,61
2015-09-20 - 2015-09-26,60
2015-09-27 - 2015-10-03,63
2015-10-04 - 2015-10-10,63
2015-10-11 - 2015-10-17,62
2015-10-18 - 2015-10-24,63
2015-10-25 - 2015-10-31,63
2015-11-01 - 2015-11-07,62
2015-11-08 - 2015-11-14,60
2015-11-15 - 2015-11-21,60
2015-11-22 - 2015-11-28,63
2015-11-29 - 2015-12-05,60
2015-12-06 - 2015-12-12,60
2015-12-13 - 2015-12-19,61
2015-12-20 - 2015-12-26,64
2015-12-27 - 2016-01-02,62
2016-01-03 - 2016-01-09,63
2016-01-10 - 2016-01-16,60
2016-01-17 - 2016-01-23,60
2016-01-24 - 2016-01-30,61
2016-01-31 - 2016-02-06,59
2016-02-07 - 2016-02-13,58
2016-02-14 - 2016-02-20,58
2016-02-21 - 2016-02-27,57
2016-02-28 - 2016-03-05,57
2016-03-06 - 2016-03-12,57
2016-03-13 - 2016-03-19,56
2016-03-20 - 2016-03-26,56
2016-03-27 - 2016-04-02,56
2016-04-03 - 2016-04-09,56
2016-04-10 - 2016-04-16,55
2016-04-17 - 2016-04-23,55
2016-04-24 - 2016-04-30,62


Top regions for mac
Region,mac
Switzerland,100
Singapore,99
Hong Kong,90
Australia,89
Norway,84
Canada,83
New Zealand,80
United States,80
Denmark,79
Sweden,69
France,66
United Kingdom,65
Netherlands,62
Belgium,62
Austria,61
Germany,59
Ireland,59
Vietnam,59
Italy,52
United Arab Emirates,50
Philippines,48
Japan,47
Spain,47
Taiwan,45
South Africa,42
Portugal,42
Costa Rica,41
Mexico,41
Chile,40
Malaysia,35
Finland,34
Czech Republic,32
South Korea,31
Greece,30
China,29
Ecuador,28
Colombia,27
Turkey,25
Thailand,25
Morocco,23
Russia,22
Brazil,22
Israel,21
Hungary,21
India,20
Romania,19
Argentina,19
Pakistan,17
Indonesia,17
Poland,17
Peru,17
Ukraine,15
Venezuela,14
Saudi Arabia,14
Egypt,10


Top cities for mac
City,mac
San Francisco (United States),100
Singapore (Singapore),90
San Diego (United States),90
Los Angeles (United States),87
Sydney (Australia),81
New York (United States),81
Toronto (Canada),77
Montreal (Canada),73
Berlin (Germany),66
Paris (France),65
Chicago (United States),60
London (United Kingdom),59
Amsterdam (Netherlands),58
Ho Chi Minh City (Vietnam),57
Atlanta (United States),55



Top searches for mac
mac os,100
mac os x,65
mac pro,55
apple,50
apple mac,50
macbook,35
mac do,35
i mac,30
mac software,30
mac book,30
office mac,25
mac address,25
mac mini,25
mac air,20
mac store,20
mac miller,15
mac cosmetics,15
macbook pro,15
screenshot mac,15
mac and cheese,15
fleetwood mac,15
mac games,15
skype mac,15
skype,15
itunes,15
firefox mac,10
firefox,10
chrome,10
mac book pro,10
mac makeup,10
vlc,10
vlc mac,10
photoshop,10
big mac,10
office for mac,10
mac laptop,10
microsoft office,10
microsoft office mac,10
screenshot on mac,10
mac lipstick,5
messenger mac,5
msn mac,5
macbook air,5
print screen mac,5
mac book air,5
apple store,5
rar mac,5
skype for mac,5
games for mac,5
mac tools,5



Rising searches for mac
mac miller,Breakout
macbook,Breakout
macbook pro,Breakout
mac mini,+950%
screenshot mac,+750%
mac air,+650%
mac book,+500%
mac do,+400%
mac pro,+300%
i mac,+150%



