Web Search interest: txt
Worldwide 2004 - present

Interest over time
Week,txt
2008-10-12 - 2008-10-18,88
2008-10-19 - 2008-10-25,82
2008-10-26 - 2008-11-01,86
2008-11-02 - 2008-11-08,85
2008-11-09 - 2008-11-15,81
2008-11-16 - 2008-11-22,78
2008-11-23 - 2008-11-29,83
2008-11-30 - 2008-12-06,82
2008-12-07 - 2008-12-13,87
2008-12-14 - 2008-12-20,86
2008-12-21 - 2008-12-27,93
2008-12-28 - 2009-01-03,92
2009-01-04 - 2009-01-10,83
2009-01-11 - 2009-01-17,82
2009-01-18 - 2009-01-24,83
2009-01-25 - 2009-01-31,76
2009-02-01 - 2009-02-07,85
2009-02-08 - 2009-02-14,87
2009-02-15 - 2009-02-21,87
2009-02-22 - 2009-02-28,87
2009-03-01 - 2009-03-07,87
2009-03-08 - 2009-03-14,88
2009-03-15 - 2009-03-21,88
2009-03-22 - 2009-03-28,88
2009-03-29 - 2009-04-04,87
2009-04-05 - 2009-04-11,92
2009-04-12 - 2009-04-18,90
2009-04-19 - 2009-04-25,91
2009-04-26 - 2009-05-02,86
2009-05-03 - 2009-05-09,86
2009-05-10 - 2009-05-16,92
2009-05-17 - 2009-05-23,95
2009-05-24 - 2009-05-30,98
2009-05-31 - 2009-06-06,92
2009-06-07 - 2009-06-13,94
2009-06-14 - 2009-06-20,92
2009-06-21 - 2009-06-27,86
2009-06-28 - 2009-07-04,84
2009-07-05 - 2009-07-11,84
2009-07-12 - 2009-07-18,83
2009-07-19 - 2009-07-25,85
2009-07-26 - 2009-08-01,91
2009-08-02 - 2009-08-08,93
2009-08-09 - 2009-08-15,90
2009-08-16 - 2009-08-22,92
2009-08-23 - 2009-08-29,89
2009-08-30 - 2009-09-05,84
2009-09-06 - 2009-09-12,86
2009-09-13 - 2009-09-19,83
2009-09-20 - 2009-09-26,82
2009-09-27 - 2009-10-03,82
2009-10-04 - 2009-10-10,84
2009-10-11 - 2009-10-17,83
2009-10-18 - 2009-10-24,80
2009-10-25 - 2009-10-31,82
2009-11-01 - 2009-11-07,80
2009-11-08 - 2009-11-14,82
2009-11-15 - 2009-11-21,83
2009-11-22 - 2009-11-28,88
2009-11-29 - 2009-12-05,86
2009-12-06 - 2009-12-12,85
2009-12-13 - 2009-12-19,88
2009-12-20 - 2009-12-26,94
2009-12-27 - 2010-01-02,97
2010-01-03 - 2010-01-09,84
2010-01-10 - 2010-01-16,86
2010-01-17 - 2010-01-23,87
2010-01-24 - 2010-01-30,85
2010-01-31 - 2010-02-06,84
2010-02-07 - 2010-02-13,81
2010-02-14 - 2010-02-20,76
2010-02-21 - 2010-02-27,87
2010-02-28 - 2010-03-06,85
2010-03-07 - 2010-03-13,85
2010-03-14 - 2010-03-20,90
2010-03-21 - 2010-03-27,84
2010-03-28 - 2010-04-03,82
2010-04-04 - 2010-04-10,85
2010-04-11 - 2010-04-17,81
2010-04-18 - 2010-04-24,84
2010-04-25 - 2010-05-01,82
2010-05-02 - 2010-05-08,80
2010-05-09 - 2010-05-15,83
2010-05-16 - 2010-05-22,83
2010-05-23 - 2010-05-29,81
2010-05-30 - 2010-06-05,84
2010-06-06 - 2010-06-12,84
2010-06-13 - 2010-06-19,78
2010-06-20 - 2010-06-26,74
2010-06-27 - 2010-07-03,72
2010-07-04 - 2010-07-10,73
2010-07-11 - 2010-07-17,73
2010-07-18 - 2010-07-24,73
2010-07-25 - 2010-07-31,74
2010-08-01 - 2010-08-07,73
2010-08-08 - 2010-08-14,71
2010-08-15 - 2010-08-21,73
2010-08-22 - 2010-08-28,71
2010-08-29 - 2010-09-04,68
2010-09-05 - 2010-09-11,70
2010-09-12 - 2010-09-18,68
2010-09-19 - 2010-09-25,71
2010-09-26 - 2010-10-02,67
2010-10-03 - 2010-10-09,68
2010-10-10 - 2010-10-16,66
2010-10-17 - 2010-10-23,65
2010-10-24 - 2010-10-30,65
2010-10-31 - 2010-11-06,63
2010-11-07 - 2010-11-13,61
2010-11-14 - 2010-11-20,61
2010-11-21 - 2010-11-27,60
2010-11-28 - 2010-12-04,57
2010-12-05 - 2010-12-11,57
2010-12-12 - 2010-12-18,57
2010-12-19 - 2010-12-25,60
2010-12-26 - 2011-01-01,61
2011-01-02 - 2011-01-08,57
2011-01-09 - 2011-01-15,54
2011-01-16 - 2011-01-22,56
2011-01-23 - 2011-01-29,55
2011-01-30 - 2011-02-05,55
2011-02-06 - 2011-02-12,57
2011-02-13 - 2011-02-19,57
2011-02-20 - 2011-02-26,55
2011-02-27 - 2011-03-05,56
2011-03-06 - 2011-03-12,55
2011-03-13 - 2011-03-19,54
2011-03-20 - 2011-03-26,55
2011-03-27 - 2011-04-02,57
2011-04-03 - 2011-04-09,58
2011-04-10 - 2011-04-16,55
2011-04-17 - 2011-04-23,56
2011-04-24 - 2011-04-30,56
2011-05-01 - 2011-05-07,54
2011-05-08 - 2011-05-14,56
2011-05-15 - 2011-05-21,54
2011-05-22 - 2011-05-28,54
2011-05-29 - 2011-06-04,55
2011-06-05 - 2011-06-11,54
2011-06-12 - 2011-06-18,56
2011-06-19 - 2011-06-25,59
2011-06-26 - 2011-07-02,59
2011-07-03 - 2011-07-09,59
2011-07-10 - 2011-07-16,60
2011-07-17 - 2011-07-23,61
2011-07-24 - 2011-07-30,59
2011-07-31 - 2011-08-06,62
2011-08-07 - 2011-08-13,61
2011-08-14 - 2011-08-20,70
2011-08-21 - 2011-08-27,83
2011-08-28 - 2011-09-03,82
2011-09-04 - 2011-09-10,74
2011-09-11 - 2011-09-17,80
2011-09-18 - 2011-09-24,79
2011-09-25 - 2011-10-01,83
2011-10-02 - 2011-10-08,84
2011-10-09 - 2011-10-15,80
2011-10-16 - 2011-10-22,80
2011-10-23 - 2011-10-29,82
2011-10-30 - 2011-11-05,81
2011-11-06 - 2011-11-12,78
2011-11-13 - 2011-11-19,81
2011-11-20 - 2011-11-26,81
2011-11-27 - 2011-12-03,82
2011-12-04 - 2011-12-10,81
2011-12-11 - 2011-12-17,82
2011-12-18 - 2011-12-24,84
2011-12-25 - 2011-12-31,92
2012-01-01 - 2012-01-07,88
2012-01-08 - 2012-01-14,85
2012-01-15 - 2012-01-21,85
2012-01-22 - 2012-01-28,81
2012-01-29 - 2012-02-04,87
2012-02-05 - 2012-02-11,86
2012-02-12 - 2012-02-18,89
2012-02-19 - 2012-02-25,91
2012-02-26 - 2012-03-03,90
2012-03-04 - 2012-03-10,87
2012-03-11 - 2012-03-17,89
2012-03-18 - 2012-03-24,92
2012-03-25 - 2012-03-31,90
2012-04-01 - 2012-04-07,98
2012-04-08 - 2012-04-14,91
2012-04-15 - 2012-04-21,86
2012-04-22 - 2012-04-28,88
2012-04-29 - 2012-05-05,91
2012-05-06 - 2012-05-12,86
2012-05-13 - 2012-05-19,90
2012-05-20 - 2012-05-26,89
2012-05-27 - 2012-06-02,90
2012-06-03 - 2012-06-09,91
2012-06-10 - 2012-06-16,87
2012-06-17 - 2012-06-23,93
2012-06-24 - 2012-06-30,97
2012-07-01 - 2012-07-07,96
2012-07-08 - 2012-07-14,97
2012-07-15 - 2012-07-21,98
2012-07-22 - 2012-07-28,100
2012-07-29 - 2012-08-04,97
2012-08-05 - 2012-08-11,98
2012-08-12 - 2012-08-18,97
2012-08-19 - 2012-08-25,77
2012-08-26 - 2012-09-01,58
2012-09-02 - 2012-09-08,46
2012-09-09 - 2012-09-15,44
2012-09-16 - 2012-09-22,44
2012-09-23 - 2012-09-29,44
2012-09-30 - 2012-10-06,42
2012-10-07 - 2012-10-13,41
2012-10-14 - 2012-10-20,42
2012-10-21 - 2012-10-27,42
2012-10-28 - 2012-11-03,40
2012-11-04 - 2012-11-10,39
2012-11-11 - 2012-11-17,39
2012-11-18 - 2012-11-24,41
2012-11-25 - 2012-12-01,40
2012-12-02 - 2012-12-08,40
2012-12-09 - 2012-12-15,40
2012-12-16 - 2012-12-22,39
2012-12-23 - 2012-12-29,41
2012-12-30 - 2013-01-05,40
2013-01-06 - 2013-01-12,39
2013-01-13 - 2013-01-19,40
2013-01-20 - 2013-01-26,40
2013-01-27 - 2013-02-02,39
2013-02-03 - 2013-02-09,39
2013-02-10 - 2013-02-16,39
2013-02-17 - 2013-02-23,39
2013-02-24 - 2013-03-02,39
2013-03-03 - 2013-03-09,37
2013-03-10 - 2013-03-16,37
2013-03-17 - 2013-03-23,38
2013-03-24 - 2013-03-30,38
2013-03-31 - 2013-04-06,38
2013-04-07 - 2013-04-13,37
2013-04-14 - 2013-04-20,37
2013-04-21 - 2013-04-27,37
2013-04-28 - 2013-05-04,37
2013-05-05 - 2013-05-11,37
2013-05-12 - 2013-05-18,39
2013-05-19 - 2013-05-25,36
2013-05-26 - 2013-06-01,36
2013-06-02 - 2013-06-08,36
2013-06-09 - 2013-06-15,36
2013-06-16 - 2013-06-22,35
2013-06-23 - 2013-06-29,35
2013-06-30 - 2013-07-06,36
2013-07-07 - 2013-07-13,36
2013-07-14 - 2013-07-20,36
2013-07-21 - 2013-07-27,35
2013-07-28 - 2013-08-03,36
2013-08-04 - 2013-08-10,36
2013-08-11 - 2013-08-17,36
2013-08-18 - 2013-08-24,36
2013-08-25 - 2013-08-31,36
2013-09-01 - 2013-09-07,35
2013-09-08 - 2013-09-14,35
2013-09-15 - 2013-09-21,37
2013-09-22 - 2013-09-28,36
2013-09-29 - 2013-10-05,36
2013-10-06 - 2013-10-12,36
2013-10-13 - 2013-10-19,36
2013-10-20 - 2013-10-26,35
2013-10-27 - 2013-11-02,35
2013-11-03 - 2013-11-09,35
2013-11-10 - 2013-11-16,35
2013-11-17 - 2013-11-23,34
2013-11-24 - 2013-11-30,35
2013-12-01 - 2013-12-07,33
2013-12-08 - 2013-12-14,35
2013-12-15 - 2013-12-21,34
2013-12-22 - 2013-12-28,34
2013-12-29 - 2014-01-04,34
2014-01-05 - 2014-01-11,35
2014-01-12 - 2014-01-18,36
2014-01-19 - 2014-01-25,36
2014-01-26 - 2014-02-01,35
2014-02-02 - 2014-02-08,36
2014-02-09 - 2014-02-15,36
2014-02-16 - 2014-02-22,35
2014-02-23 - 2014-03-01,34
2014-03-02 - 2014-03-08,32
2014-03-09 - 2014-03-15,34
2014-03-16 - 2014-03-22,34
2014-03-23 - 2014-03-29,34
2014-03-30 - 2014-04-05,34
2014-04-06 - 2014-04-12,34
2014-04-13 - 2014-04-19,33
2014-04-20 - 2014-04-26,34
2014-04-27 - 2014-05-03,33
2014-05-04 - 2014-05-10,34
2014-05-11 - 2014-05-17,34
2014-05-18 - 2014-05-24,33
2014-05-25 - 2014-05-31,32
2014-06-01 - 2014-06-07,31
2014-06-08 - 2014-06-14,30
2014-06-15 - 2014-06-21,30
2014-06-22 - 2014-06-28,30
2014-06-29 - 2014-07-05,29
2014-07-06 - 2014-07-12,30
2014-07-13 - 2014-07-19,30
2014-07-20 - 2014-07-26,31
2014-07-27 - 2014-08-02,31
2014-08-03 - 2014-08-09,32
2014-08-10 - 2014-08-16,31
2014-08-17 - 2014-08-23,31
2014-08-24 - 2014-08-30,31
2014-08-31 - 2014-09-06,29
2014-09-07 - 2014-09-13,30
2014-09-14 - 2014-09-20,30
2014-09-21 - 2014-09-27,29
2014-09-28 - 2014-10-04,30
2014-10-05 - 2014-10-11,30
2014-10-12 - 2014-10-18,29
2014-10-19 - 2014-10-25,29
2014-10-26 - 2014-11-01,29
2014-11-02 - 2014-11-08,29
2014-11-09 - 2014-11-15,29
2014-11-16 - 2014-11-22,29
2014-11-23 - 2014-11-29,29
2014-11-30 - 2014-12-06,29
2014-12-07 - 2014-12-13,29
2014-12-14 - 2014-12-20,28
2014-12-21 - 2014-12-27,30
2014-12-28 - 2015-01-03,28
2015-01-04 - 2015-01-10,29
2015-01-11 - 2015-01-17,30
2015-01-18 - 2015-01-24,30
2015-01-25 - 2015-01-31,30
2015-02-01 - 2015-02-07,29
2015-02-08 - 2015-02-14,30
2015-02-15 - 2015-02-21,30
2015-02-22 - 2015-02-28,30
2015-03-01 - 2015-03-07,28
2015-03-08 - 2015-03-14,29
2015-03-15 - 2015-03-21,28
2015-03-22 - 2015-03-28,29
2015-03-29 - 2015-04-04,28
2015-04-05 - 2015-04-11,28
2015-04-12 - 2015-04-18,28
2015-04-19 - 2015-04-25,28
2015-04-26 - 2015-05-02,27
2015-05-03 - 2015-05-09,28
2015-05-10 - 2015-05-16,28
2015-05-17 - 2015-05-23,27
2015-05-24 - 2015-05-30,28
2015-05-31 - 2015-06-06,27
2015-06-07 - 2015-06-13,27
2015-06-14 - 2015-06-20,27
2015-06-21 - 2015-06-27,27
2015-06-28 - 2015-07-04,27
2015-07-05 - 2015-07-11,27
2015-07-12 - 2015-07-18,27
2015-07-19 - 2015-07-25,27
2015-07-26 - 2015-08-01,27
2015-08-02 - 2015-08-08,27
2015-08-09 - 2015-08-15,27
2015-08-16 - 2015-08-22,27
2015-08-23 - 2015-08-29,26
2015-08-30 - 2015-09-05,26
2015-09-06 - 2015-09-12,27
2015-09-13 - 2015-09-19,27
2015-09-20 - 2015-09-26,27
2015-09-27 - 2015-10-03,27
2015-10-04 - 2015-10-10,27
2015-10-11 - 2015-10-17,27
2015-10-18 - 2015-10-24,27
2015-10-25 - 2015-10-31,26
2015-11-01 - 2015-11-07,26
2015-11-08 - 2015-11-14,26
2015-11-15 - 2015-11-21,27
2015-11-22 - 2015-11-28,26
2015-11-29 - 2015-12-05,26
2015-12-06 - 2015-12-12,26
2015-12-13 - 2015-12-19,26
2015-12-20 - 2015-12-26,26
2015-12-27 - 2016-01-02,25
2016-01-03 - 2016-01-09,26
2016-01-10 - 2016-01-16,26
2016-01-17 - 2016-01-23,28
2016-01-24 - 2016-01-30,27
2016-01-31 - 2016-02-06,26
2016-02-07 - 2016-02-13,26
2016-02-14 - 2016-02-20,26
2016-02-21 - 2016-02-27,26
2016-02-28 - 2016-03-05,26
2016-03-06 - 2016-03-12,25
2016-03-13 - 2016-03-19,25
2016-03-20 - 2016-03-26,24
2016-03-27 - 2016-04-02,25
2016-04-03 - 2016-04-09,25
2016-04-10 - 2016-04-16,26
2016-04-17 - 2016-04-23,26
2016-04-24 - 2016-04-30,28


Top regions for txt
Region,txt
China,100
South Korea,58
Croatia,20
Bosnia & Herzegovina,15
Taiwan,14
Philippines,13
Hong Kong,12
Switzerland,10
Nigeria,8
Belarus,7
New Zealand,7
Poland,6
Russia,5
Ukraine,5
Slovenia,5
Hungary,5
Singapore,4
Czech Republic,4
Malaysia,3
Kazakhstan,3
Slovakia,3
Finland,3
Bulgaria,3
United Kingdom,3
Portugal,2
Belgium,2
Australia,2
Argentina,2
Mexico,2
Spain,2
Canada,2
Ireland,2
Italy,2
Indonesia,2
Serbia,2
India,2
Netherlands,2
Austria,2
Chile,2
Greece,2
United States,2
Germany,2
Romania,2
Brazil,2
Saudi Arabia,2
Pakistan,2
Japan,2
Peru,2
Iran,1
Colombia,1
United Arab Emirates,1
Israel,1
South Africa,1
Norway,1
Venezuela,1
Vietnam,1
France,1
Morocco,1
Sweden,1
Egypt,1
Denmark,1
Turkey,1
Thailand,1


Top cities for txt
City,txt
Taiyuan (China),100
Harbin (China),98
Wuhan (China),98
Xi'an (China),98
Changsha (China),94
Chongqing (China),93
Hefei (China),93
Nanchang (China),88
Shijiazhuang (China),87
Zhengzhou (China),86
Qingdao (China),84
Jinan (China),78
Chengdu (China),78
Nanjing (China),74
Shenyang (China),73



Top searches for txt
txt 下载,100
txt 小说,35
小说,35
电子书,30
小说 txt 下载,25
小说下载,25
txt file,25
电子书下载,25
free txt,15
sony txt,15
txt pro,15
sony ericsson txt,10
sony txt pro,10
samsung txt,10
txt messages,5
книги txt,5
소설 txt,5
pdf to txt,5
小说下载网,5
corby txt,5
книги скачать,5
samsung corby txt,5
samsung corby,5
ebook txt,0
robots txt,0
txt record,0
love txt,0
bl txt,0
txt tv,0
手机电子书,0
斗破苍穹,0
samsung galaxy txt,0
txt 论坛,0
hrt txt,0
send free txt,0
free txt online,0
起点,0
verizon txt,0
txt 661,0
好看的小说,0
txt to srt,0
doc to txt,0
小说排行榜,0
盗墓笔记,0
盗墓笔记 txt,0
free txt messages,0



Rising searches for txt
sony ericsson txt,Breakout
sony txt pro,Breakout
sony txt,+2,150%
小说 txt 下载,+1,950%
小说,+1,750%
小说下载,+1,750%
电子书下载,+1,750%
txt 小说,+1,700%
电子书,+1,100%
txt 下载,+950%



