Web Search interest: low
Worldwide 2004 - present

Interest over time
Week,low
2005-08-14 - 2005-08-20,75
2005-08-21 - 2005-08-27,71
2005-08-28 - 2005-09-03,67
2005-09-04 - 2005-09-10,68
2005-09-11 - 2005-09-17,69
2005-09-18 - 2005-09-24,70
2005-09-25 - 2005-10-01,69
2005-10-02 - 2005-10-08,69
2005-10-09 - 2005-10-15,71
2005-10-16 - 2005-10-22,70
2005-10-23 - 2005-10-29,68
2005-10-30 - 2005-11-05,70
2005-11-06 - 2005-11-12,69
2005-11-13 - 2005-11-19,69
2005-11-20 - 2005-11-26,64
2005-11-27 - 2005-12-03,66
2005-12-04 - 2005-12-10,66
2005-12-11 - 2005-12-17,63
2005-12-18 - 2005-12-24,59
2005-12-25 - 2005-12-31,64
2006-01-01 - 2006-01-07,74
2006-01-08 - 2006-01-14,75
2006-01-15 - 2006-01-21,73
2006-01-22 - 2006-01-28,73
2006-01-29 - 2006-02-04,73
2006-02-05 - 2006-02-11,71
2006-02-12 - 2006-02-18,69
2006-02-19 - 2006-02-25,71
2006-02-26 - 2006-03-04,72
2006-03-05 - 2006-03-11,71
2006-03-12 - 2006-03-18,70
2006-03-19 - 2006-03-25,70
2006-03-26 - 2006-04-01,71
2006-04-02 - 2006-04-08,69
2006-04-09 - 2006-04-15,69
2006-04-16 - 2006-04-22,70
2006-04-23 - 2006-04-29,68
2006-04-30 - 2006-05-06,71
2006-05-07 - 2006-05-13,68
2006-05-14 - 2006-05-20,66
2006-05-21 - 2006-05-27,66
2006-05-28 - 2006-06-03,67
2006-06-04 - 2006-06-10,68
2006-06-11 - 2006-06-17,66
2006-06-18 - 2006-06-24,68
2006-06-25 - 2006-07-01,68
2006-07-02 - 2006-07-08,68
2006-07-09 - 2006-07-15,71
2006-07-16 - 2006-07-22,73
2006-07-23 - 2006-07-29,76
2006-07-30 - 2006-08-05,75
2006-08-06 - 2006-08-12,74
2006-08-13 - 2006-08-19,73
2006-08-20 - 2006-08-26,72
2006-08-27 - 2006-09-02,73
2006-09-03 - 2006-09-09,72
2006-09-10 - 2006-09-16,74
2006-09-17 - 2006-09-23,72
2006-09-24 - 2006-09-30,73
2006-10-01 - 2006-10-07,74
2006-10-08 - 2006-10-14,73
2006-10-15 - 2006-10-21,71
2006-10-22 - 2006-10-28,71
2006-10-29 - 2006-11-04,69
2006-11-05 - 2006-11-11,68
2006-11-12 - 2006-11-18,68
2006-11-19 - 2006-11-25,62
2006-11-26 - 2006-12-02,65
2006-12-03 - 2006-12-09,63
2006-12-10 - 2006-12-16,61
2006-12-17 - 2006-12-23,56
2006-12-24 - 2006-12-30,58
2006-12-31 - 2007-01-06,70
2007-01-07 - 2007-01-13,70
2007-01-14 - 2007-01-20,69
2007-01-21 - 2007-01-27,68
2007-01-28 - 2007-02-03,67
2007-02-04 - 2007-02-10,66
2007-02-11 - 2007-02-17,67
2007-02-18 - 2007-02-24,70
2007-02-25 - 2007-03-03,67
2007-03-04 - 2007-03-10,68
2007-03-11 - 2007-03-17,68
2007-03-18 - 2007-03-24,68
2007-03-25 - 2007-03-31,69
2007-04-01 - 2007-04-07,66
2007-04-08 - 2007-04-14,68
2007-04-15 - 2007-04-21,65
2007-04-22 - 2007-04-28,67
2007-04-29 - 2007-05-05,69
2007-05-06 - 2007-05-12,67
2007-05-13 - 2007-05-19,67
2007-05-20 - 2007-05-26,66
2007-05-27 - 2007-06-02,63
2007-06-03 - 2007-06-09,67
2007-06-10 - 2007-06-16,65
2007-06-17 - 2007-06-23,65
2007-06-24 - 2007-06-30,65
2007-07-01 - 2007-07-07,66
2007-07-08 - 2007-07-14,68
2007-07-15 - 2007-07-21,70
2007-07-22 - 2007-07-28,69
2007-07-29 - 2007-08-04,68
2007-08-05 - 2007-08-11,69
2007-08-12 - 2007-08-18,66
2007-08-19 - 2007-08-25,65
2007-08-26 - 2007-09-01,65
2007-09-02 - 2007-09-08,64
2007-09-09 - 2007-09-15,66
2007-09-16 - 2007-09-22,66
2007-09-23 - 2007-09-29,66
2007-09-30 - 2007-10-06,66
2007-10-07 - 2007-10-13,67
2007-10-14 - 2007-10-20,68
2007-10-21 - 2007-10-27,65
2007-10-28 - 2007-11-03,66
2007-11-04 - 2007-11-10,67
2007-11-11 - 2007-11-17,67
2007-11-18 - 2007-11-24,71
2007-11-25 - 2007-12-01,75
2007-12-02 - 2007-12-08,74
2007-12-09 - 2007-12-15,65
2007-12-16 - 2007-12-22,62
2007-12-23 - 2007-12-29,63
2007-12-30 - 2008-01-05,73
2008-01-06 - 2008-01-12,75
2008-01-13 - 2008-01-19,78
2008-01-20 - 2008-01-26,75
2008-01-27 - 2008-02-02,77
2008-02-03 - 2008-02-09,78
2008-02-10 - 2008-02-16,76
2008-02-17 - 2008-02-23,78
2008-02-24 - 2008-03-01,78
2008-03-02 - 2008-03-08,78
2008-03-09 - 2008-03-15,78
2008-03-16 - 2008-03-22,78
2008-03-23 - 2008-03-29,78
2008-03-30 - 2008-04-05,78
2008-04-06 - 2008-04-12,79
2008-04-13 - 2008-04-19,78
2008-04-20 - 2008-04-26,78
2008-04-27 - 2008-05-03,78
2008-05-04 - 2008-05-10,76
2008-05-11 - 2008-05-17,76
2008-05-18 - 2008-05-24,76
2008-05-25 - 2008-05-31,73
2008-06-01 - 2008-06-07,74
2008-06-08 - 2008-06-14,72
2008-06-15 - 2008-06-21,72
2008-06-22 - 2008-06-28,74
2008-06-29 - 2008-07-05,72
2008-07-06 - 2008-07-12,73
2008-07-13 - 2008-07-19,77
2008-07-20 - 2008-07-26,75
2008-07-27 - 2008-08-02,74
2008-08-03 - 2008-08-09,73
2008-08-10 - 2008-08-16,72
2008-08-17 - 2008-08-23,71
2008-08-24 - 2008-08-30,68
2008-08-31 - 2008-09-06,66
2008-09-07 - 2008-09-13,69
2008-09-14 - 2008-09-20,65
2008-09-21 - 2008-09-27,66
2008-09-28 - 2008-10-04,67
2008-10-05 - 2008-10-11,65
2008-10-12 - 2008-10-18,65
2008-10-19 - 2008-10-25,64
2008-10-26 - 2008-11-01,63
2008-11-02 - 2008-11-08,62
2008-11-09 - 2008-11-15,65
2008-11-16 - 2008-11-22,65
2008-11-23 - 2008-11-29,59
2008-11-30 - 2008-12-06,63
2008-12-07 - 2008-12-13,62
2008-12-14 - 2008-12-20,60
2008-12-21 - 2008-12-27,56
2008-12-28 - 2009-01-03,66
2009-01-04 - 2009-01-10,72
2009-01-11 - 2009-01-17,72
2009-01-18 - 2009-01-24,70
2009-01-25 - 2009-01-31,71
2009-02-01 - 2009-02-07,68
2009-02-08 - 2009-02-14,66
2009-02-15 - 2009-02-21,69
2009-02-22 - 2009-02-28,69
2009-03-01 - 2009-03-07,69
2009-03-08 - 2009-03-14,68
2009-03-15 - 2009-03-21,70
2009-03-22 - 2009-03-28,70
2009-03-29 - 2009-04-04,71
2009-04-05 - 2009-04-11,70
2009-04-12 - 2009-04-18,70
2009-04-19 - 2009-04-25,72
2009-04-26 - 2009-05-02,71
2009-05-03 - 2009-05-09,69
2009-05-10 - 2009-05-16,70
2009-05-17 - 2009-05-23,70
2009-05-24 - 2009-05-30,70
2009-05-31 - 2009-06-06,69
2009-06-07 - 2009-06-13,70
2009-06-14 - 2009-06-20,71
2009-06-21 - 2009-06-27,69
2009-06-28 - 2009-07-04,71
2009-07-05 - 2009-07-11,75
2009-07-12 - 2009-07-18,75
2009-07-19 - 2009-07-25,75
2009-07-26 - 2009-08-01,75
2009-08-02 - 2009-08-08,74
2009-08-09 - 2009-08-15,74
2009-08-16 - 2009-08-22,71
2009-08-23 - 2009-08-29,70
2009-08-30 - 2009-09-05,70
2009-09-06 - 2009-09-12,69
2009-09-13 - 2009-09-19,71
2009-09-20 - 2009-09-26,72
2009-09-27 - 2009-10-03,71
2009-10-04 - 2009-10-10,69
2009-10-11 - 2009-10-17,69
2009-10-18 - 2009-10-24,69
2009-10-25 - 2009-10-31,69
2009-11-01 - 2009-11-07,69
2009-11-08 - 2009-11-14,71
2009-11-15 - 2009-11-21,70
2009-11-22 - 2009-11-28,66
2009-11-29 - 2009-12-05,68
2009-12-06 - 2009-12-12,65
2009-12-13 - 2009-12-19,62
2009-12-20 - 2009-12-26,55
2009-12-27 - 2010-01-02,65
2010-01-03 - 2010-01-09,74
2010-01-10 - 2010-01-16,72
2010-01-17 - 2010-01-23,71
2010-01-24 - 2010-01-30,73
2010-01-31 - 2010-02-06,72
2010-02-07 - 2010-02-13,71
2010-02-14 - 2010-02-20,71
2010-02-21 - 2010-02-27,73
2010-02-28 - 2010-03-06,72
2010-03-07 - 2010-03-13,74
2010-03-14 - 2010-03-20,72
2010-03-21 - 2010-03-27,72
2010-03-28 - 2010-04-03,71
2010-04-04 - 2010-04-10,71
2010-04-11 - 2010-04-17,72
2010-04-18 - 2010-04-24,70
2010-04-25 - 2010-05-01,71
2010-05-02 - 2010-05-08,71
2010-05-09 - 2010-05-15,68
2010-05-16 - 2010-05-22,67
2010-05-23 - 2010-05-29,68
2010-05-30 - 2010-06-05,68
2010-06-06 - 2010-06-12,68
2010-06-13 - 2010-06-19,68
2010-06-20 - 2010-06-26,66
2010-06-27 - 2010-07-03,70
2010-07-04 - 2010-07-10,72
2010-07-11 - 2010-07-17,72
2010-07-18 - 2010-07-24,74
2010-07-25 - 2010-07-31,75
2010-08-01 - 2010-08-07,73
2010-08-08 - 2010-08-14,72
2010-08-15 - 2010-08-21,71
2010-08-22 - 2010-08-28,70
2010-08-29 - 2010-09-04,68
2010-09-05 - 2010-09-11,67
2010-09-12 - 2010-09-18,67
2010-09-19 - 2010-09-25,67
2010-09-26 - 2010-10-02,67
2010-10-03 - 2010-10-09,67
2010-10-10 - 2010-10-16,65
2010-10-17 - 2010-10-23,65
2010-10-24 - 2010-10-30,63
2010-10-31 - 2010-11-06,63
2010-11-07 - 2010-11-13,64
2010-11-14 - 2010-11-20,64
2010-11-21 - 2010-11-27,59
2010-11-28 - 2010-12-04,61
2010-12-05 - 2010-12-11,63
2010-12-12 - 2010-12-18,60
2010-12-19 - 2010-12-25,55
2010-12-26 - 2011-01-01,60
2011-01-02 - 2011-01-08,70
2011-01-09 - 2011-01-15,70
2011-01-16 - 2011-01-22,70
2011-01-23 - 2011-01-29,70
2011-01-30 - 2011-02-05,71
2011-02-06 - 2011-02-12,71
2011-02-13 - 2011-02-19,70
2011-02-20 - 2011-02-26,70
2011-02-27 - 2011-03-05,70
2011-03-06 - 2011-03-12,70
2011-03-13 - 2011-03-19,68
2011-03-20 - 2011-03-26,69
2011-03-27 - 2011-04-02,69
2011-04-03 - 2011-04-09,70
2011-04-10 - 2011-04-16,69
2011-04-17 - 2011-04-23,70
2011-04-24 - 2011-04-30,68
2011-05-01 - 2011-05-07,69
2011-05-08 - 2011-05-14,69
2011-05-15 - 2011-05-21,69
2011-05-22 - 2011-05-28,68
2011-05-29 - 2011-06-04,67
2011-06-05 - 2011-06-11,70
2011-06-12 - 2011-06-18,69
2011-06-19 - 2011-06-25,70
2011-06-26 - 2011-07-02,68
2011-07-03 - 2011-07-09,67
2011-07-10 - 2011-07-16,70
2011-07-17 - 2011-07-23,70
2011-07-24 - 2011-07-30,70
2011-07-31 - 2011-08-06,69
2011-08-07 - 2011-08-13,69
2011-08-14 - 2011-08-20,68
2011-08-21 - 2011-08-27,66
2011-08-28 - 2011-09-03,64
2011-09-04 - 2011-09-10,64
2011-09-11 - 2011-09-17,64
2011-09-18 - 2011-09-24,64
2011-09-25 - 2011-10-01,63
2011-10-02 - 2011-10-08,65
2011-10-09 - 2011-10-15,64
2011-10-16 - 2011-10-22,64
2011-10-23 - 2011-10-29,63
2011-10-30 - 2011-11-05,63
2011-11-06 - 2011-11-12,62
2011-11-13 - 2011-11-19,64
2011-11-20 - 2011-11-26,59
2011-11-27 - 2011-12-03,63
2011-12-04 - 2011-12-10,60
2011-12-11 - 2011-12-17,60
2011-12-18 - 2011-12-24,55
2011-12-25 - 2011-12-31,58
2012-01-01 - 2012-01-07,68
2012-01-08 - 2012-01-14,68
2012-01-15 - 2012-01-21,69
2012-01-22 - 2012-01-28,70
2012-01-29 - 2012-02-04,67
2012-02-05 - 2012-02-11,67
2012-02-12 - 2012-02-18,65
2012-02-19 - 2012-02-25,68
2012-02-26 - 2012-03-03,68
2012-03-04 - 2012-03-10,67
2012-03-11 - 2012-03-17,67
2012-03-18 - 2012-03-24,69
2012-03-25 - 2012-03-31,67
2012-04-01 - 2012-04-07,67
2012-04-08 - 2012-04-14,65
2012-04-15 - 2012-04-21,68
2012-04-22 - 2012-04-28,69
2012-04-29 - 2012-05-05,71
2012-05-06 - 2012-05-12,68
2012-05-13 - 2012-05-19,69
2012-05-20 - 2012-05-26,68
2012-05-27 - 2012-06-02,68
2012-06-03 - 2012-06-09,67
2012-06-10 - 2012-06-16,68
2012-06-17 - 2012-06-23,68
2012-06-24 - 2012-06-30,70
2012-07-01 - 2012-07-07,68
2012-07-08 - 2012-07-14,73
2012-07-15 - 2012-07-21,72
2012-07-22 - 2012-07-28,71
2012-07-29 - 2012-08-04,71
2012-08-05 - 2012-08-11,71
2012-08-12 - 2012-08-18,70
2012-08-19 - 2012-08-25,70
2012-08-26 - 2012-09-01,70
2012-09-02 - 2012-09-08,70
2012-09-09 - 2012-09-15,69
2012-09-16 - 2012-09-22,69
2012-09-23 - 2012-09-29,69
2012-09-30 - 2012-10-06,67
2012-10-07 - 2012-10-13,66
2012-10-14 - 2012-10-20,66
2012-10-21 - 2012-10-27,65
2012-10-28 - 2012-11-03,62
2012-11-04 - 2012-11-10,62
2012-11-11 - 2012-11-17,61
2012-11-18 - 2012-11-24,59
2012-11-25 - 2012-12-01,63
2012-12-02 - 2012-12-08,62
2012-12-09 - 2012-12-15,59
2012-12-16 - 2012-12-22,56
2012-12-23 - 2012-12-29,56
2012-12-30 - 2013-01-05,66
2013-01-06 - 2013-01-12,73
2013-01-13 - 2013-01-19,70
2013-01-20 - 2013-01-26,69
2013-01-27 - 2013-02-02,68
2013-02-03 - 2013-02-09,68
2013-02-10 - 2013-02-16,67
2013-02-17 - 2013-02-23,70
2013-02-24 - 2013-03-02,70
2013-03-03 - 2013-03-09,70
2013-03-10 - 2013-03-16,71
2013-03-17 - 2013-03-23,73
2013-03-24 - 2013-03-30,69
2013-03-31 - 2013-04-06,69
2013-04-07 - 2013-04-13,72
2013-04-14 - 2013-04-20,71
2013-04-21 - 2013-04-27,73
2013-04-28 - 2013-05-04,74
2013-05-05 - 2013-05-11,69
2013-05-12 - 2013-05-18,68
2013-05-19 - 2013-05-25,69
2013-05-26 - 2013-06-01,67
2013-06-02 - 2013-06-08,71
2013-06-09 - 2013-06-15,70
2013-06-16 - 2013-06-22,69
2013-06-23 - 2013-06-29,70
2013-06-30 - 2013-07-06,68
2013-07-07 - 2013-07-13,71
2013-07-14 - 2013-07-20,71
2013-07-21 - 2013-07-27,72
2013-07-28 - 2013-08-03,72
2013-08-04 - 2013-08-10,73
2013-08-11 - 2013-08-17,74
2013-08-18 - 2013-08-24,71
2013-08-25 - 2013-08-31,69
2013-09-01 - 2013-09-07,71
2013-09-08 - 2013-09-14,70
2013-09-15 - 2013-09-21,69
2013-09-22 - 2013-09-28,68
2013-09-29 - 2013-10-05,70
2013-10-06 - 2013-10-12,69
2013-10-13 - 2013-10-19,68
2013-10-20 - 2013-10-26,67
2013-10-27 - 2013-11-02,66
2013-11-03 - 2013-11-09,66
2013-11-10 - 2013-11-16,67
2013-11-17 - 2013-11-23,66
2013-11-24 - 2013-11-30,61
2013-12-01 - 2013-12-07,64
2013-12-08 - 2013-12-14,62
2013-12-15 - 2013-12-21,59
2013-12-22 - 2013-12-28,57
2013-12-29 - 2014-01-04,67
2014-01-05 - 2014-01-11,76
2014-01-12 - 2014-01-18,74
2014-01-19 - 2014-01-25,73
2014-01-26 - 2014-02-01,72
2014-02-02 - 2014-02-08,73
2014-02-09 - 2014-02-15,70
2014-02-16 - 2014-02-22,72
2014-02-23 - 2014-03-01,74
2014-03-02 - 2014-03-08,74
2014-03-09 - 2014-03-15,73
2014-03-16 - 2014-03-22,72
2014-03-23 - 2014-03-29,73
2014-03-30 - 2014-04-05,72
2014-04-06 - 2014-04-12,73
2014-04-13 - 2014-04-19,73
2014-04-20 - 2014-04-26,72
2014-04-27 - 2014-05-03,77
2014-05-04 - 2014-05-10,73
2014-05-11 - 2014-05-17,71
2014-05-18 - 2014-05-24,72
2014-05-25 - 2014-05-31,67
2014-06-01 - 2014-06-07,70
2014-06-08 - 2014-06-14,71
2014-06-15 - 2014-06-21,70
2014-06-22 - 2014-06-28,70
2014-06-29 - 2014-07-05,71
2014-07-06 - 2014-07-12,75
2014-07-13 - 2014-07-19,76
2014-07-20 - 2014-07-26,75
2014-07-27 - 2014-08-02,73
2014-08-03 - 2014-08-09,75
2014-08-10 - 2014-08-16,71
2014-08-17 - 2014-08-23,72
2014-08-24 - 2014-08-30,70
2014-08-31 - 2014-09-06,70
2014-09-07 - 2014-09-13,70
2014-09-14 - 2014-09-20,71
2014-09-21 - 2014-09-27,68
2014-09-28 - 2014-10-04,70
2014-10-05 - 2014-10-11,70
2014-10-12 - 2014-10-18,69
2014-10-19 - 2014-10-25,68
2014-10-26 - 2014-11-01,68
2014-11-02 - 2014-11-08,70
2014-11-09 - 2014-11-15,70
2014-11-16 - 2014-11-22,69
2014-11-23 - 2014-11-29,64
2014-11-30 - 2014-12-06,66
2014-12-07 - 2014-12-13,65
2014-12-14 - 2014-12-20,63
2014-12-21 - 2014-12-27,60
2014-12-28 - 2015-01-03,69
2015-01-04 - 2015-01-10,78
2015-01-11 - 2015-01-17,81
2015-01-18 - 2015-01-24,77
2015-01-25 - 2015-01-31,77
2015-02-01 - 2015-02-07,73
2015-02-08 - 2015-02-14,72
2015-02-15 - 2015-02-21,76
2015-02-22 - 2015-02-28,75
2015-03-01 - 2015-03-07,75
2015-03-08 - 2015-03-14,76
2015-03-15 - 2015-03-21,75
2015-03-22 - 2015-03-28,76
2015-03-29 - 2015-04-04,74
2015-04-05 - 2015-04-11,77
2015-04-12 - 2015-04-18,79
2015-04-19 - 2015-04-25,77
2015-04-26 - 2015-05-02,77
2015-05-03 - 2015-05-09,75
2015-05-10 - 2015-05-16,78
2015-05-17 - 2015-05-23,77
2015-05-24 - 2015-05-30,75
2015-05-31 - 2015-06-06,75
2015-06-07 - 2015-06-13,76
2015-06-14 - 2015-06-20,77
2015-06-21 - 2015-06-27,75
2015-06-28 - 2015-07-04,74
2015-07-05 - 2015-07-11,77
2015-07-12 - 2015-07-18,82
2015-07-19 - 2015-07-25,79
2015-07-26 - 2015-08-01,78
2015-08-02 - 2015-08-08,78
2015-08-09 - 2015-08-15,77
2015-08-16 - 2015-08-22,77
2015-08-23 - 2015-08-29,76
2015-08-30 - 2015-09-05,75
2015-09-06 - 2015-09-12,76
2015-09-13 - 2015-09-19,76
2015-09-20 - 2015-09-26,76
2015-09-27 - 2015-10-03,74
2015-10-04 - 2015-10-10,74
2015-10-11 - 2015-10-17,74
2015-10-18 - 2015-10-24,74
2015-10-25 - 2015-10-31,73
2015-11-01 - 2015-11-07,74
2015-11-08 - 2015-11-14,72
2015-11-15 - 2015-11-21,70
2015-11-22 - 2015-11-28,66
2015-11-29 - 2015-12-05,70
2015-12-06 - 2015-12-12,71
2015-12-13 - 2015-12-19,68
2015-12-20 - 2015-12-26,64
2015-12-27 - 2016-01-02,74
2016-01-03 - 2016-01-09,85
2016-01-10 - 2016-01-16,82
2016-01-17 - 2016-01-23,83
2016-01-24 - 2016-01-30,83
2016-01-31 - 2016-02-06,79
2016-02-07 - 2016-02-13,80
2016-02-14 - 2016-02-20,79
2016-02-21 - 2016-02-27,79
2016-02-28 - 2016-03-05,78
2016-03-06 - 2016-03-12,80
2016-03-13 - 2016-03-19,77
2016-03-20 - 2016-03-26,77
2016-03-27 - 2016-04-02,78
2016-04-03 - 2016-04-09,81
2016-04-10 - 2016-04-16,81
2016-04-17 - 2016-04-23,80
2016-04-24 - 2016-04-30,92


Top regions for low
Region,low
United States,100
Singapore,89
Australia,86
United Kingdom,85
Ireland,82
New Zealand,77
Canada,76
Italy,73
Philippines,70
South Africa,68
Portugal,63
India,59
Malaysia,57
Nigeria,52
Kenya,50
Bangladesh,49
United Arab Emirates,45
Pakistan,41
Hong Kong,35
Bolivia,30
Romania,29
Norway,24
Netherlands,24
Switzerland,23
Germany,23
Denmark,23
Greece,22
Spain,21
Belgium,21
Austria,20
South Korea,20
Indonesia,20
Sweden,20
France,19
Israel,19
Bulgaria,19
Czech Republic,18
Finland,17
Thailand,16
Taiwan,13
Hungary,13
Saudi Arabia,12
Poland,11
Egypt,11
Mexico,9
Chile,8
Brazil,8
Argentina,8
China,7
Turkey,7
Vietnam,7
Russia,7
Ukraine,6
Colombia,5
Japan,5


Top cities for low
City,low
Atlanta (United States),100
Seattle (United States),96
Houston (United States),96
Philadelphia (United States),95
Boston (United States),94
Los Angeles (United States),94
Dallas (United States),94
Chicago (United States),92
San Francisco (United States),91
Washington (United States),90
Melbourne (Australia),89
Singapore (Singapore),88
New York (United States),87
Sydney (Australia),84
Dublin (Ireland),80



Top searches for low
low low low,100
low cost,15
low carb,5
voli,5
voli low cost,5
blood pressure,0
low blood pressure,0
get low,0
low lyrics,0
all time low,0
down low,0
low carb diet,0
low income housing,0
low cost holidays,0
low sodium,0
low blood sugar,0
ryanair,0
low iron,0
low carb recipes,0
low income apartments,0
low fat recipes,0
low battery,0
low testosterone,0
low back pain,0
low rider,0
low potassium,0
low life,0
low cost airlines,0
easyjet,0
low calorie recipes,0
low thyroid,0
low fat diet,0
low cost flights,0
low carb foods,0
low level format,0
low key,0
drop it low,0
low self esteem,0
volo low cost,0
low vitamin d,0
low pass filter,0
low hemoglobin,0
get low lyrics,0
low heart rate,0
low platelets,0
low carb rezepte,0
vuelos low cost,0
low grade fever,0
low platelet count,0
flo rida low,0



Rising searches for low
all time low,+4,550%
low cost holidays,+1,300%
low income apartments,+250%
low battery,+120%
ryanair,+100%
low iron,+90%
voli,+70%
voli low cost,+70%
low blood sugar,+50%
low sodium,+40%



