Web Search interest: lh
Worldwide 2004 - present

Interest over time
Week,lh
2009-04-05 - 2009-04-11,80
2009-04-12 - 2009-04-18,76
2009-04-19 - 2009-04-25,81
2009-04-26 - 2009-05-02,83
2009-05-03 - 2009-05-09,79
2009-05-10 - 2009-05-16,87
2009-05-17 - 2009-05-23,82
2009-05-24 - 2009-05-30,82
2009-05-31 - 2009-06-06,85
2009-06-07 - 2009-06-13,85
2009-06-14 - 2009-06-20,84
2009-06-21 - 2009-06-27,84
2009-06-28 - 2009-07-04,83
2009-07-05 - 2009-07-11,83
2009-07-12 - 2009-07-18,82
2009-07-19 - 2009-07-25,82
2009-07-26 - 2009-08-01,83
2009-08-02 - 2009-08-08,86
2009-08-09 - 2009-08-15,80
2009-08-16 - 2009-08-22,83
2009-08-23 - 2009-08-29,86
2009-08-30 - 2009-09-05,87
2009-09-06 - 2009-09-12,96
2009-09-13 - 2009-09-19,90
2009-09-20 - 2009-09-26,88
2009-09-27 - 2009-10-03,89
2009-10-04 - 2009-10-10,90
2009-10-11 - 2009-10-17,89
2009-10-18 - 2009-10-24,90
2009-10-25 - 2009-10-31,90
2009-11-01 - 2009-11-07,89
2009-11-08 - 2009-11-14,94
2009-11-15 - 2009-11-21,94
2009-11-22 - 2009-11-28,94
2009-11-29 - 2009-12-05,96
2009-12-06 - 2009-12-12,93
2009-12-13 - 2009-12-19,93
2009-12-20 - 2009-12-26,86
2009-12-27 - 2010-01-02,92
2010-01-03 - 2010-01-09,93
2010-01-10 - 2010-01-16,92
2010-01-17 - 2010-01-23,92
2010-01-24 - 2010-01-30,89
2010-01-31 - 2010-02-06,91
2010-02-07 - 2010-02-13,91
2010-02-14 - 2010-02-20,95
2010-02-21 - 2010-02-27,95
2010-02-28 - 2010-03-06,92
2010-03-07 - 2010-03-13,94
2010-03-14 - 2010-03-20,88
2010-03-21 - 2010-03-27,91
2010-03-28 - 2010-04-03,88
2010-04-04 - 2010-04-10,86
2010-04-11 - 2010-04-17,95
2010-04-18 - 2010-04-24,100
2010-04-25 - 2010-05-01,90
2010-05-02 - 2010-05-08,89
2010-05-09 - 2010-05-15,89
2010-05-16 - 2010-05-22,89
2010-05-23 - 2010-05-29,84
2010-05-30 - 2010-06-05,85
2010-06-06 - 2010-06-12,89
2010-06-13 - 2010-06-19,80
2010-06-20 - 2010-06-26,79
2010-06-27 - 2010-07-03,75
2010-07-04 - 2010-07-10,72
2010-07-11 - 2010-07-17,72
2010-07-18 - 2010-07-24,73
2010-07-25 - 2010-07-31,77
2010-08-01 - 2010-08-07,79
2010-08-08 - 2010-08-14,78
2010-08-15 - 2010-08-21,79
2010-08-22 - 2010-08-28,77
2010-08-29 - 2010-09-04,76
2010-09-05 - 2010-09-11,78
2010-09-12 - 2010-09-18,78
2010-09-19 - 2010-09-25,80
2010-09-26 - 2010-10-02,79
2010-10-03 - 2010-10-09,79
2010-10-10 - 2010-10-16,75
2010-10-17 - 2010-10-23,79
2010-10-24 - 2010-10-30,77
2010-10-31 - 2010-11-06,75
2010-11-07 - 2010-11-13,76
2010-11-14 - 2010-11-20,74
2010-11-21 - 2010-11-27,75
2010-11-28 - 2010-12-04,74
2010-12-05 - 2010-12-11,76
2010-12-12 - 2010-12-18,80
2010-12-19 - 2010-12-25,78
2010-12-26 - 2011-01-01,71
2011-01-02 - 2011-01-08,76
2011-01-09 - 2011-01-15,74
2011-01-16 - 2011-01-22,76
2011-01-23 - 2011-01-29,74
2011-01-30 - 2011-02-05,72
2011-02-06 - 2011-02-12,73
2011-02-13 - 2011-02-19,76
2011-02-20 - 2011-02-26,73
2011-02-27 - 2011-03-05,73
2011-03-06 - 2011-03-12,72
2011-03-13 - 2011-03-19,72
2011-03-20 - 2011-03-26,77
2011-03-27 - 2011-04-02,76
2011-04-03 - 2011-04-09,80
2011-04-10 - 2011-04-16,78
2011-04-17 - 2011-04-23,76
2011-04-24 - 2011-04-30,77
2011-05-01 - 2011-05-07,76
2011-05-08 - 2011-05-14,81
2011-05-15 - 2011-05-21,80
2011-05-22 - 2011-05-28,79
2011-05-29 - 2011-06-04,77
2011-06-05 - 2011-06-11,77
2011-06-12 - 2011-06-18,78
2011-06-19 - 2011-06-25,78
2011-06-26 - 2011-07-02,76
2011-07-03 - 2011-07-09,74
2011-07-10 - 2011-07-16,73
2011-07-17 - 2011-07-23,73
2011-07-24 - 2011-07-30,74
2011-07-31 - 2011-08-06,73
2011-08-07 - 2011-08-13,73
2011-08-14 - 2011-08-20,75
2011-08-21 - 2011-08-27,76
2011-08-28 - 2011-09-03,72
2011-09-04 - 2011-09-10,74
2011-09-11 - 2011-09-17,75
2011-09-18 - 2011-09-24,73
2011-09-25 - 2011-10-01,75
2011-10-02 - 2011-10-08,76
2011-10-09 - 2011-10-15,76
2011-10-16 - 2011-10-22,80
2011-10-23 - 2011-10-29,76
2011-10-30 - 2011-11-05,75
2011-11-06 - 2011-11-12,78
2011-11-13 - 2011-11-19,78
2011-11-20 - 2011-11-26,76
2011-11-27 - 2011-12-03,74
2011-12-04 - 2011-12-10,76
2011-12-11 - 2011-12-17,77
2011-12-18 - 2011-12-24,66
2011-12-25 - 2011-12-31,65
2012-01-01 - 2012-01-07,73
2012-01-08 - 2012-01-14,78
2012-01-15 - 2012-01-21,76
2012-01-22 - 2012-01-28,75
2012-01-29 - 2012-02-04,75
2012-02-05 - 2012-02-11,78
2012-02-12 - 2012-02-18,79
2012-02-19 - 2012-02-25,81
2012-02-26 - 2012-03-03,82
2012-03-04 - 2012-03-10,79
2012-03-11 - 2012-03-17,78
2012-03-18 - 2012-03-24,78
2012-03-25 - 2012-03-31,79
2012-04-01 - 2012-04-07,75
2012-04-08 - 2012-04-14,74
2012-04-15 - 2012-04-21,80
2012-04-22 - 2012-04-28,79
2012-04-29 - 2012-05-05,75
2012-05-06 - 2012-05-12,79
2012-05-13 - 2012-05-19,78
2012-05-20 - 2012-05-26,77
2012-05-27 - 2012-06-02,76
2012-06-03 - 2012-06-09,76
2012-06-10 - 2012-06-16,81
2012-06-17 - 2012-06-23,78
2012-06-24 - 2012-06-30,73
2012-07-01 - 2012-07-07,76
2012-07-08 - 2012-07-14,77
2012-07-15 - 2012-07-21,74
2012-07-22 - 2012-07-28,75
2012-07-29 - 2012-08-04,72
2012-08-05 - 2012-08-11,73
2012-08-12 - 2012-08-18,72
2012-08-19 - 2012-08-25,75
2012-08-26 - 2012-09-01,81
2012-09-02 - 2012-09-08,85
2012-09-09 - 2012-09-15,79
2012-09-16 - 2012-09-22,77
2012-09-23 - 2012-09-29,78
2012-09-30 - 2012-10-06,74
2012-10-07 - 2012-10-13,74
2012-10-14 - 2012-10-20,77
2012-10-21 - 2012-10-27,77
2012-10-28 - 2012-11-03,73
2012-11-04 - 2012-11-10,74
2012-11-11 - 2012-11-17,75
2012-11-18 - 2012-11-24,73
2012-11-25 - 2012-12-01,73
2012-12-02 - 2012-12-08,72
2012-12-09 - 2012-12-15,76
2012-12-16 - 2012-12-22,66
2012-12-23 - 2012-12-29,60
2012-12-30 - 2013-01-05,64
2013-01-06 - 2013-01-12,71
2013-01-13 - 2013-01-19,74
2013-01-20 - 2013-01-26,78
2013-01-27 - 2013-02-02,76
2013-02-03 - 2013-02-09,73
2013-02-10 - 2013-02-16,72
2013-02-17 - 2013-02-23,74
2013-02-24 - 2013-03-02,77
2013-03-03 - 2013-03-09,73
2013-03-10 - 2013-03-16,78
2013-03-17 - 2013-03-23,78
2013-03-24 - 2013-03-30,74
2013-03-31 - 2013-04-06,74
2013-04-07 - 2013-04-13,78
2013-04-14 - 2013-04-20,78
2013-04-21 - 2013-04-27,79
2013-04-28 - 2013-05-04,76
2013-05-05 - 2013-05-11,77
2013-05-12 - 2013-05-18,77
2013-05-19 - 2013-05-25,78
2013-05-26 - 2013-06-01,78
2013-06-02 - 2013-06-08,78
2013-06-09 - 2013-06-15,78
2013-06-16 - 2013-06-22,77
2013-06-23 - 2013-06-29,77
2013-06-30 - 2013-07-06,74
2013-07-07 - 2013-07-13,76
2013-07-14 - 2013-07-20,77
2013-07-21 - 2013-07-27,79
2013-07-28 - 2013-08-03,80
2013-08-04 - 2013-08-10,76
2013-08-11 - 2013-08-17,75
2013-08-18 - 2013-08-24,77
2013-08-25 - 2013-08-31,81
2013-09-01 - 2013-09-07,79
2013-09-08 - 2013-09-14,77
2013-09-15 - 2013-09-21,77
2013-09-22 - 2013-09-28,77
2013-09-29 - 2013-10-05,77
2013-10-06 - 2013-10-12,77
2013-10-13 - 2013-10-19,74
2013-10-20 - 2013-10-26,78
2013-10-27 - 2013-11-02,75
2013-11-03 - 2013-11-09,75
2013-11-10 - 2013-11-16,75
2013-11-17 - 2013-11-23,75
2013-11-24 - 2013-11-30,73
2013-12-01 - 2013-12-07,76
2013-12-08 - 2013-12-14,74
2013-12-15 - 2013-12-21,71
2013-12-22 - 2013-12-28,60
2013-12-29 - 2014-01-04,63
2014-01-05 - 2014-01-11,75
2014-01-12 - 2014-01-18,75
2014-01-19 - 2014-01-25,74
2014-01-26 - 2014-02-01,74
2014-02-02 - 2014-02-08,75
2014-02-09 - 2014-02-15,75
2014-02-16 - 2014-02-22,77
2014-02-23 - 2014-03-01,78
2014-03-02 - 2014-03-08,73
2014-03-09 - 2014-03-15,77
2014-03-16 - 2014-03-22,78
2014-03-23 - 2014-03-29,81
2014-03-30 - 2014-04-05,82
2014-04-06 - 2014-04-12,98
2014-04-13 - 2014-04-19,81
2014-04-20 - 2014-04-26,83
2014-04-27 - 2014-05-03,79
2014-05-04 - 2014-05-10,81
2014-05-11 - 2014-05-17,84
2014-05-18 - 2014-05-24,81
2014-05-25 - 2014-05-31,80
2014-06-01 - 2014-06-07,84
2014-06-08 - 2014-06-14,78
2014-06-15 - 2014-06-21,76
2014-06-22 - 2014-06-28,74
2014-06-29 - 2014-07-05,75
2014-07-06 - 2014-07-12,76
2014-07-13 - 2014-07-19,91
2014-07-20 - 2014-07-26,81
2014-07-27 - 2014-08-02,78
2014-08-03 - 2014-08-09,81
2014-08-10 - 2014-08-16,79
2014-08-17 - 2014-08-23,80
2014-08-24 - 2014-08-30,91
2014-08-31 - 2014-09-06,81
2014-09-07 - 2014-09-13,81
2014-09-14 - 2014-09-20,82
2014-09-21 - 2014-09-27,81
2014-09-28 - 2014-10-04,83
2014-10-05 - 2014-10-11,79
2014-10-12 - 2014-10-18,80
2014-10-19 - 2014-10-25,81
2014-10-26 - 2014-11-01,79
2014-11-02 - 2014-11-08,80
2014-11-09 - 2014-11-15,79
2014-11-16 - 2014-11-22,79
2014-11-23 - 2014-11-29,80
2014-11-30 - 2014-12-06,82
2014-12-07 - 2014-12-13,79
2014-12-14 - 2014-12-20,75
2014-12-21 - 2014-12-27,66
2014-12-28 - 2015-01-03,64
2015-01-04 - 2015-01-10,75
2015-01-11 - 2015-01-17,78
2015-01-18 - 2015-01-24,77
2015-01-25 - 2015-01-31,83
2015-02-01 - 2015-02-07,75
2015-02-08 - 2015-02-14,77
2015-02-15 - 2015-02-21,75
2015-02-22 - 2015-02-28,81
2015-03-01 - 2015-03-07,84
2015-03-08 - 2015-03-14,82
2015-03-15 - 2015-03-21,86
2015-03-22 - 2015-03-28,91
2015-03-29 - 2015-04-04,82
2015-04-05 - 2015-04-11,81
2015-04-12 - 2015-04-18,84
2015-04-19 - 2015-04-25,86
2015-04-26 - 2015-05-02,84
2015-05-03 - 2015-05-09,81
2015-05-10 - 2015-05-16,84
2015-05-17 - 2015-05-23,85
2015-05-24 - 2015-05-30,82
2015-05-31 - 2015-06-06,83
2015-06-07 - 2015-06-13,85
2015-06-14 - 2015-06-20,80
2015-06-21 - 2015-06-27,83
2015-06-28 - 2015-07-04,79
2015-07-05 - 2015-07-11,78
2015-07-12 - 2015-07-18,75
2015-07-19 - 2015-07-25,77
2015-07-26 - 2015-08-01,78
2015-08-02 - 2015-08-08,80
2015-08-09 - 2015-08-15,81
2015-08-16 - 2015-08-22,82
2015-08-23 - 2015-08-29,81
2015-08-30 - 2015-09-05,85
2015-09-06 - 2015-09-12,85
2015-09-13 - 2015-09-19,82
2015-09-20 - 2015-09-26,79
2015-09-27 - 2015-10-03,81
2015-10-04 - 2015-10-10,81
2015-10-11 - 2015-10-17,80
2015-10-18 - 2015-10-24,88
2015-10-25 - 2015-10-31,82
2015-11-01 - 2015-11-07,90
2015-11-08 - 2015-11-14,95
2015-11-15 - 2015-11-21,83
2015-11-22 - 2015-11-28,83
2015-11-29 - 2015-12-05,80
2015-12-06 - 2015-12-12,80
2015-12-13 - 2015-12-19,80
2015-12-20 - 2015-12-26,70
2015-12-27 - 2016-01-02,65
2016-01-03 - 2016-01-09,77
2016-01-10 - 2016-01-16,78
2016-01-17 - 2016-01-23,81
2016-01-24 - 2016-01-30,80
2016-01-31 - 2016-02-06,80
2016-02-07 - 2016-02-13,78
2016-02-14 - 2016-02-20,82
2016-02-21 - 2016-02-27,81
2016-02-28 - 2016-03-05,84
2016-03-06 - 2016-03-12,85
2016-03-13 - 2016-03-19,83
2016-03-20 - 2016-03-26,82
2016-03-27 - 2016-04-02,82
2016-04-03 - 2016-04-09,84
2016-04-10 - 2016-04-16,85
2016-04-17 - 2016-04-23,87
2016-04-24 - 2016-04-30,100


Top regions for lh
Region,lh
Kosovo,100
South Korea,89
Austria,56
Palestine,55
Germany,48
Jordan,46
Egypt,33
Thailand,31
Lebanon,30
Denmark,27
Algeria,26
United Arab Emirates,23
Sri Lanka,19
Slovakia,19
Hungary,19
Iran,19
Czech Republic,19
Finland,19
Kuwait,18
Indonesia,18
Iraq,18
Israel,18
Switzerland,18
Morocco,17
Saudi Arabia,17
Hong Kong,17
Singapore,16
Sweden,16
Poland,15
Netherlands,15
Tunisia,15
Croatia,15
Serbia,14
Australia,14
Taiwan,14
Malaysia,14
Italy,13
Brazil,13
United Kingdom,13
Greece,13
United States,13
Canada,13
Ireland,12
Japan,12
Portugal,12
Spain,12
Bulgaria,12
France,12
Norway,12
Slovenia,12
Argentina,11
New Zealand,11
Chile,10
South Africa,10
Romania,10
India,10
Belgium,10
Pakistan,9
Vietnam,9
Lithuania,9
China,8
Philippines,8
Ecuador,8
Turkey,7
Venezuela,7
Ukraine,7
Colombia,7
Peru,6
Russia,6
Mexico,6


Top cities for lh
City,lh
Seoul (South Korea),100
Munich (Germany),75
Frankfurt (Germany),60
Hamburg (Germany),50
Vienna (Austria),49
Dusseldorf (Germany),48
Cologne (Germany),44
Berlin (Germany),42
Bangkok (Thailand),40
Cairo (Egypt),31
Jakarta (Indonesia),17
Warsaw (Poland),16
Amsterdam (Netherlands),16
Milan (Italy),14
Rome (Italy),14



Top searches for lh
fsh lh,100
fsh,100
lh surge,40
lh test,30
ovulation,25
hormone lh,20
fsh and lh,20
lh levels,20
lh surge ovulation,15
lh 공사,15
lh bank,10
estradiol,10
fsh levels,10
lh hormon,10
lh online,10
fsh hormone,5
lh e fsh,5
lh münchen,5
hormona lh,5
fsh test,5
fsh y lh,5
lh airlines,5
palavras com lh,5
lh check in,5
lh cargo,5
lh airline,5
no lh surge,5
gnrh,5
hormonio lh,5
lh 2014,5
lh anstieg,5
prolactina,5
lh tracking,5
lh hormonu,5
lg lh 3000,5
lh 760,5
lh flugplan,5
lh 주택공사,5
lh linz,5
acth,5
lh forum,5
lh art,5
lh trading,5
lh torana,0
palavras com nh,0
lh サージ,0
lh group,0



Rising searches for lh
lh 공사,Breakout
lh bank,+900%
estradiol,+90%
fsh levels,+70%
fsh and lh,+50%
lh surge ovulation,+50%
fsh,+40%
fsh lh,+40%
lh hormon,+40%
lh test,+40%



