Web Search interest: f
Worldwide 2004 - present

Interest over time
Week,f
2010-02-21 - 2010-02-27,35
2010-02-28 - 2010-03-06,35
2010-03-07 - 2010-03-13,36
2010-03-14 - 2010-03-20,35
2010-03-21 - 2010-03-27,37
2010-03-28 - 2010-04-03,36
2010-04-04 - 2010-04-10,37
2010-04-11 - 2010-04-17,36
2010-04-18 - 2010-04-24,36
2010-04-25 - 2010-05-01,36
2010-05-02 - 2010-05-08,35
2010-05-09 - 2010-05-15,36
2010-05-16 - 2010-05-22,37
2010-05-23 - 2010-05-29,36
2010-05-30 - 2010-06-05,40
2010-06-06 - 2010-06-12,37
2010-06-13 - 2010-06-19,36
2010-06-20 - 2010-06-26,39
2010-06-27 - 2010-07-03,37
2010-07-04 - 2010-07-10,36
2010-07-11 - 2010-07-17,37
2010-07-18 - 2010-07-24,37
2010-07-25 - 2010-07-31,37
2010-08-01 - 2010-08-07,38
2010-08-08 - 2010-08-14,38
2010-08-15 - 2010-08-21,38
2010-08-22 - 2010-08-28,38
2010-08-29 - 2010-09-04,39
2010-09-05 - 2010-09-11,39
2010-09-12 - 2010-09-18,39
2010-09-19 - 2010-09-25,42
2010-09-26 - 2010-10-02,40
2010-10-03 - 2010-10-09,42
2010-10-10 - 2010-10-16,43
2010-10-17 - 2010-10-23,42
2010-10-24 - 2010-10-30,41
2010-10-31 - 2010-11-06,42
2010-11-07 - 2010-11-13,43
2010-11-14 - 2010-11-20,44
2010-11-21 - 2010-11-27,43
2010-11-28 - 2010-12-04,44
2010-12-05 - 2010-12-11,46
2010-12-12 - 2010-12-18,46
2010-12-19 - 2010-12-25,47
2010-12-26 - 2011-01-01,48
2011-01-02 - 2011-01-08,47
2011-01-09 - 2011-01-15,48
2011-01-16 - 2011-01-22,47
2011-01-23 - 2011-01-29,48
2011-01-30 - 2011-02-05,50
2011-02-06 - 2011-02-12,50
2011-02-13 - 2011-02-19,51
2011-02-20 - 2011-02-26,52
2011-02-27 - 2011-03-05,51
2011-03-06 - 2011-03-12,50
2011-03-13 - 2011-03-19,49
2011-03-20 - 2011-03-26,50
2011-03-27 - 2011-04-02,51
2011-04-03 - 2011-04-09,53
2011-04-10 - 2011-04-16,51
2011-04-17 - 2011-04-23,52
2011-04-24 - 2011-04-30,51
2011-05-01 - 2011-05-07,51
2011-05-08 - 2011-05-14,52
2011-05-15 - 2011-05-21,53
2011-05-22 - 2011-05-28,53
2011-05-29 - 2011-06-04,54
2011-06-05 - 2011-06-11,55
2011-06-12 - 2011-06-18,56
2011-06-19 - 2011-06-25,56
2011-06-26 - 2011-07-02,56
2011-07-03 - 2011-07-09,56
2011-07-10 - 2011-07-16,56
2011-07-17 - 2011-07-23,55
2011-07-24 - 2011-07-30,55
2011-07-31 - 2011-08-06,58
2011-08-07 - 2011-08-13,59
2011-08-14 - 2011-08-20,60
2011-08-21 - 2011-08-27,60
2011-08-28 - 2011-09-03,59
2011-09-04 - 2011-09-10,59
2011-09-11 - 2011-09-17,62
2011-09-18 - 2011-09-24,62
2011-09-25 - 2011-10-01,62
2011-10-02 - 2011-10-08,61
2011-10-09 - 2011-10-15,61
2011-10-16 - 2011-10-22,62
2011-10-23 - 2011-10-29,62
2011-10-30 - 2011-11-05,64
2011-11-06 - 2011-11-12,64
2011-11-13 - 2011-11-19,65
2011-11-20 - 2011-11-26,67
2011-11-27 - 2011-12-03,66
2011-12-04 - 2011-12-10,66
2011-12-11 - 2011-12-17,69
2011-12-18 - 2011-12-24,70
2011-12-25 - 2011-12-31,70
2012-01-01 - 2012-01-07,69
2012-01-08 - 2012-01-14,67
2012-01-15 - 2012-01-21,70
2012-01-22 - 2012-01-28,70
2012-01-29 - 2012-02-04,71
2012-02-05 - 2012-02-11,69
2012-02-12 - 2012-02-18,69
2012-02-19 - 2012-02-25,71
2012-02-26 - 2012-03-03,74
2012-03-04 - 2012-03-10,77
2012-03-11 - 2012-03-17,76
2012-03-18 - 2012-03-24,84
2012-03-25 - 2012-03-31,77
2012-04-01 - 2012-04-07,78
2012-04-08 - 2012-04-14,75
2012-04-15 - 2012-04-21,76
2012-04-22 - 2012-04-28,77
2012-04-29 - 2012-05-05,77
2012-05-06 - 2012-05-12,79
2012-05-13 - 2012-05-19,80
2012-05-20 - 2012-05-26,78
2012-05-27 - 2012-06-02,79
2012-06-03 - 2012-06-09,77
2012-06-10 - 2012-06-16,79
2012-06-17 - 2012-06-23,80
2012-06-24 - 2012-06-30,80
2012-07-01 - 2012-07-07,76
2012-07-08 - 2012-07-14,76
2012-07-15 - 2012-07-21,76
2012-07-22 - 2012-07-28,78
2012-07-29 - 2012-08-04,78
2012-08-05 - 2012-08-11,83
2012-08-12 - 2012-08-18,83
2012-08-19 - 2012-08-25,78
2012-08-26 - 2012-09-01,78
2012-09-02 - 2012-09-08,78
2012-09-09 - 2012-09-15,79
2012-09-16 - 2012-09-22,83
2012-09-23 - 2012-09-29,80
2012-09-30 - 2012-10-06,81
2012-10-07 - 2012-10-13,84
2012-10-14 - 2012-10-20,84
2012-10-21 - 2012-10-27,100
2012-10-28 - 2012-11-03,92
2012-11-04 - 2012-11-10,88
2012-11-11 - 2012-11-17,90
2012-11-18 - 2012-11-24,83
2012-11-25 - 2012-12-01,83
2012-12-02 - 2012-12-08,86
2012-12-09 - 2012-12-15,86
2012-12-16 - 2012-12-22,87
2012-12-23 - 2012-12-29,92
2012-12-30 - 2013-01-05,89
2013-01-06 - 2013-01-12,86
2013-01-13 - 2013-01-19,91
2013-01-20 - 2013-01-26,93
2013-01-27 - 2013-02-02,91
2013-02-03 - 2013-02-09,85
2013-02-10 - 2013-02-16,87
2013-02-17 - 2013-02-23,92
2013-02-24 - 2013-03-02,89
2013-03-03 - 2013-03-09,85
2013-03-10 - 2013-03-16,88
2013-03-17 - 2013-03-23,94
2013-03-24 - 2013-03-30,94
2013-03-31 - 2013-04-06,94
2013-04-07 - 2013-04-13,89
2013-04-14 - 2013-04-20,89
2013-04-21 - 2013-04-27,89
2013-04-28 - 2013-05-04,88
2013-05-05 - 2013-05-11,90
2013-05-12 - 2013-05-18,89
2013-05-19 - 2013-05-25,91
2013-05-26 - 2013-06-01,93
2013-06-02 - 2013-06-08,91
2013-06-09 - 2013-06-15,86
2013-06-16 - 2013-06-22,89
2013-06-23 - 2013-06-29,89
2013-06-30 - 2013-07-06,88
2013-07-07 - 2013-07-13,83
2013-07-14 - 2013-07-20,82
2013-07-21 - 2013-07-27,82
2013-07-28 - 2013-08-03,82
2013-08-04 - 2013-08-10,85
2013-08-11 - 2013-08-17,85
2013-08-18 - 2013-08-24,86
2013-08-25 - 2013-08-31,84
2013-09-01 - 2013-09-07,84
2013-09-08 - 2013-09-14,81
2013-09-15 - 2013-09-21,77
2013-09-22 - 2013-09-28,75
2013-09-29 - 2013-10-05,78
2013-10-06 - 2013-10-12,77
2013-10-13 - 2013-10-19,78
2013-10-20 - 2013-10-26,75
2013-10-27 - 2013-11-02,76
2013-11-03 - 2013-11-09,78
2013-11-10 - 2013-11-16,79
2013-11-17 - 2013-11-23,80
2013-11-24 - 2013-11-30,79
2013-12-01 - 2013-12-07,78
2013-12-08 - 2013-12-14,78
2013-12-15 - 2013-12-21,78
2013-12-22 - 2013-12-28,83
2013-12-29 - 2014-01-04,80
2014-01-05 - 2014-01-11,78
2014-01-12 - 2014-01-18,78
2014-01-19 - 2014-01-25,76
2014-01-26 - 2014-02-01,78
2014-02-02 - 2014-02-08,78
2014-02-09 - 2014-02-15,77
2014-02-16 - 2014-02-22,77
2014-02-23 - 2014-03-01,79
2014-03-02 - 2014-03-08,78
2014-03-09 - 2014-03-15,80
2014-03-16 - 2014-03-22,79
2014-03-23 - 2014-03-29,82
2014-03-30 - 2014-04-05,79
2014-04-06 - 2014-04-12,81
2014-04-13 - 2014-04-19,80
2014-04-20 - 2014-04-26,81
2014-04-27 - 2014-05-03,79
2014-05-04 - 2014-05-10,78
2014-05-11 - 2014-05-17,77
2014-05-18 - 2014-05-24,82
2014-05-25 - 2014-05-31,83
2014-06-01 - 2014-06-07,83
2014-06-08 - 2014-06-14,81
2014-06-15 - 2014-06-21,82
2014-06-22 - 2014-06-28,83
2014-06-29 - 2014-07-05,80
2014-07-06 - 2014-07-12,79
2014-07-13 - 2014-07-19,80
2014-07-20 - 2014-07-26,78
2014-07-27 - 2014-08-02,77
2014-08-03 - 2014-08-09,79
2014-08-10 - 2014-08-16,76
2014-08-17 - 2014-08-23,74
2014-08-24 - 2014-08-30,74
2014-08-31 - 2014-09-06,73
2014-09-07 - 2014-09-13,71
2014-09-14 - 2014-09-20,71
2014-09-21 - 2014-09-27,70
2014-09-28 - 2014-10-04,69
2014-10-05 - 2014-10-11,70
2014-10-12 - 2014-10-18,68
2014-10-19 - 2014-10-25,70
2014-10-26 - 2014-11-01,71
2014-11-02 - 2014-11-08,68
2014-11-09 - 2014-11-15,69
2014-11-16 - 2014-11-22,69
2014-11-23 - 2014-11-29,71
2014-11-30 - 2014-12-06,70
2014-12-07 - 2014-12-13,73
2014-12-14 - 2014-12-20,71
2014-12-21 - 2014-12-27,73
2014-12-28 - 2015-01-03,72
2015-01-04 - 2015-01-10,70
2015-01-11 - 2015-01-17,69
2015-01-18 - 2015-01-24,68
2015-01-25 - 2015-01-31,70
2015-02-01 - 2015-02-07,68
2015-02-08 - 2015-02-14,67
2015-02-15 - 2015-02-21,69
2015-02-22 - 2015-02-28,69
2015-03-01 - 2015-03-07,69
2015-03-08 - 2015-03-14,69
2015-03-15 - 2015-03-21,69
2015-03-22 - 2015-03-28,69
2015-03-29 - 2015-04-04,69
2015-04-05 - 2015-04-11,70
2015-04-12 - 2015-04-18,70
2015-04-19 - 2015-04-25,71
2015-04-26 - 2015-05-02,70
2015-05-03 - 2015-05-09,68
2015-05-10 - 2015-05-16,68
2015-05-17 - 2015-05-23,68
2015-05-24 - 2015-05-30,69
2015-05-31 - 2015-06-06,68
2015-06-07 - 2015-06-13,68
2015-06-14 - 2015-06-20,67
2015-06-21 - 2015-06-27,67
2015-06-28 - 2015-07-04,68
2015-07-05 - 2015-07-11,67
2015-07-12 - 2015-07-18,65
2015-07-19 - 2015-07-25,68
2015-07-26 - 2015-08-01,66
2015-08-02 - 2015-08-08,69
2015-08-09 - 2015-08-15,68
2015-08-16 - 2015-08-22,66
2015-08-23 - 2015-08-29,63
2015-08-30 - 2015-09-05,65
2015-09-06 - 2015-09-12,65
2015-09-13 - 2015-09-19,65
2015-09-20 - 2015-09-26,64
2015-09-27 - 2015-10-03,64
2015-10-04 - 2015-10-10,65
2015-10-11 - 2015-10-17,63
2015-10-18 - 2015-10-24,63
2015-10-25 - 2015-10-31,63
2015-11-01 - 2015-11-07,63
2015-11-08 - 2015-11-14,62
2015-11-15 - 2015-11-21,63
2015-11-22 - 2015-11-28,64
2015-11-29 - 2015-12-05,61
2015-12-06 - 2015-12-12,62
2015-12-13 - 2015-12-19,62
2015-12-20 - 2015-12-26,63
2015-12-27 - 2016-01-02,62
2016-01-03 - 2016-01-09,60
2016-01-10 - 2016-01-16,59
2016-01-17 - 2016-01-23,59
2016-01-24 - 2016-01-30,60
2016-01-31 - 2016-02-06,61
2016-02-07 - 2016-02-13,60
2016-02-14 - 2016-02-20,61
2016-02-21 - 2016-02-27,59
2016-02-28 - 2016-03-05,59
2016-03-06 - 2016-03-12,59
2016-03-13 - 2016-03-19,60
2016-03-20 - 2016-03-26,59
2016-03-27 - 2016-04-02,59
2016-04-03 - 2016-04-09,59
2016-04-10 - 2016-04-16,59
2016-04-17 - 2016-04-23,59
2016-04-24 - 2016-04-30,69


Top regions for f
Region,f
Yemen,100
Egypt,88
Algeria,50
Iraq,48
Tunisia,48
Albania,38
Thailand,36
Jordan,32
Morocco,28
Bosnia & Herzegovina,28
Turkey,25
Ecuador,24
Vietnam,23
Philippines,21
Peru,21
Dominican Republic,20
Pakistan,20
Bolivia,20
Colombia,18
Serbia,17
Romania,16
Greece,15
Azerbaijan,14
Mexico,14
India,13
Bangladesh,13
Bulgaria,13
Uruguay,13
Croatia,13
Guatemala,13
Indonesia,12
Brazil,12
Argentina,11
Venezuela,11
Portugal,10
Denmark,10
Malaysia,10
Nigeria,10
Chile,9
Slovakia,9
Poland,9
Hungary,9
Italy,9
Belgium,9
United Arab Emirates,8
Slovenia,8
Taiwan,8
Saudi Arabia,8
Czech Republic,8
France,7
Norway,7
Ireland,7
Canada,7
United States,7
Lithuania,7
Austria,7
United Kingdom,6
Germany,6
New Zealand,6
Israel,6
Switzerland,6
Australia,6
Hong Kong,6
Sweden,6
Japan,6
Spain,6
Singapore,5
South Africa,5
Finland,5
Netherlands,5
South Korea,4
Iran,3
China,3
Ukraine,2
Russia,2


Top cities for f
City,f
Sana'a (Yemen),100
Alexandria (Egypt),80
Giza (Egypt),76
Cairo (Egypt),64
Tunis (Tunisia),47
Adana (Turkey),27
Casablanca (Morocco),22
Bangkok (Thailand),21
Hanoi (Vietnam),21
Izmir (Turkey),19
Ankara (Turkey),18
Istanbul (Turkey),18
Ho Chi Minh City (Vietnam),15
Pune (India),14
New Delhi (India),13



Top searches for f
f f,100
f facebook,10
f a,5
b f,0
f and f,0
f acebook,0
f to c,0
ford,0
f 1,0
john f kennedy,0
f face,0
ford f 150,0
f type,0
fa,0
a and f,0
f 16,0
jaguar f type,0
f ace,0
f book,0
マクロス f,0
f 22,0
studio f,0
f 35,0
f chord,0
f secure,0
the f word,0
bbc f,0
f scott fitzgerald,0
stephen f austin,0
christiane f,0



Rising searches for f
f acebook,Breakout
f facebook,Breakout
f face,+550%
fa,+90%



