Web Search interest: siri
Worldwide 2004 - present

Interest over time
Week,siri
2005-01-23 - 2005-01-29,4
2005-01-30 - 2005-02-05,4
2005-02-06 - 2005-02-12,4
2005-02-13 - 2005-02-19,3
2005-02-20 - 2005-02-26,4
2005-02-27 - 2005-03-05,3
2005-03-06 - 2005-03-12,3
2005-03-13 - 2005-03-19,3
2005-03-20 - 2005-03-26,3
2005-03-27 - 2005-04-02,3
2005-04-03 - 2005-04-09,4
2005-04-10 - 2005-04-16,3
2005-04-17 - 2005-04-23,4
2005-04-24 - 2005-04-30,4
2005-05-01 - 2005-05-07,4
2005-05-08 - 2005-05-14,4
2005-05-15 - 2005-05-21,3
2005-05-22 - 2005-05-28,4
2005-05-29 - 2005-06-04,4
2005-06-05 - 2005-06-11,4
2005-06-12 - 2005-06-18,4
2005-06-19 - 2005-06-25,4
2005-06-26 - 2005-07-02,5
2005-07-03 - 2005-07-09,4
2005-07-10 - 2005-07-16,5
2005-07-17 - 2005-07-23,4
2005-07-24 - 2005-07-30,4
2005-07-31 - 2005-08-06,4
2005-08-07 - 2005-08-13,4
2005-08-14 - 2005-08-20,4
2005-08-21 - 2005-08-27,3
2005-08-28 - 2005-09-03,4
2005-09-04 - 2005-09-10,4
2005-09-11 - 2005-09-17,4
2005-09-18 - 2005-09-24,4
2005-09-25 - 2005-10-01,4
2005-10-02 - 2005-10-08,4
2005-10-09 - 2005-10-15,4
2005-10-16 - 2005-10-22,4
2005-10-23 - 2005-10-29,5
2005-10-30 - 2005-11-05,5
2005-11-06 - 2005-11-12,5
2005-11-13 - 2005-11-19,5
2005-11-20 - 2005-11-26,5
2005-11-27 - 2005-12-03,5
2005-12-04 - 2005-12-10,6
2005-12-11 - 2005-12-17,7
2005-12-18 - 2005-12-24,6
2005-12-25 - 2005-12-31,7
2006-01-01 - 2006-01-07,7
2006-01-08 - 2006-01-14,9
2006-01-15 - 2006-01-21,6
2006-01-22 - 2006-01-28,6
2006-01-29 - 2006-02-04,6
2006-02-05 - 2006-02-11,6
2006-02-12 - 2006-02-18,6
2006-02-19 - 2006-02-25,5
2006-02-26 - 2006-03-04,5
2006-03-05 - 2006-03-11,5
2006-03-12 - 2006-03-18,5
2006-03-19 - 2006-03-25,5
2006-03-26 - 2006-04-01,5
2006-04-02 - 2006-04-08,4
2006-04-09 - 2006-04-15,5
2006-04-16 - 2006-04-22,5
2006-04-23 - 2006-04-29,5
2006-04-30 - 2006-05-06,5
2006-05-07 - 2006-05-13,5
2006-05-14 - 2006-05-20,4
2006-05-21 - 2006-05-27,5
2006-05-28 - 2006-06-03,4
2006-06-04 - 2006-06-10,4
2006-06-11 - 2006-06-17,4
2006-06-18 - 2006-06-24,4
2006-06-25 - 2006-07-01,5
2006-07-02 - 2006-07-08,4
2006-07-09 - 2006-07-15,4
2006-07-16 - 2006-07-22,4
2006-07-23 - 2006-07-29,4
2006-07-30 - 2006-08-05,5
2006-08-06 - 2006-08-12,4
2006-08-13 - 2006-08-19,4
2006-08-20 - 2006-08-26,4
2006-08-27 - 2006-09-02,4
2006-09-03 - 2006-09-09,4
2006-09-10 - 2006-09-16,4
2006-09-17 - 2006-09-23,4
2006-09-24 - 2006-09-30,4
2006-10-01 - 2006-10-07,4
2006-10-08 - 2006-10-14,3
2006-10-15 - 2006-10-21,3
2006-10-22 - 2006-10-28,4
2006-10-29 - 2006-11-04,4
2006-11-05 - 2006-11-11,5
2006-11-12 - 2006-11-18,4
2006-11-19 - 2006-11-25,4
2006-11-26 - 2006-12-02,4
2006-12-03 - 2006-12-09,5
2006-12-10 - 2006-12-16,4
2006-12-17 - 2006-12-23,4
2006-12-24 - 2006-12-30,4
2006-12-31 - 2007-01-06,4
2007-01-07 - 2007-01-13,5
2007-01-14 - 2007-01-20,4
2007-01-21 - 2007-01-27,4
2007-01-28 - 2007-02-03,4
2007-02-04 - 2007-02-10,4
2007-02-11 - 2007-02-17,4
2007-02-18 - 2007-02-24,8
2007-02-25 - 2007-03-03,7
2007-03-04 - 2007-03-10,7
2007-03-11 - 2007-03-17,6
2007-03-18 - 2007-03-24,5
2007-03-25 - 2007-03-31,5
2007-04-01 - 2007-04-07,8
2007-04-08 - 2007-04-14,8
2007-04-15 - 2007-04-21,6
2007-04-22 - 2007-04-28,6
2007-04-29 - 2007-05-05,6
2007-05-06 - 2007-05-12,5
2007-05-13 - 2007-05-19,5
2007-05-20 - 2007-05-26,5
2007-05-27 - 2007-06-02,5
2007-06-03 - 2007-06-09,5
2007-06-10 - 2007-06-16,5
2007-06-17 - 2007-06-23,6
2007-06-24 - 2007-06-30,6
2007-07-01 - 2007-07-07,5
2007-07-08 - 2007-07-14,5
2007-07-15 - 2007-07-21,5
2007-07-22 - 2007-07-28,6
2007-07-29 - 2007-08-04,8
2007-08-05 - 2007-08-11,12
2007-08-12 - 2007-08-18,9
2007-08-19 - 2007-08-25,8
2007-08-26 - 2007-09-01,7
2007-09-02 - 2007-09-08,6
2007-09-09 - 2007-09-15,6
2007-09-16 - 2007-09-22,6
2007-09-23 - 2007-09-29,5
2007-09-30 - 2007-10-06,5
2007-10-07 - 2007-10-13,5
2007-10-14 - 2007-10-20,5
2007-10-21 - 2007-10-27,4
2007-10-28 - 2007-11-03,4
2007-11-04 - 2007-11-10,4
2007-11-11 - 2007-11-17,4
2007-11-18 - 2007-11-24,4
2007-11-25 - 2007-12-01,4
2007-12-02 - 2007-12-08,5
2007-12-09 - 2007-12-15,4
2007-12-16 - 2007-12-22,4
2007-12-23 - 2007-12-29,4
2007-12-30 - 2008-01-05,4
2008-01-06 - 2008-01-12,5
2008-01-13 - 2008-01-19,4
2008-01-20 - 2008-01-26,4
2008-01-27 - 2008-02-02,5
2008-02-03 - 2008-02-09,4
2008-02-10 - 2008-02-16,4
2008-02-17 - 2008-02-23,4
2008-02-24 - 2008-03-01,4
2008-03-02 - 2008-03-08,4
2008-03-09 - 2008-03-15,4
2008-03-16 - 2008-03-22,4
2008-03-23 - 2008-03-29,6
2008-03-30 - 2008-04-05,4
2008-04-06 - 2008-04-12,4
2008-04-13 - 2008-04-19,4
2008-04-20 - 2008-04-26,4
2008-04-27 - 2008-05-03,4
2008-05-04 - 2008-05-10,4
2008-05-11 - 2008-05-17,4
2008-05-18 - 2008-05-24,4
2008-05-25 - 2008-05-31,3
2008-06-01 - 2008-06-07,4
2008-06-08 - 2008-06-14,4
2008-06-15 - 2008-06-21,5
2008-06-22 - 2008-06-28,4
2008-06-29 - 2008-07-05,4
2008-07-06 - 2008-07-12,4
2008-07-13 - 2008-07-19,4
2008-07-20 - 2008-07-26,5
2008-07-27 - 2008-08-02,7
2008-08-03 - 2008-08-09,5
2008-08-10 - 2008-08-16,5
2008-08-17 - 2008-08-23,4
2008-08-24 - 2008-08-30,4
2008-08-31 - 2008-09-06,3
2008-09-07 - 2008-09-13,4
2008-09-14 - 2008-09-20,5
2008-09-21 - 2008-09-27,4
2008-09-28 - 2008-10-04,4
2008-10-05 - 2008-10-11,4
2008-10-12 - 2008-10-18,4
2008-10-19 - 2008-10-25,4
2008-10-26 - 2008-11-01,5
2008-11-02 - 2008-11-08,4
2008-11-09 - 2008-11-15,4
2008-11-16 - 2008-11-22,4
2008-11-23 - 2008-11-29,7
2008-11-30 - 2008-12-06,4
2008-12-07 - 2008-12-13,4
2008-12-14 - 2008-12-20,4
2008-12-21 - 2008-12-27,3
2008-12-28 - 2009-01-03,3
2009-01-04 - 2009-01-10,4
2009-01-11 - 2009-01-17,3
2009-01-18 - 2009-01-24,3
2009-01-25 - 2009-01-31,3
2009-02-01 - 2009-02-07,4
2009-02-08 - 2009-02-14,5
2009-02-15 - 2009-02-21,6
2009-02-22 - 2009-02-28,4
2009-03-01 - 2009-03-07,4
2009-03-08 - 2009-03-14,4
2009-03-15 - 2009-03-21,7
2009-03-22 - 2009-03-28,5
2009-03-29 - 2009-04-04,5
2009-04-05 - 2009-04-11,4
2009-04-12 - 2009-04-18,4
2009-04-19 - 2009-04-25,5
2009-04-26 - 2009-05-02,4
2009-05-03 - 2009-05-09,5
2009-05-10 - 2009-05-16,4
2009-05-17 - 2009-05-23,4
2009-05-24 - 2009-05-30,4
2009-05-31 - 2009-06-06,4
2009-06-07 - 2009-06-13,3
2009-06-14 - 2009-06-20,4
2009-06-21 - 2009-06-27,4
2009-06-28 - 2009-07-04,4
2009-07-05 - 2009-07-11,4
2009-07-12 - 2009-07-18,4
2009-07-19 - 2009-07-25,4
2009-07-26 - 2009-08-01,3
2009-08-02 - 2009-08-08,4
2009-08-09 - 2009-08-15,4
2009-08-16 - 2009-08-22,4
2009-08-23 - 2009-08-29,4
2009-08-30 - 2009-09-05,4
2009-09-06 - 2009-09-12,4
2009-09-13 - 2009-09-19,4
2009-09-20 - 2009-09-26,3
2009-09-27 - 2009-10-03,3
2009-10-04 - 2009-10-10,3
2009-10-11 - 2009-10-17,3
2009-10-18 - 2009-10-24,3
2009-10-25 - 2009-10-31,3
2009-11-01 - 2009-11-07,3
2009-11-08 - 2009-11-14,3
2009-11-15 - 2009-11-21,3
2009-11-22 - 2009-11-28,3
2009-11-29 - 2009-12-05,3
2009-12-06 - 2009-12-12,3
2009-12-13 - 2009-12-19,3
2009-12-20 - 2009-12-26,3
2009-12-27 - 2010-01-02,3
2010-01-03 - 2010-01-09,3
2010-01-10 - 2010-01-16,3
2010-01-17 - 2010-01-23,3
2010-01-24 - 2010-01-30,3
2010-01-31 - 2010-02-06,4
2010-02-07 - 2010-02-13,4
2010-02-14 - 2010-02-20,5
2010-02-21 - 2010-02-27,4
2010-02-28 - 2010-03-06,4
2010-03-07 - 2010-03-13,4
2010-03-14 - 2010-03-20,3
2010-03-21 - 2010-03-27,3
2010-03-28 - 2010-04-03,3
2010-04-04 - 2010-04-10,3
2010-04-11 - 2010-04-17,4
2010-04-18 - 2010-04-24,3
2010-04-25 - 2010-05-01,5
2010-05-02 - 2010-05-08,4
2010-05-09 - 2010-05-15,4
2010-05-16 - 2010-05-22,3
2010-05-23 - 2010-05-29,3
2010-05-30 - 2010-06-05,3
2010-06-06 - 2010-06-12,3
2010-06-13 - 2010-06-19,3
2010-06-20 - 2010-06-26,3
2010-06-27 - 2010-07-03,3
2010-07-04 - 2010-07-10,3
2010-07-11 - 2010-07-17,3
2010-07-18 - 2010-07-24,3
2010-07-25 - 2010-07-31,3
2010-08-01 - 2010-08-07,3
2010-08-08 - 2010-08-14,3
2010-08-15 - 2010-08-21,3
2010-08-22 - 2010-08-28,3
2010-08-29 - 2010-09-04,3
2010-09-05 - 2010-09-11,3
2010-09-12 - 2010-09-18,3
2010-09-19 - 2010-09-25,3
2010-09-26 - 2010-10-02,3
2010-10-03 - 2010-10-09,3
2010-10-10 - 2010-10-16,4
2010-10-17 - 2010-10-23,3
2010-10-24 - 2010-10-30,3
2010-10-31 - 2010-11-06,4
2010-11-07 - 2010-11-13,3
2010-11-14 - 2010-11-20,3
2010-11-21 - 2010-11-27,3
2010-11-28 - 2010-12-04,3
2010-12-05 - 2010-12-11,4
2010-12-12 - 2010-12-18,3
2010-12-19 - 2010-12-25,3
2010-12-26 - 2011-01-01,4
2011-01-02 - 2011-01-08,3
2011-01-09 - 2011-01-15,3
2011-01-16 - 2011-01-22,3
2011-01-23 - 2011-01-29,3
2011-01-30 - 2011-02-05,3
2011-02-06 - 2011-02-12,3
2011-02-13 - 2011-02-19,4
2011-02-20 - 2011-02-26,3
2011-02-27 - 2011-03-05,3
2011-03-06 - 2011-03-12,3
2011-03-13 - 2011-03-19,3
2011-03-20 - 2011-03-26,3
2011-03-27 - 2011-04-02,4
2011-04-03 - 2011-04-09,4
2011-04-10 - 2011-04-16,3
2011-04-17 - 2011-04-23,3
2011-04-24 - 2011-04-30,3
2011-05-01 - 2011-05-07,4
2011-05-08 - 2011-05-14,4
2011-05-15 - 2011-05-21,3
2011-05-22 - 2011-05-28,3
2011-05-29 - 2011-06-04,3
2011-06-05 - 2011-06-11,3
2011-06-12 - 2011-06-18,3
2011-06-19 - 2011-06-25,3
2011-06-26 - 2011-07-02,4
2011-07-03 - 2011-07-09,3
2011-07-10 - 2011-07-16,4
2011-07-17 - 2011-07-23,3
2011-07-24 - 2011-07-30,3
2011-07-31 - 2011-08-06,4
2011-08-07 - 2011-08-13,4
2011-08-14 - 2011-08-20,3
2011-08-21 - 2011-08-27,3
2011-08-28 - 2011-09-03,3
2011-09-04 - 2011-09-10,3
2011-09-11 - 2011-09-17,3
2011-09-18 - 2011-09-24,3
2011-09-25 - 2011-10-01,3
2011-10-02 - 2011-10-08,47
2011-10-09 - 2011-10-15,72
2011-10-16 - 2011-10-22,100
2011-10-23 - 2011-10-29,60
2011-10-30 - 2011-11-05,55
2011-11-06 - 2011-11-12,49
2011-11-13 - 2011-11-19,44
2011-11-20 - 2011-11-26,41
2011-11-27 - 2011-12-03,43
2011-12-04 - 2011-12-10,37
2011-12-11 - 2011-12-17,35
2011-12-18 - 2011-12-24,43
2011-12-25 - 2011-12-31,59
2012-01-01 - 2012-01-07,45
2012-01-08 - 2012-01-14,38
2012-01-15 - 2012-01-21,35
2012-01-22 - 2012-01-28,38
2012-01-29 - 2012-02-04,35
2012-02-05 - 2012-02-11,32
2012-02-12 - 2012-02-18,32
2012-02-19 - 2012-02-25,30
2012-02-26 - 2012-03-03,30
2012-03-04 - 2012-03-10,49
2012-03-11 - 2012-03-17,41
2012-03-18 - 2012-03-24,29
2012-03-25 - 2012-03-31,25
2012-04-01 - 2012-04-07,23
2012-04-08 - 2012-04-14,21
2012-04-15 - 2012-04-21,21
2012-04-22 - 2012-04-28,21
2012-04-29 - 2012-05-05,24
2012-05-06 - 2012-05-12,24
2012-05-13 - 2012-05-19,25
2012-05-20 - 2012-05-26,24
2012-05-27 - 2012-06-02,27
2012-06-03 - 2012-06-09,25
2012-06-10 - 2012-06-16,35
2012-06-17 - 2012-06-23,26
2012-06-24 - 2012-06-30,24
2012-07-01 - 2012-07-07,23
2012-07-08 - 2012-07-14,21
2012-07-15 - 2012-07-21,21
2012-07-22 - 2012-07-28,22
2012-07-29 - 2012-08-04,22
2012-08-05 - 2012-08-11,22
2012-08-12 - 2012-08-18,21
2012-08-19 - 2012-08-25,19
2012-08-26 - 2012-09-01,18
2012-09-02 - 2012-09-08,18
2012-09-09 - 2012-09-15,23
2012-09-16 - 2012-09-22,70
2012-09-23 - 2012-09-29,58
2012-09-30 - 2012-10-06,36
2012-10-07 - 2012-10-13,27
2012-10-14 - 2012-10-20,24
2012-10-21 - 2012-10-27,25
2012-10-28 - 2012-11-03,24
2012-11-04 - 2012-11-10,23
2012-11-11 - 2012-11-17,22
2012-11-18 - 2012-11-24,23
2012-11-25 - 2012-12-01,23
2012-12-02 - 2012-12-08,22
2012-12-09 - 2012-12-15,21
2012-12-16 - 2012-12-22,23
2012-12-23 - 2012-12-29,37
2012-12-30 - 2013-01-05,29
2013-01-06 - 2013-01-12,23
2013-01-13 - 2013-01-19,23
2013-01-20 - 2013-01-26,20
2013-01-27 - 2013-02-02,20
2013-02-03 - 2013-02-09,22
2013-02-10 - 2013-02-16,21
2013-02-17 - 2013-02-23,19
2013-02-24 - 2013-03-02,18
2013-03-03 - 2013-03-09,17
2013-03-10 - 2013-03-16,17
2013-03-17 - 2013-03-23,18
2013-03-24 - 2013-03-30,18
2013-03-31 - 2013-04-06,17
2013-04-07 - 2013-04-13,15
2013-04-14 - 2013-04-20,15
2013-04-21 - 2013-04-27,16
2013-04-28 - 2013-05-04,17
2013-05-05 - 2013-05-11,16
2013-05-12 - 2013-05-18,16
2013-05-19 - 2013-05-25,16
2013-05-26 - 2013-06-01,16
2013-06-02 - 2013-06-08,16
2013-06-09 - 2013-06-15,18
2013-06-16 - 2013-06-22,17
2013-06-23 - 2013-06-29,18
2013-06-30 - 2013-07-06,17
2013-07-07 - 2013-07-13,16
2013-07-14 - 2013-07-20,16
2013-07-21 - 2013-07-27,17
2013-07-28 - 2013-08-03,16
2013-08-04 - 2013-08-10,17
2013-08-11 - 2013-08-17,16
2013-08-18 - 2013-08-24,16
2013-08-25 - 2013-08-31,16
2013-09-01 - 2013-09-07,15
2013-09-08 - 2013-09-14,16
2013-09-15 - 2013-09-21,27
2013-09-22 - 2013-09-28,22
2013-09-29 - 2013-10-05,21
2013-10-06 - 2013-10-12,18
2013-10-13 - 2013-10-19,15
2013-10-20 - 2013-10-26,15
2013-10-27 - 2013-11-02,14
2013-11-03 - 2013-11-09,14
2013-11-10 - 2013-11-16,14
2013-11-17 - 2013-11-23,14
2013-11-24 - 2013-11-30,14
2013-12-01 - 2013-12-07,13
2013-12-08 - 2013-12-14,13
2013-12-15 - 2013-12-21,16
2013-12-22 - 2013-12-28,21
2013-12-29 - 2014-01-04,20
2014-01-05 - 2014-01-11,19
2014-01-12 - 2014-01-18,17
2014-01-19 - 2014-01-25,15
2014-01-26 - 2014-02-01,14
2014-02-02 - 2014-02-08,14
2014-02-09 - 2014-02-15,13
2014-02-16 - 2014-02-22,13
2014-02-23 - 2014-03-01,12
2014-03-02 - 2014-03-08,13
2014-03-09 - 2014-03-15,15
2014-03-16 - 2014-03-22,14
2014-03-23 - 2014-03-29,14
2014-03-30 - 2014-04-05,14
2014-04-06 - 2014-04-12,13
2014-04-13 - 2014-04-19,14
2014-04-20 - 2014-04-26,13
2014-04-27 - 2014-05-03,13
2014-05-04 - 2014-05-10,12
2014-05-11 - 2014-05-17,12
2014-05-18 - 2014-05-24,12
2014-05-25 - 2014-05-31,12
2014-06-01 - 2014-06-07,13
2014-06-08 - 2014-06-14,12
2014-06-15 - 2014-06-21,12
2014-06-22 - 2014-06-28,12
2014-06-29 - 2014-07-05,13
2014-07-06 - 2014-07-12,14
2014-07-13 - 2014-07-19,14
2014-07-20 - 2014-07-26,13
2014-07-27 - 2014-08-02,15
2014-08-03 - 2014-08-09,14
2014-08-10 - 2014-08-16,16
2014-08-17 - 2014-08-23,14
2014-08-24 - 2014-08-30,13
2014-08-31 - 2014-09-06,13
2014-09-07 - 2014-09-13,14
2014-09-14 - 2014-09-20,19
2014-09-21 - 2014-09-27,20
2014-09-28 - 2014-10-04,17
2014-10-05 - 2014-10-11,16
2014-10-12 - 2014-10-18,14
2014-10-19 - 2014-10-25,15
2014-10-26 - 2014-11-01,14
2014-11-02 - 2014-11-08,14
2014-11-09 - 2014-11-15,14
2014-11-16 - 2014-11-22,13
2014-11-23 - 2014-11-29,14
2014-11-30 - 2014-12-06,13
2014-12-07 - 2014-12-13,13
2014-12-14 - 2014-12-20,13
2014-12-21 - 2014-12-27,19
2014-12-28 - 2015-01-03,18
2015-01-04 - 2015-01-10,15
2015-01-11 - 2015-01-17,14
2015-01-18 - 2015-01-24,14
2015-01-25 - 2015-01-31,15
2015-02-01 - 2015-02-07,13
2015-02-08 - 2015-02-14,13
2015-02-15 - 2015-02-21,13
2015-02-22 - 2015-02-28,15
2015-03-01 - 2015-03-07,14
2015-03-08 - 2015-03-14,15
2015-03-15 - 2015-03-21,15
2015-03-22 - 2015-03-28,15
2015-03-29 - 2015-04-04,14
2015-04-05 - 2015-04-11,25
2015-04-12 - 2015-04-18,25
2015-04-19 - 2015-04-25,17
2015-04-26 - 2015-05-02,16
2015-05-03 - 2015-05-09,15
2015-05-10 - 2015-05-16,14
2015-05-17 - 2015-05-23,14
2015-05-24 - 2015-05-30,14
2015-05-31 - 2015-06-06,14
2015-06-07 - 2015-06-13,15
2015-06-14 - 2015-06-20,15
2015-06-21 - 2015-06-27,17
2015-06-28 - 2015-07-04,61
2015-07-05 - 2015-07-11,30
2015-07-12 - 2015-07-18,26
2015-07-19 - 2015-07-25,22
2015-07-26 - 2015-08-01,21
2015-08-02 - 2015-08-08,20
2015-08-09 - 2015-08-15,20
2015-08-16 - 2015-08-22,19
2015-08-23 - 2015-08-29,19
2015-08-30 - 2015-09-05,18
2015-09-06 - 2015-09-12,21
2015-09-13 - 2015-09-19,25
2015-09-20 - 2015-09-26,30
2015-09-27 - 2015-10-03,27
2015-10-04 - 2015-10-10,24
2015-10-11 - 2015-10-17,22
2015-10-18 - 2015-10-24,22
2015-10-25 - 2015-10-31,22
2015-11-01 - 2015-11-07,21
2015-11-08 - 2015-11-14,20
2015-11-15 - 2015-11-21,20
2015-11-22 - 2015-11-28,20
2015-11-29 - 2015-12-05,19
2015-12-06 - 2015-12-12,20
2015-12-13 - 2015-12-19,21
2015-12-20 - 2015-12-26,28
2015-12-27 - 2016-01-02,29
2016-01-03 - 2016-01-09,23
2016-01-10 - 2016-01-16,32
2016-01-17 - 2016-01-23,30
2016-01-24 - 2016-01-30,27
2016-01-31 - 2016-02-06,22
2016-02-07 - 2016-02-13,21
2016-02-14 - 2016-02-20,21
2016-02-21 - 2016-02-27,21
2016-02-28 - 2016-03-05,20
2016-03-06 - 2016-03-12,21
2016-03-13 - 2016-03-19,20
2016-03-20 - 2016-03-26,23
2016-03-27 - 2016-04-02,23
2016-04-03 - 2016-04-09,21
2016-04-10 - 2016-04-16,20
2016-04-17 - 2016-04-23,19
2016-04-24 - 2016-04-30,20


Top regions for siri
Region,siri
Tanzania,100
Sri Lanka,83
Norway,59
United States,25
Malaysia,22
Canada,17
Australia,16
New Zealand,15
Singapore,15
United Kingdom,15
Japan,15
Italy,15
Sweden,15
Ireland,13
Germany,12
Hong Kong,12
Denmark,12
Thailand,12
Brazil,11
Colombia,11
Taiwan,11
Indonesia,11
Mexico,11
United Arab Emirates,11
Austria,11
Pakistan,11
Philippines,11
India,11
Switzerland,10
Algeria,10
Morocco,9
France,8
South Africa,8
Netherlands,8
Spain,8
Israel,8
Chile,7
Belgium,7
Russia,7
Egypt,6
Ecuador,6
Finland,6
Argentina,6
Portugal,6
Serbia,6
South Korea,6
Turkey,6
Czech Republic,5
Romania,5
Greece,5
China,5
Saudi Arabia,4
Peru,4
Venezuela,4
Ukraine,4
Hungary,3
Vietnam,3
Poland,2


Top cities for siri
City,siri
Homagama (Sri Lanka),100
Oslo (Norway),62
Dallas (United States),29
San Francisco (United States),28
Chicago (United States),27
Atlanta (United States),26
Washington (United States),25
Los Angeles (United States),25
Seattle (United States),25
Philadelphia (United States),25
New York (United States),24
Houston (United States),23
Kuala Lumpur (Malaysia),22
Osaka (Japan),18
Toronto (Canada),16



Top searches for siri
iphone siri,100
siri iphone 4,40
iphone 4,40
ask siri,30
funny siri,25
ipad siri,25
google siri,25
android siri,20
what is siri,20
iphone 4s siri,15
iphone 4s,15
siri voice,15
siri apple,15
siri iphone 5,15
siri questions,15
siri app,15
siri download,10
ipad 2 siri,10
siri jailbreak,5
siri on ipad,5
are you siri,5
siri for android,5
ios 6,5
who is siri,5
hey siri,5
funny siri questions,5
where is siri,5
siri online,5
siri stock,5
nikah siri,5
nova siri,5
siri commands,5
siri proxy,5
siri tricks,5
siri not working,5
cortana,5
siri for ipad,5
voice of siri,5
google now,5
using siri,5
siri hustvedt,5
hello siri,0
siri fragen,0
change siri voice,0
siri iphone4,0



Rising searches for siri
android siri,Breakout
ask siri,Breakout
ipad siri,Breakout
iphone 4,Breakout
iphone 4s,Breakout
iphone 4s siri,Breakout
iphone siri,Breakout
siri iphone 4,Breakout
siri voice,Breakout
funny siri,+4,350%



