Web Search interest: cvx
Worldwide 2004 - present

Interest over time
Week,cvx
2005-03-27 - 2005-04-02,32
2005-04-03 - 2005-04-09,51
2005-04-10 - 2005-04-16,37
2005-04-17 - 2005-04-23,35
2005-04-24 - 2005-04-30,38
2005-05-01 - 2005-05-07,29
2005-05-08 - 2005-05-14,38
2005-05-15 - 2005-05-21,44
2005-05-22 - 2005-05-28,36
2005-05-29 - 2005-06-04,37
2005-06-05 - 2005-06-11,38
2005-06-12 - 2005-06-18,35
2005-06-19 - 2005-06-25,40
2005-06-26 - 2005-07-02,47
2005-07-03 - 2005-07-09,23
2005-07-10 - 2005-07-16,28
2005-07-17 - 2005-07-23,22
2005-07-24 - 2005-07-30,42
2005-07-31 - 2005-08-06,38
2005-08-07 - 2005-08-13,48
2005-08-14 - 2005-08-20,48
2005-08-21 - 2005-08-27,35
2005-08-28 - 2005-09-03,52
2005-09-04 - 2005-09-10,43
2005-09-11 - 2005-09-17,32
2005-09-18 - 2005-09-24,55
2005-09-25 - 2005-10-01,39
2005-10-02 - 2005-10-08,36
2005-10-09 - 2005-10-15,47
2005-10-16 - 2005-10-22,43
2005-10-23 - 2005-10-29,48
2005-10-30 - 2005-11-05,40
2005-11-06 - 2005-11-12,38
2005-11-13 - 2005-11-19,51
2005-11-20 - 2005-11-26,31
2005-11-27 - 2005-12-03,35
2005-12-04 - 2005-12-10,46
2005-12-11 - 2005-12-17,35
2005-12-18 - 2005-12-24,50
2005-12-25 - 2005-12-31,40
2006-01-01 - 2006-01-07,40
2006-01-08 - 2006-01-14,50
2006-01-15 - 2006-01-21,53
2006-01-22 - 2006-01-28,56
2006-01-29 - 2006-02-04,43
2006-02-05 - 2006-02-11,48
2006-02-12 - 2006-02-18,43
2006-02-19 - 2006-02-25,40
2006-02-26 - 2006-03-04,47
2006-03-05 - 2006-03-11,45
2006-03-12 - 2006-03-18,41
2006-03-19 - 2006-03-25,39
2006-03-26 - 2006-04-01,43
2006-04-02 - 2006-04-08,39
2006-04-09 - 2006-04-15,44
2006-04-16 - 2006-04-22,55
2006-04-23 - 2006-04-29,53
2006-04-30 - 2006-05-06,58
2006-05-07 - 2006-05-13,47
2006-05-14 - 2006-05-20,40
2006-05-21 - 2006-05-27,41
2006-05-28 - 2006-06-03,30
2006-06-04 - 2006-06-10,44
2006-06-11 - 2006-06-17,43
2006-06-18 - 2006-06-24,34
2006-06-25 - 2006-07-01,40
2006-07-02 - 2006-07-08,44
2006-07-09 - 2006-07-15,57
2006-07-16 - 2006-07-22,47
2006-07-23 - 2006-07-29,58
2006-07-30 - 2006-08-05,65
2006-08-06 - 2006-08-12,61
2006-08-13 - 2006-08-19,54
2006-08-20 - 2006-08-26,51
2006-08-27 - 2006-09-02,42
2006-09-03 - 2006-09-09,62
2006-09-10 - 2006-09-16,48
2006-09-17 - 2006-09-23,41
2006-09-24 - 2006-09-30,43
2006-10-01 - 2006-10-07,47
2006-10-08 - 2006-10-14,40
2006-10-15 - 2006-10-21,42
2006-10-22 - 2006-10-28,49
2006-10-29 - 2006-11-04,57
2006-11-05 - 2006-11-11,53
2006-11-12 - 2006-11-18,53
2006-11-19 - 2006-11-25,38
2006-11-26 - 2006-12-02,64
2006-12-03 - 2006-12-09,45
2006-12-10 - 2006-12-16,55
2006-12-17 - 2006-12-23,50
2006-12-24 - 2006-12-30,50
2006-12-31 - 2007-01-06,43
2007-01-07 - 2007-01-13,50
2007-01-14 - 2007-01-20,52
2007-01-21 - 2007-01-27,44
2007-01-28 - 2007-02-03,49
2007-02-04 - 2007-02-10,44
2007-02-11 - 2007-02-17,38
2007-02-18 - 2007-02-24,39
2007-02-25 - 2007-03-03,50
2007-03-04 - 2007-03-10,50
2007-03-11 - 2007-03-17,48
2007-03-18 - 2007-03-24,47
2007-03-25 - 2007-03-31,44
2007-04-01 - 2007-04-07,46
2007-04-08 - 2007-04-14,46
2007-04-15 - 2007-04-21,52
2007-04-22 - 2007-04-28,49
2007-04-29 - 2007-05-05,56
2007-05-06 - 2007-05-12,43
2007-05-13 - 2007-05-19,48
2007-05-20 - 2007-05-26,57
2007-05-27 - 2007-06-02,44
2007-06-03 - 2007-06-09,48
2007-06-10 - 2007-06-16,39
2007-06-17 - 2007-06-23,42
2007-06-24 - 2007-06-30,48
2007-07-01 - 2007-07-07,45
2007-07-08 - 2007-07-14,54
2007-07-15 - 2007-07-21,63
2007-07-22 - 2007-07-28,56
2007-07-29 - 2007-08-04,49
2007-08-05 - 2007-08-11,48
2007-08-12 - 2007-08-18,47
2007-08-19 - 2007-08-25,42
2007-08-26 - 2007-09-01,37
2007-09-02 - 2007-09-08,42
2007-09-09 - 2007-09-15,43
2007-09-16 - 2007-09-22,55
2007-09-23 - 2007-09-29,50
2007-09-30 - 2007-10-06,44
2007-10-07 - 2007-10-13,53
2007-10-14 - 2007-10-20,56
2007-10-21 - 2007-10-27,49
2007-10-28 - 2007-11-03,56
2007-11-04 - 2007-11-10,48
2007-11-11 - 2007-11-17,51
2007-11-18 - 2007-11-24,42
2007-11-25 - 2007-12-01,44
2007-12-02 - 2007-12-08,40
2007-12-09 - 2007-12-15,49
2007-12-16 - 2007-12-22,42
2007-12-23 - 2007-12-29,49
2007-12-30 - 2008-01-05,48
2008-01-06 - 2008-01-12,43
2008-01-13 - 2008-01-19,47
2008-01-20 - 2008-01-26,49
2008-01-27 - 2008-02-02,45
2008-02-03 - 2008-02-09,50
2008-02-10 - 2008-02-16,54
2008-02-17 - 2008-02-23,42
2008-02-24 - 2008-03-01,51
2008-03-02 - 2008-03-08,45
2008-03-09 - 2008-03-15,51
2008-03-16 - 2008-03-22,46
2008-03-23 - 2008-03-29,53
2008-03-30 - 2008-04-05,45
2008-04-06 - 2008-04-12,38
2008-04-13 - 2008-04-19,48
2008-04-20 - 2008-04-26,51
2008-04-27 - 2008-05-03,53
2008-05-04 - 2008-05-10,59
2008-05-11 - 2008-05-17,59
2008-05-18 - 2008-05-24,64
2008-05-25 - 2008-05-31,54
2008-06-01 - 2008-06-07,55
2008-06-08 - 2008-06-14,49
2008-06-15 - 2008-06-21,48
2008-06-22 - 2008-06-28,51
2008-06-29 - 2008-07-05,49
2008-07-06 - 2008-07-12,49
2008-07-13 - 2008-07-19,53
2008-07-20 - 2008-07-26,52
2008-07-27 - 2008-08-02,52
2008-08-03 - 2008-08-09,46
2008-08-10 - 2008-08-16,42
2008-08-17 - 2008-08-23,48
2008-08-24 - 2008-08-30,43
2008-08-31 - 2008-09-06,38
2008-09-07 - 2008-09-13,46
2008-09-14 - 2008-09-20,52
2008-09-21 - 2008-09-27,44
2008-09-28 - 2008-10-04,55
2008-10-05 - 2008-10-11,67
2008-10-12 - 2008-10-18,71
2008-10-19 - 2008-10-25,66
2008-10-26 - 2008-11-01,63
2008-11-02 - 2008-11-08,51
2008-11-09 - 2008-11-15,50
2008-11-16 - 2008-11-22,49
2008-11-23 - 2008-11-29,50
2008-11-30 - 2008-12-06,55
2008-12-07 - 2008-12-13,49
2008-12-14 - 2008-12-20,43
2008-12-21 - 2008-12-27,43
2008-12-28 - 2009-01-03,42
2009-01-04 - 2009-01-10,44
2009-01-11 - 2009-01-17,49
2009-01-18 - 2009-01-24,40
2009-01-25 - 2009-01-31,52
2009-02-01 - 2009-02-07,45
2009-02-08 - 2009-02-14,43
2009-02-15 - 2009-02-21,43
2009-02-22 - 2009-02-28,48
2009-03-01 - 2009-03-07,51
2009-03-08 - 2009-03-14,48
2009-03-15 - 2009-03-21,45
2009-03-22 - 2009-03-28,55
2009-03-29 - 2009-04-04,48
2009-04-05 - 2009-04-11,51
2009-04-12 - 2009-04-18,45
2009-04-19 - 2009-04-25,46
2009-04-26 - 2009-05-02,48
2009-05-03 - 2009-05-09,49
2009-05-10 - 2009-05-16,43
2009-05-17 - 2009-05-23,41
2009-05-24 - 2009-05-30,44
2009-05-31 - 2009-06-06,54
2009-06-07 - 2009-06-13,48
2009-06-14 - 2009-06-20,43
2009-06-21 - 2009-06-27,40
2009-06-28 - 2009-07-04,33
2009-07-05 - 2009-07-11,45
2009-07-12 - 2009-07-18,42
2009-07-19 - 2009-07-25,42
2009-07-26 - 2009-08-01,45
2009-08-02 - 2009-08-08,44
2009-08-09 - 2009-08-15,41
2009-08-16 - 2009-08-22,42
2009-08-23 - 2009-08-29,37
2009-08-30 - 2009-09-05,41
2009-09-06 - 2009-09-12,36
2009-09-13 - 2009-09-19,45
2009-09-20 - 2009-09-26,40
2009-09-27 - 2009-10-03,38
2009-10-04 - 2009-10-10,39
2009-10-11 - 2009-10-17,39
2009-10-18 - 2009-10-24,44
2009-10-25 - 2009-10-31,40
2009-11-01 - 2009-11-07,38
2009-11-08 - 2009-11-14,39
2009-11-15 - 2009-11-21,39
2009-11-22 - 2009-11-28,34
2009-11-29 - 2009-12-05,34
2009-12-06 - 2009-12-12,37
2009-12-13 - 2009-12-19,36
2009-12-20 - 2009-12-26,31
2009-12-27 - 2010-01-02,33
2010-01-03 - 2010-01-09,37
2010-01-10 - 2010-01-16,41
2010-01-17 - 2010-01-23,33
2010-01-24 - 2010-01-30,33
2010-01-31 - 2010-02-06,37
2010-02-07 - 2010-02-13,35
2010-02-14 - 2010-02-20,37
2010-02-21 - 2010-02-27,38
2010-02-28 - 2010-03-06,37
2010-03-07 - 2010-03-13,42
2010-03-14 - 2010-03-20,38
2010-03-21 - 2010-03-27,38
2010-03-28 - 2010-04-03,38
2010-04-04 - 2010-04-10,36
2010-04-11 - 2010-04-17,39
2010-04-18 - 2010-04-24,42
2010-04-25 - 2010-05-01,41
2010-05-02 - 2010-05-08,38
2010-05-09 - 2010-05-15,41
2010-05-16 - 2010-05-22,39
2010-05-23 - 2010-05-29,39
2010-05-30 - 2010-06-05,35
2010-06-06 - 2010-06-12,35
2010-06-13 - 2010-06-19,33
2010-06-20 - 2010-06-26,31
2010-06-27 - 2010-07-03,32
2010-07-04 - 2010-07-10,35
2010-07-11 - 2010-07-17,39
2010-07-18 - 2010-07-24,34
2010-07-25 - 2010-07-31,40
2010-08-01 - 2010-08-07,36
2010-08-08 - 2010-08-14,37
2010-08-15 - 2010-08-21,37
2010-08-22 - 2010-08-28,28
2010-08-29 - 2010-09-04,33
2010-09-05 - 2010-09-11,31
2010-09-12 - 2010-09-18,39
2010-09-19 - 2010-09-25,38
2010-09-26 - 2010-10-02,39
2010-10-03 - 2010-10-09,37
2010-10-10 - 2010-10-16,38
2010-10-17 - 2010-10-23,37
2010-10-24 - 2010-10-30,39
2010-10-31 - 2010-11-06,40
2010-11-07 - 2010-11-13,39
2010-11-14 - 2010-11-20,40
2010-11-21 - 2010-11-27,33
2010-11-28 - 2010-12-04,40
2010-12-05 - 2010-12-11,39
2010-12-12 - 2010-12-18,39
2010-12-19 - 2010-12-25,38
2010-12-26 - 2011-01-01,43
2011-01-02 - 2011-01-08,42
2011-01-09 - 2011-01-15,40
2011-01-16 - 2011-01-22,36
2011-01-23 - 2011-01-29,40
2011-01-30 - 2011-02-05,49
2011-02-06 - 2011-02-12,40
2011-02-13 - 2011-02-19,41
2011-02-20 - 2011-02-26,55
2011-02-27 - 2011-03-05,55
2011-03-06 - 2011-03-12,50
2011-03-13 - 2011-03-19,48
2011-03-20 - 2011-03-26,52
2011-03-27 - 2011-04-02,49
2011-04-03 - 2011-04-09,53
2011-04-10 - 2011-04-16,50
2011-04-17 - 2011-04-23,42
2011-04-24 - 2011-04-30,50
2011-05-01 - 2011-05-07,46
2011-05-08 - 2011-05-14,46
2011-05-15 - 2011-05-21,37
2011-05-22 - 2011-05-28,40
2011-05-29 - 2011-06-04,40
2011-06-05 - 2011-06-11,39
2011-06-12 - 2011-06-18,36
2011-06-19 - 2011-06-25,39
2011-06-26 - 2011-07-02,35
2011-07-03 - 2011-07-09,39
2011-07-10 - 2011-07-16,39
2011-07-17 - 2011-07-23,38
2011-07-24 - 2011-07-30,43
2011-07-31 - 2011-08-06,47
2011-08-07 - 2011-08-13,59
2011-08-14 - 2011-08-20,43
2011-08-21 - 2011-08-27,46
2011-08-28 - 2011-09-03,41
2011-09-04 - 2011-09-10,39
2011-09-11 - 2011-09-17,43
2011-09-18 - 2011-09-24,40
2011-09-25 - 2011-10-01,43
2011-10-02 - 2011-10-08,42
2011-10-09 - 2011-10-15,41
2011-10-16 - 2011-10-22,43
2011-10-23 - 2011-10-29,44
2011-10-30 - 2011-11-05,45
2011-11-06 - 2011-11-12,44
2011-11-13 - 2011-11-19,44
2011-11-20 - 2011-11-26,41
2011-11-27 - 2011-12-03,47
2011-12-04 - 2011-12-10,41
2011-12-11 - 2011-12-17,39
2011-12-18 - 2011-12-24,36
2011-12-25 - 2011-12-31,40
2012-01-01 - 2012-01-07,38
2012-01-08 - 2012-01-14,40
2012-01-15 - 2012-01-21,41
2012-01-22 - 2012-01-28,38
2012-01-29 - 2012-02-04,41
2012-02-05 - 2012-02-11,41
2012-02-12 - 2012-02-18,41
2012-02-19 - 2012-02-25,39
2012-02-26 - 2012-03-03,41
2012-03-04 - 2012-03-10,41
2012-03-11 - 2012-03-17,41
2012-03-18 - 2012-03-24,44
2012-03-25 - 2012-03-31,40
2012-04-01 - 2012-04-07,40
2012-04-08 - 2012-04-14,43
2012-04-15 - 2012-04-21,36
2012-04-22 - 2012-04-28,37
2012-04-29 - 2012-05-05,42
2012-05-06 - 2012-05-12,37
2012-05-13 - 2012-05-19,40
2012-05-20 - 2012-05-26,39
2012-05-27 - 2012-06-02,37
2012-06-03 - 2012-06-09,40
2012-06-10 - 2012-06-16,34
2012-06-17 - 2012-06-23,34
2012-06-24 - 2012-06-30,37
2012-07-01 - 2012-07-07,37
2012-07-08 - 2012-07-14,36
2012-07-15 - 2012-07-21,39
2012-07-22 - 2012-07-28,39
2012-07-29 - 2012-08-04,39
2012-08-05 - 2012-08-11,41
2012-08-12 - 2012-08-18,39
2012-08-19 - 2012-08-25,40
2012-08-26 - 2012-09-01,36
2012-09-02 - 2012-09-08,36
2012-09-09 - 2012-09-15,39
2012-09-16 - 2012-09-22,43
2012-09-23 - 2012-09-29,37
2012-09-30 - 2012-10-06,42
2012-10-07 - 2012-10-13,41
2012-10-14 - 2012-10-20,38
2012-10-21 - 2012-10-27,38
2012-10-28 - 2012-11-03,36
2012-11-04 - 2012-11-10,37
2012-11-11 - 2012-11-17,40
2012-11-18 - 2012-11-24,36
2012-11-25 - 2012-12-01,37
2012-12-02 - 2012-12-08,37
2012-12-09 - 2012-12-15,36
2012-12-16 - 2012-12-22,37
2012-12-23 - 2012-12-29,31
2012-12-30 - 2013-01-05,34
2013-01-06 - 2013-01-12,35
2013-01-13 - 2013-01-19,36
2013-01-20 - 2013-01-26,35
2013-01-27 - 2013-02-02,37
2013-02-03 - 2013-02-09,35
2013-02-10 - 2013-02-16,36
2013-02-17 - 2013-02-23,35
2013-02-24 - 2013-03-02,34
2013-03-03 - 2013-03-09,42
2013-03-10 - 2013-03-16,42
2013-03-17 - 2013-03-23,39
2013-03-24 - 2013-03-30,40
2013-03-31 - 2013-04-06,34
2013-04-07 - 2013-04-13,39
2013-04-14 - 2013-04-20,37
2013-04-21 - 2013-04-27,38
2013-04-28 - 2013-05-04,42
2013-05-05 - 2013-05-11,40
2013-05-12 - 2013-05-18,38
2013-05-19 - 2013-05-25,40
2013-05-26 - 2013-06-01,37
2013-06-02 - 2013-06-08,35
2013-06-09 - 2013-06-15,33
2013-06-16 - 2013-06-22,35
2013-06-23 - 2013-06-29,35
2013-06-30 - 2013-07-06,33
2013-07-07 - 2013-07-13,37
2013-07-14 - 2013-07-20,37
2013-07-21 - 2013-07-27,36
2013-07-28 - 2013-08-03,39
2013-08-04 - 2013-08-10,35
2013-08-11 - 2013-08-17,35
2013-08-18 - 2013-08-24,35
2013-08-25 - 2013-08-31,38
2013-09-01 - 2013-09-07,33
2013-09-08 - 2013-09-14,36
2013-09-15 - 2013-09-21,36
2013-09-22 - 2013-09-28,32
2013-09-29 - 2013-10-05,37
2013-10-06 - 2013-10-12,40
2013-10-13 - 2013-10-19,36
2013-10-20 - 2013-10-26,33
2013-10-27 - 2013-11-02,39
2013-11-03 - 2013-11-09,37
2013-11-10 - 2013-11-16,34
2013-11-17 - 2013-11-23,37
2013-11-24 - 2013-11-30,33
2013-12-01 - 2013-12-07,32
2013-12-08 - 2013-12-14,36
2013-12-15 - 2013-12-21,32
2013-12-22 - 2013-12-28,36
2013-12-29 - 2014-01-04,35
2014-01-05 - 2014-01-11,40
2014-01-12 - 2014-01-18,41
2014-01-19 - 2014-01-25,35
2014-01-26 - 2014-02-01,48
2014-02-02 - 2014-02-08,45
2014-02-09 - 2014-02-15,45
2014-02-16 - 2014-02-22,40
2014-02-23 - 2014-03-01,43
2014-03-02 - 2014-03-08,45
2014-03-09 - 2014-03-15,41
2014-03-16 - 2014-03-22,41
2014-03-23 - 2014-03-29,40
2014-03-30 - 2014-04-05,37
2014-04-06 - 2014-04-12,40
2014-04-13 - 2014-04-19,40
2014-04-20 - 2014-04-26,41
2014-04-27 - 2014-05-03,43
2014-05-04 - 2014-05-10,37
2014-05-11 - 2014-05-17,38
2014-05-18 - 2014-05-24,35
2014-05-25 - 2014-05-31,32
2014-06-01 - 2014-06-07,36
2014-06-08 - 2014-06-14,37
2014-06-15 - 2014-06-21,41
2014-06-22 - 2014-06-28,39
2014-06-29 - 2014-07-05,35
2014-07-06 - 2014-07-12,36
2014-07-13 - 2014-07-19,35
2014-07-20 - 2014-07-26,38
2014-07-27 - 2014-08-02,36
2014-08-03 - 2014-08-09,38
2014-08-10 - 2014-08-16,35
2014-08-17 - 2014-08-23,37
2014-08-24 - 2014-08-30,36
2014-08-31 - 2014-09-06,32
2014-09-07 - 2014-09-13,37
2014-09-14 - 2014-09-20,34
2014-09-21 - 2014-09-27,38
2014-09-28 - 2014-10-04,41
2014-10-05 - 2014-10-11,44
2014-10-12 - 2014-10-18,46
2014-10-19 - 2014-10-25,44
2014-10-26 - 2014-11-01,41
2014-11-02 - 2014-11-08,46
2014-11-09 - 2014-11-15,41
2014-11-16 - 2014-11-22,39
2014-11-23 - 2014-11-29,42
2014-11-30 - 2014-12-06,55
2014-12-07 - 2014-12-13,62
2014-12-14 - 2014-12-20,67
2014-12-21 - 2014-12-27,56
2014-12-28 - 2015-01-03,50
2015-01-04 - 2015-01-10,64
2015-01-11 - 2015-01-17,61
2015-01-18 - 2015-01-24,50
2015-01-25 - 2015-01-31,64
2015-02-01 - 2015-02-07,63
2015-02-08 - 2015-02-14,55
2015-02-15 - 2015-02-21,47
2015-02-22 - 2015-02-28,48
2015-03-01 - 2015-03-07,46
2015-03-08 - 2015-03-14,48
2015-03-15 - 2015-03-21,50
2015-03-22 - 2015-03-28,48
2015-03-29 - 2015-04-04,45
2015-04-05 - 2015-04-11,45
2015-04-12 - 2015-04-18,48
2015-04-19 - 2015-04-25,46
2015-04-26 - 2015-05-02,51
2015-05-03 - 2015-05-09,46
2015-05-10 - 2015-05-16,43
2015-05-17 - 2015-05-23,46
2015-05-24 - 2015-05-30,43
2015-05-31 - 2015-06-06,45
2015-06-07 - 2015-06-13,46
2015-06-14 - 2015-06-20,46
2015-06-21 - 2015-06-27,42
2015-06-28 - 2015-07-04,51
2015-07-05 - 2015-07-11,52
2015-07-12 - 2015-07-18,52
2015-07-19 - 2015-07-25,52
2015-07-26 - 2015-08-01,75
2015-08-02 - 2015-08-08,76
2015-08-09 - 2015-08-15,68
2015-08-16 - 2015-08-22,73
2015-08-23 - 2015-08-29,100
2015-08-30 - 2015-09-05,78
2015-09-06 - 2015-09-12,61
2015-09-13 - 2015-09-19,59
2015-09-20 - 2015-09-26,52
2015-09-27 - 2015-10-03,56
2015-10-04 - 2015-10-10,65
2015-10-11 - 2015-10-17,53
2015-10-18 - 2015-10-24,53
2015-10-25 - 2015-10-31,60
2015-11-01 - 2015-11-07,63
2015-11-08 - 2015-11-14,52
2015-11-15 - 2015-11-21,54
2015-11-22 - 2015-11-28,41
2015-11-29 - 2015-12-05,48
2015-12-06 - 2015-12-12,58
2015-12-13 - 2015-12-19,55
2015-12-20 - 2015-12-26,45
2015-12-27 - 2016-01-02,45
2016-01-03 - 2016-01-09,59
2016-01-10 - 2016-01-16,67
2016-01-17 - 2016-01-23,66
2016-01-24 - 2016-01-30,67
2016-01-31 - 2016-02-06,58
2016-02-07 - 2016-02-13,60
2016-02-14 - 2016-02-20,57
2016-02-21 - 2016-02-27,53
2016-02-28 - 2016-03-05,52
2016-03-06 - 2016-03-12,64
2016-03-13 - 2016-03-19,59
2016-03-20 - 2016-03-26,61
2016-03-27 - 2016-04-02,59
2016-04-03 - 2016-04-09,48
2016-04-10 - 2016-04-16,55
2016-04-17 - 2016-04-23,61
2016-04-24 - 2016-04-30,62


Top regions for cvx
Region,cvx
United States,100
Chile,75
Venezuela,47
France,47
Germany,36
Belgium,36
Canada,31
Netherlands,30
Spain,25
Australia,24
Poland,24
Italy,17
United Kingdom,16
Mexico,14
Turkey,13
Brazil,11
India,8
Japan,7


Top cities for cvx
City,cvx
San Ramon (United States),100
Houston (United States),10
San Francisco (United States),6
Austin (United States),5
Dallas (United States),4
San Diego (United States),4
Los Angeles (United States),4
Seattle (United States),3
Denver (United States),3
Santiago (Chile),3
New York (United States),3
Washington (United States),3
Atlanta (United States),3
Chicago (United States),3
Paris (France),1



Top searches for cvx
cvx stock,100
case cvx,80
cvx price,40
puma cvx,35
cvx stock price,30
case puma cvx,30
case puma,30
cvx 12,20
case ih cvx,20
cvx 15,20
kicker cvx 12,15
cvx dividend,15
xom stock,15
kicker cvx 15,15
cvx matlab,15
cvx quote,10
cvx yahoo,10
p90x3 cvx,10
cvx code,10
case cvx 230,10
kicker cvr,10
honda cvx,5
cvx 170,5
cvx 150,5
cvx 195,5
cvx stock quote,5
maxxum cvx,5
cvx live,5
cvx codes,5
case cvx 170,5
xom stock price,5



Rising searches for cvx
case puma,Breakout
case puma cvx,Breakout
puma cvx,Breakout
cvx price,+1,500%
cvx stock price,+1,100%
cvx stock,+550%
cvx 12,+350%
case ih cvx,+250%
case cvx,+200%



