Web Search interest: eix
Worldwide 2004 - present

Interest over time
Week,eix
2006-11-26 - 2006-12-02,60
2006-12-03 - 2006-12-09,71
2006-12-10 - 2006-12-16,68
2006-12-17 - 2006-12-23,55
2006-12-24 - 2006-12-30,80
2006-12-31 - 2007-01-06,74
2007-01-07 - 2007-01-13,64
2007-01-14 - 2007-01-20,56
2007-01-21 - 2007-01-27,56
2007-01-28 - 2007-02-03,45
2007-02-04 - 2007-02-10,59
2007-02-11 - 2007-02-17,69
2007-02-18 - 2007-02-24,56
2007-02-25 - 2007-03-03,61
2007-03-04 - 2007-03-10,63
2007-03-11 - 2007-03-17,69
2007-03-18 - 2007-03-24,91
2007-03-25 - 2007-03-31,76
2007-04-01 - 2007-04-07,84
2007-04-08 - 2007-04-14,78
2007-04-15 - 2007-04-21,70
2007-04-22 - 2007-04-28,71
2007-04-29 - 2007-05-05,95
2007-05-06 - 2007-05-12,66
2007-05-13 - 2007-05-19,80
2007-05-20 - 2007-05-26,71
2007-05-27 - 2007-06-02,66
2007-06-03 - 2007-06-09,65
2007-06-10 - 2007-06-16,65
2007-06-17 - 2007-06-23,49
2007-06-24 - 2007-06-30,75
2007-07-01 - 2007-07-07,82
2007-07-08 - 2007-07-14,71
2007-07-15 - 2007-07-21,56
2007-07-22 - 2007-07-28,68
2007-07-29 - 2007-08-04,74
2007-08-05 - 2007-08-11,46
2007-08-12 - 2007-08-18,59
2007-08-19 - 2007-08-25,54
2007-08-26 - 2007-09-01,71
2007-09-02 - 2007-09-08,75
2007-09-09 - 2007-09-15,45
2007-09-16 - 2007-09-22,63
2007-09-23 - 2007-09-29,61
2007-09-30 - 2007-10-06,57
2007-10-07 - 2007-10-13,76
2007-10-14 - 2007-10-20,60
2007-10-21 - 2007-10-27,68
2007-10-28 - 2007-11-03,79
2007-11-04 - 2007-11-10,60
2007-11-11 - 2007-11-17,49
2007-11-18 - 2007-11-24,58
2007-11-25 - 2007-12-01,71
2007-12-02 - 2007-12-08,60
2007-12-09 - 2007-12-15,48
2007-12-16 - 2007-12-22,54
2007-12-23 - 2007-12-29,72
2007-12-30 - 2008-01-05,51
2008-01-06 - 2008-01-12,58
2008-01-13 - 2008-01-19,58
2008-01-20 - 2008-01-26,64
2008-01-27 - 2008-02-02,51
2008-02-03 - 2008-02-09,65
2008-02-10 - 2008-02-16,50
2008-02-17 - 2008-02-23,54
2008-02-24 - 2008-03-01,53
2008-03-02 - 2008-03-08,51
2008-03-09 - 2008-03-15,61
2008-03-16 - 2008-03-22,58
2008-03-23 - 2008-03-29,59
2008-03-30 - 2008-04-05,56
2008-04-06 - 2008-04-12,58
2008-04-13 - 2008-04-19,61
2008-04-20 - 2008-04-26,54
2008-04-27 - 2008-05-03,66
2008-05-04 - 2008-05-10,58
2008-05-11 - 2008-05-17,65
2008-05-18 - 2008-05-24,62
2008-05-25 - 2008-05-31,60
2008-06-01 - 2008-06-07,59
2008-06-08 - 2008-06-14,47
2008-06-15 - 2008-06-21,63
2008-06-22 - 2008-06-28,64
2008-06-29 - 2008-07-05,65
2008-07-06 - 2008-07-12,52
2008-07-13 - 2008-07-19,71
2008-07-20 - 2008-07-26,60
2008-07-27 - 2008-08-02,59
2008-08-03 - 2008-08-09,51
2008-08-10 - 2008-08-16,62
2008-08-17 - 2008-08-23,57
2008-08-24 - 2008-08-30,67
2008-08-31 - 2008-09-06,54
2008-09-07 - 2008-09-13,55
2008-09-14 - 2008-09-20,68
2008-09-21 - 2008-09-27,62
2008-09-28 - 2008-10-04,65
2008-10-05 - 2008-10-11,67
2008-10-12 - 2008-10-18,63
2008-10-19 - 2008-10-25,65
2008-10-26 - 2008-11-01,52
2008-11-02 - 2008-11-08,48
2008-11-09 - 2008-11-15,64
2008-11-16 - 2008-11-22,47
2008-11-23 - 2008-11-29,56
2008-11-30 - 2008-12-06,54
2008-12-07 - 2008-12-13,47
2008-12-14 - 2008-12-20,46
2008-12-21 - 2008-12-27,65
2008-12-28 - 2009-01-03,63
2009-01-04 - 2009-01-10,46
2009-01-11 - 2009-01-17,51
2009-01-18 - 2009-01-24,43
2009-01-25 - 2009-01-31,58
2009-02-01 - 2009-02-07,59
2009-02-08 - 2009-02-14,52
2009-02-15 - 2009-02-21,52
2009-02-22 - 2009-02-28,51
2009-03-01 - 2009-03-07,73
2009-03-08 - 2009-03-14,59
2009-03-15 - 2009-03-21,60
2009-03-22 - 2009-03-28,65
2009-03-29 - 2009-04-04,60
2009-04-05 - 2009-04-11,59
2009-04-12 - 2009-04-18,59
2009-04-19 - 2009-04-25,61
2009-04-26 - 2009-05-02,54
2009-05-03 - 2009-05-09,65
2009-05-10 - 2009-05-16,60
2009-05-17 - 2009-05-23,58
2009-05-24 - 2009-05-30,54
2009-05-31 - 2009-06-06,74
2009-06-07 - 2009-06-13,62
2009-06-14 - 2009-06-20,60
2009-06-21 - 2009-06-27,50
2009-06-28 - 2009-07-04,57
2009-07-05 - 2009-07-11,63
2009-07-12 - 2009-07-18,51
2009-07-19 - 2009-07-25,64
2009-07-26 - 2009-08-01,54
2009-08-02 - 2009-08-08,53
2009-08-09 - 2009-08-15,54
2009-08-16 - 2009-08-22,47
2009-08-23 - 2009-08-29,55
2009-08-30 - 2009-09-05,49
2009-09-06 - 2009-09-12,51
2009-09-13 - 2009-09-19,58
2009-09-20 - 2009-09-26,49
2009-09-27 - 2009-10-03,48
2009-10-04 - 2009-10-10,57
2009-10-11 - 2009-10-17,60
2009-10-18 - 2009-10-24,51
2009-10-25 - 2009-10-31,50
2009-11-01 - 2009-11-07,53
2009-11-08 - 2009-11-14,54
2009-11-15 - 2009-11-21,67
2009-11-22 - 2009-11-28,61
2009-11-29 - 2009-12-05,50
2009-12-06 - 2009-12-12,40
2009-12-13 - 2009-12-19,47
2009-12-20 - 2009-12-26,65
2009-12-27 - 2010-01-02,69
2010-01-03 - 2010-01-09,60
2010-01-10 - 2010-01-16,56
2010-01-17 - 2010-01-23,54
2010-01-24 - 2010-01-30,52
2010-01-31 - 2010-02-06,47
2010-02-07 - 2010-02-13,62
2010-02-14 - 2010-02-20,55
2010-02-21 - 2010-02-27,52
2010-02-28 - 2010-03-06,55
2010-03-07 - 2010-03-13,59
2010-03-14 - 2010-03-20,50
2010-03-21 - 2010-03-27,58
2010-03-28 - 2010-04-03,56
2010-04-04 - 2010-04-10,56
2010-04-11 - 2010-04-17,59
2010-04-18 - 2010-04-24,48
2010-04-25 - 2010-05-01,49
2010-05-02 - 2010-05-08,54
2010-05-09 - 2010-05-15,54
2010-05-16 - 2010-05-22,44
2010-05-23 - 2010-05-29,47
2010-05-30 - 2010-06-05,47
2010-06-06 - 2010-06-12,56
2010-06-13 - 2010-06-19,39
2010-06-20 - 2010-06-26,42
2010-06-27 - 2010-07-03,65
2010-07-04 - 2010-07-10,55
2010-07-11 - 2010-07-17,53
2010-07-18 - 2010-07-24,63
2010-07-25 - 2010-07-31,49
2010-08-01 - 2010-08-07,50
2010-08-08 - 2010-08-14,52
2010-08-15 - 2010-08-21,46
2010-08-22 - 2010-08-28,65
2010-08-29 - 2010-09-04,56
2010-09-05 - 2010-09-11,59
2010-09-12 - 2010-09-18,53
2010-09-19 - 2010-09-25,51
2010-09-26 - 2010-10-02,58
2010-10-03 - 2010-10-09,52
2010-10-10 - 2010-10-16,58
2010-10-17 - 2010-10-23,46
2010-10-24 - 2010-10-30,57
2010-10-31 - 2010-11-06,55
2010-11-07 - 2010-11-13,46
2010-11-14 - 2010-11-20,64
2010-11-21 - 2010-11-27,48
2010-11-28 - 2010-12-04,51
2010-12-05 - 2010-12-11,55
2010-12-12 - 2010-12-18,49
2010-12-19 - 2010-12-25,40
2010-12-26 - 2011-01-01,56
2011-01-02 - 2011-01-08,49
2011-01-09 - 2011-01-15,52
2011-01-16 - 2011-01-22,55
2011-01-23 - 2011-01-29,57
2011-01-30 - 2011-02-05,43
2011-02-06 - 2011-02-12,59
2011-02-13 - 2011-02-19,59
2011-02-20 - 2011-02-26,49
2011-02-27 - 2011-03-05,50
2011-03-06 - 2011-03-12,58
2011-03-13 - 2011-03-19,49
2011-03-20 - 2011-03-26,48
2011-03-27 - 2011-04-02,57
2011-04-03 - 2011-04-09,49
2011-04-10 - 2011-04-16,49
2011-04-17 - 2011-04-23,59
2011-04-24 - 2011-04-30,59
2011-05-01 - 2011-05-07,58
2011-05-08 - 2011-05-14,54
2011-05-15 - 2011-05-21,55
2011-05-22 - 2011-05-28,52
2011-05-29 - 2011-06-04,57
2011-06-05 - 2011-06-11,54
2011-06-12 - 2011-06-18,40
2011-06-19 - 2011-06-25,53
2011-06-26 - 2011-07-02,52
2011-07-03 - 2011-07-09,48
2011-07-10 - 2011-07-16,45
2011-07-17 - 2011-07-23,52
2011-07-24 - 2011-07-30,51
2011-07-31 - 2011-08-06,42
2011-08-07 - 2011-08-13,40
2011-08-14 - 2011-08-20,44
2011-08-21 - 2011-08-27,39
2011-08-28 - 2011-09-03,43
2011-09-04 - 2011-09-10,47
2011-09-11 - 2011-09-17,54
2011-09-18 - 2011-09-24,49
2011-09-25 - 2011-10-01,51
2011-10-02 - 2011-10-08,47
2011-10-09 - 2011-10-15,46
2011-10-16 - 2011-10-22,42
2011-10-23 - 2011-10-29,42
2011-10-30 - 2011-11-05,51
2011-11-06 - 2011-11-12,47
2011-11-13 - 2011-11-19,53
2011-11-20 - 2011-11-26,46
2011-11-27 - 2011-12-03,64
2011-12-04 - 2011-12-10,58
2011-12-11 - 2011-12-17,40
2011-12-18 - 2011-12-24,38
2011-12-25 - 2011-12-31,51
2012-01-01 - 2012-01-07,53
2012-01-08 - 2012-01-14,41
2012-01-15 - 2012-01-21,47
2012-01-22 - 2012-01-28,44
2012-01-29 - 2012-02-04,46
2012-02-05 - 2012-02-11,50
2012-02-12 - 2012-02-18,41
2012-02-19 - 2012-02-25,50
2012-02-26 - 2012-03-03,42
2012-03-04 - 2012-03-10,45
2012-03-11 - 2012-03-17,48
2012-03-18 - 2012-03-24,46
2012-03-25 - 2012-03-31,52
2012-04-01 - 2012-04-07,61
2012-04-08 - 2012-04-14,39
2012-04-15 - 2012-04-21,44
2012-04-22 - 2012-04-28,44
2012-04-29 - 2012-05-05,51
2012-05-06 - 2012-05-12,52
2012-05-13 - 2012-05-19,47
2012-05-20 - 2012-05-26,37
2012-05-27 - 2012-06-02,45
2012-06-03 - 2012-06-09,50
2012-06-10 - 2012-06-16,45
2012-06-17 - 2012-06-23,42
2012-06-24 - 2012-06-30,50
2012-07-01 - 2012-07-07,45
2012-07-08 - 2012-07-14,47
2012-07-15 - 2012-07-21,44
2012-07-22 - 2012-07-28,48
2012-07-29 - 2012-08-04,40
2012-08-05 - 2012-08-11,39
2012-08-12 - 2012-08-18,40
2012-08-19 - 2012-08-25,47
2012-08-26 - 2012-09-01,43
2012-09-02 - 2012-09-08,48
2012-09-09 - 2012-09-15,46
2012-09-16 - 2012-09-22,46
2012-09-23 - 2012-09-29,46
2012-09-30 - 2012-10-06,45
2012-10-07 - 2012-10-13,53
2012-10-14 - 2012-10-20,48
2012-10-21 - 2012-10-27,47
2012-10-28 - 2012-11-03,52
2012-11-04 - 2012-11-10,47
2012-11-11 - 2012-11-17,49
2012-11-18 - 2012-11-24,43
2012-11-25 - 2012-12-01,39
2012-12-02 - 2012-12-08,49
2012-12-09 - 2012-12-15,37
2012-12-16 - 2012-12-22,42
2012-12-23 - 2012-12-29,43
2012-12-30 - 2013-01-05,76
2013-01-06 - 2013-01-12,48
2013-01-13 - 2013-01-19,41
2013-01-20 - 2013-01-26,46
2013-01-27 - 2013-02-02,43
2013-02-03 - 2013-02-09,44
2013-02-10 - 2013-02-16,51
2013-02-17 - 2013-02-23,41
2013-02-24 - 2013-03-02,48
2013-03-03 - 2013-03-09,41
2013-03-10 - 2013-03-16,48
2013-03-17 - 2013-03-23,42
2013-03-24 - 2013-03-30,43
2013-03-31 - 2013-04-06,40
2013-04-07 - 2013-04-13,39
2013-04-14 - 2013-04-20,41
2013-04-21 - 2013-04-27,40
2013-04-28 - 2013-05-04,45
2013-05-05 - 2013-05-11,42
2013-05-12 - 2013-05-18,46
2013-05-19 - 2013-05-25,43
2013-05-26 - 2013-06-01,43
2013-06-02 - 2013-06-08,46
2013-06-09 - 2013-06-15,47
2013-06-16 - 2013-06-22,35
2013-06-23 - 2013-06-29,43
2013-06-30 - 2013-07-06,42
2013-07-07 - 2013-07-13,49
2013-07-14 - 2013-07-20,48
2013-07-21 - 2013-07-27,45
2013-07-28 - 2013-08-03,44
2013-08-04 - 2013-08-10,45
2013-08-11 - 2013-08-17,35
2013-08-18 - 2013-08-24,38
2013-08-25 - 2013-08-31,39
2013-09-01 - 2013-09-07,47
2013-09-08 - 2013-09-14,39
2013-09-15 - 2013-09-21,41
2013-09-22 - 2013-09-28,43
2013-09-29 - 2013-10-05,42
2013-10-06 - 2013-10-12,45
2013-10-13 - 2013-10-19,39
2013-10-20 - 2013-10-26,59
2013-10-27 - 2013-11-02,45
2013-11-03 - 2013-11-09,48
2013-11-10 - 2013-11-16,38
2013-11-17 - 2013-11-23,41
2013-11-24 - 2013-11-30,40
2013-12-01 - 2013-12-07,43
2013-12-08 - 2013-12-14,40
2013-12-15 - 2013-12-21,40
2013-12-22 - 2013-12-28,48
2013-12-29 - 2014-01-04,43
2014-01-05 - 2014-01-11,44
2014-01-12 - 2014-01-18,45
2014-01-19 - 2014-01-25,44
2014-01-26 - 2014-02-01,41
2014-02-02 - 2014-02-08,47
2014-02-09 - 2014-02-15,37
2014-02-16 - 2014-02-22,42
2014-02-23 - 2014-03-01,37
2014-03-02 - 2014-03-08,41
2014-03-09 - 2014-03-15,39
2014-03-16 - 2014-03-22,43
2014-03-23 - 2014-03-29,44
2014-03-30 - 2014-04-05,58
2014-04-06 - 2014-04-12,46
2014-04-13 - 2014-04-19,46
2014-04-20 - 2014-04-26,42
2014-04-27 - 2014-05-03,55
2014-05-04 - 2014-05-10,45
2014-05-11 - 2014-05-17,44
2014-05-18 - 2014-05-24,43
2014-05-25 - 2014-05-31,45
2014-06-01 - 2014-06-07,47
2014-06-08 - 2014-06-14,40
2014-06-15 - 2014-06-21,44
2014-06-22 - 2014-06-28,46
2014-06-29 - 2014-07-05,40
2014-07-06 - 2014-07-12,43
2014-07-13 - 2014-07-19,39
2014-07-20 - 2014-07-26,44
2014-07-27 - 2014-08-02,44
2014-08-03 - 2014-08-09,46
2014-08-10 - 2014-08-16,40
2014-08-17 - 2014-08-23,43
2014-08-24 - 2014-08-30,41
2014-08-31 - 2014-09-06,43
2014-09-07 - 2014-09-13,41
2014-09-14 - 2014-09-20,44
2014-09-21 - 2014-09-27,45
2014-09-28 - 2014-10-04,45
2014-10-05 - 2014-10-11,43
2014-10-12 - 2014-10-18,40
2014-10-19 - 2014-10-25,43
2014-10-26 - 2014-11-01,59
2014-11-02 - 2014-11-08,45
2014-11-09 - 2014-11-15,36
2014-11-16 - 2014-11-22,39
2014-11-23 - 2014-11-29,40
2014-11-30 - 2014-12-06,42
2014-12-07 - 2014-12-13,42
2014-12-14 - 2014-12-20,42
2014-12-21 - 2014-12-27,43
2014-12-28 - 2015-01-03,49
2015-01-04 - 2015-01-10,40
2015-01-11 - 2015-01-17,43
2015-01-18 - 2015-01-24,49
2015-01-25 - 2015-01-31,44
2015-02-01 - 2015-02-07,51
2015-02-08 - 2015-02-14,49
2015-02-15 - 2015-02-21,53
2015-02-22 - 2015-02-28,50
2015-03-01 - 2015-03-07,47
2015-03-08 - 2015-03-14,53
2015-03-15 - 2015-03-21,53
2015-03-22 - 2015-03-28,49
2015-03-29 - 2015-04-04,56
2015-04-05 - 2015-04-11,50
2015-04-12 - 2015-04-18,47
2015-04-19 - 2015-04-25,48
2015-04-26 - 2015-05-02,56
2015-05-03 - 2015-05-09,53
2015-05-10 - 2015-05-16,69
2015-05-17 - 2015-05-23,51
2015-05-24 - 2015-05-30,49
2015-05-31 - 2015-06-06,52
2015-06-07 - 2015-06-13,48
2015-06-14 - 2015-06-20,54
2015-06-21 - 2015-06-27,51
2015-06-28 - 2015-07-04,51
2015-07-05 - 2015-07-11,52
2015-07-12 - 2015-07-18,57
2015-07-19 - 2015-07-25,57
2015-07-26 - 2015-08-01,56
2015-08-02 - 2015-08-08,50
2015-08-09 - 2015-08-15,50
2015-08-16 - 2015-08-22,47
2015-08-23 - 2015-08-29,45
2015-08-30 - 2015-09-05,45
2015-09-06 - 2015-09-12,44
2015-09-13 - 2015-09-19,49
2015-09-20 - 2015-09-26,44
2015-09-27 - 2015-10-03,44
2015-10-04 - 2015-10-10,47
2015-10-11 - 2015-10-17,44
2015-10-18 - 2015-10-24,44
2015-10-25 - 2015-10-31,51
2015-11-01 - 2015-11-07,56
2015-11-08 - 2015-11-14,40
2015-11-15 - 2015-11-21,39
2015-11-22 - 2015-11-28,47
2015-11-29 - 2015-12-05,45
2015-12-06 - 2015-12-12,45
2015-12-13 - 2015-12-19,40
2015-12-20 - 2015-12-26,49
2015-12-27 - 2016-01-02,54
2016-01-03 - 2016-01-09,52
2016-01-10 - 2016-01-16,49
2016-01-17 - 2016-01-23,48
2016-01-24 - 2016-01-30,55
2016-01-31 - 2016-02-06,55
2016-02-07 - 2016-02-13,58
2016-02-14 - 2016-02-20,60
2016-02-21 - 2016-02-27,58
2016-02-28 - 2016-03-05,54
2016-03-06 - 2016-03-12,57
2016-03-13 - 2016-03-19,55
2016-03-20 - 2016-03-26,51
2016-03-27 - 2016-04-02,53
2016-04-03 - 2016-04-09,52
2016-04-10 - 2016-04-16,56
2016-04-17 - 2016-04-23,54
2016-04-24 - 2016-04-30,63


Top regions for eix
Region,eix
Spain,100
Germany,3
United States,2
France,2
Brazil,2
United Kingdom,2


Top cities for eix
City,eix
Sabadell (Spain),100
Vilanova i la Geltrú (Spain),58
Vic (Spain),41
Sant Boi de Llobregat (Spain),32
Rosemead (United States),31
Granollers (Spain),24
Terrassa (Spain),22
Girona (Spain),14
Lleida (Spain),13
Barcelona (Spain),9
El Prat de Llobregat (Spain),9
Tarragona (Spain),4
Palma de Mallorca (Spain),3
Madrid (Spain),2
Valencia (Spain),1



Top searches for eix
eix macia,100
eix macia sabadell,50
cines eix macia,40
cartelera eix macia,30
eix bus,30
cines sabadell eix,25
cines sabadell,25
eix transversal,25
cartelera sabadell,20
eix estels,20
cine sabadell,15
imperial sabadell,15
eix cronologic,10
eix diari,10
eix alcudia,10
eix benefits,10
parc valles,10
cines imperial,10
cartelera cines sabadell,10
hotel eix alcudia,10
cartelera imperial,5
cine imperial,5
cines imperial sabadell,5
cartelera cine sabadell,5
eix stock,5
eix platja daurada,5
cartelera imperial sabadell,5
cines parc valles,5
eix lagotel,5
cine imperial sabadell,5
eix macia cinemes,5
cines de sabadell,5
cines terrassa,5
cinesa parc valles,5
cartelera parc valles,5
eix diagonal,5
eix hotels,5
eix alzinar mar,5
cines baricentro,5



Rising searches for eix
eix alcudia,Breakout
eix benefits,Breakout
eix diari,+250%
cartelera eix macia,+140%
imperial sabadell,+140%
eix cronologic,+110%
cartelera sabadell,+100%
cine sabadell,+70%
eix macia,+60%
cines eix macia,+40%



