Web Search interest: tap
Worldwide 2004 - present

Interest over time
Week,tap
2005-08-07 - 2005-08-13,18
2005-08-14 - 2005-08-20,18
2005-08-21 - 2005-08-27,17
2005-08-28 - 2005-09-03,16
2005-09-04 - 2005-09-10,17
2005-09-11 - 2005-09-17,17
2005-09-18 - 2005-09-24,17
2005-09-25 - 2005-10-01,17
2005-10-02 - 2005-10-08,17
2005-10-09 - 2005-10-15,17
2005-10-16 - 2005-10-22,17
2005-10-23 - 2005-10-29,17
2005-10-30 - 2005-11-05,17
2005-11-06 - 2005-11-12,16
2005-11-13 - 2005-11-19,17
2005-11-20 - 2005-11-26,16
2005-11-27 - 2005-12-03,15
2005-12-04 - 2005-12-10,16
2005-12-11 - 2005-12-17,16
2005-12-18 - 2005-12-24,16
2005-12-25 - 2005-12-31,15
2006-01-01 - 2006-01-07,18
2006-01-08 - 2006-01-14,17
2006-01-15 - 2006-01-21,18
2006-01-22 - 2006-01-28,17
2006-01-29 - 2006-02-04,17
2006-02-05 - 2006-02-11,17
2006-02-12 - 2006-02-18,17
2006-02-19 - 2006-02-25,17
2006-02-26 - 2006-03-04,17
2006-03-05 - 2006-03-11,17
2006-03-12 - 2006-03-18,17
2006-03-19 - 2006-03-25,18
2006-03-26 - 2006-04-01,17
2006-04-02 - 2006-04-08,17
2006-04-09 - 2006-04-15,17
2006-04-16 - 2006-04-22,18
2006-04-23 - 2006-04-29,17
2006-04-30 - 2006-05-06,18
2006-05-07 - 2006-05-13,18
2006-05-14 - 2006-05-20,18
2006-05-21 - 2006-05-27,17
2006-05-28 - 2006-06-03,17
2006-06-04 - 2006-06-10,16
2006-06-11 - 2006-06-17,16
2006-06-18 - 2006-06-24,17
2006-06-25 - 2006-07-01,17
2006-07-02 - 2006-07-08,18
2006-07-09 - 2006-07-15,18
2006-07-16 - 2006-07-22,18
2006-07-23 - 2006-07-29,18
2006-07-30 - 2006-08-05,18
2006-08-06 - 2006-08-12,18
2006-08-13 - 2006-08-19,18
2006-08-20 - 2006-08-26,18
2006-08-27 - 2006-09-02,18
2006-09-03 - 2006-09-09,18
2006-09-10 - 2006-09-16,18
2006-09-17 - 2006-09-23,18
2006-09-24 - 2006-09-30,16
2006-10-01 - 2006-10-07,18
2006-10-08 - 2006-10-14,17
2006-10-15 - 2006-10-21,17
2006-10-22 - 2006-10-28,17
2006-10-29 - 2006-11-04,17
2006-11-05 - 2006-11-11,17
2006-11-12 - 2006-11-18,17
2006-11-19 - 2006-11-25,16
2006-11-26 - 2006-12-02,16
2006-12-03 - 2006-12-09,16
2006-12-10 - 2006-12-16,16
2006-12-17 - 2006-12-23,16
2006-12-24 - 2006-12-30,16
2006-12-31 - 2007-01-06,17
2007-01-07 - 2007-01-13,17
2007-01-14 - 2007-01-20,17
2007-01-21 - 2007-01-27,17
2007-01-28 - 2007-02-03,18
2007-02-04 - 2007-02-10,17
2007-02-11 - 2007-02-17,16
2007-02-18 - 2007-02-24,17
2007-02-25 - 2007-03-03,17
2007-03-04 - 2007-03-10,18
2007-03-11 - 2007-03-17,18
2007-03-18 - 2007-03-24,17
2007-03-25 - 2007-03-31,17
2007-04-01 - 2007-04-07,17
2007-04-08 - 2007-04-14,18
2007-04-15 - 2007-04-21,17
2007-04-22 - 2007-04-28,19
2007-04-29 - 2007-05-05,18
2007-05-06 - 2007-05-12,18
2007-05-13 - 2007-05-19,18
2007-05-20 - 2007-05-26,17
2007-05-27 - 2007-06-02,17
2007-06-03 - 2007-06-09,17
2007-06-10 - 2007-06-16,18
2007-06-17 - 2007-06-23,17
2007-06-24 - 2007-06-30,18
2007-07-01 - 2007-07-07,21
2007-07-08 - 2007-07-14,21
2007-07-15 - 2007-07-21,20
2007-07-22 - 2007-07-28,19
2007-07-29 - 2007-08-04,20
2007-08-05 - 2007-08-11,19
2007-08-12 - 2007-08-18,19
2007-08-19 - 2007-08-25,19
2007-08-26 - 2007-09-01,19
2007-09-02 - 2007-09-08,18
2007-09-09 - 2007-09-15,19
2007-09-16 - 2007-09-22,19
2007-09-23 - 2007-09-29,19
2007-09-30 - 2007-10-06,19
2007-10-07 - 2007-10-13,19
2007-10-14 - 2007-10-20,19
2007-10-21 - 2007-10-27,19
2007-10-28 - 2007-11-03,19
2007-11-04 - 2007-11-10,19
2007-11-11 - 2007-11-17,18
2007-11-18 - 2007-11-24,17
2007-11-25 - 2007-12-01,18
2007-12-02 - 2007-12-08,17
2007-12-09 - 2007-12-15,17
2007-12-16 - 2007-12-22,18
2007-12-23 - 2007-12-29,18
2007-12-30 - 2008-01-05,20
2008-01-06 - 2008-01-12,20
2008-01-13 - 2008-01-19,20
2008-01-20 - 2008-01-26,19
2008-01-27 - 2008-02-02,18
2008-02-03 - 2008-02-09,19
2008-02-10 - 2008-02-16,19
2008-02-17 - 2008-02-23,20
2008-02-24 - 2008-03-01,20
2008-03-02 - 2008-03-08,20
2008-03-09 - 2008-03-15,20
2008-03-16 - 2008-03-22,21
2008-03-23 - 2008-03-29,21
2008-03-30 - 2008-04-05,21
2008-04-06 - 2008-04-12,21
2008-04-13 - 2008-04-19,21
2008-04-20 - 2008-04-26,20
2008-04-27 - 2008-05-03,20
2008-05-04 - 2008-05-10,21
2008-05-11 - 2008-05-17,21
2008-05-18 - 2008-05-24,20
2008-05-25 - 2008-05-31,20
2008-06-01 - 2008-06-07,21
2008-06-08 - 2008-06-14,20
2008-06-15 - 2008-06-21,21
2008-06-22 - 2008-06-28,21
2008-06-29 - 2008-07-05,20
2008-07-06 - 2008-07-12,22
2008-07-13 - 2008-07-19,22
2008-07-20 - 2008-07-26,22
2008-07-27 - 2008-08-02,22
2008-08-03 - 2008-08-09,21
2008-08-10 - 2008-08-16,21
2008-08-17 - 2008-08-23,21
2008-08-24 - 2008-08-30,21
2008-08-31 - 2008-09-06,21
2008-09-07 - 2008-09-13,23
2008-09-14 - 2008-09-20,24
2008-09-21 - 2008-09-27,23
2008-09-28 - 2008-10-04,22
2008-10-05 - 2008-10-11,22
2008-10-12 - 2008-10-18,23
2008-10-19 - 2008-10-25,22
2008-10-26 - 2008-11-01,22
2008-11-02 - 2008-11-08,21
2008-11-09 - 2008-11-15,24
2008-11-16 - 2008-11-22,22
2008-11-23 - 2008-11-29,21
2008-11-30 - 2008-12-06,22
2008-12-07 - 2008-12-13,24
2008-12-14 - 2008-12-20,24
2008-12-21 - 2008-12-27,23
2008-12-28 - 2009-01-03,24
2009-01-04 - 2009-01-10,23
2009-01-11 - 2009-01-17,23
2009-01-18 - 2009-01-24,22
2009-01-25 - 2009-01-31,21
2009-02-01 - 2009-02-07,24
2009-02-08 - 2009-02-14,24
2009-02-15 - 2009-02-21,25
2009-02-22 - 2009-02-28,26
2009-03-01 - 2009-03-07,28
2009-03-08 - 2009-03-14,30
2009-03-15 - 2009-03-21,28
2009-03-22 - 2009-03-28,29
2009-03-29 - 2009-04-04,29
2009-04-05 - 2009-04-11,29
2009-04-12 - 2009-04-18,30
2009-04-19 - 2009-04-25,30
2009-04-26 - 2009-05-02,28
2009-05-03 - 2009-05-09,29
2009-05-10 - 2009-05-16,31
2009-05-17 - 2009-05-23,30
2009-05-24 - 2009-05-30,31
2009-05-31 - 2009-06-06,30
2009-06-07 - 2009-06-13,30
2009-06-14 - 2009-06-20,32
2009-06-21 - 2009-06-27,31
2009-06-28 - 2009-07-04,31
2009-07-05 - 2009-07-11,31
2009-07-12 - 2009-07-18,32
2009-07-19 - 2009-07-25,31
2009-07-26 - 2009-08-01,32
2009-08-02 - 2009-08-08,33
2009-08-09 - 2009-08-15,32
2009-08-16 - 2009-08-22,30
2009-08-23 - 2009-08-29,31
2009-08-30 - 2009-09-05,30
2009-09-06 - 2009-09-12,31
2009-09-13 - 2009-09-19,31
2009-09-20 - 2009-09-26,32
2009-09-27 - 2009-10-03,30
2009-10-04 - 2009-10-10,31
2009-10-11 - 2009-10-17,31
2009-10-18 - 2009-10-24,30
2009-10-25 - 2009-10-31,31
2009-11-01 - 2009-11-07,31
2009-11-08 - 2009-11-14,34
2009-11-15 - 2009-11-21,34
2009-11-22 - 2009-11-28,34
2009-11-29 - 2009-12-05,35
2009-12-06 - 2009-12-12,35
2009-12-13 - 2009-12-19,36
2009-12-20 - 2009-12-26,38
2009-12-27 - 2010-01-02,40
2010-01-03 - 2010-01-09,37
2010-01-10 - 2010-01-16,36
2010-01-17 - 2010-01-23,36
2010-01-24 - 2010-01-30,35
2010-01-31 - 2010-02-06,33
2010-02-07 - 2010-02-13,30
2010-02-14 - 2010-02-20,30
2010-02-21 - 2010-02-27,35
2010-02-28 - 2010-03-06,36
2010-03-07 - 2010-03-13,37
2010-03-14 - 2010-03-20,40
2010-03-21 - 2010-03-27,40
2010-03-28 - 2010-04-03,41
2010-04-04 - 2010-04-10,40
2010-04-11 - 2010-04-17,40
2010-04-18 - 2010-04-24,42
2010-04-25 - 2010-05-01,39
2010-05-02 - 2010-05-08,40
2010-05-09 - 2010-05-15,43
2010-05-16 - 2010-05-22,41
2010-05-23 - 2010-05-29,40
2010-05-30 - 2010-06-05,40
2010-06-06 - 2010-06-12,41
2010-06-13 - 2010-06-19,39
2010-06-20 - 2010-06-26,41
2010-06-27 - 2010-07-03,42
2010-07-04 - 2010-07-10,43
2010-07-11 - 2010-07-17,43
2010-07-18 - 2010-07-24,44
2010-07-25 - 2010-07-31,43
2010-08-01 - 2010-08-07,45
2010-08-08 - 2010-08-14,46
2010-08-15 - 2010-08-21,44
2010-08-22 - 2010-08-28,43
2010-08-29 - 2010-09-04,42
2010-09-05 - 2010-09-11,44
2010-09-12 - 2010-09-18,43
2010-09-19 - 2010-09-25,44
2010-09-26 - 2010-10-02,45
2010-10-03 - 2010-10-09,44
2010-10-10 - 2010-10-16,43
2010-10-17 - 2010-10-23,42
2010-10-24 - 2010-10-30,43
2010-10-31 - 2010-11-06,44
2010-11-07 - 2010-11-13,45
2010-11-14 - 2010-11-20,45
2010-11-21 - 2010-11-27,44
2010-11-28 - 2010-12-04,46
2010-12-05 - 2010-12-11,47
2010-12-12 - 2010-12-18,47
2010-12-19 - 2010-12-25,49
2010-12-26 - 2011-01-01,48
2011-01-02 - 2011-01-08,47
2011-01-09 - 2011-01-15,47
2011-01-16 - 2011-01-22,46
2011-01-23 - 2011-01-29,42
2011-01-30 - 2011-02-05,38
2011-02-06 - 2011-02-12,45
2011-02-13 - 2011-02-19,49
2011-02-20 - 2011-02-26,53
2011-02-27 - 2011-03-05,52
2011-03-06 - 2011-03-12,49
2011-03-13 - 2011-03-19,48
2011-03-20 - 2011-03-26,49
2011-03-27 - 2011-04-02,51
2011-04-03 - 2011-04-09,54
2011-04-10 - 2011-04-16,56
2011-04-17 - 2011-04-23,60
2011-04-24 - 2011-04-30,57
2011-05-01 - 2011-05-07,57
2011-05-08 - 2011-05-14,58
2011-05-15 - 2011-05-21,61
2011-05-22 - 2011-05-28,60
2011-05-29 - 2011-06-04,61
2011-06-05 - 2011-06-11,60
2011-06-12 - 2011-06-18,62
2011-06-19 - 2011-06-25,62
2011-06-26 - 2011-07-02,61
2011-07-03 - 2011-07-09,60
2011-07-10 - 2011-07-16,61
2011-07-17 - 2011-07-23,61
2011-07-24 - 2011-07-30,61
2011-07-31 - 2011-08-06,61
2011-08-07 - 2011-08-13,57
2011-08-14 - 2011-08-20,57
2011-08-21 - 2011-08-27,57
2011-08-28 - 2011-09-03,56
2011-09-04 - 2011-09-10,55
2011-09-11 - 2011-09-17,56
2011-09-18 - 2011-09-24,55
2011-09-25 - 2011-10-01,57
2011-10-02 - 2011-10-08,56
2011-10-09 - 2011-10-15,58
2011-10-16 - 2011-10-22,57
2011-10-23 - 2011-10-29,59
2011-10-30 - 2011-11-05,58
2011-11-06 - 2011-11-12,59
2011-11-13 - 2011-11-19,57
2011-11-20 - 2011-11-26,58
2011-11-27 - 2011-12-03,59
2011-12-04 - 2011-12-10,60
2011-12-11 - 2011-12-17,58
2011-12-18 - 2011-12-24,59
2011-12-25 - 2011-12-31,61
2012-01-01 - 2012-01-07,58
2012-01-08 - 2012-01-14,52
2012-01-15 - 2012-01-21,51
2012-01-22 - 2012-01-28,48
2012-01-29 - 2012-02-04,57
2012-02-05 - 2012-02-11,63
2012-02-12 - 2012-02-18,64
2012-02-19 - 2012-02-25,66
2012-02-26 - 2012-03-03,65
2012-03-04 - 2012-03-10,62
2012-03-11 - 2012-03-17,62
2012-03-18 - 2012-03-24,63
2012-03-25 - 2012-03-31,61
2012-04-01 - 2012-04-07,65
2012-04-08 - 2012-04-14,61
2012-04-15 - 2012-04-21,60
2012-04-22 - 2012-04-28,59
2012-04-29 - 2012-05-05,59
2012-05-06 - 2012-05-12,61
2012-05-13 - 2012-05-19,62
2012-05-20 - 2012-05-26,65
2012-05-27 - 2012-06-02,64
2012-06-03 - 2012-06-09,65
2012-06-10 - 2012-06-16,66
2012-06-17 - 2012-06-23,66
2012-06-24 - 2012-06-30,69
2012-07-01 - 2012-07-07,68
2012-07-08 - 2012-07-14,69
2012-07-15 - 2012-07-21,67
2012-07-22 - 2012-07-28,68
2012-07-29 - 2012-08-04,68
2012-08-05 - 2012-08-11,67
2012-08-12 - 2012-08-18,66
2012-08-19 - 2012-08-25,63
2012-08-26 - 2012-09-01,63
2012-09-02 - 2012-09-08,66
2012-09-09 - 2012-09-15,65
2012-09-16 - 2012-09-22,66
2012-09-23 - 2012-09-29,64
2012-09-30 - 2012-10-06,63
2012-10-07 - 2012-10-13,62
2012-10-14 - 2012-10-20,61
2012-10-21 - 2012-10-27,63
2012-10-28 - 2012-11-03,60
2012-11-04 - 2012-11-10,58
2012-11-11 - 2012-11-17,59
2012-11-18 - 2012-11-24,59
2012-11-25 - 2012-12-01,58
2012-12-02 - 2012-12-08,58
2012-12-09 - 2012-12-15,58
2012-12-16 - 2012-12-22,58
2012-12-23 - 2012-12-29,62
2012-12-30 - 2013-01-05,62
2013-01-06 - 2013-01-12,59
2013-01-13 - 2013-01-19,60
2013-01-20 - 2013-01-26,61
2013-01-27 - 2013-02-02,59
2013-02-03 - 2013-02-09,55
2013-02-10 - 2013-02-16,53
2013-02-17 - 2013-02-23,64
2013-02-24 - 2013-03-02,68
2013-03-03 - 2013-03-09,66
2013-03-10 - 2013-03-16,68
2013-03-17 - 2013-03-23,67
2013-03-24 - 2013-03-30,68
2013-03-31 - 2013-04-06,67
2013-04-07 - 2013-04-13,66
2013-04-14 - 2013-04-20,68
2013-04-21 - 2013-04-27,67
2013-04-28 - 2013-05-04,69
2013-05-05 - 2013-05-11,70
2013-05-12 - 2013-05-18,68
2013-05-19 - 2013-05-25,69
2013-05-26 - 2013-06-01,70
2013-06-02 - 2013-06-08,75
2013-06-09 - 2013-06-15,73
2013-06-16 - 2013-06-22,78
2013-06-23 - 2013-06-29,80
2013-06-30 - 2013-07-06,81
2013-07-07 - 2013-07-13,80
2013-07-14 - 2013-07-20,79
2013-07-21 - 2013-07-27,79
2013-07-28 - 2013-08-03,80
2013-08-04 - 2013-08-10,82
2013-08-11 - 2013-08-17,79
2013-08-18 - 2013-08-24,74
2013-08-25 - 2013-08-31,71
2013-09-01 - 2013-09-07,77
2013-09-08 - 2013-09-14,72
2013-09-15 - 2013-09-21,69
2013-09-22 - 2013-09-28,72
2013-09-29 - 2013-10-05,72
2013-10-06 - 2013-10-12,72
2013-10-13 - 2013-10-19,72
2013-10-20 - 2013-10-26,73
2013-10-27 - 2013-11-02,72
2013-11-03 - 2013-11-09,72
2013-11-10 - 2013-11-16,75
2013-11-17 - 2013-11-23,76
2013-11-24 - 2013-11-30,75
2013-12-01 - 2013-12-07,75
2013-12-08 - 2013-12-14,74
2013-12-15 - 2013-12-21,70
2013-12-22 - 2013-12-28,73
2013-12-29 - 2014-01-04,72
2014-01-05 - 2014-01-11,69
2014-01-12 - 2014-01-18,67
2014-01-19 - 2014-01-25,64
2014-01-26 - 2014-02-01,60
2014-02-02 - 2014-02-08,67
2014-02-09 - 2014-02-15,70
2014-02-16 - 2014-02-22,74
2014-02-23 - 2014-03-01,78
2014-03-02 - 2014-03-08,78
2014-03-09 - 2014-03-15,78
2014-03-16 - 2014-03-22,76
2014-03-23 - 2014-03-29,80
2014-03-30 - 2014-04-05,81
2014-04-06 - 2014-04-12,84
2014-04-13 - 2014-04-19,86
2014-04-20 - 2014-04-26,84
2014-04-27 - 2014-05-03,87
2014-05-04 - 2014-05-10,85
2014-05-11 - 2014-05-17,85
2014-05-18 - 2014-05-24,93
2014-05-25 - 2014-05-31,94
2014-06-01 - 2014-06-07,97
2014-06-08 - 2014-06-14,96
2014-06-15 - 2014-06-21,96
2014-06-22 - 2014-06-28,100
2014-06-29 - 2014-07-05,97
2014-07-06 - 2014-07-12,94
2014-07-13 - 2014-07-19,94
2014-07-20 - 2014-07-26,94
2014-07-27 - 2014-08-02,96
2014-08-03 - 2014-08-09,97
2014-08-10 - 2014-08-16,92
2014-08-17 - 2014-08-23,87
2014-08-24 - 2014-08-30,84
2014-08-31 - 2014-09-06,85
2014-09-07 - 2014-09-13,82
2014-09-14 - 2014-09-20,86
2014-09-21 - 2014-09-27,84
2014-09-28 - 2014-10-04,85
2014-10-05 - 2014-10-11,82
2014-10-12 - 2014-10-18,81
2014-10-19 - 2014-10-25,82
2014-10-26 - 2014-11-01,84
2014-11-02 - 2014-11-08,84
2014-11-09 - 2014-11-15,82
2014-11-16 - 2014-11-22,83
2014-11-23 - 2014-11-29,85
2014-11-30 - 2014-12-06,83
2014-12-07 - 2014-12-13,86
2014-12-14 - 2014-12-20,86
2014-12-21 - 2014-12-27,96
2014-12-28 - 2015-01-03,95
2015-01-04 - 2015-01-10,86
2015-01-11 - 2015-01-17,81
2015-01-18 - 2015-01-24,80
2015-01-25 - 2015-01-31,81
2015-02-01 - 2015-02-07,76
2015-02-08 - 2015-02-14,74
2015-02-15 - 2015-02-21,70
2015-02-22 - 2015-02-28,76
2015-03-01 - 2015-03-07,83
2015-03-08 - 2015-03-14,87
2015-03-15 - 2015-03-21,86
2015-03-22 - 2015-03-28,92
2015-03-29 - 2015-04-04,87
2015-04-05 - 2015-04-11,89
2015-04-12 - 2015-04-18,86
2015-04-19 - 2015-04-25,87
2015-04-26 - 2015-05-02,90
2015-05-03 - 2015-05-09,87
2015-05-10 - 2015-05-16,92
2015-05-17 - 2015-05-23,96
2015-05-24 - 2015-05-30,96
2015-05-31 - 2015-06-06,95
2015-06-07 - 2015-06-13,94
2015-06-14 - 2015-06-20,89
2015-06-21 - 2015-06-27,95
2015-06-28 - 2015-07-04,94
2015-07-05 - 2015-07-11,92
2015-07-12 - 2015-07-18,95
2015-07-19 - 2015-07-25,95
2015-07-26 - 2015-08-01,95
2015-08-02 - 2015-08-08,92
2015-08-09 - 2015-08-15,91
2015-08-16 - 2015-08-22,86
2015-08-23 - 2015-08-29,85
2015-08-30 - 2015-09-05,88
2015-09-06 - 2015-09-12,85
2015-09-13 - 2015-09-19,84
2015-09-20 - 2015-09-26,85
2015-09-27 - 2015-10-03,84
2015-10-04 - 2015-10-10,85
2015-10-11 - 2015-10-17,89
2015-10-18 - 2015-10-24,87
2015-10-25 - 2015-10-31,85
2015-11-01 - 2015-11-07,85
2015-11-08 - 2015-11-14,82
2015-11-15 - 2015-11-21,82
2015-11-22 - 2015-11-28,82
2015-11-29 - 2015-12-05,83
2015-12-06 - 2015-12-12,87
2015-12-13 - 2015-12-19,86
2015-12-20 - 2015-12-26,92
2015-12-27 - 2016-01-02,90
2016-01-03 - 2016-01-09,85
2016-01-10 - 2016-01-16,82
2016-01-17 - 2016-01-23,82
2016-01-24 - 2016-01-30,81
2016-01-31 - 2016-02-06,73
2016-02-07 - 2016-02-13,65
2016-02-14 - 2016-02-20,71
2016-02-21 - 2016-02-27,72
2016-02-28 - 2016-03-05,74
2016-03-06 - 2016-03-12,79
2016-03-13 - 2016-03-19,79
2016-03-20 - 2016-03-26,87
2016-03-27 - 2016-04-02,91
2016-04-03 - 2016-04-09,87
2016-04-10 - 2016-04-16,87
2016-04-17 - 2016-04-23,82
2016-04-24 - 2016-04-30,94


Top regions for tap
Region,tap
Vietnam,100
Portugal,7
Australia,1
United Kingdom,1
Switzerland,1
Singapore,1
United States,1
Canada,1
South Korea,1
New Zealand,1
South Africa,1
Ireland,1
Taiwan,1
Czech Republic,1
Malaysia,1
Norway,1
Philippines,1


Top cities for tap
City,tap
tp. Cao Lãnh (Vietnam),100
tp. Quy Nhơn (Vietnam),96
Long Xuyen (Vietnam),95
Buon Ma Thuot (Vietnam),94
tp. Quảng Ngãi (Vietnam),91
Vinh (Vietnam),91
Nha Trang (Vietnam),86
Biên Hòa (Vietnam),86
Can Tho (Vietnam),85
tp. Huế (Vietnam),85
tp. Đà Lạt (Vietnam),80
Hai Duong (Vietnam),77
Da Nang (Vietnam),76
Hai Phong (Vietnam),76
tp. Vũng Tàu (Vietnam),73



Top searches for tap
tap tap,100
phim,20
xem phim,10
hai,0
on tap,0
nhac,0
tap water,0
tap portugal,0
hoat hinh,0
doremon,0
conan,0
phim hoat hinh,0
sieu nhan,0
gia dinh,0
phim hay,0
phim hai,0
doc truyen,0
spinal tap,0
zing,0
phim viet nam,0
tap air,0
phim han quoc,0
5s online,0
tap the duc,0
double tap,0
truyen tranh,0
phim ma,0
tap dance,0
tro choi,0
tap out,0
tap the hinh,0
phim doremon,0
doremon tap 1,0
dich,0
zing me,0
tap air portugal,0
tay du ky,0
truyen conan,0
doremon tap cuoi,0
tap airlines,0
tap tap revenge,0
phim sieu nhan,0
hoat hinh doremon,0
tap shoes,0
vn,0
phim cap 3,0
tap dancing,0
sieu nhan gao,0
conan tap cuoi,0
phim thai lan,0



Rising searches for tap
conan,Breakout
doremon,Breakout
hai,Breakout
hoat hinh,Breakout
phim,Breakout
phim hoat hinh,Breakout
sieu nhan,Breakout
xem phim,Breakout
nhac,+3,750%



