Web Search interest: mar
Worldwide 2004 - present

Interest over time
Week,mar
2005-01-23 - 2005-01-29,78
2005-01-30 - 2005-02-05,80
2005-02-06 - 2005-02-12,77
2005-02-13 - 2005-02-19,81
2005-02-20 - 2005-02-26,85
2005-02-27 - 2005-03-05,82
2005-03-06 - 2005-03-12,80
2005-03-13 - 2005-03-19,79
2005-03-20 - 2005-03-26,78
2005-03-27 - 2005-04-02,77
2005-04-03 - 2005-04-09,74
2005-04-10 - 2005-04-16,75
2005-04-17 - 2005-04-23,75
2005-04-24 - 2005-04-30,75
2005-05-01 - 2005-05-07,76
2005-05-08 - 2005-05-14,77
2005-05-15 - 2005-05-21,81
2005-05-22 - 2005-05-28,81
2005-05-29 - 2005-06-04,84
2005-06-05 - 2005-06-11,83
2005-06-12 - 2005-06-18,85
2005-06-19 - 2005-06-25,83
2005-06-26 - 2005-07-02,86
2005-07-03 - 2005-07-09,87
2005-07-10 - 2005-07-16,88
2005-07-17 - 2005-07-23,90
2005-07-24 - 2005-07-30,90
2005-07-31 - 2005-08-06,90
2005-08-07 - 2005-08-13,87
2005-08-14 - 2005-08-20,80
2005-08-21 - 2005-08-27,77
2005-08-28 - 2005-09-03,75
2005-09-04 - 2005-09-10,71
2005-09-11 - 2005-09-17,67
2005-09-18 - 2005-09-24,66
2005-09-25 - 2005-10-01,67
2005-10-02 - 2005-10-08,69
2005-10-09 - 2005-10-15,67
2005-10-16 - 2005-10-22,67
2005-10-23 - 2005-10-29,71
2005-10-30 - 2005-11-05,72
2005-11-06 - 2005-11-12,75
2005-11-13 - 2005-11-19,70
2005-11-20 - 2005-11-26,71
2005-11-27 - 2005-12-03,66
2005-12-04 - 2005-12-10,62
2005-12-11 - 2005-12-17,64
2005-12-18 - 2005-12-24,66
2005-12-25 - 2005-12-31,80
2006-01-01 - 2006-01-07,79
2006-01-08 - 2006-01-14,81
2006-01-15 - 2006-01-21,81
2006-01-22 - 2006-01-28,80
2006-01-29 - 2006-02-04,79
2006-02-05 - 2006-02-11,75
2006-02-12 - 2006-02-18,75
2006-02-19 - 2006-02-25,76
2006-02-26 - 2006-03-04,74
2006-03-05 - 2006-03-11,74
2006-03-12 - 2006-03-18,78
2006-03-19 - 2006-03-25,79
2006-03-26 - 2006-04-01,78
2006-04-02 - 2006-04-08,75
2006-04-09 - 2006-04-15,73
2006-04-16 - 2006-04-22,75
2006-04-23 - 2006-04-29,76
2006-04-30 - 2006-05-06,74
2006-05-07 - 2006-05-13,74
2006-05-14 - 2006-05-20,78
2006-05-21 - 2006-05-27,81
2006-05-28 - 2006-06-03,79
2006-06-04 - 2006-06-10,81
2006-06-11 - 2006-06-17,78
2006-06-18 - 2006-06-24,80
2006-06-25 - 2006-07-01,78
2006-07-02 - 2006-07-08,84
2006-07-09 - 2006-07-15,85
2006-07-16 - 2006-07-22,91
2006-07-23 - 2006-07-29,88
2006-07-30 - 2006-08-05,87
2006-08-06 - 2006-08-12,87
2006-08-13 - 2006-08-19,81
2006-08-20 - 2006-08-26,75
2006-08-27 - 2006-09-02,73
2006-09-03 - 2006-09-09,70
2006-09-10 - 2006-09-16,68
2006-09-17 - 2006-09-23,78
2006-09-24 - 2006-09-30,66
2006-10-01 - 2006-10-07,68
2006-10-08 - 2006-10-14,65
2006-10-15 - 2006-10-21,64
2006-10-22 - 2006-10-28,68
2006-10-29 - 2006-11-04,65
2006-11-05 - 2006-11-11,67
2006-11-12 - 2006-11-18,68
2006-11-19 - 2006-11-25,69
2006-11-26 - 2006-12-02,68
2006-12-03 - 2006-12-09,65
2006-12-10 - 2006-12-16,63
2006-12-17 - 2006-12-23,65
2006-12-24 - 2006-12-30,75
2006-12-31 - 2007-01-06,80
2007-01-07 - 2007-01-13,81
2007-01-14 - 2007-01-20,80
2007-01-21 - 2007-01-27,78
2007-01-28 - 2007-02-03,75
2007-02-04 - 2007-02-10,72
2007-02-11 - 2007-02-17,73
2007-02-18 - 2007-02-24,79
2007-02-25 - 2007-03-03,78
2007-03-04 - 2007-03-10,76
2007-03-11 - 2007-03-17,74
2007-03-18 - 2007-03-24,75
2007-03-25 - 2007-03-31,77
2007-04-01 - 2007-04-07,69
2007-04-08 - 2007-04-14,70
2007-04-15 - 2007-04-21,71
2007-04-22 - 2007-04-28,73
2007-04-29 - 2007-05-05,71
2007-05-06 - 2007-05-12,74
2007-05-13 - 2007-05-19,74
2007-05-20 - 2007-05-26,79
2007-05-27 - 2007-06-02,79
2007-06-03 - 2007-06-09,79
2007-06-10 - 2007-06-16,79
2007-06-17 - 2007-06-23,77
2007-06-24 - 2007-06-30,82
2007-07-01 - 2007-07-07,83
2007-07-08 - 2007-07-14,84
2007-07-15 - 2007-07-21,88
2007-07-22 - 2007-07-28,88
2007-07-29 - 2007-08-04,86
2007-08-05 - 2007-08-11,84
2007-08-12 - 2007-08-18,81
2007-08-19 - 2007-08-25,80
2007-08-26 - 2007-09-01,77
2007-09-02 - 2007-09-08,73
2007-09-09 - 2007-09-15,69
2007-09-16 - 2007-09-22,66
2007-09-23 - 2007-09-29,67
2007-09-30 - 2007-10-06,70
2007-10-07 - 2007-10-13,69
2007-10-14 - 2007-10-20,67
2007-10-21 - 2007-10-27,69
2007-10-28 - 2007-11-03,66
2007-11-04 - 2007-11-10,67
2007-11-11 - 2007-11-17,70
2007-11-18 - 2007-11-24,70
2007-11-25 - 2007-12-01,68
2007-12-02 - 2007-12-08,68
2007-12-09 - 2007-12-15,65
2007-12-16 - 2007-12-22,65
2007-12-23 - 2007-12-29,73
2007-12-30 - 2008-01-05,77
2008-01-06 - 2008-01-12,82
2008-01-13 - 2008-01-19,84
2008-01-20 - 2008-01-26,84
2008-01-27 - 2008-02-02,83
2008-02-03 - 2008-02-09,78
2008-02-10 - 2008-02-16,79
2008-02-17 - 2008-02-23,81
2008-02-24 - 2008-03-01,80
2008-03-02 - 2008-03-08,76
2008-03-09 - 2008-03-15,78
2008-03-16 - 2008-03-22,76
2008-03-23 - 2008-03-29,78
2008-03-30 - 2008-04-05,74
2008-04-06 - 2008-04-12,72
2008-04-13 - 2008-04-19,73
2008-04-20 - 2008-04-26,74
2008-04-27 - 2008-05-03,72
2008-05-04 - 2008-05-10,77
2008-05-11 - 2008-05-17,76
2008-05-18 - 2008-05-24,78
2008-05-25 - 2008-05-31,78
2008-06-01 - 2008-06-07,75
2008-06-08 - 2008-06-14,78
2008-06-15 - 2008-06-21,78
2008-06-22 - 2008-06-28,79
2008-06-29 - 2008-07-05,84
2008-07-06 - 2008-07-12,89
2008-07-13 - 2008-07-19,88
2008-07-20 - 2008-07-26,88
2008-07-27 - 2008-08-02,87
2008-08-03 - 2008-08-09,86
2008-08-10 - 2008-08-16,81
2008-08-17 - 2008-08-23,79
2008-08-24 - 2008-08-30,80
2008-08-31 - 2008-09-06,76
2008-09-07 - 2008-09-13,70
2008-09-14 - 2008-09-20,67
2008-09-21 - 2008-09-27,69
2008-09-28 - 2008-10-04,71
2008-10-05 - 2008-10-11,69
2008-10-12 - 2008-10-18,69
2008-10-19 - 2008-10-25,69
2008-10-26 - 2008-11-01,69
2008-11-02 - 2008-11-08,67
2008-11-09 - 2008-11-15,70
2008-11-16 - 2008-11-22,69
2008-11-23 - 2008-11-29,70
2008-11-30 - 2008-12-06,69
2008-12-07 - 2008-12-13,66
2008-12-14 - 2008-12-20,67
2008-12-21 - 2008-12-27,68
2008-12-28 - 2009-01-03,79
2009-01-04 - 2009-01-10,81
2009-01-11 - 2009-01-17,83
2009-01-18 - 2009-01-24,82
2009-01-25 - 2009-01-31,80
2009-02-01 - 2009-02-07,77
2009-02-08 - 2009-02-14,76
2009-02-15 - 2009-02-21,75
2009-02-22 - 2009-02-28,80
2009-03-01 - 2009-03-07,81
2009-03-08 - 2009-03-14,80
2009-03-15 - 2009-03-21,80
2009-03-22 - 2009-03-28,79
2009-03-29 - 2009-04-04,78
2009-04-05 - 2009-04-11,74
2009-04-12 - 2009-04-18,76
2009-04-19 - 2009-04-25,76
2009-04-26 - 2009-05-02,72
2009-05-03 - 2009-05-09,73
2009-05-10 - 2009-05-16,75
2009-05-17 - 2009-05-23,80
2009-05-24 - 2009-05-30,79
2009-05-31 - 2009-06-06,83
2009-06-07 - 2009-06-13,83
2009-06-14 - 2009-06-20,84
2009-06-21 - 2009-06-27,82
2009-06-28 - 2009-07-04,86
2009-07-05 - 2009-07-11,86
2009-07-12 - 2009-07-18,90
2009-07-19 - 2009-07-25,92
2009-07-26 - 2009-08-01,90
2009-08-02 - 2009-08-08,89
2009-08-09 - 2009-08-15,87
2009-08-16 - 2009-08-22,83
2009-08-23 - 2009-08-29,83
2009-08-30 - 2009-09-05,81
2009-09-06 - 2009-09-12,77
2009-09-13 - 2009-09-19,72
2009-09-20 - 2009-09-26,74
2009-09-27 - 2009-10-03,73
2009-10-04 - 2009-10-10,75
2009-10-11 - 2009-10-17,70
2009-10-18 - 2009-10-24,72
2009-10-25 - 2009-10-31,72
2009-11-01 - 2009-11-07,72
2009-11-08 - 2009-11-14,74
2009-11-15 - 2009-11-21,74
2009-11-22 - 2009-11-28,75
2009-11-29 - 2009-12-05,72
2009-12-06 - 2009-12-12,69
2009-12-13 - 2009-12-19,72
2009-12-20 - 2009-12-26,71
2009-12-27 - 2010-01-02,86
2010-01-03 - 2010-01-09,87
2010-01-10 - 2010-01-16,89
2010-01-17 - 2010-01-23,88
2010-01-24 - 2010-01-30,85
2010-01-31 - 2010-02-06,86
2010-02-07 - 2010-02-13,85
2010-02-14 - 2010-02-20,83
2010-02-21 - 2010-02-27,93
2010-02-28 - 2010-03-06,93
2010-03-07 - 2010-03-13,92
2010-03-14 - 2010-03-20,90
2010-03-21 - 2010-03-27,90
2010-03-28 - 2010-04-03,86
2010-04-04 - 2010-04-10,84
2010-04-11 - 2010-04-17,83
2010-04-18 - 2010-04-24,79
2010-04-25 - 2010-05-01,82
2010-05-02 - 2010-05-08,84
2010-05-09 - 2010-05-15,84
2010-05-16 - 2010-05-22,86
2010-05-23 - 2010-05-29,87
2010-05-30 - 2010-06-05,88
2010-06-06 - 2010-06-12,87
2010-06-13 - 2010-06-19,85
2010-06-20 - 2010-06-26,84
2010-06-27 - 2010-07-03,88
2010-07-04 - 2010-07-10,90
2010-07-11 - 2010-07-17,92
2010-07-18 - 2010-07-24,96
2010-07-25 - 2010-07-31,98
2010-08-01 - 2010-08-07,96
2010-08-08 - 2010-08-14,94
2010-08-15 - 2010-08-21,91
2010-08-22 - 2010-08-28,88
2010-08-29 - 2010-09-04,87
2010-09-05 - 2010-09-11,83
2010-09-12 - 2010-09-18,80
2010-09-19 - 2010-09-25,82
2010-09-26 - 2010-10-02,81
2010-10-03 - 2010-10-09,82
2010-10-10 - 2010-10-16,76
2010-10-17 - 2010-10-23,81
2010-10-24 - 2010-10-30,77
2010-10-31 - 2010-11-06,80
2010-11-07 - 2010-11-13,82
2010-11-14 - 2010-11-20,85
2010-11-21 - 2010-11-27,84
2010-11-28 - 2010-12-04,80
2010-12-05 - 2010-12-11,78
2010-12-12 - 2010-12-18,76
2010-12-19 - 2010-12-25,79
2010-12-26 - 2011-01-01,91
2011-01-02 - 2011-01-08,94
2011-01-09 - 2011-01-15,94
2011-01-16 - 2011-01-22,93
2011-01-23 - 2011-01-29,92
2011-01-30 - 2011-02-05,87
2011-02-06 - 2011-02-12,87
2011-02-13 - 2011-02-19,87
2011-02-20 - 2011-02-26,100
2011-02-27 - 2011-03-05,92
2011-03-06 - 2011-03-12,91
2011-03-13 - 2011-03-19,91
2011-03-20 - 2011-03-26,94
2011-03-27 - 2011-04-02,95
2011-04-03 - 2011-04-09,83
2011-04-10 - 2011-04-16,83
2011-04-17 - 2011-04-23,82
2011-04-24 - 2011-04-30,80
2011-05-01 - 2011-05-07,81
2011-05-08 - 2011-05-14,80
2011-05-15 - 2011-05-21,81
2011-05-22 - 2011-05-28,81
2011-05-29 - 2011-06-04,85
2011-06-05 - 2011-06-11,84
2011-06-12 - 2011-06-18,87
2011-06-19 - 2011-06-25,87
2011-06-26 - 2011-07-02,89
2011-07-03 - 2011-07-09,90
2011-07-10 - 2011-07-16,92
2011-07-17 - 2011-07-23,95
2011-07-24 - 2011-07-30,95
2011-07-31 - 2011-08-06,94
2011-08-07 - 2011-08-13,98
2011-08-14 - 2011-08-20,95
2011-08-21 - 2011-08-27,89
2011-08-28 - 2011-09-03,93
2011-09-04 - 2011-09-10,87
2011-09-11 - 2011-09-17,83
2011-09-18 - 2011-09-24,81
2011-09-25 - 2011-10-01,84
2011-10-02 - 2011-10-08,83
2011-10-09 - 2011-10-15,80
2011-10-16 - 2011-10-22,80
2011-10-23 - 2011-10-29,82
2011-10-30 - 2011-11-05,79
2011-11-06 - 2011-11-12,81
2011-11-13 - 2011-11-19,82
2011-11-20 - 2011-11-26,82
2011-11-27 - 2011-12-03,79
2011-12-04 - 2011-12-10,74
2011-12-11 - 2011-12-17,76
2011-12-18 - 2011-12-24,73
2011-12-25 - 2011-12-31,83
2012-01-01 - 2012-01-07,88
2012-01-08 - 2012-01-14,91
2012-01-15 - 2012-01-21,91
2012-01-22 - 2012-01-28,87
2012-01-29 - 2012-02-04,90
2012-02-05 - 2012-02-11,84
2012-02-12 - 2012-02-18,84
2012-02-19 - 2012-02-25,93
2012-02-26 - 2012-03-03,92
2012-03-04 - 2012-03-10,88
2012-03-11 - 2012-03-17,86
2012-03-18 - 2012-03-24,89
2012-03-25 - 2012-03-31,89
2012-04-01 - 2012-04-07,78
2012-04-08 - 2012-04-14,78
2012-04-15 - 2012-04-21,78
2012-04-22 - 2012-04-28,77
2012-04-29 - 2012-05-05,76
2012-05-06 - 2012-05-12,77
2012-05-13 - 2012-05-19,80
2012-05-20 - 2012-05-26,85
2012-05-27 - 2012-06-02,81
2012-06-03 - 2012-06-09,81
2012-06-10 - 2012-06-16,81
2012-06-17 - 2012-06-23,81
2012-06-24 - 2012-06-30,86
2012-07-01 - 2012-07-07,87
2012-07-08 - 2012-07-14,87
2012-07-15 - 2012-07-21,92
2012-07-22 - 2012-07-28,89
2012-07-29 - 2012-08-04,88
2012-08-05 - 2012-08-11,87
2012-08-12 - 2012-08-18,89
2012-08-19 - 2012-08-25,88
2012-08-26 - 2012-09-01,82
2012-09-02 - 2012-09-08,80
2012-09-09 - 2012-09-15,75
2012-09-16 - 2012-09-22,74
2012-09-23 - 2012-09-29,76
2012-09-30 - 2012-10-06,74
2012-10-07 - 2012-10-13,69
2012-10-14 - 2012-10-20,69
2012-10-21 - 2012-10-27,74
2012-10-28 - 2012-11-03,72
2012-11-04 - 2012-11-10,72
2012-11-11 - 2012-11-17,73
2012-11-18 - 2012-11-24,74
2012-11-25 - 2012-12-01,72
2012-12-02 - 2012-12-08,69
2012-12-09 - 2012-12-15,67
2012-12-16 - 2012-12-22,67
2012-12-23 - 2012-12-29,72
2012-12-30 - 2013-01-05,81
2013-01-06 - 2013-01-12,81
2013-01-13 - 2013-01-19,86
2013-01-20 - 2013-01-26,81
2013-01-27 - 2013-02-02,80
2013-02-03 - 2013-02-09,80
2013-02-10 - 2013-02-16,77
2013-02-17 - 2013-02-23,79
2013-02-24 - 2013-03-02,96
2013-03-03 - 2013-03-09,85
2013-03-10 - 2013-03-16,84
2013-03-17 - 2013-03-23,84
2013-03-24 - 2013-03-30,85
2013-03-31 - 2013-04-06,77
2013-04-07 - 2013-04-13,75
2013-04-14 - 2013-04-20,74
2013-04-21 - 2013-04-27,76
2013-04-28 - 2013-05-04,77
2013-05-05 - 2013-05-11,76
2013-05-12 - 2013-05-18,76
2013-05-19 - 2013-05-25,78
2013-05-26 - 2013-06-01,79
2013-06-02 - 2013-06-08,82
2013-06-09 - 2013-06-15,80
2013-06-16 - 2013-06-22,81
2013-06-23 - 2013-06-29,83
2013-06-30 - 2013-07-06,87
2013-07-07 - 2013-07-13,89
2013-07-14 - 2013-07-20,88
2013-07-21 - 2013-07-27,88
2013-07-28 - 2013-08-03,88
2013-08-04 - 2013-08-10,90
2013-08-11 - 2013-08-17,93
2013-08-18 - 2013-08-24,89
2013-08-25 - 2013-08-31,84
2013-09-01 - 2013-09-07,82
2013-09-08 - 2013-09-14,77
2013-09-15 - 2013-09-21,74
2013-09-22 - 2013-09-28,74
2013-09-29 - 2013-10-05,76
2013-10-06 - 2013-10-12,74
2013-10-13 - 2013-10-19,74
2013-10-20 - 2013-10-26,76
2013-10-27 - 2013-11-02,76
2013-11-03 - 2013-11-09,75
2013-11-10 - 2013-11-16,77
2013-11-17 - 2013-11-23,77
2013-11-24 - 2013-11-30,75
2013-12-01 - 2013-12-07,73
2013-12-08 - 2013-12-14,73
2013-12-15 - 2013-12-21,71
2013-12-22 - 2013-12-28,74
2013-12-29 - 2014-01-04,84
2014-01-05 - 2014-01-11,90
2014-01-12 - 2014-01-18,91
2014-01-19 - 2014-01-25,92
2014-01-26 - 2014-02-01,90
2014-02-02 - 2014-02-08,86
2014-02-09 - 2014-02-15,83
2014-02-16 - 2014-02-22,82
2014-02-23 - 2014-03-01,99
2014-03-02 - 2014-03-08,88
2014-03-09 - 2014-03-15,88
2014-03-16 - 2014-03-22,88
2014-03-23 - 2014-03-29,87
2014-03-30 - 2014-04-05,85
2014-04-06 - 2014-04-12,80
2014-04-13 - 2014-04-19,80
2014-04-20 - 2014-04-26,79
2014-04-27 - 2014-05-03,78
2014-05-04 - 2014-05-10,80
2014-05-11 - 2014-05-17,81
2014-05-18 - 2014-05-24,84
2014-05-25 - 2014-05-31,83
2014-06-01 - 2014-06-07,83
2014-06-08 - 2014-06-14,81
2014-06-15 - 2014-06-21,81
2014-06-22 - 2014-06-28,84
2014-06-29 - 2014-07-05,83
2014-07-06 - 2014-07-12,86
2014-07-13 - 2014-07-19,90
2014-07-20 - 2014-07-26,96
2014-07-27 - 2014-08-02,95
2014-08-03 - 2014-08-09,94
2014-08-10 - 2014-08-16,89
2014-08-17 - 2014-08-23,91
2014-08-24 - 2014-08-30,88
2014-08-31 - 2014-09-06,83
2014-09-07 - 2014-09-13,78
2014-09-14 - 2014-09-20,78
2014-09-21 - 2014-09-27,80
2014-09-28 - 2014-10-04,78
2014-10-05 - 2014-10-11,77
2014-10-12 - 2014-10-18,75
2014-10-19 - 2014-10-25,74
2014-10-26 - 2014-11-01,77
2014-11-02 - 2014-11-08,77
2014-11-09 - 2014-11-15,79
2014-11-16 - 2014-11-22,78
2014-11-23 - 2014-11-29,78
2014-11-30 - 2014-12-06,75
2014-12-07 - 2014-12-13,74
2014-12-14 - 2014-12-20,73
2014-12-21 - 2014-12-27,74
2014-12-28 - 2015-01-03,91
2015-01-04 - 2015-01-10,91
2015-01-11 - 2015-01-17,94
2015-01-18 - 2015-01-24,91
2015-01-25 - 2015-01-31,88
2015-02-01 - 2015-02-07,83
2015-02-08 - 2015-02-14,84
2015-02-15 - 2015-02-21,86
2015-02-22 - 2015-02-28,99
2015-03-01 - 2015-03-07,88
2015-03-08 - 2015-03-14,87
2015-03-15 - 2015-03-21,90
2015-03-22 - 2015-03-28,90
2015-03-29 - 2015-04-04,87
2015-04-05 - 2015-04-11,82
2015-04-12 - 2015-04-18,81
2015-04-19 - 2015-04-25,80
2015-04-26 - 2015-05-02,81
2015-05-03 - 2015-05-09,90
2015-05-10 - 2015-05-16,87
2015-05-17 - 2015-05-23,84
2015-05-24 - 2015-05-30,83
2015-05-31 - 2015-06-06,82
2015-06-07 - 2015-06-13,84
2015-06-14 - 2015-06-20,84
2015-06-21 - 2015-06-27,84
2015-06-28 - 2015-07-04,88
2015-07-05 - 2015-07-11,89
2015-07-12 - 2015-07-18,93
2015-07-19 - 2015-07-25,94
2015-07-26 - 2015-08-01,96
2015-08-02 - 2015-08-08,96
2015-08-09 - 2015-08-15,96
2015-08-16 - 2015-08-22,90
2015-08-23 - 2015-08-29,88
2015-08-30 - 2015-09-05,89
2015-09-06 - 2015-09-12,85
2015-09-13 - 2015-09-19,79
2015-09-20 - 2015-09-26,85
2015-09-27 - 2015-10-03,82
2015-10-04 - 2015-10-10,81
2015-10-11 - 2015-10-17,81
2015-10-18 - 2015-10-24,82
2015-10-25 - 2015-10-31,81
2015-11-01 - 2015-11-07,84
2015-11-08 - 2015-11-14,93
2015-11-15 - 2015-11-21,81
2015-11-22 - 2015-11-28,85
2015-11-29 - 2015-12-05,83
2015-12-06 - 2015-12-12,82
2015-12-13 - 2015-12-19,83
2015-12-20 - 2015-12-26,84
2015-12-27 - 2016-01-02,96
2016-01-03 - 2016-01-09,99
2016-01-10 - 2016-01-16,99
2016-01-17 - 2016-01-23,97
2016-01-24 - 2016-01-30,98
2016-01-31 - 2016-02-06,94
2016-02-07 - 2016-02-13,91
2016-02-14 - 2016-02-20,88
2016-02-21 - 2016-02-27,100
2016-02-28 - 2016-03-05,89
2016-03-06 - 2016-03-12,91
2016-03-13 - 2016-03-19,88
2016-03-20 - 2016-03-26,95
2016-03-27 - 2016-04-02,92
2016-04-03 - 2016-04-09,83
2016-04-10 - 2016-04-16,81
2016-04-17 - 2016-04-23,83
2016-04-24 - 2016-04-30,98


Top regions for mar
Region,mar
Argentina,100
Chile,67
Spain,40
Portugal,31
Puerto Rico,25
Peru,23
Panama,21
Costa Rica,20
Uruguay,19
Brazil,18
Venezuela,16
Ecuador,16
Colombia,16
El Salvador,16
Dominican Republic,15
Bolivia,15
Mexico,15
Paraguay,15
Guatemala,14
Pakistan,10
Italy,5
Netherlands,5
India,4
United States,4
Belgium,4
Switzerland,4
Romania,3
United Kingdom,3
Germany,3
Philippines,3
Ireland,3
France,3
Canada,2
Norway,2
Poland,2
Denmark,2
Austria,2
Sweden,2
Australia,1
Turkey,1
Thailand,1
Vietnam,1
Russia,1
Japan,1
Indonesia,1


Top cities for mar
City,mar
Mar del Plata (Argentina),100
Viña del Mar (Chile),25
Valparaíso (Chile),18
Buenos Aires (Argentina),5
Barcelona (Spain),4
Santiago (Chile),3
San Diego (United States),3
Rosario (Argentina),2
Madrid (Spain),2
Valencia (Spain),2
Córdoba (Argentina),2
Seville (Spain),2
Lisbon (Portugal),2
Milpitas (United States),1
Sterling (United States),1



Top searches for mar
del mar,100
mar del plata,30
la mar,25
el mar,25
viña del mar,15
lloret de mar,5
san mar,5
rio mar,5
costa del mar,5
dread mar,5
dread mar i,5
beira mar,5
mar azul,5
casa del mar,0
roquetas de mar,0
cafe del mar,0
mar de amor,0
tossa de mar,0
la capital,0
fundo do mar,0
sol y mar,0
mar shopping,0
diagonal mar,0
torre del mar,0
radio mar,0
corona del mar,0
mar de ajo,0
universidad del mar,0
malgrat de mar,0
vina del mar,0
estrella de mar,0
mar muerto,0
lloret del mar,0
pineda de mar,0
mar mediterraneo,0
mar adentro,0
mar morto,0
valeria del mar,0
mar rojo,0
santillana del mar,0
mar vermelho,0
caballito de mar,0
estrela do mar,0
mar flores,0
mar de fondo,0
diario la capital,0
del mar fair,0
estrellas de mar,0
mar negro,0
hospital del mar,0



Rising searches for mar
dread mar,Breakout
dread mar i,Breakout
mar de amor,+250%
beira mar,+90%
la capital,+90%
mar del plata,+70%
rio mar,+50%
viña del mar,+50%
mar azul,+40%



