Web Search interest: thc
Worldwide 2004 - present

Interest over time
Week,thc
2005-09-25 - 2005-10-01,73
2005-10-02 - 2005-10-08,77
2005-10-09 - 2005-10-15,79
2005-10-16 - 2005-10-22,84
2005-10-23 - 2005-10-29,73
2005-10-30 - 2005-11-05,81
2005-11-06 - 2005-11-12,74
2005-11-13 - 2005-11-19,70
2005-11-20 - 2005-11-26,73
2005-11-27 - 2005-12-03,74
2005-12-04 - 2005-12-10,74
2005-12-11 - 2005-12-17,74
2005-12-18 - 2005-12-24,67
2005-12-25 - 2005-12-31,64
2006-01-01 - 2006-01-07,72
2006-01-08 - 2006-01-14,73
2006-01-15 - 2006-01-21,73
2006-01-22 - 2006-01-28,72
2006-01-29 - 2006-02-04,70
2006-02-05 - 2006-02-11,75
2006-02-12 - 2006-02-18,70
2006-02-19 - 2006-02-25,68
2006-02-26 - 2006-03-04,69
2006-03-05 - 2006-03-11,75
2006-03-12 - 2006-03-18,70
2006-03-19 - 2006-03-25,69
2006-03-26 - 2006-04-01,71
2006-04-02 - 2006-04-08,73
2006-04-09 - 2006-04-15,73
2006-04-16 - 2006-04-22,71
2006-04-23 - 2006-04-29,79
2006-04-30 - 2006-05-06,100
2006-05-07 - 2006-05-13,71
2006-05-14 - 2006-05-20,74
2006-05-21 - 2006-05-27,70
2006-05-28 - 2006-06-03,70
2006-06-04 - 2006-06-10,68
2006-06-11 - 2006-06-17,62
2006-06-18 - 2006-06-24,64
2006-06-25 - 2006-07-01,63
2006-07-02 - 2006-07-08,66
2006-07-09 - 2006-07-15,64
2006-07-16 - 2006-07-22,62
2006-07-23 - 2006-07-29,61
2006-07-30 - 2006-08-05,58
2006-08-06 - 2006-08-12,65
2006-08-13 - 2006-08-19,64
2006-08-20 - 2006-08-26,62
2006-08-27 - 2006-09-02,63
2006-09-03 - 2006-09-09,63
2006-09-10 - 2006-09-16,61
2006-09-17 - 2006-09-23,58
2006-09-24 - 2006-09-30,59
2006-10-01 - 2006-10-07,71
2006-10-08 - 2006-10-14,66
2006-10-15 - 2006-10-21,67
2006-10-22 - 2006-10-28,64
2006-10-29 - 2006-11-04,60
2006-11-05 - 2006-11-11,61
2006-11-12 - 2006-11-18,63
2006-11-19 - 2006-11-25,60
2006-11-26 - 2006-12-02,67
2006-12-03 - 2006-12-09,61
2006-12-10 - 2006-12-16,63
2006-12-17 - 2006-12-23,54
2006-12-24 - 2006-12-30,52
2006-12-31 - 2007-01-06,61
2007-01-07 - 2007-01-13,61
2007-01-14 - 2007-01-20,64
2007-01-21 - 2007-01-27,60
2007-01-28 - 2007-02-03,62
2007-02-04 - 2007-02-10,62
2007-02-11 - 2007-02-17,62
2007-02-18 - 2007-02-24,63
2007-02-25 - 2007-03-03,64
2007-03-04 - 2007-03-10,66
2007-03-11 - 2007-03-17,69
2007-03-18 - 2007-03-24,68
2007-03-25 - 2007-03-31,64
2007-04-01 - 2007-04-07,66
2007-04-08 - 2007-04-14,66
2007-04-15 - 2007-04-21,72
2007-04-22 - 2007-04-28,70
2007-04-29 - 2007-05-05,72
2007-05-06 - 2007-05-12,69
2007-05-13 - 2007-05-19,69
2007-05-20 - 2007-05-26,69
2007-05-27 - 2007-06-02,65
2007-06-03 - 2007-06-09,66
2007-06-10 - 2007-06-16,64
2007-06-17 - 2007-06-23,62
2007-06-24 - 2007-06-30,65
2007-07-01 - 2007-07-07,61
2007-07-08 - 2007-07-14,60
2007-07-15 - 2007-07-21,63
2007-07-22 - 2007-07-28,68
2007-07-29 - 2007-08-04,62
2007-08-05 - 2007-08-11,62
2007-08-12 - 2007-08-18,61
2007-08-19 - 2007-08-25,61
2007-08-26 - 2007-09-01,61
2007-09-02 - 2007-09-08,61
2007-09-09 - 2007-09-15,64
2007-09-16 - 2007-09-22,64
2007-09-23 - 2007-09-29,62
2007-09-30 - 2007-10-06,59
2007-10-07 - 2007-10-13,63
2007-10-14 - 2007-10-20,68
2007-10-21 - 2007-10-27,68
2007-10-28 - 2007-11-03,66
2007-11-04 - 2007-11-10,66
2007-11-11 - 2007-11-17,65
2007-11-18 - 2007-11-24,62
2007-11-25 - 2007-12-01,66
2007-12-02 - 2007-12-08,66
2007-12-09 - 2007-12-15,63
2007-12-16 - 2007-12-22,60
2007-12-23 - 2007-12-29,54
2007-12-30 - 2008-01-05,61
2008-01-06 - 2008-01-12,62
2008-01-13 - 2008-01-19,66
2008-01-20 - 2008-01-26,64
2008-01-27 - 2008-02-02,64
2008-02-03 - 2008-02-09,64
2008-02-10 - 2008-02-16,65
2008-02-17 - 2008-02-23,65
2008-02-24 - 2008-03-01,65
2008-03-02 - 2008-03-08,66
2008-03-09 - 2008-03-15,63
2008-03-16 - 2008-03-22,65
2008-03-23 - 2008-03-29,63
2008-03-30 - 2008-04-05,66
2008-04-06 - 2008-04-12,64
2008-04-13 - 2008-04-19,65
2008-04-20 - 2008-04-26,70
2008-04-27 - 2008-05-03,66
2008-05-04 - 2008-05-10,66
2008-05-11 - 2008-05-17,67
2008-05-18 - 2008-05-24,64
2008-05-25 - 2008-05-31,61
2008-06-01 - 2008-06-07,63
2008-06-08 - 2008-06-14,62
2008-06-15 - 2008-06-21,63
2008-06-22 - 2008-06-28,61
2008-06-29 - 2008-07-05,62
2008-07-06 - 2008-07-12,63
2008-07-13 - 2008-07-19,64
2008-07-20 - 2008-07-26,62
2008-07-27 - 2008-08-02,64
2008-08-03 - 2008-08-09,63
2008-08-10 - 2008-08-16,67
2008-08-17 - 2008-08-23,64
2008-08-24 - 2008-08-30,66
2008-08-31 - 2008-09-06,68
2008-09-07 - 2008-09-13,73
2008-09-14 - 2008-09-20,68
2008-09-21 - 2008-09-27,66
2008-09-28 - 2008-10-04,65
2008-10-05 - 2008-10-11,70
2008-10-12 - 2008-10-18,67
2008-10-19 - 2008-10-25,65
2008-10-26 - 2008-11-01,67
2008-11-02 - 2008-11-08,66
2008-11-09 - 2008-11-15,68
2008-11-16 - 2008-11-22,70
2008-11-23 - 2008-11-29,62
2008-11-30 - 2008-12-06,66
2008-12-07 - 2008-12-13,70
2008-12-14 - 2008-12-20,62
2008-12-21 - 2008-12-27,56
2008-12-28 - 2009-01-03,61
2009-01-04 - 2009-01-10,65
2009-01-11 - 2009-01-17,67
2009-01-18 - 2009-01-24,66
2009-01-25 - 2009-01-31,66
2009-02-01 - 2009-02-07,69
2009-02-08 - 2009-02-14,68
2009-02-15 - 2009-02-21,67
2009-02-22 - 2009-02-28,68
2009-03-01 - 2009-03-07,67
2009-03-08 - 2009-03-14,67
2009-03-15 - 2009-03-21,67
2009-03-22 - 2009-03-28,70
2009-03-29 - 2009-04-04,67
2009-04-05 - 2009-04-11,67
2009-04-12 - 2009-04-18,67
2009-04-19 - 2009-04-25,72
2009-04-26 - 2009-05-02,65
2009-05-03 - 2009-05-09,71
2009-05-10 - 2009-05-16,73
2009-05-17 - 2009-05-23,72
2009-05-24 - 2009-05-30,68
2009-05-31 - 2009-06-06,67
2009-06-07 - 2009-06-13,71
2009-06-14 - 2009-06-20,66
2009-06-21 - 2009-06-27,66
2009-06-28 - 2009-07-04,59
2009-07-05 - 2009-07-11,61
2009-07-12 - 2009-07-18,63
2009-07-19 - 2009-07-25,63
2009-07-26 - 2009-08-01,64
2009-08-02 - 2009-08-08,65
2009-08-09 - 2009-08-15,65
2009-08-16 - 2009-08-22,64
2009-08-23 - 2009-08-29,66
2009-08-30 - 2009-09-05,63
2009-09-06 - 2009-09-12,62
2009-09-13 - 2009-09-19,65
2009-09-20 - 2009-09-26,68
2009-09-27 - 2009-10-03,65
2009-10-04 - 2009-10-10,67
2009-10-11 - 2009-10-17,65
2009-10-18 - 2009-10-24,66
2009-10-25 - 2009-10-31,68
2009-11-01 - 2009-11-07,65
2009-11-08 - 2009-11-14,62
2009-11-15 - 2009-11-21,66
2009-11-22 - 2009-11-28,61
2009-11-29 - 2009-12-05,66
2009-12-06 - 2009-12-12,63
2009-12-13 - 2009-12-19,63
2009-12-20 - 2009-12-26,57
2009-12-27 - 2010-01-02,60
2010-01-03 - 2010-01-09,63
2010-01-10 - 2010-01-16,63
2010-01-17 - 2010-01-23,65
2010-01-24 - 2010-01-30,64
2010-01-31 - 2010-02-06,67
2010-02-07 - 2010-02-13,68
2010-02-14 - 2010-02-20,69
2010-02-21 - 2010-02-27,69
2010-02-28 - 2010-03-06,66
2010-03-07 - 2010-03-13,70
2010-03-14 - 2010-03-20,69
2010-03-21 - 2010-03-27,71
2010-03-28 - 2010-04-03,69
2010-04-04 - 2010-04-10,68
2010-04-11 - 2010-04-17,70
2010-04-18 - 2010-04-24,78
2010-04-25 - 2010-05-01,72
2010-05-02 - 2010-05-08,69
2010-05-09 - 2010-05-15,70
2010-05-16 - 2010-05-22,68
2010-05-23 - 2010-05-29,66
2010-05-30 - 2010-06-05,67
2010-06-06 - 2010-06-12,64
2010-06-13 - 2010-06-19,63
2010-06-20 - 2010-06-26,62
2010-06-27 - 2010-07-03,63
2010-07-04 - 2010-07-10,65
2010-07-11 - 2010-07-17,66
2010-07-18 - 2010-07-24,67
2010-07-25 - 2010-07-31,66
2010-08-01 - 2010-08-07,70
2010-08-08 - 2010-08-14,68
2010-08-15 - 2010-08-21,72
2010-08-22 - 2010-08-28,70
2010-08-29 - 2010-09-04,67
2010-09-05 - 2010-09-11,68
2010-09-12 - 2010-09-18,71
2010-09-19 - 2010-09-25,72
2010-09-26 - 2010-10-02,71
2010-10-03 - 2010-10-09,72
2010-10-10 - 2010-10-16,69
2010-10-17 - 2010-10-23,71
2010-10-24 - 2010-10-30,73
2010-10-31 - 2010-11-06,75
2010-11-07 - 2010-11-13,74
2010-11-14 - 2010-11-20,76
2010-11-21 - 2010-11-27,67
2010-11-28 - 2010-12-04,69
2010-12-05 - 2010-12-11,74
2010-12-12 - 2010-12-18,70
2010-12-19 - 2010-12-25,66
2010-12-26 - 2011-01-01,65
2011-01-02 - 2011-01-08,72
2011-01-09 - 2011-01-15,73
2011-01-16 - 2011-01-22,74
2011-01-23 - 2011-01-29,76
2011-01-30 - 2011-02-05,71
2011-02-06 - 2011-02-12,75
2011-02-13 - 2011-02-19,73
2011-02-20 - 2011-02-26,74
2011-02-27 - 2011-03-05,74
2011-03-06 - 2011-03-12,73
2011-03-13 - 2011-03-19,71
2011-03-20 - 2011-03-26,76
2011-03-27 - 2011-04-02,79
2011-04-03 - 2011-04-09,79
2011-04-10 - 2011-04-16,79
2011-04-17 - 2011-04-23,85
2011-04-24 - 2011-04-30,77
2011-05-01 - 2011-05-07,78
2011-05-08 - 2011-05-14,79
2011-05-15 - 2011-05-21,76
2011-05-22 - 2011-05-28,74
2011-05-29 - 2011-06-04,77
2011-06-05 - 2011-06-11,72
2011-06-12 - 2011-06-18,73
2011-06-19 - 2011-06-25,75
2011-06-26 - 2011-07-02,71
2011-07-03 - 2011-07-09,68
2011-07-10 - 2011-07-16,75
2011-07-17 - 2011-07-23,71
2011-07-24 - 2011-07-30,72
2011-07-31 - 2011-08-06,71
2011-08-07 - 2011-08-13,70
2011-08-14 - 2011-08-20,70
2011-08-21 - 2011-08-27,69
2011-08-28 - 2011-09-03,68
2011-09-04 - 2011-09-10,69
2011-09-11 - 2011-09-17,70
2011-09-18 - 2011-09-24,68
2011-09-25 - 2011-10-01,72
2011-10-02 - 2011-10-08,75
2011-10-09 - 2011-10-15,73
2011-10-16 - 2011-10-22,73
2011-10-23 - 2011-10-29,74
2011-10-30 - 2011-11-05,72
2011-11-06 - 2011-11-12,72
2011-11-13 - 2011-11-19,73
2011-11-20 - 2011-11-26,69
2011-11-27 - 2011-12-03,73
2011-12-04 - 2011-12-10,72
2011-12-11 - 2011-12-17,69
2011-12-18 - 2011-12-24,66
2011-12-25 - 2011-12-31,71
2012-01-01 - 2012-01-07,73
2012-01-08 - 2012-01-14,76
2012-01-15 - 2012-01-21,73
2012-01-22 - 2012-01-28,75
2012-01-29 - 2012-02-04,71
2012-02-05 - 2012-02-11,75
2012-02-12 - 2012-02-18,77
2012-02-19 - 2012-02-25,73
2012-02-26 - 2012-03-03,76
2012-03-04 - 2012-03-10,75
2012-03-11 - 2012-03-17,71
2012-03-18 - 2012-03-24,74
2012-03-25 - 2012-03-31,72
2012-04-01 - 2012-04-07,73
2012-04-08 - 2012-04-14,73
2012-04-15 - 2012-04-21,78
2012-04-22 - 2012-04-28,78
2012-04-29 - 2012-05-05,77
2012-05-06 - 2012-05-12,78
2012-05-13 - 2012-05-19,86
2012-05-20 - 2012-05-26,76
2012-05-27 - 2012-06-02,73
2012-06-03 - 2012-06-09,73
2012-06-10 - 2012-06-16,72
2012-06-17 - 2012-06-23,73
2012-06-24 - 2012-06-30,70
2012-07-01 - 2012-07-07,70
2012-07-08 - 2012-07-14,77
2012-07-15 - 2012-07-21,76
2012-07-22 - 2012-07-28,75
2012-07-29 - 2012-08-04,72
2012-08-05 - 2012-08-11,76
2012-08-12 - 2012-08-18,75
2012-08-19 - 2012-08-25,74
2012-08-26 - 2012-09-01,75
2012-09-02 - 2012-09-08,74
2012-09-09 - 2012-09-15,73
2012-09-16 - 2012-09-22,76
2012-09-23 - 2012-09-29,76
2012-09-30 - 2012-10-06,72
2012-10-07 - 2012-10-13,72
2012-10-14 - 2012-10-20,75
2012-10-21 - 2012-10-27,75
2012-10-28 - 2012-11-03,72
2012-11-04 - 2012-11-10,80
2012-11-11 - 2012-11-17,77
2012-11-18 - 2012-11-24,72
2012-11-25 - 2012-12-01,74
2012-12-02 - 2012-12-08,76
2012-12-09 - 2012-12-15,76
2012-12-16 - 2012-12-22,69
2012-12-23 - 2012-12-29,68
2012-12-30 - 2013-01-05,71
2013-01-06 - 2013-01-12,77
2013-01-13 - 2013-01-19,76
2013-01-20 - 2013-01-26,76
2013-01-27 - 2013-02-02,75
2013-02-03 - 2013-02-09,75
2013-02-10 - 2013-02-16,75
2013-02-17 - 2013-02-23,77
2013-02-24 - 2013-03-02,78
2013-03-03 - 2013-03-09,77
2013-03-10 - 2013-03-16,77
2013-03-17 - 2013-03-23,77
2013-03-24 - 2013-03-30,80
2013-03-31 - 2013-04-06,78
2013-04-07 - 2013-04-13,80
2013-04-14 - 2013-04-20,79
2013-04-21 - 2013-04-27,83
2013-04-28 - 2013-05-04,79
2013-05-05 - 2013-05-11,80
2013-05-12 - 2013-05-18,76
2013-05-19 - 2013-05-25,76
2013-05-26 - 2013-06-01,76
2013-06-02 - 2013-06-08,76
2013-06-09 - 2013-06-15,75
2013-06-16 - 2013-06-22,71
2013-06-23 - 2013-06-29,76
2013-06-30 - 2013-07-06,72
2013-07-07 - 2013-07-13,80
2013-07-14 - 2013-07-20,73
2013-07-21 - 2013-07-27,76
2013-07-28 - 2013-08-03,73
2013-08-04 - 2013-08-10,78
2013-08-11 - 2013-08-17,78
2013-08-18 - 2013-08-24,78
2013-08-25 - 2013-08-31,74
2013-09-01 - 2013-09-07,76
2013-09-08 - 2013-09-14,76
2013-09-15 - 2013-09-21,74
2013-09-22 - 2013-09-28,74
2013-09-29 - 2013-10-05,77
2013-10-06 - 2013-10-12,77
2013-10-13 - 2013-10-19,78
2013-10-20 - 2013-10-26,80
2013-10-27 - 2013-11-02,76
2013-11-03 - 2013-11-09,76
2013-11-10 - 2013-11-16,78
2013-11-17 - 2013-11-23,78
2013-11-24 - 2013-11-30,69
2013-12-01 - 2013-12-07,71
2013-12-08 - 2013-12-14,73
2013-12-15 - 2013-12-21,72
2013-12-22 - 2013-12-28,65
2013-12-29 - 2014-01-04,76
2014-01-05 - 2014-01-11,84
2014-01-12 - 2014-01-18,83
2014-01-19 - 2014-01-25,80
2014-01-26 - 2014-02-01,83
2014-02-02 - 2014-02-08,81
2014-02-09 - 2014-02-15,80
2014-02-16 - 2014-02-22,80
2014-02-23 - 2014-03-01,87
2014-03-02 - 2014-03-08,84
2014-03-09 - 2014-03-15,85
2014-03-16 - 2014-03-22,84
2014-03-23 - 2014-03-29,87
2014-03-30 - 2014-04-05,82
2014-04-06 - 2014-04-12,85
2014-04-13 - 2014-04-19,83
2014-04-20 - 2014-04-26,88
2014-04-27 - 2014-05-03,83
2014-05-04 - 2014-05-10,85
2014-05-11 - 2014-05-17,82
2014-05-18 - 2014-05-24,80
2014-05-25 - 2014-05-31,76
2014-06-01 - 2014-06-07,78
2014-06-08 - 2014-06-14,74
2014-06-15 - 2014-06-21,73
2014-06-22 - 2014-06-28,76
2014-06-29 - 2014-07-05,72
2014-07-06 - 2014-07-12,76
2014-07-13 - 2014-07-19,78
2014-07-20 - 2014-07-26,76
2014-07-27 - 2014-08-02,82
2014-08-03 - 2014-08-09,77
2014-08-10 - 2014-08-16,77
2014-08-17 - 2014-08-23,79
2014-08-24 - 2014-08-30,79
2014-08-31 - 2014-09-06,75
2014-09-07 - 2014-09-13,78
2014-09-14 - 2014-09-20,83
2014-09-21 - 2014-09-27,77
2014-09-28 - 2014-10-04,80
2014-10-05 - 2014-10-11,81
2014-10-12 - 2014-10-18,78
2014-10-19 - 2014-10-25,81
2014-10-26 - 2014-11-01,77
2014-11-02 - 2014-11-08,80
2014-11-09 - 2014-11-15,80
2014-11-16 - 2014-11-22,79
2014-11-23 - 2014-11-29,75
2014-11-30 - 2014-12-06,80
2014-12-07 - 2014-12-13,79
2014-12-14 - 2014-12-20,79
2014-12-21 - 2014-12-27,70
2014-12-28 - 2015-01-03,73
2015-01-04 - 2015-01-10,80
2015-01-11 - 2015-01-17,83
2015-01-18 - 2015-01-24,80
2015-01-25 - 2015-01-31,79
2015-02-01 - 2015-02-07,78
2015-02-08 - 2015-02-14,77
2015-02-15 - 2015-02-21,78
2015-02-22 - 2015-02-28,80
2015-03-01 - 2015-03-07,83
2015-03-08 - 2015-03-14,83
2015-03-15 - 2015-03-21,81
2015-03-22 - 2015-03-28,84
2015-03-29 - 2015-04-04,82
2015-04-05 - 2015-04-11,80
2015-04-12 - 2015-04-18,82
2015-04-19 - 2015-04-25,89
2015-04-26 - 2015-05-02,80
2015-05-03 - 2015-05-09,80
2015-05-10 - 2015-05-16,82
2015-05-17 - 2015-05-23,81
2015-05-24 - 2015-05-30,79
2015-05-31 - 2015-06-06,82
2015-06-07 - 2015-06-13,81
2015-06-14 - 2015-06-20,78
2015-06-21 - 2015-06-27,77
2015-06-28 - 2015-07-04,74
2015-07-05 - 2015-07-11,79
2015-07-12 - 2015-07-18,81
2015-07-19 - 2015-07-25,80
2015-07-26 - 2015-08-01,79
2015-08-02 - 2015-08-08,79
2015-08-09 - 2015-08-15,79
2015-08-16 - 2015-08-22,79
2015-08-23 - 2015-08-29,77
2015-08-30 - 2015-09-05,80
2015-09-06 - 2015-09-12,78
2015-09-13 - 2015-09-19,81
2015-09-20 - 2015-09-26,81
2015-09-27 - 2015-10-03,80
2015-10-04 - 2015-10-10,81
2015-10-11 - 2015-10-17,80
2015-10-18 - 2015-10-24,83
2015-10-25 - 2015-10-31,81
2015-11-01 - 2015-11-07,82
2015-11-08 - 2015-11-14,81
2015-11-15 - 2015-11-21,80
2015-11-22 - 2015-11-28,76
2015-11-29 - 2015-12-05,80
2015-12-06 - 2015-12-12,79
2015-12-13 - 2015-12-19,79
2015-12-20 - 2015-12-26,78
2015-12-27 - 2016-01-02,79
2016-01-03 - 2016-01-09,90
2016-01-10 - 2016-01-16,87
2016-01-17 - 2016-01-23,87
2016-01-24 - 2016-01-30,90
2016-01-31 - 2016-02-06,91
2016-02-07 - 2016-02-13,92
2016-02-14 - 2016-02-20,85
2016-02-21 - 2016-02-27,90
2016-02-28 - 2016-03-05,91
2016-03-06 - 2016-03-12,89
2016-03-13 - 2016-03-19,86
2016-03-20 - 2016-03-26,88
2016-03-27 - 2016-04-02,87
2016-04-03 - 2016-04-09,90
2016-04-10 - 2016-04-16,92
2016-04-17 - 2016-04-23,99
2016-04-24 - 2016-04-30,100


Top regions for thc
Region,thc
United States,100
Germany,87
Serbia,86
Czech Republic,83
Netherlands,80
Poland,75
Bosnia & Herzegovina,72
Slovenia,72
Austria,69
Canada,67
Switzerland,59
Chile,58
Croatia,58
Slovakia,50
Argentina,49
France,45
Italy,44
Norway,42
Sweden,41
Costa Rica,40
Belgium,39
New Zealand,38
Hungary,37
Australia,36
South Africa,34
Denmark,33
Spain,31
Finland,27
United Kingdom,27
Bulgaria,26
Ireland,26
Israel,25
Portugal,23
Vietnam,23
Colombia,22
Romania,21
Brazil,19
Mexico,19
China,17
Greece,16
Venezuela,15
Philippines,15
Peru,14
Iran,13
Malaysia,11
Japan,10
Taiwan,10
India,8
Thailand,6
Indonesia,6
Turkey,5
Russia,3


Top cities for thc
City,thc
Denver (United States),100
Seattle (United States),82
Cologne (Germany),68
Los Angeles (United States),67
Dallas (United States),65
San Francisco (United States),65
San Diego (United States),64
Hamburg (Germany),63
Atlanta (United States),63
Chicago (United States),61
Amsterdam (Netherlands),59
Houston (United States),57
Berlin (Germany),54
Washington (United States),47
Vienna (Austria),45



Top searches for thc
thc thc,100
thc test,10
thc weed,5
thc drug,5
marijuana,5
marijuana thc,5
drug test,5
thc drug test,5
thc cannabis,5
cannabis,5
thc urine,5
thc in system,5
thc oil,5
what is thc,5
detox thc,0
detox,0
thc in urine,0
thc marihuana,0
thc urine test,0
cbd,0
thc pills,0
thc effects,0
thc liquid,0
wax thc,0
thc seeds,0
thc in blood,0
thc levels,0
thc testing,0
thc im blut,0
niacin,0
thc cancer,0
effects of thc,0
thc im urin,0
thc butter,0
thc hydra,0
thc vaporizer,0
thc cleanse,0
thc blood test,0
revista thc,0
thc calculator,0
thc e liquid,0
drug testing,0
tch,0
thc wiki,0
thc extraction,0
pure thc,0
thc pill,0
thc wikipedia,0
thc molecule,0
ps3 thc,0



Rising searches for thc
thc oil,+400%
detox,+300%
thc weed,+300%
detox thc,+250%
thc in system,+170%
thc in urine,+160%
what is thc,+150%
thc urine,+90%
drug test,+70%
thc test,+70%



