Web Search interest: cl
Worldwide 2004 - present

Interest over time
Week,cl
2008-07-13 - 2008-07-19,44
2008-07-20 - 2008-07-26,45
2008-07-27 - 2008-08-02,47
2008-08-03 - 2008-08-09,45
2008-08-10 - 2008-08-16,43
2008-08-17 - 2008-08-23,44
2008-08-24 - 2008-08-30,51
2008-08-31 - 2008-09-06,46
2008-09-07 - 2008-09-13,47
2008-09-14 - 2008-09-20,52
2008-09-21 - 2008-09-27,48
2008-09-28 - 2008-10-04,53
2008-10-05 - 2008-10-11,47
2008-10-12 - 2008-10-18,47
2008-10-19 - 2008-10-25,52
2008-10-26 - 2008-11-01,47
2008-11-02 - 2008-11-08,48
2008-11-09 - 2008-11-15,45
2008-11-16 - 2008-11-22,47
2008-11-23 - 2008-11-29,48
2008-11-30 - 2008-12-06,46
2008-12-07 - 2008-12-13,50
2008-12-14 - 2008-12-20,48
2008-12-21 - 2008-12-27,49
2008-12-28 - 2009-01-03,48
2009-01-04 - 2009-01-10,49
2009-01-11 - 2009-01-17,51
2009-01-18 - 2009-01-24,53
2009-01-25 - 2009-01-31,55
2009-02-01 - 2009-02-07,53
2009-02-08 - 2009-02-14,53
2009-02-15 - 2009-02-21,57
2009-02-22 - 2009-02-28,66
2009-03-01 - 2009-03-07,61
2009-03-08 - 2009-03-14,69
2009-03-15 - 2009-03-21,65
2009-03-22 - 2009-03-28,63
2009-03-29 - 2009-04-04,61
2009-04-05 - 2009-04-11,64
2009-04-12 - 2009-04-18,64
2009-04-19 - 2009-04-25,63
2009-04-26 - 2009-05-02,63
2009-05-03 - 2009-05-09,68
2009-05-10 - 2009-05-16,63
2009-05-17 - 2009-05-23,62
2009-05-24 - 2009-05-30,71
2009-05-31 - 2009-06-06,61
2009-06-07 - 2009-06-13,61
2009-06-14 - 2009-06-20,62
2009-06-21 - 2009-06-27,60
2009-06-28 - 2009-07-04,63
2009-07-05 - 2009-07-11,62
2009-07-12 - 2009-07-18,62
2009-07-19 - 2009-07-25,61
2009-07-26 - 2009-08-01,64
2009-08-02 - 2009-08-08,68
2009-08-09 - 2009-08-15,65
2009-08-16 - 2009-08-22,64
2009-08-23 - 2009-08-29,71
2009-08-30 - 2009-09-05,64
2009-09-06 - 2009-09-12,63
2009-09-13 - 2009-09-19,68
2009-09-20 - 2009-09-26,65
2009-09-27 - 2009-10-03,69
2009-10-04 - 2009-10-10,65
2009-10-11 - 2009-10-17,63
2009-10-18 - 2009-10-24,68
2009-10-25 - 2009-10-31,63
2009-11-01 - 2009-11-07,67
2009-11-08 - 2009-11-14,63
2009-11-15 - 2009-11-21,64
2009-11-22 - 2009-11-28,71
2009-11-29 - 2009-12-05,66
2009-12-06 - 2009-12-12,68
2009-12-13 - 2009-12-19,67
2009-12-20 - 2009-12-26,66
2009-12-27 - 2010-01-02,64
2010-01-03 - 2010-01-09,63
2010-01-10 - 2010-01-16,62
2010-01-17 - 2010-01-23,64
2010-01-24 - 2010-01-30,64
2010-01-31 - 2010-02-06,63
2010-02-07 - 2010-02-13,66
2010-02-14 - 2010-02-20,68
2010-02-21 - 2010-02-27,72
2010-02-28 - 2010-03-06,72
2010-03-07 - 2010-03-13,74
2010-03-14 - 2010-03-20,77
2010-03-21 - 2010-03-27,71
2010-03-28 - 2010-04-03,76
2010-04-04 - 2010-04-10,76
2010-04-11 - 2010-04-17,69
2010-04-18 - 2010-04-24,75
2010-04-25 - 2010-05-01,76
2010-05-02 - 2010-05-08,73
2010-05-09 - 2010-05-15,70
2010-05-16 - 2010-05-22,75
2010-05-23 - 2010-05-29,69
2010-05-30 - 2010-06-05,70
2010-06-06 - 2010-06-12,65
2010-06-13 - 2010-06-19,66
2010-06-20 - 2010-06-26,64
2010-06-27 - 2010-07-03,64
2010-07-04 - 2010-07-10,66
2010-07-11 - 2010-07-17,62
2010-07-18 - 2010-07-24,61
2010-07-25 - 2010-07-31,64
2010-08-01 - 2010-08-07,63
2010-08-08 - 2010-08-14,62
2010-08-15 - 2010-08-21,63
2010-08-22 - 2010-08-28,72
2010-08-29 - 2010-09-04,66
2010-09-05 - 2010-09-11,67
2010-09-12 - 2010-09-18,72
2010-09-19 - 2010-09-25,69
2010-09-26 - 2010-10-02,74
2010-10-03 - 2010-10-09,66
2010-10-10 - 2010-10-16,66
2010-10-17 - 2010-10-23,71
2010-10-24 - 2010-10-30,64
2010-10-31 - 2010-11-06,68
2010-11-07 - 2010-11-13,65
2010-11-14 - 2010-11-20,65
2010-11-21 - 2010-11-27,67
2010-11-28 - 2010-12-04,65
2010-12-05 - 2010-12-11,68
2010-12-12 - 2010-12-18,70
2010-12-19 - 2010-12-25,65
2010-12-26 - 2011-01-01,66
2011-01-02 - 2011-01-08,66
2011-01-09 - 2011-01-15,65
2011-01-16 - 2011-01-22,66
2011-01-23 - 2011-01-29,65
2011-01-30 - 2011-02-05,66
2011-02-06 - 2011-02-12,64
2011-02-13 - 2011-02-19,71
2011-02-20 - 2011-02-26,70
2011-02-27 - 2011-03-05,66
2011-03-06 - 2011-03-12,68
2011-03-13 - 2011-03-19,71
2011-03-20 - 2011-03-26,63
2011-03-27 - 2011-04-02,65
2011-04-03 - 2011-04-09,69
2011-04-10 - 2011-04-16,71
2011-04-17 - 2011-04-23,64
2011-04-24 - 2011-04-30,70
2011-05-01 - 2011-05-07,67
2011-05-08 - 2011-05-14,64
2011-05-15 - 2011-05-21,65
2011-05-22 - 2011-05-28,76
2011-05-29 - 2011-06-04,69
2011-06-05 - 2011-06-11,65
2011-06-12 - 2011-06-18,65
2011-06-19 - 2011-06-25,67
2011-06-26 - 2011-07-02,64
2011-07-03 - 2011-07-09,65
2011-07-10 - 2011-07-16,67
2011-07-17 - 2011-07-23,67
2011-07-24 - 2011-07-30,67
2011-07-31 - 2011-08-06,69
2011-08-07 - 2011-08-13,67
2011-08-14 - 2011-08-20,68
2011-08-21 - 2011-08-27,77
2011-08-28 - 2011-09-03,76
2011-09-04 - 2011-09-10,68
2011-09-11 - 2011-09-17,74
2011-09-18 - 2011-09-24,71
2011-09-25 - 2011-10-01,79
2011-10-02 - 2011-10-08,76
2011-10-09 - 2011-10-15,69
2011-10-16 - 2011-10-22,72
2011-10-23 - 2011-10-29,69
2011-10-30 - 2011-11-05,82
2011-11-06 - 2011-11-12,69
2011-11-13 - 2011-11-19,68
2011-11-20 - 2011-11-26,74
2011-11-27 - 2011-12-03,72
2011-12-04 - 2011-12-10,73
2011-12-11 - 2011-12-17,73
2011-12-18 - 2011-12-24,66
2011-12-25 - 2011-12-31,67
2012-01-01 - 2012-01-07,65
2012-01-08 - 2012-01-14,63
2012-01-15 - 2012-01-21,64
2012-01-22 - 2012-01-28,67
2012-01-29 - 2012-02-04,67
2012-02-05 - 2012-02-11,66
2012-02-12 - 2012-02-18,70
2012-02-19 - 2012-02-25,69
2012-02-26 - 2012-03-03,68
2012-03-04 - 2012-03-10,70
2012-03-11 - 2012-03-17,77
2012-03-18 - 2012-03-24,70
2012-03-25 - 2012-03-31,72
2012-04-01 - 2012-04-07,70
2012-04-08 - 2012-04-14,67
2012-04-15 - 2012-04-21,73
2012-04-22 - 2012-04-28,80
2012-04-29 - 2012-05-05,68
2012-05-06 - 2012-05-12,72
2012-05-13 - 2012-05-19,87
2012-05-20 - 2012-05-26,78
2012-05-27 - 2012-06-02,69
2012-06-03 - 2012-06-09,66
2012-06-10 - 2012-06-16,67
2012-06-17 - 2012-06-23,65
2012-06-24 - 2012-06-30,67
2012-07-01 - 2012-07-07,69
2012-07-08 - 2012-07-14,69
2012-07-15 - 2012-07-21,71
2012-07-22 - 2012-07-28,73
2012-07-29 - 2012-08-04,70
2012-08-05 - 2012-08-11,67
2012-08-12 - 2012-08-18,68
2012-08-19 - 2012-08-25,71
2012-08-26 - 2012-09-01,77
2012-09-02 - 2012-09-08,67
2012-09-09 - 2012-09-15,65
2012-09-16 - 2012-09-22,73
2012-09-23 - 2012-09-29,69
2012-09-30 - 2012-10-06,77
2012-10-07 - 2012-10-13,70
2012-10-14 - 2012-10-20,69
2012-10-21 - 2012-10-27,77
2012-10-28 - 2012-11-03,70
2012-11-04 - 2012-11-10,71
2012-11-11 - 2012-11-17,63
2012-11-18 - 2012-11-24,70
2012-11-25 - 2012-12-01,63
2012-12-02 - 2012-12-08,70
2012-12-09 - 2012-12-15,66
2012-12-16 - 2012-12-22,67
2012-12-23 - 2012-12-29,63
2012-12-30 - 2013-01-05,60
2013-01-06 - 2013-01-12,60
2013-01-13 - 2013-01-19,60
2013-01-20 - 2013-01-26,62
2013-01-27 - 2013-02-02,62
2013-02-03 - 2013-02-09,62
2013-02-10 - 2013-02-16,72
2013-02-17 - 2013-02-23,69
2013-02-24 - 2013-03-02,65
2013-03-03 - 2013-03-09,71
2013-03-10 - 2013-03-16,82
2013-03-17 - 2013-03-23,68
2013-03-24 - 2013-03-30,67
2013-03-31 - 2013-04-06,76
2013-04-07 - 2013-04-13,90
2013-04-14 - 2013-04-20,68
2013-04-21 - 2013-04-27,83
2013-04-28 - 2013-05-04,85
2013-05-05 - 2013-05-11,71
2013-05-12 - 2013-05-18,70
2013-05-19 - 2013-05-25,100
2013-05-26 - 2013-06-01,92
2013-06-02 - 2013-06-08,71
2013-06-09 - 2013-06-15,70
2013-06-16 - 2013-06-22,67
2013-06-23 - 2013-06-29,69
2013-06-30 - 2013-07-06,69
2013-07-07 - 2013-07-13,67
2013-07-14 - 2013-07-20,64
2013-07-21 - 2013-07-27,64
2013-07-28 - 2013-08-03,66
2013-08-04 - 2013-08-10,65
2013-08-11 - 2013-08-17,59
2013-08-18 - 2013-08-24,65
2013-08-25 - 2013-08-31,74
2013-09-01 - 2013-09-07,63
2013-09-08 - 2013-09-14,64
2013-09-15 - 2013-09-21,70
2013-09-22 - 2013-09-28,67
2013-09-29 - 2013-10-05,77
2013-10-06 - 2013-10-12,64
2013-10-13 - 2013-10-19,61
2013-10-20 - 2013-10-26,71
2013-10-27 - 2013-11-02,64
2013-11-03 - 2013-11-09,70
2013-11-10 - 2013-11-16,63
2013-11-17 - 2013-11-23,64
2013-11-24 - 2013-11-30,73
2013-12-01 - 2013-12-07,61
2013-12-08 - 2013-12-14,74
2013-12-15 - 2013-12-21,70
2013-12-22 - 2013-12-28,60
2013-12-29 - 2014-01-04,61
2014-01-05 - 2014-01-11,59
2014-01-12 - 2014-01-18,60
2014-01-19 - 2014-01-25,61
2014-01-26 - 2014-02-01,61
2014-02-02 - 2014-02-08,62
2014-02-09 - 2014-02-15,60
2014-02-16 - 2014-02-22,67
2014-02-23 - 2014-03-01,69
2014-03-02 - 2014-03-08,69
2014-03-09 - 2014-03-15,77
2014-03-16 - 2014-03-22,81
2014-03-23 - 2014-03-29,69
2014-03-30 - 2014-04-05,72
2014-04-06 - 2014-04-12,84
2014-04-13 - 2014-04-19,63
2014-04-20 - 2014-04-26,70
2014-04-27 - 2014-05-03,74
2014-05-04 - 2014-05-10,64
2014-05-11 - 2014-05-17,69
2014-05-18 - 2014-05-24,84
2014-05-25 - 2014-05-31,71
2014-06-01 - 2014-06-07,64
2014-06-08 - 2014-06-14,67
2014-06-15 - 2014-06-21,63
2014-06-22 - 2014-06-28,62
2014-06-29 - 2014-07-05,62
2014-07-06 - 2014-07-12,61
2014-07-13 - 2014-07-19,61
2014-07-20 - 2014-07-26,61
2014-07-27 - 2014-08-02,63
2014-08-03 - 2014-08-09,64
2014-08-10 - 2014-08-16,59
2014-08-17 - 2014-08-23,61
2014-08-24 - 2014-08-30,76
2014-08-31 - 2014-09-06,62
2014-09-07 - 2014-09-13,64
2014-09-14 - 2014-09-20,81
2014-09-21 - 2014-09-27,72
2014-09-28 - 2014-10-04,80
2014-10-05 - 2014-10-11,62
2014-10-12 - 2014-10-18,62
2014-10-19 - 2014-10-25,70
2014-10-26 - 2014-11-01,63
2014-11-02 - 2014-11-08,70
2014-11-09 - 2014-11-15,62
2014-11-16 - 2014-11-22,61
2014-11-23 - 2014-11-29,68
2014-11-30 - 2014-12-06,61
2014-12-07 - 2014-12-13,68
2014-12-14 - 2014-12-20,68
2014-12-21 - 2014-12-27,61
2014-12-28 - 2015-01-03,61
2015-01-04 - 2015-01-10,59
2015-01-11 - 2015-01-17,60
2015-01-18 - 2015-01-24,60
2015-01-25 - 2015-01-31,61
2015-02-01 - 2015-02-07,62
2015-02-08 - 2015-02-14,62
2015-02-15 - 2015-02-21,70
2015-02-22 - 2015-02-28,71
2015-03-01 - 2015-03-07,68
2015-03-08 - 2015-03-14,72
2015-03-15 - 2015-03-21,75
2015-03-22 - 2015-03-28,63
2015-03-29 - 2015-04-04,62
2015-04-05 - 2015-04-11,63
2015-04-12 - 2015-04-18,71
2015-04-19 - 2015-04-25,79
2015-04-26 - 2015-05-02,67
2015-05-03 - 2015-05-09,70
2015-05-10 - 2015-05-16,74
2015-05-17 - 2015-05-23,67
2015-05-24 - 2015-05-30,70
2015-05-31 - 2015-06-06,82
2015-06-07 - 2015-06-13,65
2015-06-14 - 2015-06-20,60
2015-06-21 - 2015-06-27,60
2015-06-28 - 2015-07-04,59
2015-07-05 - 2015-07-11,58
2015-07-12 - 2015-07-18,59
2015-07-19 - 2015-07-25,58
2015-07-26 - 2015-08-01,59
2015-08-02 - 2015-08-08,64
2015-08-09 - 2015-08-15,62
2015-08-16 - 2015-08-22,65
2015-08-23 - 2015-08-29,79
2015-08-30 - 2015-09-05,67
2015-09-06 - 2015-09-12,65
2015-09-13 - 2015-09-19,72
2015-09-20 - 2015-09-26,66
2015-09-27 - 2015-10-03,73
2015-10-04 - 2015-10-10,65
2015-10-11 - 2015-10-17,63
2015-10-18 - 2015-10-24,72
2015-10-25 - 2015-10-31,64
2015-11-01 - 2015-11-07,69
2015-11-08 - 2015-11-14,65
2015-11-15 - 2015-11-21,68
2015-11-22 - 2015-11-28,83
2015-11-29 - 2015-12-05,79
2015-12-06 - 2015-12-12,84
2015-12-13 - 2015-12-19,78
2015-12-20 - 2015-12-26,70
2015-12-27 - 2016-01-02,68
2016-01-03 - 2016-01-09,66
2016-01-10 - 2016-01-16,66
2016-01-17 - 2016-01-23,66
2016-01-24 - 2016-01-30,68
2016-01-31 - 2016-02-06,69
2016-02-07 - 2016-02-13,68
2016-02-14 - 2016-02-20,73
2016-02-21 - 2016-02-27,74
2016-02-28 - 2016-03-05,68
2016-03-06 - 2016-03-12,71
2016-03-13 - 2016-03-19,80
2016-03-20 - 2016-03-26,68
2016-03-27 - 2016-04-02,75
2016-04-03 - 2016-04-09,76
2016-04-10 - 2016-04-16,87
2016-04-17 - 2016-04-23,70
2016-04-24 - 2016-04-30,79


Top regions for cl
Region,cl
Chile,100
Moldova,6
Germany,5
France,4
Denmark,4
Morocco,4
Sweden,4
Romania,3
Austria,3
Switzerland,3
Tunisia,3
Norway,3
Poland,3
Argentina,3
Belgium,3
Nigeria,3
Peru,3
Singapore,3
Spain,3
Italy,3
Bolivia,3
Colombia,3
Netherlands,3
Philippines,2
United States,2
Canada,2
Czech Republic,2
Hong Kong,2
United Kingdom,2
Brazil,2
Malaysia,2
Australia,2
Bulgaria,2
Japan,2
Portugal,2
Indonesia,2
Ecuador,2
Hungary,2
South Korea,2
Mexico,2
India,2
Ireland,2
United Arab Emirates,2
Slovakia,2
Croatia,2
Finland,2
New Zealand,1
Algeria,1
Vietnam,1
Taiwan,1
Venezuela,1
Serbia,1
South Africa,1
Pakistan,1
Greece,1
Thailand,1
China,1
Turkey,1
Russia,1
Ukraine,1
Israel,1
Saudi Arabia,1


Top cities for cl
City,cl
Valparaíso (Chile),100
Santiago (Chile),93
La Serena (Chile),89
Concepción (Chile),86
Temuco (Chile),83
Viña del Mar (Chile),66
Wroclaw (Poland),13
Munich (Germany),5
Berlin (Germany),4
Frankfurt (Germany),4
Paris (France),4
Vienna (Austria),3
Bogotá (Colombia),3
Milan (Italy),3
Buenos Aires (Argentina),3



Top searches for cl
cl ml,100
cl mercedes,75
google cl,55
ml en cl,45
facebook cl,45
cl 2ne1,45
2ne1,45
acura cl,40
cl 500,30
youtube cl,25
cl 2014,25
50 cl,25
cl finale,25
edukacja cl,20
na cl,20
yapo cl,20
yapo,20
cl 63,15
cl in ml,15
hotmail cl,15
cl auslosung,15
cl 600,15
cl 63 amg,15
uefa cl,15
cl en gramme,10
cl to ml,10
paris cl,10
mercedes benz cl,10
mercedes cl 500,10
open cl,10
lun cl,10
mega cl,10
falabella cl,10
13 cl,10
cl 65 amg,10
www google cl,10
gmail cl,10
cl smooth,10
cl baddest female,5
cl instagram,5
cl t20,5
terra cl,5
santander cl,5
travian cl,5
bancoestado cl,5



Rising searches for cl
2ne1,Breakout
cl 2014,Breakout
cl 2ne1,Breakout
facebook cl,Breakout
youtube cl,Breakout
ml en cl,+1,800%
google cl,+550%
cl finale,+450%
cl ml,+350%



