Web Search interest: amzn
Worldwide 2004 - present

Interest over time
Week,amzn
2006-10-08 - 2006-10-14,8
2006-10-15 - 2006-10-21,8
2006-10-22 - 2006-10-28,28
2006-10-29 - 2006-11-04,11
2006-11-05 - 2006-11-11,10
2006-11-12 - 2006-11-18,14
2006-11-19 - 2006-11-25,9
2006-11-26 - 2006-12-02,12
2006-12-03 - 2006-12-09,10
2006-12-10 - 2006-12-16,12
2006-12-17 - 2006-12-23,9
2006-12-24 - 2006-12-30,12
2006-12-31 - 2007-01-06,9
2007-01-07 - 2007-01-13,9
2007-01-14 - 2007-01-20,10
2007-01-21 - 2007-01-27,7
2007-01-28 - 2007-02-03,17
2007-02-04 - 2007-02-10,9
2007-02-11 - 2007-02-17,8
2007-02-18 - 2007-02-24,8
2007-02-25 - 2007-03-03,7
2007-03-04 - 2007-03-10,8
2007-03-11 - 2007-03-17,7
2007-03-18 - 2007-03-24,5
2007-03-25 - 2007-03-31,4
2007-04-01 - 2007-04-07,8
2007-04-08 - 2007-04-14,7
2007-04-15 - 2007-04-21,11
2007-04-22 - 2007-04-28,65
2007-04-29 - 2007-05-05,32
2007-05-06 - 2007-05-12,20
2007-05-13 - 2007-05-19,24
2007-05-20 - 2007-05-26,31
2007-05-27 - 2007-06-02,20
2007-06-03 - 2007-06-09,27
2007-06-10 - 2007-06-16,18
2007-06-17 - 2007-06-23,16
2007-06-24 - 2007-06-30,15
2007-07-01 - 2007-07-07,11
2007-07-08 - 2007-07-14,16
2007-07-15 - 2007-07-21,18
2007-07-22 - 2007-07-28,72
2007-07-29 - 2007-08-04,25
2007-08-05 - 2007-08-11,23
2007-08-12 - 2007-08-18,16
2007-08-19 - 2007-08-25,13
2007-08-26 - 2007-09-01,12
2007-09-02 - 2007-09-08,16
2007-09-09 - 2007-09-15,15
2007-09-16 - 2007-09-22,16
2007-09-23 - 2007-09-29,22
2007-09-30 - 2007-10-06,16
2007-10-07 - 2007-10-13,21
2007-10-14 - 2007-10-20,19
2007-10-21 - 2007-10-27,67
2007-10-28 - 2007-11-03,24
2007-11-04 - 2007-11-10,19
2007-11-11 - 2007-11-17,19
2007-11-18 - 2007-11-24,21
2007-11-25 - 2007-12-01,23
2007-12-02 - 2007-12-08,18
2007-12-09 - 2007-12-15,20
2007-12-16 - 2007-12-22,16
2007-12-23 - 2007-12-29,18
2007-12-30 - 2008-01-05,21
2008-01-06 - 2008-01-12,19
2008-01-13 - 2008-01-19,15
2008-01-20 - 2008-01-26,18
2008-01-27 - 2008-02-02,37
2008-02-03 - 2008-02-09,17
2008-02-10 - 2008-02-16,17
2008-02-17 - 2008-02-23,13
2008-02-24 - 2008-03-01,14
2008-03-02 - 2008-03-08,14
2008-03-09 - 2008-03-15,12
2008-03-16 - 2008-03-22,14
2008-03-23 - 2008-03-29,11
2008-03-30 - 2008-04-05,14
2008-04-06 - 2008-04-12,11
2008-04-13 - 2008-04-19,13
2008-04-20 - 2008-04-26,30
2008-04-27 - 2008-05-03,15
2008-05-04 - 2008-05-10,13
2008-05-11 - 2008-05-17,11
2008-05-18 - 2008-05-24,18
2008-05-25 - 2008-05-31,12
2008-06-01 - 2008-06-07,14
2008-06-08 - 2008-06-14,13
2008-06-15 - 2008-06-21,11
2008-06-22 - 2008-06-28,11
2008-06-29 - 2008-07-05,9
2008-07-06 - 2008-07-12,11
2008-07-13 - 2008-07-19,13
2008-07-20 - 2008-07-26,30
2008-07-27 - 2008-08-02,13
2008-08-03 - 2008-08-09,11
2008-08-10 - 2008-08-16,17
2008-08-17 - 2008-08-23,11
2008-08-24 - 2008-08-30,9
2008-08-31 - 2008-09-06,7
2008-09-07 - 2008-09-13,10
2008-09-14 - 2008-09-20,15
2008-09-21 - 2008-09-27,11
2008-09-28 - 2008-10-04,15
2008-10-05 - 2008-10-11,19
2008-10-12 - 2008-10-18,20
2008-10-19 - 2008-10-25,30
2008-10-26 - 2008-11-01,17
2008-11-02 - 2008-11-08,14
2008-11-09 - 2008-11-15,13
2008-11-16 - 2008-11-22,15
2008-11-23 - 2008-11-29,13
2008-11-30 - 2008-12-06,14
2008-12-07 - 2008-12-13,14
2008-12-14 - 2008-12-20,9
2008-12-21 - 2008-12-27,15
2008-12-28 - 2009-01-03,13
2009-01-04 - 2009-01-10,13
2009-01-11 - 2009-01-17,12
2009-01-18 - 2009-01-24,11
2009-01-25 - 2009-01-31,28
2009-02-01 - 2009-02-07,20
2009-02-08 - 2009-02-14,18
2009-02-15 - 2009-02-21,12
2009-02-22 - 2009-02-28,13
2009-03-01 - 2009-03-07,15
2009-03-08 - 2009-03-14,11
2009-03-15 - 2009-03-21,11
2009-03-22 - 2009-03-28,12
2009-03-29 - 2009-04-04,12
2009-04-05 - 2009-04-11,11
2009-04-12 - 2009-04-18,13
2009-04-19 - 2009-04-25,26
2009-04-26 - 2009-05-02,16
2009-05-03 - 2009-05-09,18
2009-05-10 - 2009-05-16,12
2009-05-17 - 2009-05-23,13
2009-05-24 - 2009-05-30,12
2009-05-31 - 2009-06-06,13
2009-06-07 - 2009-06-13,10
2009-06-14 - 2009-06-20,8
2009-06-21 - 2009-06-27,9
2009-06-28 - 2009-07-04,7
2009-07-05 - 2009-07-11,7
2009-07-12 - 2009-07-18,9
2009-07-19 - 2009-07-25,24
2009-07-26 - 2009-08-01,13
2009-08-02 - 2009-08-08,12
2009-08-09 - 2009-08-15,9
2009-08-16 - 2009-08-22,9
2009-08-23 - 2009-08-29,8
2009-08-30 - 2009-09-05,8
2009-09-06 - 2009-09-12,7
2009-09-13 - 2009-09-19,11
2009-09-20 - 2009-09-26,8
2009-09-27 - 2009-10-03,8
2009-10-04 - 2009-10-10,9
2009-10-11 - 2009-10-17,12
2009-10-18 - 2009-10-24,36
2009-10-25 - 2009-10-31,29
2009-11-01 - 2009-11-07,15
2009-11-08 - 2009-11-14,15
2009-11-15 - 2009-11-21,17
2009-11-22 - 2009-11-28,14
2009-11-29 - 2009-12-05,21
2009-12-06 - 2009-12-12,15
2009-12-13 - 2009-12-19,14
2009-12-20 - 2009-12-26,16
2009-12-27 - 2010-01-02,17
2010-01-03 - 2010-01-09,15
2010-01-10 - 2010-01-16,14
2010-01-17 - 2010-01-23,14
2010-01-24 - 2010-01-30,32
2010-01-31 - 2010-02-06,20
2010-02-07 - 2010-02-13,10
2010-02-14 - 2010-02-20,9
2010-02-21 - 2010-02-27,8
2010-02-28 - 2010-03-06,12
2010-03-07 - 2010-03-13,10
2010-03-14 - 2010-03-20,9
2010-03-21 - 2010-03-27,11
2010-03-28 - 2010-04-03,10
2010-04-04 - 2010-04-10,13
2010-04-11 - 2010-04-17,11
2010-04-18 - 2010-04-24,23
2010-04-25 - 2010-05-01,15
2010-05-02 - 2010-05-08,13
2010-05-09 - 2010-05-15,12
2010-05-16 - 2010-05-22,11
2010-05-23 - 2010-05-29,10
2010-05-30 - 2010-06-05,8
2010-06-06 - 2010-06-12,7
2010-06-13 - 2010-06-19,6
2010-06-20 - 2010-06-26,7
2010-06-27 - 2010-07-03,11
2010-07-04 - 2010-07-10,8
2010-07-11 - 2010-07-17,9
2010-07-18 - 2010-07-24,27
2010-07-25 - 2010-07-31,13
2010-08-01 - 2010-08-07,12
2010-08-08 - 2010-08-14,10
2010-08-15 - 2010-08-21,9
2010-08-22 - 2010-08-28,8
2010-08-29 - 2010-09-04,10
2010-09-05 - 2010-09-11,8
2010-09-12 - 2010-09-18,10
2010-09-19 - 2010-09-25,14
2010-09-26 - 2010-10-02,12
2010-10-03 - 2010-10-09,11
2010-10-10 - 2010-10-16,11
2010-10-17 - 2010-10-23,23
2010-10-24 - 2010-10-30,14
2010-10-31 - 2010-11-06,11
2010-11-07 - 2010-11-13,13
2010-11-14 - 2010-11-20,13
2010-11-21 - 2010-11-27,11
2010-11-28 - 2010-12-04,16
2010-12-05 - 2010-12-11,11
2010-12-12 - 2010-12-18,11
2010-12-19 - 2010-12-25,12
2010-12-26 - 2011-01-01,11
2011-01-02 - 2011-01-08,12
2011-01-09 - 2011-01-15,10
2011-01-16 - 2011-01-22,13
2011-01-23 - 2011-01-29,29
2011-01-30 - 2011-02-05,15
2011-02-06 - 2011-02-12,12
2011-02-13 - 2011-02-19,12
2011-02-20 - 2011-02-26,12
2011-02-27 - 2011-03-05,12
2011-03-06 - 2011-03-12,11
2011-03-13 - 2011-03-19,10
2011-03-20 - 2011-03-26,9
2011-03-27 - 2011-04-02,13
2011-04-03 - 2011-04-09,11
2011-04-10 - 2011-04-16,10
2011-04-17 - 2011-04-23,12
2011-04-24 - 2011-04-30,28
2011-05-01 - 2011-05-07,17
2011-05-08 - 2011-05-14,14
2011-05-15 - 2011-05-21,15
2011-05-22 - 2011-05-28,12
2011-05-29 - 2011-06-04,10
2011-06-05 - 2011-06-11,9
2011-06-12 - 2011-06-18,8
2011-06-19 - 2011-06-25,9
2011-06-26 - 2011-07-02,12
2011-07-03 - 2011-07-09,12
2011-07-10 - 2011-07-16,13
2011-07-17 - 2011-07-23,14
2011-07-24 - 2011-07-30,28
2011-07-31 - 2011-08-06,18
2011-08-07 - 2011-08-13,20
2011-08-14 - 2011-08-20,15
2011-08-21 - 2011-08-27,14
2011-08-28 - 2011-09-03,15
2011-09-04 - 2011-09-10,12
2011-09-11 - 2011-09-17,15
2011-09-18 - 2011-09-24,19
2011-09-25 - 2011-10-01,36
2011-10-02 - 2011-10-08,21
2011-10-09 - 2011-10-15,17
2011-10-16 - 2011-10-22,18
2011-10-23 - 2011-10-29,59
2011-10-30 - 2011-11-05,22
2011-11-06 - 2011-11-12,18
2011-11-13 - 2011-11-19,21
2011-11-20 - 2011-11-26,20
2011-11-27 - 2011-12-03,24
2011-12-04 - 2011-12-10,17
2011-12-11 - 2011-12-17,20
2011-12-18 - 2011-12-24,17
2011-12-25 - 2011-12-31,16
2012-01-01 - 2012-01-07,17
2012-01-08 - 2012-01-14,16
2012-01-15 - 2012-01-21,17
2012-01-22 - 2012-01-28,20
2012-01-29 - 2012-02-04,48
2012-02-05 - 2012-02-11,19
2012-02-12 - 2012-02-18,21
2012-02-19 - 2012-02-25,15
2012-02-26 - 2012-03-03,15
2012-03-04 - 2012-03-10,15
2012-03-11 - 2012-03-17,13
2012-03-18 - 2012-03-24,17
2012-03-25 - 2012-03-31,19
2012-04-01 - 2012-04-07,17
2012-04-08 - 2012-04-14,15
2012-04-15 - 2012-04-21,13
2012-04-22 - 2012-04-28,41
2012-04-29 - 2012-05-05,28
2012-05-06 - 2012-05-12,17
2012-05-13 - 2012-05-19,17
2012-05-20 - 2012-05-26,15
2012-05-27 - 2012-06-02,12
2012-06-03 - 2012-06-09,11
2012-06-10 - 2012-06-16,9
2012-06-17 - 2012-06-23,10
2012-06-24 - 2012-06-30,12
2012-07-01 - 2012-07-07,10
2012-07-08 - 2012-07-14,11
2012-07-15 - 2012-07-21,13
2012-07-22 - 2012-07-28,27
2012-07-29 - 2012-08-04,15
2012-08-05 - 2012-08-11,12
2012-08-12 - 2012-08-18,14
2012-08-19 - 2012-08-25,14
2012-08-26 - 2012-09-01,13
2012-09-02 - 2012-09-08,24
2012-09-09 - 2012-09-15,19
2012-09-16 - 2012-09-22,16
2012-09-23 - 2012-09-29,14
2012-09-30 - 2012-10-06,12
2012-10-07 - 2012-10-13,12
2012-10-14 - 2012-10-20,13
2012-10-21 - 2012-10-27,33
2012-10-28 - 2012-11-03,13
2012-11-04 - 2012-11-10,12
2012-11-11 - 2012-11-17,11
2012-11-18 - 2012-11-24,12
2012-11-25 - 2012-12-01,18
2012-12-02 - 2012-12-08,14
2012-12-09 - 2012-12-15,12
2012-12-16 - 2012-12-22,13
2012-12-23 - 2012-12-29,14
2012-12-30 - 2013-01-05,14
2013-01-06 - 2013-01-12,18
2013-01-13 - 2013-01-19,15
2013-01-20 - 2013-01-26,17
2013-01-27 - 2013-02-02,51
2013-02-03 - 2013-02-09,19
2013-02-10 - 2013-02-16,16
2013-02-17 - 2013-02-23,13
2013-02-24 - 2013-03-02,12
2013-03-03 - 2013-03-09,15
2013-03-10 - 2013-03-16,14
2013-03-17 - 2013-03-23,13
2013-03-24 - 2013-03-30,12
2013-03-31 - 2013-04-06,12
2013-04-07 - 2013-04-13,14
2013-04-14 - 2013-04-20,13
2013-04-21 - 2013-04-27,32
2013-04-28 - 2013-05-04,24
2013-05-05 - 2013-05-11,16
2013-05-12 - 2013-05-18,15
2013-05-19 - 2013-05-25,14
2013-05-26 - 2013-06-01,12
2013-06-02 - 2013-06-08,13
2013-06-09 - 2013-06-15,12
2013-06-16 - 2013-06-22,13
2013-06-23 - 2013-06-29,11
2013-06-30 - 2013-07-06,11
2013-07-07 - 2013-07-13,19
2013-07-14 - 2013-07-20,17
2013-07-21 - 2013-07-27,32
2013-07-28 - 2013-08-03,20
2013-08-04 - 2013-08-10,18
2013-08-11 - 2013-08-17,15
2013-08-18 - 2013-08-24,16
2013-08-25 - 2013-08-31,13
2013-09-01 - 2013-09-07,12
2013-09-08 - 2013-09-14,13
2013-09-15 - 2013-09-21,14
2013-09-22 - 2013-09-28,16
2013-09-29 - 2013-10-05,15
2013-10-06 - 2013-10-12,17
2013-10-13 - 2013-10-19,20
2013-10-20 - 2013-10-26,45
2013-10-27 - 2013-11-02,26
2013-11-03 - 2013-11-09,19
2013-11-10 - 2013-11-16,23
2013-11-17 - 2013-11-23,19
2013-11-24 - 2013-11-30,20
2013-12-01 - 2013-12-07,35
2013-12-08 - 2013-12-14,20
2013-12-15 - 2013-12-21,23
2013-12-22 - 2013-12-28,22
2013-12-29 - 2014-01-04,19
2014-01-05 - 2014-01-11,21
2014-01-12 - 2014-01-18,21
2014-01-19 - 2014-01-25,23
2014-01-26 - 2014-02-01,65
2014-02-02 - 2014-02-08,42
2014-02-09 - 2014-02-15,32
2014-02-16 - 2014-02-22,23
2014-02-23 - 2014-03-01,27
2014-03-02 - 2014-03-08,23
2014-03-09 - 2014-03-15,26
2014-03-16 - 2014-03-22,19
2014-03-23 - 2014-03-29,24
2014-03-30 - 2014-04-05,30
2014-04-06 - 2014-04-12,30
2014-04-13 - 2014-04-19,25
2014-04-20 - 2014-04-26,54
2014-04-27 - 2014-05-03,44
2014-05-04 - 2014-05-10,33
2014-05-11 - 2014-05-17,30
2014-05-18 - 2014-05-24,27
2014-05-25 - 2014-05-31,21
2014-06-01 - 2014-06-07,30
2014-06-08 - 2014-06-14,28
2014-06-15 - 2014-06-21,43
2014-06-22 - 2014-06-28,22
2014-06-29 - 2014-07-05,21
2014-07-06 - 2014-07-12,23
2014-07-13 - 2014-07-19,27
2014-07-20 - 2014-07-26,63
2014-07-27 - 2014-08-02,39
2014-08-03 - 2014-08-09,27
2014-08-10 - 2014-08-16,24
2014-08-17 - 2014-08-23,20
2014-08-24 - 2014-08-30,26
2014-08-31 - 2014-09-06,18
2014-09-07 - 2014-09-13,20
2014-09-14 - 2014-09-20,21
2014-09-21 - 2014-09-27,17
2014-09-28 - 2014-10-04,17
2014-10-05 - 2014-10-11,16
2014-10-12 - 2014-10-18,21
2014-10-19 - 2014-10-25,58
2014-10-26 - 2014-11-01,32
2014-11-02 - 2014-11-08,26
2014-11-09 - 2014-11-15,26
2014-11-16 - 2014-11-22,24
2014-11-23 - 2014-11-29,19
2014-11-30 - 2014-12-06,25
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,22
2014-12-21 - 2014-12-27,18
2014-12-28 - 2015-01-03,17
2015-01-04 - 2015-01-10,19
2015-01-11 - 2015-01-17,19
2015-01-18 - 2015-01-24,21
2015-01-25 - 2015-01-31,54
2015-02-01 - 2015-02-07,36
2015-02-08 - 2015-02-14,25
2015-02-15 - 2015-02-21,22
2015-02-22 - 2015-02-28,21
2015-03-01 - 2015-03-07,19
2015-03-08 - 2015-03-14,17
2015-03-15 - 2015-03-21,15
2015-03-22 - 2015-03-28,14
2015-03-29 - 2015-04-04,14
2015-04-05 - 2015-04-11,13
2015-04-12 - 2015-04-18,17
2015-04-19 - 2015-04-25,62
2015-04-26 - 2015-05-02,36
2015-05-03 - 2015-05-09,20
2015-05-10 - 2015-05-16,20
2015-05-17 - 2015-05-23,20
2015-05-24 - 2015-05-30,14
2015-05-31 - 2015-06-06,15
2015-06-07 - 2015-06-13,14
2015-06-14 - 2015-06-20,14
2015-06-21 - 2015-06-27,15
2015-06-28 - 2015-07-04,15
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,35
2015-07-19 - 2015-07-25,99
2015-07-26 - 2015-08-01,39
2015-08-02 - 2015-08-08,24
2015-08-09 - 2015-08-15,23
2015-08-16 - 2015-08-22,30
2015-08-23 - 2015-08-29,45
2015-08-30 - 2015-09-05,25
2015-09-06 - 2015-09-12,19
2015-09-13 - 2015-09-19,20
2015-09-20 - 2015-09-26,21
2015-09-27 - 2015-10-03,23
2015-10-04 - 2015-10-10,22
2015-10-11 - 2015-10-17,26
2015-10-18 - 2015-10-24,66
2015-10-25 - 2015-10-31,37
2015-11-01 - 2015-11-07,37
2015-11-08 - 2015-11-14,35
2015-11-15 - 2015-11-21,36
2015-11-22 - 2015-11-28,28
2015-11-29 - 2015-12-05,37
2015-12-06 - 2015-12-12,30
2015-12-13 - 2015-12-19,33
2015-12-20 - 2015-12-26,25
2015-12-27 - 2016-01-02,36
2016-01-03 - 2016-01-09,49
2016-01-10 - 2016-01-16,45
2016-01-17 - 2016-01-23,40
2016-01-24 - 2016-01-30,100
2016-01-31 - 2016-02-06,55
2016-02-07 - 2016-02-13,51
2016-02-14 - 2016-02-20,34
2016-02-21 - 2016-02-27,33
2016-02-28 - 2016-03-05,32
2016-03-06 - 2016-03-12,29
2016-03-13 - 2016-03-19,28
2016-03-20 - 2016-03-26,26
2016-03-27 - 2016-04-02,29
2016-04-03 - 2016-04-09,28
2016-04-10 - 2016-04-16,31
2016-04-17 - 2016-04-23,37
2016-04-24 - 2016-04-30,34


Top regions for amzn
Region,amzn
United States,100
Ireland,85
Canada,23
India,10
United Kingdom,9
Germany,6
Japan,6
France,5


Top cities for amzn
City,amzn
Bellevue (United States),100
Seattle (United States),97
Redmond (United States),89
Mountain View (United States),78
Sunnyvale (United States),50
Herndon (United States),38
Leesburg (United States),30
San Jose (United States),21
San Francisco (United States),15
New York (United States),12
Irvine (United States),9
San Diego (United States),9
Dublin (Ireland),8
Washington (United States),8
Boston (United States),8



Top searches for amzn
amzn stock,100
aapl,70
nflx,25
amzn price,20
msft,20
aapl stock,15
tsla,15
amzn stock price,15
amzn yahoo,10
goog stock,10
quote amzn,10
amzn earnings,10
fb stock,10
nflx stock,5
twtr,5
amzn news,5
amzn stocks,5
tsla stock,5
msft stock,5
yahoo finance amzn,5
amzn share,5
pcln,5
lnkd,5
amzn google finance,5
amzn nasdaq,5
amzn stock quote,5
amzn after hours,5
amzn share price,5
twtr stock,5



Rising searches for amzn
tsla,Breakout
aapl,+650%
nflx,+400%
aapl stock,+300%
amzn stock,+300%
goog stock,+170%
amzn stock price,+140%
amzn earnings,+130%
amzn price,+100%
amzn yahoo,+70%



