Web Search interest: cah
Worldwide 2004 - present

Interest over time
Week,cah
2005-04-24 - 2005-04-30,35
2005-05-01 - 2005-05-07,36
2005-05-08 - 2005-05-14,29
2005-05-15 - 2005-05-21,38
2005-05-22 - 2005-05-28,32
2005-05-29 - 2005-06-04,26
2005-06-05 - 2005-06-11,30
2005-06-12 - 2005-06-18,32
2005-06-19 - 2005-06-25,30
2005-06-26 - 2005-07-02,32
2005-07-03 - 2005-07-09,28
2005-07-10 - 2005-07-16,36
2005-07-17 - 2005-07-23,36
2005-07-24 - 2005-07-30,26
2005-07-31 - 2005-08-06,38
2005-08-07 - 2005-08-13,33
2005-08-14 - 2005-08-20,34
2005-08-21 - 2005-08-27,30
2005-08-28 - 2005-09-03,34
2005-09-04 - 2005-09-10,26
2005-09-11 - 2005-09-17,35
2005-09-18 - 2005-09-24,28
2005-09-25 - 2005-10-01,32
2005-10-02 - 2005-10-08,36
2005-10-09 - 2005-10-15,40
2005-10-16 - 2005-10-22,27
2005-10-23 - 2005-10-29,35
2005-10-30 - 2005-11-05,39
2005-11-06 - 2005-11-12,31
2005-11-13 - 2005-11-19,34
2005-11-20 - 2005-11-26,32
2005-11-27 - 2005-12-03,34
2005-12-04 - 2005-12-10,36
2005-12-11 - 2005-12-17,34
2005-12-18 - 2005-12-24,31
2005-12-25 - 2005-12-31,30
2006-01-01 - 2006-01-07,40
2006-01-08 - 2006-01-14,32
2006-01-15 - 2006-01-21,32
2006-01-22 - 2006-01-28,36
2006-01-29 - 2006-02-04,34
2006-02-05 - 2006-02-11,30
2006-02-12 - 2006-02-18,33
2006-02-19 - 2006-02-25,35
2006-02-26 - 2006-03-04,37
2006-03-05 - 2006-03-11,39
2006-03-12 - 2006-03-18,38
2006-03-19 - 2006-03-25,38
2006-03-26 - 2006-04-01,38
2006-04-02 - 2006-04-08,40
2006-04-09 - 2006-04-15,35
2006-04-16 - 2006-04-22,36
2006-04-23 - 2006-04-29,34
2006-04-30 - 2006-05-06,36
2006-05-07 - 2006-05-13,35
2006-05-14 - 2006-05-20,34
2006-05-21 - 2006-05-27,35
2006-05-28 - 2006-06-03,37
2006-06-04 - 2006-06-10,41
2006-06-11 - 2006-06-17,33
2006-06-18 - 2006-06-24,37
2006-06-25 - 2006-07-01,36
2006-07-02 - 2006-07-08,30
2006-07-09 - 2006-07-15,32
2006-07-16 - 2006-07-22,31
2006-07-23 - 2006-07-29,36
2006-07-30 - 2006-08-05,39
2006-08-06 - 2006-08-12,27
2006-08-13 - 2006-08-19,35
2006-08-20 - 2006-08-26,34
2006-08-27 - 2006-09-02,33
2006-09-03 - 2006-09-09,31
2006-09-10 - 2006-09-16,36
2006-09-17 - 2006-09-23,35
2006-09-24 - 2006-09-30,32
2006-10-01 - 2006-10-07,38
2006-10-08 - 2006-10-14,32
2006-10-15 - 2006-10-21,32
2006-10-22 - 2006-10-28,32
2006-10-29 - 2006-11-04,32
2006-11-05 - 2006-11-11,35
2006-11-12 - 2006-11-18,31
2006-11-19 - 2006-11-25,35
2006-11-26 - 2006-12-02,37
2006-12-03 - 2006-12-09,36
2006-12-10 - 2006-12-16,35
2006-12-17 - 2006-12-23,40
2006-12-24 - 2006-12-30,26
2006-12-31 - 2007-01-06,32
2007-01-07 - 2007-01-13,31
2007-01-14 - 2007-01-20,39
2007-01-21 - 2007-01-27,33
2007-01-28 - 2007-02-03,37
2007-02-04 - 2007-02-10,34
2007-02-11 - 2007-02-17,56
2007-02-18 - 2007-02-24,37
2007-02-25 - 2007-03-03,44
2007-03-04 - 2007-03-10,32
2007-03-11 - 2007-03-17,35
2007-03-18 - 2007-03-24,32
2007-03-25 - 2007-03-31,36
2007-04-01 - 2007-04-07,51
2007-04-08 - 2007-04-14,36
2007-04-15 - 2007-04-21,41
2007-04-22 - 2007-04-28,39
2007-04-29 - 2007-05-05,40
2007-05-06 - 2007-05-12,43
2007-05-13 - 2007-05-19,40
2007-05-20 - 2007-05-26,39
2007-05-27 - 2007-06-02,35
2007-06-03 - 2007-06-09,38
2007-06-10 - 2007-06-16,40
2007-06-17 - 2007-06-23,35
2007-06-24 - 2007-06-30,29
2007-07-01 - 2007-07-07,28
2007-07-08 - 2007-07-14,33
2007-07-15 - 2007-07-21,38
2007-07-22 - 2007-07-28,34
2007-07-29 - 2007-08-04,35
2007-08-05 - 2007-08-11,37
2007-08-12 - 2007-08-18,32
2007-08-19 - 2007-08-25,34
2007-08-26 - 2007-09-01,37
2007-09-02 - 2007-09-08,36
2007-09-09 - 2007-09-15,36
2007-09-16 - 2007-09-22,37
2007-09-23 - 2007-09-29,39
2007-09-30 - 2007-10-06,37
2007-10-07 - 2007-10-13,36
2007-10-14 - 2007-10-20,40
2007-10-21 - 2007-10-27,36
2007-10-28 - 2007-11-03,42
2007-11-04 - 2007-11-10,44
2007-11-11 - 2007-11-17,38
2007-11-18 - 2007-11-24,37
2007-11-25 - 2007-12-01,42
2007-12-02 - 2007-12-08,36
2007-12-09 - 2007-12-15,39
2007-12-16 - 2007-12-22,39
2007-12-23 - 2007-12-29,32
2007-12-30 - 2008-01-05,38
2008-01-06 - 2008-01-12,43
2008-01-13 - 2008-01-19,41
2008-01-20 - 2008-01-26,41
2008-01-27 - 2008-02-02,41
2008-02-03 - 2008-02-09,38
2008-02-10 - 2008-02-16,37
2008-02-17 - 2008-02-23,38
2008-02-24 - 2008-03-01,39
2008-03-02 - 2008-03-08,38
2008-03-09 - 2008-03-15,37
2008-03-16 - 2008-03-22,37
2008-03-23 - 2008-03-29,36
2008-03-30 - 2008-04-05,45
2008-04-06 - 2008-04-12,41
2008-04-13 - 2008-04-19,41
2008-04-20 - 2008-04-26,45
2008-04-27 - 2008-05-03,41
2008-05-04 - 2008-05-10,41
2008-05-11 - 2008-05-17,41
2008-05-18 - 2008-05-24,43
2008-05-25 - 2008-05-31,43
2008-06-01 - 2008-06-07,42
2008-06-08 - 2008-06-14,45
2008-06-15 - 2008-06-21,43
2008-06-22 - 2008-06-28,40
2008-06-29 - 2008-07-05,38
2008-07-06 - 2008-07-12,38
2008-07-13 - 2008-07-19,42
2008-07-20 - 2008-07-26,41
2008-07-27 - 2008-08-02,40
2008-08-03 - 2008-08-09,40
2008-08-10 - 2008-08-16,39
2008-08-17 - 2008-08-23,47
2008-08-24 - 2008-08-30,44
2008-08-31 - 2008-09-06,45
2008-09-07 - 2008-09-13,44
2008-09-14 - 2008-09-20,47
2008-09-21 - 2008-09-27,43
2008-09-28 - 2008-10-04,43
2008-10-05 - 2008-10-11,52
2008-10-12 - 2008-10-18,50
2008-10-19 - 2008-10-25,46
2008-10-26 - 2008-11-01,44
2008-11-02 - 2008-11-08,45
2008-11-09 - 2008-11-15,46
2008-11-16 - 2008-11-22,46
2008-11-23 - 2008-11-29,42
2008-11-30 - 2008-12-06,46
2008-12-07 - 2008-12-13,47
2008-12-14 - 2008-12-20,41
2008-12-21 - 2008-12-27,37
2008-12-28 - 2009-01-03,37
2009-01-04 - 2009-01-10,45
2009-01-11 - 2009-01-17,40
2009-01-18 - 2009-01-24,43
2009-01-25 - 2009-01-31,41
2009-02-01 - 2009-02-07,48
2009-02-08 - 2009-02-14,47
2009-02-15 - 2009-02-21,46
2009-02-22 - 2009-02-28,47
2009-03-01 - 2009-03-07,46
2009-03-08 - 2009-03-14,49
2009-03-15 - 2009-03-21,49
2009-03-22 - 2009-03-28,46
2009-03-29 - 2009-04-04,45
2009-04-05 - 2009-04-11,46
2009-04-12 - 2009-04-18,44
2009-04-19 - 2009-04-25,52
2009-04-26 - 2009-05-02,48
2009-05-03 - 2009-05-09,49
2009-05-10 - 2009-05-16,47
2009-05-17 - 2009-05-23,48
2009-05-24 - 2009-05-30,50
2009-05-31 - 2009-06-06,54
2009-06-07 - 2009-06-13,47
2009-06-14 - 2009-06-20,48
2009-06-21 - 2009-06-27,43
2009-06-28 - 2009-07-04,43
2009-07-05 - 2009-07-11,45
2009-07-12 - 2009-07-18,51
2009-07-19 - 2009-07-25,47
2009-07-26 - 2009-08-01,54
2009-08-02 - 2009-08-08,56
2009-08-09 - 2009-08-15,51
2009-08-16 - 2009-08-22,54
2009-08-23 - 2009-08-29,50
2009-08-30 - 2009-09-05,50
2009-09-06 - 2009-09-12,55
2009-09-13 - 2009-09-19,47
2009-09-20 - 2009-09-26,50
2009-09-27 - 2009-10-03,46
2009-10-04 - 2009-10-10,51
2009-10-11 - 2009-10-17,51
2009-10-18 - 2009-10-24,51
2009-10-25 - 2009-10-31,54
2009-11-01 - 2009-11-07,49
2009-11-08 - 2009-11-14,45
2009-11-15 - 2009-11-21,49
2009-11-22 - 2009-11-28,47
2009-11-29 - 2009-12-05,52
2009-12-06 - 2009-12-12,50
2009-12-13 - 2009-12-19,50
2009-12-20 - 2009-12-26,42
2009-12-27 - 2010-01-02,43
2010-01-03 - 2010-01-09,46
2010-01-10 - 2010-01-16,45
2010-01-17 - 2010-01-23,50
2010-01-24 - 2010-01-30,54
2010-01-31 - 2010-02-06,51
2010-02-07 - 2010-02-13,50
2010-02-14 - 2010-02-20,46
2010-02-21 - 2010-02-27,50
2010-02-28 - 2010-03-06,54
2010-03-07 - 2010-03-13,53
2010-03-14 - 2010-03-20,56
2010-03-21 - 2010-03-27,57
2010-03-28 - 2010-04-03,53
2010-04-04 - 2010-04-10,56
2010-04-11 - 2010-04-17,57
2010-04-18 - 2010-04-24,56
2010-04-25 - 2010-05-01,55
2010-05-02 - 2010-05-08,56
2010-05-09 - 2010-05-15,55
2010-05-16 - 2010-05-22,57
2010-05-23 - 2010-05-29,50
2010-05-30 - 2010-06-05,52
2010-06-06 - 2010-06-12,51
2010-06-13 - 2010-06-19,52
2010-06-20 - 2010-06-26,49
2010-06-27 - 2010-07-03,53
2010-07-04 - 2010-07-10,56
2010-07-11 - 2010-07-17,49
2010-07-18 - 2010-07-24,53
2010-07-25 - 2010-07-31,50
2010-08-01 - 2010-08-07,57
2010-08-08 - 2010-08-14,58
2010-08-15 - 2010-08-21,61
2010-08-22 - 2010-08-28,61
2010-08-29 - 2010-09-04,59
2010-09-05 - 2010-09-11,57
2010-09-12 - 2010-09-18,57
2010-09-19 - 2010-09-25,59
2010-09-26 - 2010-10-02,55
2010-10-03 - 2010-10-09,56
2010-10-10 - 2010-10-16,55
2010-10-17 - 2010-10-23,100
2010-10-24 - 2010-10-30,72
2010-10-31 - 2010-11-06,61
2010-11-07 - 2010-11-13,58
2010-11-14 - 2010-11-20,61
2010-11-21 - 2010-11-27,59
2010-11-28 - 2010-12-04,58
2010-12-05 - 2010-12-11,60
2010-12-12 - 2010-12-18,56
2010-12-19 - 2010-12-25,56
2010-12-26 - 2011-01-01,54
2011-01-02 - 2011-01-08,59
2011-01-09 - 2011-01-15,64
2011-01-16 - 2011-01-22,60
2011-01-23 - 2011-01-29,59
2011-01-30 - 2011-02-05,51
2011-02-06 - 2011-02-12,59
2011-02-13 - 2011-02-19,56
2011-02-20 - 2011-02-26,62
2011-02-27 - 2011-03-05,61
2011-03-06 - 2011-03-12,60
2011-03-13 - 2011-03-19,52
2011-03-20 - 2011-03-26,58
2011-03-27 - 2011-04-02,56
2011-04-03 - 2011-04-09,61
2011-04-10 - 2011-04-16,59
2011-04-17 - 2011-04-23,63
2011-04-24 - 2011-04-30,60
2011-05-01 - 2011-05-07,63
2011-05-08 - 2011-05-14,65
2011-05-15 - 2011-05-21,60
2011-05-22 - 2011-05-28,65
2011-05-29 - 2011-06-04,64
2011-06-05 - 2011-06-11,67
2011-06-12 - 2011-06-18,60
2011-06-19 - 2011-06-25,62
2011-06-26 - 2011-07-02,63
2011-07-03 - 2011-07-09,60
2011-07-10 - 2011-07-16,58
2011-07-17 - 2011-07-23,56
2011-07-24 - 2011-07-30,61
2011-07-31 - 2011-08-06,62
2011-08-07 - 2011-08-13,60
2011-08-14 - 2011-08-20,64
2011-08-21 - 2011-08-27,62
2011-08-28 - 2011-09-03,58
2011-09-04 - 2011-09-10,59
2011-09-11 - 2011-09-17,67
2011-09-18 - 2011-09-24,68
2011-09-25 - 2011-10-01,64
2011-10-02 - 2011-10-08,67
2011-10-09 - 2011-10-15,70
2011-10-16 - 2011-10-22,67
2011-10-23 - 2011-10-29,67
2011-10-30 - 2011-11-05,69
2011-11-06 - 2011-11-12,71
2011-11-13 - 2011-11-19,67
2011-11-20 - 2011-11-26,65
2011-11-27 - 2011-12-03,65
2011-12-04 - 2011-12-10,68
2011-12-11 - 2011-12-17,61
2011-12-18 - 2011-12-24,60
2011-12-25 - 2011-12-31,56
2012-01-01 - 2012-01-07,63
2012-01-08 - 2012-01-14,65
2012-01-15 - 2012-01-21,61
2012-01-22 - 2012-01-28,55
2012-01-29 - 2012-02-04,64
2012-02-05 - 2012-02-11,67
2012-02-12 - 2012-02-18,66
2012-02-19 - 2012-02-25,68
2012-02-26 - 2012-03-03,66
2012-03-04 - 2012-03-10,67
2012-03-11 - 2012-03-17,63
2012-03-18 - 2012-03-24,63
2012-03-25 - 2012-03-31,63
2012-04-01 - 2012-04-07,64
2012-04-08 - 2012-04-14,62
2012-04-15 - 2012-04-21,67
2012-04-22 - 2012-04-28,68
2012-04-29 - 2012-05-05,63
2012-05-06 - 2012-05-12,65
2012-05-13 - 2012-05-19,67
2012-05-20 - 2012-05-26,63
2012-05-27 - 2012-06-02,62
2012-06-03 - 2012-06-09,68
2012-06-10 - 2012-06-16,62
2012-06-17 - 2012-06-23,63
2012-06-24 - 2012-06-30,60
2012-07-01 - 2012-07-07,59
2012-07-08 - 2012-07-14,61
2012-07-15 - 2012-07-21,63
2012-07-22 - 2012-07-28,66
2012-07-29 - 2012-08-04,66
2012-08-05 - 2012-08-11,66
2012-08-12 - 2012-08-18,67
2012-08-19 - 2012-08-25,60
2012-08-26 - 2012-09-01,63
2012-09-02 - 2012-09-08,65
2012-09-09 - 2012-09-15,72
2012-09-16 - 2012-09-22,67
2012-09-23 - 2012-09-29,67
2012-09-30 - 2012-10-06,66
2012-10-07 - 2012-10-13,64
2012-10-14 - 2012-10-20,60
2012-10-21 - 2012-10-27,62
2012-10-28 - 2012-11-03,62
2012-11-04 - 2012-11-10,60
2012-11-11 - 2012-11-17,62
2012-11-18 - 2012-11-24,62
2012-11-25 - 2012-12-01,63
2012-12-02 - 2012-12-08,62
2012-12-09 - 2012-12-15,64
2012-12-16 - 2012-12-22,59
2012-12-23 - 2012-12-29,54
2012-12-30 - 2013-01-05,56
2013-01-06 - 2013-01-12,59
2013-01-13 - 2013-01-19,62
2013-01-20 - 2013-01-26,64
2013-01-27 - 2013-02-02,64
2013-02-03 - 2013-02-09,60
2013-02-10 - 2013-02-16,55
2013-02-17 - 2013-02-23,59
2013-02-24 - 2013-03-02,61
2013-03-03 - 2013-03-09,60
2013-03-10 - 2013-03-16,63
2013-03-17 - 2013-03-23,67
2013-03-24 - 2013-03-30,67
2013-03-31 - 2013-04-06,64
2013-04-07 - 2013-04-13,69
2013-04-14 - 2013-04-20,68
2013-04-21 - 2013-04-27,67
2013-04-28 - 2013-05-04,66
2013-05-05 - 2013-05-11,68
2013-05-12 - 2013-05-18,65
2013-05-19 - 2013-05-25,65
2013-05-26 - 2013-06-01,62
2013-06-02 - 2013-06-08,66
2013-06-09 - 2013-06-15,63
2013-06-16 - 2013-06-22,66
2013-06-23 - 2013-06-29,63
2013-06-30 - 2013-07-06,60
2013-07-07 - 2013-07-13,62
2013-07-14 - 2013-07-20,60
2013-07-21 - 2013-07-27,61
2013-07-28 - 2013-08-03,59
2013-08-04 - 2013-08-10,56
2013-08-11 - 2013-08-17,58
2013-08-18 - 2013-08-24,61
2013-08-25 - 2013-08-31,60
2013-09-01 - 2013-09-07,61
2013-09-08 - 2013-09-14,64
2013-09-15 - 2013-09-21,64
2013-09-22 - 2013-09-28,63
2013-09-29 - 2013-10-05,62
2013-10-06 - 2013-10-12,62
2013-10-13 - 2013-10-19,63
2013-10-20 - 2013-10-26,58
2013-10-27 - 2013-11-02,62
2013-11-03 - 2013-11-09,63
2013-11-10 - 2013-11-16,67
2013-11-17 - 2013-11-23,62
2013-11-24 - 2013-11-30,60
2013-12-01 - 2013-12-07,64
2013-12-08 - 2013-12-14,68
2013-12-15 - 2013-12-21,61
2013-12-22 - 2013-12-28,58
2013-12-29 - 2014-01-04,58
2014-01-05 - 2014-01-11,63
2014-01-12 - 2014-01-18,65
2014-01-19 - 2014-01-25,64
2014-01-26 - 2014-02-01,60
2014-02-02 - 2014-02-08,60
2014-02-09 - 2014-02-15,65
2014-02-16 - 2014-02-22,64
2014-02-23 - 2014-03-01,62
2014-03-02 - 2014-03-08,67
2014-03-09 - 2014-03-15,65
2014-03-16 - 2014-03-22,65
2014-03-23 - 2014-03-29,67
2014-03-30 - 2014-04-05,66
2014-04-06 - 2014-04-12,67
2014-04-13 - 2014-04-19,67
2014-04-20 - 2014-04-26,69
2014-04-27 - 2014-05-03,67
2014-05-04 - 2014-05-10,72
2014-05-11 - 2014-05-17,71
2014-05-18 - 2014-05-24,70
2014-05-25 - 2014-05-31,68
2014-06-01 - 2014-06-07,70
2014-06-08 - 2014-06-14,72
2014-06-15 - 2014-06-21,69
2014-06-22 - 2014-06-28,65
2014-06-29 - 2014-07-05,75
2014-07-06 - 2014-07-12,73
2014-07-13 - 2014-07-19,71
2014-07-20 - 2014-07-26,68
2014-07-27 - 2014-08-02,64
2014-08-03 - 2014-08-09,66
2014-08-10 - 2014-08-16,69
2014-08-17 - 2014-08-23,73
2014-08-24 - 2014-08-30,71
2014-08-31 - 2014-09-06,70
2014-09-07 - 2014-09-13,72
2014-09-14 - 2014-09-20,74
2014-09-21 - 2014-09-27,69
2014-09-28 - 2014-10-04,70
2014-10-05 - 2014-10-11,69
2014-10-12 - 2014-10-18,69
2014-10-19 - 2014-10-25,72
2014-10-26 - 2014-11-01,69
2014-11-02 - 2014-11-08,71
2014-11-09 - 2014-11-15,67
2014-11-16 - 2014-11-22,71
2014-11-23 - 2014-11-29,73
2014-11-30 - 2014-12-06,79
2014-12-07 - 2014-12-13,83
2014-12-14 - 2014-12-20,74
2014-12-21 - 2014-12-27,75
2014-12-28 - 2015-01-03,66
2015-01-04 - 2015-01-10,72
2015-01-11 - 2015-01-17,73
2015-01-18 - 2015-01-24,82
2015-01-25 - 2015-01-31,78
2015-02-01 - 2015-02-07,74
2015-02-08 - 2015-02-14,72
2015-02-15 - 2015-02-21,69
2015-02-22 - 2015-02-28,71
2015-03-01 - 2015-03-07,76
2015-03-08 - 2015-03-14,76
2015-03-15 - 2015-03-21,74
2015-03-22 - 2015-03-28,70
2015-03-29 - 2015-04-04,70
2015-04-05 - 2015-04-11,73
2015-04-12 - 2015-04-18,75
2015-04-19 - 2015-04-25,68
2015-04-26 - 2015-05-02,69
2015-05-03 - 2015-05-09,70
2015-05-10 - 2015-05-16,72
2015-05-17 - 2015-05-23,84
2015-05-24 - 2015-05-30,75
2015-05-31 - 2015-06-06,75
2015-06-07 - 2015-06-13,78
2015-06-14 - 2015-06-20,75
2015-06-21 - 2015-06-27,74
2015-06-28 - 2015-07-04,68
2015-07-05 - 2015-07-11,73
2015-07-12 - 2015-07-18,65
2015-07-19 - 2015-07-25,69
2015-07-26 - 2015-08-01,70
2015-08-02 - 2015-08-08,72
2015-08-09 - 2015-08-15,68
2015-08-16 - 2015-08-22,71
2015-08-23 - 2015-08-29,71
2015-08-30 - 2015-09-05,69
2015-09-06 - 2015-09-12,71
2015-09-13 - 2015-09-19,73
2015-09-20 - 2015-09-26,71
2015-09-27 - 2015-10-03,74
2015-10-04 - 2015-10-10,71
2015-10-11 - 2015-10-17,70
2015-10-18 - 2015-10-24,69
2015-10-25 - 2015-10-31,69
2015-11-01 - 2015-11-07,71
2015-11-08 - 2015-11-14,72
2015-11-15 - 2015-11-21,68
2015-11-22 - 2015-11-28,71
2015-11-29 - 2015-12-05,75
2015-12-06 - 2015-12-12,75
2015-12-13 - 2015-12-19,74
2015-12-20 - 2015-12-26,67
2015-12-27 - 2016-01-02,67
2016-01-03 - 2016-01-09,70
2016-01-10 - 2016-01-16,76
2016-01-17 - 2016-01-23,75
2016-01-24 - 2016-01-30,74
2016-01-31 - 2016-02-06,73
2016-02-07 - 2016-02-13,65
2016-02-14 - 2016-02-20,68
2016-02-21 - 2016-02-27,68
2016-02-28 - 2016-03-05,71
2016-03-06 - 2016-03-12,72
2016-03-13 - 2016-03-19,68
2016-03-20 - 2016-03-26,69
2016-03-27 - 2016-04-02,70
2016-04-03 - 2016-04-09,70
2016-04-10 - 2016-04-16,73
2016-04-17 - 2016-04-23,74
2016-04-24 - 2016-04-30,78


Top regions for cah
Region,cah
Vietnam,100
Indonesia,52
Singapore,7
Netherlands,7
Philippines,6
New Zealand,5
United States,5
Canada,5
Australia,5
United Kingdom,5
Malaysia,5
Hong Kong,5
Argentina,4
Czech Republic,4
Pakistan,3
France,3
South Africa,3
Brazil,3
India,2
Peru,2
Switzerland,2
Sweden,2
Belgium,2
Germany,2
Turkey,2
Spain,1
Colombia,1
Mexico,1
Thailand,1
China,1
Italy,1
Poland,1


Top cities for cah
City,cah
Nha Trang (Vietnam),100
Hai Phong (Vietnam),97
Da Nang (Vietnam),96
Semarang (Indonesia),85
Hanoi (Vietnam),78
Ho Chi Minh City (Vietnam),75
Yogyakarta (Indonesia),66
Surabaya (Indonesia),55
Jakarta (Indonesia),46
Bandung (Indonesia),30
Medan (Indonesia),24
Singapore (Singapore),5
Amsterdam (Netherlands),4
Toronto (Canada),4
New York (United States),4



Top searches for cah
cah cah,100
soh,10
soh cah toa,10
resep kangkung cah,0
cha cah,0
cah ayu,0
cah online,0
cah game,0
cah chi,0
what is cah,0
cah dronten,0
cah brokoli,0
congenital adrenal hyperplasia,0
cah flow,0
johnny cah,0
cah jamur,0
resep cah brokoli,0
cah sawi,0
cah vilentum,0
cah lontong,0
cah vao facebook,0
sohcahtoa,0
cah stock,0
cah luna,0
tumis kangkung,0
cah kangkung terasi,0
cah disease,0
khoang cah,0
cah silveira,0
cah bagus,0
bumbu cah kangkung,0
ayam cah jamur,0
resep cah sawi,0
cah university,0



Rising searches for cah
resep kangkung cah,Breakout
cah ayu,+700%
cah chi,+300%
cah game,+250%
cah online,+250%
cah cah,+90%
soh cah toa,+90%
soh,+80%



