Web Search interest: oxy
Worldwide 2004 - present

Interest over time
Week,oxy
2005-01-30 - 2005-02-05,44
2005-02-06 - 2005-02-12,37
2005-02-13 - 2005-02-19,39
2005-02-20 - 2005-02-26,39
2005-02-27 - 2005-03-05,39
2005-03-06 - 2005-03-12,38
2005-03-13 - 2005-03-19,35
2005-03-20 - 2005-03-26,45
2005-03-27 - 2005-04-02,42
2005-04-03 - 2005-04-09,39
2005-04-10 - 2005-04-16,38
2005-04-17 - 2005-04-23,47
2005-04-24 - 2005-04-30,42
2005-05-01 - 2005-05-07,49
2005-05-08 - 2005-05-14,45
2005-05-15 - 2005-05-21,45
2005-05-22 - 2005-05-28,41
2005-05-29 - 2005-06-04,42
2005-06-05 - 2005-06-11,44
2005-06-12 - 2005-06-18,41
2005-06-19 - 2005-06-25,41
2005-06-26 - 2005-07-02,44
2005-07-03 - 2005-07-09,40
2005-07-10 - 2005-07-16,40
2005-07-17 - 2005-07-23,46
2005-07-24 - 2005-07-30,42
2005-07-31 - 2005-08-06,44
2005-08-07 - 2005-08-13,43
2005-08-14 - 2005-08-20,46
2005-08-21 - 2005-08-27,37
2005-08-28 - 2005-09-03,44
2005-09-04 - 2005-09-10,45
2005-09-11 - 2005-09-17,43
2005-09-18 - 2005-09-24,43
2005-09-25 - 2005-10-01,43
2005-10-02 - 2005-10-08,46
2005-10-09 - 2005-10-15,42
2005-10-16 - 2005-10-22,49
2005-10-23 - 2005-10-29,43
2005-10-30 - 2005-11-05,44
2005-11-06 - 2005-11-12,38
2005-11-13 - 2005-11-19,42
2005-11-20 - 2005-11-26,37
2005-11-27 - 2005-12-03,43
2005-12-04 - 2005-12-10,41
2005-12-11 - 2005-12-17,43
2005-12-18 - 2005-12-24,42
2005-12-25 - 2005-12-31,41
2006-01-01 - 2006-01-07,44
2006-01-08 - 2006-01-14,42
2006-01-15 - 2006-01-21,43
2006-01-22 - 2006-01-28,47
2006-01-29 - 2006-02-04,48
2006-02-05 - 2006-02-11,45
2006-02-12 - 2006-02-18,45
2006-02-19 - 2006-02-25,45
2006-02-26 - 2006-03-04,46
2006-03-05 - 2006-03-11,40
2006-03-12 - 2006-03-18,45
2006-03-19 - 2006-03-25,48
2006-03-26 - 2006-04-01,46
2006-04-02 - 2006-04-08,47
2006-04-09 - 2006-04-15,52
2006-04-16 - 2006-04-22,60
2006-04-23 - 2006-04-29,53
2006-04-30 - 2006-05-06,55
2006-05-07 - 2006-05-13,51
2006-05-14 - 2006-05-20,60
2006-05-21 - 2006-05-27,62
2006-05-28 - 2006-06-03,57
2006-06-04 - 2006-06-10,51
2006-06-11 - 2006-06-17,43
2006-06-18 - 2006-06-24,44
2006-06-25 - 2006-07-01,43
2006-07-02 - 2006-07-08,44
2006-07-09 - 2006-07-15,49
2006-07-16 - 2006-07-22,47
2006-07-23 - 2006-07-29,46
2006-07-30 - 2006-08-05,48
2006-08-06 - 2006-08-12,46
2006-08-13 - 2006-08-19,52
2006-08-20 - 2006-08-26,44
2006-08-27 - 2006-09-02,50
2006-09-03 - 2006-09-09,45
2006-09-10 - 2006-09-16,44
2006-09-17 - 2006-09-23,44
2006-09-24 - 2006-09-30,48
2006-10-01 - 2006-10-07,50
2006-10-08 - 2006-10-14,49
2006-10-15 - 2006-10-21,44
2006-10-22 - 2006-10-28,40
2006-10-29 - 2006-11-04,43
2006-11-05 - 2006-11-11,44
2006-11-12 - 2006-11-18,45
2006-11-19 - 2006-11-25,40
2006-11-26 - 2006-12-02,40
2006-12-03 - 2006-12-09,40
2006-12-10 - 2006-12-16,36
2006-12-17 - 2006-12-23,39
2006-12-24 - 2006-12-30,35
2006-12-31 - 2007-01-06,43
2007-01-07 - 2007-01-13,39
2007-01-14 - 2007-01-20,44
2007-01-21 - 2007-01-27,39
2007-01-28 - 2007-02-03,41
2007-02-04 - 2007-02-10,45
2007-02-11 - 2007-02-17,41
2007-02-18 - 2007-02-24,40
2007-02-25 - 2007-03-03,41
2007-03-04 - 2007-03-10,41
2007-03-11 - 2007-03-17,43
2007-03-18 - 2007-03-24,38
2007-03-25 - 2007-03-31,42
2007-04-01 - 2007-04-07,39
2007-04-08 - 2007-04-14,41
2007-04-15 - 2007-04-21,45
2007-04-22 - 2007-04-28,42
2007-04-29 - 2007-05-05,44
2007-05-06 - 2007-05-12,45
2007-05-13 - 2007-05-19,44
2007-05-20 - 2007-05-26,44
2007-05-27 - 2007-06-02,41
2007-06-03 - 2007-06-09,44
2007-06-10 - 2007-06-16,39
2007-06-17 - 2007-06-23,42
2007-06-24 - 2007-06-30,42
2007-07-01 - 2007-07-07,40
2007-07-08 - 2007-07-14,45
2007-07-15 - 2007-07-21,46
2007-07-22 - 2007-07-28,48
2007-07-29 - 2007-08-04,47
2007-08-05 - 2007-08-11,46
2007-08-12 - 2007-08-18,47
2007-08-19 - 2007-08-25,44
2007-08-26 - 2007-09-01,41
2007-09-02 - 2007-09-08,41
2007-09-09 - 2007-09-15,42
2007-09-16 - 2007-09-22,45
2007-09-23 - 2007-09-29,44
2007-09-30 - 2007-10-06,46
2007-10-07 - 2007-10-13,44
2007-10-14 - 2007-10-20,43
2007-10-21 - 2007-10-27,45
2007-10-28 - 2007-11-03,41
2007-11-04 - 2007-11-10,43
2007-11-11 - 2007-11-17,43
2007-11-18 - 2007-11-24,42
2007-11-25 - 2007-12-01,49
2007-12-02 - 2007-12-08,47
2007-12-09 - 2007-12-15,39
2007-12-16 - 2007-12-22,40
2007-12-23 - 2007-12-29,40
2007-12-30 - 2008-01-05,45
2008-01-06 - 2008-01-12,44
2008-01-13 - 2008-01-19,44
2008-01-20 - 2008-01-26,45
2008-01-27 - 2008-02-02,43
2008-02-03 - 2008-02-09,44
2008-02-10 - 2008-02-16,45
2008-02-17 - 2008-02-23,45
2008-02-24 - 2008-03-01,45
2008-03-02 - 2008-03-08,43
2008-03-09 - 2008-03-15,47
2008-03-16 - 2008-03-22,45
2008-03-23 - 2008-03-29,43
2008-03-30 - 2008-04-05,46
2008-04-06 - 2008-04-12,48
2008-04-13 - 2008-04-19,45
2008-04-20 - 2008-04-26,47
2008-04-27 - 2008-05-03,48
2008-05-04 - 2008-05-10,48
2008-05-11 - 2008-05-17,48
2008-05-18 - 2008-05-24,50
2008-05-25 - 2008-05-31,44
2008-06-01 - 2008-06-07,47
2008-06-08 - 2008-06-14,42
2008-06-15 - 2008-06-21,43
2008-06-22 - 2008-06-28,45
2008-06-29 - 2008-07-05,43
2008-07-06 - 2008-07-12,47
2008-07-13 - 2008-07-19,49
2008-07-20 - 2008-07-26,51
2008-07-27 - 2008-08-02,49
2008-08-03 - 2008-08-09,49
2008-08-10 - 2008-08-16,48
2008-08-17 - 2008-08-23,49
2008-08-24 - 2008-08-30,46
2008-08-31 - 2008-09-06,39
2008-09-07 - 2008-09-13,42
2008-09-14 - 2008-09-20,41
2008-09-21 - 2008-09-27,47
2008-09-28 - 2008-10-04,46
2008-10-05 - 2008-10-11,45
2008-10-12 - 2008-10-18,48
2008-10-19 - 2008-10-25,47
2008-10-26 - 2008-11-01,43
2008-11-02 - 2008-11-08,41
2008-11-09 - 2008-11-15,45
2008-11-16 - 2008-11-22,48
2008-11-23 - 2008-11-29,41
2008-11-30 - 2008-12-06,45
2008-12-07 - 2008-12-13,42
2008-12-14 - 2008-12-20,38
2008-12-21 - 2008-12-27,35
2008-12-28 - 2009-01-03,37
2009-01-04 - 2009-01-10,45
2009-01-11 - 2009-01-17,41
2009-01-18 - 2009-01-24,43
2009-01-25 - 2009-01-31,42
2009-02-01 - 2009-02-07,42
2009-02-08 - 2009-02-14,42
2009-02-15 - 2009-02-21,43
2009-02-22 - 2009-02-28,43
2009-03-01 - 2009-03-07,44
2009-03-08 - 2009-03-14,44
2009-03-15 - 2009-03-21,43
2009-03-22 - 2009-03-28,42
2009-03-29 - 2009-04-04,44
2009-04-05 - 2009-04-11,45
2009-04-12 - 2009-04-18,50
2009-04-19 - 2009-04-25,46
2009-04-26 - 2009-05-02,46
2009-05-03 - 2009-05-09,44
2009-05-10 - 2009-05-16,44
2009-05-17 - 2009-05-23,42
2009-05-24 - 2009-05-30,41
2009-05-31 - 2009-06-06,40
2009-06-07 - 2009-06-13,40
2009-06-14 - 2009-06-20,39
2009-06-21 - 2009-06-27,42
2009-06-28 - 2009-07-04,100
2009-07-05 - 2009-07-11,45
2009-07-12 - 2009-07-18,42
2009-07-19 - 2009-07-25,41
2009-07-26 - 2009-08-01,39
2009-08-02 - 2009-08-08,45
2009-08-09 - 2009-08-15,44
2009-08-16 - 2009-08-22,40
2009-08-23 - 2009-08-29,44
2009-08-30 - 2009-09-05,42
2009-09-06 - 2009-09-12,43
2009-09-13 - 2009-09-19,41
2009-09-20 - 2009-09-26,41
2009-09-27 - 2009-10-03,42
2009-10-04 - 2009-10-10,43
2009-10-11 - 2009-10-17,44
2009-10-18 - 2009-10-24,40
2009-10-25 - 2009-10-31,46
2009-11-01 - 2009-11-07,40
2009-11-08 - 2009-11-14,39
2009-11-15 - 2009-11-21,38
2009-11-22 - 2009-11-28,36
2009-11-29 - 2009-12-05,36
2009-12-06 - 2009-12-12,36
2009-12-13 - 2009-12-19,36
2009-12-20 - 2009-12-26,33
2009-12-27 - 2010-01-02,38
2010-01-03 - 2010-01-09,39
2010-01-10 - 2010-01-16,39
2010-01-17 - 2010-01-23,41
2010-01-24 - 2010-01-30,42
2010-01-31 - 2010-02-06,39
2010-02-07 - 2010-02-13,38
2010-02-14 - 2010-02-20,38
2010-02-21 - 2010-02-27,39
2010-02-28 - 2010-03-06,40
2010-03-07 - 2010-03-13,39
2010-03-14 - 2010-03-20,42
2010-03-21 - 2010-03-27,40
2010-03-28 - 2010-04-03,42
2010-04-04 - 2010-04-10,43
2010-04-11 - 2010-04-17,42
2010-04-18 - 2010-04-24,39
2010-04-25 - 2010-05-01,44
2010-05-02 - 2010-05-08,44
2010-05-09 - 2010-05-15,42
2010-05-16 - 2010-05-22,42
2010-05-23 - 2010-05-29,41
2010-05-30 - 2010-06-05,40
2010-06-06 - 2010-06-12,39
2010-06-13 - 2010-06-19,41
2010-06-20 - 2010-06-26,41
2010-06-27 - 2010-07-03,41
2010-07-04 - 2010-07-10,43
2010-07-11 - 2010-07-17,46
2010-07-18 - 2010-07-24,44
2010-07-25 - 2010-07-31,47
2010-08-01 - 2010-08-07,47
2010-08-08 - 2010-08-14,45
2010-08-15 - 2010-08-21,47
2010-08-22 - 2010-08-28,50
2010-08-29 - 2010-09-04,51
2010-09-05 - 2010-09-11,46
2010-09-12 - 2010-09-18,49
2010-09-19 - 2010-09-25,52
2010-09-26 - 2010-10-02,51
2010-10-03 - 2010-10-09,49
2010-10-10 - 2010-10-16,46
2010-10-17 - 2010-10-23,46
2010-10-24 - 2010-10-30,47
2010-10-31 - 2010-11-06,46
2010-11-07 - 2010-11-13,48
2010-11-14 - 2010-11-20,44
2010-11-21 - 2010-11-27,41
2010-11-28 - 2010-12-04,44
2010-12-05 - 2010-12-11,46
2010-12-12 - 2010-12-18,45
2010-12-19 - 2010-12-25,44
2010-12-26 - 2011-01-01,45
2011-01-02 - 2011-01-08,47
2011-01-09 - 2011-01-15,46
2011-01-16 - 2011-01-22,47
2011-01-23 - 2011-01-29,46
2011-01-30 - 2011-02-05,46
2011-02-06 - 2011-02-12,47
2011-02-13 - 2011-02-19,50
2011-02-20 - 2011-02-26,52
2011-02-27 - 2011-03-05,49
2011-03-06 - 2011-03-12,48
2011-03-13 - 2011-03-19,45
2011-03-20 - 2011-03-26,48
2011-03-27 - 2011-04-02,50
2011-04-03 - 2011-04-09,51
2011-04-10 - 2011-04-16,50
2011-04-17 - 2011-04-23,51
2011-04-24 - 2011-04-30,49
2011-05-01 - 2011-05-07,51
2011-05-08 - 2011-05-14,51
2011-05-15 - 2011-05-21,52
2011-05-22 - 2011-05-28,48
2011-05-29 - 2011-06-04,49
2011-06-05 - 2011-06-11,48
2011-06-12 - 2011-06-18,48
2011-06-19 - 2011-06-25,49
2011-06-26 - 2011-07-02,50
2011-07-03 - 2011-07-09,47
2011-07-10 - 2011-07-16,48
2011-07-17 - 2011-07-23,48
2011-07-24 - 2011-07-30,47
2011-07-31 - 2011-08-06,47
2011-08-07 - 2011-08-13,48
2011-08-14 - 2011-08-20,51
2011-08-21 - 2011-08-27,50
2011-08-28 - 2011-09-03,51
2011-09-04 - 2011-09-10,48
2011-09-11 - 2011-09-17,51
2011-09-18 - 2011-09-24,50
2011-09-25 - 2011-10-01,50
2011-10-02 - 2011-10-08,49
2011-10-09 - 2011-10-15,49
2011-10-16 - 2011-10-22,50
2011-10-23 - 2011-10-29,51
2011-10-30 - 2011-11-05,50
2011-11-06 - 2011-11-12,49
2011-11-13 - 2011-11-19,52
2011-11-20 - 2011-11-26,45
2011-11-27 - 2011-12-03,50
2011-12-04 - 2011-12-10,48
2011-12-11 - 2011-12-17,50
2011-12-18 - 2011-12-24,46
2011-12-25 - 2011-12-31,48
2012-01-01 - 2012-01-07,54
2012-01-08 - 2012-01-14,54
2012-01-15 - 2012-01-21,51
2012-01-22 - 2012-01-28,52
2012-01-29 - 2012-02-04,52
2012-02-05 - 2012-02-11,53
2012-02-12 - 2012-02-18,55
2012-02-19 - 2012-02-25,57
2012-02-26 - 2012-03-03,53
2012-03-04 - 2012-03-10,53
2012-03-11 - 2012-03-17,53
2012-03-18 - 2012-03-24,51
2012-03-25 - 2012-03-31,53
2012-04-01 - 2012-04-07,51
2012-04-08 - 2012-04-14,51
2012-04-15 - 2012-04-21,53
2012-04-22 - 2012-04-28,56
2012-04-29 - 2012-05-05,52
2012-05-06 - 2012-05-12,52
2012-05-13 - 2012-05-19,57
2012-05-20 - 2012-05-26,51
2012-05-27 - 2012-06-02,49
2012-06-03 - 2012-06-09,50
2012-06-10 - 2012-06-16,49
2012-06-17 - 2012-06-23,52
2012-06-24 - 2012-06-30,49
2012-07-01 - 2012-07-07,48
2012-07-08 - 2012-07-14,53
2012-07-15 - 2012-07-21,51
2012-07-22 - 2012-07-28,52
2012-07-29 - 2012-08-04,50
2012-08-05 - 2012-08-11,50
2012-08-12 - 2012-08-18,52
2012-08-19 - 2012-08-25,49
2012-08-26 - 2012-09-01,51
2012-09-02 - 2012-09-08,49
2012-09-09 - 2012-09-15,50
2012-09-16 - 2012-09-22,51
2012-09-23 - 2012-09-29,49
2012-09-30 - 2012-10-06,50
2012-10-07 - 2012-10-13,49
2012-10-14 - 2012-10-20,49
2012-10-21 - 2012-10-27,46
2012-10-28 - 2012-11-03,45
2012-11-04 - 2012-11-10,46
2012-11-11 - 2012-11-17,44
2012-11-18 - 2012-11-24,43
2012-11-25 - 2012-12-01,45
2012-12-02 - 2012-12-08,45
2012-12-09 - 2012-12-15,45
2012-12-16 - 2012-12-22,40
2012-12-23 - 2012-12-29,39
2012-12-30 - 2013-01-05,45
2013-01-06 - 2013-01-12,48
2013-01-13 - 2013-01-19,47
2013-01-20 - 2013-01-26,49
2013-01-27 - 2013-02-02,48
2013-02-03 - 2013-02-09,45
2013-02-10 - 2013-02-16,45
2013-02-17 - 2013-02-23,48
2013-02-24 - 2013-03-02,48
2013-03-03 - 2013-03-09,47
2013-03-10 - 2013-03-16,49
2013-03-17 - 2013-03-23,50
2013-03-24 - 2013-03-30,51
2013-03-31 - 2013-04-06,48
2013-04-07 - 2013-04-13,51
2013-04-14 - 2013-04-20,48
2013-04-21 - 2013-04-27,50
2013-04-28 - 2013-05-04,50
2013-05-05 - 2013-05-11,50
2013-05-12 - 2013-05-18,50
2013-05-19 - 2013-05-25,48
2013-05-26 - 2013-06-01,46
2013-06-02 - 2013-06-08,47
2013-06-09 - 2013-06-15,48
2013-06-16 - 2013-06-22,47
2013-06-23 - 2013-06-29,45
2013-06-30 - 2013-07-06,45
2013-07-07 - 2013-07-13,46
2013-07-14 - 2013-07-20,48
2013-07-21 - 2013-07-27,47
2013-07-28 - 2013-08-03,47
2013-08-04 - 2013-08-10,46
2013-08-11 - 2013-08-17,47
2013-08-18 - 2013-08-24,48
2013-08-25 - 2013-08-31,51
2013-09-01 - 2013-09-07,47
2013-09-08 - 2013-09-14,48
2013-09-15 - 2013-09-21,50
2013-09-22 - 2013-09-28,53
2013-09-29 - 2013-10-05,49
2013-10-06 - 2013-10-12,51
2013-10-13 - 2013-10-19,52
2013-10-20 - 2013-10-26,51
2013-10-27 - 2013-11-02,50
2013-11-03 - 2013-11-09,48
2013-11-10 - 2013-11-16,50
2013-11-17 - 2013-11-23,48
2013-11-24 - 2013-11-30,44
2013-12-01 - 2013-12-07,47
2013-12-08 - 2013-12-14,46
2013-12-15 - 2013-12-21,43
2013-12-22 - 2013-12-28,41
2013-12-29 - 2014-01-04,45
2014-01-05 - 2014-01-11,49
2014-01-12 - 2014-01-18,49
2014-01-19 - 2014-01-25,49
2014-01-26 - 2014-02-01,46
2014-02-02 - 2014-02-08,48
2014-02-09 - 2014-02-15,51
2014-02-16 - 2014-02-22,52
2014-02-23 - 2014-03-01,50
2014-03-02 - 2014-03-08,47
2014-03-09 - 2014-03-15,48
2014-03-16 - 2014-03-22,50
2014-03-23 - 2014-03-29,51
2014-03-30 - 2014-04-05,51
2014-04-06 - 2014-04-12,51
2014-04-13 - 2014-04-19,51
2014-04-20 - 2014-04-26,64
2014-04-27 - 2014-05-03,58
2014-05-04 - 2014-05-10,57
2014-05-11 - 2014-05-17,56
2014-05-18 - 2014-05-24,53
2014-05-25 - 2014-05-31,49
2014-06-01 - 2014-06-07,51
2014-06-08 - 2014-06-14,53
2014-06-15 - 2014-06-21,51
2014-06-22 - 2014-06-28,51
2014-06-29 - 2014-07-05,54
2014-07-06 - 2014-07-12,52
2014-07-13 - 2014-07-19,48
2014-07-20 - 2014-07-26,49
2014-07-27 - 2014-08-02,49
2014-08-03 - 2014-08-09,50
2014-08-10 - 2014-08-16,57
2014-08-17 - 2014-08-23,53
2014-08-24 - 2014-08-30,51
2014-08-31 - 2014-09-06,48
2014-09-07 - 2014-09-13,50
2014-09-14 - 2014-09-20,49
2014-09-21 - 2014-09-27,49
2014-09-28 - 2014-10-04,51
2014-10-05 - 2014-10-11,53
2014-10-12 - 2014-10-18,51
2014-10-19 - 2014-10-25,51
2014-10-26 - 2014-11-01,50
2014-11-02 - 2014-11-08,52
2014-11-09 - 2014-11-15,52
2014-11-16 - 2014-11-22,48
2014-11-23 - 2014-11-29,46
2014-11-30 - 2014-12-06,49
2014-12-07 - 2014-12-13,49
2014-12-14 - 2014-12-20,47
2014-12-21 - 2014-12-27,45
2014-12-28 - 2015-01-03,50
2015-01-04 - 2015-01-10,51
2015-01-11 - 2015-01-17,53
2015-01-18 - 2015-01-24,52
2015-01-25 - 2015-01-31,52
2015-02-01 - 2015-02-07,49
2015-02-08 - 2015-02-14,48
2015-02-15 - 2015-02-21,49
2015-02-22 - 2015-02-28,51
2015-03-01 - 2015-03-07,56
2015-03-08 - 2015-03-14,54
2015-03-15 - 2015-03-21,53
2015-03-22 - 2015-03-28,55
2015-03-29 - 2015-04-04,52
2015-04-05 - 2015-04-11,55
2015-04-12 - 2015-04-18,54
2015-04-19 - 2015-04-25,55
2015-04-26 - 2015-05-02,53
2015-05-03 - 2015-05-09,54
2015-05-10 - 2015-05-16,55
2015-05-17 - 2015-05-23,53
2015-05-24 - 2015-05-30,50
2015-05-31 - 2015-06-06,52
2015-06-07 - 2015-06-13,52
2015-06-14 - 2015-06-20,52
2015-06-21 - 2015-06-27,54
2015-06-28 - 2015-07-04,56
2015-07-05 - 2015-07-11,53
2015-07-12 - 2015-07-18,50
2015-07-19 - 2015-07-25,50
2015-07-26 - 2015-08-01,50
2015-08-02 - 2015-08-08,51
2015-08-09 - 2015-08-15,51
2015-08-16 - 2015-08-22,51
2015-08-23 - 2015-08-29,51
2015-08-30 - 2015-09-05,50
2015-09-06 - 2015-09-12,50
2015-09-13 - 2015-09-19,49
2015-09-20 - 2015-09-26,48
2015-09-27 - 2015-10-03,50
2015-10-04 - 2015-10-10,49
2015-10-11 - 2015-10-17,50
2015-10-18 - 2015-10-24,48
2015-10-25 - 2015-10-31,49
2015-11-01 - 2015-11-07,50
2015-11-08 - 2015-11-14,48
2015-11-15 - 2015-11-21,48
2015-11-22 - 2015-11-28,45
2015-11-29 - 2015-12-05,46
2015-12-06 - 2015-12-12,46
2015-12-13 - 2015-12-19,46
2015-12-20 - 2015-12-26,43
2015-12-27 - 2016-01-02,47
2016-01-03 - 2016-01-09,52
2016-01-10 - 2016-01-16,52
2016-01-17 - 2016-01-23,52
2016-01-24 - 2016-01-30,52
2016-01-31 - 2016-02-06,50
2016-02-07 - 2016-02-13,47
2016-02-14 - 2016-02-20,50
2016-02-21 - 2016-02-27,51
2016-02-28 - 2016-03-05,51
2016-03-06 - 2016-03-12,52
2016-03-13 - 2016-03-19,52
2016-03-20 - 2016-03-26,53
2016-03-27 - 2016-04-02,56
2016-04-03 - 2016-04-09,56
2016-04-10 - 2016-04-16,57
2016-04-17 - 2016-04-23,56
2016-04-24 - 2016-04-30,66


Top regions for oxy
Region,oxy
Oman,100
Vietnam,39
Qatar,14
United States,11
Latvia,10
Canada,10
Australia,9
Malaysia,8
Poland,8
Hungary,7
Singapore,7
Indonesia,6
Ecuador,6
United Arab Emirates,6
United Kingdom,5
India,5
Ireland,5
Colombia,4
New Zealand,4
Hong Kong,4
South Africa,4
Czech Republic,4
Brazil,3
Norway,3
Slovakia,3
Croatia,3
Pakistan,3
Denmark,3
Greece,3
Switzerland,3
Philippines,3
France,2
Belgium,2
Sweden,2
Romania,2
Bulgaria,2
Netherlands,2
Austria,2
Mexico,2
Germany,2
Portugal,2
Peru,2
Italy,2
Finland,2
South Korea,2
Japan,2
Taiwan,1
Chile,1
Thailand,1
Egypt,1
Argentina,1
Saudi Arabia,1
Russia,1
Ukraine,1
Spain,1
China,1
Turkey,1


Top cities for oxy
City,oxy
Ho Chi Minh City (Vietnam),100
Da Nang (Vietnam),97
Hanoi (Vietnam),83
Los Angeles (United States),46
Houston (United States),45
Dallas (United States),30
Seattle (United States),30
San Francisco (United States),27
Atlanta (United States),25
Washington (United States),25
New York (United States),25
Chicago (United States),24
Toronto (Canada),23
Sydney (Australia),22
Melbourne (Australia),20



Top searches for oxy
oxy elite,100
oxy pro,95
oxy clean,90
oxy acetylene,85
oxy pro elite,75
oxy cotton,45
oxycodone,45
oxy 10,45
oxy powder,45
oxycontin,35
what is oxy,35
dj oxy,35
oxy acne,30
oxi,30
dieta oxy,30
oxyelite,25
oxy acetylene welding,25
oxy drug,25
oxy 5,25
oxy cutting,25
oxy acetylene torch,25
oxyelite pro,25
my oxy,20
air oxy,20
oxy bleach,20
oxy contin,20
oxy pills,15
oxy moron,15
oxy 30,15
oxy online,15
oxy e,15
oxy fuel,15
oxy oman,15
oxy black,15
oxy water,15
oxy face wash,15
oxy clean guy,10
oxy cotton lyrics,10
oxy petroleum,10
oxy ir,10
oxy 80,10
oxy gel,10
oxy codone,10
oxy pads,10
oxy acetylene cutting,10
oxy jobs,10
oxy power,10
oxy stock,10
oxy cleanse,10
oxy plus,10



Rising searches for oxy
dieta oxy,Breakout
oxy pro elite,Breakout
oxyelite,Breakout
oxy elite,+4,400%
dj oxy,+1,900%
oxy pro,+1,150%
oxycodone,+300%
oxy acetylene torch,+250%
what is oxy,+200%
oxy 5,+150%



