Web Search interest: ed
Worldwide 2004 - present

Interest over time
Week,ed
2011-05-15 - 2011-05-21,56
2011-05-22 - 2011-05-28,59
2011-05-29 - 2011-06-04,53
2011-06-05 - 2011-06-11,53
2011-06-12 - 2011-06-18,54
2011-06-19 - 2011-06-25,57
2011-06-26 - 2011-07-02,57
2011-07-03 - 2011-07-09,54
2011-07-10 - 2011-07-16,55
2011-07-17 - 2011-07-23,54
2011-07-24 - 2011-07-30,54
2011-07-31 - 2011-08-06,53
2011-08-07 - 2011-08-13,55
2011-08-14 - 2011-08-20,54
2011-08-21 - 2011-08-27,56
2011-08-28 - 2011-09-03,57
2011-09-04 - 2011-09-10,53
2011-09-11 - 2011-09-17,58
2011-09-18 - 2011-09-24,58
2011-09-25 - 2011-10-01,56
2011-10-02 - 2011-10-08,55
2011-10-09 - 2011-10-15,56
2011-10-16 - 2011-10-22,58
2011-10-23 - 2011-10-29,60
2011-10-30 - 2011-11-05,59
2011-11-06 - 2011-11-12,59
2011-11-13 - 2011-11-19,58
2011-11-20 - 2011-11-26,55
2011-11-27 - 2011-12-03,58
2011-12-04 - 2011-12-10,57
2011-12-11 - 2011-12-17,55
2011-12-18 - 2011-12-24,51
2011-12-25 - 2011-12-31,49
2012-01-01 - 2012-01-07,54
2012-01-08 - 2012-01-14,57
2012-01-15 - 2012-01-21,62
2012-01-22 - 2012-01-28,64
2012-01-29 - 2012-02-04,57
2012-02-05 - 2012-02-11,60
2012-02-12 - 2012-02-18,59
2012-02-19 - 2012-02-25,65
2012-02-26 - 2012-03-03,60
2012-03-04 - 2012-03-10,59
2012-03-11 - 2012-03-17,57
2012-03-18 - 2012-03-24,58
2012-03-25 - 2012-03-31,56
2012-04-01 - 2012-04-07,54
2012-04-08 - 2012-04-14,53
2012-04-15 - 2012-04-21,56
2012-04-22 - 2012-04-28,57
2012-04-29 - 2012-05-05,58
2012-05-06 - 2012-05-12,56
2012-05-13 - 2012-05-19,55
2012-05-20 - 2012-05-26,54
2012-05-27 - 2012-06-02,54
2012-06-03 - 2012-06-09,58
2012-06-10 - 2012-06-16,57
2012-06-17 - 2012-06-23,56
2012-06-24 - 2012-06-30,56
2012-07-01 - 2012-07-07,52
2012-07-08 - 2012-07-14,55
2012-07-15 - 2012-07-21,55
2012-07-22 - 2012-07-28,54
2012-07-29 - 2012-08-04,55
2012-08-05 - 2012-08-11,55
2012-08-12 - 2012-08-18,63
2012-08-19 - 2012-08-25,58
2012-08-26 - 2012-09-01,56
2012-09-02 - 2012-09-08,56
2012-09-09 - 2012-09-15,57
2012-09-16 - 2012-09-22,58
2012-09-23 - 2012-09-29,62
2012-09-30 - 2012-10-06,58
2012-10-07 - 2012-10-13,53
2012-10-14 - 2012-10-20,56
2012-10-21 - 2012-10-27,58
2012-10-28 - 2012-11-03,66
2012-11-04 - 2012-11-10,58
2012-11-11 - 2012-11-17,59
2012-11-18 - 2012-11-24,57
2012-11-25 - 2012-12-01,60
2012-12-02 - 2012-12-08,61
2012-12-09 - 2012-12-15,59
2012-12-16 - 2012-12-22,55
2012-12-23 - 2012-12-29,52
2012-12-30 - 2013-01-05,58
2013-01-06 - 2013-01-12,59
2013-01-13 - 2013-01-19,59
2013-01-20 - 2013-01-26,60
2013-01-27 - 2013-02-02,68
2013-02-03 - 2013-02-09,63
2013-02-10 - 2013-02-16,63
2013-02-17 - 2013-02-23,59
2013-02-24 - 2013-03-02,59
2013-03-03 - 2013-03-09,58
2013-03-10 - 2013-03-16,61
2013-03-17 - 2013-03-23,60
2013-03-24 - 2013-03-30,55
2013-03-31 - 2013-04-06,56
2013-04-07 - 2013-04-13,55
2013-04-14 - 2013-04-20,53
2013-04-21 - 2013-04-27,56
2013-04-28 - 2013-05-04,55
2013-05-05 - 2013-05-11,52
2013-05-12 - 2013-05-18,51
2013-05-19 - 2013-05-25,55
2013-05-26 - 2013-06-01,52
2013-06-02 - 2013-06-08,58
2013-06-09 - 2013-06-15,58
2013-06-16 - 2013-06-22,58
2013-06-23 - 2013-06-29,55
2013-06-30 - 2013-07-06,50
2013-07-07 - 2013-07-13,54
2013-07-14 - 2013-07-20,53
2013-07-21 - 2013-07-27,54
2013-07-28 - 2013-08-03,54
2013-08-04 - 2013-08-10,56
2013-08-11 - 2013-08-17,54
2013-08-18 - 2013-08-24,54
2013-08-25 - 2013-08-31,57
2013-09-01 - 2013-09-07,55
2013-09-08 - 2013-09-14,54
2013-09-15 - 2013-09-21,50
2013-09-22 - 2013-09-28,52
2013-09-29 - 2013-10-05,51
2013-10-06 - 2013-10-12,52
2013-10-13 - 2013-10-19,60
2013-10-20 - 2013-10-26,53
2013-10-27 - 2013-11-02,52
2013-11-03 - 2013-11-09,55
2013-11-10 - 2013-11-16,57
2013-11-17 - 2013-11-23,52
2013-11-24 - 2013-11-30,46
2013-12-01 - 2013-12-07,51
2013-12-08 - 2013-12-14,50
2013-12-15 - 2013-12-21,51
2013-12-22 - 2013-12-28,47
2013-12-29 - 2014-01-04,51
2014-01-05 - 2014-01-11,56
2014-01-12 - 2014-01-18,54
2014-01-19 - 2014-01-25,53
2014-01-26 - 2014-02-01,54
2014-02-02 - 2014-02-08,55
2014-02-09 - 2014-02-15,56
2014-02-16 - 2014-02-22,52
2014-02-23 - 2014-03-01,51
2014-03-02 - 2014-03-08,50
2014-03-09 - 2014-03-15,50
2014-03-16 - 2014-03-22,50
2014-03-23 - 2014-03-29,50
2014-03-30 - 2014-04-05,53
2014-04-06 - 2014-04-12,58
2014-04-13 - 2014-04-19,60
2014-04-20 - 2014-04-26,55
2014-04-27 - 2014-05-03,58
2014-05-04 - 2014-05-10,58
2014-05-11 - 2014-05-17,59
2014-05-18 - 2014-05-24,64
2014-05-25 - 2014-05-31,62
2014-06-01 - 2014-06-07,61
2014-06-08 - 2014-06-14,62
2014-06-15 - 2014-06-21,68
2014-06-22 - 2014-06-28,73
2014-06-29 - 2014-07-05,69
2014-07-06 - 2014-07-12,65
2014-07-13 - 2014-07-19,62
2014-07-20 - 2014-07-26,61
2014-07-27 - 2014-08-02,61
2014-08-03 - 2014-08-09,60
2014-08-10 - 2014-08-16,59
2014-08-17 - 2014-08-23,60
2014-08-24 - 2014-08-30,63
2014-08-31 - 2014-09-06,61
2014-09-07 - 2014-09-13,63
2014-09-14 - 2014-09-20,63
2014-09-21 - 2014-09-27,63
2014-09-28 - 2014-10-04,65
2014-10-05 - 2014-10-11,69
2014-10-12 - 2014-10-18,68
2014-10-19 - 2014-10-25,67
2014-10-26 - 2014-11-01,72
2014-11-02 - 2014-11-08,74
2014-11-09 - 2014-11-15,70
2014-11-16 - 2014-11-22,72
2014-11-23 - 2014-11-29,69
2014-11-30 - 2014-12-06,76
2014-12-07 - 2014-12-13,81
2014-12-14 - 2014-12-20,82
2014-12-21 - 2014-12-27,72
2014-12-28 - 2015-01-03,78
2015-01-04 - 2015-01-10,77
2015-01-11 - 2015-01-17,78
2015-01-18 - 2015-01-24,76
2015-01-25 - 2015-01-31,82
2015-02-01 - 2015-02-07,75
2015-02-08 - 2015-02-14,100
2015-02-15 - 2015-02-21,90
2015-02-22 - 2015-02-28,93
2015-03-01 - 2015-03-07,80
2015-03-08 - 2015-03-14,76
2015-03-15 - 2015-03-21,72
2015-03-22 - 2015-03-28,75
2015-03-29 - 2015-04-04,74
2015-04-05 - 2015-04-11,74
2015-04-12 - 2015-04-18,76
2015-04-19 - 2015-04-25,73
2015-04-26 - 2015-05-02,76
2015-05-03 - 2015-05-09,90
2015-05-10 - 2015-05-16,76
2015-05-17 - 2015-05-23,74
2015-05-24 - 2015-05-30,69
2015-05-31 - 2015-06-06,73
2015-06-07 - 2015-06-13,68
2015-06-14 - 2015-06-20,72
2015-06-21 - 2015-06-27,67
2015-06-28 - 2015-07-04,65
2015-07-05 - 2015-07-11,69
2015-07-12 - 2015-07-18,69
2015-07-19 - 2015-07-25,68
2015-07-26 - 2015-08-01,65
2015-08-02 - 2015-08-08,65
2015-08-09 - 2015-08-15,74
2015-08-16 - 2015-08-22,70
2015-08-23 - 2015-08-29,67
2015-08-30 - 2015-09-05,68
2015-09-06 - 2015-09-12,66
2015-09-13 - 2015-09-19,66
2015-09-20 - 2015-09-26,68
2015-09-27 - 2015-10-03,67
2015-10-04 - 2015-10-10,63
2015-10-11 - 2015-10-17,64
2015-10-18 - 2015-10-24,65
2015-10-25 - 2015-10-31,67
2015-11-01 - 2015-11-07,63
2015-11-08 - 2015-11-14,63
2015-11-15 - 2015-11-21,60
2015-11-22 - 2015-11-28,60
2015-11-29 - 2015-12-05,60
2015-12-06 - 2015-12-12,64
2015-12-13 - 2015-12-19,62
2015-12-20 - 2015-12-26,56
2015-12-27 - 2016-01-02,62
2016-01-03 - 2016-01-09,63
2016-01-10 - 2016-01-16,61
2016-01-17 - 2016-01-23,60
2016-01-24 - 2016-01-30,60
2016-01-31 - 2016-02-06,58
2016-02-07 - 2016-02-13,60
2016-02-14 - 2016-02-20,66
2016-02-21 - 2016-02-27,58
2016-02-28 - 2016-03-05,55
2016-03-06 - 2016-03-12,56
2016-03-13 - 2016-03-19,54
2016-03-20 - 2016-03-26,52
2016-03-27 - 2016-04-02,56
2016-04-03 - 2016-04-09,54
2016-04-10 - 2016-04-16,56
2016-04-17 - 2016-04-23,53
2016-04-24 - 2016-04-30,60


Top regions for ed
Region,ed
Italy,100
United States,90
Australia,74
Philippines,74
Ireland,73
United Kingdom,71
New Zealand,69
Canada,68
Netherlands,52
Brazil,51
South Africa,44
Singapore,37
Sweden,35
Japan,34
Mexico,34
Chile,34
Norway,33
Hong Kong,31
Bolivia,30
Portugal,29
Romania,29
Indonesia,28
Denmark,28
Germany,27
India,27
Switzerland,27
Argentina,27
Taiwan,26
Slovakia,26
Czech Republic,26
Malaysia,25
United Arab Emirates,25
Austria,25
Ecuador,25
Peru,24
Hungary,24
France,23
Colombia,23
Poland,23
Spain,23
Finland,23
Belgium,23
Pakistan,21
Serbia,19
South Korea,19
Venezuela,19
Thailand,19
Bulgaria,17
Greece,14
Israel,13
China,10
Turkey,9
Vietnam,7
Russia,7
Ukraine,6


Top cities for ed
City,ed
New York (United States),100
Rome (Italy),96
Boston (United States),94
Washington (United States),90
Chicago (United States),89
Milan (Italy),83
Los Angeles (United States),78
Atlanta (United States),78
San Francisco (United States),76
Sydney (Australia),75
Houston (United States),71
Dublin (Ireland),70
Dallas (United States),70
Toronto (Canada),64
London (United Kingdom),63



Top searches for ed
ed sheeran,100
ed hardy,30
ed sheeran lyrics,15
drivers ed,15
thinking out loud,10
ed edd eddy,10
ed westwick,10
my ed,5
ed sheeran photograph,5
robo ed,5
ed gein,5
op ed,5
special ed,5
ed harris,5
higher ed jobs,5
co ed,5
ed sheeran one,5
com ed,5
ed sheeran songs,5
ed warren,5
ed miliband,5
taylor swift,5
ed tv,5
ed wood,5
ed helms,5
ed sullivan,5
se ed,0
ed sheeran sing,0
ed reed,0
the a team,0
ed sheeran album,0
ed brown,0
ed tube,0
ed sheeran tour,0
ed norton,0
drivers ed games,0
driver ed,0
ed young,0
drivers ed online,0
ed financial,0
mr ed,0
ed sheeran x,0
connect ed,0
drivers ed game,0
ted ed,0
ed hardy clothing,0
ed sheeran tickets,0
ed sheran,0
drunk ed sheeran,0
the ed show,0



Rising searches for ed
ed hardy,Breakout
ed sheeran,Breakout
ed sheeran lyrics,Breakout
ed sheeran photograph,Breakout
ed westwick,Breakout
robo ed,Breakout
thinking out loud,Breakout
my ed,+250%
ed edd eddy,+110%
higher ed jobs,+110%



