Web Search interest: gs
Worldwide 2004 - present

Interest over time
Week,gs
2005-09-11 - 2005-09-17,35
2005-09-18 - 2005-09-24,34
2005-09-25 - 2005-10-01,34
2005-10-02 - 2005-10-08,33
2005-10-09 - 2005-10-15,33
2005-10-16 - 2005-10-22,32
2005-10-23 - 2005-10-29,34
2005-10-30 - 2005-11-05,34
2005-11-06 - 2005-11-12,37
2005-11-13 - 2005-11-19,35
2005-11-20 - 2005-11-26,35
2005-11-27 - 2005-12-03,38
2005-12-04 - 2005-12-10,37
2005-12-11 - 2005-12-17,37
2005-12-18 - 2005-12-24,38
2005-12-25 - 2005-12-31,38
2006-01-01 - 2006-01-07,41
2006-01-08 - 2006-01-14,40
2006-01-15 - 2006-01-21,40
2006-01-22 - 2006-01-28,41
2006-01-29 - 2006-02-04,44
2006-02-05 - 2006-02-11,44
2006-02-12 - 2006-02-18,41
2006-02-19 - 2006-02-25,41
2006-02-26 - 2006-03-04,42
2006-03-05 - 2006-03-11,43
2006-03-12 - 2006-03-18,41
2006-03-19 - 2006-03-25,47
2006-03-26 - 2006-04-01,44
2006-04-02 - 2006-04-08,45
2006-04-09 - 2006-04-15,45
2006-04-16 - 2006-04-22,52
2006-04-23 - 2006-04-29,49
2006-04-30 - 2006-05-06,49
2006-05-07 - 2006-05-13,47
2006-05-14 - 2006-05-20,65
2006-05-21 - 2006-05-27,49
2006-05-28 - 2006-06-03,48
2006-06-04 - 2006-06-10,44
2006-06-11 - 2006-06-17,45
2006-06-18 - 2006-06-24,46
2006-06-25 - 2006-07-01,46
2006-07-02 - 2006-07-08,46
2006-07-09 - 2006-07-15,47
2006-07-16 - 2006-07-22,47
2006-07-23 - 2006-07-29,47
2006-07-30 - 2006-08-05,48
2006-08-06 - 2006-08-12,49
2006-08-13 - 2006-08-19,48
2006-08-20 - 2006-08-26,50
2006-08-27 - 2006-09-02,51
2006-09-03 - 2006-09-09,49
2006-09-10 - 2006-09-16,53
2006-09-17 - 2006-09-23,50
2006-09-24 - 2006-09-30,50
2006-10-01 - 2006-10-07,49
2006-10-08 - 2006-10-14,47
2006-10-15 - 2006-10-21,48
2006-10-22 - 2006-10-28,47
2006-10-29 - 2006-11-04,48
2006-11-05 - 2006-11-11,48
2006-11-12 - 2006-11-18,47
2006-11-19 - 2006-11-25,49
2006-11-26 - 2006-12-02,51
2006-12-03 - 2006-12-09,54
2006-12-10 - 2006-12-16,50
2006-12-17 - 2006-12-23,50
2006-12-24 - 2006-12-30,52
2006-12-31 - 2007-01-06,48
2007-01-07 - 2007-01-13,50
2007-01-14 - 2007-01-20,49
2007-01-21 - 2007-01-27,50
2007-01-28 - 2007-02-03,50
2007-02-04 - 2007-02-10,48
2007-02-11 - 2007-02-17,49
2007-02-18 - 2007-02-24,50
2007-02-25 - 2007-03-03,53
2007-03-04 - 2007-03-10,49
2007-03-11 - 2007-03-17,52
2007-03-18 - 2007-03-24,50
2007-03-25 - 2007-03-31,47
2007-04-01 - 2007-04-07,50
2007-04-08 - 2007-04-14,47
2007-04-15 - 2007-04-21,48
2007-04-22 - 2007-04-28,49
2007-04-29 - 2007-05-05,51
2007-05-06 - 2007-05-12,51
2007-05-13 - 2007-05-19,58
2007-05-20 - 2007-05-26,54
2007-05-27 - 2007-06-02,51
2007-06-03 - 2007-06-09,54
2007-06-10 - 2007-06-16,57
2007-06-17 - 2007-06-23,66
2007-06-24 - 2007-06-30,64
2007-07-01 - 2007-07-07,58
2007-07-08 - 2007-07-14,62
2007-07-15 - 2007-07-21,62
2007-07-22 - 2007-07-28,56
2007-07-29 - 2007-08-04,61
2007-08-05 - 2007-08-11,59
2007-08-12 - 2007-08-18,68
2007-08-19 - 2007-08-25,59
2007-08-26 - 2007-09-01,68
2007-09-02 - 2007-09-08,59
2007-09-09 - 2007-09-15,55
2007-09-16 - 2007-09-22,60
2007-09-23 - 2007-09-29,61
2007-09-30 - 2007-10-06,69
2007-10-07 - 2007-10-13,58
2007-10-14 - 2007-10-20,51
2007-10-21 - 2007-10-27,55
2007-10-28 - 2007-11-03,58
2007-11-04 - 2007-11-10,64
2007-11-11 - 2007-11-17,56
2007-11-18 - 2007-11-24,59
2007-11-25 - 2007-12-01,67
2007-12-02 - 2007-12-08,73
2007-12-09 - 2007-12-15,66
2007-12-16 - 2007-12-22,64
2007-12-23 - 2007-12-29,66
2007-12-30 - 2008-01-05,63
2008-01-06 - 2008-01-12,61
2008-01-13 - 2008-01-19,62
2008-01-20 - 2008-01-26,63
2008-01-27 - 2008-02-02,66
2008-02-03 - 2008-02-09,70
2008-02-10 - 2008-02-16,66
2008-02-17 - 2008-02-23,72
2008-02-24 - 2008-03-01,82
2008-03-02 - 2008-03-08,68
2008-03-09 - 2008-03-15,63
2008-03-16 - 2008-03-22,65
2008-03-23 - 2008-03-29,62
2008-03-30 - 2008-04-05,65
2008-04-06 - 2008-04-12,67
2008-04-13 - 2008-04-19,62
2008-04-20 - 2008-04-26,70
2008-04-27 - 2008-05-03,99
2008-05-04 - 2008-05-10,100
2008-05-11 - 2008-05-17,89
2008-05-18 - 2008-05-24,69
2008-05-25 - 2008-05-31,68
2008-06-01 - 2008-06-07,69
2008-06-08 - 2008-06-14,69
2008-06-15 - 2008-06-21,65
2008-06-22 - 2008-06-28,63
2008-06-29 - 2008-07-05,71
2008-07-06 - 2008-07-12,72
2008-07-13 - 2008-07-19,73
2008-07-20 - 2008-07-26,75
2008-07-27 - 2008-08-02,74
2008-08-03 - 2008-08-09,76
2008-08-10 - 2008-08-16,77
2008-08-17 - 2008-08-23,75
2008-08-24 - 2008-08-30,94
2008-08-31 - 2008-09-06,71
2008-09-07 - 2008-09-13,66
2008-09-14 - 2008-09-20,79
2008-09-21 - 2008-09-27,76
2008-09-28 - 2008-10-04,79
2008-10-05 - 2008-10-11,69
2008-10-12 - 2008-10-18,65
2008-10-19 - 2008-10-25,81
2008-10-26 - 2008-11-01,71
2008-11-02 - 2008-11-08,75
2008-11-09 - 2008-11-15,93
2008-11-16 - 2008-11-22,70
2008-11-23 - 2008-11-29,71
2008-11-30 - 2008-12-06,71
2008-12-07 - 2008-12-13,69
2008-12-14 - 2008-12-20,69
2008-12-21 - 2008-12-27,81
2008-12-28 - 2009-01-03,67
2009-01-04 - 2009-01-10,64
2009-01-11 - 2009-01-17,64
2009-01-18 - 2009-01-24,65
2009-01-25 - 2009-01-31,64
2009-02-01 - 2009-02-07,67
2009-02-08 - 2009-02-14,60
2009-02-15 - 2009-02-21,63
2009-02-22 - 2009-02-28,97
2009-03-01 - 2009-03-07,69
2009-03-08 - 2009-03-14,79
2009-03-15 - 2009-03-21,87
2009-03-22 - 2009-03-28,62
2009-03-29 - 2009-04-04,56
2009-04-05 - 2009-04-11,70
2009-04-12 - 2009-04-18,89
2009-04-19 - 2009-04-25,63
2009-04-26 - 2009-05-02,59
2009-05-03 - 2009-05-09,58
2009-05-10 - 2009-05-16,57
2009-05-17 - 2009-05-23,58
2009-05-24 - 2009-05-30,63
2009-05-31 - 2009-06-06,67
2009-06-07 - 2009-06-13,67
2009-06-14 - 2009-06-20,67
2009-06-21 - 2009-06-27,72
2009-06-28 - 2009-07-04,72
2009-07-05 - 2009-07-11,70
2009-07-12 - 2009-07-18,70
2009-07-19 - 2009-07-25,72
2009-07-26 - 2009-08-01,85
2009-08-02 - 2009-08-08,82
2009-08-09 - 2009-08-15,69
2009-08-16 - 2009-08-22,75
2009-08-23 - 2009-08-29,77
2009-08-30 - 2009-09-05,69
2009-09-06 - 2009-09-12,70
2009-09-13 - 2009-09-19,75
2009-09-20 - 2009-09-26,62
2009-09-27 - 2009-10-03,62
2009-10-04 - 2009-10-10,57
2009-10-11 - 2009-10-17,54
2009-10-18 - 2009-10-24,70
2009-10-25 - 2009-10-31,79
2009-11-01 - 2009-11-07,64
2009-11-08 - 2009-11-14,54
2009-11-15 - 2009-11-21,53
2009-11-22 - 2009-11-28,55
2009-11-29 - 2009-12-05,54
2009-12-06 - 2009-12-12,55
2009-12-13 - 2009-12-19,53
2009-12-20 - 2009-12-26,54
2009-12-27 - 2010-01-02,55
2010-01-03 - 2010-01-09,54
2010-01-10 - 2010-01-16,54
2010-01-17 - 2010-01-23,62
2010-01-24 - 2010-01-30,67
2010-01-31 - 2010-02-06,59
2010-02-07 - 2010-02-13,54
2010-02-14 - 2010-02-20,64
2010-02-21 - 2010-02-27,68
2010-02-28 - 2010-03-06,56
2010-03-07 - 2010-03-13,56
2010-03-14 - 2010-03-20,54
2010-03-21 - 2010-03-27,63
2010-03-28 - 2010-04-03,73
2010-04-04 - 2010-04-10,53
2010-04-11 - 2010-04-17,58
2010-04-18 - 2010-04-24,56
2010-04-25 - 2010-05-01,59
2010-05-02 - 2010-05-08,56
2010-05-09 - 2010-05-15,54
2010-05-16 - 2010-05-22,59
2010-05-23 - 2010-05-29,53
2010-05-30 - 2010-06-05,53
2010-06-06 - 2010-06-12,54
2010-06-13 - 2010-06-19,52
2010-06-20 - 2010-06-26,53
2010-06-27 - 2010-07-03,54
2010-07-04 - 2010-07-10,59
2010-07-11 - 2010-07-17,65
2010-07-18 - 2010-07-24,74
2010-07-25 - 2010-07-31,66
2010-08-01 - 2010-08-07,65
2010-08-08 - 2010-08-14,60
2010-08-15 - 2010-08-21,63
2010-08-22 - 2010-08-28,67
2010-08-29 - 2010-09-04,69
2010-09-05 - 2010-09-11,52
2010-09-12 - 2010-09-18,54
2010-09-19 - 2010-09-25,50
2010-09-26 - 2010-10-02,54
2010-10-03 - 2010-10-09,48
2010-10-10 - 2010-10-16,47
2010-10-17 - 2010-10-23,62
2010-10-24 - 2010-10-30,65
2010-10-31 - 2010-11-06,51
2010-11-07 - 2010-11-13,52
2010-11-14 - 2010-11-20,47
2010-11-21 - 2010-11-27,48
2010-11-28 - 2010-12-04,55
2010-12-05 - 2010-12-11,48
2010-12-12 - 2010-12-18,47
2010-12-19 - 2010-12-25,52
2010-12-26 - 2011-01-01,54
2011-01-02 - 2011-01-08,60
2011-01-09 - 2011-01-15,71
2011-01-16 - 2011-01-22,60
2011-01-23 - 2011-01-29,55
2011-01-30 - 2011-02-05,49
2011-02-06 - 2011-02-12,52
2011-02-13 - 2011-02-19,48
2011-02-20 - 2011-02-26,48
2011-02-27 - 2011-03-05,48
2011-03-06 - 2011-03-12,46
2011-03-13 - 2011-03-19,75
2011-03-20 - 2011-03-26,52
2011-03-27 - 2011-04-02,46
2011-04-03 - 2011-04-09,47
2011-04-10 - 2011-04-16,50
2011-04-17 - 2011-04-23,50
2011-04-24 - 2011-04-30,47
2011-05-01 - 2011-05-07,44
2011-05-08 - 2011-05-14,48
2011-05-15 - 2011-05-21,54
2011-05-22 - 2011-05-28,58
2011-05-29 - 2011-06-04,53
2011-06-05 - 2011-06-11,53
2011-06-12 - 2011-06-18,59
2011-06-19 - 2011-06-25,52
2011-06-26 - 2011-07-02,52
2011-07-03 - 2011-07-09,54
2011-07-10 - 2011-07-16,51
2011-07-17 - 2011-07-23,56
2011-07-24 - 2011-07-30,59
2011-07-31 - 2011-08-06,50
2011-08-07 - 2011-08-13,52
2011-08-14 - 2011-08-20,57
2011-08-21 - 2011-08-27,58
2011-08-28 - 2011-09-03,49
2011-09-04 - 2011-09-10,50
2011-09-11 - 2011-09-17,48
2011-09-18 - 2011-09-24,48
2011-09-25 - 2011-10-01,45
2011-10-02 - 2011-10-08,46
2011-10-09 - 2011-10-15,44
2011-10-16 - 2011-10-22,48
2011-10-23 - 2011-10-29,45
2011-10-30 - 2011-11-05,46
2011-11-06 - 2011-11-12,44
2011-11-13 - 2011-11-19,43
2011-11-20 - 2011-11-26,48
2011-11-27 - 2011-12-03,45
2011-12-04 - 2011-12-10,68
2011-12-11 - 2011-12-17,52
2011-12-18 - 2011-12-24,46
2011-12-25 - 2011-12-31,46
2012-01-01 - 2012-01-07,53
2012-01-08 - 2012-01-14,52
2012-01-15 - 2012-01-21,48
2012-01-22 - 2012-01-28,53
2012-01-29 - 2012-02-04,52
2012-02-05 - 2012-02-11,52
2012-02-12 - 2012-02-18,50
2012-02-19 - 2012-02-25,49
2012-02-26 - 2012-03-03,57
2012-03-04 - 2012-03-10,53
2012-03-11 - 2012-03-17,70
2012-03-18 - 2012-03-24,58
2012-03-25 - 2012-03-31,53
2012-04-01 - 2012-04-07,48
2012-04-08 - 2012-04-14,53
2012-04-15 - 2012-04-21,60
2012-04-22 - 2012-04-28,68
2012-04-29 - 2012-05-05,56
2012-05-06 - 2012-05-12,84
2012-05-13 - 2012-05-19,75
2012-05-20 - 2012-05-26,51
2012-05-27 - 2012-06-02,48
2012-06-03 - 2012-06-09,49
2012-06-10 - 2012-06-16,49
2012-06-17 - 2012-06-23,47
2012-06-24 - 2012-06-30,47
2012-07-01 - 2012-07-07,48
2012-07-08 - 2012-07-14,64
2012-07-15 - 2012-07-21,61
2012-07-22 - 2012-07-28,55
2012-07-29 - 2012-08-04,57
2012-08-05 - 2012-08-11,62
2012-08-12 - 2012-08-18,64
2012-08-19 - 2012-08-25,53
2012-08-26 - 2012-09-01,63
2012-09-02 - 2012-09-08,57
2012-09-09 - 2012-09-15,49
2012-09-16 - 2012-09-22,63
2012-09-23 - 2012-09-29,52
2012-09-30 - 2012-10-06,55
2012-10-07 - 2012-10-13,46
2012-10-14 - 2012-10-20,44
2012-10-21 - 2012-10-27,47
2012-10-28 - 2012-11-03,45
2012-11-04 - 2012-11-10,54
2012-11-11 - 2012-11-17,46
2012-11-18 - 2012-11-24,54
2012-11-25 - 2012-12-01,48
2012-12-02 - 2012-12-08,56
2012-12-09 - 2012-12-15,50
2012-12-16 - 2012-12-22,69
2012-12-23 - 2012-12-29,49
2012-12-30 - 2013-01-05,44
2013-01-06 - 2013-01-12,51
2013-01-13 - 2013-01-19,52
2013-01-20 - 2013-01-26,60
2013-01-27 - 2013-02-02,65
2013-02-03 - 2013-02-09,50
2013-02-10 - 2013-02-16,57
2013-02-17 - 2013-02-23,67
2013-02-24 - 2013-03-02,56
2013-03-03 - 2013-03-09,49
2013-03-10 - 2013-03-16,62
2013-03-17 - 2013-03-23,50
2013-03-24 - 2013-03-30,50
2013-03-31 - 2013-04-06,77
2013-04-07 - 2013-04-13,66
2013-04-14 - 2013-04-20,51
2013-04-21 - 2013-04-27,50
2013-04-28 - 2013-05-04,52
2013-05-05 - 2013-05-11,64
2013-05-12 - 2013-05-18,68
2013-05-19 - 2013-05-25,52
2013-05-26 - 2013-06-01,48
2013-06-02 - 2013-06-08,47
2013-06-09 - 2013-06-15,45
2013-06-16 - 2013-06-22,45
2013-06-23 - 2013-06-29,43
2013-06-30 - 2013-07-06,43
2013-07-07 - 2013-07-13,45
2013-07-14 - 2013-07-20,48
2013-07-21 - 2013-07-27,49
2013-07-28 - 2013-08-03,49
2013-08-04 - 2013-08-10,50
2013-08-11 - 2013-08-17,55
2013-08-18 - 2013-08-24,49
2013-08-25 - 2013-08-31,50
2013-09-01 - 2013-09-07,47
2013-09-08 - 2013-09-14,48
2013-09-15 - 2013-09-21,57
2013-09-22 - 2013-09-28,66
2013-09-29 - 2013-10-05,59
2013-10-06 - 2013-10-12,43
2013-10-13 - 2013-10-19,42
2013-10-20 - 2013-10-26,55
2013-10-27 - 2013-11-02,48
2013-11-03 - 2013-11-09,48
2013-11-10 - 2013-11-16,54
2013-11-17 - 2013-11-23,43
2013-11-24 - 2013-11-30,52
2013-12-01 - 2013-12-07,47
2013-12-08 - 2013-12-14,60
2013-12-15 - 2013-12-21,48
2013-12-22 - 2013-12-28,51
2013-12-29 - 2014-01-04,44
2014-01-05 - 2014-01-11,49
2014-01-12 - 2014-01-18,50
2014-01-19 - 2014-01-25,46
2014-01-26 - 2014-02-01,48
2014-02-02 - 2014-02-08,59
2014-02-09 - 2014-02-15,47
2014-02-16 - 2014-02-22,55
2014-02-23 - 2014-03-01,65
2014-03-02 - 2014-03-08,47
2014-03-09 - 2014-03-15,48
2014-03-16 - 2014-03-22,49
2014-03-23 - 2014-03-29,46
2014-03-30 - 2014-04-05,44
2014-04-06 - 2014-04-12,61
2014-04-13 - 2014-04-19,51
2014-04-20 - 2014-04-26,44
2014-04-27 - 2014-05-03,48
2014-05-04 - 2014-05-10,51
2014-05-11 - 2014-05-17,47
2014-05-18 - 2014-05-24,44
2014-05-25 - 2014-05-31,43
2014-06-01 - 2014-06-07,45
2014-06-08 - 2014-06-14,46
2014-06-15 - 2014-06-21,44
2014-06-22 - 2014-06-28,41
2014-06-29 - 2014-07-05,43
2014-07-06 - 2014-07-12,44
2014-07-13 - 2014-07-19,46
2014-07-20 - 2014-07-26,50
2014-07-27 - 2014-08-02,44
2014-08-03 - 2014-08-09,50
2014-08-10 - 2014-08-16,42
2014-08-17 - 2014-08-23,47
2014-08-24 - 2014-08-30,60
2014-08-31 - 2014-09-06,47
2014-09-07 - 2014-09-13,45
2014-09-14 - 2014-09-20,50
2014-09-21 - 2014-09-27,44
2014-09-28 - 2014-10-04,53
2014-10-05 - 2014-10-11,40
2014-10-12 - 2014-10-18,55
2014-10-19 - 2014-10-25,63
2014-10-26 - 2014-11-01,47
2014-11-02 - 2014-11-08,46
2014-11-09 - 2014-11-15,40
2014-11-16 - 2014-11-22,43
2014-11-23 - 2014-11-29,51
2014-11-30 - 2014-12-06,48
2014-12-07 - 2014-12-13,48
2014-12-14 - 2014-12-20,48
2014-12-21 - 2014-12-27,46
2014-12-28 - 2015-01-03,41
2015-01-04 - 2015-01-10,51
2015-01-11 - 2015-01-17,42
2015-01-18 - 2015-01-24,43
2015-01-25 - 2015-01-31,45
2015-02-01 - 2015-02-07,44
2015-02-08 - 2015-02-14,45
2015-02-15 - 2015-02-21,45
2015-02-22 - 2015-02-28,46
2015-03-01 - 2015-03-07,51
2015-03-08 - 2015-03-14,69
2015-03-15 - 2015-03-21,46
2015-03-22 - 2015-03-28,44
2015-03-29 - 2015-04-04,40
2015-04-05 - 2015-04-11,44
2015-04-12 - 2015-04-18,43
2015-04-19 - 2015-04-25,46
2015-04-26 - 2015-05-02,47
2015-05-03 - 2015-05-09,47
2015-05-10 - 2015-05-16,53
2015-05-17 - 2015-05-23,52
2015-05-24 - 2015-05-30,80
2015-05-31 - 2015-06-06,64
2015-06-07 - 2015-06-13,48
2015-06-14 - 2015-06-20,48
2015-06-21 - 2015-06-27,44
2015-06-28 - 2015-07-04,45
2015-07-05 - 2015-07-11,46
2015-07-12 - 2015-07-18,47
2015-07-19 - 2015-07-25,50
2015-07-26 - 2015-08-01,46
2015-08-02 - 2015-08-08,54
2015-08-09 - 2015-08-15,48
2015-08-16 - 2015-08-22,55
2015-08-23 - 2015-08-29,53
2015-08-30 - 2015-09-05,47
2015-09-06 - 2015-09-12,44
2015-09-13 - 2015-09-19,53
2015-09-20 - 2015-09-26,43
2015-09-27 - 2015-10-03,51
2015-10-04 - 2015-10-10,41
2015-10-11 - 2015-10-17,40
2015-10-18 - 2015-10-24,62
2015-10-25 - 2015-10-31,64
2015-11-01 - 2015-11-07,49
2015-11-08 - 2015-11-14,39
2015-11-15 - 2015-11-21,42
2015-11-22 - 2015-11-28,49
2015-11-29 - 2015-12-05,44
2015-12-06 - 2015-12-12,47
2015-12-13 - 2015-12-19,54
2015-12-20 - 2015-12-26,45
2015-12-27 - 2016-01-02,43
2016-01-03 - 2016-01-09,45
2016-01-10 - 2016-01-16,47
2016-01-17 - 2016-01-23,47
2016-01-24 - 2016-01-30,45
2016-01-31 - 2016-02-06,46
2016-02-07 - 2016-02-13,46
2016-02-14 - 2016-02-20,56
2016-02-21 - 2016-02-27,52
2016-02-28 - 2016-03-05,47
2016-03-06 - 2016-03-12,45
2016-03-13 - 2016-03-19,45
2016-03-20 - 2016-03-26,49
2016-03-27 - 2016-04-02,44
2016-04-03 - 2016-04-09,45
2016-04-10 - 2016-04-16,63
2016-04-17 - 2016-04-23,46
2016-04-24 - 2016-04-30,55


Top regions for gs
Region,gs
Turkey,100
South Korea,33
Germany,14
Czech Republic,13
Italy,12
Norway,10
Austria,10
Poland,9
Switzerland,9
Slovakia,8
France,8
United States,8
Hungary,8
Netherlands,8
Greece,8
Japan,7
Romania,7
Kazakhstan,7
Spain,7
South Africa,7
Singapore,7
Belgium,7
Sweden,7
Philippines,6
Indonesia,6
Hong Kong,6
Portugal,6
Denmark,5
Brazil,5
Croatia,5
Canada,5
Vietnam,5
United Arab Emirates,5
India,5
Malaysia,5
Colombia,5
Russia,5
United Kingdom,5
Finland,5
Bulgaria,5
Serbia,4
Australia,4
Thailand,4
Argentina,4
Ukraine,4
Pakistan,4
Taiwan,4
China,4
New Zealand,4
Israel,3
Chile,3
Saudi Arabia,3
Ireland,3
Morocco,3
Peru,3
Iran,3
Mexico,3
Venezuela,2


Top cities for gs
City,gs
Diyarbakır (Turkey),100
Erzurum (Turkey),94
Istanbul (Turkey),86
Gaziantep (Turkey),83
Adana (Turkey),83
Izmir (Turkey),83
Kayseri (Turkey),79
Konya (Turkey),78
Samsun (Turkey),77
İzmit (Turkey),76
Ankara (Turkey),74
Antalya (Turkey),71
Bursa (Turkey),70
Seoul (South Korea),30
Washington (United States),18



Top searches for gs
bmw gs,100
bmw,100
gs maçı,60
gs tv,50
1200 gs,45
fb gs,45
lexus gs,45
lexus,40
nvidia,40
gs store,35
bmw 1200 gs,35
gs scale,35
gs pay scale,30
nvidia geforce,30
galatasaray,30
suzuki,30
gs 500,25
8400 gs,20
fanatik,20
fanatik gs,20
gs tv izle,15
gs bjk,15
bjk,15
bmw gs 650,15
gs 800,15
spor,15
geforce 8400 gs,15
fb gs maçı,15
r 1200 gs,15
bmw gs 800,10
gs haberleri,10
suzuki gs 500,10
gs tv canlı,10
lig tv,10
iphone 3 gs,10
fotomaç,10
lexus gs 350,10
nike gs,10
gs forum,10
bmw moto,10
gs haber,10
fenerbahçe,10
f 800 gs,5
lexus gs 300,5
gs transfer,5
gs org,5
gs 홈쇼핑,5
gs son dakika,5
geforce 7600 gs,5



Rising searches for gs
8400 gs,Breakout
fanatik,Breakout
fanatik gs,Breakout
gs maçı,Breakout
gs tv izle,Breakout
nvidia geforce,+4,800%
nvidia,+4,150%
fb gs,+2,000%
gs store,+1,500%
gs tv,+1,150%



