Web Search interest: ppl
Worldwide 2004 - present

Interest over time
Week,ppl
2009-04-26 - 2009-05-02,36
2009-05-03 - 2009-05-09,35
2009-05-10 - 2009-05-16,34
2009-05-17 - 2009-05-23,33
2009-05-24 - 2009-05-30,33
2009-05-31 - 2009-06-06,33
2009-06-07 - 2009-06-13,35
2009-06-14 - 2009-06-20,36
2009-06-21 - 2009-06-27,34
2009-06-28 - 2009-07-04,34
2009-07-05 - 2009-07-11,36
2009-07-12 - 2009-07-18,36
2009-07-19 - 2009-07-25,36
2009-07-26 - 2009-08-01,36
2009-08-02 - 2009-08-08,37
2009-08-09 - 2009-08-15,37
2009-08-16 - 2009-08-22,38
2009-08-23 - 2009-08-29,36
2009-08-30 - 2009-09-05,36
2009-09-06 - 2009-09-12,36
2009-09-13 - 2009-09-19,36
2009-09-20 - 2009-09-26,36
2009-09-27 - 2009-10-03,35
2009-10-04 - 2009-10-10,36
2009-10-11 - 2009-10-17,37
2009-10-18 - 2009-10-24,36
2009-10-25 - 2009-10-31,36
2009-11-01 - 2009-11-07,36
2009-11-08 - 2009-11-14,36
2009-11-15 - 2009-11-21,37
2009-11-22 - 2009-11-28,34
2009-11-29 - 2009-12-05,39
2009-12-06 - 2009-12-12,38
2009-12-13 - 2009-12-19,38
2009-12-20 - 2009-12-26,34
2009-12-27 - 2010-01-02,41
2010-01-03 - 2010-01-09,42
2010-01-10 - 2010-01-16,41
2010-01-17 - 2010-01-23,39
2010-01-24 - 2010-01-30,38
2010-01-31 - 2010-02-06,40
2010-02-07 - 2010-02-13,38
2010-02-14 - 2010-02-20,37
2010-02-21 - 2010-02-27,39
2010-02-28 - 2010-03-06,38
2010-03-07 - 2010-03-13,37
2010-03-14 - 2010-03-20,37
2010-03-21 - 2010-03-27,37
2010-03-28 - 2010-04-03,38
2010-04-04 - 2010-04-10,39
2010-04-11 - 2010-04-17,38
2010-04-18 - 2010-04-24,37
2010-04-25 - 2010-05-01,39
2010-05-02 - 2010-05-08,38
2010-05-09 - 2010-05-15,39
2010-05-16 - 2010-05-22,36
2010-05-23 - 2010-05-29,37
2010-05-30 - 2010-06-05,36
2010-06-06 - 2010-06-12,38
2010-06-13 - 2010-06-19,37
2010-06-20 - 2010-06-26,38
2010-06-27 - 2010-07-03,42
2010-07-04 - 2010-07-10,41
2010-07-11 - 2010-07-17,43
2010-07-18 - 2010-07-24,43
2010-07-25 - 2010-07-31,43
2010-08-01 - 2010-08-07,43
2010-08-08 - 2010-08-14,44
2010-08-15 - 2010-08-21,42
2010-08-22 - 2010-08-28,41
2010-08-29 - 2010-09-04,41
2010-09-05 - 2010-09-11,40
2010-09-12 - 2010-09-18,38
2010-09-19 - 2010-09-25,41
2010-09-26 - 2010-10-02,41
2010-10-03 - 2010-10-09,40
2010-10-10 - 2010-10-16,41
2010-10-17 - 2010-10-23,38
2010-10-24 - 2010-10-30,37
2010-10-31 - 2010-11-06,40
2010-11-07 - 2010-11-13,39
2010-11-14 - 2010-11-20,39
2010-11-21 - 2010-11-27,35
2010-11-28 - 2010-12-04,37
2010-12-05 - 2010-12-11,38
2010-12-12 - 2010-12-18,41
2010-12-19 - 2010-12-25,36
2010-12-26 - 2011-01-01,39
2011-01-02 - 2011-01-08,42
2011-01-09 - 2011-01-15,41
2011-01-16 - 2011-01-22,40
2011-01-23 - 2011-01-29,41
2011-01-30 - 2011-02-05,42
2011-02-06 - 2011-02-12,40
2011-02-13 - 2011-02-19,40
2011-02-20 - 2011-02-26,39
2011-02-27 - 2011-03-05,41
2011-03-06 - 2011-03-12,40
2011-03-13 - 2011-03-19,39
2011-03-20 - 2011-03-26,43
2011-03-27 - 2011-04-02,39
2011-04-03 - 2011-04-09,42
2011-04-10 - 2011-04-16,43
2011-04-17 - 2011-04-23,42
2011-04-24 - 2011-04-30,42
2011-05-01 - 2011-05-07,40
2011-05-08 - 2011-05-14,42
2011-05-15 - 2011-05-21,42
2011-05-22 - 2011-05-28,44
2011-05-29 - 2011-06-04,43
2011-06-05 - 2011-06-11,42
2011-06-12 - 2011-06-18,42
2011-06-19 - 2011-06-25,43
2011-06-26 - 2011-07-02,41
2011-07-03 - 2011-07-09,43
2011-07-10 - 2011-07-16,43
2011-07-17 - 2011-07-23,45
2011-07-24 - 2011-07-30,44
2011-07-31 - 2011-08-06,43
2011-08-07 - 2011-08-13,43
2011-08-14 - 2011-08-20,44
2011-08-21 - 2011-08-27,40
2011-08-28 - 2011-09-03,63
2011-09-04 - 2011-09-10,43
2011-09-11 - 2011-09-17,42
2011-09-18 - 2011-09-24,40
2011-09-25 - 2011-10-01,41
2011-10-02 - 2011-10-08,42
2011-10-09 - 2011-10-15,40
2011-10-16 - 2011-10-22,40
2011-10-23 - 2011-10-29,46
2011-10-30 - 2011-11-05,60
2011-11-06 - 2011-11-12,38
2011-11-13 - 2011-11-19,39
2011-11-20 - 2011-11-26,37
2011-11-27 - 2011-12-03,38
2011-12-04 - 2011-12-10,39
2011-12-11 - 2011-12-17,38
2011-12-18 - 2011-12-24,37
2011-12-25 - 2011-12-31,37
2012-01-01 - 2012-01-07,41
2012-01-08 - 2012-01-14,39
2012-01-15 - 2012-01-21,40
2012-01-22 - 2012-01-28,40
2012-01-29 - 2012-02-04,40
2012-02-05 - 2012-02-11,38
2012-02-12 - 2012-02-18,38
2012-02-19 - 2012-02-25,40
2012-02-26 - 2012-03-03,39
2012-03-04 - 2012-03-10,38
2012-03-11 - 2012-03-17,38
2012-03-18 - 2012-03-24,41
2012-03-25 - 2012-03-31,39
2012-04-01 - 2012-04-07,41
2012-04-08 - 2012-04-14,39
2012-04-15 - 2012-04-21,40
2012-04-22 - 2012-04-28,38
2012-04-29 - 2012-05-05,38
2012-05-06 - 2012-05-12,39
2012-05-13 - 2012-05-19,40
2012-05-20 - 2012-05-26,40
2012-05-27 - 2012-06-02,41
2012-06-03 - 2012-06-09,40
2012-06-10 - 2012-06-16,40
2012-06-17 - 2012-06-23,39
2012-06-24 - 2012-06-30,41
2012-07-01 - 2012-07-07,42
2012-07-08 - 2012-07-14,45
2012-07-15 - 2012-07-21,44
2012-07-22 - 2012-07-28,49
2012-07-29 - 2012-08-04,42
2012-08-05 - 2012-08-11,41
2012-08-12 - 2012-08-18,43
2012-08-19 - 2012-08-25,41
2012-08-26 - 2012-09-01,45
2012-09-02 - 2012-09-08,42
2012-09-09 - 2012-09-15,40
2012-09-16 - 2012-09-22,40
2012-09-23 - 2012-09-29,39
2012-09-30 - 2012-10-06,41
2012-10-07 - 2012-10-13,39
2012-10-14 - 2012-10-20,38
2012-10-21 - 2012-10-27,40
2012-10-28 - 2012-11-03,100
2012-11-04 - 2012-11-10,41
2012-11-11 - 2012-11-17,37
2012-11-18 - 2012-11-24,34
2012-11-25 - 2012-12-01,36
2012-12-02 - 2012-12-08,36
2012-12-09 - 2012-12-15,37
2012-12-16 - 2012-12-22,37
2012-12-23 - 2012-12-29,35
2012-12-30 - 2013-01-05,37
2013-01-06 - 2013-01-12,37
2013-01-13 - 2013-01-19,37
2013-01-20 - 2013-01-26,38
2013-01-27 - 2013-02-02,39
2013-02-03 - 2013-02-09,38
2013-02-10 - 2013-02-16,38
2013-02-17 - 2013-02-23,37
2013-02-24 - 2013-03-02,38
2013-03-03 - 2013-03-09,38
2013-03-10 - 2013-03-16,36
2013-03-17 - 2013-03-23,40
2013-03-24 - 2013-03-30,38
2013-03-31 - 2013-04-06,38
2013-04-07 - 2013-04-13,37
2013-04-14 - 2013-04-20,38
2013-04-21 - 2013-04-27,37
2013-04-28 - 2013-05-04,36
2013-05-05 - 2013-05-11,36
2013-05-12 - 2013-05-18,37
2013-05-19 - 2013-05-25,37
2013-05-26 - 2013-06-01,38
2013-06-02 - 2013-06-08,38
2013-06-09 - 2013-06-15,40
2013-06-16 - 2013-06-22,39
2013-06-23 - 2013-06-29,42
2013-06-30 - 2013-07-06,39
2013-07-07 - 2013-07-13,41
2013-07-14 - 2013-07-20,41
2013-07-21 - 2013-07-27,42
2013-07-28 - 2013-08-03,40
2013-08-04 - 2013-08-10,39
2013-08-11 - 2013-08-17,41
2013-08-18 - 2013-08-24,41
2013-08-25 - 2013-08-31,43
2013-09-01 - 2013-09-07,40
2013-09-08 - 2013-09-14,42
2013-09-15 - 2013-09-21,38
2013-09-22 - 2013-09-28,37
2013-09-29 - 2013-10-05,39
2013-10-06 - 2013-10-12,37
2013-10-13 - 2013-10-19,38
2013-10-20 - 2013-10-26,39
2013-10-27 - 2013-11-02,38
2013-11-03 - 2013-11-09,41
2013-11-10 - 2013-11-16,38
2013-11-17 - 2013-11-23,38
2013-11-24 - 2013-11-30,37
2013-12-01 - 2013-12-07,37
2013-12-08 - 2013-12-14,38
2013-12-15 - 2013-12-21,38
2013-12-22 - 2013-12-28,35
2013-12-29 - 2014-01-04,39
2014-01-05 - 2014-01-11,44
2014-01-12 - 2014-01-18,41
2014-01-19 - 2014-01-25,42
2014-01-26 - 2014-02-01,41
2014-02-02 - 2014-02-08,50
2014-02-09 - 2014-02-15,41
2014-02-16 - 2014-02-22,41
2014-02-23 - 2014-03-01,44
2014-03-02 - 2014-03-08,42
2014-03-09 - 2014-03-15,43
2014-03-16 - 2014-03-22,44
2014-03-23 - 2014-03-29,43
2014-03-30 - 2014-04-05,43
2014-04-06 - 2014-04-12,42
2014-04-13 - 2014-04-19,42
2014-04-20 - 2014-04-26,43
2014-04-27 - 2014-05-03,43
2014-05-04 - 2014-05-10,41
2014-05-11 - 2014-05-17,43
2014-05-18 - 2014-05-24,45
2014-05-25 - 2014-05-31,46
2014-06-01 - 2014-06-07,48
2014-06-08 - 2014-06-14,48
2014-06-15 - 2014-06-21,45
2014-06-22 - 2014-06-28,47
2014-06-29 - 2014-07-05,47
2014-07-06 - 2014-07-12,54
2014-07-13 - 2014-07-19,50
2014-07-20 - 2014-07-26,47
2014-07-27 - 2014-08-02,46
2014-08-03 - 2014-08-09,48
2014-08-10 - 2014-08-16,47
2014-08-17 - 2014-08-23,48
2014-08-24 - 2014-08-30,47
2014-08-31 - 2014-09-06,47
2014-09-07 - 2014-09-13,49
2014-09-14 - 2014-09-20,50
2014-09-21 - 2014-09-27,45
2014-09-28 - 2014-10-04,49
2014-10-05 - 2014-10-11,48
2014-10-12 - 2014-10-18,49
2014-10-19 - 2014-10-25,48
2014-10-26 - 2014-11-01,45
2014-11-02 - 2014-11-08,46
2014-11-09 - 2014-11-15,45
2014-11-16 - 2014-11-22,43
2014-11-23 - 2014-11-29,43
2014-11-30 - 2014-12-06,44
2014-12-07 - 2014-12-13,46
2014-12-14 - 2014-12-20,45
2014-12-21 - 2014-12-27,41
2014-12-28 - 2015-01-03,44
2015-01-04 - 2015-01-10,48
2015-01-11 - 2015-01-17,47
2015-01-18 - 2015-01-24,46
2015-01-25 - 2015-01-31,46
2015-02-01 - 2015-02-07,46
2015-02-08 - 2015-02-14,47
2015-02-15 - 2015-02-21,47
2015-02-22 - 2015-02-28,48
2015-03-01 - 2015-03-07,48
2015-03-08 - 2015-03-14,49
2015-03-15 - 2015-03-21,47
2015-03-22 - 2015-03-28,50
2015-03-29 - 2015-04-04,49
2015-04-05 - 2015-04-11,49
2015-04-12 - 2015-04-18,47
2015-04-19 - 2015-04-25,49
2015-04-26 - 2015-05-02,46
2015-05-03 - 2015-05-09,46
2015-05-10 - 2015-05-16,48
2015-05-17 - 2015-05-23,48
2015-05-24 - 2015-05-30,47
2015-05-31 - 2015-06-06,53
2015-06-07 - 2015-06-13,50
2015-06-14 - 2015-06-20,50
2015-06-21 - 2015-06-27,51
2015-06-28 - 2015-07-04,53
2015-07-05 - 2015-07-11,51
2015-07-12 - 2015-07-18,50
2015-07-19 - 2015-07-25,55
2015-07-26 - 2015-08-01,53
2015-08-02 - 2015-08-08,51
2015-08-09 - 2015-08-15,59
2015-08-16 - 2015-08-22,51
2015-08-23 - 2015-08-29,49
2015-08-30 - 2015-09-05,48
2015-09-06 - 2015-09-12,50
2015-09-13 - 2015-09-19,49
2015-09-20 - 2015-09-26,52
2015-09-27 - 2015-10-03,50
2015-10-04 - 2015-10-10,50
2015-10-11 - 2015-10-17,48
2015-10-18 - 2015-10-24,47
2015-10-25 - 2015-10-31,49
2015-11-01 - 2015-11-07,49
2015-11-08 - 2015-11-14,48
2015-11-15 - 2015-11-21,48
2015-11-22 - 2015-11-28,45
2015-11-29 - 2015-12-05,49
2015-12-06 - 2015-12-12,46
2015-12-13 - 2015-12-19,48
2015-12-20 - 2015-12-26,48
2015-12-27 - 2016-01-02,50
2016-01-03 - 2016-01-09,52
2016-01-10 - 2016-01-16,51
2016-01-17 - 2016-01-23,51
2016-01-24 - 2016-01-30,49
2016-01-31 - 2016-02-06,51
2016-02-07 - 2016-02-13,50
2016-02-14 - 2016-02-20,49
2016-02-21 - 2016-02-27,50
2016-02-28 - 2016-03-05,50
2016-03-06 - 2016-03-12,48
2016-03-13 - 2016-03-19,49
2016-03-20 - 2016-03-26,47
2016-03-27 - 2016-04-02,50
2016-04-03 - 2016-04-09,54
2016-04-10 - 2016-04-16,49
2016-04-17 - 2016-04-23,48
2016-04-24 - 2016-04-30,51


Top regions for ppl
Region,ppl
Czech Republic,100
Trinidad & Tobago,46
Jamaica,31
Pakistan,29
Malaysia,26
Singapore,22
United States,21
South Africa,17
United Kingdom,13
Canada,13
Indonesia,12
Slovakia,11
Hong Kong,11
Australia,10
Ireland,10
New Zealand,9
United Arab Emirates,9
India,8
South Korea,8
Poland,8
Portugal,7
Nigeria,6
Norway,6
Hungary,6
Sweden,5
China,5
Netherlands,5
Switzerland,5
Austria,4
France,4
Germany,4
Denmark,4
Finland,4
Belgium,3
Philippines,3
Bulgaria,3
Saudi Arabia,3
Taiwan,3
Greece,3
Israel,3
Romania,3
Brazil,3
Egypt,2
Italy,2
Spain,2
Peru,2
Chile,2
Russia,1
Thailand,1
Mexico,1
Argentina,1
Vietnam,1
Turkey,1
Japan,1


Top cities for ppl
City,ppl
Allentown (United States),100
Bethlehem (United States),74
Scranton (United States),58
Lancaster (United States),56
Harrisburg (United States),47
Prague (Czech Republic),11
Philadelphia (United States),9
Karachi (Pakistan),5
Washington (United States),4
Houston (United States),4
Kuala Lumpur (Malaysia),3
Singapore (Singapore),3
New York (United States),2
Dallas (United States),2
Atlanta (United States),2



Top searches for ppl
ppl a,100
ppl electric,75
ppl pa,30
my ppl,30
what is ppl,25
black ppl,25
ppl center,25
ppl rv,25
ppl park,25
ppl motorhomes,20
ppl licence,20
ppl bill pay,15
ppl uk,15
ppl jobs,15
ppl login,15
famous ppl,15
ppl music,15
ppl license,15
ppl training,10
ppl energy,10
fat ppl,10
find ppl,10
ppl search,10
ugi,10
ppl allentown,10
ppl meaning,10
ppl pakistan,10
ppl utilities,10
ppl houston,5
ppl outage,5
ppl careers,5
laporan ppl,5
ppl group,5
ppl stock,5
ugly ppl,5
ppl corporation,5
ppl phone number,5
phony ppl,5
ppl electric utilities,5
open ppl,5
ppl allentown pa,5
ppl center allentown,5
ppl motorhome,5
ppl gold,5



Rising searches for ppl
ppl park,+2,300%
ppl bill pay,+1,150%
ppl center,+600%
black ppl,+400%
my ppl,+350%
what is ppl,+250%
ppl electric,+200%
ppl jobs,+180%
ppl a,+160%
ppl pa,+120%



