Web Search interest: dish
Worldwide 2004 - present

Interest over time
Week,dish
2006-06-18 - 2006-06-24,57
2006-06-25 - 2006-07-01,60
2006-07-02 - 2006-07-08,57
2006-07-09 - 2006-07-15,57
2006-07-16 - 2006-07-22,61
2006-07-23 - 2006-07-29,61
2006-07-30 - 2006-08-05,60
2006-08-06 - 2006-08-12,62
2006-08-13 - 2006-08-19,67
2006-08-20 - 2006-08-26,60
2006-08-27 - 2006-09-02,63
2006-09-03 - 2006-09-09,63
2006-09-10 - 2006-09-16,65
2006-09-17 - 2006-09-23,62
2006-09-24 - 2006-09-30,59
2006-10-01 - 2006-10-07,62
2006-10-08 - 2006-10-14,59
2006-10-15 - 2006-10-21,60
2006-10-22 - 2006-10-28,58
2006-10-29 - 2006-11-04,57
2006-11-05 - 2006-11-11,57
2006-11-12 - 2006-11-18,60
2006-11-19 - 2006-11-25,65
2006-11-26 - 2006-12-02,65
2006-12-03 - 2006-12-09,63
2006-12-10 - 2006-12-16,59
2006-12-17 - 2006-12-23,61
2006-12-24 - 2006-12-30,69
2006-12-31 - 2007-01-06,70
2007-01-07 - 2007-01-13,61
2007-01-14 - 2007-01-20,59
2007-01-21 - 2007-01-27,57
2007-01-28 - 2007-02-03,64
2007-02-04 - 2007-02-10,59
2007-02-11 - 2007-02-17,58
2007-02-18 - 2007-02-24,56
2007-02-25 - 2007-03-03,54
2007-03-04 - 2007-03-10,55
2007-03-11 - 2007-03-17,54
2007-03-18 - 2007-03-24,49
2007-03-25 - 2007-03-31,51
2007-04-01 - 2007-04-07,55
2007-04-08 - 2007-04-14,55
2007-04-15 - 2007-04-21,48
2007-04-22 - 2007-04-28,50
2007-04-29 - 2007-05-05,52
2007-05-06 - 2007-05-12,48
2007-05-13 - 2007-05-19,49
2007-05-20 - 2007-05-26,49
2007-05-27 - 2007-06-02,50
2007-06-03 - 2007-06-09,52
2007-06-10 - 2007-06-16,50
2007-06-17 - 2007-06-23,49
2007-06-24 - 2007-06-30,51
2007-07-01 - 2007-07-07,53
2007-07-08 - 2007-07-14,56
2007-07-15 - 2007-07-21,56
2007-07-22 - 2007-07-28,55
2007-07-29 - 2007-08-04,68
2007-08-05 - 2007-08-11,65
2007-08-12 - 2007-08-18,67
2007-08-19 - 2007-08-25,64
2007-08-26 - 2007-09-01,65
2007-09-02 - 2007-09-08,65
2007-09-09 - 2007-09-15,66
2007-09-16 - 2007-09-22,59
2007-09-23 - 2007-09-29,60
2007-09-30 - 2007-10-06,61
2007-10-07 - 2007-10-13,60
2007-10-14 - 2007-10-20,60
2007-10-21 - 2007-10-27,64
2007-10-28 - 2007-11-03,62
2007-11-04 - 2007-11-10,56
2007-11-11 - 2007-11-17,57
2007-11-18 - 2007-11-24,61
2007-11-25 - 2007-12-01,64
2007-12-02 - 2007-12-08,60
2007-12-09 - 2007-12-15,54
2007-12-16 - 2007-12-22,57
2007-12-23 - 2007-12-29,65
2007-12-30 - 2008-01-05,67
2008-01-06 - 2008-01-12,61
2008-01-13 - 2008-01-19,59
2008-01-20 - 2008-01-26,57
2008-01-27 - 2008-02-02,56
2008-02-03 - 2008-02-09,56
2008-02-10 - 2008-02-16,53
2008-02-17 - 2008-02-23,54
2008-02-24 - 2008-03-01,52
2008-03-02 - 2008-03-08,50
2008-03-09 - 2008-03-15,50
2008-03-16 - 2008-03-22,51
2008-03-23 - 2008-03-29,51
2008-03-30 - 2008-04-05,51
2008-04-06 - 2008-04-12,49
2008-04-13 - 2008-04-19,49
2008-04-20 - 2008-04-26,48
2008-04-27 - 2008-05-03,50
2008-05-04 - 2008-05-10,51
2008-05-11 - 2008-05-17,52
2008-05-18 - 2008-05-24,49
2008-05-25 - 2008-05-31,48
2008-06-01 - 2008-06-07,51
2008-06-08 - 2008-06-14,48
2008-06-15 - 2008-06-21,49
2008-06-22 - 2008-06-28,52
2008-06-29 - 2008-07-05,52
2008-07-06 - 2008-07-12,54
2008-07-13 - 2008-07-19,52
2008-07-20 - 2008-07-26,54
2008-07-27 - 2008-08-02,56
2008-08-03 - 2008-08-09,65
2008-08-10 - 2008-08-16,62
2008-08-17 - 2008-08-23,60
2008-08-24 - 2008-08-30,61
2008-08-31 - 2008-09-06,61
2008-09-07 - 2008-09-13,61
2008-09-14 - 2008-09-20,57
2008-09-21 - 2008-09-27,57
2008-09-28 - 2008-10-04,61
2008-10-05 - 2008-10-11,58
2008-10-12 - 2008-10-18,59
2008-10-19 - 2008-10-25,58
2008-10-26 - 2008-11-01,56
2008-11-02 - 2008-11-08,57
2008-11-09 - 2008-11-15,61
2008-11-16 - 2008-11-22,61
2008-11-23 - 2008-11-29,61
2008-11-30 - 2008-12-06,62
2008-12-07 - 2008-12-13,61
2008-12-14 - 2008-12-20,58
2008-12-21 - 2008-12-27,63
2008-12-28 - 2009-01-03,75
2009-01-04 - 2009-01-10,64
2009-01-11 - 2009-01-17,60
2009-01-18 - 2009-01-24,57
2009-01-25 - 2009-01-31,59
2009-02-01 - 2009-02-07,56
2009-02-08 - 2009-02-14,56
2009-02-15 - 2009-02-21,58
2009-02-22 - 2009-02-28,58
2009-03-01 - 2009-03-07,55
2009-03-08 - 2009-03-14,54
2009-03-15 - 2009-03-21,53
2009-03-22 - 2009-03-28,53
2009-03-29 - 2009-04-04,55
2009-04-05 - 2009-04-11,57
2009-04-12 - 2009-04-18,54
2009-04-19 - 2009-04-25,57
2009-04-26 - 2009-05-02,53
2009-05-03 - 2009-05-09,51
2009-05-10 - 2009-05-16,52
2009-05-17 - 2009-05-23,51
2009-05-24 - 2009-05-30,50
2009-05-31 - 2009-06-06,51
2009-06-07 - 2009-06-13,55
2009-06-14 - 2009-06-20,57
2009-06-21 - 2009-06-27,56
2009-06-28 - 2009-07-04,55
2009-07-05 - 2009-07-11,58
2009-07-12 - 2009-07-18,59
2009-07-19 - 2009-07-25,57
2009-07-26 - 2009-08-01,57
2009-08-02 - 2009-08-08,61
2009-08-09 - 2009-08-15,61
2009-08-16 - 2009-08-22,60
2009-08-23 - 2009-08-29,57
2009-08-30 - 2009-09-05,61
2009-09-06 - 2009-09-12,62
2009-09-13 - 2009-09-19,61
2009-09-20 - 2009-09-26,59
2009-09-27 - 2009-10-03,56
2009-10-04 - 2009-10-10,59
2009-10-11 - 2009-10-17,58
2009-10-18 - 2009-10-24,55
2009-10-25 - 2009-10-31,54
2009-11-01 - 2009-11-07,54
2009-11-08 - 2009-11-14,55
2009-11-15 - 2009-11-21,56
2009-11-22 - 2009-11-28,58
2009-11-29 - 2009-12-05,59
2009-12-06 - 2009-12-12,56
2009-12-13 - 2009-12-19,57
2009-12-20 - 2009-12-26,57
2009-12-27 - 2010-01-02,67
2010-01-03 - 2010-01-09,61
2010-01-10 - 2010-01-16,55
2010-01-17 - 2010-01-23,54
2010-01-24 - 2010-01-30,52
2010-01-31 - 2010-02-06,55
2010-02-07 - 2010-02-13,53
2010-02-14 - 2010-02-20,52
2010-02-21 - 2010-02-27,52
2010-02-28 - 2010-03-06,53
2010-03-07 - 2010-03-13,53
2010-03-14 - 2010-03-20,50
2010-03-21 - 2010-03-27,51
2010-03-28 - 2010-04-03,51
2010-04-04 - 2010-04-10,51
2010-04-11 - 2010-04-17,49
2010-04-18 - 2010-04-24,48
2010-04-25 - 2010-05-01,52
2010-05-02 - 2010-05-08,52
2010-05-09 - 2010-05-15,51
2010-05-16 - 2010-05-22,50
2010-05-23 - 2010-05-29,50
2010-05-30 - 2010-06-05,51
2010-06-06 - 2010-06-12,59
2010-06-13 - 2010-06-19,56
2010-06-20 - 2010-06-26,55
2010-06-27 - 2010-07-03,56
2010-07-04 - 2010-07-10,56
2010-07-11 - 2010-07-17,58
2010-07-18 - 2010-07-24,57
2010-07-25 - 2010-07-31,59
2010-08-01 - 2010-08-07,60
2010-08-08 - 2010-08-14,61
2010-08-15 - 2010-08-21,60
2010-08-22 - 2010-08-28,58
2010-08-29 - 2010-09-04,62
2010-09-05 - 2010-09-11,61
2010-09-12 - 2010-09-18,60
2010-09-19 - 2010-09-25,59
2010-09-26 - 2010-10-02,61
2010-10-03 - 2010-10-09,68
2010-10-10 - 2010-10-16,62
2010-10-17 - 2010-10-23,62
2010-10-24 - 2010-10-30,62
2010-10-31 - 2010-11-06,59
2010-11-07 - 2010-11-13,58
2010-11-14 - 2010-11-20,59
2010-11-21 - 2010-11-27,61
2010-11-28 - 2010-12-04,60
2010-12-05 - 2010-12-11,57
2010-12-12 - 2010-12-18,59
2010-12-19 - 2010-12-25,61
2010-12-26 - 2011-01-01,71
2011-01-02 - 2011-01-08,65
2011-01-09 - 2011-01-15,61
2011-01-16 - 2011-01-22,56
2011-01-23 - 2011-01-29,55
2011-01-30 - 2011-02-05,59
2011-02-06 - 2011-02-12,57
2011-02-13 - 2011-02-19,58
2011-02-20 - 2011-02-26,59
2011-02-27 - 2011-03-05,58
2011-03-06 - 2011-03-12,57
2011-03-13 - 2011-03-19,53
2011-03-20 - 2011-03-26,54
2011-03-27 - 2011-04-02,56
2011-04-03 - 2011-04-09,60
2011-04-10 - 2011-04-16,55
2011-04-17 - 2011-04-23,58
2011-04-24 - 2011-04-30,56
2011-05-01 - 2011-05-07,56
2011-05-08 - 2011-05-14,53
2011-05-15 - 2011-05-21,52
2011-05-22 - 2011-05-28,52
2011-05-29 - 2011-06-04,53
2011-06-05 - 2011-06-11,53
2011-06-12 - 2011-06-18,53
2011-06-19 - 2011-06-25,53
2011-06-26 - 2011-07-02,55
2011-07-03 - 2011-07-09,54
2011-07-10 - 2011-07-16,55
2011-07-17 - 2011-07-23,56
2011-07-24 - 2011-07-30,58
2011-07-31 - 2011-08-06,57
2011-08-07 - 2011-08-13,58
2011-08-14 - 2011-08-20,60
2011-08-21 - 2011-08-27,57
2011-08-28 - 2011-09-03,61
2011-09-04 - 2011-09-10,59
2011-09-11 - 2011-09-17,73
2011-09-18 - 2011-09-24,61
2011-09-25 - 2011-10-01,59
2011-10-02 - 2011-10-08,60
2011-10-09 - 2011-10-15,60
2011-10-16 - 2011-10-22,58
2011-10-23 - 2011-10-29,58
2011-10-30 - 2011-11-05,59
2011-11-06 - 2011-11-12,61
2011-11-13 - 2011-11-19,64
2011-11-20 - 2011-11-26,62
2011-11-27 - 2011-12-03,62
2011-12-04 - 2011-12-10,60
2011-12-11 - 2011-12-17,59
2011-12-18 - 2011-12-24,62
2011-12-25 - 2011-12-31,66
2012-01-01 - 2012-01-07,65
2012-01-08 - 2012-01-14,60
2012-01-15 - 2012-01-21,60
2012-01-22 - 2012-01-28,60
2012-01-29 - 2012-02-04,60
2012-02-05 - 2012-02-11,62
2012-02-12 - 2012-02-18,59
2012-02-19 - 2012-02-25,60
2012-02-26 - 2012-03-03,58
2012-03-04 - 2012-03-10,56
2012-03-11 - 2012-03-17,58
2012-03-18 - 2012-03-24,57
2012-03-25 - 2012-03-31,56
2012-04-01 - 2012-04-07,61
2012-04-08 - 2012-04-14,57
2012-04-15 - 2012-04-21,55
2012-04-22 - 2012-04-28,54
2012-04-29 - 2012-05-05,58
2012-05-06 - 2012-05-12,55
2012-05-13 - 2012-05-19,56
2012-05-20 - 2012-05-26,55
2012-05-27 - 2012-06-02,56
2012-06-03 - 2012-06-09,64
2012-06-10 - 2012-06-16,61
2012-06-17 - 2012-06-23,60
2012-06-24 - 2012-06-30,61
2012-07-01 - 2012-07-07,63
2012-07-08 - 2012-07-14,70
2012-07-15 - 2012-07-21,68
2012-07-22 - 2012-07-28,67
2012-07-29 - 2012-08-04,66
2012-08-05 - 2012-08-11,65
2012-08-12 - 2012-08-18,68
2012-08-19 - 2012-08-25,65
2012-08-26 - 2012-09-01,68
2012-09-02 - 2012-09-08,69
2012-09-09 - 2012-09-15,71
2012-09-16 - 2012-09-22,71
2012-09-23 - 2012-09-29,66
2012-09-30 - 2012-10-06,69
2012-10-07 - 2012-10-13,69
2012-10-14 - 2012-10-20,69
2012-10-21 - 2012-10-27,68
2012-10-28 - 2012-11-03,65
2012-11-04 - 2012-11-10,66
2012-11-11 - 2012-11-17,63
2012-11-18 - 2012-11-24,70
2012-11-25 - 2012-12-01,64
2012-12-02 - 2012-12-08,64
2012-12-09 - 2012-12-15,62
2012-12-16 - 2012-12-22,61
2012-12-23 - 2012-12-29,68
2012-12-30 - 2013-01-05,72
2013-01-06 - 2013-01-12,65
2013-01-13 - 2013-01-19,65
2013-01-20 - 2013-01-26,61
2013-01-27 - 2013-02-02,63
2013-02-03 - 2013-02-09,62
2013-02-10 - 2013-02-16,61
2013-02-17 - 2013-02-23,61
2013-02-24 - 2013-03-02,63
2013-03-03 - 2013-03-09,62
2013-03-10 - 2013-03-16,60
2013-03-17 - 2013-03-23,61
2013-03-24 - 2013-03-30,63
2013-03-31 - 2013-04-06,64
2013-04-07 - 2013-04-13,60
2013-04-14 - 2013-04-20,61
2013-04-21 - 2013-04-27,59
2013-04-28 - 2013-05-04,61
2013-05-05 - 2013-05-11,60
2013-05-12 - 2013-05-18,57
2013-05-19 - 2013-05-25,59
2013-05-26 - 2013-06-01,64
2013-06-02 - 2013-06-08,65
2013-06-09 - 2013-06-15,63
2013-06-16 - 2013-06-22,63
2013-06-23 - 2013-06-29,64
2013-06-30 - 2013-07-06,64
2013-07-07 - 2013-07-13,64
2013-07-14 - 2013-07-20,65
2013-07-21 - 2013-07-27,64
2013-07-28 - 2013-08-03,72
2013-08-04 - 2013-08-10,72
2013-08-11 - 2013-08-17,74
2013-08-18 - 2013-08-24,68
2013-08-25 - 2013-08-31,70
2013-09-01 - 2013-09-07,72
2013-09-08 - 2013-09-14,73
2013-09-15 - 2013-09-21,68
2013-09-22 - 2013-09-28,65
2013-09-29 - 2013-10-05,70
2013-10-06 - 2013-10-12,68
2013-10-13 - 2013-10-19,70
2013-10-20 - 2013-10-26,65
2013-10-27 - 2013-11-02,64
2013-11-03 - 2013-11-09,65
2013-11-10 - 2013-11-16,67
2013-11-17 - 2013-11-23,68
2013-11-24 - 2013-11-30,71
2013-12-01 - 2013-12-07,68
2013-12-08 - 2013-12-14,66
2013-12-15 - 2013-12-21,66
2013-12-22 - 2013-12-28,74
2013-12-29 - 2014-01-04,77
2014-01-05 - 2014-01-11,69
2014-01-12 - 2014-01-18,66
2014-01-19 - 2014-01-25,65
2014-01-26 - 2014-02-01,65
2014-02-02 - 2014-02-08,68
2014-02-09 - 2014-02-15,66
2014-02-16 - 2014-02-22,64
2014-02-23 - 2014-03-01,64
2014-03-02 - 2014-03-08,66
2014-03-09 - 2014-03-15,62
2014-03-16 - 2014-03-22,65
2014-03-23 - 2014-03-29,65
2014-03-30 - 2014-04-05,65
2014-04-06 - 2014-04-12,65
2014-04-13 - 2014-04-19,65
2014-04-20 - 2014-04-26,61
2014-04-27 - 2014-05-03,62
2014-05-04 - 2014-05-10,61
2014-05-11 - 2014-05-17,60
2014-05-18 - 2014-05-24,59
2014-05-25 - 2014-05-31,59
2014-06-01 - 2014-06-07,62
2014-06-08 - 2014-06-14,66
2014-06-15 - 2014-06-21,63
2014-06-22 - 2014-06-28,64
2014-06-29 - 2014-07-05,65
2014-07-06 - 2014-07-12,67
2014-07-13 - 2014-07-19,67
2014-07-20 - 2014-07-26,65
2014-07-27 - 2014-08-02,66
2014-08-03 - 2014-08-09,69
2014-08-10 - 2014-08-16,69
2014-08-17 - 2014-08-23,67
2014-08-24 - 2014-08-30,72
2014-08-31 - 2014-09-06,69
2014-09-07 - 2014-09-13,68
2014-09-14 - 2014-09-20,65
2014-09-21 - 2014-09-27,66
2014-09-28 - 2014-10-04,69
2014-10-05 - 2014-10-11,70
2014-10-12 - 2014-10-18,69
2014-10-19 - 2014-10-25,79
2014-10-26 - 2014-11-01,74
2014-11-02 - 2014-11-08,79
2014-11-09 - 2014-11-15,73
2014-11-16 - 2014-11-22,78
2014-11-23 - 2014-11-29,78
2014-11-30 - 2014-12-06,75
2014-12-07 - 2014-12-13,70
2014-12-14 - 2014-12-20,70
2014-12-21 - 2014-12-27,89
2014-12-28 - 2015-01-03,89
2015-01-04 - 2015-01-10,85
2015-01-11 - 2015-01-17,81
2015-01-18 - 2015-01-24,71
2015-01-25 - 2015-01-31,70
2015-02-01 - 2015-02-07,68
2015-02-08 - 2015-02-14,69
2015-02-15 - 2015-02-21,71
2015-02-22 - 2015-02-28,68
2015-03-01 - 2015-03-07,68
2015-03-08 - 2015-03-14,66
2015-03-15 - 2015-03-21,66
2015-03-22 - 2015-03-28,63
2015-03-29 - 2015-04-04,68
2015-04-05 - 2015-04-11,69
2015-04-12 - 2015-04-18,65
2015-04-19 - 2015-04-25,65
2015-04-26 - 2015-05-02,69
2015-05-03 - 2015-05-09,66
2015-05-10 - 2015-05-16,63
2015-05-17 - 2015-05-23,61
2015-05-24 - 2015-05-30,62
2015-05-31 - 2015-06-06,65
2015-06-07 - 2015-06-13,62
2015-06-14 - 2015-06-20,65
2015-06-21 - 2015-06-27,62
2015-06-28 - 2015-07-04,65
2015-07-05 - 2015-07-11,64
2015-07-12 - 2015-07-18,64
2015-07-19 - 2015-07-25,63
2015-07-26 - 2015-08-01,64
2015-08-02 - 2015-08-08,69
2015-08-09 - 2015-08-15,68
2015-08-16 - 2015-08-22,67
2015-08-23 - 2015-08-29,66
2015-08-30 - 2015-09-05,73
2015-09-06 - 2015-09-12,69
2015-09-13 - 2015-09-19,70
2015-09-20 - 2015-09-26,69
2015-09-27 - 2015-10-03,70
2015-10-04 - 2015-10-10,72
2015-10-11 - 2015-10-17,74
2015-10-18 - 2015-10-24,70
2015-10-25 - 2015-10-31,69
2015-11-01 - 2015-11-07,71
2015-11-08 - 2015-11-14,70
2015-11-15 - 2015-11-21,74
2015-11-22 - 2015-11-28,75
2015-11-29 - 2015-12-05,72
2015-12-06 - 2015-12-12,69
2015-12-13 - 2015-12-19,71
2015-12-20 - 2015-12-26,77
2015-12-27 - 2016-01-02,83
2016-01-03 - 2016-01-09,77
2016-01-10 - 2016-01-16,74
2016-01-17 - 2016-01-23,74
2016-01-24 - 2016-01-30,73
2016-01-31 - 2016-02-06,74
2016-02-07 - 2016-02-13,69
2016-02-14 - 2016-02-20,69
2016-02-21 - 2016-02-27,68
2016-02-28 - 2016-03-05,70
2016-03-06 - 2016-03-12,69
2016-03-13 - 2016-03-19,71
2016-03-20 - 2016-03-26,69
2016-03-27 - 2016-04-02,69
2016-04-03 - 2016-04-09,70
2016-04-10 - 2016-04-16,66
2016-04-17 - 2016-04-23,68
2016-04-24 - 2016-04-30,75


Top regions for dish
Region,dish
Puerto Rico,100
United States,70
Mexico,51
Oman,49
India,48
United Arab Emirates,37
Pakistan,26
Canada,26
New Zealand,24
Philippines,20
Australia,18
South Africa,18
United Kingdom,17
Singapore,17
Ireland,15
Bolivia,14
Malaysia,8
Saudi Arabia,4
Netherlands,3
Indonesia,3
Sweden,3
France,2
Thailand,2
Japan,2
Germany,2
Spain,1
Italy,1
Poland,1
Brazil,1


Top cities for dish
City,dish
Denver (United States),100
Dallas (United States),99
Atlanta (United States),95
Charlotte (United States),90
Houston (United States),88
Minneapolis (United States),86
Chicago (United States),86
Portland (United States),83
San Antonio (United States),82
Phoenix (United States),79
San Francisco (United States),75
Austin (United States),75
Seattle (United States),72
Los Angeles (United States),71
Monterrey (Mexico),70



Top searches for dish
dish network,100
dish tv,50
the dish,20
satellite dish,10
satellite,10
my dish,10
direct tv,10
dish internet,5
dish tv recharge,5
dish online,5
dish channels,5
dish cable,5
dish login,5
petri dish,5
dish network internet,5
directv,5
chicken dish,5
dish customer service,5
the dish network,5
dish network number,5
dish washer,5
dish network login,5
dish packages,5
side dish recipes,5
dish network channels,5
main dish,0
casserole dish,0
dish darden,0
airtel dish tv,0
dish latino,0
dish mexico,0
dish anywhere,0
fish dish,0
program dish remote,0
dish phone number,0
dish rack,0
dish movil,0
dish network guide,0
my dish network,0
dish tv india,0
butter dish,0
dish remote codes,0
daily dish,0
dish restaurant,0
tata sky,0
dish olive garden,0
chafing dish,0
dish tv packages,0
dish hopper,0
dish network packages,0



Rising searches for dish
dish login,Breakout
dish tv recharge,Breakout
dish customer service,+1,450%
dish network number,+600%
my dish,+450%
dish online,+300%
petri dish,+130%
chicken dish,+100%
dish network internet,+80%
dish internet,+60%



