Web Search interest: ci
Worldwide 2004 - present

Interest over time
Week,ci
2007-09-23 - 2007-09-29,65
2007-09-30 - 2007-10-06,64
2007-10-07 - 2007-10-13,65
2007-10-14 - 2007-10-20,69
2007-10-21 - 2007-10-27,63
2007-10-28 - 2007-11-03,67
2007-11-04 - 2007-11-10,67
2007-11-11 - 2007-11-17,66
2007-11-18 - 2007-11-24,70
2007-11-25 - 2007-12-01,69
2007-12-02 - 2007-12-08,67
2007-12-09 - 2007-12-15,65
2007-12-16 - 2007-12-22,66
2007-12-23 - 2007-12-29,64
2007-12-30 - 2008-01-05,65
2008-01-06 - 2008-01-12,66
2008-01-13 - 2008-01-19,66
2008-01-20 - 2008-01-26,63
2008-01-27 - 2008-02-02,67
2008-02-03 - 2008-02-09,69
2008-02-10 - 2008-02-16,68
2008-02-17 - 2008-02-23,66
2008-02-24 - 2008-03-01,73
2008-03-02 - 2008-03-08,66
2008-03-09 - 2008-03-15,66
2008-03-16 - 2008-03-22,69
2008-03-23 - 2008-03-29,68
2008-03-30 - 2008-04-05,69
2008-04-06 - 2008-04-12,68
2008-04-13 - 2008-04-19,71
2008-04-20 - 2008-04-26,67
2008-04-27 - 2008-05-03,65
2008-05-04 - 2008-05-10,70
2008-05-11 - 2008-05-17,69
2008-05-18 - 2008-05-24,71
2008-05-25 - 2008-05-31,74
2008-06-01 - 2008-06-07,72
2008-06-08 - 2008-06-14,77
2008-06-15 - 2008-06-21,73
2008-06-22 - 2008-06-28,69
2008-06-29 - 2008-07-05,68
2008-07-06 - 2008-07-12,68
2008-07-13 - 2008-07-19,69
2008-07-20 - 2008-07-26,67
2008-07-27 - 2008-08-02,66
2008-08-03 - 2008-08-09,65
2008-08-10 - 2008-08-16,63
2008-08-17 - 2008-08-23,67
2008-08-24 - 2008-08-30,73
2008-08-31 - 2008-09-06,71
2008-09-07 - 2008-09-13,71
2008-09-14 - 2008-09-20,72
2008-09-21 - 2008-09-27,75
2008-09-28 - 2008-10-04,77
2008-10-05 - 2008-10-11,73
2008-10-12 - 2008-10-18,74
2008-10-19 - 2008-10-25,75
2008-10-26 - 2008-11-01,78
2008-11-02 - 2008-11-08,74
2008-11-09 - 2008-11-15,73
2008-11-16 - 2008-11-22,72
2008-11-23 - 2008-11-29,73
2008-11-30 - 2008-12-06,72
2008-12-07 - 2008-12-13,70
2008-12-14 - 2008-12-20,71
2008-12-21 - 2008-12-27,70
2008-12-28 - 2009-01-03,69
2009-01-04 - 2009-01-10,71
2009-01-11 - 2009-01-17,73
2009-01-18 - 2009-01-24,75
2009-01-25 - 2009-01-31,74
2009-02-01 - 2009-02-07,75
2009-02-08 - 2009-02-14,74
2009-02-15 - 2009-02-21,74
2009-02-22 - 2009-02-28,74
2009-03-01 - 2009-03-07,77
2009-03-08 - 2009-03-14,76
2009-03-15 - 2009-03-21,79
2009-03-22 - 2009-03-28,78
2009-03-29 - 2009-04-04,75
2009-04-05 - 2009-04-11,77
2009-04-12 - 2009-04-18,75
2009-04-19 - 2009-04-25,82
2009-04-26 - 2009-05-02,80
2009-05-03 - 2009-05-09,82
2009-05-10 - 2009-05-16,82
2009-05-17 - 2009-05-23,79
2009-05-24 - 2009-05-30,79
2009-05-31 - 2009-06-06,78
2009-06-07 - 2009-06-13,80
2009-06-14 - 2009-06-20,77
2009-06-21 - 2009-06-27,77
2009-06-28 - 2009-07-04,77
2009-07-05 - 2009-07-11,74
2009-07-12 - 2009-07-18,73
2009-07-19 - 2009-07-25,74
2009-07-26 - 2009-08-01,74
2009-08-02 - 2009-08-08,73
2009-08-09 - 2009-08-15,72
2009-08-16 - 2009-08-22,72
2009-08-23 - 2009-08-29,76
2009-08-30 - 2009-09-05,80
2009-09-06 - 2009-09-12,80
2009-09-13 - 2009-09-19,80
2009-09-20 - 2009-09-26,81
2009-09-27 - 2009-10-03,80
2009-10-04 - 2009-10-10,79
2009-10-11 - 2009-10-17,82
2009-10-18 - 2009-10-24,80
2009-10-25 - 2009-10-31,81
2009-11-01 - 2009-11-07,80
2009-11-08 - 2009-11-14,79
2009-11-15 - 2009-11-21,82
2009-11-22 - 2009-11-28,83
2009-11-29 - 2009-12-05,82
2009-12-06 - 2009-12-12,78
2009-12-13 - 2009-12-19,78
2009-12-20 - 2009-12-26,76
2009-12-27 - 2010-01-02,81
2010-01-03 - 2010-01-09,82
2010-01-10 - 2010-01-16,81
2010-01-17 - 2010-01-23,81
2010-01-24 - 2010-01-30,82
2010-01-31 - 2010-02-06,83
2010-02-07 - 2010-02-13,84
2010-02-14 - 2010-02-20,82
2010-02-21 - 2010-02-27,81
2010-02-28 - 2010-03-06,85
2010-03-07 - 2010-03-13,86
2010-03-14 - 2010-03-20,83
2010-03-21 - 2010-03-27,82
2010-03-28 - 2010-04-03,83
2010-04-04 - 2010-04-10,84
2010-04-11 - 2010-04-17,84
2010-04-18 - 2010-04-24,83
2010-04-25 - 2010-05-01,83
2010-05-02 - 2010-05-08,86
2010-05-09 - 2010-05-15,92
2010-05-16 - 2010-05-22,89
2010-05-23 - 2010-05-29,88
2010-05-30 - 2010-06-05,92
2010-06-06 - 2010-06-12,89
2010-06-13 - 2010-06-19,87
2010-06-20 - 2010-06-26,86
2010-06-27 - 2010-07-03,81
2010-07-04 - 2010-07-10,79
2010-07-11 - 2010-07-17,79
2010-07-18 - 2010-07-24,80
2010-07-25 - 2010-07-31,78
2010-08-01 - 2010-08-07,78
2010-08-08 - 2010-08-14,74
2010-08-15 - 2010-08-21,75
2010-08-22 - 2010-08-28,80
2010-08-29 - 2010-09-04,85
2010-09-05 - 2010-09-11,89
2010-09-12 - 2010-09-18,84
2010-09-19 - 2010-09-25,85
2010-09-26 - 2010-10-02,86
2010-10-03 - 2010-10-09,86
2010-10-10 - 2010-10-16,84
2010-10-17 - 2010-10-23,86
2010-10-24 - 2010-10-30,84
2010-10-31 - 2010-11-06,88
2010-11-07 - 2010-11-13,85
2010-11-14 - 2010-11-20,87
2010-11-21 - 2010-11-27,89
2010-11-28 - 2010-12-04,91
2010-12-05 - 2010-12-11,93
2010-12-12 - 2010-12-18,93
2010-12-19 - 2010-12-25,91
2010-12-26 - 2011-01-01,89
2011-01-02 - 2011-01-08,93
2011-01-09 - 2011-01-15,91
2011-01-16 - 2011-01-22,92
2011-01-23 - 2011-01-29,90
2011-01-30 - 2011-02-05,91
2011-02-06 - 2011-02-12,89
2011-02-13 - 2011-02-19,93
2011-02-20 - 2011-02-26,91
2011-02-27 - 2011-03-05,91
2011-03-06 - 2011-03-12,86
2011-03-13 - 2011-03-19,87
2011-03-20 - 2011-03-26,88
2011-03-27 - 2011-04-02,89
2011-04-03 - 2011-04-09,85
2011-04-10 - 2011-04-16,88
2011-04-17 - 2011-04-23,84
2011-04-24 - 2011-04-30,82
2011-05-01 - 2011-05-07,85
2011-05-08 - 2011-05-14,85
2011-05-15 - 2011-05-21,86
2011-05-22 - 2011-05-28,86
2011-05-29 - 2011-06-04,84
2011-06-05 - 2011-06-11,87
2011-06-12 - 2011-06-18,83
2011-06-19 - 2011-06-25,85
2011-06-26 - 2011-07-02,82
2011-07-03 - 2011-07-09,83
2011-07-10 - 2011-07-16,83
2011-07-17 - 2011-07-23,85
2011-07-24 - 2011-07-30,84
2011-07-31 - 2011-08-06,83
2011-08-07 - 2011-08-13,80
2011-08-14 - 2011-08-20,75
2011-08-21 - 2011-08-27,81
2011-08-28 - 2011-09-03,87
2011-09-04 - 2011-09-10,88
2011-09-11 - 2011-09-17,86
2011-09-18 - 2011-09-24,88
2011-09-25 - 2011-10-01,85
2011-10-02 - 2011-10-08,88
2011-10-09 - 2011-10-15,87
2011-10-16 - 2011-10-22,85
2011-10-23 - 2011-10-29,86
2011-10-30 - 2011-11-05,88
2011-11-06 - 2011-11-12,88
2011-11-13 - 2011-11-19,94
2011-11-20 - 2011-11-26,96
2011-11-27 - 2011-12-03,94
2011-12-04 - 2011-12-10,95
2011-12-11 - 2011-12-17,92
2011-12-18 - 2011-12-24,88
2011-12-25 - 2011-12-31,90
2012-01-01 - 2012-01-07,95
2012-01-08 - 2012-01-14,97
2012-01-15 - 2012-01-21,94
2012-01-22 - 2012-01-28,100
2012-01-29 - 2012-02-04,95
2012-02-05 - 2012-02-11,93
2012-02-12 - 2012-02-18,93
2012-02-19 - 2012-02-25,93
2012-02-26 - 2012-03-03,90
2012-03-04 - 2012-03-10,88
2012-03-11 - 2012-03-17,87
2012-03-18 - 2012-03-24,89
2012-03-25 - 2012-03-31,87
2012-04-01 - 2012-04-07,87
2012-04-08 - 2012-04-14,86
2012-04-15 - 2012-04-21,88
2012-04-22 - 2012-04-28,84
2012-04-29 - 2012-05-05,85
2012-05-06 - 2012-05-12,86
2012-05-13 - 2012-05-19,85
2012-05-20 - 2012-05-26,88
2012-05-27 - 2012-06-02,86
2012-06-03 - 2012-06-09,84
2012-06-10 - 2012-06-16,82
2012-06-17 - 2012-06-23,82
2012-06-24 - 2012-06-30,81
2012-07-01 - 2012-07-07,77
2012-07-08 - 2012-07-14,78
2012-07-15 - 2012-07-21,79
2012-07-22 - 2012-07-28,81
2012-07-29 - 2012-08-04,77
2012-08-05 - 2012-08-11,76
2012-08-12 - 2012-08-18,74
2012-08-19 - 2012-08-25,81
2012-08-26 - 2012-09-01,84
2012-09-02 - 2012-09-08,88
2012-09-09 - 2012-09-15,85
2012-09-16 - 2012-09-22,86
2012-09-23 - 2012-09-29,85
2012-09-30 - 2012-10-06,83
2012-10-07 - 2012-10-13,82
2012-10-14 - 2012-10-20,83
2012-10-21 - 2012-10-27,84
2012-10-28 - 2012-11-03,82
2012-11-04 - 2012-11-10,91
2012-11-11 - 2012-11-17,91
2012-11-18 - 2012-11-24,91
2012-11-25 - 2012-12-01,91
2012-12-02 - 2012-12-08,86
2012-12-09 - 2012-12-15,84
2012-12-16 - 2012-12-22,84
2012-12-23 - 2012-12-29,79
2012-12-30 - 2013-01-05,81
2013-01-06 - 2013-01-12,83
2013-01-13 - 2013-01-19,87
2013-01-20 - 2013-01-26,84
2013-01-27 - 2013-02-02,81
2013-02-03 - 2013-02-09,82
2013-02-10 - 2013-02-16,84
2013-02-17 - 2013-02-23,87
2013-02-24 - 2013-03-02,84
2013-03-03 - 2013-03-09,87
2013-03-10 - 2013-03-16,88
2013-03-17 - 2013-03-23,88
2013-03-24 - 2013-03-30,88
2013-03-31 - 2013-04-06,96
2013-04-07 - 2013-04-13,89
2013-04-14 - 2013-04-20,83
2013-04-21 - 2013-04-27,83
2013-04-28 - 2013-05-04,83
2013-05-05 - 2013-05-11,83
2013-05-12 - 2013-05-18,80
2013-05-19 - 2013-05-25,83
2013-05-26 - 2013-06-01,83
2013-06-02 - 2013-06-08,79
2013-06-09 - 2013-06-15,78
2013-06-16 - 2013-06-22,78
2013-06-23 - 2013-06-29,78
2013-06-30 - 2013-07-06,78
2013-07-07 - 2013-07-13,79
2013-07-14 - 2013-07-20,78
2013-07-21 - 2013-07-27,78
2013-07-28 - 2013-08-03,77
2013-08-04 - 2013-08-10,77
2013-08-11 - 2013-08-17,75
2013-08-18 - 2013-08-24,80
2013-08-25 - 2013-08-31,80
2013-09-01 - 2013-09-07,82
2013-09-08 - 2013-09-14,81
2013-09-15 - 2013-09-21,81
2013-09-22 - 2013-09-28,83
2013-09-29 - 2013-10-05,83
2013-10-06 - 2013-10-12,81
2013-10-13 - 2013-10-19,83
2013-10-20 - 2013-10-26,86
2013-10-27 - 2013-11-02,88
2013-11-03 - 2013-11-09,93
2013-11-10 - 2013-11-16,94
2013-11-17 - 2013-11-23,98
2013-11-24 - 2013-11-30,96
2013-12-01 - 2013-12-07,88
2013-12-08 - 2013-12-14,88
2013-12-15 - 2013-12-21,87
2013-12-22 - 2013-12-28,84
2013-12-29 - 2014-01-04,85
2014-01-05 - 2014-01-11,88
2014-01-12 - 2014-01-18,90
2014-01-19 - 2014-01-25,87
2014-01-26 - 2014-02-01,87
2014-02-02 - 2014-02-08,86
2014-02-09 - 2014-02-15,84
2014-02-16 - 2014-02-22,83
2014-02-23 - 2014-03-01,84
2014-03-02 - 2014-03-08,84
2014-03-09 - 2014-03-15,81
2014-03-16 - 2014-03-22,83
2014-03-23 - 2014-03-29,86
2014-03-30 - 2014-04-05,84
2014-04-06 - 2014-04-12,86
2014-04-13 - 2014-04-19,82
2014-04-20 - 2014-04-26,80
2014-04-27 - 2014-05-03,81
2014-05-04 - 2014-05-10,85
2014-05-11 - 2014-05-17,84
2014-05-18 - 2014-05-24,84
2014-05-25 - 2014-05-31,81
2014-06-01 - 2014-06-07,84
2014-06-08 - 2014-06-14,83
2014-06-15 - 2014-06-21,84
2014-06-22 - 2014-06-28,82
2014-06-29 - 2014-07-05,81
2014-07-06 - 2014-07-12,80
2014-07-13 - 2014-07-19,81
2014-07-20 - 2014-07-26,82
2014-07-27 - 2014-08-02,81
2014-08-03 - 2014-08-09,81
2014-08-10 - 2014-08-16,75
2014-08-17 - 2014-08-23,82
2014-08-24 - 2014-08-30,84
2014-08-31 - 2014-09-06,86
2014-09-07 - 2014-09-13,85
2014-09-14 - 2014-09-20,85
2014-09-21 - 2014-09-27,92
2014-09-28 - 2014-10-04,92
2014-10-05 - 2014-10-11,89
2014-10-12 - 2014-10-18,88
2014-10-19 - 2014-10-25,89
2014-10-26 - 2014-11-01,88
2014-11-02 - 2014-11-08,92
2014-11-09 - 2014-11-15,93
2014-11-16 - 2014-11-22,96
2014-11-23 - 2014-11-29,98
2014-11-30 - 2014-12-06,98
2014-12-07 - 2014-12-13,94
2014-12-14 - 2014-12-20,92
2014-12-21 - 2014-12-27,85
2014-12-28 - 2015-01-03,87
2015-01-04 - 2015-01-10,89
2015-01-11 - 2015-01-17,90
2015-01-18 - 2015-01-24,88
2015-01-25 - 2015-01-31,88
2015-02-01 - 2015-02-07,87
2015-02-08 - 2015-02-14,86
2015-02-15 - 2015-02-21,85
2015-02-22 - 2015-02-28,84
2015-03-01 - 2015-03-07,86
2015-03-08 - 2015-03-14,84
2015-03-15 - 2015-03-21,84
2015-03-22 - 2015-03-28,84
2015-03-29 - 2015-04-04,83
2015-04-05 - 2015-04-11,82
2015-04-12 - 2015-04-18,83
2015-04-19 - 2015-04-25,83
2015-04-26 - 2015-05-02,83
2015-05-03 - 2015-05-09,81
2015-05-10 - 2015-05-16,83
2015-05-17 - 2015-05-23,84
2015-05-24 - 2015-05-30,82
2015-05-31 - 2015-06-06,83
2015-06-07 - 2015-06-13,83
2015-06-14 - 2015-06-20,82
2015-06-21 - 2015-06-27,82
2015-06-28 - 2015-07-04,83
2015-07-05 - 2015-07-11,82
2015-07-12 - 2015-07-18,82
2015-07-19 - 2015-07-25,83
2015-07-26 - 2015-08-01,84
2015-08-02 - 2015-08-08,82
2015-08-09 - 2015-08-15,82
2015-08-16 - 2015-08-22,82
2015-08-23 - 2015-08-29,85
2015-08-30 - 2015-09-05,84
2015-09-06 - 2015-09-12,86
2015-09-13 - 2015-09-19,85
2015-09-20 - 2015-09-26,86
2015-09-27 - 2015-10-03,84
2015-10-04 - 2015-10-10,87
2015-10-11 - 2015-10-17,86
2015-10-18 - 2015-10-24,87
2015-10-25 - 2015-10-31,86
2015-11-01 - 2015-11-07,84
2015-11-08 - 2015-11-14,87
2015-11-15 - 2015-11-21,90
2015-11-22 - 2015-11-28,85
2015-11-29 - 2015-12-05,83
2015-12-06 - 2015-12-12,84
2015-12-13 - 2015-12-19,85
2015-12-20 - 2015-12-26,82
2015-12-27 - 2016-01-02,85
2016-01-03 - 2016-01-09,92
2016-01-10 - 2016-01-16,90
2016-01-17 - 2016-01-23,88
2016-01-24 - 2016-01-30,90
2016-01-31 - 2016-02-06,87
2016-02-07 - 2016-02-13,94
2016-02-14 - 2016-02-20,94
2016-02-21 - 2016-02-27,92
2016-02-28 - 2016-03-05,89
2016-03-06 - 2016-03-12,86
2016-03-13 - 2016-03-19,85
2016-03-20 - 2016-03-26,84
2016-03-27 - 2016-04-02,85
2016-04-03 - 2016-04-09,86
2016-04-10 - 2016-04-16,87
2016-04-17 - 2016-04-23,86
2016-04-24 - 2016-04-30,99


Top regions for ci
Region,ci
Côte d’Ivoire,100
Jersey,26
Italy,9
Azerbaijan,8
Poland,4
Slovakia,1
Romania,1
France,1
Switzerland,1
Singapore,1
Chile,1
Morocco,1
Germany,1
Turkey,1
Algeria,1
Israel,1
Canada,1
Czech Republic,1
Austria,1
Brazil,1
Indonesia,1
Colombia,1
South Korea,1
Belgium,1


Top cities for ci
City,ci
Abidjan (Côte d’Ivoire),100
Catania (Italy),11
Naples (Italy),11
Palermo (Italy),10
Bari (Italy),9
Rome (Italy),8
Baku (Azerbaijan),8
Milan (Italy),8
Bergamo (Italy),8
Florence (Italy),8
Turin (Italy),8
Bologna (Italy),7
Genoa (Italy),7
Brescia (Italy),7
Padua (Italy),6



Top searches for ci
ci sono,100
la ci,80
ci sei,25
google ci,15
ci modul,10
ci test,10
foto ci,10
ci vediamo,10
non ci sei,5
ci joint,5
330 ci,5
my ci,5
ci intercambio,5
ci module,5
orange ci,5
bmw 330 ci,5
io ci sarò,5
test de ci,5
ci ci pizza,5
ci investments,5
ci slot,5
ci banco,5
ligabue,5
ci international,5
altrimenti ci arrabbiamo,5
jumia ci,0
ci modul sky,0
jumia,0
bmw 320 ci,0
bmw 325 ci,0
ci bank,0
jenkins ci,0
cc to ci,0
travis ci,0
fonction publique ci,0
ci dessous,0
ci channel,0
ci games,0
foto ci respuestas,0
ci funds,0
bmw 318 ci,0
ci vediamo domani,0



Rising searches for ci
google ci,+1,450%
ci sono,+300%
foto ci,+300%
ci intercambio,+250%
non ci sei,+180%
ci joint,+140%
ci vediamo,+140%
la ci,+130%
ci sei,+110%



